id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-dai-thao-duong-casen2-1-1,noi,Đái tháo đường,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 18 tuổi, sinh viên, được bạn cùng phòng đưa vào cấp cứu vì lơ mơ. Theo lời kể, khoảng 2 tuần nay bệnh nhân than mệt mỏi nhiều, sụt khoảng 5kg mặc dù ăn uống nhiều hơn bình thường, hay khát nước và đi tiểu rất nhiều lần cả ngày lẫn đêm. Vài ngày nay, bệnh nhân bắt đầu đau bụng, buồn nôn và nôn nhiều. Sáng nay, bạn cùng phòng thấy bệnh nhân thở nhanh và sâu, hơi thở có mùi lạ như trái cây chín, gọi hỏi đáp ứng chậm nên đưa vào viện. Tiền sử bản thân và gia đình không ai mắc bệnh đái tháo đường. Khám lúc vào viện: bệnh nhân lơ mơ (GCS 13 điểm), da niêm mạc khô, môi khô, lưỡi bẩn. Sinh hiệu: mạch 125 lần/phút, huyết áp 95/60 mmHg, nhịp thở 30 lần/phút, kiểu thở Kussmaul, nhiệt độ 37.5°C, SpO₂ 98% khí trời, BMI 19 kg/m². Bụng mềm, ấn đau lan tỏa, không có phản ứng thành bụng. Tim nhịp nhanh đều, phổi thông khí rõ, không có ran. Cận lâm sàng: Glucose máu mao mạch 32.5 mmol/L. Khí máu động mạch: pH 7.15, PaCO₂ 20 mmHg, HCO₃⁻ 8 mmol/L. Ion đồ máu: Na⁺ 130 mmol/L, K⁺ 5.8 mmol/L. Urê 8.2 mmol/L, Creatinin 110 μmol/L. Ceton niệu 3+, ceton máu 4.5 mmol/L.",Chẩn đoán nào là phù hợp nhất với tình trạng của bệnh nhân?,Tăng đường huyết do stress,Nhiễm toan lactic,Tăng áp lực thẩm thấu do tăng đường huyết (HHS),Nhiễm toan ceton do đái tháo đường (DKA),,d,"Bệnh cảnh một người trẻ tuổi có tam chứng kinh điển của đái tháo đường (ăn nhiều, uống nhiều, tiểu nhiều, sụt cân), diễn tiến đến rối loạn tri giác, thở nhanh sâu, và các xét nghiệm cho thấy tăng đường huyết rất cao, nhiễm toan chuyển hóa (pH thấp, HCO₃⁻ thấp) và ceton dương tính là điển hình của Nhiễm toan ceton do ĐTĐ, rất có thể là ĐTĐ type 1 mới khởi phát."
noi-dai-thao-duong-casen2-1-2,noi,Đái tháo đường,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 18 tuổi, sinh viên, được bạn cùng phòng đưa vào cấp cứu vì lơ mơ. Theo lời kể, khoảng 2 tuần nay bệnh nhân than mệt mỏi nhiều, sụt khoảng 5kg mặc dù ăn uống nhiều hơn bình thường, hay khát nước và đi tiểu rất nhiều lần cả ngày lẫn đêm. Vài ngày nay, bệnh nhân bắt đầu đau bụng, buồn nôn và nôn nhiều. Sáng nay, bạn cùng phòng thấy bệnh nhân thở nhanh và sâu, hơi thở có mùi lạ như trái cây chín, gọi hỏi đáp ứng chậm nên đưa vào viện. Tiền sử bản thân và gia đình không ai mắc bệnh đái tháo đường. Khám lúc vào viện: bệnh nhân lơ mơ (GCS 13 điểm), da niêm mạc khô, môi khô, lưỡi bẩn. Sinh hiệu: mạch 125 lần/phút, huyết áp 95/60 mmHg, nhịp thở 30 lần/phút, kiểu thở Kussmaul, nhiệt độ 37.5°C, SpO₂ 98% khí trời, BMI 19 kg/m². Bụng mềm, ấn đau lan tỏa, không có phản ứng thành bụng. Tim nhịp nhanh đều, phổi thông khí rõ, không có ran. Cận lâm sàng: Glucose máu mao mạch 32.5 mmol/L. Khí máu động mạch: pH 7.15, PaCO₂ 20 mmHg, HCO₃⁻ 8 mmol/L. Ion đồ máu: Na⁺ 130 mmol/L, K⁺ 5.8 mmol/L. Urê 8.2 mmol/L, Creatinin 110 μmol/L. Ceton niệu 3+, ceton máu 4.5 mmol/L.",Cơ chế chính gây ra tình trạng nhiễm toan chuyển hóa ở bệnh nhân này là gì?,Tăng sản xuất acid lactic do giảm tưới máu mô.,Mất bicarbonate qua đường tiêu hóa do nôn ói.,Suy thận cấp gây ứ đọng các sản phẩm chuyển hóa có tính acid.,"Thiếu hụt insulin tuyệt đối dẫn đến ly giải mỡ, tạo ra các thể ceton có tính acid.",,d,"Trong ĐTĐ type 1, cơ thể không sản xuất được insulin. Thiếu insulin tuyệt đối làm tế bào không sử dụng được glucose, đồng thời kích hoạt quá trình ly giải mỡ một cách không kiểm soát tại mô mỡ, giải phóng các acid béo tự do. Các acid béo này được gan chuyển hóa thành các thể ceton (acetoacetic acid, beta- hydroxybutyric acid), vốn là các acid mạnh, gây ra tình trạng nhiễm toan chuyển hóa."
noi-dai-thao-duong-casen2-1-3,noi,Đái tháo đường,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 18 tuổi, sinh viên, được bạn cùng phòng đưa vào cấp cứu vì lơ mơ. Theo lời kể, khoảng 2 tuần nay bệnh nhân than mệt mỏi nhiều, sụt khoảng 5kg mặc dù ăn uống nhiều hơn bình thường, hay khát nước và đi tiểu rất nhiều lần cả ngày lẫn đêm. Vài ngày nay, bệnh nhân bắt đầu đau bụng, buồn nôn và nôn nhiều. Sáng nay, bạn cùng phòng thấy bệnh nhân thở nhanh và sâu, hơi thở có mùi lạ như trái cây chín, gọi hỏi đáp ứng chậm nên đưa vào viện. Tiền sử bản thân và gia đình không ai mắc bệnh đái tháo đường. Khám lúc vào viện: bệnh nhân lơ mơ (GCS 13 điểm), da niêm mạc khô, môi khô, lưỡi bẩn. Sinh hiệu: mạch 125 lần/phút, huyết áp 95/60 mmHg, nhịp thở 30 lần/phút, kiểu thở Kussmaul, nhiệt độ 37.5°C, SpO₂ 98% khí trời, BMI 19 kg/m². Bụng mềm, ấn đau lan tỏa, không có phản ứng thành bụng. Tim nhịp nhanh đều, phổi thông khí rõ, không có ran. Cận lâm sàng: Glucose máu mao mạch 32.5 mmol/L. Khí máu động mạch: pH 7.15, PaCO₂ 20 mmHg, HCO₃⁻ 8 mmol/L. Ion đồ máu: Na⁺ 130 mmol/L, K⁺ 5.8 mmol/L. Urê 8.2 mmol/L, Creatinin 110 μmol/L. Ceton niệu 3+, ceton máu 4.5 mmol/L.",Can thiệp ban đầu nào là quan trọng nhất và cần thực hiện ngay lập tức?,Tiêm tĩnh mạch một liều lớn Insulin tác dụng nhanh.,Truyền tĩnh mạch Natri Bicarbonate để điều chỉnh toan máu.,"Bù dịch tích cực bằng dung dịch NaCl 0,9% đường tĩnh mạch.",Cho thuốc hạ kali máu.,,c,"Ưu tiên ban đầu là hồi sức dịch tinh thể đẳng trương để phục hồi thể tích tuần hoàn. Insulin truyền tĩnh mạch được bắt đầu sau đánh giá ban đầu và khi kali máu an toàn; không cần trì hoãn cứng nhắc đủ 1 giờ nếu hồi sức và theo dõi đã sẵn sàng. Bicarbonate không dùng thường quy khi pH 7,15."
noi-dai-thao-duong-casen2-1-4,noi,Đái tháo đường,Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 18 tuổi, sinh viên, được bạn cùng phòng đưa vào cấp cứu vì lơ mơ. Theo lời kể, khoảng 2 tuần nay bệnh nhân than mệt mỏi nhiều, sụt khoảng 5kg mặc dù ăn uống nhiều hơn bình thường, hay khát nước và đi tiểu rất nhiều lần cả ngày lẫn đêm. Vài ngày nay, bệnh nhân bắt đầu đau bụng, buồn nôn và nôn nhiều. Sáng nay, bạn cùng phòng thấy bệnh nhân thở nhanh và sâu, hơi thở có mùi lạ như trái cây chín, gọi hỏi đáp ứng chậm nên đưa vào viện. Tiền sử bản thân và gia đình không ai mắc bệnh đái tháo đường. Khám lúc vào viện: bệnh nhân lơ mơ (GCS 13 điểm), da niêm mạc khô, môi khô, lưỡi bẩn. Sinh hiệu: mạch 125 lần/phút, huyết áp 95/60 mmHg, nhịp thở 30 lần/phút, kiểu thở Kussmaul, nhiệt độ 37.5°C, SpO₂ 98% khí trời, BMI 19 kg/m². Bụng mềm, ấn đau lan tỏa, không có phản ứng thành bụng. Tim nhịp nhanh đều, phổi thông khí rõ, không có ran. Cận lâm sàng: Glucose máu mao mạch 32.5 mmol/L. Khí máu động mạch: pH 7.15, PaCO₂ 20 mmHg, HCO₃⁻ 8 mmol/L. Ion đồ máu: Na⁺ 130 mmol/L, K⁺ 5.8 mmol/L. Urê 8.2 mmol/L, Creatinin 110 μmol/L. Ceton niệu 3+, ceton máu 4.5 mmol/L.","Nồng độ Kali máu ban đầu là 5.8 mmol/L, nhưng tại sao bệnh nhân này thực chất lại bị thiếu hụt Kali toàn cơ thể?",Do thận tăng thải trừ Kali.,Do Kali từ nội bào di chuyển ra ngoại bào trong môi trường toan máu và thiếu insulin.,Do mất Kali qua đường tiêu hóa.,Do Kali bị pha loãng trong máu.,,b,"Mặc dù Kali máu ban đầu có thể bình thường hoặc tăng, tổng lượng Kali trong cơ thể bệnh nhân luôn thiếu hụt. Nguyên nhân là do tình trạng toan máu và thiếu insulin gây ra sự dịch chuyển Kali từ bên trong tế bào ra khoảng ngoại bào. Khi bắt đầu điều trị bằng Insulin và điều chỉnh toan, Kali sẽ di chuyển ngược trở lại vào trong tế bào, có thể gây hạ Kali máu nguy hiểm."
noi-dai-thao-duong-casen2-2-1,noi,Đái tháo đường,Nội tiết,"(cho ĐTĐ type 1) và UKPDS (cho ĐTĐ type 2) đã chứng minh một cách không thể chối cãi rằng việc kiểm soát đường huyết chặt chẽ và duy trì HbA1c gần mức bình thường là biện pháp hiệu quả duy nhất có thể ngăn ngừa sự xuất hiện và làm chậm sự tiến triển của tất cả các biến chứng vi mạch, bao gồm cả biến chứng thần kinh. TÌNH HUỐNG 6 Bệnh nhân nam, 65 tuổi, bị đái tháo đường type 2, hút thuốc lá 30 bao.năm, đến khám vì một vết loét ở lòng bàn chân trái không lành. Bệnh nhân khai cách đây 1 tháng, ông đi chân đất và giẫm phải một vật nhọn nhưng không thấy đau. Vết thương sau đó loét ra, chảy ít dịch vàng và không có dấu hiệu lành. Khám: bệnh nhân tỉnh, không sốt. Tại mặt lòng bàn chân trái, vị trí đầu xương bàn ngón I, có một vết loét tròn, đường kính 2cm, bờ chai cứng, đáy có mô hạt và ít giả mạc, không có mùi hôi. Khám cảm giác bằng monofilament 10g âm tính ở cả hai bàn chân. Mạch mu chân và chày sau bên trái bắt yếu hơn so với bên phải. Chỉ số ABI (cổ chân/cánh tay) bên trái là 0.7.",Cơ chế bệnh sinh chính gây ra loét chân ở bệnh nhân này là sự kết hợp của những yếu tố nào?,Bệnh lý thần kinh và bệnh lý động mạch ngoại biên,Nhiễm trùng và suy dinh dưỡng,Tăng huyết áp và rối loạn lipid máu,Bệnh lý võng mạc và bệnh lý thận,,a,"Bàn chân đái tháo đường là một biến chứng phức tạp. Bệnh lý thần kinh làm bệnh nhân mất cảm giác bảo vệ, dễ bị chấn thương mà không biết. Bệnh lý động mạch ngoại biên làm giảm tưới máu, khiến vết thương khó lành và dễ bị nhiễm trùng. Sự kết hợp của hai yếu tố này là nền tảng chính."
noi-dai-thao-duong-casen2-2-2,noi,Đái tháo đường,Nội tiết,"(cho ĐTĐ type 1) và UKPDS (cho ĐTĐ type 2) đã chứng minh một cách không thể chối cãi rằng việc kiểm soát đường huyết chặt chẽ và duy trì HbA1c gần mức bình thường là biện pháp hiệu quả duy nhất có thể ngăn ngừa sự xuất hiện và làm chậm sự tiến triển của tất cả các biến chứng vi mạch, bao gồm cả biến chứng thần kinh. TÌNH HUỐNG 6 Bệnh nhân nam, 65 tuổi, bị đái tháo đường type 2, hút thuốc lá 30 bao.năm, đến khám vì một vết loét ở lòng bàn chân trái không lành. Bệnh nhân khai cách đây 1 tháng, ông đi chân đất và giẫm phải một vật nhọn nhưng không thấy đau. Vết thương sau đó loét ra, chảy ít dịch vàng và không có dấu hiệu lành. Khám: bệnh nhân tỉnh, không sốt. Tại mặt lòng bàn chân trái, vị trí đầu xương bàn ngón I, có một vết loét tròn, đường kính 2cm, bờ chai cứng, đáy có mô hạt và ít giả mạc, không có mùi hôi. Khám cảm giác bằng monofilament 10g âm tính ở cả hai bàn chân. Mạch mu chân và chày sau bên trái bắt yếu hơn so với bên phải. Chỉ số ABI (cổ chân/cánh tay) bên trái là 0.7.",Chỉ số ABI 0.7 cho thấy điều gì?,Mạch máu bị vôi hóa không thể đè xẹp.,Bệnh lý động mạch ngoại biên mức độ nặng.,Bệnh lý động mạch ngoại biên mức độ nhẹ đến trung bình.,Tình trạng tưới máu chi bình thường.,,c,"Chỉ số ABI là một công cụ sàng lọc bệnh lý động mạch ngoại biên. ABI từ 0.9-1.3 là bình thường. ABI < 0.9 là bằng chứng của bệnh. ABI 0.7 nằm trong khoảng 0.41-0.90, cho thấy có tắc hẹp động mạch mức độ nhẹ đến trung bình."
noi-dai-thao-duong-casen2-2-3,noi,Đái tháo đường,Nội tiết,"(cho ĐTĐ type 1) và UKPDS (cho ĐTĐ type 2) đã chứng minh một cách không thể chối cãi rằng việc kiểm soát đường huyết chặt chẽ và duy trì HbA1c gần mức bình thường là biện pháp hiệu quả duy nhất có thể ngăn ngừa sự xuất hiện và làm chậm sự tiến triển của tất cả các biến chứng vi mạch, bao gồm cả biến chứng thần kinh. TÌNH HUỐNG 6 Bệnh nhân nam, 65 tuổi, bị đái tháo đường type 2, hút thuốc lá 30 bao.năm, đến khám vì một vết loét ở lòng bàn chân trái không lành. Bệnh nhân khai cách đây 1 tháng, ông đi chân đất và giẫm phải một vật nhọn nhưng không thấy đau. Vết thương sau đó loét ra, chảy ít dịch vàng và không có dấu hiệu lành. Khám: bệnh nhân tỉnh, không sốt. Tại mặt lòng bàn chân trái, vị trí đầu xương bàn ngón I, có một vết loét tròn, đường kính 2cm, bờ chai cứng, đáy có mô hạt và ít giả mạc, không có mùi hôi. Khám cảm giác bằng monofilament 10g âm tính ở cả hai bàn chân. Mạch mu chân và chày sau bên trái bắt yếu hơn so với bên phải. Chỉ số ABI (cổ chân/cánh tay) bên trái là 0.7.","""Bộ ba"" kinh điển gây ra loét chân ở bệnh nhân đái tháo đường bao gồm?","Tăng đường huyết, tăng huyết áp, tăng lipid máu","Béo phì, bệnh thận mạn, và suy tim","Lối sống tĩnh tại, hút thuốc lá, và chế độ ăn không lành mạnh","Bệnh lý thần kinh (mất cảm giác), biến dạng bàn chân (tăng áp lực tỳ đè), và chấn thương",,d,"Đây là ""bộ ba"" dẫn đến loét thần kinh kinh điển. Bệnh lý thần kinh làm mất cảm giác đau, nhiệt. Điều này kết hợp với biến dạng bàn chân (do yếu các cơ nội tại) tạo ra các điểm có áp lực tỳ đè cao bất thường (như đầu xương bàn ngón). Một chấn thương nhỏ (mà bệnh nhân không nhận ra) tại các điểm này sẽ khởi đầu cho vết loét."
noi-dai-thao-duong-casen2-2-4,noi,Đái tháo đường,Nội tiết,"(cho ĐTĐ type 1) và UKPDS (cho ĐTĐ type 2) đã chứng minh một cách không thể chối cãi rằng việc kiểm soát đường huyết chặt chẽ và duy trì HbA1c gần mức bình thường là biện pháp hiệu quả duy nhất có thể ngăn ngừa sự xuất hiện và làm chậm sự tiến triển của tất cả các biến chứng vi mạch, bao gồm cả biến chứng thần kinh. TÌNH HUỐNG 6 Bệnh nhân nam, 65 tuổi, bị đái tháo đường type 2, hút thuốc lá 30 bao.năm, đến khám vì một vết loét ở lòng bàn chân trái không lành. Bệnh nhân khai cách đây 1 tháng, ông đi chân đất và giẫm phải một vật nhọn nhưng không thấy đau. Vết thương sau đó loét ra, chảy ít dịch vàng và không có dấu hiệu lành. Khám: bệnh nhân tỉnh, không sốt. Tại mặt lòng bàn chân trái, vị trí đầu xương bàn ngón I, có một vết loét tròn, đường kính 2cm, bờ chai cứng, đáy có mô hạt và ít giả mạc, không có mùi hôi. Khám cảm giác bằng monofilament 10g âm tính ở cả hai bàn chân. Mạch mu chân và chày sau bên trái bắt yếu hơn so với bên phải. Chỉ số ABI (cổ chân/cánh tay) bên trái là 0.7.",Bước xử trí quan trọng nhất tại chỗ đối với vết loét này là gì?,Cắt lọc mô hoại tử và giảm áp lực tỳ đè lên vết loét,Bôi kháng sinh tại chỗ.,Ngâm chân bằng nước ấm.,Giữ vết loét khô và thoáng.,,a,"Chăm sóc loét chân ĐTĐ cần một cách tiếp cận toàn diện (DEPA): Debridement (cắt lọc), Exudate management (kiểm soát dịch tiết), Pressure off-loading (giảm áp), và Assess for infection/ischemia (đánh giá nhiễm trùng/thiếu máu). Trong đó, việc cắt lọc mô chai và mô hoại tử, và quan trọng nhất là sử dụng các dụng cụ giảm áp (giày đặc biệt, bột bó tiếp xúc toàn bộ) để không cho bệnh nhân tỳ đè lên vết loét là yếu tố then chốt để vết loét có thể lành."
noi-dai-thao-duong-casen2-3-1,noi,Đái tháo đường,Nội tiết,"bệnh nhân đái tháo đường type 2 cần được khuyến cáo làm gì? A. Tự kiểm tra thị lực hàng ngày. B. Dùng thuốc nhỏ mắt bổ sung. C. Chỉ đi khám mắt khi có triệu chứng nhìn mờ. D. Khám và soi đáy mắt ngay tại thời điểm chẩn đoán đái tháo đường và định kỳ hàng năm sau đó. loại thuốc kháng VEGF (như Ranibizumab, Aflibercept) đã trở thành liệu pháp hàng đầu, giúp giảm phù và cải thiện thị lực một cách hiệu quả. 5. Do bệnh võng mạc ĐTĐ thường không có triệu chứng trong giai đoạn đầu, việc sàng lọc định kỳ là cực kỳ quan trọng. Đối với ĐTĐ type 2, bệnh có thể đã tiến triển một thời gian trước khi được chẩn đoán, do đó cần phải khám mắt toàn diện (bao gồm soi đáy mắt có giãn đồng tử) ngay khi phát hiện bệnh và lặp lại ít nhất hàng năm để phát hiện sớm tổn thương và can thiệp kịp thời. TÌNH HUỐNG 11 Bệnh nhân nam 58 tuổi, tiền sử đái tháo đường (ĐTĐ) type 2 mới chẩn đoán 3 tháng, đang dùng Metformin 1000 mg/ngày. BN đến khám định kỳ, không ghi nhận các triệu chứng đa niệu, đa khát hay sụt cân. Khám lâm sàng: BMI 28,5 kg/m2, huyết áp 145/85 mmHg, nhịp tim 78 chu kỳ/phút, không có phù, các cơ quan khác chưa phát hiện bất thường. Xét nghiệm: HbA1c 7,8%, glucose máu đói 8,2 mmol/L, Creatinin 85 μmol/L, eGFR 88 mL/phút/1,73 m2, albumin niệu (UACR) 45 mg/g. BN chưa từng có tiền sử bệnh tim mạch hay suy tim.",Phân tầng nguy cơ thận của bệnh nhân này theo KDIGO là:,Nguy cơ thấp,Nguy cơ trung bình,Nguy cơ cao,Nguy cơ rất cao,,b,"Theo KDIGO, BN có eGFR G1 (> 90) hoặc G2 (60-89) kèm UACR A2 (30-300 mg/g) được phân vào nhóm nguy cơ trung bình (màu vàng)."
noi-dai-thao-duong-casen2-3-2,noi,Đái tháo đường,Nội tiết,"bệnh nhân đái tháo đường type 2 cần được khuyến cáo làm gì? A. Tự kiểm tra thị lực hàng ngày. B. Dùng thuốc nhỏ mắt bổ sung. C. Chỉ đi khám mắt khi có triệu chứng nhìn mờ. D. Khám và soi đáy mắt ngay tại thời điểm chẩn đoán đái tháo đường và định kỳ hàng năm sau đó. loại thuốc kháng VEGF (như Ranibizumab, Aflibercept) đã trở thành liệu pháp hàng đầu, giúp giảm phù và cải thiện thị lực một cách hiệu quả. 5. Do bệnh võng mạc ĐTĐ thường không có triệu chứng trong giai đoạn đầu, việc sàng lọc định kỳ là cực kỳ quan trọng. Đối với ĐTĐ type 2, bệnh có thể đã tiến triển một thời gian trước khi được chẩn đoán, do đó cần phải khám mắt toàn diện (bao gồm soi đáy mắt có giãn đồng tử) ngay khi phát hiện bệnh và lặp lại ít nhất hàng năm để phát hiện sớm tổn thương và can thiệp kịp thời. TÌNH HUỐNG 11 Bệnh nhân nam 58 tuổi, tiền sử đái tháo đường (ĐTĐ) type 2 mới chẩn đoán 3 tháng, đang dùng Metformin 1000 mg/ngày. BN đến khám định kỳ, không ghi nhận các triệu chứng đa niệu, đa khát hay sụt cân. Khám lâm sàng: BMI 28,5 kg/m2, huyết áp 145/85 mmHg, nhịp tim 78 chu kỳ/phút, không có phù, các cơ quan khác chưa phát hiện bất thường. Xét nghiệm: HbA1c 7,8%, glucose máu đói 8,2 mmol/L, Creatinin 85 μmol/L, eGFR 88 mL/phút/1,73 m2, albumin niệu (UACR) 45 mg/g. BN chưa từng có tiền sử bệnh tim mạch hay suy tim.",Cơ chế chính của albumin niệu trong giai đoạn sớm ở bệnh nhân ĐTĐ là:,Tổn thương ống thận mô kẽ lan tỏa,Lắng đọng phức hợp miễn dịch tại màng nền,Giảm số lượng nephron chức năng,Tăng áp lực lọc tại cầu thận,,d,"Tình trạng tăng glucose máu gây giãn động mạch đến và co động mạch đi, dẫn đến tăng áp lực thủy tĩnh trong mao mạch cầu thận (Hyperfiltration), là cơ chế sớm gây albumin niệu."
