id,subject,chapter,group,case_stem,image,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation
ngoai-00006,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,"Trong chấn thương bụng kín, tạng đặc nào sau đây thường bị tổn thương và gây hội chứng chảy máu trong ổ bụng nhiều nhất?",Gan,Lách,Thận,Tụy,,,b,"Lách là tạng đặc có cấu trúc giòn, bở, chứa nhiều máu và nằm sát thành sườn nên dễ bị vỡ nhất khi có lực ép vào vùng hạ sườn trái. Ý phải nhớ: Lách là tạng hay vỡ nhất trong chấn thương bụng kín."
ngoai-00007,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,"Ở phụ nữ trong độ tuổi sinh đẻ, nguyên nhân cấp cứu sản phụ khoa thường gặp nhất gây hội chứng chảy máu trong ổ bụng ồ ạt là gì?",U nang buồng trứng xoắn,Vỡ nang Graaf,Chửa ngoài tử cung vỡ,Lạc nội mạc tử cung,,,c,Chửa ngoài tử cung vỡ là cấp cứu ngoại khoa kinh điển và là nguyên nhân số một cần nghĩ tới đầu tiên khi một phụ nữ tuổi sinh đẻ có hội chứng chảy máu trong.
ngoai-00008,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,"Ở Việt Nam, nguyên nhân bệnh lý nào sau đây thường gặp nhất gây vỡ tạng tự phát dẫn đến chảy máu trong ổ bụng?",Ung thư gan nguyên phát,U mạch máu gan,Áp xe gan do amip,Nang gan đơn thuần,,,a,"Ung thư biểu mô tế bào gan (HCC) phát triển nhanh, giàu mạch máu, hoại tử trung tâm rất dễ vỡ tự phát gây chảy máu ồ ạt, là nguyên nhân nội khoa/u bướu hàng đầu gây chảy máu trong tại Việt Nam."
ngoai-00009,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,"Khái niệm ""Chảy máu trong ổ bụng"" được hiểu chính xác là tình trạng máu chảy và tích tụ tại khoang giải phẫu nào?",Khoang sau phúc mạc,Lòng ống tiêu hóa,Khoang phúc mạc,Khoang màng phổi,,,c,"Chảy máu trong ổ bụng (hemoperitoneum) là sự tích tụ máu tự do bên trong khoang phúc mạc (giữa lá thành và lá tạng), phân biệt với tụ máu sau phúc mạc hay chảy máu tiêu hóa."
ngoai-00010,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,Cơ chế chấn thương nào sau đây là nguyên nhân hàng đầu gây ra hội chứng chảy máu trong ổ bụng do vỡ tạng đặc?,Tai nạn sinh hoạt ngã ngồi,Tai nạn giao thông có lực ép trực tiếp vào ổ bụng,Vết thương đâm chém sắc nhọn,Tai nạn do hỏa khí,,,b,"Chấn thương bụng kín do tai nạn giao thông (đập vô lăng, bị ép) tạo ra lực giảm tốc đột ngột và lực ép trực tiếp, làm các tạng đặc như gan, lách bị giằng xé và vỡ."
ngoai-00011,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,Loại tổn thương giải phẫu lách nào sau đây có nguy cơ gây chảy máu trong ổ bụng thì 2?,Đứt cuống lách,Rách bao lách nông,Tụ máu dưới bao lách,Vỡ vụn lách,,,c,"Tụ máu dưới bao khi mới chấn thương chưa chảy máu ra ổ bụng, nhưng cục máu tụ lớn dần làm căng bao lách, sau vài ngày bao lách vỡ tung gây chảy máu ồ ạt (vỡ thì 2)."
ngoai-00012,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,Cơ chế chính gây ra triệu chứng đau bụng toàn lưu trong hội chứng chảy máu trong ổ bụng là gì?,Máu tạo cục đông chèn ép vào rễ thần kinh tủy sống,Máu trong ổ bụng là chất kích thích hóa học nhẹ đối với lá phúc mạc,Máu làm rối loạn vi khuẩn ruột gây viêm ruột,,,,b,"Máu tự do trong khoang phúc mạc kích thích trực tiếp lên các đầu mút thần kinh của lá phúc mạc thành, gây cảm giác đau và phản ứng thành bụng. D. Máu ứ đọng gây tắc ruột cơ học cấp tính"
ngoai-00013,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,Dấu hiệu Kehr (đau lan lên vai) trong vỡ lách được giải thích bằng cơ chế sinh lý bệnh nào?,Máu chảy theo cơ thắt lưng chậu lên vai,Máu chảy tụ ở dưới cơ hoành kích thích nhánh cảm giác của thần kinh hoành,Sự co thắt phản xạ của cơ thẳng bụng lan lên cơ ngực,Tình trạng thiếu máu cơ tim thứ phát do mất máu,,,b,"Thần kinh hoành chi phối cơ hoành có cùng nguyên ủy thần kinh cổ (C3-C5) với vùng da vai. Khi máu kích thích cơ hoành trái, não bộ nhận diện nhầm là đau ở vai trái (đau xuất chiếu)."
ngoai-00014,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,"Bệnh nhân bị chảy máu trong ổ bụng cấp tính, xét nghiệm ngay sau tai nạn 30 phút thường thấy chỉ số Hematocrit (Hct) thay đổi như thế nào?",Giảm rất sâu tương ứng với lượng máu mất,Tăng vọt do cô đặc máu,Có thể vẫn ở mức bình thường,Luôn dưới 20%,,,c,"Trong 1-2 giờ đầu sau chảy máu cấp, bệnh nhân mất toàn bộ máu (cả huyết tương và hồng cầu) nên tỷ lệ Hct chưa thay đổi. Phải chờ khi dịch gian bào huy động vào lòng mạch làm loãng máu thì Hct mới giảm. Ý phải nhớ: Hct bình thường sớm không loại trừ chảy máu."
ngoai-00015,ngoai,Chảy máu trong ổ bụng,Tiêu hóa,,,Cơ chế bù trừ sinh lý đầu tiên và nhạy nhất của cơ thể khi thể tích tuần hoàn giảm do chảy máu ổ bụng là gì?,Rối loạn tri giác,Tụt huyết áp tâm thu,Tăng nhịp tim,Suy thận cấp thiểu niệu,,,c,"Khi giảm thể tích, thụ thể áp lực ở cung ĐM chủ kích thích hệ giao cảm tiết catecholamine làm nhịp tim tăng nhanh đầu tiên để duy trì cung lượng tim, trước khi huyết áp bị tụt."
