id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-thuyen-tac-phoi-mcq-001,noi,Thuyên tắc phổi,Tim mạch,,Nguồn gốc phổ biến nhất của huyết khối thuyên tắc phổi kinh điển thường bắt nguồn từ đâu?,Tĩnh mạch chủ dưới,Tĩnh mạch sâu chi dưới,Buồng nhĩ phải,Tĩnh mạch chi trên,,b,Hơn 90% huyết khối trong thuyên tắc phổi xuất phát từ tĩnh mạch sâu chi dưới (đặc biệt là đoạn từ khoeo trở lên). Nguồn: Bệnh học nội khoa YHN.
noi-thuyen-tac-phoi-mcq-002,noi,Thuyên tắc phổi,Tim mạch,,Tam chứng Virchow mô tả cơ chế hình thành huyết khối bao gồm các yếu tố nào sau đây?,"Tổn thương nội mạc, tăng lipid máu, ứ trệ tuần hoàn","Tổn thương nội mạc, giảm tiểu cầu, ứ trệ tuần hoàn","Tổn thương nội mạc, ứ trệ tuần hoàn, tăng đông","Tăng huyết áp, ứ trệ tuần hoàn, tăng đông",,c,Đây là tam chứng kinh điển cốt lõi giải thích cơ chế sinh huyết khối ở tĩnh mạch. Bất kỳ bệnh lý nào gây ra 1 trong 3 yếu tố này đều tăng nguy cơ mắc bệnh.
noi-thuyen-tac-phoi-mcq-003,noi,Thuyên tắc phổi,Tim mạch,,"Trong phân loại yếu tố nguy cơ của thuyên tắc phổi, yếu tố nào sau đây được xếp vào nhóm nguy cơ mạnh (tỷ lệ mắc cao nhất)?",Phẫu thuật thay khớp háng hoặc khớp gối,Di chuyển bằng máy bay trên 6 giờ,Sử dụng thuốc tránh thai đường uống,Béo phì,,a,"Các phẫu thuật lớn ở chi dưới, đa chấn thương và tổn thương tủy sống là nhóm nguy cơ rất cao, thường yêu cầu dự phòng chống đông nghiêm ngặt. Nguồn: CMDT 2026."
noi-thuyen-tac-phoi-mcq-004,noi,Thuyên tắc phổi,Tim mạch,,Bất thường di truyền nào sau đây là nguyên nhân phổ biến nhất gây tình trạng tăng đông dẫn đến huyết khối tĩnh mạch sâu và thuyên tắc phổi?,Thiếu hụt Protein S,Đột biến gen Prothrombin,Thiếu hụt Antithrombin III,Đột biến yếu tố V Leiden,,d,"Đột biến yếu tố V Leiden gây đề kháng với Protein C hoạt hóa, là bệnh lý tăng đông di truyền thường gặp nhất ở người da trắng."
noi-thuyen-tac-phoi-mcq-005,noi,Thuyên tắc phổi,Tim mạch,,Đặc điểm nào sau đây mô tả đúng nhất định nghĩa của thuyên tắc động mạch phổi cấp tính?,Tình trạng viêm hoại tử nhánh động mạch phổi,Sự tắc nghẽn đột ngột nhánh động mạch phổi do huyết khối di chuyển đến,Huyết khối hình thành tại chỗ trong nhu mô phổi,Sự chèn ép động mạch phổi do khối u trung thất,,b,Bản chất của thuyên tắc phổi là sự di chuyển của vật tuyến tắc (chủ yếu là huyết khối tĩnh mạch) theo dòng máu đến làm nghẽn động mạch phổi.
noi-thuyen-tac-phoi-mcq-006,noi,Thuyên tắc phổi,Tim mạch,,"Về mặt dịch tễ học, đặc điểm nào sau đây KHÔNG đúng với thuyên tắc phổi?",Tỷ lệ mắc bệnh tăng dần theo tuổi,Là một trong những nguyên nhân tử vong hàng đầu ở bệnh nhân nằm viện,Đa số bệnh nhân thuyên tắc phổi đều có triệu chứng lâm sàng rầm rộ,Tỷ lệ tái phát cao nếu không được điều trị dự phòng đúng mức,,c,"Trên thực tế, thuyên tắc phổi thường bị bỏ sót do rất nhiều trường hợp có triệu chứng không đặc hiệu hoặc hoàn toàn không có triệu chứng rõ ràng."
noi-thuyen-tac-phoi-mcq-007,noi,Thuyên tắc phổi,Tim mạch,,Cơ chế chính gây giảm oxy máu ở bệnh nhân thuyên tắc phổi cấp là gì?,Giảm thông khí phế nang,Shunt phải-trái trong phổi,Giảm khuếch tán khí qua màng phế nang mao mạch,Bất tương xứng thông khí và tưới máu,,d,"Vùng phổi bị tắc mạch sẽ có thông khí nhưng không được tưới máu (tạo khoảng chết sinh lý), làm thay đổi tỷ lệ V/Q, dẫn đến tình trạng thiếu oxy máu."
noi-thuyen-tac-phoi-mcq-008,noi,Thuyên tắc phổi,Tim mạch,,Nguyên nhân cốt lõi gây ra tình trạng tụt huyết áp và sốc trong thuyên tắc phổi diện rộng là gì?,Giảm tiền gánh thất trái do vách liên thất bị đẩy lệch sang trái,Giảm sức bóp trực tiếp của cơ thất trái do thiếu oxy máu,Giãn mạch toàn thân do phản ứng viêm hệ thống,Mất máu cấp do xuất huyết phế nang,,a,"Suy thất phải cấp làm thất phải giãn to, đẩy vách liên thất sang trái, làm giảm thể tích cuối tâm trương thất trái, kéo theo giảm cung lượng tim và sốc. Nguồn: Bệnh học nội khoa YHN."
noi-thuyen-tac-phoi-mcq-009,noi,Thuyên tắc phổi,Tim mạch,,"Tại sao nhồi máu nhu mô phổi (hoại tử mô phổi) lại hiếm gặp trong thuyên tắc phổi, dù nhánh động mạch phổi bị tắc hoàn toàn?",Nhu mô phổi có khả năng chịu đựng tình trạng yếm khí tốt,Phổi được nuôi dưỡng bởi hệ thống cấp máu kép gồm cả động mạch phế quản,Có các shunt nối tắt tĩnh mạch phế quản tự động mở ra,Quá trình tiêu sợi huyết nội sinh tại phổi diễn ra rất mạnh,,b,Phổi nhận máu từ cả động mạch phổi và động mạch phế quản (từ động mạch chủ). Sự cấp máu kép này giúp bảo vệ nhu mô phổi khỏi hoại tử trong phần lớn các trường hợp tắc mạch.
noi-thuyen-tac-phoi-mcq-010,noi,Thuyên tắc phổi,Tim mạch,,Cơ chế nào giải thích việc tăng men tim (Troponin) ở bệnh nhân thuyên tắc phổi?,Mảng xơ vữa động mạch vành bị vỡ cùng lúc,Tràn dịch màng ngoài tim cấp gây chèn ép tim,Căng giãn đột ngột và thiếu máu cục bộ vi mạch cơ tim thất phải,Viêm cơ tim thứ phát sau tắc mạch phổi,,c,"Áp lực động mạch phổi tăng làm tăng hậu gánh thất phải. Thất phải giãn căng, tăng nhu cầu oxy nhưng tưới máu vành phải giảm, dẫn đến vi nhồi máu thất phải và rò rỉ Troponin."
noi-thuyen-tac-phoi-mcq-011,noi,Thuyên tắc phổi,Tim mạch,,Sự hoạt hóa tiểu cầu tại chỗ tắc mạch trong thuyên tắc phổi đóng vai trò gì khiến tình trạng huyết động tồi tệ hơn?,Kích thích tăng sinh nguyên bào sợi gây xơ phổi,Giải phóng Serotonin và Thromboxane A2 gây co thắt mạch máu phổi,Giải phóng Histamin gây co thắt phế quản lan tỏa,Ức chế hệ thống tiêu sợi huyết nội sinh,,b,"Tiểu cầu giải phóng các hóa chất trung gian (đặc biệt là Serotonin và Thromboxane A2) gây co mạch phổi và co thắt phế quản, làm tăng thêm áp lực động mạch phổi."
