id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-suy-tim-mcq-001,noi,Suy tim,Tim mạch,,"Theo phân loại hiện nay, suy tim với phân suất tống máu giảm (HFrEF) được định nghĩa khi LVEF ở mức nào?",Dưới 40%,Lớn hơn 50%,Từ 41% đến 49%,Dưới 30%,,a,Suy tim phân suất tống máu giảm (HFrEF) được xác định khi LVEF ≤ 40%. Nguồn: Guideline ESC 2021/AHA 2022 (CURRENT 2026).
noi-suy-tim-mcq-002,noi,Suy tim,Tim mạch,,Nguyên nhân phổ biến nhất gây ra hội chứng suy tim phải là gì?,Hẹp van động mạch phổi,Suy tim trái,Bệnh phổi tắc nghẽn mạn tính,Tăng áp động mạch phổi tiên phát,,b,"Đây là ""bẫy kinh điển"". Suy tim trái là nguyên nhân hàng đầu gây suy tim phải do tăng áp lực dội ngược lên tiểu tuần hoàn. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-003,noi,Suy tim,Tim mạch,,"Ở các nước phát triển, nguyên nhân hàng đầu dẫn đến suy tim là bệnh lý nào?",Bệnh cơ tim giãn,Bệnh van tim do thấp,Bệnh mạch vành,Viêm cơ tim virus,,c,Bệnh động mạch vành (thiếu máu cục bộ cơ tim) và tăng huyết áp là hai nguyên nhân thường gặp nhất gây suy tim ở các nước phát triển. Nguồn: CURRENT 2026.
noi-suy-tim-mcq-004,noi,Suy tim,Tim mạch,,"Khái niệm ""Suy tim tâm trương"" chủ yếu đặc trưng cho nhóm bệnh nhân có chỉ số nào sau đây?",LVEF dưới 40%,Thể tích cuối tâm trương thất trái tăng,LVEF trên 50%,Áp lực động mạch phổi bình thường,,c,"Suy tim tâm trương tương ứng với suy tim phân suất tống máu bảo tồn (HFpEF), LVEF ≥ 50%, đặc trưng bởi rối loạn thư giãn thất. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-005,noi,Suy tim,Tim mạch,,Suy tim được định nghĩa chính xác nhất là gì?,Tình trạng buồng tim giãn to trên X-quang,Hội chứng lâm sàng do bất thường cấu trúc hoặc chức năng tim,Tình trạng giảm phân suất tống máu thất trái,Tình trạng nhịp tim nhanh và phù ngoại vi,,b,Suy tim không phải là một bệnh lý đơn lẻ mà là một hội chứng lâm sàng phức tạp do bất kỳ suy giảm cấu trúc hoặc chức năng đổ đầy/tống máu của tim. Nguồn: Bệnh học nội khoa YHN.
noi-suy-tim-mcq-006,noi,Suy tim,Tim mạch,,Nhóm bệnh nhân suy tim có LVEF từ 41-49% được phân loại là gì?,Suy tim phân suất tống máu giảm,Suy tim phân suất tống máu giảm nhẹ,Suy tim phân suất tống máu bảo tồn,Suy tim tâm thu đơn thuần,,b,LVEF 41-49% được xếp vào nhóm suy tim phân suất tống máu giảm nhẹ (HFmrEF - mildly reduced EF). Nguồn: ESC 2021.
noi-suy-tim-mcq-007,noi,Suy tim,Tim mạch,,"Theo định luật Frank-Starling, cung lượng tim sẽ thay đổi như thế nào trong giai đoạn đầu của suy tim khi tăng thể tích cuối tâm trương?",Giảm tuyến tính,Không thay đổi,Tăng lên đến một giới hạn nhất định,Tăng vô hạn định,,c,"Cơ chế Frank-Starling giúp tim bù trừ bằng cách tăng sức co bóp khi sợi cơ bị kéo dài (tăng tiền gánh), nhưng chỉ đến một giới hạn, sau đó sẽ suy giảm. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-008,noi,Suy tim,Tim mạch,,Sự hoạt hóa kéo dài hệ thần kinh giao cảm trong suy tim mạn gây ra hậu quả sinh lý bệnh nào sau đây?,Tăng nhạy cảm của thụ thể beta-1,Giảm mật độ thụ thể beta-1 ở cơ tim,Tăng dòng máu đến thận,Giảm nhu cầu oxy cơ tim,,b,"Dù khởi đầu là cơ chế bù trừ, giao cảm hoạt động quá mức kéo dài sẽ gây độc cơ tim và hiện tượng ""down- regulation"" (giảm mật độ) thụ thể beta-1. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-009,noi,Suy tim,Tim mạch,,Vai trò sinh lý bệnh chính của Angiotensin II trong hội chứng suy tim là gì?,Giãn mạch ngoại vi,Co mạch và kích thích tiết aldosterone,Tăng đào thải natri qua thận,Ức chế hệ thần kinh giao cảm,,b,"Angiotensin II gây co mạch mạnh (tăng hậu gánh) và kích thích vỏ thượng thận tiết aldosterone (giữ muối nước, tăng tiền gánh), làm suy tim nặng thêm. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-010,noi,Suy tim,Tim mạch,,Peptide lợi niệu B (BNP) được giải phóng từ tâm thất có tác dụng sinh lý nào nhằm đối kháng lại hệ RAAS?,Co mạch và giữ natri,Giãn mạch và tăng đào thải natri,Kích thích phì đại cơ tim,Tăng tiết hormone chống bài niệu,,b,"BNP là cơ chế bù trừ nội sinh, giúp giãn mạch, lợi tiểu và tăng thải natri, đối kháng lại tác dụng của hệ RAAS và giao cảm. Nguồn: CURRENT 2026."
noi-suy-tim-mcq-011,noi,Suy tim,Tim mạch,,"Hiện tượng ""tái cấu trúc thất trái"" (remodeling) trong suy tim KHÔNG bao gồm đặc điểm nào?",Thay đổi hình thái buồng tim,Tăng sinh mô xơ kẽ,Giảm thể tích cuối tâm trương,Phì đại tế bào cơ tim,,c,"Tái cấu trúc thất là sự thay đổi về kích thước, hình dạng (thường giãn to, tăng thể tích) và chức năng tim sau tổn thương cơ tim. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-012,noi,Suy tim,Tim mạch,,"Phì đại tâm thất đồng tâm (tăng bề dày thành tim, buồng tim không giãn) thường do cơ chế huyết động nào?",Tăng tiền gánh kéo dài,Tăng hậu gánh quá mức,Rò động tĩnh mạch,Hở van hai lá mạn tính,,b,"Tăng hậu gánh (ví dụ: tăng huyết áp, hẹp chủ) khiến tim phải bóp mạnh hơn, dẫn đến phì đại đồng tâm (dày thành). Tăng tiền gánh thường gây phì đại lệch tâm (giãn buồng)."
noi-suy-tim-mcq-013,noi,Suy tim,Tim mạch,,Tiếng ngựa phi T3 (S3 gallop) xuất hiện trong suy tim phản ánh hiện tượng sinh lý bệnh nào?,Đóng van nhĩ thất muộn,Dòng máu đổ dồn nhanh vào tâm thất đã bị giãn và ứ đọng,Sự co bóp mạnh của tâm nhĩ vào cuối thời kỳ tâm trương,Dòng máu phụt ngược qua van tổ chim,,b,"Tiếng T3 sinh ra trong pha đổ đầy thất nhanh đầu tâm trương, khi máu đập vào thành tâm thất giãn, giảm độ giãn nở và đang ứ máu. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-014,noi,Suy tim,Tim mạch,,Triệu chứng cơ năng xuất hiện sớm nhất và phổ biến nhất ở bệnh nhân suy tim trái là gì?,Đau ngực điển hình,Khó thở khi gắng sức,Ho ra máu,Phù hai chi dưới,,b,Khó thở khi gắng sức là triệu chứng nhạy cảm và thường xuất hiện đầu tiên khi chức năng dự trữ của tim bắt đầu suy giảm. Nguồn: Bệnh học nội khoa YHN.
noi-suy-tim-mcq-015,noi,Suy tim,Tim mạch,,"Đặc điểm nào sau đây mô tả đúng nhất triệu chứng ""khó thở khi nằm"" (orthopnea) trong suy tim?",Khó thở xuất hiện khi nằm nghiêng phải,Khó thở giảm đi khi bệnh nhân ngồi dậy,Khó thở kèm theo tiếng rít thanh quản,Khó thở chỉ xuất hiện sau khi ngủ 2 giờ,,b,"Khó thở khi nằm thẳng do tăng hồi lưu tĩnh mạch về tim phải, gây ứ huyết phổi. Ngồi dậy làm máu dồn xuống lồng ngực/chi, giảm áp lực phổi. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-016,noi,Suy tim,Tim mạch,,"Bệnh nhân nam 60 tuổi, tỉnh dậy giữa đêm do cảm giác ngột ngạt, phải ngồi dậy vã mồ hôi thở hổn hển. Triệu chứng này gọi là gì?",Cơn hen phế quản,Khó thở kịch phát về đêm,Cơn ngừng thở khi ngủ,Rối loạn thần kinh thực vật,,b,"Khó thở kịch phát về đêm (PND) rất đặc hiệu cho suy tim trái, thường xảy ra sau 1-2 giờ ngủ do tái phân bố dịch từ mô kẽ vào nội mạch. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-017,noi,Suy tim,Tim mạch,,Dấu hiệu thực thể nào sau đây mang tính đặc hiệu cao cho chẩn đoán suy tim phải?,Ngón tay dùi trống,Phản hồi gan - tĩnh mạch cổ dương tính,Tiếng cọ màng tim,Rung miêu tâm trương,,b,Nghiệm pháp ấn gan - tĩnh mạch cổ làm tăng tĩnh mạch cổ nổi rõ hơn chứng tỏ thất phải không có khả năng tiếp nhận thêm lượng máu dồn về. Nguồn: Bệnh học nội khoa YHN.
noi-suy-tim-mcq-018,noi,Suy tim,Tim mạch,,"Bệnh nhân có bệnh cơ tim thiếu máu cục bộ, siêu âm LVEF 35% nhưng hiện tại hoàn toàn không có triệu chứng khó thở hay mệt mỏi khi hoạt động bình thường. Phân độ NYHA của bệnh nhân là:",NYHA I,NYHA II,NYHA III,Không thể phân độ NYHA,,a,"NYHA I là có bệnh tim thực tổn (đã có biến đổi cấu trúc/chức năng) nhưng không có triệu chứng cơ năng, không hạn chế vận động thể lực. Nguồn: Bệnh học nội khoa YHN."
noi-suy-tim-mcq-019,noi,Suy tim,Tim mạch,,Bệnh nhân ở câu 19 (có rối loạn chức năng thất trái không triệu chứng) được xếp vào giai đoạn suy tim nào theo phân loại của ACC/AHA?,Giai đoạn A,Giai đoạn B,Giai đoạn C,Giai đoạn D,,b,"Giai đoạn B (ACC/AHA) dành cho bệnh nhân có bệnh tim thực tổn (tiền sử NMCT, LVEF giảm) nhưng chưa từng có triệu chứng suy tim. Nguồn: CURRENT 2026."
noi-suy-tim-mcq-020,noi,Suy tim,Tim mạch,,Đặc điểm nào giúp phân biệt phù do suy tim phải với phù do bệnh lý thận?,Phù suy tim thường xuất hiện vào buổi sáng sớm,"Phù suy tim thường mềm, ấn lõm, rõ ở vùng thấp (mắt cá, cẳng chân)",Phù suy tim thường bắt đầu từ mặt và mí mắt,Phù suy tim không thay đổi theo tư thế,,b,"Phù do suy tim là phù do tăng áp lực thủy tĩnh, chịu ảnh hưởng trọng lực nên tập trung vùng thấp, tăng về chiều. Phù thận thường do giảm áp lực keo, phù toàn thân/mặt."
noi-suy-tim-mcq-021,noi,Suy tim,Tim mạch,,Kiểu thở Cheyne-Stokes trong suy tim nặng được mô tả như thế nào?,Thở nhanh nông liên tục,Chu kỳ xen kẽ giữa ngưng thở và thở nhanh sâu dần,"Thở chúm môi, thì thở ra kéo dài",Thở ngáp cá,,b,"Kiểu thở Cheyne-Stokes liên quan đến giảm cung lượng tim kéo dài thời gian tuần hoàn não, làm chậm phản hồi của trung tâm hô hấp với PaCO2. Nguồn: Bệnh học nội khoa YHN."
