id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-cot-song-dinh-khop-mcq-001,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Viêm cột sống dính khớp là bệnh lý tiêu biểu thuộc nhóm bệnh nào sau đây?,Bệnh lý khớp vi tinh thể,Bệnh tự miễn hệ thống có tự kháng thể đặc hiệu,Bệnh lý xương khớp thoái hóa,Bệnh lý cột sống huyết thanh âm tính,,d,Viêm cột sống dính khớp là bệnh đặc trưng nhất của nhóm bệnh lý cột sống huyết thanh âm tính (Spondyloarthritis). Nguồn: Bệnh học nội khoa YHN.
noi-viem-cot-song-dinh-khop-mcq-002,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Nhóm đối tượng dịch tễ nào có nguy cơ mắc viêm cột sống dính khớp cao nhất?,Nữ giới tuổi mãn kinh,Nam giới trẻ tuổi,Nữ giới trẻ tuổi,Nam giới cao tuổi,,b,Bệnh thường khởi phát ở người trẻ (trước 45 tuổi) và nam giới mắc nhiều hơn nữ giới với tỷ lệ khoảng 2-3:1. Nguồn: Bệnh học nội khoa YHN.
noi-viem-cot-song-dinh-khop-mcq-003,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Kháng nguyên bạch cầu người (HLA) nào có liên quan mật thiết nhất đến cơ chế bệnh sinh của viêm cột sống dính khớp?,HLA-DR4,HLA-B51,HLA-B27,HLA-Cw6,,c,HLA-B27 gặp ở khoảng 80-90% bệnh nhân viêm cột sống dính khớp. Đây là yếu tố gen then chốt trong bệnh sinh. Nguồn: Bệnh học nội khoa YHN.
noi-viem-cot-song-dinh-khop-mcq-004,noi,Viêm cột sống dính khớp,Cơ xương khớp,,"Đặc điểm ""huyết thanh âm tính"" trong danh pháp bệnh có ý nghĩa lâm sàng là âm tính với xét nghiệm nào?",Yếu tố dạng thấp,Kháng thể kháng nhân,Kháng nguyên HLA-B27,Protein phản ứng C,,a,"Huyết thanh âm tính chỉ sự vắng mặt của yếu tố dạng thấp (Rheumatoid Factor - RF) trong huyết thanh, giúp phân biệt với viêm khớp dạng thấp. Nguồn: Bệnh học nội khoa YHN."
noi-viem-cot-song-dinh-khop-mcq-005,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Vị trí tổn thương khớp đặc trưng và thường khởi phát đầu tiên của bệnh là ở đâu?,Khớp gối,Khớp cùng chậu,Cột sống cổ,Khớp háng,,b,Viêm khớp cùng chậu thường là biểu hiện đầu tiên và là tiêu chuẩn bắt buộc trong chẩn đoán hình ảnh kinh điển. Nguồn: Bệnh học nội khoa YHN.
noi-viem-cot-song-dinh-khop-mcq-006,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Tỷ lệ mang gen HLA-B27 ở bệnh nhân viêm cột sống dính khớp người lớn tại Việt Nam khoảng bao nhiêu phần trăm?,Dưới 10%,Khoảng 30-50%,Khoảng 80-90%,Gần như 100%,,c,"Ở Việt Nam và phần lớn thế giới, tỷ lệ bệnh nhân mang HLA-B27 dương tính chiếm khoảng 80- 90%. Nguồn: Bệnh học nội khoa YHN."
noi-viem-cot-song-dinh-khop-mcq-007,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Tổn thương giải phẫu bệnh nguyên phát và mấu chốt nhất của viêm cột sống dính khớp là gì?,Viêm màng hoạt dịch,Viêm điểm bám gân,Viêm sụn khớp,Viêm tủy xương,,b,"Viêm điểm bám gân (Enthesitis) là tổn thương bệnh sinh cơ bản, dẫn đến viêm, xơ hóa và cốt hóa tạo cầu xương. Nguồn: Bệnh học nội khoa YHN."
noi-viem-cot-song-dinh-khop-mcq-008,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Cơ chế hình thành cầu xương ở cột sống trong bệnh lý này là do quá trình nào?,Cốt hóa lớp ngoài vòng sợi đĩa đệm và các dây chằng,Lắng đọng tinh thể canxi pyrophosphat ở màng hoạt dịch,Phá hủy sụn khớp gây xẹp đốt sống,Viêm tủy xương tạo mủ và xơ hóa sinh xương,,a,"Quá trình viêm tại điểm bám gân kích thích tạo xương mới, gây cốt hóa các lớp ngoài của vòng sợi đĩa đệm tạo thành cầu xương. Nguồn: Bệnh học nội khoa YHN."
noi-viem-cot-song-dinh-khop-mcq-009,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Vai trò của phân tử HLA-B27 trong cơ chế miễn dịch liên quan đến việc trình diện kháng nguyên cho loại tế bào nào?,Tế bào B,Đại thực bào,Tế bào T CD4+,Tế bào T CD8+,,d,"HLA-B27 là phân tử MHC lớp I, có chức năng trình diện peptide kháng nguyên cho tế bào T CD8+ gây độc tế bào. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-viem-cot-song-dinh-khop-mcq-010,noi,Viêm cột sống dính khớp,Cơ xương khớp,,Cytokine nào sau đây đóng vai trò trung tâm trong quá trình viêm điểm bám gân và tân tạo xương?,Interleukin-4,Interleukin-10,Interleukin-17,Interferon-gamma,,c,"Trục IL-23/IL-17, đặc biệt là IL-17 đóng vai trò chủ chốt trong cơ chế viêm và tân tạo xương của bệnh. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
