id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-ap-xe-phoi-n2-mcq-001,noi,Áp xe phổi,Hô hấp,,"Theo định nghĩa kinh điển, áp xe phổi là tình trạng viêm nhiễm hoại tử nhu mô phổi tạo thành hang có kích thước tối thiểu là bao nhiêu?","Lớn hơn 0,5 cm",Lớn hơn 1 cm,Lớn hơn 2 cm,Lớn hơn 5 cm,,c,Định nghĩa áp xe phổi là sự hoại tử mô phổi do nhiễm khuẩn tạo thành hang chứa mủ có đường kính > 2 cm. Nguồn: Bệnh học nội khoa YHN.
noi-ap-xe-phoi-n2-mcq-002,noi,Áp xe phổi,Hô hấp,,Áp xe phổi được phân loại là mạn tính khi thời gian diễn biến bệnh kéo dài trên bao nhiêu tuần?,2 tuần,4 tuần,6 tuần,8 tuần,,c,Áp xe phổi mạn tính là thể bệnh kéo dài trên 6 tuần dù đã được điều trị hoặc do không được điều trị đúng cách. Mốc 6 tuần là mốc phân loại kinh điển.
noi-ap-xe-phoi-n2-mcq-003,noi,Áp xe phổi,Hô hấp,,Con đường xâm nhập gây bệnh phổ biến nhất của áp xe phổi nguyên phát là gì?,Đường máu,Đường kế cận từ màng phổi,Đường bạch huyết,Đường phế quản,,d,Hít sặc dịch tiết từ hầu họng hoặc dạ dày (đường phế quản) là cơ chế thường gặp nhất gây áp xe phổi nguyên phát. Nguồn: Bệnh học nội khoa YHN.
noi-ap-xe-phoi-n2-mcq-004,noi,Áp xe phổi,Hô hấp,,Đối tượng nào sau đây có nguy cơ cao nhất mắc áp xe phổi nguyên phát do hít sặc?,Bệnh nhân đái tháo đường typ 2 có kiểm soát,Bệnh nhân lạm dụng rượu hoặc động kinh,Bệnh nhân tăng huyết áp vô căn,Bệnh nhân viêm khớp dạng thấp,,b,"Người lạm dụng rượu, động kinh, tai biến mạch máu não có tình trạng rối loạn tri giác hoặc suy giảm phản xạ ho khạc, dễ hít sặc dịch hầu họng vào phổi."
noi-ap-xe-phoi-n2-mcq-005,noi,Áp xe phổi,Hô hấp,,Áp xe phổi do hít sặc ở tư thế nằm ngửa thường hay khu trú ở vị trí giải phẫu nào nhất?,Phân thùy đỉnh của thùy trên phổi trái,Phân thùy đỉnh của thùy dưới phổi phải,Phân thùy giữa của thùy giữa phổi phải,Phân thùy đáy trước của thùy dưới phổi trái,,b,"Do đặc điểm giải phẫu phế quản gốc phải dốc và to hơn, dịch hít sặc ở tư thế nằm dễ rơi vào phân thùy 6 (phân thùy đỉnh của thùy dưới) hoặc phân thùy 2 (thùy trên) phổi phải."
noi-ap-xe-phoi-n2-mcq-006,noi,Áp xe phổi,Hô hấp,,Đặc điểm nào sau đây dùng để định nghĩa áp xe phổi thứ phát?,Xảy ra trên nhu mô phổi lành lặn trước đó,Xảy ra trên một tổn thương phổi có sẵn hoặc tắc nghẽn phế quản,Xảy ra do vi khuẩn lây lan qua đường kế cận,Tình trạng hoại tử lan rộng cả hai bên phổi,,b,"Áp xe thứ phát là áp xe hình thành trên nền một tổn thương phổi có sẵn như kén khí, giãn phế quản, hoặc sau tắc nghẽn phế quản do u, dị vật."
noi-ap-xe-phoi-n2-mcq-007,noi,Áp xe phổi,Hô hấp,,Nhóm căn nguyên vi sinh vật nào đóng vai trò chủ đạo trong áp xe phổi hít sặc cộng đồng?,Vi khuẩn hiếu khí Gram âm,Vi khuẩn kị khí,Trực khuẩn lao,Nấm sợi,,b,"Vi khuẩn kị khí ở khoang miệng (Peptostreptococcus, Prevotella, Bacteroides, Fusobacterium) là nguyên nhân chính gây áp xe do hít sặc."
noi-ap-xe-phoi-n2-mcq-008,noi,Áp xe phổi,Hô hấp,,"Sự hình thành hình ảnh ""mức nước - hơi"" trong áp xe phổi phản ánh cơ chế sinh lý bệnh nào?",Vi khuẩn sinh hơi rải rác trong nhu mô,Ổ mủ hoại tử đã vỡ và thông với nhánh phế quản,Tình trạng tràn khí màng phổi kèm theo,Sự vỡ của một kén khí bẩm sinh,,b,"Hình mức nước hơi chỉ xuất hiện khi ổ mủ hoại tử đã vỡ vào cây phế quản, một phần mủ được khạc ra ngoài và không khí đi vào thế chỗ. Nguồn: Bệnh học nội khoa YHN."
noi-ap-xe-phoi-n2-mcq-009,noi,Áp xe phổi,Hô hấp,,Vi khuẩn nào thường có cơ chế phá hủy mô mạnh gây ra các bóng khí hoại tử mỏng ở trẻ em hoặc người trẻ?,Phế cầu,Tụ cầu vàng,Trực khuẩn mủ xanh,Liên cầu khuẩn,,b,"Tụ cầu vàng sinh độc tố phá hủy nhu mô nhanh, thường gây hoại tử tạo các bóng khí (pneumatocele) đặc trưng, nhất là ở trẻ em."
noi-ap-xe-phoi-n2-mcq-010,noi,Áp xe phổi,Hô hấp,,"Tổn thương viêm phổi hoại tử lan rộng, dịch tiết quánh dính làm phồng rãnh liên thùy thường do cơ chế độc lực của vi khuẩn nào?",Klebsiella pneumoniae,Mycoplasma pneumoniae,Legionella pneumophila,Haemophilus influenzae,,a,"Klebsiella pneumoniae tiết nhiều nang polysaccarid gây dịch tiết nhày đặc, viêm hoại tử nặng làm phồng rãnh liên thùy (bulging fissure sign)."
noi-ap-xe-phoi-n2-mcq-011,noi,Áp xe phổi,Hô hấp,,Cơ chế bệnh sinh của hội chứng Lemierre gây áp xe phổi là gì?,Viêm tĩnh mạch cảnh trong nhiễm khuẩn do Fusobacterium necrophorum lan theo đường máu,Viêm nội tâm mạc nhiễm khuẩn do Tụ cầu vàng,Vỡ hạch bạch huyết trung thất vào nhu mô phổi,Hít sặc dịch vị dạ dày có tính acid cao,,a,"Hội chứng Lemierre đặc trưng bởi viêm tắc tĩnh mạch cảnh trong kèm nhiễm khuẩn huyết, thường do vi khuẩn kị khí Fusobacterium necrophorum, bắn các cục máu đông nhiễm khuẩn vào phổi gây áp xe đa ổ."
noi-ap-xe-phoi-n2-mcq-012,noi,Áp xe phổi,Hô hấp,,Cơ chế chính gây áp xe phổi phía sau một khối u phế quản là gì?,Khối u tiết ra độc tố làm hoại tử mô,Tắc nghẽn cơ học làm giảm thanh thải dịch tiết và gây viêm phổi sau tắc nghẽn,Di căn ung thư theo đường máu,Phản ứng tự miễn của cơ thể với tế bào ung thư,,b,"Khối u làm hẹp lòng phế quản, cản trở sự dẫn lưu dịch tiết bình thường, vi khuẩn ứ đọng và phát triển dẫn tới viêm tấy và áp xe hóa."
noi-ap-xe-phoi-n2-mcq-013,noi,Áp xe phổi,Hô hấp,,"Hình ảnh áp xe đa ổ, phân bố chủ yếu ở ngoại vi hai bên phổi phản ánh cơ chế lây nhiễm qua đường nào?",Đường hít sặc trực tiếp,Đường bạch huyết,Đường kế cận từ dưới cơ hoành,Đường máu,,d,"Đường máu (ví dụ từ viêm nội tâm mạc thất phải, tiêm chích ma túy) thường mang các mảnh sùi vi khuẩn theo động mạch phổi, rải rác ra ngoại vi tạo áp xe nhỏ đa ổ hai bên."
noi-ap-xe-phoi-n2-mcq-014,noi,Áp xe phổi,Hô hấp,,"Trong quá trình tiến triển bệnh lý viêm tấy áp xe hóa, hiện tượng ""ếch mủ"" xảy ra vào giai đoạn nào?",Giai đoạn sung huyết,Giai đoạn nhục hóa,Giai đoạn hóa mủ và vỡ ổ mủ vào phế quản,Giai đoạn hình thành sẹo xơ,,c,"Ếch mủ (vomica) là hiện tượng khạc ra một lượng mủ lớn, đánh dấu sự chuyển tiếp từ giai đoạn ổ mủ kín sang ổ mủ hở do mủ vỡ vào phế quản."
noi-ap-xe-phoi-n2-mcq-015,noi,Áp xe phổi,Hô hấp,,Đặc điểm nào của đờm gợi ý mạnh mẽ nhất căn nguyên áp xe phổi do vi khuẩn kị khí?,Đờm màu rỉ sắt,Đờm sủi bọt hồng,Đờm có mùi thối khẳn,"Đờm nhầy trong, quánh dính",,c,Mùi thối khẳn (putrid) của đờm là dấu hiệu đặc hiệu của nhiễm trùng vi khuẩn kị khí do chúng sản sinh ra các acid béo chuỗi ngắn bay hơi. Nguồn: Bệnh học nội khoa YHN.
noi-ap-xe-phoi-n2-mcq-016,noi,Áp xe phổi,Hô hấp,,"Khám thực thể lồng ngực trong giai đoạn ""ổ mủ hở"" điển hình nhất sẽ phát hiện hội chứng gì?",Hội chứng đông đặc,Hội chứng hang,Hội chứng ba giảm,Hội chứng tràn khí màng phổi,,b,"Giai đoạn ổ mủ hở (sau ếch mủ), hang đã thông với phế quản và chứa khí. Khám có hội chứng hang: gõ trong, rì rào phế nang giảm và tiếng thổi hang."
noi-ap-xe-phoi-n2-mcq-017,noi,Áp xe phổi,Hô hấp,,"Triệu chứng ""ếch mủ"" điển hình được mô tả như thế nào?",Khạc đờm nhầy rải rác nhiều tháng,Đau ngực đột ngột kèm khó thở dữ dội,Đang ho húng hắng bỗng ho rũ rượi và ọc ra nhiều mủ,Ho ra máu khối lượng lớn chẩn đoán lầm với ho lao,,c,Bệnh nhân ho dữ dội và ọc ra lượng mủ lớn (có thể hàng trăm ml) do ổ mủ đột ngột vỡ thông vào đường thở lớn. Đây là triệu chứng kinh điển.
noi-ap-xe-phoi-n2-mcq-018,noi,Áp xe phổi,Hô hấp,,Triệu chứng ngón tay dùi trống thường biểu hiện rõ rệt nhất trong giai đoạn nào của áp xe phổi?,Trong tuần đầu tiên của bệnh,Giai đoạn ổ mủ kín viêm tấy,Áp xe phổi mạn tính kéo dài,Khi bắt đầu dùng kháng sinh tĩnh mạch,,c,"Ngón tay dùi trống là dấu hiệu của tình trạng thiếu oxy mô mạn tính và nhiễm độc mạn tính, thường chỉ xuất hiện khi áp xe kéo dài nhiều tuần đến nhiều tháng."
noi-ap-xe-phoi-n2-mcq-019,noi,Áp xe phổi,Hô hấp,,Đặc điểm lâm sàng nào giúp phân biệt nhiễm trùng kị khí so với nhiễm trùng hiếu khí ở phổi ban đầu?,"Khởi phát cấp tính, rầm rộ với sốt rất cao ngay ngày đầu","Khởi phát âm ỉ, diễn biến bán cấp trong vài tuần kèm sụt cân đáng kể",Không bao giờ gây ho ra máu,Luôn có ban đỏ ngoài da,,b,"Nhiễm trùng kị khí có đặc trưng diễn biến chậm, bán cấp hoặc mạn tính, người bệnh mệt mỏi, sụt cân kéo dài trước khi có biểu hiện rầm rộ, khác với viêm phổi cấp do hiếu khí."
