id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-dai-thao-duong-n2-mcq-001,noi,Đái tháo đường,Nội tiết,,Đặc điểm cơ bản nhất trong phân loại đái tháo đường typ 1 là gì?,Sự kháng insulin tại các mô ngoại vi,Tình trạng thiếu hụt insulin tương đối,Phá hủy tế bào beta dẫn đến thiếu insulin tuyệt đối,Tăng tiết glucagon bù trừ,,c,"Đái tháo đường typ 1 đặc trưng bởi sự phá hủy tế bào beta của tụy (thường do tự miễn), dẫn đến tình trạng thiếu hụt insulin tuyệt đối. (Nguồn: Bệnh học nội khoa YHN)"
noi-dai-thao-duong-n2-mcq-002,noi,Đái tháo đường,Nội tiết,,Thể đái tháo đường MODY (Maturity-Onset Diabetes of the Young) có đặc điểm di truyền nào sau đây?,Di truyền lặn trên nhiễm sắc thể thường,Di truyền trội trên nhiễm sắc thể thường,Di truyền liên kết nhiễm sắc thể giới tính X,Di truyền qua DNA ty thể,,b,"MODY là thể đái tháo đường đơn gen, di truyền theo kiểu gen trội trên nhiễm sắc thể thường, khởi phát sớm (thường trước 25 tuổi) và không phụ thuộc insulin hoàn toàn. (Nguồn: Bệnh học nội khoa YHN)"
noi-dai-thao-duong-n2-mcq-003,noi,Đái tháo đường,Nội tiết,,Khái niệm Đái tháo đường thai kỳ (Gestational Diabetes Mellitus) được định nghĩa chuẩn xác nhất là:,Bệnh nhân đái tháo đường typ 1 hoặc 2 mang thai,Rối loạn dung nạp glucose được chẩn đoán lần đầu trong 3 tháng đầu thai kỳ,Đái tháo đường được chẩn đoán trong 3 tháng giữa hoặc 3 tháng cuối của thai kỳ và không có bằng chứng ĐTĐ trước đó,Đái tháo đường xuất hiện ở phụ nữ có tiền sử sinh con to,,c,"Theo ADA, ĐTĐ thai kỳ là tình trạng đái tháo đường được chẩn đoán trong 3 tháng giữa hoặc cuối thai kỳ, loại trừ ĐTĐ thực sự (overt diabetes) đã mắc trước đó. (Nguồn: Guideline ADA)"
noi-dai-thao-duong-n2-mcq-004,noi,Đái tháo đường,Nội tiết,,Yếu tố nguy cơ quan trọng nhất đóng vai trò nền tảng trong sự phát triển của đái tháo đường typ 2 là:,Bệnh lý tự miễn,Béo phì và lối sống tĩnh tại,Nhiễm virus Coxsackie B4,"Đột biến gen HLA-DR3, DR4",,b,"Béo phì (đặc biệt béo phì trung tâm) và lối sống tĩnh tại là nền tảng gây ra đề kháng insulin, cơ chế sinh bệnh chính của đái tháo đường typ 2. (Nguồn: Bệnh học nội khoa YHN)"
noi-dai-thao-duong-n2-mcq-005,noi,Đái tháo đường,Nội tiết,,Đái tháo đường tự miễn tiềm tàng ở người trưởng thành (LADA) có đặc điểm:,Xảy ra chủ yếu ở trẻ em dưới 15 tuổi,Chẩn đoán thường không cần đến kháng thể,"Khởi phát ở người trưởng thành, có kháng thể tự miễn và tiến triển chậm đến phụ thuộc insulin",Có tình trạng đề kháng insulin rõ rệt với hội chứng gai đen,,c,LADA thực chất là đái tháo đường typ 1 tiến triển chậm ở người lớn. Bệnh nhân thường có kháng thể dương tính (như Anti-GAD) và không cần insulin ngay lúc mới chẩn đoán. (Nguồn: Bệnh học nội khoa YHN)
noi-dai-thao-duong-n2-mcq-006,noi,Đái tháo đường,Nội tiết,,Đái tháo đường typ 2 chiếm tỷ lệ khoảng bao nhiêu phần trăm trong tổng số bệnh nhân đái tháo đường?,5-10%,30-40%,60-70%,90-95%,,d,"Đái tháo đường typ 2 là thể phổ biến nhất, chiếm 90-95% tổng số các ca đái tháo đường trên toàn cầu. ĐTĐ typ 1 chỉ chiếm khoảng 5-10%. (Nguồn: Bệnh học nội khoa YHN)"
noi-dai-thao-duong-n2-mcq-007,noi,Đái tháo đường,Nội tiết,,Cơ chế chính gây ra triệu chứng tiểu nhiều trong bệnh đái tháo đường là:,Tăng áp lực thủy tĩnh ở cầu thận,Lợi niệu thẩm thấu do glucose vượt quá ngưỡng hấp thu của ống thận,Giảm tiết hormon chống bài niệu (ADH),Uống quá nhiều nước do khát,,b,"Khi đường huyết vượt ngưỡng thận (khoảng 10 mmol/L), glucose xuất hiện trong nước tiểu tạo áp lực thẩm thấu, kéo theo nước và điện giải gây tiểu nhiều. (Nguồn: Bệnh học nội khoa YHN)"
noi-dai-thao-duong-n2-mcq-008,noi,Đái tháo đường,Nội tiết,,Hiệu ứng Incretin bị suy giảm ở bệnh nhân đái tháo đường typ 2 có nghĩa là:,Tăng tiết insulin nhiều hơn khi truyền glucose tĩnh mạch so với uống,Ruột giảm hấp thu glucose sau ăn,Mất khả năng kích thích tiết insulin từ tụy sau khi nạp glucose đường uống,Tăng sản xuất glucagon từ tế bào alpha tụy sau ăn,,c,"Hiệu ứng incretin là hiện tượng đáp ứng insulin mạnh hơn khi uống glucose so với tiêm tĩnh mạch nhờ các hormon ruột (GLP- 1, GIP). Ở ĐTĐ typ 2, hiệu ứng này bị suy giảm đáng kể. (Nguồn: Bệnh học nội khoa YHN)"
noi-dai-thao-duong-n2-mcq-009,noi,Đái tháo đường,Nội tiết,,Thể ketone chính được sinh ra nhiều nhất trong máu bệnh nhân nhiễm toan ceton do đái tháo đường (DKA) là:,Acetoacetate,Acetone,Beta-hydroxybutyrate,Acid pyruvic,,c,"Beta-hydroxybutyrate là loại ketone ưu thế nhất được sinh ra trong DKA. Đây là ""bẫy kinh điển"" vì que thử ketone nước tiểu thông thường chỉ phát hiện acetoacetate, dễ làm đánh giá thấp mức độ toan. (Nguồn: CURRENT 2026)"
noi-dai-thao-duong-n2-mcq-010,noi,Đái tháo đường,Nội tiết,,"Hiện tượng ""Bình minh"" (Dawn phenomenon) ở bệnh nhân đái tháo đường được giải thích do cơ chế nào?",Hạ đường huyết trong đêm gây tăng đường huyết phản ứng,"Giảm độ nhạy insulin vào sáng sớm do bài tiết các hormon đối kháng (GH, cortisol)",Quên tiêm insulin nền vào buổi tối hôm trước,Ăn quá nhiều carbohydrate vào bữa phụ ban đêm,,b,"Hiện tượng Bình minh là tình trạng tăng đường huyết lúc sáng sớm do nhịp tiết sinh lý của các hormon đối kháng insulin (như Growth Hormone, Cortisol) làm tăng đề kháng insulin. (Nguồn: CURRENT 2026)"
