id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-leukemia-case-1-1,noi,Khác,Huyết học,"Bệnh nhi nam 5 tuổi được mẹ đưa vào viện vì sốt cao liên tục 1 tuần, da xanh xao và đi lại khập khiễng. Mẹ bé cho biết bé mệt mỏi, biếng ăn, sụt 2kg trong 1 tháng và gần đây hay than đau ở hai chân, đặc biệt về đêm. Trên da bé xuất hiện nhiều nốt xuất huyết dạng chấm và mảng bầm tím nhỏ dù không va chạm mạnh. Tiền sử bản thân và gia đình không có bệnh lý đặc biệt. Khám thấy trẻ tỉnh, vẻ mặt mệt mỏi, da niêm mạc rất nhợt, có nhiều chấm và mảng xuất huyết đa lứa tuổi ở cẳng tay, cẳng chân. Hạch cổ hai bên, nách, bẹn sờ thấy nhiều hạch kích thước 1-2 cm, chắc, di động; gan lách mấp mé bờ sườn. Trẻ không có dấu hiệu thần kinh khu trú, không cứng gáy. Sinh hiệu: Mạch 120 lần/phút, Nhiệt độ 38.5°C, Huyết áp 95/60 mmHg, Nhịp thở 25 lần/phút. Cận lâm sàng: Hemoglobin (Hb) 65 g/L, Số lượng bạch cầu (WBC) 35.0 G/L, Tiểu cầu 20 G/L. Phết máu ngoại vi thấy 70% tế bào non (blast) kích thước nhỏ, hạt nhân mịn, nhân không rõ, bào tương rất hẹp.",Chẩn đoán phù hợp nhất với bệnh nhân này là gì?,Lơ-xê-mi cấp dòng lympho (ALL).,Lơ-xê-mi cấp dòng tủy (AML).,Suy tủy xương.,Phản ứng giả lơ-xê-mi do nhiễm trùng.,,a,"Bệnh cảnh một trẻ nhỏ có hội chứng suy tủy (thiếu máu, xuất huyết) kèm theo xâm lấn cơ quan (gan, lách, hạch to) và đau xương, cùng với số lượng bạch cầu tăng cao với tỷ lệ blast chiếm đa số là hình ảnh rất điển hình của Lơ-xê-mi cấp. Đặc điểm hình thái tế bào blast (nhỏ, bào tương hẹp) gợi ý đến dòng lympho (ALL), vốn là thể bệnh bạch cầu cấp phổ biến nhất ở trẻ em."
noi-leukemia-case-1-2,noi,Khác,Huyết học,"Bệnh nhi nam 5 tuổi được mẹ đưa vào viện vì sốt cao liên tục 1 tuần, da xanh xao và đi lại khập khiễng. Mẹ bé cho biết bé mệt mỏi, biếng ăn, sụt 2kg trong 1 tháng và gần đây hay than đau ở hai chân, đặc biệt về đêm. Trên da bé xuất hiện nhiều nốt xuất huyết dạng chấm và mảng bầm tím nhỏ dù không va chạm mạnh. Tiền sử bản thân và gia đình không có bệnh lý đặc biệt. Khám thấy trẻ tỉnh, vẻ mặt mệt mỏi, da niêm mạc rất nhợt, có nhiều chấm và mảng xuất huyết đa lứa tuổi ở cẳng tay, cẳng chân. Hạch cổ hai bên, nách, bẹn sờ thấy nhiều hạch kích thước 1-2 cm, chắc, di động; gan lách mấp mé bờ sườn. Trẻ không có dấu hiệu thần kinh khu trú, không cứng gáy. Sinh hiệu: Mạch 120 lần/phút, Nhiệt độ 38.5°C, Huyết áp 95/60 mmHg, Nhịp thở 25 lần/phút. Cận lâm sàng: Hemoglobin (Hb) 65 g/L, Số lượng bạch cầu (WBC) 35.0 G/L, Tiểu cầu 20 G/L. Phết máu ngoại vi thấy 70% tế bào non (blast) kích thước nhỏ, hạt nhân mịn, nhân không rõ, bào tương rất hẹp.","Cơ chế chính gây ra các triệu chứng thiếu máu, xuất huyết và sốt ở bệnh nhân là gì?",Sự phá hủy các tế bào máu trưởng thành ở máu ngoại vi do lách to.,"Sự tăng sinh và lấn át của các tế bào blast ác tính trong tủy xương, làm giảm sinh các dòng tế bào máu bình thường.","Tự kháng thể do tế bào blast sản xuất ra tấn công hồng cầu, tiểu cầu và bạch cầu hạt.",Sự tiêu thụ các yếu tố đông máu và tế bào máu trong hội chứng đông máu rải rác nội mạch.,,b,"Cơ chế bệnh sinh cốt lõi của lơ-xê-mi cấp là sự tăng sinh không kiểm soát của một dòng tế bào non ác tính (blast) trong tủy xương. Các tế bào này chiếm hết không gian và chất dinh dưỡng của tủy, dẫn đến ức chế và làm suy giảm quá trình sản xuất các dòng tế bào máu bình thường: giảm hồng cầu gây thiếu máu, giảm tiểu cầu gây xuất huyết, và giảm bạch cầu hạt trưởng thành gây suy giảm miễn dịch và dễ nhiễm trùng (sốt)."
noi-leukemia-case-1-3,noi,Khác,Huyết học,"Bệnh nhi nam 5 tuổi được mẹ đưa vào viện vì sốt cao liên tục 1 tuần, da xanh xao và đi lại khập khiễng. Mẹ bé cho biết bé mệt mỏi, biếng ăn, sụt 2kg trong 1 tháng và gần đây hay than đau ở hai chân, đặc biệt về đêm. Trên da bé xuất hiện nhiều nốt xuất huyết dạng chấm và mảng bầm tím nhỏ dù không va chạm mạnh. Tiền sử bản thân và gia đình không có bệnh lý đặc biệt. Khám thấy trẻ tỉnh, vẻ mặt mệt mỏi, da niêm mạc rất nhợt, có nhiều chấm và mảng xuất huyết đa lứa tuổi ở cẳng tay, cẳng chân. Hạch cổ hai bên, nách, bẹn sờ thấy nhiều hạch kích thước 1-2 cm, chắc, di động; gan lách mấp mé bờ sườn. Trẻ không có dấu hiệu thần kinh khu trú, không cứng gáy. Sinh hiệu: Mạch 120 lần/phút, Nhiệt độ 38.5°C, Huyết áp 95/60 mmHg, Nhịp thở 25 lần/phút. Cận lâm sàng: Hemoglobin (Hb) 65 g/L, Số lượng bạch cầu (WBC) 35.0 G/L, Tiểu cầu 20 G/L. Phết máu ngoại vi thấy 70% tế bào non (blast) kích thước nhỏ, hạt nhân mịn, nhân không rõ, bào tương rất hẹp.",Xét nghiệm nào sau đây có giá trị quyết định để chẩn đoán xác định và phân loại bệnh?,Chỉ lặp lại công thức máu,Chỉ chụp X-quang xương,"Tủy đồ hoặc sinh thiết tủy kết hợp flow cytometry, di truyền tế bào và xét nghiệm phân tử",Chỉ định lượng Ferritin,,c,"Chẩn đoán xác định và phân loại ALL cần đánh giá tủy xương, xác định dòng bằng flow cytometry và khảo sát di truyền tế bào/phân tử. Những dữ liệu này quyết định phân nhóm nguy cơ, điều trị đích và theo dõi bệnh tồn dư đo được."
noi-leukemia-case-1-4,noi,Khác,Huyết học,"Bệnh nhi nam 5 tuổi được mẹ đưa vào viện vì sốt cao liên tục 1 tuần, da xanh xao và đi lại khập khiễng. Mẹ bé cho biết bé mệt mỏi, biếng ăn, sụt 2kg trong 1 tháng và gần đây hay than đau ở hai chân, đặc biệt về đêm. Trên da bé xuất hiện nhiều nốt xuất huyết dạng chấm và mảng bầm tím nhỏ dù không va chạm mạnh. Tiền sử bản thân và gia đình không có bệnh lý đặc biệt. Khám thấy trẻ tỉnh, vẻ mặt mệt mỏi, da niêm mạc rất nhợt, có nhiều chấm và mảng xuất huyết đa lứa tuổi ở cẳng tay, cẳng chân. Hạch cổ hai bên, nách, bẹn sờ thấy nhiều hạch kích thước 1-2 cm, chắc, di động; gan lách mấp mé bờ sườn. Trẻ không có dấu hiệu thần kinh khu trú, không cứng gáy. Sinh hiệu: Mạch 120 lần/phút, Nhiệt độ 38.5°C, Huyết áp 95/60 mmHg, Nhịp thở 25 lần/phút. Cận lâm sàng: Hemoglobin (Hb) 65 g/L, Số lượng bạch cầu (WBC) 35.0 G/L, Tiểu cầu 20 G/L. Phết máu ngoại vi thấy 70% tế bào non (blast) kích thước nhỏ, hạt nhân mịn, nhân không rõ, bào tương rất hẹp.",Tại sao bệnh nhân lại có triệu chứng đau xương?,Do các khối u lympho chèn ép vào rễ thần kinh.,Do hoại tử xương lan tỏa.,Do xuất huyết trong khớp.,"Do sự xâm lấn và tăng sinh của các tế bào blast trong khoang tủy, làm tăng áp lực và căng màng xương.",,d,"Đau xương là một triệu chứng thường gặp. Sự tăng sinh ồ ạt của quần thể tế bào blast trong khoang tủy xương làm tăng áp lực bên trong tủy, gây căng màng xương (một cấu trúc rất nhạy cảm với đau) và xâm lấn vào vỏ xương, gây ra các cơn đau nhức sâu sắc, đặc biệt ở các xương dài."
noi-leukemia-case-2-1,noi,Khác,Huyết học,"đoạn: Giai đoạn mạn tính (kéo dài vài năm, các triệu chứng như trên); Giai đoạn tăng tốc (bệnh trở nên khó kiểm soát hơn, tỷ lệ blast tăng); và Giai đoạn chuyển cấp (bệnh chuyển D. Giai đoạn mạn tính, giai đoạn tăng tốc, giai đoạn chuyển cấp (khủng hoảng blast). thành lơ-xê-mi cấp, thường là AML hoặc ALL, với tỷ lệ blast > 20%, tiên lượng rất xấu). Mục tiêu của điều trị là duy trì bệnh ở giai đoạn mạn tính. Bệnh nhân nam 35 tuổi, vào viện vì chảy máu chân răng khó cầm và sốt cao 39°C. Khám thấy bệnh nhân rất mệt, da niêm mạc nhợt, có nhiều mảng xuất huyết lớn trên da. Bệnh nhân không có gan lách hạch to. Cận lâm sàng: Hb 70 g/L, WBC 15.0 G/L, Tiểu cầu 15 G/L. Phết máu ngoại vi có 60% tế bào non, trong đó nhiều tế bào có bào tương chứa rất nhiều hạt thô, một số tế bào có nhiều thể Auer xếp thành bó (faggot cells). Xét nghiệm đông máu cho thấy thời gian Prothrombin (PT) và aPTT kéo dài, Fibrinogen giảm nặng (0.5 g/L), D-dimer tăng rất cao. Bệnh nhân được chẩn đoán Lơ-xê-mi cấp thể tiền tủy bào (APL).",Biến chứng đông máu mà bệnh nhân đang gặp phải là gì?,Đông máu rải rác nội mạch (DIC).,Bệnh Von Willebrand mắc phải.,Xuất huyết giảm tiểu cầu đơn thuần.,Ức chế yếu tố đông máu mắc phải.,,a,"Bệnh cảnh chảy máu nặng kèm theo các bằng chứng xét nghiệm về sự hoạt hóa đông máu (PT, aPTT kéo dài) và tiêu thụ các yếu tố đông máu (fibrinogen giảm, D-dimer tăng) là hình ảnh điển hình của hội chứng đông máu rải rác nội mạch (DIC). Đây là một cấp cứu huyết học."
noi-leukemia-case-2-2,noi,Khác,Huyết học,"đoạn: Giai đoạn mạn tính (kéo dài vài năm, các triệu chứng như trên); Giai đoạn tăng tốc (bệnh trở nên khó kiểm soát hơn, tỷ lệ blast tăng); và Giai đoạn chuyển cấp (bệnh chuyển D. Giai đoạn mạn tính, giai đoạn tăng tốc, giai đoạn chuyển cấp (khủng hoảng blast). thành lơ-xê-mi cấp, thường là AML hoặc ALL, với tỷ lệ blast > 20%, tiên lượng rất xấu). Mục tiêu của điều trị là duy trì bệnh ở giai đoạn mạn tính. Bệnh nhân nam 35 tuổi, vào viện vì chảy máu chân răng khó cầm và sốt cao 39°C. Khám thấy bệnh nhân rất mệt, da niêm mạc nhợt, có nhiều mảng xuất huyết lớn trên da. Bệnh nhân không có gan lách hạch to. Cận lâm sàng: Hb 70 g/L, WBC 15.0 G/L, Tiểu cầu 15 G/L. Phết máu ngoại vi có 60% tế bào non, trong đó nhiều tế bào có bào tương chứa rất nhiều hạt thô, một số tế bào có nhiều thể Auer xếp thành bó (faggot cells). Xét nghiệm đông máu cho thấy thời gian Prothrombin (PT) và aPTT kéo dài, Fibrinogen giảm nặng (0.5 g/L), D-dimer tăng rất cao. Bệnh nhân được chẩn đoán Lơ-xê-mi cấp thể tiền tủy bào (APL).",Cơ chế chính gây ra tình trạng rối loạn đông máu nặng trong APL là gì?,Suy gan cấp gây giảm tổng hợp các yếu tố đông máu.,"Các hạt trong tế bào tiền tủy bào ác tính giải phóng ra các chất giống yếu tố mô, hoạt hóa ồ ạt con đường đông máu.",Tự kháng thể chống lại tiểu cầu và fibrinogen.,Tăng sinh quá mức của dòng mẫu tiểu cầu trong tủy xương.,,b,"APL là một thể AML đặc biệt, luôn đi kèm với DIC. Các hạt bất thường trong bào tương của các tế bào tiền tủy bào (promyelocyte) ác tính chứa một lượng lớn các chất hoạt hóa đông máu (như yếu tố mô) và các chất hoạt hóa tiêu sợi huyết. Khi các tế bào này chết, chúng giải phóng ồ ạt các chất này vào tuần hoàn, gây ra DIC và chảy máu nghiêm trọng."
noi-leukemia-case-2-3,noi,Khác,Huyết học,"đoạn: Giai đoạn mạn tính (kéo dài vài năm, các triệu chứng như trên); Giai đoạn tăng tốc (bệnh trở nên khó kiểm soát hơn, tỷ lệ blast tăng); và Giai đoạn chuyển cấp (bệnh chuyển D. Giai đoạn mạn tính, giai đoạn tăng tốc, giai đoạn chuyển cấp (khủng hoảng blast). thành lơ-xê-mi cấp, thường là AML hoặc ALL, với tỷ lệ blast > 20%, tiên lượng rất xấu). Mục tiêu của điều trị là duy trì bệnh ở giai đoạn mạn tính. Bệnh nhân nam 35 tuổi, vào viện vì chảy máu chân răng khó cầm và sốt cao 39°C. Khám thấy bệnh nhân rất mệt, da niêm mạc nhợt, có nhiều mảng xuất huyết lớn trên da. Bệnh nhân không có gan lách hạch to. Cận lâm sàng: Hb 70 g/L, WBC 15.0 G/L, Tiểu cầu 15 G/L. Phết máu ngoại vi có 60% tế bào non, trong đó nhiều tế bào có bào tương chứa rất nhiều hạt thô, một số tế bào có nhiều thể Auer xếp thành bó (faggot cells). Xét nghiệm đông máu cho thấy thời gian Prothrombin (PT) và aPTT kéo dài, Fibrinogen giảm nặng (0.5 g/L), D-dimer tăng rất cao. Bệnh nhân được chẩn đoán Lơ-xê-mi cấp thể tiền tủy bào (APL).",Bất thường di truyền đặc trưng của APL là gì?,t(9;22)(q34;q11).,t(8;14)(q24;q32).,t(15;17)(q22;q12).,Đột biến JAK2 V617F.,,c,"APL được định nghĩa bởi sự hiện diện của chuyển đoạn đặc hiệu t(15;17). Chuyển đoạn này tạo ra một gen dung hợp PML-RARA, mã hóa cho một protein bất thường ngăn cản sự biệt hóa của tế bào ở giai đoạn tiền tủy bào."
noi-leukemia-case-2-4,noi,Khác,Huyết học,"đoạn: Giai đoạn mạn tính (kéo dài vài năm, các triệu chứng như trên); Giai đoạn tăng tốc (bệnh trở nên khó kiểm soát hơn, tỷ lệ blast tăng); và Giai đoạn chuyển cấp (bệnh chuyển D. Giai đoạn mạn tính, giai đoạn tăng tốc, giai đoạn chuyển cấp (khủng hoảng blast). thành lơ-xê-mi cấp, thường là AML hoặc ALL, với tỷ lệ blast > 20%, tiên lượng rất xấu). Mục tiêu của điều trị là duy trì bệnh ở giai đoạn mạn tính. Bệnh nhân nam 35 tuổi, vào viện vì chảy máu chân răng khó cầm và sốt cao 39°C. Khám thấy bệnh nhân rất mệt, da niêm mạc nhợt, có nhiều mảng xuất huyết lớn trên da. Bệnh nhân không có gan lách hạch to. Cận lâm sàng: Hb 70 g/L, WBC 15.0 G/L, Tiểu cầu 15 G/L. Phết máu ngoại vi có 60% tế bào non, trong đó nhiều tế bào có bào tương chứa rất nhiều hạt thô, một số tế bào có nhiều thể Auer xếp thành bó (faggot cells). Xét nghiệm đông máu cho thấy thời gian Prothrombin (PT) và aPTT kéo dài, Fibrinogen giảm nặng (0.5 g/L), D-dimer tăng rất cao. Bệnh nhân được chẩn đoán Lơ-xê-mi cấp thể tiền tủy bào (APL).","Ngoài hóa trị liệu thông thường, liệu pháp nhắm trúng đích nào là nền tảng trong điều trị APL?",Chờ đủ kết quả di truyền rồi mới điều trị,Chỉ dùng kháng sinh phổ rộng,Chỉ truyền tiểu cầu,"Bắt đầu ATRA ngay khi nghi ngờ APL, đồng thời xử trí rối loạn đông máu; sau xác nhận dùng phác đồ ATO và/hoặc hóa trị theo nguy cơ",,d,"APL là cấp cứu huyết học vì nguy cơ DIC và xuất huyết sớm. ATRA phải được bắt đầu ngay khi nghi ngờ, không chờ xác nhận PML::RARA; đồng thời hỗ trợ tích cực chế phẩm máu. Điều trị tiếp theo dùng ATO và/hoặc hóa trị theo nhóm nguy cơ."
noi-leukemia-case-3-1,noi,Khác,Huyết học,"ngăn chặn các con đường truyền tín hiệu của acid retinoic, làm tế bào bị ""kẹt"" ở giai đoạn tiền tủy bào. ATRA, khi được dùng ở liều dược lý, có khả năng vượt qua sự ức chế này, gắn vào thụ thể RARA bất thường và kích hoạt lại chương trình biệt hóa. Kết quả là các tế bào ác tính sẽ trưởng thành thành các bạch cầu trung tính và chết đi một cách sinh lý, đồng thời giải quyết được tình trạng DIC. Bệnh nhân nam 58 tuổi, nông dân, vào viện vì mệt mỏi và dễ bị nhiễm trùng. Gần 1 năm nay, ông hay bị các đợt viêm phổi tái đi tái lại. Khám thấy bệnh nhân nhợt nhạt, lách to độ III, không có hạch ngoại vi. Công thức máu: Hb 80 g/L, WBC 2.5 G/L (Neutrophil 0.4 G/L), Tiểu cầu 60 G/L. Phết máu ngoại vi cho thấy các tế bào lympho không điển hình, kích thước trung bình, nhân hình bầu dục hoặc hình hạt đậu, và đặc biệt là bào tương có các ""lông"" mảnh, dài. Tủy đồ khó hút, sinh thiết tủy cho thấy tủy nghèo tế bào và tăng sinh sợi reticulin, bị xâm lấn bởi các tế bào lympho đơn dạng. Nhuộm hóa học tế bào cho thấy các tế bào này dương tính mạnh với Tartrate-resistant acid phosphatase (TRAP).",Chẩn đoán nào là phù hợp nhất?,Suy tủy xương.,Lơ-xê-mi thể tế bào tóc (Hairy cell leukemia).,Xơ tủy nguyên phát.,U lympho tế bào Mantle.,,b,"Sự kết hợp của giảm ba dòng tế bào máu, lách to (thường rất to) mà không có hạch to, và sự hiện diện của các tế bào lympho có hình thái đặc trưng (tế bào tóc) trên phết máu là hình ảnh kinh điển của Lơ-xê-mi thể tế bào tóc, một bệnh lý tăng sinh lympho B mạn tính hiếm gặp."
noi-leukemia-case-3-2,noi,Khác,Huyết học,"ngăn chặn các con đường truyền tín hiệu của acid retinoic, làm tế bào bị ""kẹt"" ở giai đoạn tiền tủy bào. ATRA, khi được dùng ở liều dược lý, có khả năng vượt qua sự ức chế này, gắn vào thụ thể RARA bất thường và kích hoạt lại chương trình biệt hóa. Kết quả là các tế bào ác tính sẽ trưởng thành thành các bạch cầu trung tính và chết đi một cách sinh lý, đồng thời giải quyết được tình trạng DIC. Bệnh nhân nam 58 tuổi, nông dân, vào viện vì mệt mỏi và dễ bị nhiễm trùng. Gần 1 năm nay, ông hay bị các đợt viêm phổi tái đi tái lại. Khám thấy bệnh nhân nhợt nhạt, lách to độ III, không có hạch ngoại vi. Công thức máu: Hb 80 g/L, WBC 2.5 G/L (Neutrophil 0.4 G/L), Tiểu cầu 60 G/L. Phết máu ngoại vi cho thấy các tế bào lympho không điển hình, kích thước trung bình, nhân hình bầu dục hoặc hình hạt đậu, và đặc biệt là bào tương có các ""lông"" mảnh, dài. Tủy đồ khó hút, sinh thiết tủy cho thấy tủy nghèo tế bào và tăng sinh sợi reticulin, bị xâm lấn bởi các tế bào lympho đơn dạng. Nhuộm hóa học tế bào cho thấy các tế bào này dương tính mạnh với Tartrate-resistant acid phosphatase (TRAP).",Đặc điểm nào là nổi bật và gợi ý nhất của bệnh này?,Giảm ba dòng tế bào máu và lách to.,Tủy khó hút (dry tap).,"Giảm ba dòng, lách to, tủy khó hút và tế bào có nhú bào tương là tổ hợp gợi ý mạnh.","Các tế bào lympho có ""lông"" trên phết máu ngoại vi.",,c,"Tất cả các đặc điểm trên đều rất gợi ý. Giảm ba dòng tế bào máu là do sự xâm lấn tủy và cường lách. Tủy khó hút là do tình trạng xơ hóa tủy. Và hình thái tế bào ""tóc"" là dấu hiệu đặc trưng trên lam máu."
