id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-rl-nuoc-na-mcq-001,noi,RL nước (Na+),Hồi sức cấp cứu,,"Theo định nghĩa kinh điển, hạ natri máu được xác định khi nồng độ natri huyết thanh thấp hơn mức nào sau đây?",130 mmol/L,135 mmol/L,140 mmol/L,125 mmol/L,,b,Hạ natri máu được định nghĩa là khi nồng độ natri huyết thanh < 135 mmol/L. Đây là mốc cơ bản cần nhớ để phát hiện sớm các rối loạn nước và điện giải trên lâm sàng. Nguồn: Bệnh học nội khoa YHN.
noi-rl-nuoc-na-mcq-002,noi,RL nước (Na+),Hồi sức cấp cứu,,Tăng natri máu được định nghĩa là tình trạng nồng độ natri huyết thanh vượt qua ngưỡng nào dưới đây?,140 mmol/L,142 mmol/L,145 mmol/L,150 mmol/L,,c,Tăng natri máu là khi nồng độ natri huyết thanh > 145 mmol/L. Tình trạng này hầu như luôn phản ánh sự mất cân bằng về nước (thiếu hụt nước tương đối so với natri).
noi-rl-nuoc-na-mcq-003,noi,RL nước (Na+),Hồi sức cấp cứu,,Vai trò sinh lý quan trọng nhất của ion Natri trong cơ thể là gì?,Duy trì điện thế nghỉ màng tế bào,Quyết định áp lực thẩm thấu dịch ngoại bào,Tham gia vào quá trình đông máu,Điều hòa co bóp cơ tim,,b,"Natri là cation chính của dịch ngoại bào, do đó nó quyết định chủ yếu áp lực thẩm thấu ngoại bào và thể tích nội mạch, chi phối sự phân bố nước trong cơ thể."
noi-rl-nuoc-na-mcq-004,noi,RL nước (Na+),Hồi sức cấp cứu,,Hạ natri máu mức độ nặng (profound hyponatremia) thường được phân loại khi nồng độ natri máu dưới ngưỡng nào?,130 mmol/L,125 mmol/L,120 mmol/L,115 mmol/L,,c,"Theo các hướng dẫn thực hành, hạ natri máu < 120 mmol/L được coi là mức độ nặng và có nguy cơ cao đe dọa tính mạng do phù não cấp. Nguồn: Guideline cấp cứu nội khoa."
noi-rl-nuoc-na-mcq-005,noi,RL nước (Na+),Hồi sức cấp cứu,,Đặc điểm cốt lõi của hội chứng SIADH là gì?,Mất natri quá mức qua đường tiêu hóa,Tăng bài tiết hormone chống bài niệu không phù hợp,Giảm bài tiết aldosterone nguyên phát,Tăng thải nước tự do qua thận,,b,"SIADH là hội chứng tiết ADH không thích hợp, làm cho cơ thể giữ nước tự do bất chấp áp lực thẩm thấu máu đang thấp. Đây là ý nền tảng để hiểu sinh lý bệnh của SIADH."
noi-rl-nuoc-na-mcq-006,noi,RL nước (Na+),Hồi sức cấp cứu,,Nguyên nhân phổ biến nhất gây hạ natri máu có áp lực thẩm thấu máu tăng (hạ natri máu ưu trương) là gì?,Tăng protein máu,Tăng triglyceride máu,Tăng đường huyết,Tăng ure máu,,c,"Tăng đường huyết làm tăng áp lực thẩm thấu ngoại bào, kéo nước từ trong tế bào ra ngoài, làm pha loãng natri máu. Tăng protein/lipid gây hạ natri máu đẳng trương (giả tạo)."
noi-rl-nuoc-na-mcq-007,noi,RL nước (Na+),Hồi sức cấp cứu,,Cơ chế bảo vệ đầu tiên và quan trọng nhất của cơ thể để chống lại tình trạng tăng natri máu là gì?,Kích thích cảm giác khát,Tăng bài tiết aldosterone,Giảm bài tiết ADH,Tăng nhịp tim để tăng tưới máu thận,,a,Khát là cơ chế bảo vệ tối thượng. Tăng natri máu nặng hiếm khi xảy ra ở người có cảm giác khát bình thường và tiếp cận được với nước.
noi-rl-nuoc-na-mcq-008,noi,RL nước (Na+),Hồi sức cấp cứu,,Cơ chế chính gây hạ natri máu ở bệnh nhân suy tim sung huyết là gì?,Suy thận cấp đi kèm làm giảm thải natri,Dùng thuốc ức chế men chuyển làm tăng thải natri,Giảm thể tích động mạch hiệu dụng kích thích tăng tiết ADH,Ức chế hệ Renin-Angiotensin-Aldosterone,,c,"Trong suy tim, cung lượng tim giảm làm giảm thể tích động mạch hiệu dụng, kích thích các thụ thể áp lực tiết ADH (không do áp lực thẩm thấu) gây giữ nước tự do và pha loãng máu."
noi-rl-nuoc-na-mcq-009,noi,RL nước (Na+),Hồi sức cấp cứu,,Hiện tượng sinh lý bệnh nào gây ra các triệu chứng thần kinh nguy hiểm trong hạ natri máu cấp tính?,Teo tế bào não do nước đi ra ngoại bào,Xuất huyết nhu mô não,Nước di chuyển vào tế bào não gây phù não,Nhồi máu não đa ổ,,c,"Hạ natri máu làm áp lực thẩm thấu ngoại bào thấp hơn nội bào, nước sẽ di chuyển vào trong tế bào não gây phù não cấp, dẫn đến tăng áp lực nội sọ."
noi-rl-nuoc-na-mcq-010,noi,RL nước (Na+),Hồi sức cấp cứu,,Cơ chế gây bệnh trong đái tháo nhạt thể trung ương là gì?,Thận không đáp ứng với ADH,Tuyến yên giảm hoặc không bài tiết ADH,Tăng phá hủy ADH tại gan,Uống quá nhiều nước do rối loạn tâm thần,,b,"Đái tháo nhạt trung ương do vùng dưới đồi - tuyến yên tổn thương dẫn đến thiếu hụt ADH, làm thận không thể cô đặc nước tiểu, gây mất nước tự do và tăng natri máu."
