id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-thoai-hoa-khop-casen2-1-1,noi,Thoái hóa khớp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 62 tuổi, là thợ may về hưu, đến khám vì đau khớp gối hai bên tiến triển từ nhiều năm nay. Bệnh nhân mô tả cơn đau có tính chất cơ học, tăng lên khi đi lại, leo cầu thang và giảm khi nghỉ ngơi. Buổi sáng khi ngủ dậy, bà cảm thấy cứng khớp gối nhưng chỉ kéo dài khoảng 15-20 phút rồi vận động lại được. Gần đây, bà nghe thấy tiếng lạo xạo, lục khục trong khớp gối khi co duỗi. Bệnh nhân không sốt, không sụt cân, không có các triệu chứng toàn thân khác. Tiền sử tăng huyết áp đang kiểm soát tốt với Amlodipine 5 mg/ngày. Khám: ý thức tỉnh táo, sinh hiệu ổn, SpO₂ 98% khí trời, BMI 29 kg/m². Khám khớp gối hai bên thấy có dấu hiệu phì đại xương, trục chi dưới bị lệch trong (chân vòng kiềng), ấn các điểm bám của dây chằng bên trong có đau. Dấu hiệu ""bào gỗ"" dương tính, không có sưng nóng đỏ rõ. Khám các khớp khác, bao gồm cả khớp bàn tay, không phát hiện sưng đau. Xét nghiệm máu VS và CRP trong giới hạn bình thường. X-quang khớp gối tư thế đứng thẳng cho thấy hẹp không đối xứng khe khớp ở khoang trong, gai xương ở rìa mâm chày và đặc xương dưới sụn.",Chẩn đoán nào là phù hợp nhất với bệnh nhân này?,Viêm khớp dạng thấp.,Viêm khớp vảy nến.,Bệnh gút.,Thoái hóa khớp gối.,,d,"Bệnh cảnh đau khớp kiểu cơ học, cứng khớp buổi sáng ngắn, có lạo xạo khớp, ở một phụ nữ lớn tuổi, thừa cân, cùng với hình ảnh X-quang điển hình (hẹp khe khớp, gai xương, đặc xương dưới sụn) là kinh điển cho thoái hóa khớp gối."
noi-thoai-hoa-khop-casen2-1-2,noi,Thoái hóa khớp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 62 tuổi, là thợ may về hưu, đến khám vì đau khớp gối hai bên tiến triển từ nhiều năm nay. Bệnh nhân mô tả cơn đau có tính chất cơ học, tăng lên khi đi lại, leo cầu thang và giảm khi nghỉ ngơi. Buổi sáng khi ngủ dậy, bà cảm thấy cứng khớp gối nhưng chỉ kéo dài khoảng 15-20 phút rồi vận động lại được. Gần đây, bà nghe thấy tiếng lạo xạo, lục khục trong khớp gối khi co duỗi. Bệnh nhân không sốt, không sụt cân, không có các triệu chứng toàn thân khác. Tiền sử tăng huyết áp đang kiểm soát tốt với Amlodipine 5 mg/ngày. Khám: ý thức tỉnh táo, sinh hiệu ổn, SpO₂ 98% khí trời, BMI 29 kg/m². Khám khớp gối hai bên thấy có dấu hiệu phì đại xương, trục chi dưới bị lệch trong (chân vòng kiềng), ấn các điểm bám của dây chằng bên trong có đau. Dấu hiệu ""bào gỗ"" dương tính, không có sưng nóng đỏ rõ. Khám các khớp khác, bao gồm cả khớp bàn tay, không phát hiện sưng đau. Xét nghiệm máu VS và CRP trong giới hạn bình thường. X-quang khớp gối tư thế đứng thẳng cho thấy hẹp không đối xứng khe khớp ở khoang trong, gai xương ở rìa mâm chày và đặc xương dưới sụn.",Cơ chế sinh lý bệnh trung tâm của thoái hóa khớp là gì?,Một phản ứng viêm tự miễn tấn công màng hoạt dịch.,"Một quá trình bệnh lý của toàn bộ khớp, đặc trưng bởi sự mất cân bằng giữa quá trình tổng hợp và thoái giáng của sụn khớp và xương dưới sụn.",Nhiễm trùng mạn tính tại khớp.,Sự lắng đọng của các vi tinh thể trong khoang khớp.,,b,"Thoái hóa khớp (THK) không còn được xem là bệnh ""hao mòn"" đơn thuần của sụn. Nó là một bệnh lý phức tạp ảnh hưởng đến toàn bộ cấu trúc khớp, bao gồm sụn, xương dưới sụn, màng hoạt dịch, dây chằng và cơ. Quá trình này được thúc đẩy bởi sự tương tác giữa các yếu tố cơ học, di truyền và chuyển hóa, dẫn đến sự mất sụn và tái cấu trúc xương."
noi-thoai-hoa-khop-casen2-1-3,noi,Thoái hóa khớp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 62 tuổi, là thợ may về hưu, đến khám vì đau khớp gối hai bên tiến triển từ nhiều năm nay. Bệnh nhân mô tả cơn đau có tính chất cơ học, tăng lên khi đi lại, leo cầu thang và giảm khi nghỉ ngơi. Buổi sáng khi ngủ dậy, bà cảm thấy cứng khớp gối nhưng chỉ kéo dài khoảng 15-20 phút rồi vận động lại được. Gần đây, bà nghe thấy tiếng lạo xạo, lục khục trong khớp gối khi co duỗi. Bệnh nhân không sốt, không sụt cân, không có các triệu chứng toàn thân khác. Tiền sử tăng huyết áp đang kiểm soát tốt với Amlodipine 5 mg/ngày. Khám: ý thức tỉnh táo, sinh hiệu ổn, SpO₂ 98% khí trời, BMI 29 kg/m². Khám khớp gối hai bên thấy có dấu hiệu phì đại xương, trục chi dưới bị lệch trong (chân vòng kiềng), ấn các điểm bám của dây chằng bên trong có đau. Dấu hiệu ""bào gỗ"" dương tính, không có sưng nóng đỏ rõ. Khám các khớp khác, bao gồm cả khớp bàn tay, không phát hiện sưng đau. Xét nghiệm máu VS và CRP trong giới hạn bình thường. X-quang khớp gối tư thế đứng thẳng cho thấy hẹp không đối xứng khe khớp ở khoang trong, gai xương ở rìa mâm chày và đặc xương dưới sụn.",Yếu tố nguy cơ có thể thay đổi được và quan trọng nhất đối với thoái hóa khớp gối ở bệnh nhân này là gì?,Giới tính nữ.,Tuổi cao.,Yếu tố di truyền.,"Thừa cân, béo phì.",,d,"Trong các yếu tố nguy cơ của THK gối, thừa cân béo phì là yếu tố có thể thay đổi được và có tác động lớn nhất. Nó không chỉ làm tăng tải trọng cơ học lên khớp gối mà còn thúc đẩy tình trạng viêm hệ thống mức độ thấp thông qua các adipokine do mô mỡ tiết ra."
noi-thoai-hoa-khop-casen2-1-4,noi,Thoái hóa khớp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 62 tuổi, là thợ may về hưu, đến khám vì đau khớp gối hai bên tiến triển từ nhiều năm nay. Bệnh nhân mô tả cơn đau có tính chất cơ học, tăng lên khi đi lại, leo cầu thang và giảm khi nghỉ ngơi. Buổi sáng khi ngủ dậy, bà cảm thấy cứng khớp gối nhưng chỉ kéo dài khoảng 15-20 phút rồi vận động lại được. Gần đây, bà nghe thấy tiếng lạo xạo, lục khục trong khớp gối khi co duỗi. Bệnh nhân không sốt, không sụt cân, không có các triệu chứng toàn thân khác. Tiền sử tăng huyết áp đang kiểm soát tốt với Amlodipine 5 mg/ngày. Khám: ý thức tỉnh táo, sinh hiệu ổn, SpO₂ 98% khí trời, BMI 29 kg/m². Khám khớp gối hai bên thấy có dấu hiệu phì đại xương, trục chi dưới bị lệch trong (chân vòng kiềng), ấn các điểm bám của dây chằng bên trong có đau. Dấu hiệu ""bào gỗ"" dương tính, không có sưng nóng đỏ rõ. Khám các khớp khác, bao gồm cả khớp bàn tay, không phát hiện sưng đau. Xét nghiệm máu VS và CRP trong giới hạn bình thường. X-quang khớp gối tư thế đứng thẳng cho thấy hẹp không đối xứng khe khớp ở khoang trong, gai xương ở rìa mâm chày và đặc xương dưới sụn.",Can thiệp không dùng thuốc nào được xem là nền tảng và có bằng chứng hiệu quả cao nhất trong quản lý thoái hóa khớp gối?,Nghỉ ngơi tại giường và bất động khớp.,Châm cứu.,Giảm cân và chương trình tập thể dục phù hợp (tăng cường sức mạnh cơ tứ đầu đùi).,Bổ sung Glucosamine và Chondroitin.,,c,"Theo tất cả các hướng dẫn điều trị quốc tế (ACR, EULAR, OARSI), các biện pháp không dùng thuốc là cốt lõi trong quản lý THK. Giảm cân (nếu thừa cân) và tập thể dục (đặc biệt là các bài tập làm mạnh cơ tứ đầu đùi để ổn định khớp gối và các bài tập aerobic tác động thấp như đi bộ, đạp xe) đã được chứng minh là cải thiện đau và chức năng một cách hiệu quả nhất."
noi-thoai-hoa-khop-casen2-2-1,noi,Thoái hóa khớp,Cơ xương khớp,"gập cột sống thắt lưng sẽ giúp ""mở"" ống sống và làm giảm triệu chứng. Việc đi bộ và vịn vào xe đẩy hàng trong siêu thị là một ví dụ điển hình mà nhiều bệnh nhân tự khám phá ra (dấu hiệu ""xe đẩy mua hàng""). TÌNH HUỐNG 7: Bệnh nhân nữ 65 tuổi, có tiền sử thoái hóa khớp gối, tăng huyết áp, bệnh thận mạn giai đoạn 3 và loét dạ dày đã điều trị ổn. Bệnh nhân đến khám vì đau gối nhiều, ảnh hưởng đến giấc ngủ. Paracetamol 3g/ngày không còn hiệu quả. Bác sĩ đang cân nhắc lựa chọn thuốc giảm đau tiếp theo cho bệnh nhân.",Nguy cơ chính nào khiến NSAID đường uống không chọn lọc phải được sử dụng rất thận trọng ở bệnh nhân này?,Tổn thương thận cấp và tái phát loét hoặc xuất huyết tiêu hóa.,Tăng tạo máu và tăng độ nhớt máu ngoại vi.,Tăng khoáng hóa xương và hình thành sỏi mật.,Suy giáp tiến triển và giảm hấp thu hormone tuyến giáp.,,a,"NSAID có thể làm giảm tưới máu thận, gây tổn thương thận cấp hoặc làm nặng bệnh thận mạn; đồng thời ức chế COX-1 làm tăng nguy cơ loét và xuất huyết tiêu hóa. Cần cân nhắc thuốc tại chỗ, paracetamol hoặc biện pháp khác tùy bệnh cảnh."
noi-thoai-hoa-khop-casen2-2-2,noi,Thoái hóa khớp,Cơ xương khớp,"gập cột sống thắt lưng sẽ giúp ""mở"" ống sống và làm giảm triệu chứng. Việc đi bộ và vịn vào xe đẩy hàng trong siêu thị là một ví dụ điển hình mà nhiều bệnh nhân tự khám phá ra (dấu hiệu ""xe đẩy mua hàng""). TÌNH HUỐNG 7: Bệnh nhân nữ 65 tuổi, có tiền sử thoái hóa khớp gối, tăng huyết áp, bệnh thận mạn giai đoạn 3 và loét dạ dày đã điều trị ổn. Bệnh nhân đến khám vì đau gối nhiều, ảnh hưởng đến giấc ngủ. Paracetamol 3g/ngày không còn hiệu quả. Bác sĩ đang cân nhắc lựa chọn thuốc giảm đau tiếp theo cho bệnh nhân.",Cơ chế gây độc cho thận của NSAID là gì?,"Ức chế tổng hợp Prostaglandin, gây co tiểu động mạch đến và làm giảm tưới máu thận.",Gây tắc nghẽn ống thận do tinh thể.,Gây viêm kẽ thận dị ứng.,Tăng thải kali qua nước tiểu.,,a,"Ở những trạng thái có giảm thể tích tuần hoàn hiệu quả (như ở người già, có bệnh thận mạn, suy tim), Prostaglandin (đặc biệt là PGE2 và PGI2) có vai trò thiết yếu trong việc làm giãn tiểu động mạch đến để duy trì mức lọc cầu thận. Việc ức chế COX-1 và COX-2 sẽ làm mất tác dụng này, gây co mạch và có thể dẫn đến tổn thương thận cấp."
noi-thoai-hoa-khop-casen2-2-3,noi,Thoái hóa khớp,Cơ xương khớp,"gập cột sống thắt lưng sẽ giúp ""mở"" ống sống và làm giảm triệu chứng. Việc đi bộ và vịn vào xe đẩy hàng trong siêu thị là một ví dụ điển hình mà nhiều bệnh nhân tự khám phá ra (dấu hiệu ""xe đẩy mua hàng""). TÌNH HUỐNG 7: Bệnh nhân nữ 65 tuổi, có tiền sử thoái hóa khớp gối, tăng huyết áp, bệnh thận mạn giai đoạn 3 và loét dạ dày đã điều trị ổn. Bệnh nhân đến khám vì đau gối nhiều, ảnh hưởng đến giấc ngủ. Paracetamol 3g/ngày không còn hiệu quả. Bác sĩ đang cân nhắc lựa chọn thuốc giảm đau tiếp theo cho bệnh nhân.","So với các NSAID không chọn lọc, các thuốc ức chế COX-2 chọn lọc (Coxib) có ưu điểm gì?",Hiệu quả giảm đau mạnh hơn.,Không gây tăng huyết áp.,An toàn hơn cho thận.,"Giảm đáng kể nguy cơ biến chứng tiêu hóa trên (loét, chảy máu).",,d,"Các thuốc ức chế COX-2 chọn lọc được thiết kế để ức chế chủ yếu enzyme COX-2 (gây viêm) trong khi ít ảnh hưởng đến enzyme COX-1 (bảo vệ dạ dày). Do đó, chúng có nguy cơ gây loét và chảy máu dạ dày thấp hơn đáng kể. Tuy nhiên, nguy cơ trên thận và tim mạch (tăng huyết áp, biến cố huyết khối) vẫn tương tự hoặc thậm chí cao hơn so với NSAID truyền thống."
noi-thoai-hoa-khop-casen2-2-4,noi,Thoái hóa khớp,Cơ xương khớp,"gập cột sống thắt lưng sẽ giúp ""mở"" ống sống và làm giảm triệu chứng. Việc đi bộ và vịn vào xe đẩy hàng trong siêu thị là một ví dụ điển hình mà nhiều bệnh nhân tự khám phá ra (dấu hiệu ""xe đẩy mua hàng""). TÌNH HUỐNG 7: Bệnh nhân nữ 65 tuổi, có tiền sử thoái hóa khớp gối, tăng huyết áp, bệnh thận mạn giai đoạn 3 và loét dạ dày đã điều trị ổn. Bệnh nhân đến khám vì đau gối nhiều, ảnh hưởng đến giấc ngủ. Paracetamol 3g/ngày không còn hiệu quả. Bác sĩ đang cân nhắc lựa chọn thuốc giảm đau tiếp theo cho bệnh nhân.",Lựa chọn điều trị nào sau đây có thể là một bước tiếp theo hợp lý và tương đối an toàn cho bệnh nhân này?,Kê đơn một thuốc giảm đau opioid mạnh như Morphin.,Đề nghị phẫu thuật thay khớp gối ngay lập tức.,Thêm Tramadol liều thấp hoặc sử dụng NSAID tại chỗ.,Bắt đầu ngay một loại NSAID không chọn lọc liều cao.,,c,"Theo bậc thang giảm đau, sau khi Paracetamol thất bại, có thể cân nhắc các thuốc tác động trung ương như Tramadol hoặc sử dụng các liệu pháp tại chỗ (NSAID gel, kem capsaicin, tiêm nội khớp) để giảm thiểu tác dụng phụ toàn thân."
noi-thoai-hoa-khop-casen2-3-1,noi,Thoái hóa khớp,Cơ xương khớp,"là loại ức chế COX-2 chọn lọc hoặc một NSAID không chọn lọc ở liều thấp nhất có hiệu quả) với một thuốc PPI (như Omeprazole) là chiến lược được khuyến cáo để bảo vệ dạ dày ở những bệnh nhân có nguy cơ tiêu hóa cao. TÌNH HUỐNG 8: Bệnh nhân nữ 60 tuổi, đến khám vì đau và sưng ở mặt sau gối phải. Khối sưng to lên khi bà đi lại nhiều và nhỏ lại khi nghỉ ngơi, gây cảm giác căng tức khó chịu. Bệnh nhân có tiền sử thoái hóa khớp gối phải. Khám: ở vùng khoeo chân phải có một khối u mềm, căng, không nóng, không đỏ, khó xác định ranh giới rõ, rõ hơn khi gối duỗi. Dấu Foucher dương tính (khối u nổi rõ khi gối duỗi và mất đi khi gối gấp). Không có dấu hiệu của huyết khối tĩnh mạch sâu.",Khối u ở vùng khoeo chân của bệnh nhân có khả năng cao nhất là gì?,U mỡ.,Nang Baker (kén khoeo chân).,Huyết khối tĩnh mạch sâu.,Phình động mạch khoeo.,,b,"Nang Baker là nguyên nhân phổ biến nhất gây ra khối sưng ở vùng khoeo chân, đặc biệt ở bệnh nhân có bệnh lý khớp gối từ trước. Các đặc điểm lâm sàng và dấu Foucher dương tính rất gợi ý."
noi-thoai-hoa-khop-casen2-3-2,noi,Thoái hóa khớp,Cơ xương khớp,"là loại ức chế COX-2 chọn lọc hoặc một NSAID không chọn lọc ở liều thấp nhất có hiệu quả) với một thuốc PPI (như Omeprazole) là chiến lược được khuyến cáo để bảo vệ dạ dày ở những bệnh nhân có nguy cơ tiêu hóa cao. TÌNH HUỐNG 8: Bệnh nhân nữ 60 tuổi, đến khám vì đau và sưng ở mặt sau gối phải. Khối sưng to lên khi bà đi lại nhiều và nhỏ lại khi nghỉ ngơi, gây cảm giác căng tức khó chịu. Bệnh nhân có tiền sử thoái hóa khớp gối phải. Khám: ở vùng khoeo chân phải có một khối u mềm, căng, không nóng, không đỏ, khó xác định ranh giới rõ, rõ hơn khi gối duỗi. Dấu Foucher dương tính (khối u nổi rõ khi gối duỗi và mất đi khi gối gấp). Không có dấu hiệu của huyết khối tĩnh mạch sâu.",Cơ chế hình thành nang Baker là gì?,Sự tắc nghẽn của hệ thống bạch huyết.,Sự phát triển của một khối u lành tính từ bao khớp.,"Sự thoát vị của màng hoạt dịch ra phía sau khớp gối, thường do tình trạng tăng áp lực và tràn dịch khớp mạn tính.",Chấn thương trực tiếp vào vùng khoeo.,,c,"Khớp gối có một cơ chế ""van một chiều"" thông thương với bao hoạt dịch của các cơ vùng khoeo (thường là bao hoạt dịch cơ bán màng/bụng chân trong). Khi có tình trạng tràn dịch mạn tính trong khớp gối, áp lực tăng cao sẽ đẩy dịch khớp ra phía sau tạo thành nang. Van này thường ngăn không cho dịch quay trở lại khớp."
