id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-ung-thu-phoi-n2-mcq-001,noi,Ung thư phổi,Hô hấp,,Nguyên nhân hàng đầu gây tử vong do ung thư trên toàn thế giới hiện nay là:,Ung thư phổi,Ung thư dạ dày,Ung thư gan,Ung thư đại trực tràng,,a,Ung thư phổi là nguyên nhân tử vong do ung thư đứng hàng đầu ở cả hai giới. Nguồn: Bệnh học nội khoa YHN.
noi-ung-thu-phoi-n2-mcq-002,noi,Ung thư phổi,Hô hấp,,Yếu tố nguy cơ quan trọng nhất và có liên quan chặt chẽ nhất với sự phát triển của ung thư phổi là:,Hút thuốc lá chủ động và thụ động,Phơi nhiễm amiăng,Khí radon trong nhà,Ô nhiễm không khí,,a,Hút thuốc lá chịu trách nhiệm cho khoảng 85- 90% các ca ung thư phổi. Các yếu tố khác chỉ tăng nguy cơ hiệp đồng. Nguồn: CMDT 2026.
noi-ung-thu-phoi-n2-mcq-003,noi,Ung thư phổi,Hô hấp,,Loại mô bệnh học ung thư phổi nào phổ biến nhất hiện nay?,Ung thư biểu mô tuyến,Ung thư biểu mô vảy,Ung thư phổi tế bào nhỏ,Ung thư biểu mô tế bào lớn,,a,"Ung thư biểu mô tuyến (Adenocarcinoma) chiếm tỷ lệ cao nhất (khoảng 40-50%), thay thế cho ung thư tế bào vảy trong vài thập kỷ gần đây."
noi-ung-thu-phoi-n2-mcq-004,noi,Ung thư phổi,Hô hấp,,Đặc điểm dịch tễ nổi bật của bệnh nhân ung thư phổi không có tiền sử hút thuốc lá là:,Đa số là ung thư biểu mô tuyến,Tỷ lệ mắc ở nam cao hơn nữ,Tiên lượng thường xấu hơn nhiều so với người hút thuốc,Hiếm khi mang đột biến gen,,a,"Ở người không hút thuốc, loại mô bệnh học chủ yếu là ung thư biểu mô tuyến và thường có đột biến gen (như EGFR). Ý cần nhớ: Không hút thuốc vẫn có thể mắc u tuyến."
noi-ung-thu-phoi-n2-mcq-005,noi,Ung thư phổi,Hô hấp,,Yếu tố phơi nhiễm nghề nghiệp nào có tính hiệp đồng mạnh mẽ nhất với khói thuốc lá làm tăng vọt nguy cơ ung thư phổi?,Amiăng,Bụi than đá,Chì,Bụi bông,,a,Người hút thuốc có phơi nhiễm amiăng (asbestos) nguy cơ mắc ung thư phổi tăng gấp 50-90 lần so với người bình thường.
noi-ung-thu-phoi-n2-mcq-006,noi,Ung thư phổi,Hô hấp,,Nhóm tuổi nào sau đây có tỷ lệ phát hiện ung thư phổi cao nhất?,30 - 40 tuổi,40 - 50 tuổi,55 - 75 tuổi,Trên 85 tuổi,,c,"Bệnh thường khởi phát ở độ tuổi trung niên và người cao tuổi, phổ biến nhất ở nhóm 55-75 tuổi do thời gian phơi nhiễm tích lũy."
noi-ung-thu-phoi-n2-mcq-007,noi,Ung thư phổi,Hô hấp,,Vị trí giải phẫu điển hình nhất của ung thư biểu mô vảy ở phổi là:,"Gần trung tâm, rốn phổi",Sát màng phổi,Ngoại vi các thùy dưới,Đỉnh phổi lan lên cổ,,a,"Ung thư biểu mô vảy thường xuất phát từ biểu mô phế quản lớn ở vùng trung tâm (rốn phổi), dễ gây tắc nghẽn sớm. Nguồn: Bệnh học nội khoa YHN."
noi-ung-thu-phoi-n2-mcq-008,noi,Ung thư phổi,Hô hấp,,Nguồn gốc tế bào của ung thư phổi tế bào nhỏ là:,Tế bào thần kinh nội tiết,Tế bào biểu mô phế nang type II,Tế bào đài tiết nhầy,Tế bào đáy phế quản,,a,"Do xuất phát từ tế bào thần kinh nội tiết (tế bào Kulchitsky), loại ung thư này thường tiết hormone lạc chỗ gây hội chứng cận ung thư nội tiết."
noi-ung-thu-phoi-n2-mcq-009,noi,Ung thư phổi,Hô hấp,,Hội chứng tiết ADH không thích hợp (SIADH) gây hạ natri máu thường đi kèm với loại mô bệnh học nào nhất?,Ung thư phổi tế bào nhỏ,Ung thư biểu mô vảy,Ung thư biểu mô tuyến,Ung thư biểu mô tế bào lớn,,a,Ung thư tế bào nhỏ có tính chất thần kinh nội tiết nên rất hay gây hội chứng cận ung thư như SIADH hoặc hội chứng Cushing lạc chỗ.
noi-ung-thu-phoi-n2-mcq-010,noi,Ung thư phổi,Hô hấp,,Tăng calci máu do khối u tiết protein liên quan đến hormone cận giáp (PTHrP) là bẫy cận lâm sàng kinh điển của:,Ung thư biểu mô vảy,Ung thư phổi tế bào nhỏ,Ung thư biểu mô tuyến,U trung biểu mô,,a,Ý cần nhớ: Biểu mô vảy hay gắn với tăng Calci (Squamous - Calcium). Đây là sự nhầm lẫn kinh điển sinh viên thường nhầm sang di căn xương đơn thuần.
