id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-ly-vale-tim-mcq-001,noi,Bệnh lý vale tim,Tim mạch,,Nguyên nhân phổ biến nhất gây hẹp van hai lá ở Việt Nam là gì?,Di chứng thấp tim,Bẩm sinh,Thoái hoá van người già,Viêm nội tâm mạc nhiễm khuẩn,,a,Thấp tim (sốt thấp khớp) do liên cầu beta tan huyết nhóm A là nguyên nhân chiếm >90% các trường hợp hẹp van hai lá ở các nước đang phát triển. Nguồn: Bệnh học nội khoa YHN.
noi-benh-ly-vale-tim-mcq-002,noi,Bệnh lý vale tim,Tim mạch,,Nguyên nhân hàng đầu gây hở van động mạch chủ cấp tính là gì?,Viêm nội tâm mạc nhiễm khuẩn,Thấp tim,Thoái hoá xơ van,Giang mai,,a,Hở chủ cấp thường do phá hủy van đột ngột. Viêm nội tâm mạc nhiễm khuẩn và lóc tách động mạch chủ là hai nguyên nhân cấp tính phổ biến nhất. Nguồn: Bệnh học nội khoa YHN.
noi-benh-ly-vale-tim-mcq-003,noi,Bệnh lý vale tim,Tim mạch,,"Theo các phân độ kinh điển, mốc diện tích lỗ van động mạch chủ được coi là hẹp khít (hẹp nặng) là bao nhiêu?",< 1.0 cm²,< 1.5 cm²,< 2.0 cm²,< 0.8 cm²,,a,Diện tích van động mạch chủ bình thường là 3-4 cm². Hẹp khít (nặng) khi diện tích lỗ van < 1.0 cm². Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-benh-ly-vale-tim-mcq-004,noi,Bệnh lý vale tim,Tim mạch,,"Ở các nước phát triển, nguyên nhân hở van hai lá mạn tính nguyên phát thường gặp nhất là gì?",Thoái hoá nhầy van (sa van),Thấp tim,Bẩm sinh,Thiếu máu cục bộ cơ tim,,a,"Khác với Việt Nam, ở các nước phát triển, thoái hoá nhầy gây sa van hai lá là nguyên nhân hàng đầu của hở hai lá nguyên phát. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-benh-ly-vale-tim-mcq-005,noi,Bệnh lý vale tim,Tim mạch,,"Trong bệnh cảnh di chứng thấp tim, van tim nào dễ bị tổn thương nhất?",Van hai lá,Van động mạch chủ,Van ba lá,Van động mạch phổi,,a,"Van hai lá chịu tổn thương phổ biến nhất trong thấp tim, tiếp theo là van động mạch chủ. Tổn thương van tim phải (ba lá, động mạch phổi) hiếm gặp hơn nhiều. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-006,noi,Bệnh lý vale tim,Tim mạch,,"Hẹp van hai lá được phân loại là ""rất khít"" (rất nặng) khi diện tích lỗ van ở mức nào?",< 1.0 cm²,< 1.5 cm²,< 2.0 cm²,< 0.5 cm²,,a,"Hẹp hai lá khít (nặng) là MVA < 1.5 cm². Khi MVA < 1.0 cm², bệnh nhân được phân loại là hẹp rất khít. Nguồn: AHA/ACC Guideline (CURRENT 2026)."
noi-benh-ly-vale-tim-mcq-007,noi,Bệnh lý vale tim,Tim mạch,,Cơ chế chính gây phù phổi cấp trong hẹp van hai lá là gì?,Tăng áp lực thủy tĩnh mao mạch phổi,Giảm áp lực keo huyết tương,Suy chức năng co bóp thất trái,Tăng tính thấm thành mao mạch,,a,"Hẹp van làm nghẽn dòng máu từ nhĩ trái xuống thất trái, gây tăng áp lực nhĩ trái dội ngược lên tĩnh mạch và mao mạch phổi. Áp lực thủy tĩnh tăng quá mức gây phù phổi nội huyết động. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-008,noi,Bệnh lý vale tim,Tim mạch,,Quá trình thích nghi huyết động học TRỰC TIẾP và SỚM NHẤT của buồng thất trái đối với bệnh hở van hai lá mạn tính là gì?,Giãn buồng thất trái,Phì đại đồng tâm thất trái,Tăng áp lực động mạch phổi,Phì đại thất phải,,a,"Trong hở hai lá, máu trào ngược về nhĩ trái trong tâm thu sẽ đổ dồn xuống thất trái trong tâm trương cùng máu bình thường, gây tăng gánh thể tích. Thất trái phản ứng sớm nhất bằng cách giãn buồng tim (phì đại lệch tâm). Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-009,noi,Bệnh lý vale tim,Tim mạch,,Cơ chế chính gây triệu chứng đau thắt ngực ở bệnh nhân hẹp van động mạch chủ (dù mạch vành hoàn toàn bình thường) là gì?,Mất cân bằng cung - cầu oxy do phì đại thất trái và tăng áp lực thành cơ tim,Cơn co thắt động mạch vành tự phát,Giảm áp lực nhĩ trái làm giảm tưới máu vành,Tăng cung lượng tim quá mức khi gắng sức,,a,"Hẹp chủ làm thất trái phì đại đồng tâm, tăng khối lượng cơ tim (tăng nhu cầu oxy), đồng thời áp lực thành cơ tim cao cản trở tưới máu dưới nội mạc, gây mất cân bằng cung-cầu. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-benh-ly-vale-tim-mcq-010,noi,Bệnh lý vale tim,Tim mạch,,"Trong bệnh hở van động mạch chủ mạn tính, buồng thất trái chịu tác động huyết động học nào sau đây?",Tăng cả tiền gánh và hậu gánh,Chỉ tăng tiền gánh,Chỉ tăng hậu gánh,Giảm tiền gánh,,a,"Hở chủ làm máu dội ngược về thất trái tâm trương (tăng tiền gánh). Đồng thời, thể tích nhát bóp tăng lớn dội vào động mạch chủ gây tăng huyết áp tâm thu cơ học, làm tăng hậu gánh của thất trái. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-011,noi,Bệnh lý vale tim,Tim mạch,,Hậu quả huyết động của bệnh hẹp van hai lá ĐƠN THUẦN đối với buồng thất trái là gì?,Thất trái nhỏ hơn bình thường hoặc kích thước bình thường,Phì đại đồng tâm thất trái,Giãn lớn buồng thất trái,Phì đại lệch tâm thất trái,,a,"Hẹp hai lá cản trở máu xuống thất trái, nên thất trái ""nhàn rỗi"" và bị thiếu hụt thể tích, dẫn đến kích thước bình thường hoặc teo nhỏ lại. Nếu thất trái giãn, phải nghi ngờ có hở van hai lá hoặc hở chủ kèm theo. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-012,noi,Bệnh lý vale tim,Tim mạch,,"Trong bệnh hẹp van hai lá, tiếng T1 đanh được tạo ra do cơ chế nào?",Đóng van hai lá muộn khi áp lực nhĩ trái đang ở mức cao,Đóng van động mạch chủ với áp lực mạnh,Mở van hai lá bị xơ cứng đầu tâm trương,Đóng van ba lá sớm hơn bình thường,,a,"Áp lực nhĩ trái cao đẩy hai lá van mở rộng đến tận cuối tâm trương. Khi thất trái co bóp, van hai lá đóng lại từ một khoảng cách xa với vận tốc mạnh, tạo tiếng T1 đanh. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-013,noi,Bệnh lý vale tim,Tim mạch,,Tại sao hở van hai lá cấp tính lại dễ gây phù phổi cấp nhanh chóng hơn nhiều so với hở van hai lá mạn tính?,"Nhĩ trái kích thước bình thường, chưa kịp giãn để giãn nở thu nhận máu trào ngược",Thất trái giãn đột ngột gây suy tim tâm thu,Cản trở dòng máu tĩnh mạch chủ về tim,Cơ tim bị thiếu máu cục bộ đồng thời,,a,"Trong hở cấp, nhĩ trái không có thời gian thích nghi để giãn to (độ giãn nở kém), do đó lượng máu trào ngược làm áp lực nhĩ trái tăng vọt đột ngột, phản hồi ngay lên mao mạch phổi. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-benh-ly-vale-tim-mcq-014,noi,Bệnh lý vale tim,Tim mạch,,Cơ chế gây ngất hoặc xẩm tối mặt mũi khi gắng sức ở bệnh nhân hẹp van động mạch chủ khít là gì?,Cung lượng tim bị cố định không tăng tương xứng kèm phản xạ giãn mạch ngoại vi,Suy thất phải cấp tính do quá tải áp lực,Chèn ép tim cấp do tràn dịch màng tim,Tăng đột ngột áp lực tĩnh mạch cảnh,,a,"Do van ĐMC hẹp khít, cung lượng tim không thể tăng lên khi gắng sức. Khi cơ thể gắng sức làm giãn mạch cơ vân, huyết áp tụt đột ngột gây thiếu máu não và ngất. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-015,noi,Bệnh lý vale tim,Tim mạch,,Tiếng rung tâm trương trong hẹp van hai lá có đặc điểm nghe rõ nhất ở vị trí và tư thế nào?,"Tại mỏm tim, ở tư thế nằm nghiêng trái","Tại đáy tim, ở tư thế ngồi ngả người ra trước","Tại khoang liên sườn 2 trái, nhịn thở","Tại vùng mũi ức, hít sâu",,a,"Rung tâm trương do dòng máu xoáy qua van hai lá hẹp trong kỳ tâm trương. Nghe rõ nhất ở mỏm tim, đặc biệt khi cho bệnh nhân nằm nghiêng trái và dùng phần chuông của ống nghe. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-016,noi,Bệnh lý vale tim,Tim mạch,,Triệu chứng mạch Corrigan (mạch nảy mạnh chìm sâu) thường gặp trong bệnh lý van tim nào?,Hở van động mạch chủ,Hẹp van động mạch chủ,Hẹp van hai lá,Hở van hai lá,,a,Hở chủ tạo ra thể tích nhát bóp rất lớn (nảy mạnh) và máu trào ngược nhanh về thất trái kỳ tâm trương cùng sự giãn mạch ngoại vi (chìm sâu/nhanh). Nguồn: Bệnh học nội khoa YHN.
noi-benh-ly-vale-tim-mcq-017,noi,Bệnh lý vale tim,Tim mạch,,"Tiếng thổi tâm thu hình quả trám, âm sắc thô ráp, nghe rõ ở khoang liên sườn 2 phải và lan lên động mạch cảnh là đặc trưng của:",Hẹp van động mạch chủ,Hở van hai lá,Thông liên thất,Hẹp van động mạch phổi,,a,"Đây là đặc điểm kinh điển của tiếng thổi tống máu tâm thu qua lỗ van ĐMC hẹp, dòng máu xoáy dội lên động mạch cảnh nên hướng lan là lên cổ. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-018,noi,Bệnh lý vale tim,Tim mạch,,Triệu chứng cơ năng sớm nhất và thường gặp nhất khiến bệnh nhân hẹp van hai lá phải đi khám bệnh là gì?,Khó thở khi gắng sức,Ho ra máu bọt hồng,Đau thắt ngực,Ngất khi thay đổi tư thế,,a,"Tăng áp lực nhĩ trái sớm truyền lên hệ tĩnh mạch phổi gây giảm độ giãn nở của phổi và thoát dịch khoảng kẽ, triệu chứng đầu tiên luôn là khó thở khi gắng sức. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-vale-tim-mcq-019,noi,Bệnh lý vale tim,Tim mạch,,Tiếng thổi Austin-Flint nghe được ở mỏm tim trong bệnh hở van động mạch chủ nặng dễ bị nhầm lẫn trên lâm sàng với triệu chứng của bệnh nào?,Rung tâm trương trong hẹp van hai lá,Thổi toàn tâm thu trong hở van ba lá,Thổi tâm trương trong hở van động mạch phổi,Tiếng cọ màng ngoài tim,,a,"Dòng trào ngược hở chủ đập vào lá trước van hai lá, cản trở việc mở van trong tâm trương, tạo ra tiếng rung tâm trương tương tự hẹp hai lá (nhưng không có T1 đanh, không có clíc mở van). Nguồn: Bệnh học nội khoa YHN."
