id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tao-bon-mcq-001,noi,Táo bón,Tiêu hoá,,"Theo tiêu chuẩn Rome IV, để chẩn đoán táo bón chức năng mạn tính, các triệu chứng phải khởi phát ít nhất bao lâu trước khi chẩn đoán?",1 tháng,3 tháng,6 tháng,12 tháng,,c,"Theo Rome IV, triệu chứng phải khởi phát ít nhất 6 tháng trước khi chẩn đoán và hiện diện liên tục trong 3 tháng gần nhất. Đây là mốc thời gian kinh điển để phân biệt táo bón cấp và mạn tính. (Nguồn: Bệnh học nội khoa YHN)."
noi-tao-bon-mcq-002,noi,Táo bón,Tiêu hoá,,"Ở người trưởng thành khỏe mạnh, giới hạn tần số đại tiện bình thường thường được định nghĩa trong khoảng nào?",Từ 1 lần/ngày đến 1 lần/tuần,Từ 3 lần/ngày đến 3 lần/tuần,Từ 2 lần/ngày đến 2 lần/tuần,Tối thiểu 1 lần/ngày,,b,"Sinh lý bình thường, tần số đại tiện dao động từ 3 lần/ngày đến 3 lần/tuần. Dưới 3 lần/tuần là một trong các tiêu chuẩn cốt lõi gợi ý chẩn đoán táo bón. (Nguồn: Bệnh học nội khoa YHN)."
noi-tao-bon-mcq-003,noi,Táo bón,Tiêu hoá,,"Theo thang điểm hình thái phân Bristol (Bristol Stool Form Scale), các nhóm phân nào sau đây phản ánh tình trạng táo bón?",Type 1 và Type 2,Type 3 và Type 4,Type 5 và Type 6,Type 6 và Type 7,,a,"Type 1 (phân cứng, lổn nhổn như hạt ốc/phân dê) và Type 2 (phân hình xúc xích nhưng sần sùi) phản ánh thời gian lưu chuyển phân chậm tại đại tràng, điển hình cho táo bón. Type 3, 4 là bình thường."
noi-tao-bon-mcq-004,noi,Táo bón,Tiêu hoá,,Đối tượng nào sau đây có tỷ lệ mắc táo bón nguyên phát (chức năng) cao nhất trong cộng đồng?,Nam giới trẻ tuổi,Phụ nữ và người cao tuổi,Trẻ em nam tuổi học đường,Phụ nữ độ tuổi mãn kinh (cao hơn người cao tuổi),,b,Dịch tễ học cho thấy táo bón chức năng gặp nhiều nhất ở nữ giới (tỷ lệ nữ:nam khoảng 2:1 đến 3:1) và gia tăng đáng kể ở người cao tuổi (>65 tuổi) do giảm nhu động ruột và ít vận động.
noi-tao-bon-mcq-005,noi,Táo bón,Tiêu hoá,,Táo bón nguyên phát (táo bón chức năng) được chia thành 3 nhóm sinh lý bệnh chính nào sau đây?,"Táo bón do thuốc, táo bón thần kinh, táo bón chuyển hóa","Thời gian vận chuyển bình thường, thời gian vận chuyển chậm, rối loạn chức năng sàn chậu","Táo bón co thắt, táo bón cơ học, táo bón nội tiết","Táo bón do tổn thương tủy, tắc nghẽn đường ra, phình đại tràng",,b,"Về mặt đại cương và sinh lý bệnh học, táo bón chức năng được chia làm 3 type chính: Vận chuyển bình thường (NTC), vận chuyển chậm (STC), và rối loạn chức năng đại tiện/sàn chậu (Pelvic floor dysfunction)."
noi-tao-bon-mcq-006,noi,Táo bón,Tiêu hoá,,Dấu hiệu nào sau đây KHÔNG thuộc nhóm triệu chứng của táo bón chức năng thông thường?,"Phân khô cứng, nhỏ",Cảm giác đại tiện không hết phân,Sụt cân không chủ ý và đi ngoài ra máu,Phải rặn nhiều khi đại tiện,,c,"Sụt cân và đi ngoài ra máu là các ""dấu hiệu báo động"" (red flags) gợi ý tổn thương thực thể như ung thư đại trực tràng, viêm ruột, tuyệt đối không được chẩn đoán là táo bón chức năng thông thường khi chưa loại trừ thực thể."
noi-tao-bon-mcq-007,noi,Táo bón,Tiêu hoá,,Sinh lý bình thường của động tác đại tiện đòi hỏi sự phối hợp cốt lõi nào sau đây để tống phân ra ngoài?,"Co cơ mu trực tràng, co cơ thắt ngoài, tăng áp lực ổ bụng","Giãn cơ mu trực tràng, giãn cơ thắt ngoài, tăng áp lực ổ bụng","Co cơ mu trực tràng, giãn cơ thắt trong, giảm áp lực ổ bụng","Giãn cơ mu trực tràng, co cơ thắt ngoài, giảm áp lực ổ bụng",,b,"Để đại tiện bình thường, góc hậu môn - trực tràng phải mở rộng bằng cách giãn cơ mu trực tràng (puborectalis) và cơ thắt hậu môn ngoài, đồng thời cơ hoành và cơ thành bụng co lại để tăng áp lực ổ bụng đẩy phân xuống."
noi-tao-bon-mcq-008,noi,Táo bón,Tiêu hoá,,Cơ chế bệnh sinh chính ở bệnh nhân mắc táo bón do vận chuyển chậm (Slow- transit constipation) là gì?,Phì đại cơ thắt hậu môn trong,Co thắt nghịch thường cơ mu trực tràng khi rặn,Giảm số lượng tế bào kẽ Cajal (ICC) và rối loạn đám rối thần kinh ruột,Khối u chèn ép vào lòng đại tràng,,c,"Tế bào kẽ Cajal đóng vai trò là ""máy tạo nhịp"" của nhu động ruột. Sự suy giảm số lượng tế bào Cajal và chất dẫn truyền thần kinh kích thích ở đám rối cơ ruột (Auerbach) là cơ chế cốt lõi gây chậm vận chuyển đại tràng."
noi-tao-bon-mcq-009,noi,Táo bón,Tiêu hoá,,"Trong rối loạn đồng vận đại tiện (Dyssynergic defecation), cơ chế gây tắc nghẽn chức năng đường ra là gì?",Mất phản xạ ruột - dạ dày,Tăng nhu động đại tràng sigma quá mức,Co thắt nghịch thường hoặc không giãn đủ của cơ sàn chậu và cơ thắt hậu môn khi rặn,Sa niêm mạc trực tràng bít tắc lỗ hậu môn,,c,"Bẫy kinh điển: Dyssynergia là sự mất đồng vận. Thay vì giãn ra, cơ mu trực tràng và cơ thắt ngoài lại co lại (co thắt nghịch thường) hoặc giãn không đủ (<20%) khi bệnh nhân rặn, tạo ra rào cản cản trở phân tống ra ngoài."
noi-tao-bon-mcq-010,noi,Táo bón,Tiêu hoá,,"Các thuốc giảm đau nhóm Opioid (như Morphine, Codein) gây táo bón chủ yếu qua cơ chế nào?",Ức chế thụ thể muscarinic ở đại tràng,"Gắn vào thụ thể mu-opioid ở hệ thần kinh ruột, làm giảm nhu động và tăng hấp thu nước",Phong bế kênh calci ở tế bào cơ trơn thành ruột,Tiêu diệt hệ vi khuẩn có lợi ở ruột già,,b,"Opioid gắn vào thụ thể mu-opioid ngoại vi ở ruột, ức chế giải phóng acetylcholine, làm giảm sóng nhu động đẩy, kéo dài thời gian lưu chuyển phân, từ đó tăng hấp thu nước khiến phân khô cứng. (Nguồn: CMDT 2026)."
noi-tao-bon-mcq-011,noi,Táo bón,Tiêu hoá,,"Bệnh lý nội tiết nào sau đây là nguyên nhân kinh điển làm giảm nhu động ruột, dẫn đến táo bón thứ phát?",Suy giáp (Hypothyroidism),Cường giáp (Hyperthyroidism),Đái tháo nhạt (Diabetes insipidus),Suy thượng thận cấp,,a,"Suy giáp làm giảm chuyển hóa cơ bản toàn cơ thể, bao gồm cả giảm hoạt động điện và nhu động của cơ trơn dạ dày - ruột, gây táo bón. Cường giáp ngược lại thường gây tiêu chảy."
noi-tao-bon-mcq-012,noi,Táo bón,Tiêu hoá,,Tình trạng rối loạn điện giải nào sau đây thường xuyên gây biến chứng liệt ruột hoặc táo bón nặng?,Hạ calci máu và tăng natri máu,Tăng calci máu và hạ kali máu,Hạ kali máu và hạ calci máu,Tăng kali máu và tăng natri máu,,b,"Bẫy kinh điển nội khoa: Tăng calci máu (gây giảm kích thích thần kinh cơ) và hạ kali máu (gây giảm điện thế nghỉ, yếu cơ trơn) đều làm giảm nhu động ruột, dẫn đến táo bón hoặc liệt ruột."
noi-tao-bon-mcq-013,noi,Táo bón,Tiêu hoá,,Sa trực tràng kiểu túi (Rectocele) ở phụ nữ gây táo bón chủ yếu qua cơ chế cơ học nào?,Chèn ép từ ngoài vào trực tràng do tử cung đổ sau,"Tạo túi phình ở thành trước trực tràng, làm phân kẹt lại túi này thay vì đi xuống ống hậu môn khi rặn",Tổn thương dây thần kinh thẹn trong quá trình sinh đẻ,Hẹp ống hậu môn do sẹo cắt tầng sinh môn,,b,"Rectocele là tình trạng vách trực tràng - âm đạo bị yếu, trực tràng phình về phía trước âm đạo. Khi rặn, áp lực đẩy phân lọt vào túi phình này (tạo ngõ cụt) thay vì đi thẳng ra hậu môn, gây cảm giác tắc nghẽn."
noi-tao-bon-mcq-014,noi,Táo bón,Tiêu hoá,,Tổn thương tủy sống đoạn cùng (S2- S4) gây ra kiểu táo bón nào sau đây?,Tăng phản xạ nhu động ruột non bù trừ,"Mất phản xạ tủy - ruột đoạn xa, mất cảm giác mót rặn và giảm trương lực cơ thắt",Tăng trương lực cơ thắt hậu môn trong liên tục do mất ức chế từ não,Rối loạn vận chuyển ruột non do tổn thương thần kinh phế vị,,b,"Đoạn tủy S2-S4 chi phối đối giao cảm cho đại tràng trái và trực tràng. Tổn thương đoạn này (Lower motor neuron lesion) gây mất phản xạ đại tiện tại chỗ, trực tràng đờ đẫn, giãn to và mất cảm giác tống phân."
noi-tao-bon-mcq-015,noi,Táo bón,Tiêu hoá,,Đặc điểm lâm sàng nào sau đây đặc trưng và gợi ý nhiều nhất đến táo bón do tắc nghẽn đường ra (tổn thương sàn chậu)?,Đi ngoài 1 lần/tuần không có cảm giác mót rặn,Phải dùng ngón tay ấn vào tầng sinh môn hoặc âm đạo để hỗ trợ tống phân,Đau quặn bụng dọc khung đại tràng giảm sau khi đại tiện,Phân đen và lỏng xen kẽ táo bón,,b,"Sử dụng thủ thuật hỗ trợ bằng tay (digitations) như móc phân, ấn tầng sinh môn, ấn âm đạo là triệu chứng rất đặc hiệu (độ đặc hiệu cao) cho hội chứng tắc nghẽn đường ra / sa trực tràng kiểu túi."
noi-tao-bon-mcq-016,noi,Táo bón,Tiêu hoá,,Yếu tố lâm sàng quyết định để chẩn đoán phân biệt giữa Hội chứng ruột kích thích thể táo bón (IBS-C) và Táo bón vô căn mạn tính (CIC) là gì?,Đặc điểm hình thái phân (Bristol scale),Tần suất đại tiện dưới 3 lần/tuần,"Đau bụng nổi bật, liên quan đến đại tiện",Tiền sử dùng thuốc nhuận tràng,,c,"Bẫy kinh điển: Cả hai đều có táo bón, nhưng theo tiêu chuẩn Rome IV, IBS-C bắt buộc phải có ĐAU BỤNG (tái phát ít nhất 1 ngày/tuần) liên quan tới đại tiện, trong khi CIC thì triệu chứng đau bụng không phải là chủ đạo."
noi-tao-bon-mcq-017,noi,Táo bón,Tiêu hoá,,Bệnh nhân nam 45 tuổi được chẩn đoán Táo bón do vận chuyển chậm (Slow- transit). Triệu chứng nào sau đây thường xuất hiện phổ biến nhất ở bệnh nhân này?,Cảm giác mót rặn liên tục nhưng không đi được,Hiếm khi hoặc không có cảm giác buồn đại tiện tự nhiên,Đau quặn quanh rốn dữ dội mỗi ngày,Són phân lỏng không tự chủ hàng ngày,,b,"Ở bệnh nhân táo bón vận chuyển chậm, phân lưu lại ở đại tràng đoạn gần, không xuống được trực tràng nên bóng trực tràng rỗng, bệnh nhân mất hoặc rất hiếm khi có cảm giác buồn đại tiện."
noi-tao-bon-mcq-018,noi,Táo bón,Tiêu hoá,,Nhóm thuốc nào sau đây KHÔNG thuộc nguyên nhân phổ biến gây táo bón thứ phát?,"Thuốc chẹn kênh Calci (Verapamil, Diltiazem)",Thuốc chống trầm cảm ba vòng (Amitriptyline),Viên uống bổ sung Sắt,Kháng sinh nhóm Macrolide (Erythromycin),,d,"Kháng sinh Macrolide (đặc biệt Erythromycin) có tác dụng chủ vận thụ thể Motilin, làm TĂNG nhu động ruột dạ dày, thường gây tác dụng phụ là tiêu chảy/đau quặn bụng, chứ không gây táo bón. (Nguồn: Dược lý lâm sàng)."
noi-tao-bon-mcq-019,noi,Táo bón,Tiêu hoá,,"Bệnh nhân nữ 60 tuổi, tiền sử hoàn toàn khỏe mạnh, mới xuất hiện táo bón 3 tháng nay, kèm mệt mỏi và xét nghiệm có thiếu máu hồng cầu nhỏ nhược sắc. Thái độ xử trí phù hợp nhất là gì?",Kê đơn thuốc nhuận tràng thẩm thấu và theo dõi sau 1 tháng,Chỉ định nội soi đại tràng toàn bộ sớm để loại trừ bệnh lý ác tính,"Khuyên ăn nhiều chất xơ, uống nhiều nước",Đo thời gian vận chuyển đại tràng ngay lập tức,,b,"Tuổi > 50, thay đổi thói quen đại tiện mới khởi phát, thiếu máu thiếu sắt là các ""dấu hiệu báo động"" kinh điển của ung thư đại trực tràng phải. Nội soi đại tràng là bắt buộc và cấp thiết. (Nguồn: Guideline ACG)."
noi-tao-bon-mcq-020,noi,Táo bón,Tiêu hoá,,"Một bệnh nhân Đái tháo đường type 2 lâu năm, kiểm soát đường huyết kém, bị táo bón nặng. Cơ chế bệnh sinh chính yếu gây táo bón ở bệnh nhân này là gì?",Bệnh lý thần kinh tự chủ do đái tháo đường gây rối loạn nhu động ruột,Phì đại cơ thắt hậu môn do tăng đường huyết,Viêm niêm mạc đại tràng do thiếu máu cục bộ,Tác dụng phụ của thuốc Metformin,,a,"Biến chứng thần kinh tự chủ ở bệnh nhân tiểu đường (diabetic autonomic neuropathy) gây thoái hóa thần kinh phế vị và đám rối thần kinh ruột, làm giảm nhu động đại tràng dẫn đến táo bón. (Metformin thường gây tiêu chảy)."
noi-tao-bon-mcq-021,noi,Táo bón,Tiêu hoá,,"Bệnh nhân bị táo bón mạn tính thường xuyên thấy ""són phân lỏng"" (overflow incontinence) ra quần lót mà không tự chủ được. Tình trạng này gợi ý biến chứng hoặc đặc điểm gì?",Táo bón do rối loạn thần kinh trung ương,Hội chứng ruột kích thích thể hỗn hợp (IBS-M),Khối phân cứng ứ đọng chèn ép (Fecal impaction) làm dịch phân lỏng rỉ qua mép khối phân,Tác dụng phụ của thuốc nhuận tràng tạo khối,,c,"Bẫy kinh điển: Ỉa són/ỉa chảy nghịch thường (overflow diarrhea) hay gặp ở người già/trẻ em táo bón nặng, do một khối phân lớn chèn chặt ở trực tràng, chỉ có dịch ruột phía trên lỏng mới len lỏi qua khe hở chảy ra ngoài."
noi-tao-bon-mcq-022,noi,Táo bón,Tiêu hoá,,"Trong thăm khám lâm sàng bệnh nhân táo bón, động tác thăm khám trực tràng bằng ngón tay (Digital Rectal Exam - DRE) KHÔNG giúp đánh giá trực tiếp yếu tố nào sau đây?",Trương lực cơ thắt hậu môn lúc nghỉ và lúc rặn,Sự hiện diện của phân đóng cục ở bóng trực tràng,Khối u sùi ở trực tràng thấp,Thời gian vận chuyển phân qua đại tràng phải,,d,"DRE chỉ đánh giá được đoạn hậu môn - trực tràng (khoảng 7-10cm cuối), giúp phát hiện khối u vùng thấp, phân ứ đọng, sa trực tràng và đánh giá chức năng co/giãn cơ sàn chậu. Không thể đánh giá nhu động/vận chuyển đại tràng phải."
noi-tao-bon-mcq-023,noi,Táo bón,Tiêu hoá,,Bệnh nhân mắc Xơ cứng bì hệ thống (Systemic Sclerosis) thường bị táo bón nặng. Tổn thương cơ bản tại đại tràng ở bệnh nhân này là gì?,Tăng sinh quá mức mạch máu niêm mạc ruột,Viêm loét đại tràng mạn tính,"Teo lớp cơ trơn và xơ hóa lớp dưới niêm mạc/lớp cơ, làm mất nhu động",Phì đại hạch giao cảm quanh động mạch mạc treo,,c,"Xơ cứng bì hệ thống gây lắng đọng collagen, xơ hóa và teo cơ trơn đường tiêu hóa (từ thực quản đến trực tràng), làm mất sóng nhu động bình thường dẫn đến tình trạng giả tắc ruột, táo bón nặng."
noi-tao-bon-mcq-024,noi,Táo bón,Tiêu hoá,,"Triệu chứng ""cảm giác tắc nghẽn ở vùng hậu môn, đại tiện ra máu, nhầy, đôi khi loét niêm mạc vùng trực tràng trước thấp"" là bệnh cảnh điển hình của hội chứng nào?",Bệnh Crohn đại tràng,Hội chứng loét trực tràng đơn độc (Solitary rectal ulcer syndrome),Trĩ nội độ 4,Viêm loét đại trực tràng chảy máu (UC),,b,"Hội chứng loét trực tràng đơn độc thường liên quan đến chứng sa trực tràng trong và rặn quá mức. Lực rặn ép niêm mạc trực tràng trước vào cơ thắt gây thiếu máu cục bộ, loét, nhầy máu và cảm giác tắc nghẽn."
