id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-khop-dang-thap-casen2-1-1,noi,Viêm khớp dạng thấp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 35 tuổi, là giáo viên mầm non, đến khám vì đau và sưng nhiều khớp kéo dài 3 tháng. Bệnh khởi phát từ từ với triệu chứng đau và sưng các khớp nhỏ ở bàn tay hai bên, đặc biệt là các khớp ngón gần và khớp bàn ngón, có tính chất đối xứng. Bệnh nhân cảm thấy cứng khớp rõ rệt vào buổi sáng, kéo dài hơn 1 giờ, gây khó khăn khi nắm tay và làm các công việc cá nhân. Kèm theo đó, bệnh nhân cảm thấy mệt mỏi và sụt 2 kg. Bệnh nhân không sốt, không có ban đỏ trên da hay các triệu chứng ở cơ quan khác. Tiền sử gia đình có mẹ bị bệnh khớp nhưng không rõ chẩn đoán. Khám thấy sưng, nóng, đau tại khớp cổ tay, khớp bàn ngón 2, 3 và khớp ngón gần 2, 3, 4 hai bên, hạn chế vận động. Khám các khớp lớn như khớp gối, khớp háng không phát hiện bất thường. Xét nghiệm máu cho thấy tốc độ máu lắng (VS) 55 mm/giờ, CRP 35 mg/L, yếu tố dạng thấp (RF) 120 IU/mL, và anti-CCP 150 U/mL.","Dựa trên tiêu chuẩn phân loại của ACR/EULAR 2010, chẩn đoán nào là phù hợp nhất?",Viêm khớp phản ứng.,Viêm khớp dạng thấp.,Lupus ban đỏ hệ thống.,Thoái hóa khớp bàn tay.,,b,"Bệnh nhân có viêm trên 10 khớp nhỏ (5 điểm), RF dương tính cao (3 điểm), anti-CCP dương tính cao (3 điểm), CRP tăng (1 điểm) và triệu chứng kéo dài > 6 tuần (1 điểm). Tổng điểm theo ACR/EULAR 2010 là > 6, đủ tiêu chuẩn chẩn đoán xác định Viêm khớp dạng thấp."
noi-viem-khop-dang-thap-casen2-1-2,noi,Viêm khớp dạng thấp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 35 tuổi, là giáo viên mầm non, đến khám vì đau và sưng nhiều khớp kéo dài 3 tháng. Bệnh khởi phát từ từ với triệu chứng đau và sưng các khớp nhỏ ở bàn tay hai bên, đặc biệt là các khớp ngón gần và khớp bàn ngón, có tính chất đối xứng. Bệnh nhân cảm thấy cứng khớp rõ rệt vào buổi sáng, kéo dài hơn 1 giờ, gây khó khăn khi nắm tay và làm các công việc cá nhân. Kèm theo đó, bệnh nhân cảm thấy mệt mỏi và sụt 2 kg. Bệnh nhân không sốt, không có ban đỏ trên da hay các triệu chứng ở cơ quan khác. Tiền sử gia đình có mẹ bị bệnh khớp nhưng không rõ chẩn đoán. Khám thấy sưng, nóng, đau tại khớp cổ tay, khớp bàn ngón 2, 3 và khớp ngón gần 2, 3, 4 hai bên, hạn chế vận động. Khám các khớp lớn như khớp gối, khớp háng không phát hiện bất thường. Xét nghiệm máu cho thấy tốc độ máu lắng (VS) 55 mm/giờ, CRP 35 mg/L, yếu tố dạng thấp (RF) 120 IU/mL, và anti-CCP 150 U/mL.",Quá trình viêm mạn tính và tăng sinh của màng hoạt dịch trong viêm khớp dạng thấp tạo thành một cấu trúc xâm lấn gọi là gì?,Mô hạt (Pannus).,Gai xương.,Mô sẹo.,Hạt Tophi.,,a,"Cơ chế bệnh sinh đặc trưng của VKDT là tình trạng viêm màng hoạt dịch mạn tính. Các tế bào viêm (lympho T, B, đại thực bào) và các tế bào hoạt dịch tăng sinh một cách bất thường, tạo thành một mô xâm lấn gọi là pannus. Mô pannus này sản xuất ra các enzyme và cytokine gây bào mòn sụn khớp và xương dưới sụn."
noi-viem-khop-dang-thap-casen2-1-3,noi,Viêm khớp dạng thấp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 35 tuổi, là giáo viên mầm non, đến khám vì đau và sưng nhiều khớp kéo dài 3 tháng. Bệnh khởi phát từ từ với triệu chứng đau và sưng các khớp nhỏ ở bàn tay hai bên, đặc biệt là các khớp ngón gần và khớp bàn ngón, có tính chất đối xứng. Bệnh nhân cảm thấy cứng khớp rõ rệt vào buổi sáng, kéo dài hơn 1 giờ, gây khó khăn khi nắm tay và làm các công việc cá nhân. Kèm theo đó, bệnh nhân cảm thấy mệt mỏi và sụt 2 kg. Bệnh nhân không sốt, không có ban đỏ trên da hay các triệu chứng ở cơ quan khác. Tiền sử gia đình có mẹ bị bệnh khớp nhưng không rõ chẩn đoán. Khám thấy sưng, nóng, đau tại khớp cổ tay, khớp bàn ngón 2, 3 và khớp ngón gần 2, 3, 4 hai bên, hạn chế vận động. Khám các khớp lớn như khớp gối, khớp háng không phát hiện bất thường. Xét nghiệm máu cho thấy tốc độ máu lắng (VS) 55 mm/giờ, CRP 35 mg/L, yếu tố dạng thấp (RF) 120 IU/mL, và anti-CCP 150 U/mL.",Xét nghiệm nào sau đây có độ đặc hiệu cao nhất cho chẩn đoán viêm khớp dạng thấp?,Protein phản ứng C (CRP).,Kháng thể kháng peptide citrullinated vòng (Anti-CCP).,Tốc độ máu lắng (VS).,Yếu tố dạng thấp (RF).,,b,"Mặc dù RF thường dương tính trong VKDT, nó cũng có thể xuất hiện trong nhiều bệnh lý khác (viêm gan C, viêm nội tâm mạc nhiễm khuẩn) và cả ở người khỏe mạnh. Anti-CCP có độ đặc hiệu cao hơn nhiều (>95%), có giá trị chẩn đoán và tiên lượng bệnh nặng."
noi-viem-khop-dang-thap-casen2-1-4,noi,Viêm khớp dạng thấp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 35 tuổi, là giáo viên mầm non, đến khám vì đau và sưng nhiều khớp kéo dài 3 tháng. Bệnh khởi phát từ từ với triệu chứng đau và sưng các khớp nhỏ ở bàn tay hai bên, đặc biệt là các khớp ngón gần và khớp bàn ngón, có tính chất đối xứng. Bệnh nhân cảm thấy cứng khớp rõ rệt vào buổi sáng, kéo dài hơn 1 giờ, gây khó khăn khi nắm tay và làm các công việc cá nhân. Kèm theo đó, bệnh nhân cảm thấy mệt mỏi và sụt 2 kg. Bệnh nhân không sốt, không có ban đỏ trên da hay các triệu chứng ở cơ quan khác. Tiền sử gia đình có mẹ bị bệnh khớp nhưng không rõ chẩn đoán. Khám thấy sưng, nóng, đau tại khớp cổ tay, khớp bàn ngón 2, 3 và khớp ngón gần 2, 3, 4 hai bên, hạn chế vận động. Khám các khớp lớn như khớp gối, khớp háng không phát hiện bất thường. Xét nghiệm máu cho thấy tốc độ máu lắng (VS) 55 mm/giờ, CRP 35 mg/L, yếu tố dạng thấp (RF) 120 IU/mL, và anti-CCP 150 U/mL.","Thuốc nào sau đây được coi là liệu pháp ""nền tảng"" (anchor drug) và lựa chọn đầu tay trong điều trị viêm khớp dạng thấp?",Methotrexate.,Prednisolone.,Ibuprofen.,Hydroxychloroquine.,,a,"Methotrexate (MTX) là thuốc DMARDs (thuốc chống thấp khớp làm thay đổi bệnh) kinh điển và được khuyến cáo là liệu pháp đầu tay cho hầu hết bệnh nhân VKDT do hiệu quả cao trong việc kiểm soát viêm và làm chậm tổn thương khớp, cùng với dữ liệu an toàn lâu dài."
noi-viem-khop-dang-thap-casen2-2-1,noi,Viêm khớp dạng thấp,Cơ xương khớp,"quản lý VKDT hiện đại. Mục tiêu là nhanh chóng đạt được trạng thái lui bệnh (remission) hoặc hoạt tính bệnh thấp (low disease activity), được đo lường bằng các công cụ như DAS28, SDAI. Việc đạt được mục tiêu này giúp ngăn ngừa tổn thương cấu trúc khớp và duy trì chức năng lâu dài cho bệnh nhân. TÌNH HUỐNG 2: Bệnh nhân nam 65 tuổi, có tiền sử hút thuốc lá 40 bao.năm, bệnh phổi tắc nghẽn mạn tính (COPD), đến khám vì đau và sưng khớp gối hai bên và khớp cổ tay phải từ 6 tháng nay. Bệnh nhân cũng bị cứng khớp buổi sáng kéo dài khoảng 45 phút. Ông không có tiền sử bệnh vẩy nến hay bệnh viêm ruột. Khám thấy sưng và tràn dịch khớp gối hai bên, sưng nóng khớp cổ tay phải. Khám các khớp nhỏ ở bàn tay và bàn chân không thấy dấu hiệu viêm rõ. Khám hô hấp có ran rít, ran ngáy hai phế trường. Xét nghiệm máu: VS 45 mm/giờ, CRP 28 mg/L. Yếu tố dạng thấp (RF) và anti- CCP đều âm tính. X-quang khớp gối cho thấy hình ảnh hẹp khe khớp và bào mòn xương ở rìa khớp.","Dựa vào bệnh cảnh lâm sàng, chẩn đoán viêm khớp dạng thấp ở bệnh nhân này được gọi là gì?",Viêm khớp dạng thấp thể điển hình.,Viêm khớp vảy nến.,Thoái hóa khớp.,Viêm khớp dạng thấp huyết thanh âm tính.,,d,"Bệnh nhân có biểu hiện lâm sàng của viêm đa khớp mạn tính (viêm > 3 khớp, kéo dài > 6 tuần, có dấu hiệu viêm hệ thống) nhưng các dấu ấn tự kháng thể đặc hiệu (RF, anti-CCP) lại âm tính. Tình trạng này được gọi là viêm khớp dạng thấp huyết thanh âm tính."
noi-viem-khop-dang-thap-casen2-2-2,noi,Viêm khớp dạng thấp,Cơ xương khớp,"quản lý VKDT hiện đại. Mục tiêu là nhanh chóng đạt được trạng thái lui bệnh (remission) hoặc hoạt tính bệnh thấp (low disease activity), được đo lường bằng các công cụ như DAS28, SDAI. Việc đạt được mục tiêu này giúp ngăn ngừa tổn thương cấu trúc khớp và duy trì chức năng lâu dài cho bệnh nhân. TÌNH HUỐNG 2: Bệnh nhân nam 65 tuổi, có tiền sử hút thuốc lá 40 bao.năm, bệnh phổi tắc nghẽn mạn tính (COPD), đến khám vì đau và sưng khớp gối hai bên và khớp cổ tay phải từ 6 tháng nay. Bệnh nhân cũng bị cứng khớp buổi sáng kéo dài khoảng 45 phút. Ông không có tiền sử bệnh vẩy nến hay bệnh viêm ruột. Khám thấy sưng và tràn dịch khớp gối hai bên, sưng nóng khớp cổ tay phải. Khám các khớp nhỏ ở bàn tay và bàn chân không thấy dấu hiệu viêm rõ. Khám hô hấp có ran rít, ran ngáy hai phế trường. Xét nghiệm máu: VS 45 mm/giờ, CRP 28 mg/L. Yếu tố dạng thấp (RF) và anti- CCP đều âm tính. X-quang khớp gối cho thấy hình ảnh hẹp khe khớp và bào mòn xương ở rìa khớp.",Cơ chế nào giải thích mối liên quan giữa hút thuốc lá và nguy cơ mắc viêm khớp dạng thấp?,Nicotine có tác dụng chống viêm trực tiếp lên màng hoạt dịch.,"Hút thuốc gây co mạch, làm giảm lưu lượng máu đến khớp.","Hút thuốc lá gây ra quá trình citrullin hóa protein trong phổi, tạo ra các kháng nguyên mới khởi động phản ứng tự miễn.",Hút thuốc làm giảm nồng độ yếu tố dạng thấp trong máu.,,c,"Hút thuốc lá là yếu tố nguy cơ môi trường mạnh nhất của VKDT. Khói thuốc gây tổn thương và viêm ở phổi, kích hoạt các enzyme (như PAD) gây ra quá trình citrullin hóa các protein tại chỗ. Ở những người có cơ địa di truyền nhạy cảm, các protein bị biến đổi này bị nhận diện là ""lạ"", kích hoạt sản xuất kháng thể anti-CCP và khởi phát bệnh."
noi-viem-khop-dang-thap-casen2-2-3,noi,Viêm khớp dạng thấp,Cơ xương khớp,"quản lý VKDT hiện đại. Mục tiêu là nhanh chóng đạt được trạng thái lui bệnh (remission) hoặc hoạt tính bệnh thấp (low disease activity), được đo lường bằng các công cụ như DAS28, SDAI. Việc đạt được mục tiêu này giúp ngăn ngừa tổn thương cấu trúc khớp và duy trì chức năng lâu dài cho bệnh nhân. TÌNH HUỐNG 2: Bệnh nhân nam 65 tuổi, có tiền sử hút thuốc lá 40 bao.năm, bệnh phổi tắc nghẽn mạn tính (COPD), đến khám vì đau và sưng khớp gối hai bên và khớp cổ tay phải từ 6 tháng nay. Bệnh nhân cũng bị cứng khớp buổi sáng kéo dài khoảng 45 phút. Ông không có tiền sử bệnh vẩy nến hay bệnh viêm ruột. Khám thấy sưng và tràn dịch khớp gối hai bên, sưng nóng khớp cổ tay phải. Khám các khớp nhỏ ở bàn tay và bàn chân không thấy dấu hiệu viêm rõ. Khám hô hấp có ran rít, ran ngáy hai phế trường. Xét nghiệm máu: VS 45 mm/giờ, CRP 28 mg/L. Yếu tố dạng thấp (RF) và anti- CCP đều âm tính. X-quang khớp gối cho thấy hình ảnh hẹp khe khớp và bào mòn xương ở rìa khớp.","Ở một bệnh nhân lớn tuổi có biểu hiện viêm không đối xứng ở các khớp lớn, chẩn đoán phân biệt quan trọng nào cần được xem xét?",Hội chứng Reiter.,Bệnh Lyme.,Đau đa cơ dạng thấp và viêm động mạch tế bào khổng lồ.,Bệnh gút.,,d,"Bệnh gút, đặc biệt là gút mạn tính, có thể gây viêm đa khớp, không đối xứng và cũng thường gặp ở nam giới lớn tuổi. Do đó, đây là một chẩn đoán phân biệt quan trọng. Chọc dịch khớp tìm tinh thể urat là tiêu chuẩn vàng để loại trừ gút."
noi-viem-khop-dang-thap-casen2-2-4,noi,Viêm khớp dạng thấp,Cơ xương khớp,"quản lý VKDT hiện đại. Mục tiêu là nhanh chóng đạt được trạng thái lui bệnh (remission) hoặc hoạt tính bệnh thấp (low disease activity), được đo lường bằng các công cụ như DAS28, SDAI. Việc đạt được mục tiêu này giúp ngăn ngừa tổn thương cấu trúc khớp và duy trì chức năng lâu dài cho bệnh nhân. TÌNH HUỐNG 2: Bệnh nhân nam 65 tuổi, có tiền sử hút thuốc lá 40 bao.năm, bệnh phổi tắc nghẽn mạn tính (COPD), đến khám vì đau và sưng khớp gối hai bên và khớp cổ tay phải từ 6 tháng nay. Bệnh nhân cũng bị cứng khớp buổi sáng kéo dài khoảng 45 phút. Ông không có tiền sử bệnh vẩy nến hay bệnh viêm ruột. Khám thấy sưng và tràn dịch khớp gối hai bên, sưng nóng khớp cổ tay phải. Khám các khớp nhỏ ở bàn tay và bàn chân không thấy dấu hiệu viêm rõ. Khám hô hấp có ran rít, ran ngáy hai phế trường. Xét nghiệm máu: VS 45 mm/giờ, CRP 28 mg/L. Yếu tố dạng thấp (RF) và anti- CCP đều âm tính. X-quang khớp gối cho thấy hình ảnh hẹp khe khớp và bào mòn xương ở rìa khớp.","Trong trường hợp RF và anti-CCP âm tính, cận lâm sàng nào có thể giúp hỗ trợ chẩn đoán và đánh giá mức độ viêm?",Siêu âm khớp có Doppler năng lượng.,Đo mật độ xương.,Chọc dịch khớp tìm tinh thể urat.,Xét nghiệm kháng thể kháng nhân (ANA).,,a,"Siêu âm khớp là một công cụ rất hữu ích, đặc biệt trong các trường hợp huyết thanh âm tính. Nó có thể phát hiện các dấu hiệu viêm sớm như viêm màng hoạt dịch, tràn dịch khớp, và đặc biệt là tín hiệu Doppler năng lượng dương tính (cho thấy sự tăng tưới máu của màng hoạt dịch đang viêm), giúp khẳng định bản chất viêm của bệnh. B. Chức năng tuyến giáp. C. Chức năng gan và phổi. D. Chức năng tuyến thượng thận."
noi-viem-khop-dang-thap-casen2-3-1,noi,Viêm khớp dạng thấp,Cơ xương khớp,"đáng lo ngại là độc tính trên gan (gây tăng men gan, xơ gan) và viêm phổi kẽ. Bệnh nhân đã có sẵn bệnh phổi mạn tính (COPD) và có thể có các yếu tố nguy cơ khác về gan (nếu có uống rượu), do đó cần theo dõi rất chặt chẽ công thức máu, men gan (AST, ALT) và chức năng hô hấp khi điều trị. TÌNH HUỐNG 3: Bệnh nhân nữ 55 tuổi, được chẩn đoán viêm khớp dạng thấp huyết thanh dương tính 10 năm, điều trị không thường xuyên với Methotrexate và thỉnh thoảng dùng corticoid. Gần đây, bệnh nhân thấy khó thở khi gắng sức và ho khan kéo dài. Ngoài ra, bà phát hiện các cục cứng, không đau dưới da vùng khuỷu tay và mu tay. Khám thấy biến dạng bàn tay gió thổi, ngón tay hình cổ cò. Dưới da vùng mỏm khuỷu có nhiều nốt chắc, di động, đường kính 1-2 cm. Nghe phổi có tiếng ran nổ khô ở hai đáy phổi. SpO₂ 93% khí trời. Khám khớp vẫn còn sưng đau nhiều khớp nhỏ ở tay và chân. Xét nghiệm RF và anti-CCP dương tính rất cao.",Các cục cứng dưới da của bệnh nhân được gọi là gì?,Hạt dạng thấp (Rheumatoid nodules).,U mỡ.,Nốt Heberden.,Hạt Tophi.,,a,"Hạt dạng thấp là biểu hiện ngoài khớp đặc hiệu nhất của VKDT, gặp ở khoảng 20-30% bệnh nhân, đặc biệt là những người có RF dương tính."
noi-viem-khop-dang-thap-casen2-3-2,noi,Viêm khớp dạng thấp,Cơ xương khớp,"đáng lo ngại là độc tính trên gan (gây tăng men gan, xơ gan) và viêm phổi kẽ. Bệnh nhân đã có sẵn bệnh phổi mạn tính (COPD) và có thể có các yếu tố nguy cơ khác về gan (nếu có uống rượu), do đó cần theo dõi rất chặt chẽ công thức máu, men gan (AST, ALT) và chức năng hô hấp khi điều trị. TÌNH HUỐNG 3: Bệnh nhân nữ 55 tuổi, được chẩn đoán viêm khớp dạng thấp huyết thanh dương tính 10 năm, điều trị không thường xuyên với Methotrexate và thỉnh thoảng dùng corticoid. Gần đây, bệnh nhân thấy khó thở khi gắng sức và ho khan kéo dài. Ngoài ra, bà phát hiện các cục cứng, không đau dưới da vùng khuỷu tay và mu tay. Khám thấy biến dạng bàn tay gió thổi, ngón tay hình cổ cò. Dưới da vùng mỏm khuỷu có nhiều nốt chắc, di động, đường kính 1-2 cm. Nghe phổi có tiếng ran nổ khô ở hai đáy phổi. SpO₂ 93% khí trời. Khám khớp vẫn còn sưng đau nhiều khớp nhỏ ở tay và chân. Xét nghiệm RF và anti-CCP dương tính rất cao.",Cơ chế hình thành các hạt dạng thấp được cho là liên quan đến điều gì?,Sự lắng đọng của các tinh thể acid uric.,Sự tăng sinh của các tế bào mỡ.,Sự vôi hóa của các mô mềm.,"Một phản ứng viêm u hạt ở trung tâm, bao quanh bởi các tế bào lympho và nguyên bào sợi, thường ở những vùng bị vi chấn thương.",,d,"Cấu trúc mô học của hạt dạng thấp là một ổ hoại tử fibrin ở trung tâm, được bao quanh bởi một hàng rào tế bào đại thực bào và một lớp vỏ bao gồm các tế bào lympho và tương bào. Cơ chế chính xác chưa rõ nhưng có thể liên quan đến tình trạng viêm mạch máu nhỏ do lắng đọng phức hợp miễn dịch."
