id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tran-khi-mang-phoi-n2-mcq-001,noi,Tràn khí màng phổi,Hô hấp,,Tràn khí màng phổi tự phát nguyên phát thường gặp nhất ở nhóm đối tượng nào sau đây?,"Nữ giới, béo phì, tuổi trung niên","Nam giới, trẻ tuổi, thể trạng cao gầy",Trẻ em nam dưới 10 tuổi có tiền sử hen,Nam giới cao tuổi có tiền sử hút thuốc nhiều năm,,b,"Nguồn: Bệnh học nội khoa YHN. Tràn khí màng phổi tự phát nguyên phát điển hình xảy ra ở nam giới, độ tuổi 20-30, dáng người cao gầy. Yếu tố nguy cơ cao nhất là hút thuốc lá."
noi-tran-khi-mang-phoi-n2-mcq-002,noi,Tràn khí màng phổi,Hô hấp,,Nguyên nhân bệnh lý nội khoa nào phổ biến nhất dẫn đến tràn khí màng phổi tự phát thứ phát?,Bệnh phổi tắc nghẽn mạn tính,Viêm phổi do phế cầu,Ung thư phổi tế bào nhỏ,Bệnh nhồi máu phổi,,a,Nguồn: Bệnh học nội khoa YHN. Bệnh phổi tắc nghẽn mạn tính (COPD) chiếm tỷ lệ cao nhất trong các nguyên nhân gây tràn khí màng phổi tự phát thứ phát do vỡ các bóng khí thũng.
noi-tran-khi-mang-phoi-n2-mcq-003,noi,Tràn khí màng phổi,Hô hấp,,Khái niệm tràn khí màng phổi tự phát thứ phát được định nghĩa dựa trên đặc điểm nào?,Xảy ra sau một chấn thương ngực kín,Xảy ra sau các thủ thuật y khoa,Xảy ra trên bệnh nhân có bệnh lý phổi nền từ trước,Xảy ra tái phát lần thứ hai trở lên,,c,"Nguồn: Bệnh học nội khoa YHN. Từ ""thứ phát"" chỉ tình trạng màng phổi bị rách do hậu quả của một tổn thương cấu trúc phổi đã có từ trước (như lao, COPD, hen)."
noi-tran-khi-mang-phoi-n2-mcq-004,noi,Tràn khí màng phổi,Hô hấp,,Yếu tố nguy cơ nào sau đây làm tăng khả năng mắc và tái phát tràn khí màng phổi tự phát nguyên phát cao nhất?,Gắng sức thể lực nặng,Căng thẳng tâm lý,Tiền sử gia đình có người mắc bệnh hen,Hút thuốc lá,,d,"Nguồn: Bệnh học nội khoa YHN. Hút thuốc lá là yếu tố nguy cơ hàng đầu, làm tăng nguy cơ mắc bệnh lên tới 20 lần ở nam và 9 lần ở nữ so với người không hút thuốc do gây viêm tiểu phế quản tận và hình thành các bóng khí."
noi-tran-khi-mang-phoi-n2-mcq-005,noi,Tràn khí màng phổi,Hô hấp,,Tràn khí màng phổi theo chu kỳ kinh nguyệt là một thể đặc biệt thường liên quan mật thiết đến bệnh lý nào sau đây?,Buồng trứng đa nang,Lạc nội mạc tử cung,Viêm phần phụ mạn tính,U xơ tử cung,,b,"Nguồn: CMDT 2026. Bệnh cảnh này xảy ra ở phụ nữ trong thời kỳ hành kinh, do các tổ chức tuyến nội mạc tử cung đi lạc vị trí lên khoang màng phổi gây chảy máu và vỡ vào khoang màng phổi."
noi-tran-khi-mang-phoi-n2-mcq-006,noi,Tràn khí màng phổi,Hô hấp,,Loại chấn thương nào KHÔNG thuộc nhóm nguyên nhân gây tràn khí màng phổi do thầy thuốc (iatrogenic)?,Chọc hút dịch màng phổi,Sinh thiết phổi xuyên thành ngực,Thở máy áp lực dương,Gãy xương sườn do tai nạn giao thông,,d,"Nguồn: Bệnh học nội khoa YHN. Gãy xương sườn do tai nạn là chấn thương ngực (traumatic pneumothorax), không phải tràn khí do thủ thuật y khoa (iatrogenic pneumothorax)."
noi-tran-khi-mang-phoi-n2-mcq-007,noi,Tràn khí màng phổi,Hô hấp,,Cơ chế bệnh sinh cốt lõi gây tràn khí màng phổi tự phát nguyên phát là gì?,Tổn thương phế nang do tăng áp lực động mạch phổi,Vỡ các bóng khí nhỏ nằm ở dưới màng phổi tạng,Viêm mủ màng phổi phá hủy màng phổi tạng,Nhồi máu phổi gây hoại tử nhu mô sát màng phổi,,b,Nguồn: Bệnh học nội khoa YHN. Sự đứt gãy các sợi đàn hồi tại nhu mô phổi ngoại vi tạo ra các bóng khí dưới màng phổi (blebs). Khi các bóng này vỡ sẽ làm không khí tràn vào khoang màng phổi.
noi-tran-khi-mang-phoi-n2-mcq-008,noi,Tràn khí màng phổi,Hô hấp,,"Trong tràn khí màng phổi tự phát nguyên phát, các bóng khí dưới màng phổi thường được tìm thấy nhiều nhất ở vị trí nào?",Rốn phổi,Đáy phổi hai bên,Đỉnh phổi,Phân thùy lưỡi phổi trái,,c,"Nguồn: Bệnh học nội khoa YHN. Do gradient áp lực khoang màng phổi theo chiều dọc cơ thể, áp lực ở vùng đỉnh phổi âm hơn vùng đáy, khiến phế nang ở đây giãn nở nhiều hơn và dễ tạo bóng khí."
noi-tran-khi-mang-phoi-n2-mcq-009,noi,Tràn khí màng phổi,Hô hấp,,Đặc điểm sinh lý bệnh cốt lõi nào tạo ra tình trạng tràn khí màng phổi áp lực?,Cơ chế van một chiều tại chỗ rách màng phổi,Khí thoát ra khỏi màng phổi nhưng không hấp thu được,Chảy máu kèm theo vào khoang màng phổi,Sự xẹp hoàn toàn của nhu mô phổi,,a,"Nguồn: CMDT 2026. Cơ chế van một chiều cho phép khí đi vào khoang màng phổi thì hít vào nhưng không thoát ra được thì thở ra, làm áp lực tăng liên tục dẫn đến chèn ép lồng ngực."
noi-tran-khi-mang-phoi-n2-mcq-010,noi,Tràn khí màng phổi,Hô hấp,,Nguyên nhân chính gây trụy tim mạch ở bệnh nhân tràn khí màng phổi áp lực là do cơ chế nào?,Giảm tưới máu động mạch vành do thiếu oxy,Chèn ép tĩnh mạch chủ làm giảm máu tĩnh mạch trở về tim,Phản xạ phế vị gây nhịp chậm sâu,Tâm thất phải giãn lớn chèn ép tâm thất trái,,b,"Nguồn: CMDT 2026. Áp lực khoang lồng ngực tăng cao đẩy lệch trung thất, chèn ép các tĩnh mạch lớn, làm giảm nghiêm trọng lượng máu tĩnh mạch trở về nhĩ phải (giảm tiền gánh), dẫn đến tụt huyết áp."
