id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-001,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Tiêu chuẩn thời gian tối thiểu để chẩn đoán bệnh thận mạn là bao lâu?,1 tháng,2 tháng,3 tháng,6 tháng,,c,"Theo định nghĩa KDIGO, bệnh thận mạn được xác định khi có các tổn thương về cấu trúc hoặc chức năng thận kéo dài ít nhất 3 tháng. Mốc thời gian này là điểm cắt cốt lõi để phân biệt với tổn thương thận cấp tính có khả năng hồi phục. Nguồn: Bệnh học nội khoa YHN."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-002,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Mức lọc cầu thận dưới ngưỡng nào được xác định là bệnh thận mạn dù không có bằng chứng tổn thương cấu trúc thận?,90 mL/min/1.73 m2,60 mL/min/1.73 m2,45 mL/min/1.73 m2,30 mL/min/1.73 m2,,b,"Mức lọc cầu thận (eGFR) dưới 60 mL/min/1.73 m2 kéo dài trên 3 tháng đủ tiêu chuẩn chẩn đoán bệnh thận mạn, ngay cả khi không có albumin niệu hay bất thường siêu âm. Ở ngưỡng này, thận đã mất khoảng một nửa số nephron hoạt động."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-003,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Nguyên nhân thường gặp nhất gây bệnh thận mạn giai đoạn cuối trên toàn cầu là gì?,Bệnh thận do đái tháo đường,Viêm cầu thận mạn tính,Bệnh thận do tăng huyết áp,Bệnh thận đa nang di truyền,,a,Bệnh thận do đái tháo đường là nguyên nhân hàng đầu dẫn đến bệnh thận mạn giai đoạn cuối và phải lọc máu trên thế giới. Kiểm soát đường huyết sớm là biện pháp dự phòng quan trọng nhất.
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-004,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Dấu hiệu tổn thương thận nào thường xuất hiện sớm nhất trên lâm sàng và được dùng để tầm soát bệnh?,Tăng creatinin huyết thanh,Trụ hạt trong cặn nước tiểu,Giảm thể tích nước tiểu,Tăng albumin trong nước tiểu,,d,"Albumin niệu là marker tổn thương thận xuất hiện rất sớm, đặc biệt trong bệnh thận do đái tháo đường hoặc tăng huyết áp. Creatinin máu chỉ tăng rõ khi mức lọc cầu thận đã giảm đáng kể. Nguồn: Bệnh học nội khoa YHN."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-005,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Yếu tố nào sau đây là nguyên nhân gây đợt cấp suy thận mạn có thể đảo ngược nhanh chóng?,Giảm thể tích tuần hoàn,Viêm cầu thận mạn tính,Xơ hóa cầu thận ổ cục bộ,Bệnh thận đa nang,,a,"Giảm thể tích tuần hoàn (do tiêu chảy, nôn, dùng lợi tiểu quá liều) gây giảm tưới máu thận trước thận, làm suy giảm chức năng thận cấp tính trên nền bệnh mạn. Tình trạng này có thể đảo ngược nếu được bù dịch kịp thời."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-006,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Tốc độ giảm mức lọc cầu thận sinh lý trung bình ở người trưởng thành sau 40 tuổi là bao nhiêu?,0.1 mL/min/1.73 m2/năm,0.5 mL/min/1.73 m2/năm,1.0 mL/min/1.73 m2/năm,2.0 mL/min/1.73 m2/năm,,c,"Bình thường sau tuổi 40, mức lọc cầu thận giảm dần khoảng 1 mL/min/1.73 m2 mỗi năm do quá trình xơ hóa cuộn mao mạch sinh lý. Cần lưu ý mốc này để phân biệt sự suy giảm sinh lý với sự tiến triển bệnh lý."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-007,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Thuyết nephron nguyên vẹn giải thích sự thích nghi của thận qua cơ chế nào?,Hình thành các nephron mới để bù trừ,Phì đại và tăng lọc ở các nephron còn lại,Giảm tưới máu để bảo vệ các nephron lành,Kích thích tăng sinh tế bào kẽ thận,,b,"Khi số lượng nephron giảm, các nephron còn lại sẽ phì đại, giãn mạch và tăng áp lực lọc để duy trì chức năng tổng thể. Sự tăng lọc bù trừ này kéo dài sẽ gây xơ hóa cầu thận và làm bệnh tiến triển nặng hơn."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-008,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Cơ chế sinh bệnh học chính gây thiếu máu đẳng sắc đẳng bào trong bệnh thận mạn là gì?,Tăng phá hủy hồng cầu ở lách,Thiếu hụt vitamin B12 và axit folic,Mất máu mạn tính qua đường tiêu hóa,Giảm sản xuất erythropoietin ở thận,,d,"Thận là cơ quan tổng hợp khoảng 90% erythropoietin (EPO) của cơ thể. Sự suy giảm khối lượng tế bào kẽ quanh ống thận làm giảm sản xuất EPO, dẫn đến tủy xương không được kích thích tạo hồng cầu. Nguồn: Bệnh học nội khoa YHN."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-009,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Thay đổi nội tiết nào xảy ra sớm nhất trong cơ chế bệnh sinh của bệnh lý xương do thận?,Tăng nồng độ PTH huyết thanh,Giảm nồng độ canxi huyết thanh,Tăng nồng độ FGF-23 huyết thanh,Giảm nồng độ photpho huyết thanh,,c,"FGF-23 do tế bào xương tiết ra tăng rất sớm ngay từ CKD giai đoạn 2 nhằm tăng đào thải photpho qua ống thận. Sự gia tăng này xảy ra trước cả khi có biểu hiện tăng PTH hay thay đổi canxi, photpho máu."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-010,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Yếu tố nào trực tiếp kích thích tuyến cận giáp tăng sinh và tăng tiết hormon trong suy thận mạn?,Giảm canxi máu và tăng photpho máu,Tăng natri máu và giảm kali máu,Giảm albumin máu và tăng globulin máu,Tăng urê máu và giảm creatinin máu,,a,"Photpho máu tăng sẽ gắn kết với canxi tạo phức hợp, làm giảm canxi ion hóa tự do trong máu. Sự sụt giảm canxi ion hóa và tình trạng ứ đọng photpho kích thích trực tiếp thụ thể trên tuyến cận giáp gây cường cận giáp thứ phát."
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-011,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Nguyên nhân chính gây xu hướng chảy máu ở bệnh nhân hội chứng urê huyết cao là gì?,Thiếu hụt các yếu tố đông máu tại gan,Rối loạn chức năng kết dính của tiểu cầu,Giảm số lượng tiểu cầu do tủy xương ức chế,Tăng phân hủy fibrin tự phát trong mạch,,b,Các độc tố urê huyết tích tụ làm giảm khả năng bám dính của tiểu cầu vào thành mạch và giảm giải phóng các yếu tố hóa hướng động. Số lượng tiểu cầu thường bình thường nhưng chức năng bị suy giảm nghiêm trọng. Nguồn: Bệnh học nội khoa YHN.
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-012,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Cơ chế chính gây toan chuyển hóa trong bệnh thận mạn giai đoạn tiến triển là gì?,Tăng đào thải bicarbonate qua ống lượn gần,Tăng sản xuất axit lactic tại mô cơ vân,Giảm tái hấp thu canxi tại ống lượn xa,Giảm bài tiết ion hydro và tổng hợp amoniac,,d,Thận mất dần khả năng bài tiết ion H+ do tổn thương ống thận và giảm sản xuất amoniac (NH3) - chất đệm quan trọng nhất để thải axit dưới dạng NH4+. Hậu quả là ứ đọng các axit hữu cơ sinh toan.
noi-benh-than-man-va-cac-pp-dieu-tri-thay-the-suy-than-mcq-013,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,,Angiotensin II gây tăng áp lực lọc tại cầu thận thông qua cơ chế nào?,Co tiểu động mạch đi mạnh hơn tiểu động mạch đến,Giãn tiểu động mạch đến mạnh hơn tiểu động mạch đi,Tăng co bóp tế bào gian mao mạch cầu thận,Giảm tính thấm của màng đáy cầu thận,,a,"Angiotensin II gây co thắt mạnh tại tiểu động mạch đi, làm ứ trệ máu và tăng áp lực thủy tĩnh trong cuộn mao mạch cầu thận. Ức chế cơ chế này bằng thuốc ACEi/ARB giúp giảm áp lực lọc và bảo vệ thận."
