id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-roi-loan-nhip-case-1-1,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"Bệnh nhân nữ 68 tuổi, hưu trí, vào viện vì hồi hộp và khó thở khi nằm. Bệnh sử cách vào viện 3 ngày, bệnh nhân xuất hiện cảm giác tim đập nhanh liên tục, mệt mỏi, khó thở khi gắng sức nhẹ, nay khó thở tăng dữ dội khi nằm đầu bằng, kèm ho khan. Tiền sử tăng huyết áp 10 năm đang dùng amlodipin 5 mg/ngày, không có tiền sử hen phế quản hay bệnh phổi mạn tính, không có tiền sử bệnh lý tuyến giáp. Khám lâm sàng: bệnh nhân tỉnh, tiếp xúc tốt, niêm mạc hồng, không phù chi dưới, không có tĩnh mạch cổ nổi. Mạch không đều về tần số và biên độ, tần số mạch 132 lần/phút, huyết áp 115/70 mmHg, nhiệt độ 36,8 độ C, nhịp thở 24 lần/phút, SpO₂ 93% với khí trời. Nghe tim tiếng tim loạn nhịp hoàn toàn, tần số tim 148 chu kỳ/phút, không nghe thấy tiếng thổi bệnh lý. Nghe phổi có ran ẩm rải rác ở hai đáy phổi. Điện tâm đồ ghi nhận mất sóng P, thay bằng các sóng f lăn tăn, phức bộ QRS hẹp, khoảng cách R- R hoàn toàn không đều, tần số thất trung bình 150 chu kỳ/phút.",Chẩn đoán lâm sàng phù hợp nhất cho bệnh nhân là gì?,"Cuồng nhĩ dẫn truyền thay đổi, suy tim cấp","Rung nhĩ đáp ứng thất nhanh, suy tim cấp","Nhịp nhanh nhĩ đa ổ, suy tim cấp","Cơn nhịp nhanh kịch phát trên thất, suy tim cấp",,b,"Bệnh nhân có lâm sàng mạch loạn hoàn toàn, ECG mất sóng P thay bằng sóng f lăn tăn, khoảng R-R không đều đặc trưng cho rung nhĩ. Triệu chứng khó thở khi nằm kèm ran ẩm rải rác hai đáy phổi chỉ điểm tình trạng suy tim cấp mất bù ứ huyết."
noi-roi-loan-nhip-case-1-2,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"Bệnh nhân nữ 68 tuổi, hưu trí, vào viện vì hồi hộp và khó thở khi nằm. Bệnh sử cách vào viện 3 ngày, bệnh nhân xuất hiện cảm giác tim đập nhanh liên tục, mệt mỏi, khó thở khi gắng sức nhẹ, nay khó thở tăng dữ dội khi nằm đầu bằng, kèm ho khan. Tiền sử tăng huyết áp 10 năm đang dùng amlodipin 5 mg/ngày, không có tiền sử hen phế quản hay bệnh phổi mạn tính, không có tiền sử bệnh lý tuyến giáp. Khám lâm sàng: bệnh nhân tỉnh, tiếp xúc tốt, niêm mạc hồng, không phù chi dưới, không có tĩnh mạch cổ nổi. Mạch không đều về tần số và biên độ, tần số mạch 132 lần/phút, huyết áp 115/70 mmHg, nhiệt độ 36,8 độ C, nhịp thở 24 lần/phút, SpO₂ 93% với khí trời. Nghe tim tiếng tim loạn nhịp hoàn toàn, tần số tim 148 chu kỳ/phút, không nghe thấy tiếng thổi bệnh lý. Nghe phổi có ran ẩm rải rác ở hai đáy phổi. Điện tâm đồ ghi nhận mất sóng P, thay bằng các sóng f lăn tăn, phức bộ QRS hẹp, khoảng cách R- R hoàn toàn không đều, tần số thất trung bình 150 chu kỳ/phút.",Cơ chế sinh lý bệnh chính gây ra tình trạng khó thở khi nằm ở bệnh nhân này là gì?,Giảm áp lực keo huyết tương mao mạch,Tăng tính thấm thành mạch phế nang,Tăng áp lực thủy tĩnh mao mạch phổi,Co thắt phế quản phản xạ phó giao cảm,,c,"Rung nhĩ đáp ứng thất thất nhanh làm rút ngắn thời gian tâm trương, giảm thời gian đổ đầy thất trái, dẫn đến tăng áp lực ngược dòng lên nhĩ trái, tĩnh mạch phổi và mao mạch phổi. Tư thế nằm làm tăng lượng máu tĩnh mạch trở về tim, làm tăng áp lực thủy tĩnh mao mạch phổi gây thoát dịch vào phế nang."
noi-roi-loan-nhip-case-1-3,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"Bệnh nhân nữ 68 tuổi, hưu trí, vào viện vì hồi hộp và khó thở khi nằm. Bệnh sử cách vào viện 3 ngày, bệnh nhân xuất hiện cảm giác tim đập nhanh liên tục, mệt mỏi, khó thở khi gắng sức nhẹ, nay khó thở tăng dữ dội khi nằm đầu bằng, kèm ho khan. Tiền sử tăng huyết áp 10 năm đang dùng amlodipin 5 mg/ngày, không có tiền sử hen phế quản hay bệnh phổi mạn tính, không có tiền sử bệnh lý tuyến giáp. Khám lâm sàng: bệnh nhân tỉnh, tiếp xúc tốt, niêm mạc hồng, không phù chi dưới, không có tĩnh mạch cổ nổi. Mạch không đều về tần số và biên độ, tần số mạch 132 lần/phút, huyết áp 115/70 mmHg, nhiệt độ 36,8 độ C, nhịp thở 24 lần/phút, SpO₂ 93% với khí trời. Nghe tim tiếng tim loạn nhịp hoàn toàn, tần số tim 148 chu kỳ/phút, không nghe thấy tiếng thổi bệnh lý. Nghe phổi có ran ẩm rải rác ở hai đáy phổi. Điện tâm đồ ghi nhận mất sóng P, thay bằng các sóng f lăn tăn, phức bộ QRS hẹp, khoảng cách R- R hoàn toàn không đều, tần số thất trung bình 150 chu kỳ/phút.",Xét các thăm dò sau cho bệnh nhân: (1) Siêu âm tim qua thành ngực. (2) Định lượng nồng độ NT-proBNP. (3) Xét nghiệm nồng độ TSH và FT4. (4) Chụp cắt lớp vi tính động mạch vành. Chọn tập hợp các thăm dò cần thiết ưu thiện lúc vào viện:,"(1), (2), (4)","(1), (2), (3)","(2), (3), (4)","(1), (3), (4)",,b,"Siêu âm tim giúp đánh giá cấu trúc van, chức năng tim và huyết khối buồng tim; NT-proBNP để khẳng định và theo dõi suy tim cấp; TSH và FT4 để tầm soát nguyên nhân cường giáp gây rung nhĩ. Chụp cắt lớp vi tính động mạch vành chưa cần thiết cấp cứu khi không có động học men tim hay ST chênh."
noi-roi-loan-nhip-case-1-4,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"Bệnh nhân nữ 68 tuổi, hưu trí, vào viện vì hồi hộp và khó thở khi nằm. Bệnh sử cách vào viện 3 ngày, bệnh nhân xuất hiện cảm giác tim đập nhanh liên tục, mệt mỏi, khó thở khi gắng sức nhẹ, nay khó thở tăng dữ dội khi nằm đầu bằng, kèm ho khan. Tiền sử tăng huyết áp 10 năm đang dùng amlodipin 5 mg/ngày, không có tiền sử hen phế quản hay bệnh phổi mạn tính, không có tiền sử bệnh lý tuyến giáp. Khám lâm sàng: bệnh nhân tỉnh, tiếp xúc tốt, niêm mạc hồng, không phù chi dưới, không có tĩnh mạch cổ nổi. Mạch không đều về tần số và biên độ, tần số mạch 132 lần/phút, huyết áp 115/70 mmHg, nhiệt độ 36,8 độ C, nhịp thở 24 lần/phút, SpO₂ 93% với khí trời. Nghe tim tiếng tim loạn nhịp hoàn toàn, tần số tim 148 chu kỳ/phút, không nghe thấy tiếng thổi bệnh lý. Nghe phổi có ran ẩm rải rác ở hai đáy phổi. Điện tâm đồ ghi nhận mất sóng P, thay bằng các sóng f lăn tăn, phức bộ QRS hẹp, khoảng cách R- R hoàn toàn không đều, tần số thất trung bình 150 chu kỳ/phút.",Thuốc nào được ưu tiên lựa chọn ban đầu để kiểm soát tần số thất cho bệnh nhân này?,Metoprolol tiêm tĩnh mạch,Verapamil tiêm tĩnh mạch,Digoxin tiêm tĩnh mạch,Amiodarone truyền tĩnh mạch,,c,"Digoxin là thuốc lựa chọn an toàn và hiệu quả để kiểm soát tần số thất trong suy tim cấp ứ huyết kèm rung nhĩ khi huyết động còn ổn định. Các thuốc chẹn beta (Metoprolol) hay chẹn kênh calci (Verapamil) có tác dụng inotrope âm tính mạnh, chống chỉ định trong giai đoạn suy tim cấp mất bù có ứ dịch nặng."
noi-roi-loan-nhip-case-1-5,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"Bệnh nhân nữ 68 tuổi, hưu trí, vào viện vì hồi hộp và khó thở khi nằm. Bệnh sử cách vào viện 3 ngày, bệnh nhân xuất hiện cảm giác tim đập nhanh liên tục, mệt mỏi, khó thở khi gắng sức nhẹ, nay khó thở tăng dữ dội khi nằm đầu bằng, kèm ho khan. Tiền sử tăng huyết áp 10 năm đang dùng amlodipin 5 mg/ngày, không có tiền sử hen phế quản hay bệnh phổi mạn tính, không có tiền sử bệnh lý tuyến giáp. Khám lâm sàng: bệnh nhân tỉnh, tiếp xúc tốt, niêm mạc hồng, không phù chi dưới, không có tĩnh mạch cổ nổi. Mạch không đều về tần số và biên độ, tần số mạch 132 lần/phút, huyết áp 115/70 mmHg, nhiệt độ 36,8 độ C, nhịp thở 24 lần/phút, SpO₂ 93% với khí trời. Nghe tim tiếng tim loạn nhịp hoàn toàn, tần số tim 148 chu kỳ/phút, không nghe thấy tiếng thổi bệnh lý. Nghe phổi có ran ẩm rải rác ở hai đáy phổi. Điện tâm đồ ghi nhận mất sóng P, thay bằng các sóng f lăn tăn, phức bộ QRS hẹp, khoảng cách R- R hoàn toàn không đều, tần số thất trung bình 150 chu kỳ/phút.",Thang điểm nào được ưu tiên sử dụng để phân tầng nguy cơ tắc mạch lâu dài cho bệnh nhân này?,Thang điểm HAS-BLED,Thang điểm EHRA,Thang điểm NYHA,Thang điểm CHA2DS2-VASc,,d,Thang điểm CHA2DS2-VASc là công cụ phân tầng
noi-roi-loan-nhip-case-2-1,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"bản chậm (loạn nhịp phụ thuộc nhịp chậm), biện pháp hiệu quả nhất là đặt máy tạo nhịp tạm thời vượt tần số (overdrive pacing) với tần số đích khoảng 90-100 chu kỳ/phút để làm rút ngắn khoảng QT và triệt xếp vòng vào lại. Nguồn tham khảo: Sách Bệnh học Nội khoa, Tập 1, Nhà xuất bản Y học (2022). C. Truyền tĩnh mạch liên tục thuốc amiodarone D. Tiêm tĩnh mạch nhanh thuốc lidocain sulfat Bệnh nhân nam 24 tuổi, kỹ sư phần mềm, vào viện vì đột ngột hồi hộp trống ngực dữ dội. Bệnh sử cách vào viện 1 giờ, khi đang làm việc bệnh nhân đột ngột cảm thấy tim đập rất nhanh, mạnh trong ngực, kèm theo cảm giác hụt hơi và lo lắng, không đau ngực, không ngất. Tiền sử có 2 đợt xuất hiện cơn tương tự tự hết sau vài phút, không có bệnh nền tim mạch, không hút thuốc lá, không sử dụng chất kích thích. Khám lâm sàng: bệnh nhân tỉnh táo, tiếp xúc tốt, da niêm mạc hồng, không phù chi dưới, không có tiếng thổi ở tim, phổi phế nang rõ không ran. Mạch quay đều, rõ, tần số 185 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 36,5 độ C, nhịp thở 18 lần/phút, SpO₂ 98% với khí trời. Điện tâm đồ tại giường cho thấy nhịp nhanh đều, phức bộ QRS hẹp 80 ms, không thấy rõ sóng p đi trước QRS, tần số 182 chu kỳ/phút, không có đoạn ST chênh.",Định hướng chẩn đoán rối loạn nhịp phù hợp nhất cho bệnh nhân là gì?,Cơn nhịp nhanh thất đơn hình thái,Rung nhĩ đáp ứng thất rất nhanh,Cơn nhịp nhanh kịch phát trên thất,Cuồng nhĩ dẫn truyền cố định 1:1,,c,"Nhịp nhanh đều, phức bộ QRS hẹp, khởi phát và kết thúc đột ngột (theo tiền sử) trên bệnh nhân trẻ tuổi không có bệnh tim thực tổn là đặc điểm kinh điển của cơn nhịp nhanh kịch phát trên thất (thường là AVNRT hoặc AVRT)."
noi-roi-loan-nhip-case-2-2,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"bản chậm (loạn nhịp phụ thuộc nhịp chậm), biện pháp hiệu quả nhất là đặt máy tạo nhịp tạm thời vượt tần số (overdrive pacing) với tần số đích khoảng 90-100 chu kỳ/phút để làm rút ngắn khoảng QT và triệt xếp vòng vào lại. Nguồn tham khảo: Sách Bệnh học Nội khoa, Tập 1, Nhà xuất bản Y học (2022). C. Truyền tĩnh mạch liên tục thuốc amiodarone D. Tiêm tĩnh mạch nhanh thuốc lidocain sulfat Bệnh nhân nam 24 tuổi, kỹ sư phần mềm, vào viện vì đột ngột hồi hộp trống ngực dữ dội. Bệnh sử cách vào viện 1 giờ, khi đang làm việc bệnh nhân đột ngột cảm thấy tim đập rất nhanh, mạnh trong ngực, kèm theo cảm giác hụt hơi và lo lắng, không đau ngực, không ngất. Tiền sử có 2 đợt xuất hiện cơn tương tự tự hết sau vài phút, không có bệnh nền tim mạch, không hút thuốc lá, không sử dụng chất kích thích. Khám lâm sàng: bệnh nhân tỉnh táo, tiếp xúc tốt, da niêm mạc hồng, không phù chi dưới, không có tiếng thổi ở tim, phổi phế nang rõ không ran. Mạch quay đều, rõ, tần số 185 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 36,5 độ C, nhịp thở 18 lần/phút, SpO₂ 98% với khí trời. Điện tâm đồ tại giường cho thấy nhịp nhanh đều, phức bộ QRS hẹp 80 ms, không thấy rõ sóng p đi trước QRS, tần số 182 chu kỳ/phút, không có đoạn ST chênh.",Cơ chế bệnh sinh phổ biến nhất của loại rối loạn nhịp này là gì?,Tăng tính tự động tại cơ nhĩ,Vòng vào lại tại nút nhĩ thất,Vòng vào lại tại cơ thất,Hoạt động khởi kích do hậu khử cực,,b,"Cơ chế phổ biến nhất chiếm khoảng 60% các cơn nhịp nhanh kịch phát trên thất là vòng vào lại tại nút nhĩ thất (AVNRT), do sự tồn tại song song hai đường dẫn truyền có đặc tính dẫn truyền và trơ khác nhau (đường nhanh và đường chậm) tại nút nhĩ thất."
noi-roi-loan-nhip-case-2-3,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"bản chậm (loạn nhịp phụ thuộc nhịp chậm), biện pháp hiệu quả nhất là đặt máy tạo nhịp tạm thời vượt tần số (overdrive pacing) với tần số đích khoảng 90-100 chu kỳ/phút để làm rút ngắn khoảng QT và triệt xếp vòng vào lại. Nguồn tham khảo: Sách Bệnh học Nội khoa, Tập 1, Nhà xuất bản Y học (2022). C. Truyền tĩnh mạch liên tục thuốc amiodarone D. Tiêm tĩnh mạch nhanh thuốc lidocain sulfat Bệnh nhân nam 24 tuổi, kỹ sư phần mềm, vào viện vì đột ngột hồi hộp trống ngực dữ dội. Bệnh sử cách vào viện 1 giờ, khi đang làm việc bệnh nhân đột ngột cảm thấy tim đập rất nhanh, mạnh trong ngực, kèm theo cảm giác hụt hơi và lo lắng, không đau ngực, không ngất. Tiền sử có 2 đợt xuất hiện cơn tương tự tự hết sau vài phút, không có bệnh nền tim mạch, không hút thuốc lá, không sử dụng chất kích thích. Khám lâm sàng: bệnh nhân tỉnh táo, tiếp xúc tốt, da niêm mạc hồng, không phù chi dưới, không có tiếng thổi ở tim, phổi phế nang rõ không ran. Mạch quay đều, rõ, tần số 185 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 36,5 độ C, nhịp thở 18 lần/phút, SpO₂ 98% với khí trời. Điện tâm đồ tại giường cho thấy nhịp nhanh đều, phức bộ QRS hẹp 80 ms, không thấy rõ sóng p đi trước QRS, tần số 182 chu kỳ/phút, không có đoạn ST chênh.",Xử trí ban đầu ưu tiên nhất ngay tại giường khi huyết động còn ổn định là gì?,Nghiệm pháp cường phế vị,Sốc điện chuyển nhịp đồng bộ,Adenosine tiêm tĩnh mạch nhanh,Amiodarone truyền tĩnh mạch chậm,,a,"Khi bệnh nhân có cơn nhịp nhanh kịch phát trên thất với huyết động ổn định, nghiệm pháp cường phế vị (như xoa xoang cảnh hoặc nghiệm pháp Valsalva) là biện pháp đơn giản, không xâm lấn, hiệu quả cần thực hiện đầu tiên để làm tăng trương lực phó giao cảm, làm chậm dẫn truyền qua nút nhĩ thất để cắt cơn."
noi-roi-loan-nhip-case-2-4,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"bản chậm (loạn nhịp phụ thuộc nhịp chậm), biện pháp hiệu quả nhất là đặt máy tạo nhịp tạm thời vượt tần số (overdrive pacing) với tần số đích khoảng 90-100 chu kỳ/phút để làm rút ngắn khoảng QT và triệt xếp vòng vào lại. Nguồn tham khảo: Sách Bệnh học Nội khoa, Tập 1, Nhà xuất bản Y học (2022). C. Truyền tĩnh mạch liên tục thuốc amiodarone D. Tiêm tĩnh mạch nhanh thuốc lidocain sulfat Bệnh nhân nam 24 tuổi, kỹ sư phần mềm, vào viện vì đột ngột hồi hộp trống ngực dữ dội. Bệnh sử cách vào viện 1 giờ, khi đang làm việc bệnh nhân đột ngột cảm thấy tim đập rất nhanh, mạnh trong ngực, kèm theo cảm giác hụt hơi và lo lắng, không đau ngực, không ngất. Tiền sử có 2 đợt xuất hiện cơn tương tự tự hết sau vài phút, không có bệnh nền tim mạch, không hút thuốc lá, không sử dụng chất kích thích. Khám lâm sàng: bệnh nhân tỉnh táo, tiếp xúc tốt, da niêm mạc hồng, không phù chi dưới, không có tiếng thổi ở tim, phổi phế nang rõ không ran. Mạch quay đều, rõ, tần số 185 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 36,5 độ C, nhịp thở 18 lần/phút, SpO₂ 98% với khí trời. Điện tâm đồ tại giường cho thấy nhịp nhanh đều, phức bộ QRS hẹp 80 ms, không thấy rõ sóng p đi trước QRS, tần số 182 chu kỳ/phút, không có đoạn ST chênh.","Nếu biện pháp ban đầu thất bại, thuốc nào được ưu tiên lựa chọn tiếp theo để cắt cơn nhanh?",Verapamil tiêm tĩnh mạch chậm,Digoxin tiêm tĩnh mạch chậm,Lidocain tiêm tĩnh mạch nhanh,Adenosine tiêm tĩnh mạch nhanh,,d,"Nếu nghiệm pháp cường phế vị thất bại, Adenosine tiêm tĩnh mạch nhanh (liều khởi đầu 6 mg) là thuốc lựa chọn hàng đầu. Thuốc có tác dụng block dẫn truyền qua nút nhĩ thất cực ngắn để cắt đứt vòng vào lại. Verapamil là lựa chọn hàng hai khi Adenosine không hiệu quả hoặc có chống chỉ định."
noi-roi-loan-nhip-case-2-5,noi,Các rối loạn nhịp tim thường gặp,Tim mạch,"bản chậm (loạn nhịp phụ thuộc nhịp chậm), biện pháp hiệu quả nhất là đặt máy tạo nhịp tạm thời vượt tần số (overdrive pacing) với tần số đích khoảng 90-100 chu kỳ/phút để làm rút ngắn khoảng QT và triệt xếp vòng vào lại. Nguồn tham khảo: Sách Bệnh học Nội khoa, Tập 1, Nhà xuất bản Y học (2022). C. Truyền tĩnh mạch liên tục thuốc amiodarone D. Tiêm tĩnh mạch nhanh thuốc lidocain sulfat Bệnh nhân nam 24 tuổi, kỹ sư phần mềm, vào viện vì đột ngột hồi hộp trống ngực dữ dội. Bệnh sử cách vào viện 1 giờ, khi đang làm việc bệnh nhân đột ngột cảm thấy tim đập rất nhanh, mạnh trong ngực, kèm theo cảm giác hụt hơi và lo lắng, không đau ngực, không ngất. Tiền sử có 2 đợt xuất hiện cơn tương tự tự hết sau vài phút, không có bệnh nền tim mạch, không hút thuốc lá, không sử dụng chất kích thích. Khám lâm sàng: bệnh nhân tỉnh táo, tiếp xúc tốt, da niêm mạc hồng, không phù chi dưới, không có tiếng thổi ở tim, phổi phế nang rõ không ran. Mạch quay đều, rõ, tần số 185 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 36,5 độ C, nhịp thở 18 lần/phút, SpO₂ 98% với khí trời. Điện tâm đồ tại giường cho thấy nhịp nhanh đều, phức bộ QRS hẹp 80 ms, không thấy rõ sóng p đi trước QRS, tần số 182 chu kỳ/phút, không có đoạn ST chênh.",Phương pháp can thiệp nào giúp điều trị triệt để lâu dài rối loạn nhịp này cho bệnh nhân?,Cấy máy tạo nhịp tim vĩnh viễn,Triệt đốt bằng sóng có tần số radio,Cấy máy phá rung tự động vĩnh viễn,Phẫu thuật bắc cầu động mạch vành,,b,Triệt đốt các đường dẫn truyền bất thường (đường
