id,subject,chapter,group,case_stem,image,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation
sly-te-bao-001,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,Bn nữ 83 tuổi bị nhiễm khuẩn huyết có suy đa phủ tạng. BN có chỉ định lọc máu do ure máu cao > 100mg/dL. Yếu tố nào thúc đẩy tốc độ thanh thải của dung dịch qua màng bán thấm?,Tăng diện tích màng lọc,Giảm chênh lệch gradient nồng độ,Giảm độ hoà tan trong lipid của dung dịch,Tăng kích thước phân tử dung dịch,Tăng độ dày màng lọc,,a,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Theo định luật Fick, tốc độ khuếch tán tỉ lệ thuận với diện tích màng (A) và tỉ lệ nghịch với độ dày màng cũng như kích thước phân tử. Tăng diện tích màng lọc là yếu tố duy nhất trong các lựa chọn làm tăng tốc độ thanh thải; các yếu tố còn lại (giảm gradient, giảm độ hoà tan lipid, tăng kích thước phân tử, tăng độ dày) đều làm giảm tốc độ khuếch tán."
sly-te-bao-002,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,"BN nữ 43 tuổi bị ung thư vú tiến triển với biểu hiện nôn, buồn nôn nhiều, mất nước nghiêm trọng. BN hiện chưa có chỉ định điều trị hoá trị liệu. Xét nghiệm hoá sinh máu thấy tăng bất thường Calci ion hoá. Nồng độ PTH trong máu không xác định chính xác nhưng có sự tăng của peptide giống PTH. Việc tăng vận chuyển Calci vào tế bào là 1 yếu tố quan trọng tạo pha khử cực của mô nào dưới đây?",Cơ tim,Cơ trơn của ruột,Tế bào thần kinh,Neuron tận cùng trước synap,Cơ vân,,b,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Khác với nơron và cơ vân (khử cực chủ yếu do dòng Na+ vào) hay cơ tim (pha 0 chủ yếu do Na+, Ca2+ chỉ giữ vai trò ở pha bình nguyên), cơ trơn (điển hình là cơ trơn ruột) có pha khử cực của điện thế hoạt động phụ thuộc chủ yếu vào dòng Ca2+ đi vào qua kênh Ca2+ typ L, do cơ trơn có rất ít hoặc không có kênh Na+ nhanh điển hình."
sly-te-bao-003,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,"BN sơ sinh 2 ngày tuổi bị giật rung tăng trương lực cơ cả ngày. Trong cơn giật, chức năng thần kinh bình thường, Bn không có các rối loạn thần kinh hay chức năng khác. Bệnh sử không khai thác được nguyên nhân nào rõ ràng gây co giật, mặc dù bà mẹ có lặp lại rằng đứa con đầu tiên cũng bị những cơn co giật ngắn sau sinh và chỉ kéo dài 2 tuần. Phân tích gen thì phát hiện thấy có đột biến ở gen tạo kênh K+ gợi ý bệnh co giật sơ sinh lành tính mang tính chất gia đình. Nguyên nhân nào sau đây trực tiếp gây nên sự giảm rò rỉ Kali qua màng tế bào?",Giảm nồng độ Kali bên ngoài tế bào,Giảm nồng độ Natri bên ngoài tế bào,Ưu phân cực điện thế màng,Tăng tính thấm của màng với kali,Giảm hoạt động của bơm Na+-K+ATPase,,,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Bệnh co giật sơ sinh lành tính gia đình (BFNS) do đột biến mất chức năng gen KCNQ2/KCNQ3 làm GIẢM (không phải tăng) tính thấm/dẫn truyền của kênh K+ týp M, dẫn tới giảm dòng rò K+ ra ngoài, màng dễ khử cực hơn và tăng kích thích. Không có đáp án nào trong 5 lựa chọn trên mô tả đúng cơ chế này (đáp án D nêu ngược chiều: ""tăng tính thấm"" thay vì ""giảm tính thấm""), nên câu này cần được xem lại/bổ sung đáp án đúng, tạm để trống chờ rà soát."
sly-te-bao-004,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,Một giám đốc 48 tuổi đi khám trong đợt kiểm tra sức khoẻ định kì của bảo hiểm y tế của tập đoàn. Chỉ số khối cơ thể ông ta là 34 được chẩn đoán là béo phì với HA 145/92mmHg. Xét nghiệm máu thấy nồng độ đường và lipid máu cao bất thường. Ông ta được chẩn đoán đái tháo đường type II. Bệnh này ảnh hưởng đến chuyển hoá của rất nhiều tế bào. Quá trình vận chuyển nào sau đây là quá trình khuếch tán thụ động?,Calci đi vào mạng lưới nội cơ tương,Glucose vào tế bào cơ vân và tế bào chất béo,Hydro đi vào lòng ống tiểu quản của tế bào vách dạ dày,Phosphat đi vào tế bào lót lòng ống lượn gần của thận,Natri đi ra khỏi tế bào não,,b,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Glucose vào tế bào cơ vân và tế bào mỡ qua kênh vận chuyển GLUT4 là khuếch tán được thuận hoá (một dạng khuếch tán thụ động, không tốn ATP, đi theo bậc thang nồng độ). Các lựa chọn còn lại đều là vận chuyển tích cực: Ca2+ vào lưới nội cơ tương (bơm SERCA - tích cực nguyên phát), H+ vào lòng dạ dày (bơm H+/K+-ATPase - tích cực nguyên phát), Phosphat vào tế bào ống lượn gần (đồng vận chuyển Na+-phosphat - tích cực thứ phát), Na+ ra khỏi tế bào não (bơm Na+/K+-ATPase - tích cực nguyên phát)."
sly-te-bao-005,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,"Bn nữ 54 tuổi được nội soi ruột để tìm ung thư. Sinh thiết khối polyp được cắt trong thủ thuật kết quả là loạn sản tế bào biểu mô với 1 số tế bào đang chuyển sang dạng ác tính. Bn được chỉ định chế độ ăn giàu chất xơ để tạo ra nhiều acid béo chuỗi ngắn hơn. Hình ảnh dưới đây minh hoạ nồng độ các acid béo chuỗi ngắn ở 2 phía màng tế bào ruột (Chamber A 20 mg/L, Chamber B 10 mg/L, tốc độ khuếch tán 10mg/h). Nếu nồng độ acid béo bên ngoài tế bào (Chamber A) tăng gấp đôi thì tốc độ khuếch tán của các chất này thay đổi từ 10mg/h đến bao nhiêu?",5mg/h,10mg/h,15mg/h,20mg/h,30mg/h,,e,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Theo định luật Fick, tốc độ khuếch tán tỉ lệ thuận với chênh lệch nồng độ. Ban đầu: ΔC = 20-10 = 10 mg/L, ứng với tốc độ 10 mg/h, vậy hằng số tỉ lệ = 1. Khi nồng độ Chamber A tăng gấp đôi lên 40 mg/L, ΔC mới = 40-10 = 30 mg/L → tốc độ khuếch tán mới = 30 mg/h."
sly-te-bao-006,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,"BN nam 23 tuổi đến phòng khám cấp cứu do ngã gục khi đang chơi bóng rổ. Khi làm thủ tục, BN xuất hiện rối loạn ý thức rồi dần lơ mơ. Huấn luyện viên của BN cho biết vì phòng tập nóng nên BN uống quá nhiều nước. Sự tăng quá mức của yếu tố nào sau đây gây ra các triệu chứng trên?",Trương lực trong tế bào,Trương lực ngoài tế bào,Thể tích trong tế bào,Thể tích ngoài tế bào,Thể tích huyết tương,,c,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Uống quá nhiều nước gây pha loãng dịch ngoại bào (hạ Natri máu do pha loãng), làm giảm áp lực thẩm thấu ngoại bào. Nước sẽ khuếch tán từ ngoại bào (nhược trương) vào nội bào để cân bằng thẩm thấu, gây tăng thể tích trong tế bào - đặc biệt gây phù tế bào não, dẫn tới rối loạn ý thức (ngộ độc nước)."
sly-te-bao-007,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,Bn nam 49 tuổi suy thận giai đoạn cuối được chỉ định lọc thận màng bụng ở nhà. Nồng độ thẩm thấu của dung dịch đưa vào trong lọc màng bụng sẽ quyết định tốc độ siêu lọc. Câu nào dưới đây đúng nhất mô tả đặc điểm của phân tử có nồng độ thẩm thấu bằng 0 (hệ số phản xạ σ=0)?,Nó sẽ không thấm qua màng,Nó sẽ chỉ đi qua lớp lipid kép,Nó làm cho nước có thể chảy qua màng,Nó khuếch tán qua màng như nước,Nó được vận chuyển qua màng bởi chất mang,,d,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Hệ số phản xạ thẩm thấu (σ) = 0 nghĩa là màng hoàn toàn không cản trở chất tan đó - nó tự do khuếch tán qua màng dễ dàng như nước, và do đó không tạo ra hiệu ứng thẩm thấu (osmole không hiệu quả), trái ngược với σ=1 (chất hoàn toàn không thấm, tạo hiệu ứng thẩm thấu tối đa)."
sly-te-bao-008,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,Đặc điểm chung giữa khuếch tán đơn giản và khuếch tán được thuận hóa của glucose?,Đi theo bậc thang điện hóa,Có tính bão hòa,Yêu cầu năng lượng,Bị ngăn cản bởi sự xuất hiện của galactose,Yêu cầu một gradient Na+,,a,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Cả khuếch tán đơn giản và khuếch tán được thuận hoá đều là vận chuyển thụ động, đi theo bậc thang điện hoá (từ nơi nồng độ cao đến nơi nồng độ thấp), không cần ATP. Tính bão hoà, cạnh tranh với galactose và cần gradient Na+ chỉ là đặc điểm của khuếch tán được thuận hoá (qua chất mang protein), không phải của khuếch tán đơn giản."
sly-te-bao-009,sinh-ly,Điện thế màng & điện thế hoạt động,Tế bào,,,Trong pha đi lên của điện thế hoạt động ở sợi thần kinh?,Xuất hiện dòng điện bên ngoài tế bào và điện thế nội bào trở nên âm hơn.,Xuất hiện dòng điện bên ngoài tế bào và điện thế nội bào trở nên ít âm hơn.,Xuất hiện dòng điện bên trong tế bào và điện thế nội bào trở nên âm hơn.,Xuất hiện dòng điện bên trong tế bào và điện thế nội bào trở nên ít âm hơn.,,,d,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Pha đi lên (khử cực) của điện thế hoạt động do dòng Na+ ồ ạt đi vào trong tế bào (dòng điện đi vào/bên trong tế bào), làm điện thế nội bào chuyển từ âm (khoảng -70mV) trở nên ít âm hơn rồi dương lên (đảo cực)."
sly-te-bao-010,sinh-ly,Vận chuyển qua màng & thẩm thấu,Tế bào,,,"Dung dịch A và B được ngăn cách bởi màng bán thấm cho phép K thấm qua, nhưng không cho Cl thấm qua. Dung dịch A là 100 mM KCl và dung dịch B là 1 mM KCl, luận điểm nào sau đây đúng về dung dịch A và B?",Ion K+ sẽ dễ dàng thấm qua từ dung dịch A sang dung dịch B cho tới khi [K+] của cả 2 dung dịch đạt 50.5 mM.,Ion K+ sẽ dễ dàng thấm qua từ dung dịch B sang dung dịch A cho tới khi [K+] của cả 2 dung dịch đạt 50.5 mM.,KCl sẽ dễ dàng thấm qua từ dung dịch A sang dung dịch B cho tới khi [KCl] của cả 2 dung dịch đạt 50.5 mM.,Ion K+ sẽ dễ dàng thấm qua từ dung dịch A sang dung dịch B cho tới khi điện thế màng bên dung dịch A âm hơn so với dung dịch B.,Ion K+ sẽ dễ dàng thấm qua từ dung dịch A sang dung dịch B cho tới khi điện thế màng bên dung dịch A dương hơn so với dung dịch B.,,d,"[Tự trả lời dựa trên sinh lý học Đại học Y Hà Nội & Guyton and Hall Physiology, đề gốc không có đáp án] Vì Cl- không thấm qua màng nên nồng độ 2 bên không thể cân bằng bằng khuếch tán khối (loại A, B, C). K+ khuếch tán từ A (nồng độ cao) sang B (nồng độ thấp) làm A mất bớt điện tích dương, trở nên âm hơn tương đối so với B, cho tới khi đạt cân bằng điện hoá (điện thế Nernst của K+) - đúng như đáp án D."
