id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-khop-dang-thap-mcq-001,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Viêm khớp dạng thấp là bệnh lý tự miễn đặc trưng chủ yếu bởi tổn thương viêm tại cấu trúc nào đầu tiên?,Sụn khớp,Màng hoạt dịch,Đầu xương dưới sụn,Bao gân và dây chằng,,b,"Nguồn: Bệnh học nội khoa YHN. Viêm màng hoạt dịch là tổn thương cơ bản và nguyên phát nhất, từ đó tổ chức viêm tăng sinh xâm lấn phá hủy sụn và xương dưới sụn."
noi-viem-khop-dang-thap-mcq-002,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Nhóm đối tượng nào có nguy cơ mắc viêm khớp dạng thấp cao nhất?,"Nam giới, 20-30 tuổi","Nữ giới, 30-50 tuổi","Nam giới, trên 60 tuổi","Nữ giới, dưới 16 tuổi",,b,"Bệnh có tính chất dịch tễ rõ rệt, gặp chủ yếu ở nữ giới (tỷ lệ nữ/nam khoảng 3/1) với độ tuổi khởi phát phổ biến nhất là trung niên từ 30-50 tuổi."
noi-viem-khop-dang-thap-mcq-003,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Đặc điểm phân bố tổn thương khớp kinh điển nhất ở giai đoạn toàn phát của bệnh là gì?,"Viêm đa khớp, đối xứng, ưu tiên khớp nhỏ","Viêm vài khớp, không đối xứng, ưu tiên khớp lớn","Viêm một khớp di chuyển, ưu tiên chi dưới",Viêm cột sống và các khớp gốc chi,,a,"Nguồn: Bệnh học nội khoa YHN. Đặc trưng lâm sàng của bệnh là viêm nhiều khớp, có tính chất đối xứng hai bên, thường khởi phát và ảnh hưởng nặng nhất ở các khớp nhỏ bàn tay, cổ tay."
noi-viem-khop-dang-thap-mcq-004,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Yếu tố di truyền nào đã được chứng minh có liên quan mật thiết nhất đến tính cảm nhiễm của viêm khớp dạng thấp?,Kháng nguyên HLA-B27,Kháng nguyên HLA-DR4,Kháng nguyên HLA-DQ2,Kháng nguyên HLA-B51,,b,"HLA-DR4 và DR1 chứa ""epitope dùng chung"" (shared epitope) liên quan chặt chẽ đến nguy cơ mắc bệnh và dự báo thể bệnh có tính chất phá hủy khớp nặng."
noi-viem-khop-dang-thap-mcq-005,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Yếu tố môi trường nào là nguy cơ độc lập mạnh nhất thúc đẩy khởi phát bệnh ở những người có cơ địa nhạy cảm di truyền?,Uống nhiều rượu,Hút thuốc lá,Nhiễm virus viêm gan B,Phơi nhiễm tia cực tím,,b,"Hút thuốc lá làm tăng phản ứng citrulline hóa protein ở phổi, kích thích hệ miễn dịch tạo ra các tự kháng thể (như Anti-CCP) ở người có gen nhạy cảm."
noi-viem-khop-dang-thap-mcq-006,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Tỷ lệ hiện mắc viêm khớp dạng thấp trong quần thể dân số chung trên toàn cầu ước tính khoảng bao nhiêu?,"Dưới 0,1%","Khoảng 0,5% đến 1%",Khoảng 3% đến 5%,Trên 10%,,b,"Viêm khớp dạng thấp là bệnh khớp tự miễn phổ biến nhất, với tỷ lệ hiện mắc dao động khoảng 0,5-1% dân số toàn cầu tùy chủng tộc."
noi-viem-khop-dang-thap-mcq-007,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Tế bào miễn dịch nào đóng vai trò khởi xướng và trung tâm trong chuỗi phản ứng viêm của viêm khớp dạng thấp?,Tế bào lympho T CD4+,Tế bào lympho B,Bạch cầu đa nhân trung tính,Tế bào biểu mô,,a,"Nguồn: Bệnh học nội khoa YHN. Tế bào T CD4+ (đặc biệt Th1 và Th17) đóng vai trò trung tâm tiết cytokine kích hoạt đại thực bào, tế bào B và tế bào màng hoạt dịch."
noi-viem-khop-dang-thap-mcq-008,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Cytokine nào đóng vai trò then chốt nhất gây viêm màng hoạt dịch và là đích tác dụng của nhiều thuốc sinh học đầu tay?,Interleukin 2,Interleukin 4,Interleukin 10,Yếu tố hoại tử u alpha,,d,"Yếu tố hoại tử u alpha (TNF-alpha) và Interleukin 6 là các cytokine tiền viêm quan trọng nhất, thúc đẩy tăng sinh màng hoạt dịch và hoạt hóa hủy cốt bào."
noi-viem-khop-dang-thap-mcq-009,noi,Viêm khớp dạng thấp,Cơ xương khớp,,Yếu tố dạng thấp bản chất là tự kháng thể chống lại thành phần nào của cơ thể?,Đoạn Fc của globulin miễn dịch G,Đoạn Fab của globulin miễn dịch M,Kháng nguyên nhân tế bào,Phân tử collagen type II,,a,"Định nghĩa kinh điển: Yếu tố dạng thấp thường là một IgM (đôi khi IgA, IgG) tự sinh liên kết với phần Fc của phân tử IgG tự thân, tạo thành phức hợp miễn dịch."
noi-viem-khop-dang-thap-mcq-010,noi,Viêm khớp dạng thấp,Cơ xương khớp,,"Sự hình thành ""mảng màng hoạt dịch viêm"" dẫn đến hậu quả trực tiếp nào tại khớp?",Lắng đọng tinh thể urat dưới sụn,Xơ hóa đứt rách dây chằng chéo,Xâm lấn và phá hủy sụn xương,Chảy máu tái phát trong ổ khớp,,c,"Mảng màng hoạt dịch viêm (pannus) là tổ chức hạt tăng sinh mạnh, chứa nhiều tế bào viêm tiết enzyme, trực tiếp xâm lấn và ăn mòn sụn khớp, đầu xương."
