id,subject,chapter,group,case_stem,image,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation
sly-than-001,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,,,Giảm tiết K+ ở ống lượn xa xảy ra khi?,kiềm chuyển hóa,chế độ ăn nhiều K+,cường aldosteron,dùng spironolactone,dùng thuốc lợi tiểu thiazide,,d,"Bài tiết K+ ở ống lượn xa bị giảm bởi các yếu tố làm giảm lực đẩy cần thiết cho khuếch tán thụ động của K+. Spironolactone là chất đối kháng aldosterone nên làm giảm bài tiết K+. Kiềm chuyển hoá, ăn nhiều K+ và cường aldosteron đều làm tăng bài tiết K+; thiazide làm tăng lưu lượng qua ống lượn xa và pha loãng [K+] trong lòng ống để tăng lực đẩy bài tiết K+."
sly-than-002,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,,,"Jared và Adam đều nặng 70 kg. Jared uống 2 L nước cất và Adam uống 2 L NaCl đẳng trương. Sau uống, Adam sẽ?",thay đổi lớn hơn về thể tích dịch nội bào (ICF),độ thanh thải nước tự do dương cao hơn (CH2O),thay đổi lớn hơn về độ thẩm thấu huyết tương,độ thẩm thấu nước tiểu cao hơn,tốc độ dòng nước tiểu cao hơn,,d,"Jared (uống nước cất) tăng cả ICF và ECF, giảm độ thẩm thấu huyết tương, ức chế ADH và CH2O, tạo nước tiểu loãng tốc độ cao. Adam (NaCl đẳng trương) chỉ tăng ECF, không đổi độ thẩm thấu huyết tương; vì ADH của Adam không bị ức chế nên độ thẩm thấu nước tiểu của Adam cao hơn, tốc độ dòng nước tiểu và CH2O thấp hơn Jared."
sly-than-003,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,"Nữ 45 tuổi bị tiêu chảy nặng khi đi nghỉ mát. Cô ấy có các giá trị máu động mạch: pH 7,25, PCO2 24 mmHg, [HCO3-] 10 mEq/L. Mẫu máu tĩnh mạch thấy [K+] máu giảm và khoảng trống anion bình thường.",,Chẩn đoán đúng cho bệnh nhân này là?,toan chuyển hóa,kiềm chuyển hóa,toan hô hấp,kiềm hô hấp,trạng thái acid-base bình thường,,a,"pH acid cùng giảm HCO3- và giảm PCO2 phù hợp với toan chuyển hóa có bù trừ hô hấp (tăng thông khí). Tiêu chảy làm mất HCO3- qua đường tiêu hóa, gây toan chuyển hóa."
sly-than-004,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,"Nữ 45 tuổi bị tiêu chảy nặng khi đi nghỉ mát. Cô ấy có các giá trị máu động mạch: pH 7,25, PCO2 24 mmHg, [HCO3-] 10 mEq/L. Mẫu máu tĩnh mạch thấy [K+] máu giảm và khoảng trống anion bình thường.",,Phát biểu nào sau đây về bệnh nhân này là đúng?,Cô ấy đang giảm thông khí,[HCO3-] động mạch giảm là kết quả của quá trình đệm H+ dư thừa bởi HCO3-,Giảm [K+] trong máu là do đổi H+ nội bào lấy K+ ngoại bào,Giảm [K+] trong máu là do tăng nồng độ aldosteron trong tuần hoàn,Giảm [K+] trong máu là do giảm nồng độ hormone chống bài niệu (ADH) trong tuần hoàn,,d,"[HCO3-] động mạch giảm do mất HCO3- qua đường tiêu hóa do tiêu chảy, không phải do đệm H+ dư thừa. Bệnh nhân đang tăng thông khí để bù hô hấp. Hạ kali máu không do đổi H+ nội bào lấy K+ (vì H+ ngoại bào tăng, thúc đẩy trao đổi ngược hướng). Aldosterone tăng do giảm thể tích ECF, dẫn đến tăng bài tiết K+ ở ống lượn xa và hạ kali máu."
sly-than-005,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,,,"Sử dụng các giá trị: Áp suất thủy tĩnh mao mạch cầu thận 47 mmHg, áp suất thủy tĩnh khoang Bowman 10 mmHg, áp suất keo khoang Bowman 0 mmHg. Tại giá trị nào của áp suất keo mao mạch cầu thận thì quá trình lọc cầu thận ngừng lại?",57 mmHg,47 mmHg,37 mmHg,10 mmHg,0 mmHg,,c,"Lọc cầu thận dừng khi áp suất siêu lọc thực bằng 0, tức khi lực hỗ trợ lọc (47 mmHg) bằng đúng lực phản lọc (10 mmHg + áp suất keo mao mạch). Vậy áp suất keo mao mạch = 47-10 = 37 mmHg."
sly-than-006,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,,,Sự tái hấp thu HCO3- đã lọc?,là do tái hấp thu dưới 50% lượng đã lọc khi nồng độ HCO3 trong huyết tương là 24 mEq/L,"acid hóa dịch ống thận đến độ pH là 4,4",liên kết trực tiếp với sự bài xuất H+ dưới dạng NH4+,bị ức chế do giảm PCO2 động mạch,có thể tiến hành bình thường khi có mặt của chất ức chế anhydrase carbonic ở thận,,d,Giảm PCO2 động mạch gây giảm tái hấp thu HCO3- đã lọc bằng cách giảm cung cấp H+ trong tế bào ống thận để bài tiết vào lòng ống. Tái hấp thu HCO3- đã lọc gần như 100% và cần carbonic anhydrase ở diềm bàn chải; quá trình này ít acid hóa nước tiểu và không liên quan trực tiếp đến bài tiết H+ dưới dạng acid chuẩn độ hay NH4+.
sly-than-007,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,"Huyết tương: [Inulin] 1 mg/mL, [X] 2 mg/mL. Nước tiểu: [Inulin] 150 mg/mL, [X] 100 mg/mL, lưu lượng niệu 1 mL/phút. Giả sử X được lọc tự do.",,Phát biểu nào sau đây đúng nhất?,Có sự bài tiết thực của X,Có sự tái hấp thu thực của X,Có cả tái hấp thu và bài tiết X,Độ thanh thải của X có thể được sử dụng để đo tốc độ lọc cầu thận (GFR),Độ thanh thải của X lớn hơn độ thanh thải inulin,,b,"GFR = 150 mg/mL × 1 mL/phút ÷ 1 mg/mL = 150 mL/phút. CX = 100 mg/mL × 1 mL/phút ÷ 2 mg/mL = 50 mL/phút. Vì CX (50) nhỏ hơn GFR/độ thanh thải inulin (150), phải có sự tái hấp thu thực của X. Chỉ riêng dữ liệu độ thanh thải không thể xác định có bài tiết đồng thời hay không."
sly-than-008,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,,,"Để duy trì cân bằng H+ bình thường, thì tổng bài xuất H+ hàng ngày phải bằng lượng nào hàng ngày?",lượng acid cố định tạo ra cộng với lượng acid cố định ăn vào,lượng bài xuất HCO3-,lượng tải lọc HCO3-,lượng bài xuất acid chuẩn độ,lượng tải lọc của H+,,a,Tổng sản xuất H+ cố định hàng ngày từ dị hóa protein và phospholipid (cộng H+ cố định ăn vào) phải bằng tổng bài xuất H+ dưới dạng acid chuẩn độ cộng NH4+ để duy trì cân bằng acid-base.
sly-than-009,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,,,"Một gam mannitol được tiêm vào một người nữ. Sau khi cân bằng, mẫu huyết tương có nồng độ mannitol là 0,08 g/L. Trong thời gian cân bằng, 20% lượng mannitol tiêm đã được bài xuất qua nước tiểu. Người phụ nữ này có?",thể tích dịch ngoại bào (ECF) là 1 L,thể tích dịch nội bào (ICF) là 1 L,thể tích ECF là 10 L,thể tích ICF là 10 L,"thể tích kẽ là 12,5 L",,c,"Mannitol là marker thể tích ECF. Thể tích ECF = lượng mannitol còn lại/nồng độ = (1g - 0,2g)/0,08 g/L = 10 L."
sly-than-010,sinh-ly,Cân bằng nước - điện giải & lọc cầu thận cơ bản,Thận,,,"Nam 58 tuổi được làm xét nghiệm dung nạp glucose. Khi nồng độ glucose huyết tương cao hơn mức vận chuyển tối đa (Tm), thì?",độ thanh thải glucose bằng 0,tốc độ bài xuất glucose bằng tốc độ lọc của glucose,tốc độ tái hấp thu glucose bằng tốc độ lọc glucose,tốc độ bài xuất glucose tăng khi tăng nồng độ glucose trong huyết tương,nồng độ glucose trong tĩnh mạch thận bằng nồng độ glucose động mạch thận,,d,"Ở nồng độ lớn hơn Tm, chất mang bão hòa nên tốc độ tái hấp thu không còn phù hợp với tốc độ lọc; phần chênh lệch được bài xuất, và khi glucose huyết tương tăng thêm, bài xuất glucose cũng tăng thêm tương ứng."
