id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-ngo-doc-cap-mcq-001,noi,Ngộ độc cấp,Hồi sức cấp cứu,,Đặc điểm nào sau đây mô tả đúng nhất về tình trạng ngộ độc cấp?,Bệnh lý mạn tính do tích lũy chất độc từ từ,Xảy ra ngay sau khi tiếp xúc với liều độc trong thời gian ngắn,Chỉ xảy ra qua đường tiêu hóa,Luôn để lại di chứng không hồi phục,,b,"Ngộ độc cấp là tình trạng bệnh lý xảy ra nhanh chóng, đột ngột ngay sau khi cơ thể tiếp xúc với chất độc liều cao trong thời gian ngắn. Nguồn: Bệnh học nội khoa YHN."
noi-ngo-doc-cap-mcq-002,noi,Ngộ độc cấp,Hồi sức cấp cứu,,Đường xâm nhập phổ biến nhất gây ngộ độc cấp ở người lớn là gì?,Đường hô hấp,Đường tiêm truyền,Đường tiêu hóa,Đường da niêm mạc,,c,Đường tiêu hóa (uống) là con đường phổ biến nhất trong ngộ độc cấp ở người lớn do chủ ý tự tử hoặc uống nhầm thuốc/hóa chất. Nguồn: Bệnh học nội khoa YHN.
noi-ngo-doc-cap-mcq-003,noi,Ngộ độc cấp,Hồi sức cấp cứu,,Nhóm thuốc nào sau đây là nguyên nhân hàng đầu gây suy gan cấp do ngộ độc ở các nước phát triển?,Barbiturat,Kháng sinh,Thuốc cản quang,Paracetamol,,d,Paracetamol là nguyên nhân hàng đầu gây ngộ độc và suy gan cấp ở nhiều nước do tính phổ biến và dễ mua. Guideline: CURRENT Medical Diagnosis & Treatment 2026.
noi-ngo-doc-cap-mcq-004,noi,Ngộ độc cấp,Hồi sức cấp cứu,,Phân loại hóa học của các thuốc trừ sâu phospho hữu cơ chủ yếu thuộc nhóm nào?,Muối vô cơ của acid sulfuric,Dẫn xuất của acid cacboxylic,Este của acid phosphoric,Amin bậc bậc bốn,,c,"Phospho hữu cơ bản chất là các este, amid hoặc dẫn xuất thiol của acid phosphoric. Nguồn: Bệnh học nội khoa YHN."
noi-ngo-doc-cap-mcq-005,noi,Ngộ độc cấp,Hồi sức cấp cứu,,Hoạt chất nào sau đây được phân loại là Opioid có nguồn gốc hoàn toàn tự nhiên?,Fentanyl,Morphine,Methadone,Pethidine,,b,"Morphine và Codeine là các opioid tự nhiên chiết xuất trực tiếp từ cây thuốc phiện, các lựa chọn khác là tổng hợp. Nguồn: Bệnh học nội khoa YHN."
noi-ngo-doc-cap-mcq-006,noi,Ngộ độc cấp,Hồi sức cấp cứu,,Barbiturat được phân loại dược lý thuộc nhóm thuốc nào?,Kích thích thần kinh trung ương,Chống trầm cảm ba vòng,Ức chế thần kinh trung ương,Giãn cơ ngoại vi,,c,"Barbiturat là nhóm thuốc an thần, gây ngủ, chống co giật thông qua cơ chế ức chế thần kinh trung ương. Nguồn: Bệnh học nội khoa YHN."
noi-ngo-doc-cap-mcq-007,noi,Ngộ độc cấp,Hồi sức cấp cứu,,Cơ chế bệnh sinh chính của ngộ độc phospho hữu cơ là gì?,Ức chế cạnh tranh thụ thể acetylcholine,Kích thích trực tiếp men cholinesterase,Ức chế không hồi phục men cholinesterase,Tăng phân hủy acetylcholine tại synapse,,c,"Phospho hữu cơ gắn kết chặt chẽ và ức chế men cholinesterase (ChE), làm tích tụ acetylcholine tại các synapse thần kinh. Nguồn: Bệnh học nội khoa YHN."
noi-ngo-doc-cap-mcq-008,noi,Ngộ độc cấp,Hồi sức cấp cứu,,"Sự tích tụ acetylcholine trong ngộ độc phospho hữu cơ diễn ra tại các vị trí nào, NGOẠI TRỪ?",Hậu hạch phó giao cảm,Bản vận động cơ vân,Sừng trước tủy sống,Thần kinh trung ương,,c,"Acetylcholine tích tụ tại hậu hạch phó giao cảm (hệ muscarinic), hạch giao cảm/cơ vân (hệ nicotinic) và thần kinh trung ương, không phải sừng trước tủy sống. Nguồn: Bệnh học nội khoa YHN."
noi-ngo-doc-cap-mcq-009,noi,Ngộ độc cấp,Hồi sức cấp cứu,,Chất chuyển hóa nào gây độc trực tiếp cho tế bào gan trong ngộ độc Paracetamol?,Glucuronide,NAPQI,Sulfate,Glutathione,,b,"NAPQI (N-acetyl-p-benzoquinone imine) là chất chuyển hóa trung gian có độc tính cao, khi dư thừa sẽ gắn vào protein tế bào gan gây hoại tử. Nguồn: Bệnh học nội khoa YHN."
noi-ngo-doc-cap-mcq-010,noi,Ngộ độc cấp,Hồi sức cấp cứu,,"Ở liều điều trị bình thường, NAPQI được khử độc bởi chất nào trong gan?",Cytochrome P450,Glutathione,Glucuronyl transferase,N-acetylcysteine,,b,Glutathione nội sinh ở gan gắn kết với NAPQI để tạo thành chất không độc bài tiết qua nước tiểu. Ngộ độc xảy ra khi cạn kiệt glutathione. Nguồn: Bệnh học nội khoa YHN.
