id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-ung-thu-gan-mcq-001,noi,Ung thư gan,Tiêu hoá,,Loại ung thư gan nguyên phát phổ biến nhất trên lâm sàng là loại nào?,Ung thư biểu mô đường mật,Ung thư nguyên bào gan,Ung thư biểu mô tế bào gan,Sarcôm mạch máu gan,,c,Ung thư biểu mô tế bào gan (HCC) chiếm tới 80-90% các trường hợp ung thư gan nguyên phát ở người trưởng thành. Nguồn: Bệnh học nội khoa YHN.
noi-ung-thu-gan-mcq-002,noi,Ung thư gan,Tiêu hoá,,Yếu tố nguy cơ hàng đầu gây bệnh ung thư gan nguyên phát tại Việt Nam là gì?,Viêm gan virus C,Nhiễm độc Aflatoxin B1,Viêm gan virus B,Xơ gan do rượu,,c,"Việt Nam nằm trong vùng dịch tễ có tỷ lệ nhiễm virus viêm gan B (HBV) cao, đây là nguyên nhân trực tiếp và hàng đầu dẫn đến HCC. Nguồn: Bệnh học nội khoa YHN."
noi-ung-thu-gan-mcq-003,noi,Ung thư gan,Tiêu hoá,,Đặc điểm dịch tễ nào sau đây đúng với bệnh lý ung thư biểu mô tế bào gan?,Tỷ lệ mắc ở nữ giới cao hơn nam giới,Bệnh thường gặp ở độ tuổi thanh thiếu niên,Tỷ lệ mắc ở nam giới cao hơn nữ giới,Tỷ lệ mắc bệnh đồng đều ở mọi khu vực trên thế giới,,c,"HCC thường gặp ở nam giới nhiều hơn nữ giới với tỷ lệ khoảng 3:1 đến 4:1, liên quan đến tỷ lệ mang HBV, HCV và sử dụng rượu bia cao hơn."
noi-ung-thu-gan-mcq-004,noi,Ung thư gan,Tiêu hoá,,Bệnh lý nền nào sau đây hiện diện trong khoảng 80% các trường hợp mắc ung thư biểu mô tế bào gan?,Gan nhiễm mỡ không do rượu,Xơ gan,Áp xe gan amip,U máu trong gan,,b,"Xơ gan (do mọi nguyên nhân) là tổn thương tiền ung thư quan trọng nhất, xuất hiện ở khoảng 80% bệnh nhân ung thư gan. Nguồn: Bệnh học nội khoa YHN."
noi-ung-thu-gan-mcq-005,noi,Ung thư gan,Tiêu hoá,,Yếu tố nào sau đây KHÔNG phải là nguy cơ dẫn đến ung thư biểu mô tế bào gan?,Viêm gan virus A,Viêm gan virus C,Bệnh ứ sắt (Hemochromatosis),Nhiễm độc tố Aflatoxin,,a,"Viêm gan virus A chỉ lây qua đường tiêu hóa và gây viêm gan cấp, không tiến triển thành viêm gan mạn hay xơ gan nên không gây ung thư gan."
noi-ung-thu-gan-mcq-006,noi,Ung thư gan,Tiêu hoá,,Độc tố vi nấm nào liên quan chặt chẽ đến sinh bệnh học ung thư biểu mô tế bào gan ở vùng khí hậu nhiệt đới ẩm?,Ochratoxin,Botulinum,Aflatoxin B1,Fumonisins,,c,Aflatoxin B1 do nấm Aspergillus flavus sinh ra trên ngũ cốc mốc là chất gây ung thư gan cực mạnh do gây đột biến gene.
noi-ung-thu-gan-mcq-007,noi,Ung thư gan,Tiêu hoá,,Cơ chế chính yếu giải thích khả năng sinh ung thư trực tiếp của virus viêm gan B (HBV) là gì?,Gây suy giảm miễn dịch toàn thân,Tích hợp DNA của virus vào bộ gen của tế bào gan chủ,Phá hủy trực tiếp màng tế bào gan,Tạo ra các gốc tự do oxy hóa trong máu,,b,"HBV là virus DNA, có khả năng tích hợp bộ gen của nó vào DNA của tế bào gan chủ, gây đột biến gene và kích hoạt quá trình sinh ung thư ngay cả khi chưa có xơ gan."
noi-ung-thu-gan-mcq-008,noi,Ung thư gan,Tiêu hoá,,Độc tố Aflatoxin B1 gây ung thư gan thông qua cơ chế gây đột biến tại gene nào?,Gene sinh ung thư c-myc,Gene ức chế khối u p53,Gene sửa chữa DNA BRCA1,Gene KRAS,,b,"Aflatoxin B1 gắn vào DNA và đặc biệt gây đột biến điểm tại codon 249 của gene ức chế khối u p53, làm mất khả năng kiểm soát chu kỳ tế bào. Nguồn: Bệnh học nội khoa YHN."
noi-ung-thu-gan-mcq-009,noi,Ung thư gan,Tiêu hoá,,Sự khác biệt về cơ chế sinh ung thư của virus viêm gan C (HCV) so với virus viêm gan B (HBV) là gì?,HCV tích hợp RNA vào nhân tế bào chủ,HCV sinh ung thư chủ yếu thông qua quá trình viêm mạn tính và xơ gan,HCV sản sinh trực tiếp độc tố phá hủy gene,HCV chỉ sinh ung thư khi đồng nhiễm với virus viêm gan D,,b,"HCV là virus RNA, không tích hợp vào bộ gen tế bào chủ. Nó sinh ung thư gián tiếp thông qua viêm mạn, hoại tử, tái tạo tế bào gan liên tục và hình thành xơ gan."
noi-ung-thu-gan-mcq-010,noi,Ung thư gan,Tiêu hoá,,Khối ung thư biểu mô tế bào gan chủ yếu nhận nguồn cung cấp máu từ đâu?,Tĩnh mạch cửa,Động mạch gan,Tĩnh mạch chủ dưới,Tĩnh mạch gan,,b,"Mô gan bình thường nhận 75% máu từ tĩnh mạch cửa, nhưng tế bào ung thư gan lại được nuôi dưỡng chủ yếu (90%) bởi động mạch gan. Đây là cơ sở cho phương pháp nút mạch (TACE)."
noi-ung-thu-gan-mcq-011,noi,Ung thư gan,Tiêu hoá,,Hội chứng chuyển hóa và béo phì dẫn đến ung thư gan chủ yếu thông qua con đường bệnh lý nào?,Viêm đường mật tiên phát,Gan thoái hóa mỡ không do rượu,Viêm gan tự miễn,Thiếu hụt Alpha-1 antitrypsin,,b,"Gan nhiễm mỡ không do rượu (NAFLD/NASH) gây kháng insulin, viêm mạn và stress oxy hóa, có thể dẫn đến xơ gan và ung thư gan, đây là cơ chế ngày càng phổ biến."
noi-ung-thu-gan-mcq-012,noi,Ung thư gan,Tiêu hoá,,Đặc điểm sinh lý bệnh nào giải thích tại sao ung thư biểu mô tế bào gan rất dễ di căn nội gan?,Khối u dễ vỡ vào ổ bụng,Có xu hướng xâm lấn vào các nhánh tĩnh mạch cửa,Khối u lan qua đường mật,Di căn mạnh qua hệ bạch huyết,,b,"Tế bào ung thư gan có ái lực cao với tĩnh mạch cửa, dễ dàng xâm nhập tạo huyết khối u và theo dòng máu lan tràn tạo các nốt vệ tinh nội gan."
noi-ung-thu-gan-mcq-013,noi,Ung thư gan,Tiêu hoá,,Sự phát triển nhanh chóng của khối u gan thường kích hoạt hiện tượng nào ở mức độ tổ chức học?,Quá trình xơ hóa đồng tâm,Tăng sinh mạch máu mới tân tạo,Tích tụ canxi thành mảng,Hình thành nang giả,,b,"U gan tiết ra các yếu tố tăng trưởng nội mô mạch máu (VEGF) kích thích tăng sinh mạch tân tạo mạnh mẽ để nuôi khối u, khiến khối u rất giàu mạch máu."
noi-ung-thu-gan-mcq-014,noi,Ung thư gan,Tiêu hoá,,Sự gia tăng PIVKA-II trong máu bệnh nhân ung thư gan phản ánh sự bất thường của quá trình nào?,Tổng hợp albumin tại gan,Giáng hóa bilirubin,Quá trình carboxyl hóa prothrombin do thiếu vitamin K tại mô u,Chu trình urea sinh NH3,,c,"PIVKA-II (hay DCP) là prothrombin bất thường không được carboxyl hóa hoàn toàn do tế bào ung thư mất khả năng sử dụng vitamin K, là dấu ấn rất đặc hiệu cho ung thư gan."
noi-ung-thu-gan-mcq-015,noi,Ung thư gan,Tiêu hoá,,Triệu chứng lâm sàng phổ biến nhất ở bệnh nhân ung thư biểu mô tế bào gan giai đoạn sớm là gì?,Đau hạ sườn phải dữ dội,Vàng da sậm,Cổ trướng lượng nhiều,Hoàn toàn không có triệu chứng,,d,"Gan có khả năng bù trừ rất tốt và không có thần kinh cảm giác trong nhu mô, do đó ở giai đoạn sớm khối u gan thường hoàn toàn không gây triệu chứng, chỉ phát hiện tình cờ."
noi-ung-thu-gan-mcq-016,noi,Ung thư gan,Tiêu hoá,,Khám thực thể bệnh nhân ung thư gan có thể nghe thấy tiếng thổi tâm thu ở vùng gan. Đặc điểm này phản ánh cơ chế nào?,Hẹp tĩnh mạch cửa,Hẹp tĩnh mạch chủ dưới,Sự tăng sinh và dòng máu xoáy qua hệ động mạch tân tạo của khối u,Tăng áp lực đường mật,,c,Tiếng thổi vùng gan do tăng lưu lượng dòng máu qua các động mạch gan bị giãn nở và hệ thống mạch máu tân tạo hỗn loạn của khối u. Nguồn: Bệnh học nội khoa YHN.
noi-ung-thu-gan-mcq-017,noi,Ung thư gan,Tiêu hoá,,Hội chứng cận ung thư nào sau đây thường gặp và có thể gây hôn mê ở bệnh nhân ung thư gan tiến triển?,Tăng canxi máu,Hạ đường huyết,Tăng kali máu,Hạ natri máu,,b,"Hạ đường huyết cận ung thư do khối u tiêu thụ nhiều glucose hoặc tiết ra chất giống insulin (IGF-2), là nguyên nhân nguy hiểm cần cấp cứu."
noi-ung-thu-gan-mcq-018,noi,Ung thư gan,Tiêu hoá,,Một bệnh nhân ung thư gan có xét nghiệm Hemoglobin 185 g/L và Hematocrit 55%. Cơ chế gây ra tình trạng này là do khối u tiết ra chất gì?,Renin,Thyroxine,Erythropoietin,Cortisol,,c,Đa hồng cầu cận ung thư ở bệnh nhân HCC xảy ra do khối u tự sản xuất hormone Erythropoietin kích thích tủy xương tạo hồng cầu.
noi-ung-thu-gan-mcq-019,noi,Ung thư gan,Tiêu hoá,,"Bệnh nhân nam 60 tuổi, có xơ gan, đột ngột đau bụng dữ dội vùng hạ sườn phải, huyết áp tụt 80/50 mmHg, mạch 120 lần/phút. Biến chứng cấp tính nào cần nghĩ tới đầu tiên?",Vỡ giãn tĩnh mạch thực quản,Vỡ khối u gan gây tràn máu ổ bụng,Viêm túi mật cấp,Huyết khối tĩnh mạch cửa,,b,"Đau bụng dữ dội kèm hội chứng sốc mất máu ở bệnh nhân có khối u gan/xơ gan là dấu hiệu điển hình của vỡ u gan, một cấp cứu ngoại khoa khẩn cấp."
noi-ung-thu-gan-mcq-020,noi,Ung thư gan,Tiêu hoá,,Dịch cổ trướng ở bệnh nhân ung thư gan giai đoạn muộn thường có đặc điểm đại thể nào?,Dịch trong vắt,Dịch màu hồng hoặc đỏ máu,Dịch đục như mủ,Dịch dưỡng trấp trắng đục,,b,Cổ trướng máu thường gặp trong ung thư gan do khối u xâm lấn bao gan rỉ máu hoặc các nốt ung thư di căn màng bụng. Nguồn: Bệnh học nội khoa YHN.
noi-ung-thu-gan-mcq-021,noi,Ung thư gan,Tiêu hoá,,Đặc điểm lâm sàng nào giúp phân biệt phân biệt ung thư biểu mô tế bào gan (HCC) và ung thư đường mật rốn gan?,"Vàng da xuất hiện sớm và tiến triển ở ung thư đường mật, muộn ở HCC","Đau bụng dữ dội ở ung thư đường mật, không đau ở HCC","Sốt cao rét run gặp trong HCC, không gặp ở ung thư đường mật",Gan to chỉ gặp trong ung thư đường mật,,a,"Ung thư đường mật rốn gan gây bít tắc cơ học sớm dẫn đến vàng da tắc mật rõ rệt, trong khi HCC thường chỉ gây vàng da ở giai đoạn rất muộn khi suy tế bào gan nặng."
noi-ung-thu-gan-mcq-022,noi,Ung thư gan,Tiêu hoá,,Rối loạn nội tiết nào sau đây là hậu quả của hội chứng cận ung thư trong ung thư gan gây tăng canxi máu?,Tiết Calcitonin,Tiết Protein liên quan đến hormone cận giáp (PTHrP),Tiết Aldosterone,Tiết Glucagon,,b,Khối u gan có thể tiết ra PTHrP (Parathyroid hormone- related protein) hoạt động giống hệt PTH gây tiêu xương và tăng canxi máu ác tính.
noi-ung-thu-gan-mcq-023,noi,Ung thư gan,Tiêu hoá,,Đặc điểm nào KHÔNG phù hợp với gan to trong ung thư biểu mô tế bào gan tiến triển?,Mật độ cứng chắc như đá,Bề mặt gồ ghề lổn nhổn,"Ấn đau chói, bờ tù","Mật độ mềm, ấn xẹp",,d,"Gan trong ung thư thường to, bờ sắc hoặc tù, bề mặt gồ ghề do các khối u, mật độ rất cứng (như đá). Mật độ mềm là đặc điểm sai. Nguồn: Bệnh học nội khoa YHN."
noi-ung-thu-gan-mcq-024,noi,Ung thư gan,Tiêu hoá,,Triệu chứng nổi ban đỏ lòng bàn tay và sao mạch trên bệnh nhân ung thư gan chủ yếu phản ánh điều gì?,Tình trạng di căn da của ung thư,Suy tế bào gan do bệnh lý xơ gan nền,Tác dụng phụ của thuốc giảm đau,Tình trạng dị ứng với độc tố khối u,,b,"Ban đỏ lòng bàn tay và sao mạch là triệu chứng kinh điển của hội chứng suy tế bào gan (do giảm thoái hóa estrogen), thường thấy do xơ gan nền chứ không đặc hiệu cho ung thư."
noi-ung-thu-gan-mcq-025,noi,Ung thư gan,Tiêu hoá,,"Trong chẩn đoán phân biệt, đặc điểm nào gợi ý khối u tại gan là ung thư di căn (thứ phát) chứ không phải nguyên phát?",Có tiền sử nhiễm viêm gan B,"Khối u đơn độc, kích thước lớn","Hình ảnh nhiều nốt rải rác ở cả 2 thùy gan, AFP bình thường",Tĩnh mạch cửa có huyết khối,,c,"Ung thư di căn gan thường biểu hiện dạng đa nốt ở cả 2 thùy (hình ảnh ""bóng bay"" hoặc ""mắt bò""), không có xơ gan nền và AFP thường không tăng."
noi-ung-thu-gan-mcq-026,noi,Ung thư gan,Tiêu hoá,,Di căn ngoài gan của ung thư biểu mô tế bào gan thường gặp nhất ở cơ quan nào?,Não,Phổi,Xương,Thận,,b,"Phổi là vị trí di căn ngoài gan phổ biến nhất của HCC do hệ tĩnh mạch gan đổ trực tiếp về tĩnh mạch chủ dưới và lên tim phải, bơm thẳng lên phổi."
noi-ung-thu-gan-mcq-027,noi,Ung thư gan,Tiêu hoá,,Phương tiện chẩn đoán hình ảnh nào được khuyến cáo đầu tay để tầm soát định kỳ ung thư gan?,Chụp cắt lớp vi tính (CT) ổ bụng có tiêm thuốc,Siêu âm ổ bụng,Chụp cộng hưởng từ (MRI) gan,Chụp PET/CT,,b,"Siêu âm ổ bụng là phương pháp đầu tay, chi phí thấp, không xâm lấn, được dùng để tầm soát định kỳ (mỗi 6 tháng) cho các đối tượng nguy cơ cao."
noi-ung-thu-gan-mcq-028,noi,Ung thư gan,Tiêu hoá,,Hình ảnh động học kinh điển giúp chẩn đoán xác định ung thư biểu mô tế bào gan trên CT hoặc MRI là gì?,Ngấm thuốc dần từ ngoại vi vào trung tâm ở thì tĩnh mạch,Ngấm thuốc mạnh ở thì động mạch và thải thuốc nhanh ở thì tĩnh mạch (Wash-out),Không ngấm thuốc ở cả 4 thì,Ngấm thuốc mạnh ở thì muộn,,b,"Hình ảnh ""wash-in/wash-out"" là tiêu chuẩn vàng hình ảnh học: u ngấm thuốc mạnh thì động mạch (do nuôi bằng ĐM gan) và thải thuốc nhanh thì tĩnh mạch cửa so với nhu mô gan xung quanh."
noi-ung-thu-gan-mcq-029,noi,Ung thư gan,Tiêu hoá,,Bộ ba xét nghiệm dấu ấn sinh học (biomarker) thường được kết hợp để tăng độ nhạy trong sàng lọc ung thư gan là?,"AFP, CEA, CA 19-9","AFP, AFP-L3, PIVKA-II","AFP, CA 125, PSA","CEA, CA 15-3, PIVKA-II",,b,"Bộ ba AFP, AFP-L3 (tỷ lệ AFP gắn Lectin) và PIVKA-II (DCP) hiện được sử dụng phối hợp giúp phát hiện sớm HCC tốt hơn dùng AFP đơn độc."
noi-ung-thu-gan-mcq-030,noi,Ung thư gan,Tiêu hoá,,"Theo hướng dẫn của Bộ Y tế Việt Nam, nồng độ AFP huyết thanh tăng trên ngưỡng nào (cùng với hình ảnh học điển hình) có giá trị chẩn đoán xác định ung thư gan ở bệnh nhân xơ gan?",> 20 ng/mL,> 100 ng/mL,> 200 ng/mL,> 400 ng/mL,,d,Nồng độ AFP > 400 ng/mL kết hợp với hình ảnh học khối u gan điển hình trên nền xơ gan/viêm gan B là tiêu chuẩn chẩn đoán xác định HCC không cần sinh thiết.
noi-ung-thu-gan-mcq-031,noi,Ung thư gan,Tiêu hoá,,"Theo tiêu chuẩn AASLD, kích thước khối u tối thiểu để áp dụng chẩn đoán xác định không xâm lấn qua CT/MRI động học (có wash-in/wash-out) là bao nhiêu?",≥ 0.5 cm,≥ 1 cm,≥ 2 cm,≥ 3 cm,,b,"Guideline AASLD/EASL quy định nốt ≥ 1 cm trên nền gan xơ có hình ảnh động học điển hình (ngấm động mạch, thải tĩnh mạch) được chẩn đoán xác định HCC."
noi-ung-thu-gan-mcq-032,noi,Ung thư gan,Tiêu hoá,,Chỉ định sinh thiết gan để chẩn đoán ung thư biểu mô tế bào gan BẮT BUỘC được đặt ra trong tình huống nào?,Bệnh nhân có hình ảnh khối u điển hình trên siêu âm và AFP > 1000 ng/mL,Hình ảnh CT/MRI động học không điển hình ở nốt > 1 cm,Bệnh nhân có xơ gan nặng Child-Pugh C kèm cổ trướng nhiều,Khối u đã có huyết khối tĩnh mạch cửa rõ,,b,"Sinh thiết gan được chỉ định khi các tiêu chuẩn chẩn đoán không xâm lấn (hình ảnh động học và marker) không điển hình, nhằm xác định bản chất u."
noi-ung-thu-gan-mcq-033,noi,Ung thư gan,Tiêu hoá,,Dấu hiệu sinh hóa máu thường gặp trong ung thư gan nguyên phát phản ánh sự chèn ép đường mật vi thể là gì?,Bilirubin gián tiếp tăng cao đơn độc,Tăng ALT và AST gấp 10 lần bình thường,Phosphatase kiềm và GGT tăng cao không tương xứng với AST/ALT,Albumin máu tăng cao,,c,"Tăng Phosphatase kiềm và GGT là dấu hiệu của sự tắc nghẽn đường mật vi thể do sự phát triển chèn ép của khối u, thường cao hơn mức độ hoại tử tế bào gan (AST/ALT)."
noi-ung-thu-gan-mcq-034,noi,Ung thư gan,Tiêu hoá,,Hệ thống phân loại Child-Pugh dùng để đánh giá chức năng gan KHÔNG bao gồm tiêu chí nào sau đây?,Bilirubin máu,Tỷ lệ Prothrombin / INR,Creatinin máu,Tình trạng bệnh lý não gan,,c,"Thang điểm Child-Pugh gồm 5 yếu tố: Bilirubin, Albumin, PT/INR, Cổ trướng và Bệnh lý não gan. Creatinin máu thuộc thang điểm MELD, không phải Child-Pugh."
noi-ung-thu-gan-mcq-035,noi,Ung thư gan,Tiêu hoá,,"Hình ảnh ""rửa thuốc"" (wash-out) trong thì tĩnh mạch trên phim CT động học của ung thư gan có cơ sở giải phẫu bệnh là gì?",Khối u chứa nhiều mỡ nên không giữ được thuốc,Khối u không nhận máu từ tĩnh mạch cửa như nhu mô gan lành,Khối u có quá nhiều mô liên kết xơ,Mạch máu khối u bị tắc nghẽn bởi huyết khối,,b,"Thì tĩnh mạch cửa, nhu mô gan lành ngấm thuốc mạnh từ tĩnh mạch cửa, trong khi khối u (chỉ nhận máu từ động mạch) không nhận máu tĩnh mạch cửa nên có vẻ ""tối đi"" nhanh chóng (rửa thuốc)."
noi-ung-thu-gan-mcq-036,noi,Ung thư gan,Tiêu hoá,,"Bệnh nhân nam 45 tuổi có tiền sử xơ gan do rượu, siêu âm phát hiện nốt 1.5 cm ở thùy phải. Bước tiếp cận lâm sàng tiếp theo phù hợp nhất là?",Sinh thiết gan dưới hướng dẫn siêu âm ngay,Chụp CT hoặc MRI gan 4 thì động học,"Chỉ cần xét nghiệm AFP, nếu tăng > 20 ng/mL là mổ",Hẹn siêu âm theo dõi lại sau 12 tháng,,b,"Khi phát hiện nốt ≥ 1 cm trên nền xơ gan qua siêu âm tầm soát, bước tiếp theo bắt buộc là chụp CT hoặc MRI động học đa thì để đánh giá tiêu chuẩn chẩn đoán không xâm lấn."
