id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-mm-ngoai-vi-case-1-1,noi,Bệnh MM ngoại vi,Tim mạch,"Bệnh nhân nam 65 tuổi, làm nghề thợ mộc, có tiền sử đái tháo đường type 2, béo phì (BMI 28 kg/m²), hút thuốc lá 30 bao.năm. Bệnh nhân vào viện vì đau buốt bắp chân phải mỗi khi đi bộ khoảng 200m, phải dừng lại nghỉ ngơi khoảng 5 phút thì mới hết đau và đi tiếp được. Tình trạng này kéo dài 6 tháng nay và quãng đường đi bộ ngày càng ngắn lại. Khám toàn thân: ý thức tỉnh, mạch 80 lần/phút, huyết áp 150/90 mmHg, nhiệt độ 37°C, nhịp thở 18 lần/phút. Khám chi dưới: da cẳng bàn chân phải lạnh hơn chân trái, rụng lông vùng cẳng chân, không có vết loét, mạch khoeo bắt yếu, mạch mu chân và chày sau bên phải không bắt được. Xét nghiệm máu cơ bản trong giới hạn bình thường, HbA1c 8.0%, LDL-C 4.2 mmol/L.",Định hướng chẩn đoán nào sau đây là phù hợp nhất với tình trạng của bệnh nhân?,Viêm tắc tĩnh mạch sâu chi dưới,Bệnh động mạch chi dưới mạn tính,Thuyên tắc động mạch chi dưới cấp,Bệnh viêm mạch máu Buerger,,b,Bệnh cảnh đau cách hồi kết hợp mất mạch ngoại vi và yếu tố nguy cơ xơ vữa cao là đặc trưng kinh điển của bệnh động mạch ngoại vi mạn tính chi dưới.
noi-benh-mm-ngoai-vi-case-1-2,noi,Bệnh MM ngoại vi,Tim mạch,"Bệnh nhân nam 65 tuổi, làm nghề thợ mộc, có tiền sử đái tháo đường type 2, béo phì (BMI 28 kg/m²), hút thuốc lá 30 bao.năm. Bệnh nhân vào viện vì đau buốt bắp chân phải mỗi khi đi bộ khoảng 200m, phải dừng lại nghỉ ngơi khoảng 5 phút thì mới hết đau và đi tiếp được. Tình trạng này kéo dài 6 tháng nay và quãng đường đi bộ ngày càng ngắn lại. Khám toàn thân: ý thức tỉnh, mạch 80 lần/phút, huyết áp 150/90 mmHg, nhiệt độ 37°C, nhịp thở 18 lần/phút. Khám chi dưới: da cẳng bàn chân phải lạnh hơn chân trái, rụng lông vùng cẳng chân, không có vết loét, mạch khoeo bắt yếu, mạch mu chân và chày sau bên phải không bắt được. Xét nghiệm máu cơ bản trong giới hạn bình thường, HbA1c 8.0%, LDL-C 4.2 mmol/L.",Cơ chế sinh lý bệnh chính gây ra triệu chứng đau bắp chân của bệnh nhân này là gì?,Tăng áp lực thủy tĩnh hệ tĩnh mạch sâu,Chèn ép rễ thần kinh thắt lưng cùng,Sự mất cân bằng cung cầu oxy cơ vân,Tắc nghẽn vi tuần hoàn do viêm mạch,,c,"Tình trạng hẹp lòng động mạch mạn tính làm hạn chế lưu lượng máu, khi gắng sức nhu cầu oxy cơ vân tăng vọt nhưng máu không tưới đủ, sinh ra acid lactic gây đau."
noi-benh-mm-ngoai-vi-case-1-3,noi,Bệnh MM ngoại vi,Tim mạch,"Bệnh nhân nam 65 tuổi, làm nghề thợ mộc, có tiền sử đái tháo đường type 2, béo phì (BMI 28 kg/m²), hút thuốc lá 30 bao.năm. Bệnh nhân vào viện vì đau buốt bắp chân phải mỗi khi đi bộ khoảng 200m, phải dừng lại nghỉ ngơi khoảng 5 phút thì mới hết đau và đi tiếp được. Tình trạng này kéo dài 6 tháng nay và quãng đường đi bộ ngày càng ngắn lại. Khám toàn thân: ý thức tỉnh, mạch 80 lần/phút, huyết áp 150/90 mmHg, nhiệt độ 37°C, nhịp thở 18 lần/phút. Khám chi dưới: da cẳng bàn chân phải lạnh hơn chân trái, rụng lông vùng cẳng chân, không có vết loét, mạch khoeo bắt yếu, mạch mu chân và chày sau bên phải không bắt được. Xét nghiệm máu cơ bản trong giới hạn bình thường, HbA1c 8.0%, LDL-C 4.2 mmol/L.",Thăm dò cận lâm sàng nào là ưu tiên bước tiếp theo để xác định chẩn đoán?,Siêu âm Doppler tĩnh mạch chi dưới,Chụp cộng hưởng từ cột sống thắt lưng,Chụp cắt lớp vi tính động mạch chủ,Đo chỉ số huyết áp cổ chân cánh tay,,d,"Chỉ số huyết áp cổ chân cánh tay (ABI) là xét nghiệm đầu tay, không xâm lấn và nhạy để đánh giá mức độ tắc nghẽn động mạch chi dưới."
noi-benh-mm-ngoai-vi-case-1-4,noi,Bệnh MM ngoại vi,Tim mạch,"Bệnh nhân nam 65 tuổi, làm nghề thợ mộc, có tiền sử đái tháo đường type 2, béo phì (BMI 28 kg/m²), hút thuốc lá 30 bao.năm. Bệnh nhân vào viện vì đau buốt bắp chân phải mỗi khi đi bộ khoảng 200m, phải dừng lại nghỉ ngơi khoảng 5 phút thì mới hết đau và đi tiếp được. Tình trạng này kéo dài 6 tháng nay và quãng đường đi bộ ngày càng ngắn lại. Khám toàn thân: ý thức tỉnh, mạch 80 lần/phút, huyết áp 150/90 mmHg, nhiệt độ 37°C, nhịp thở 18 lần/phút. Khám chi dưới: da cẳng bàn chân phải lạnh hơn chân trái, rụng lông vùng cẳng chân, không có vết loét, mạch khoeo bắt yếu, mạch mu chân và chày sau bên phải không bắt được. Xét nghiệm máu cơ bản trong giới hạn bình thường, HbA1c 8.0%, LDL-C 4.2 mmol/L.",Quản lý điều trị nội khoa ban đầu nào sau đây là phù hợp nhất?,Chống đông đường uống và kháng sinh,"Kháng tiểu cầu, statin và tập đi bộ",Truyền tĩnh mạch heparin liên tục,Phẫu thuật bắc cầu động mạch ngay,,b,"Điều trị nội khoa nền tảng bắt buộc thay đổi lối sống, tập đi bộ, cùng với nhóm kháng kết tập tiểu cầu và statin nhằm ổn định mảng xơ vữa."
noi-benh-mm-ngoai-vi-case-2-1,noi,Bệnh MM ngoại vi,Tim mạch,"trọng đặc trưng bằng cơn đau nhức liên tục khi nghỉ ngơi, báo động nguy cơ hoại tử mô nếu không được tái thông mạch. Nguồn tham khảo: ACC/AHA Guideline. Bệnh nhân nữ 72 tuổi, đã nghỉ hưu, tiền sử rung nhĩ mạn tính nhưng không tuân thủ uống thuốc kháng đông, tăng huyết áp đang dùng amlodipine. Cách nhập viện 4 giờ, bệnh nhân đột ngột cảm thấy đau dữ dội ở cẳng chân và bàn chân trái, chân lạnh và không thể cử động các ngón chân. Khám toàn thân: ý thức tỉnh, nhịp tim loạn nhịp hoàn toàn tần số 115 lần/phút, huyết áp 140/85 mmHg, nhịp thở 20 lần/phút. Khám chi dưới: cẳng bàn chân trái nhợt nhạt, lạnh ngắt, tím tái dạng vân đá, mất hoàn toàn cảm giác nông sâu, các ngón chân không cử động được, mạch đùi trái bắt yếu, mạch khoeo và mạch mu chân trái không bắt được; chân phải bình thường.",Tình trạng lâm sàng hiện tại của bệnh nhân phù hợp nhất với hội chứng nào?,Huyết khối tĩnh mạch sâu cấp tính,Tắc động mạch chi dưới cấp tính,Cơn đau thần kinh tọa cấp tính,Viêm mô tế bào cẳng chân cấp,,b,"Tổ hợp triệu chứng đau đột ngột, lạnh, nhợt nhạt, mất mạch, mất cảm giác và vận động tạo thành dấu hiệu 6P kinh điển của tắc động mạch cấp tính."
noi-benh-mm-ngoai-vi-case-2-2,noi,Bệnh MM ngoại vi,Tim mạch,"trọng đặc trưng bằng cơn đau nhức liên tục khi nghỉ ngơi, báo động nguy cơ hoại tử mô nếu không được tái thông mạch. Nguồn tham khảo: ACC/AHA Guideline. Bệnh nhân nữ 72 tuổi, đã nghỉ hưu, tiền sử rung nhĩ mạn tính nhưng không tuân thủ uống thuốc kháng đông, tăng huyết áp đang dùng amlodipine. Cách nhập viện 4 giờ, bệnh nhân đột ngột cảm thấy đau dữ dội ở cẳng chân và bàn chân trái, chân lạnh và không thể cử động các ngón chân. Khám toàn thân: ý thức tỉnh, nhịp tim loạn nhịp hoàn toàn tần số 115 lần/phút, huyết áp 140/85 mmHg, nhịp thở 20 lần/phút. Khám chi dưới: cẳng bàn chân trái nhợt nhạt, lạnh ngắt, tím tái dạng vân đá, mất hoàn toàn cảm giác nông sâu, các ngón chân không cử động được, mạch đùi trái bắt yếu, mạch khoeo và mạch mu chân trái không bắt được; chân phải bình thường.",Cơ chế bệnh sinh phù hợp nhất gây ra tình trạng bệnh lý này là gì?,Mảng xơ vữa tại chỗ nứt vỡ lấp mạch,Viêm tự miễn thành động mạch cấp tính,Huyết khối từ tâm nhĩ trái trôi xuống,Bóc tách động mạch chậu lan xuống,,c,"Rung nhĩ mạn không dùng kháng đông làm hình thành huyết khối tại tiểu nhĩ trái, huyết khối này bong ra và thuyên tắc tại động mạch ngoại biên."
noi-benh-mm-ngoai-vi-case-2-3,noi,Bệnh MM ngoại vi,Tim mạch,"trọng đặc trưng bằng cơn đau nhức liên tục khi nghỉ ngơi, báo động nguy cơ hoại tử mô nếu không được tái thông mạch. Nguồn tham khảo: ACC/AHA Guideline. Bệnh nhân nữ 72 tuổi, đã nghỉ hưu, tiền sử rung nhĩ mạn tính nhưng không tuân thủ uống thuốc kháng đông, tăng huyết áp đang dùng amlodipine. Cách nhập viện 4 giờ, bệnh nhân đột ngột cảm thấy đau dữ dội ở cẳng chân và bàn chân trái, chân lạnh và không thể cử động các ngón chân. Khám toàn thân: ý thức tỉnh, nhịp tim loạn nhịp hoàn toàn tần số 115 lần/phút, huyết áp 140/85 mmHg, nhịp thở 20 lần/phút. Khám chi dưới: cẳng bàn chân trái nhợt nhạt, lạnh ngắt, tím tái dạng vân đá, mất hoàn toàn cảm giác nông sâu, các ngón chân không cử động được, mạch đùi trái bắt yếu, mạch khoeo và mạch mu chân trái không bắt được; chân phải bình thường.",Phương tiện chẩn đoán hình ảnh nào cần được thực hiện khẩn cấp tại giường?,Siêu âm Doppler động mạch chi dưới,Chụp cắt lớp vi tính cột sống thắt lưng,Chụp cộng hưởng từ mạch máu chi dưới,Chụp X-quang xương cẳng chân thẳng,,a,Siêu âm Doppler là phương tiện nhanh chóng tại giường giúp xác định ngay vị trí tắc và đánh giá dòng chảy động mạch.
noi-benh-mm-ngoai-vi-case-2-4,noi,Bệnh MM ngoại vi,Tim mạch,"trọng đặc trưng bằng cơn đau nhức liên tục khi nghỉ ngơi, báo động nguy cơ hoại tử mô nếu không được tái thông mạch. Nguồn tham khảo: ACC/AHA Guideline. Bệnh nhân nữ 72 tuổi, đã nghỉ hưu, tiền sử rung nhĩ mạn tính nhưng không tuân thủ uống thuốc kháng đông, tăng huyết áp đang dùng amlodipine. Cách nhập viện 4 giờ, bệnh nhân đột ngột cảm thấy đau dữ dội ở cẳng chân và bàn chân trái, chân lạnh và không thể cử động các ngón chân. Khám toàn thân: ý thức tỉnh, nhịp tim loạn nhịp hoàn toàn tần số 115 lần/phút, huyết áp 140/85 mmHg, nhịp thở 20 lần/phút. Khám chi dưới: cẳng bàn chân trái nhợt nhạt, lạnh ngắt, tím tái dạng vân đá, mất hoàn toàn cảm giác nông sâu, các ngón chân không cử động được, mạch đùi trái bắt yếu, mạch khoeo và mạch mu chân trái không bắt được; chân phải bình thường.",Xử trí thuốc cấp cứu nào sau đây cần được thực hiện ngay lập tức?,Kháng sinh phổ rộng tiêm tĩnh mạch,Heparin không phân đoạn truyền tĩnh mạch,Kháng tiểu cầu kép liều nạp đường uống,Thuốc tiêu sỏi huyết đường tĩnh mạch,,b,Sử dụng heparin không phân đoạn ngay lập tức giúp ngăn chặn huyết khối lan rộng thêm về phía vi tuần hoàn trong khi chờ can thiệp.
noi-benh-mm-ngoai-vi-case-3-1,noi,Bệnh MM ngoại vi,Tim mạch,"mạn tính gây thoát hồng cầu ra mô kẽ, thoái hóa giải phóng hemosiderin gây xạm da và cuối cùng dẫn đến loét tĩnh mạch mạn tính. Nguồn tham khảo: ESC. D. Vỡ tĩnh mạch gây chảy máu ồ ạt Bệnh nhân nam 68 tuổi, đái tháo đường type 2, hút thuốc lá 20 bao.năm. Đang ăn cơm, bệnh nhân đột ngột thấy tối sầm mắt phải như có bức màn kéo xuống, không yếu liệt tay chân, không khó nói. Triệu chứng kéo dài khoảng 10 phút rồi thị lực hồi phục hoàn toàn bình thường. Khám lâm sàng hiện tại sinh hiệu ổn định, soi đáy mắt không thấy xuất huyết, nghe vùng cổ bên phải có âm thổi tâm thu 3/6 khu trú ở tam giác cảnh. Siêu âm Doppler động mạch cảnh cho thấy hẹp 80% động mạch cảnh trong phải do mảng xơ vữa mềm.",Tình trạng mù thoáng qua mắt phải của bệnh nhân là biểu hiện của hội chứng nào?,Đột quỵ nhồi máu não diện rộng,Viêm động mạch thái dương,Cơn thiếu máu não thoáng qua,Bong võng mạc nguyên phát,,c,Mù thoáng qua một mắt (Amaurosis fugax) là biểu hiện lâm sàng kinh điển của cơn thiếu máu não thoáng qua liên quan đến động mạch mắt.
noi-benh-mm-ngoai-vi-case-3-2,noi,Bệnh MM ngoại vi,Tim mạch,"mạn tính gây thoát hồng cầu ra mô kẽ, thoái hóa giải phóng hemosiderin gây xạm da và cuối cùng dẫn đến loét tĩnh mạch mạn tính. Nguồn tham khảo: ESC. D. Vỡ tĩnh mạch gây chảy máu ồ ạt Bệnh nhân nam 68 tuổi, đái tháo đường type 2, hút thuốc lá 20 bao.năm. Đang ăn cơm, bệnh nhân đột ngột thấy tối sầm mắt phải như có bức màn kéo xuống, không yếu liệt tay chân, không khó nói. Triệu chứng kéo dài khoảng 10 phút rồi thị lực hồi phục hoàn toàn bình thường. Khám lâm sàng hiện tại sinh hiệu ổn định, soi đáy mắt không thấy xuất huyết, nghe vùng cổ bên phải có âm thổi tâm thu 3/6 khu trú ở tam giác cảnh. Siêu âm Doppler động mạch cảnh cho thấy hẹp 80% động mạch cảnh trong phải do mảng xơ vữa mềm.","Các đặc điểm tiêu chuẩn để chẩn đoán cơn thiếu máu não thoáng qua (TIA) gồm các ý sau, TRỪ:",Triệu chứng thần kinh khu trú hồi phục hoàn toàn,Thời gian kéo dài triệu chứng thường dưới 1 giờ,Hình ảnh nhồi máu não mới trên MRI sọ não,Có nguồn gốc do thiếu máu cục bộ,,c,Chẩn đoán cơn thiếu máu não thoáng qua theo định nghĩa hiện tại đòi hỏi không có bằng chứng nhồi máu não cấp tính trên các phương tiện hình ảnh học (MRI).
