id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-ly-cau-than-casen2-1-1,noi,Bệnh lý cầu thận,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 8 tuổi, được mẹ đưa đến khám vì sưng phù toàn thân. Cách đây 2 tuần, bé bị viêm họng, sốt, được điều trị bằng kháng sinh không rõ loại và đã khỏi. Tuy nhiên, khoảng 5 ngày nay, mẹ bé phát hiện mi mắt bé sưng húp vào buổi sáng, sau đó phù lan nhanh xuống mặt, bụng và hai chân. Bé mệt mỏi, ăn kém, đi tiểu ít hơn bình thường và nước tiểu có màu đỏ sậm như nước coca. Bé không có tiền sử bệnh thận hay bệnh hệ thống trước đây, tiêm chủng đầy đủ. Khám toàn thân ghi nhận bé tỉnh, tiếp xúc tốt, phù toàn thân, mềm, ấn lõm. Sinh hiệu: mạch 100 lần/phút, huyết áp 135/90 mmHg (cao so với tuổi), nhiệt độ 37.2°C, nhịp thở 22 lần/phút, SpO₂ 98% khí trời. Khám họng còn hơi sung huyết, không thấy ban ngoài da, không đau khớp. Cận lâm sàng: Creatinin huyết thanh 90 μmol/L, Albumin máu 32 g/L. Tổng phân tích nước tiểu có Protein 2+, Hồng cầu rất nhiều (dạng biến dạng trên soi cặn lắng), có trụ hồng cầu. Xét nghiệm miễn dịch cho thấy ASLO (Anti-streptolysin O) tăng cao, Bổ thể C3 giảm, C4 bình thường.",Chẩn đoán nào là phù hợp nhất với bệnh cảnh của bệnh nhân?,Viêm thận Lupus.,Hội chứng thận hư tiên phát.,Viêm cầu thận cấp sau nhiễm liên cầu.,Bệnh thận IgA.,,c,"Bệnh cảnh một trẻ em có hội chứng viêm cầu thận cấp (phù, tăng huyết áp, tiểu máu, suy thận cấp mức độ nhẹ) xuất hiện sau một đợt nhiễm trùng vùng họng, cùng với xét nghiệm ASLO tăng và C3 giảm là rất điển hình cho Viêm cầu thận cấp sau nhiễm liên cầu."
noi-benh-ly-cau-than-casen2-1-2,noi,Bệnh lý cầu thận,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 8 tuổi, được mẹ đưa đến khám vì sưng phù toàn thân. Cách đây 2 tuần, bé bị viêm họng, sốt, được điều trị bằng kháng sinh không rõ loại và đã khỏi. Tuy nhiên, khoảng 5 ngày nay, mẹ bé phát hiện mi mắt bé sưng húp vào buổi sáng, sau đó phù lan nhanh xuống mặt, bụng và hai chân. Bé mệt mỏi, ăn kém, đi tiểu ít hơn bình thường và nước tiểu có màu đỏ sậm như nước coca. Bé không có tiền sử bệnh thận hay bệnh hệ thống trước đây, tiêm chủng đầy đủ. Khám toàn thân ghi nhận bé tỉnh, tiếp xúc tốt, phù toàn thân, mềm, ấn lõm. Sinh hiệu: mạch 100 lần/phút, huyết áp 135/90 mmHg (cao so với tuổi), nhiệt độ 37.2°C, nhịp thở 22 lần/phút, SpO₂ 98% khí trời. Khám họng còn hơi sung huyết, không thấy ban ngoài da, không đau khớp. Cận lâm sàng: Creatinin huyết thanh 90 μmol/L, Albumin máu 32 g/L. Tổng phân tích nước tiểu có Protein 2+, Hồng cầu rất nhiều (dạng biến dạng trên soi cặn lắng), có trụ hồng cầu. Xét nghiệm miễn dịch cho thấy ASLO (Anti-streptolysin O) tăng cao, Bổ thể C3 giảm, C4 bình thường.",Cơ chế bệnh sinh chính gây ra tổn thương cầu thận trong bệnh này là gì?,"Sự lắng đọng của các phức hợp miễn dịch (kháng nguyên liên cầu - kháng thể) tại cầu thận, hoạt hóa bổ thể và gây viêm.",Tế bào T gây độc trực tiếp làm tổn thương tế bào có chân (podocyte).,Sự tấn công trực tiếp của liên cầu khuẩn vào màng đáy cầu thận.,Đột biến gen mã hóa collagen type IV của màng đáy cầu thận.,,a,"Bệnh sinh của viêm cầu thận cấp sau nhiễm liên cầu là một phản ứng quá mẫn type III. Các kháng nguyên của liên cầu khuẩn (Streptococcal antigens) lưu hành trong máu kết hợp với kháng thể do cơ thể tạo ra, hình thành các phức hợp miễn dịch. Các phức hợp này sau đó lắng đọng ở cầu thận (chủ yếu là dưới tế bào biểu mô), kích hoạt dòng thác bổ thể theo con đường cổ điển, gây tổn thương viêm cấp tính tại cầu thận."
noi-benh-ly-cau-than-casen2-1-3,noi,Bệnh lý cầu thận,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 8 tuổi, được mẹ đưa đến khám vì sưng phù toàn thân. Cách đây 2 tuần, bé bị viêm họng, sốt, được điều trị bằng kháng sinh không rõ loại và đã khỏi. Tuy nhiên, khoảng 5 ngày nay, mẹ bé phát hiện mi mắt bé sưng húp vào buổi sáng, sau đó phù lan nhanh xuống mặt, bụng và hai chân. Bé mệt mỏi, ăn kém, đi tiểu ít hơn bình thường và nước tiểu có màu đỏ sậm như nước coca. Bé không có tiền sử bệnh thận hay bệnh hệ thống trước đây, tiêm chủng đầy đủ. Khám toàn thân ghi nhận bé tỉnh, tiếp xúc tốt, phù toàn thân, mềm, ấn lõm. Sinh hiệu: mạch 100 lần/phút, huyết áp 135/90 mmHg (cao so với tuổi), nhiệt độ 37.2°C, nhịp thở 22 lần/phút, SpO₂ 98% khí trời. Khám họng còn hơi sung huyết, không thấy ban ngoài da, không đau khớp. Cận lâm sàng: Creatinin huyết thanh 90 μmol/L, Albumin máu 32 g/L. Tổng phân tích nước tiểu có Protein 2+, Hồng cầu rất nhiều (dạng biến dạng trên soi cặn lắng), có trụ hồng cầu. Xét nghiệm miễn dịch cho thấy ASLO (Anti-streptolysin O) tăng cao, Bổ thể C3 giảm, C4 bình thường.",Dấu hiệu lâm sàng nào sau đây là biểu hiện của tình trạng ứ muối và nước do tổn thương cầu thận cấp?,Sốt cao.,Nước tiểu có bọt.,Tăng huyết áp và phù.,Thiếu máu.,,c,"Khi cầu thận bị viêm cấp tính, khả năng lọc và bài tiết muối, nước của thận bị suy giảm đột ngột. Hậu quả là cơ thể giữ lại muối và nước, gây tăng thể tích tuần hoàn. Trên lâm sàng, điều này biểu hiện bằng phù và tăng huyết áp."
noi-benh-ly-cau-than-casen2-1-4,noi,Bệnh lý cầu thận,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 8 tuổi, được mẹ đưa đến khám vì sưng phù toàn thân. Cách đây 2 tuần, bé bị viêm họng, sốt, được điều trị bằng kháng sinh không rõ loại và đã khỏi. Tuy nhiên, khoảng 5 ngày nay, mẹ bé phát hiện mi mắt bé sưng húp vào buổi sáng, sau đó phù lan nhanh xuống mặt, bụng và hai chân. Bé mệt mỏi, ăn kém, đi tiểu ít hơn bình thường và nước tiểu có màu đỏ sậm như nước coca. Bé không có tiền sử bệnh thận hay bệnh hệ thống trước đây, tiêm chủng đầy đủ. Khám toàn thân ghi nhận bé tỉnh, tiếp xúc tốt, phù toàn thân, mềm, ấn lõm. Sinh hiệu: mạch 100 lần/phút, huyết áp 135/90 mmHg (cao so với tuổi), nhiệt độ 37.2°C, nhịp thở 22 lần/phút, SpO₂ 98% khí trời. Khám họng còn hơi sung huyết, không thấy ban ngoài da, không đau khớp. Cận lâm sàng: Creatinin huyết thanh 90 μmol/L, Albumin máu 32 g/L. Tổng phân tích nước tiểu có Protein 2+, Hồng cầu rất nhiều (dạng biến dạng trên soi cặn lắng), có trụ hồng cầu. Xét nghiệm miễn dịch cho thấy ASLO (Anti-streptolysin O) tăng cao, Bổ thể C3 giảm, C4 bình thường.",Xét nghiệm nào sau đây có giá trị tiên lượng và theo dõi sự hồi phục của bệnh?,Nồng độ Creatinin huyết thanh.,Nồng độ bổ thể C3 trong máu.,Nồng độ ASLO trong máu.,Mức độ protein niệu 24 giờ.,,b,"Nồng độ bổ thể C3 giảm là một dấu hiệu đặc trưng của việc hệ thống bổ thể bị hoạt hóa trong giai đoạn cấp. Việc C3 trở về bình thường (thường sau 6-8 tuần) là một dấu hiệu tốt, cho thấy quá trình viêm miễn dịch đã thoái lui và bệnh đang hồi phục."
noi-benh-ly-cau-than-casen2-2-1,noi,Bệnh lý cầu thận,Thận tiết niệu,"sau nhiễm liên cầu sẽ tự hồi phục. Do đó, điều trị chủ yếu là hỗ trợ và giải quyết các vấn đề cấp tính: hạn chế muối và dịch để giảm phù và gánh nặng tuần hoàn, dùng thuốc lợi tiểu quai (Furosemide) để tăng thải nước, và dùng thuốc hạ áp nếu cần. Corticoid không có vai trò trong bệnh này. TÌNH HUỐNG 2: Bệnh nhân nữ, 25 tuổi, đến khám vì phù toàn thân và mệt mỏi. Bệnh nhân khai khoảng 1 tháng nay, cô thấy mi mắt bị sưng vào buổi sáng, sau đó phù tăng dần ở cả hai chân, bụng và mặt. Cô tăng 8 kg trong vòng 1 tháng. Nước tiểu có rất nhiều bọt nhưng không có màu đỏ. Bệnh nhân không sốt, không đau khớp, không có ban đỏ trên da. Tiền sử không có bệnh lý mạn tính, không dùng thuốc gì đặc biệt. Khám toàn thân ghi nhận bệnh nhân tỉnh, tiếp xúc tốt, phù toàn thân, mềm, ấn lõm, có tràn dịch màng phổi hai bên lượng ít. Sinh hiệu: mạch 80 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 37.0°C, nhịp thở 20 lần/phút, SpO₂ 97% khí trời. Khám tim, phổi, bụng không có gì đặc biệt ngoài dấu hiệu của dịch. Cận lâm sàng: Creatinin huyết thanh 70 μmol/L, Albumin máu 18 g/L (giảm nặng), Cholesterol toàn phần 9.5 mmol/L (tăng cao), Triglyceride 4.2 mmol/L (tăng cao). Xét nghiệm nước tiểu 24 giờ cho thấy lượng protein là 8.5 g/24h. Các xét nghiệm miễn dịch như kháng thể kháng nhân (ANA), anti-dsDNA, bổ thể C3, C4 đều trong giới hạn bình thường.",Hội chứng lâm sàng và cận lâm sàng của bệnh nhân này được gọi là gì?,Suy thận cấp.,Hội chứng viêm cầu thận cấp.,Hội chứng thận hư.,Bệnh thận mạn giai đoạn cuối.,,c,"Bệnh nhân có đầy đủ 4 tiêu chuẩn kinh điển của hội chứng thận hư: (1) Protein niệu mức rất cao (>3.5 g/24h), (2) Giảm albumin máu (<30 g/L), (3) Phù toàn thân, và (4) Tăng lipid máu. Chức năng thận (creatinin) vẫn bình thường."
noi-benh-ly-cau-than-casen2-2-2,noi,Bệnh lý cầu thận,Thận tiết niệu,"sau nhiễm liên cầu sẽ tự hồi phục. Do đó, điều trị chủ yếu là hỗ trợ và giải quyết các vấn đề cấp tính: hạn chế muối và dịch để giảm phù và gánh nặng tuần hoàn, dùng thuốc lợi tiểu quai (Furosemide) để tăng thải nước, và dùng thuốc hạ áp nếu cần. Corticoid không có vai trò trong bệnh này. TÌNH HUỐNG 2: Bệnh nhân nữ, 25 tuổi, đến khám vì phù toàn thân và mệt mỏi. Bệnh nhân khai khoảng 1 tháng nay, cô thấy mi mắt bị sưng vào buổi sáng, sau đó phù tăng dần ở cả hai chân, bụng và mặt. Cô tăng 8 kg trong vòng 1 tháng. Nước tiểu có rất nhiều bọt nhưng không có màu đỏ. Bệnh nhân không sốt, không đau khớp, không có ban đỏ trên da. Tiền sử không có bệnh lý mạn tính, không dùng thuốc gì đặc biệt. Khám toàn thân ghi nhận bệnh nhân tỉnh, tiếp xúc tốt, phù toàn thân, mềm, ấn lõm, có tràn dịch màng phổi hai bên lượng ít. Sinh hiệu: mạch 80 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 37.0°C, nhịp thở 20 lần/phút, SpO₂ 97% khí trời. Khám tim, phổi, bụng không có gì đặc biệt ngoài dấu hiệu của dịch. Cận lâm sàng: Creatinin huyết thanh 70 μmol/L, Albumin máu 18 g/L (giảm nặng), Cholesterol toàn phần 9.5 mmol/L (tăng cao), Triglyceride 4.2 mmol/L (tăng cao). Xét nghiệm nước tiểu 24 giờ cho thấy lượng protein là 8.5 g/24h. Các xét nghiệm miễn dịch như kháng thể kháng nhân (ANA), anti-dsDNA, bổ thể C3, C4 đều trong giới hạn bình thường.",Cơ chế chính gây ra tình trạng phù nặng ở bệnh nhân này là gì?,Tăng tính thấm thành mạch do phản ứng viêm hệ thống.,Giảm áp lực keo huyết tương do mất protein (chủ yếu là albumin) qua nước tiểu.,Tắc nghẽn hệ thống bạch huyết.,Tăng áp lực thủy tĩnh trong lòng mạch do suy tim.,,b,"Màng lọc cầu thận bị tổn thương làm mất một lượng lớn albumin qua nước tiểu. Albumin là protein chính tạo ra áp lực keo trong lòng mạch, giúp giữ nước lại. Khi albumin máu giảm nặng, áp lực keo giảm, nước thoát ra khỏi lòng mạch vào khoảng kẽ, gây phù toàn thân."
noi-benh-ly-cau-than-casen2-2-3,noi,Bệnh lý cầu thận,Thận tiết niệu,"sau nhiễm liên cầu sẽ tự hồi phục. Do đó, điều trị chủ yếu là hỗ trợ và giải quyết các vấn đề cấp tính: hạn chế muối và dịch để giảm phù và gánh nặng tuần hoàn, dùng thuốc lợi tiểu quai (Furosemide) để tăng thải nước, và dùng thuốc hạ áp nếu cần. Corticoid không có vai trò trong bệnh này. TÌNH HUỐNG 2: Bệnh nhân nữ, 25 tuổi, đến khám vì phù toàn thân và mệt mỏi. Bệnh nhân khai khoảng 1 tháng nay, cô thấy mi mắt bị sưng vào buổi sáng, sau đó phù tăng dần ở cả hai chân, bụng và mặt. Cô tăng 8 kg trong vòng 1 tháng. Nước tiểu có rất nhiều bọt nhưng không có màu đỏ. Bệnh nhân không sốt, không đau khớp, không có ban đỏ trên da. Tiền sử không có bệnh lý mạn tính, không dùng thuốc gì đặc biệt. Khám toàn thân ghi nhận bệnh nhân tỉnh, tiếp xúc tốt, phù toàn thân, mềm, ấn lõm, có tràn dịch màng phổi hai bên lượng ít. Sinh hiệu: mạch 80 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 37.0°C, nhịp thở 20 lần/phút, SpO₂ 97% khí trời. Khám tim, phổi, bụng không có gì đặc biệt ngoài dấu hiệu của dịch. Cận lâm sàng: Creatinin huyết thanh 70 μmol/L, Albumin máu 18 g/L (giảm nặng), Cholesterol toàn phần 9.5 mmol/L (tăng cao), Triglyceride 4.2 mmol/L (tăng cao). Xét nghiệm nước tiểu 24 giờ cho thấy lượng protein là 8.5 g/24h. Các xét nghiệm miễn dịch như kháng thể kháng nhân (ANA), anti-dsDNA, bổ thể C3, C4 đều trong giới hạn bình thường.",Nhóm mô bệnh học nào nằm trong các nguyên nhân nguyên phát thường gặp gây hội chứng thận hư ở người lớn?,Bệnh cầu thận màng và xơ hóa cầu thận ổ cục bộ.,Viêm cầu thận sau nhiễm liên cầu và hội chứng Alport.,Viêm thận kẽ cấp và hoại tử ống thận cấp.,Sỏi thận và viêm bàng quang tái phát.,,a,"Ở người lớn, bệnh cầu thận màng và FSGS là hai nguyên nhân nguyên phát quan trọng của hội chứng thận hư; tần suất thay đổi theo tuổi, chủng tộc và quần thể. Không nên dùng một đáp án kết hợp kiểu “B và C” làm lộ cấu trúc câu hỏi."
noi-benh-ly-cau-than-casen2-2-4,noi,Bệnh lý cầu thận,Thận tiết niệu,"sau nhiễm liên cầu sẽ tự hồi phục. Do đó, điều trị chủ yếu là hỗ trợ và giải quyết các vấn đề cấp tính: hạn chế muối và dịch để giảm phù và gánh nặng tuần hoàn, dùng thuốc lợi tiểu quai (Furosemide) để tăng thải nước, và dùng thuốc hạ áp nếu cần. Corticoid không có vai trò trong bệnh này. TÌNH HUỐNG 2: Bệnh nhân nữ, 25 tuổi, đến khám vì phù toàn thân và mệt mỏi. Bệnh nhân khai khoảng 1 tháng nay, cô thấy mi mắt bị sưng vào buổi sáng, sau đó phù tăng dần ở cả hai chân, bụng và mặt. Cô tăng 8 kg trong vòng 1 tháng. Nước tiểu có rất nhiều bọt nhưng không có màu đỏ. Bệnh nhân không sốt, không đau khớp, không có ban đỏ trên da. Tiền sử không có bệnh lý mạn tính, không dùng thuốc gì đặc biệt. Khám toàn thân ghi nhận bệnh nhân tỉnh, tiếp xúc tốt, phù toàn thân, mềm, ấn lõm, có tràn dịch màng phổi hai bên lượng ít. Sinh hiệu: mạch 80 lần/phút, huyết áp 110/70 mmHg, nhiệt độ 37.0°C, nhịp thở 20 lần/phút, SpO₂ 97% khí trời. Khám tim, phổi, bụng không có gì đặc biệt ngoài dấu hiệu của dịch. Cận lâm sàng: Creatinin huyết thanh 70 μmol/L, Albumin máu 18 g/L (giảm nặng), Cholesterol toàn phần 9.5 mmol/L (tăng cao), Triglyceride 4.2 mmol/L (tăng cao). Xét nghiệm nước tiểu 24 giờ cho thấy lượng protein là 8.5 g/24h. Các xét nghiệm miễn dịch như kháng thể kháng nhân (ANA), anti-dsDNA, bổ thể C3, C4 đều trong giới hạn bình thường.",Biến chứng nào sau đây bệnh nhân có nguy cơ cao mắc phải do tình trạng tăng đông trong hội chứng thận hư?,Thiếu máu tán huyết.,Giảm tiểu cầu.,Huyết khối tĩnh mạch sâu và thuyên tắc phổi.,Xuất huyết não.,,c,"Hội chứng thận hư là một tình trạng tăng đông máu rõ rệt. Nguyên nhân là do mất các yếu tố chống đông tự nhiên (như Antithrombin III) qua nước tiểu, đồng thời gan tăng tổng hợp các yếu tố tiền đông máu (như Fibrinogen). Điều này làm bệnh nhân có nguy cơ rất cao bị các biến cố huyết khối, đặc biệt là huyết khối tĩnh mạch sâu chi dưới và thuyên tắc phổi."
noi-benh-ly-cau-than-casen2-3-1,noi,Bệnh lý cầu thận,Thận tiết niệu,"hư điển hình, người lớn thường cần sinh thiết thận và đánh giá nguyên nhân thứ phát trước khi chọn phác đồ ức chế miễn dịch. Điều trị hỗ trợ bằng hạn chế muối, lợi D. Chỉ dùng statin và bỏ qua đánh giá nguyên nhân cầu thận. tiểu, kiểm soát huyết áp và giảm protein niệu được tiến hành song song. TÌNH HUỐNG 3: Bệnh nhân nam, 30 tuổi, là vận động viên, đến khám vì nhiều lần đi tiểu ra máu sau khi gắng sức. Bệnh nhân khai khoảng 1 năm nay, cứ sau mỗi lần tập luyện nặng hoặc bị viêm họng, anh lại thấy nước tiểu có màu đỏ tươi, kéo dài 1-2 ngày rồi tự hết. Các đợt tiểu máu này không kèm theo phù hay sốt. Giữa các đợt, nước tiểu hoàn toàn bình thường. Bệnh nhân không có tiền sử bệnh lý đáng chú ý. Khám lâm sàng hoàn toàn bình thường. Sinh hiệu: mạch 70 lần/phút, huyết áp 125/80 mmHg. Cận lâm sàng thực hiện trong một đợt tiểu máu cho thấy: Creatinin 100 μmol/L, tổng phân tích nước tiểu có Hồng cầu 100/HPF (dạng biến dạng), Protein 1+. Các xét nghiệm bổ thể C3, C4 bình thường. Nồng độ IgA trong huyết thanh tăng nhẹ.",Chẩn đoán có khả năng nhất là gì?,Bệnh màng đáy mỏng.,Bệnh thận IgA (Bệnh Berger).,Viêm cầu thận cấp sau nhiễm liên cầu.,Hội chứng Alport.,,b,"Bệnh cảnh tiểu máu đại thể tái phát, xuất hiện đồng thời hoặc ngay sau (1-2 ngày) một đợt nhiễm trùng đường hô hấp trên ở một người trẻ là rất điển hình cho bệnh thận IgA. Giữa các đợt, bệnh nhân thường không có triệu chứng."
noi-benh-ly-cau-than-casen2-3-2,noi,Bệnh lý cầu thận,Thận tiết niệu,"hư điển hình, người lớn thường cần sinh thiết thận và đánh giá nguyên nhân thứ phát trước khi chọn phác đồ ức chế miễn dịch. Điều trị hỗ trợ bằng hạn chế muối, lợi D. Chỉ dùng statin và bỏ qua đánh giá nguyên nhân cầu thận. tiểu, kiểm soát huyết áp và giảm protein niệu được tiến hành song song. TÌNH HUỐNG 3: Bệnh nhân nam, 30 tuổi, là vận động viên, đến khám vì nhiều lần đi tiểu ra máu sau khi gắng sức. Bệnh nhân khai khoảng 1 năm nay, cứ sau mỗi lần tập luyện nặng hoặc bị viêm họng, anh lại thấy nước tiểu có màu đỏ tươi, kéo dài 1-2 ngày rồi tự hết. Các đợt tiểu máu này không kèm theo phù hay sốt. Giữa các đợt, nước tiểu hoàn toàn bình thường. Bệnh nhân không có tiền sử bệnh lý đáng chú ý. Khám lâm sàng hoàn toàn bình thường. Sinh hiệu: mạch 70 lần/phút, huyết áp 125/80 mmHg. Cận lâm sàng thực hiện trong một đợt tiểu máu cho thấy: Creatinin 100 μmol/L, tổng phân tích nước tiểu có Hồng cầu 100/HPF (dạng biến dạng), Protein 1+. Các xét nghiệm bổ thể C3, C4 bình thường. Nồng độ IgA trong huyết thanh tăng nhẹ.",Cơ chế bệnh sinh cốt lõi của bệnh này là gì?,Tăng sinh tế bào nội mô và xâm nhập bạch cầu vào cầu thận.,Lắng đọng các phức hợp miễn dịch chứa IgA bất thường tại vùng gian mạch của cầu thận.,"Đột biến gen mã hóa collagen, làm suy yếu cấu trúc màng đáy cầu thận.",Phản ứng viêm cấp tính do bổ thể gây ra sau nhiễm trùng.,,b,"Trong bệnh thận IgA, có sự sản xuất ra các phân tử IgA1 có cấu trúc bất thường (thiếu hụt galactose). Các phân tử này dễ dàng tạo thành các phức hợp miễn dịch và lắng đọng tại vùng gian mạch (mesangium) của cầu thận, gây ra phản ứng viêm tại chỗ, tăng sinh tế bào gian mạch và tổn thương cầu thận."
