id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tang-huyet-ap-mcq-001,noi,Tăng huyết áp,Tim mạch,,"Theo Hội Tim mạch Việt Nam (VNHA) và Châu Âu (ESC), ngưỡng huyết áp đo tại phòng khám được chẩn đoán là tăng huyết áp khi:",≥ 130/80 mmHg,≥ 140/90 mmHg,≥ 135/85 mmHg,≥ 120/80 mmHg,,b,"Theo VNHA/ESC, chẩn đoán tăng huyết áp khi huyết áp tâm thu ≥ 140 mmHg và/hoặc huyết áp tâm trương ≥ 90 mmHg. Nguồn: Bệnh học nội khoa YHN. Ý cần nhớ: Mốc 130/80 là theo ACC/AHA 2017, sinh viên rất dễ nhầm lẫn hai trường phái này."
noi-tang-huyet-ap-mcq-002,noi,Tăng huyết áp,Tim mạch,,"Theo Hiệp hội Tim mạch Hoa Kỳ (ACC/AHA 2017), một bệnh nhân có mức huyết áp đo tại phòng khám là 132/82 mmHg được phân loại là:",Huyết áp bình thường,Tiền tăng huyết áp,Tăng huyết áp giai đoạn 1,Tăng huyết áp giai đoạn 2,,c,"Theo ACC/AHA 2017, huyết áp từ 130-139/80-89 mmHg được phân loại là Tăng huyết áp giai đoạn 1. Sự hạ thấp tiêu chuẩn này nhằm mục đích can thiệp và cảnh báo sớm biến chứng tim mạch."
noi-tang-huyet-ap-mcq-003,noi,Tăng huyết áp,Tim mạch,,Tăng huyết áp tâm thu đơn độc thường gặp nhất ở đối tượng nào dưới đây?,Phụ nữ có thai,Trẻ vị thành niên béo phì,Người cao tuổi,Bệnh nhân đái tháo đường type 1,,c,Tăng huyết áp tâm thu đơn độc là đặc trưng ở người cao tuổi. Cơ chế chính là do giảm độ đàn hồi (xơ cứng) của hệ thống động mạch lớn theo tuổi tác.
noi-tang-huyet-ap-mcq-004,noi,Tăng huyết áp,Tim mạch,,"Khái niệm ""Tăng huyết áp áo choàng trắng"" được định nghĩa là tình trạng:",Huyết áp phòng khám tăng nhưng huyết áp đo ngoài cơ sở y tế bình thường,Huyết áp phòng khám bình thường nhưng huyết áp đo ngoài cơ sở y tế tăng,Huyết áp tăng từng cơn liên quan đến stress tâm lý,Huyết áp kháng trị với ít nhất 3 loại thuốc điều trị,,a,"Tăng huyết áp áo choàng trắng xảy ra khi bệnh nhân lo lắng lúc đo tại cơ sở y tế, dẫn đến HA phòng khám ≥ 140/90 nhưng HA trung bình ban ngày qua Holter 24h hoặc tự đo tại nhà lại bình thường."
noi-tang-huyet-ap-mcq-005,noi,Tăng huyết áp,Tim mạch,,"Tình trạng ""Tăng huyết áp ẩn giấu"" mang đặc điểm nào sau đây?",Dễ chẩn đoán bằng cách đo nhiều lần tại phòng khám,Có nguy cơ biến chứng tim mạch tương đương người huyết áp bình thường,Huyết áp phòng khám bình thường nhưng tăng khi đo ngoại trú,Chỉ gặp ở bệnh nhân đang dùng thuốc hạ áp,,c,Tăng huyết áp ẩn giấu rất nguy hiểm vì dễ bị bỏ sót. Bệnh nhân có nguy cơ tổn thương cơ quan đích và biến chứng tim mạch cao tương đương hoặc hơn cả tăng huyết áp thực sự.
noi-tang-huyet-ap-mcq-006,noi,Tăng huyết áp,Tim mạch,,Bệnh nhân có mức huyết áp phòng khám là 165/105 mmHg được phân độ tăng huyết áp thế nào theo VNHA/ESC?,Tăng huyết áp độ 1,Tăng huyết áp độ 2,Tăng huyết áp độ 3,Tăng huyết áp tâm thu đơn độc,,b,"Theo VNHA/ESC, THA độ 2 là khi HA tâm thu 160-179 mmHg và/hoặc HA tâm trương 100-109 mmHg. Nguồn: Bệnh học nội khoa YHN. Cần nhớ mốc phân độ để quyết định chiến lược dùng thuốc."
noi-tang-huyet-ap-mcq-007,noi,Tăng huyết áp,Tim mạch,,Huyết áp động mạch là kết quả của tích số giữa hai yếu tố sinh lý chính nào?,Tần số tim và thể tích nhát bóp,Cung lượng tim và sức cản ngoại vi,Độ đàn hồi thành mạch và độ nhớt của máu,Lưu lượng tuần hoàn và áp lực tĩnh mạch trung tâm,,b,"Công thức kinh điển cơ bản: HA = Cung lượng tim (CO) x Sức cản ngoại vi (PR). Mọi cơ chế bệnh sinh của THA đều tác động qua việc làm tăng CO, tăng PR hoặc cả hai."
noi-tang-huyet-ap-mcq-008,noi,Tăng huyết áp,Tim mạch,,"Trong hệ Renin-Angiotensin-Aldosteron (RAAS), Renin được tiết ra từ đâu?",Tế bào nội mô mao mạch phổi,Tế bào gan,Phức hợp cận tiểu cầu của thận,Vỏ thượng thận,,c,"Renin được giải phóng từ phức hợp cận tiểu cầu khi có tín hiệu giảm tưới máu thận, giảm nồng độ Na+ tới ống lượn xa hoặc do kích thích giao cảm. Đây là bẫy giải phẫu sinh lý kinh điển."
noi-tang-huyet-ap-mcq-009,noi,Tăng huyết áp,Tim mạch,,Vai trò trực tiếp gây tăng huyết áp mạnh nhất của Angiotensin II là:,Gây co mạch mạnh và kích thích tiết Aldosteron,Gây nhịp tim nhanh và tăng co bóp cơ tim,Ức chế hệ thần kinh giao cảm,Kích thích tuyến yên tiết ADH để giữ nước,,a,Angiotensin II là một chất co mạch cực mạnh (tăng sức cản ngoại vi) và kích thích vỏ thượng thận tiết Aldosteron gây giữ Na+ và nước (tăng cung lượng tim).
noi-tang-huyet-ap-mcq-010,noi,Tăng huyết áp,Tim mạch,,Sự rối loạn chức năng nội mô trong tăng huyết áp nguyên phát đặc trưng bởi sự mất cân bằng giữa các chất nào?,Tăng Nitric oxide (NO) và giảm Endothelin,Tăng Prostaglandin và giảm Angiotensin II,Giảm Nitric oxide (NO) và tăng Endothelin-1,Giảm Bradykinin và giảm Renin,,c,"Nội mô mạch máu bình thường tiết NO (giãn mạch) và Endothelin (co mạch). Khi rối loạn, nội mô giảm sản xuất NO và tăng sản xuất Endothelin-1, dẫn đến tăng co thắt mạch, mạn tính gây tái cấu trúc thành mạch."
