id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-u-lympho-casen2-1-1,noi,U lympho,Huyết học,"Bệnh nhân nam 24 tuổi, sinh viên, đến khám vì nổi hạch ở vùng cổ bên trái to dần trong khoảng 2 tháng nay. Ban đầu hạch nhỏ, không đau, nhưng gần đây to nhanh hơn và bắt đầu cảm thấy vướng. Khoảng 3 tuần nay, bệnh nhân có các đợt sốt cao về chiều tối (39- 40°C), vã mồ hôi trộm ban đêm ướt đẫm áo và sụt 7kg dù ăn uống bình thường. Bệnh nhân không ho, không khó thở, không đau bụng. Tiền sử bản thân và gia đình khỏe mạnh. Khám thấy hạch cổ trái thượng đòn, kích thước khoảng 4x3 cm, chắc, không đau, không di động; ngoài ra sờ thấy vài hạch nhỏ hơn ở nách hai bên. Tim phổi bình thường, bụng mềm, gan lách không sờ thấy. Cận lâm sàng: Công thức máu có Hb 110 g/L, bạch cầu 9.5 G/L, tiểu cầu 350 G/L. Tốc độ máu lắng (VS) 95 mm/giờ. X-quang ngực thẳng cho thấy hình ảnh khối trung thất rộng. Sinh thiết hạch cổ làm giải phẫu bệnh ghi nhận cấu trúc hạch bị xóa bởi các tế bào lympho nhỏ, xơ hóa và sự hiện diện của các tế bào lớn, hai nhân đối xứng giống ""mắt cú"", gọi là tế bào Reed-Sternberg. Hóa mô miễn dịch tế bào này dương tính với CD30 và CD15.",Chẩn đoán phù hợp nhất với bệnh nhân là gì?,U lympho Hodgkin cổ điển.,Bệnh lao hạch.,U lympho không Hodgkin tế bào B lớn lan tỏa.,Ung thư biểu mô di căn hạch.,,a,"Bệnh cảnh một người trẻ tuổi có hạch to không đau, triệu chứng B rầm rộ, và đặc biệt là kết quả giải phẫu bệnh tìm thấy tế bào Reed-Sternberg (dương tính với CD15, CD30) là hình ảnh kinh điển và tiêu chuẩn vàng để chẩn đoán U lympho Hodgkin cổ điển."
noi-u-lympho-casen2-1-2,noi,U lympho,Huyết học,"Bệnh nhân nam 24 tuổi, sinh viên, đến khám vì nổi hạch ở vùng cổ bên trái to dần trong khoảng 2 tháng nay. Ban đầu hạch nhỏ, không đau, nhưng gần đây to nhanh hơn và bắt đầu cảm thấy vướng. Khoảng 3 tuần nay, bệnh nhân có các đợt sốt cao về chiều tối (39- 40°C), vã mồ hôi trộm ban đêm ướt đẫm áo và sụt 7kg dù ăn uống bình thường. Bệnh nhân không ho, không khó thở, không đau bụng. Tiền sử bản thân và gia đình khỏe mạnh. Khám thấy hạch cổ trái thượng đòn, kích thước khoảng 4x3 cm, chắc, không đau, không di động; ngoài ra sờ thấy vài hạch nhỏ hơn ở nách hai bên. Tim phổi bình thường, bụng mềm, gan lách không sờ thấy. Cận lâm sàng: Công thức máu có Hb 110 g/L, bạch cầu 9.5 G/L, tiểu cầu 350 G/L. Tốc độ máu lắng (VS) 95 mm/giờ. X-quang ngực thẳng cho thấy hình ảnh khối trung thất rộng. Sinh thiết hạch cổ làm giải phẫu bệnh ghi nhận cấu trúc hạch bị xóa bởi các tế bào lympho nhỏ, xơ hóa và sự hiện diện của các tế bào lớn, hai nhân đối xứng giống ""mắt cú"", gọi là tế bào Reed-Sternberg. Hóa mô miễn dịch tế bào này dương tính với CD30 và CD15.","Cơ chế nào giải thích sự hiện diện của các triệu chứng B (sốt, sụt cân, mồ hôi trộm)?",Sự chèn ép của khối u trung thất vào các dây thần kinh giao cảm.,"Sự sản xuất và giải phóng các cytokine gây viêm (IL-1, IL-6, TNF-α) bởi các tế bào ác tính và các tế bào miễn dịch phản ứng.",Tình trạng suy tủy xương do u lympho xâm lấn.,Nhiễm trùng cơ hội do hệ miễn dịch bị suy yếu.,,b,"Các triệu chứng B không phải do nhiễm trùng mà là do chính bệnh ung thư gây ra. Các tế bào Reed-Sternberg và các tế bào viêm xung quanh chúng tiết ra một lượng lớn các cytokine. Các chất này tác động lên trung tâm điều nhiệt ở vùng dưới đồi gây sốt, gây ra tình trạng tăng chuyển hóa và dị hóa protein dẫn đến sụt cân, và gây ra các triệu chứng toàn thân khác như mồ hôi trộm."
noi-u-lympho-casen2-1-3,noi,U lympho,Huyết học,"Bệnh nhân nam 24 tuổi, sinh viên, đến khám vì nổi hạch ở vùng cổ bên trái to dần trong khoảng 2 tháng nay. Ban đầu hạch nhỏ, không đau, nhưng gần đây to nhanh hơn và bắt đầu cảm thấy vướng. Khoảng 3 tuần nay, bệnh nhân có các đợt sốt cao về chiều tối (39- 40°C), vã mồ hôi trộm ban đêm ướt đẫm áo và sụt 7kg dù ăn uống bình thường. Bệnh nhân không ho, không khó thở, không đau bụng. Tiền sử bản thân và gia đình khỏe mạnh. Khám thấy hạch cổ trái thượng đòn, kích thước khoảng 4x3 cm, chắc, không đau, không di động; ngoài ra sờ thấy vài hạch nhỏ hơn ở nách hai bên. Tim phổi bình thường, bụng mềm, gan lách không sờ thấy. Cận lâm sàng: Công thức máu có Hb 110 g/L, bạch cầu 9.5 G/L, tiểu cầu 350 G/L. Tốc độ máu lắng (VS) 95 mm/giờ. X-quang ngực thẳng cho thấy hình ảnh khối trung thất rộng. Sinh thiết hạch cổ làm giải phẫu bệnh ghi nhận cấu trúc hạch bị xóa bởi các tế bào lympho nhỏ, xơ hóa và sự hiện diện của các tế bào lớn, hai nhân đối xứng giống ""mắt cú"", gọi là tế bào Reed-Sternberg. Hóa mô miễn dịch tế bào này dương tính với CD30 và CD15.",Tế bào Reed-Sternberg có nguồn gốc từ đâu?,Tế bào lympho T trưởng thành.,Đại thực bào.,Tế bào lympho B ở trung tâm mầm.,Tế bào gốc tạo máu.,,c,"Mặc dù tế bào Reed-Sternberg có hình thái rất đặc biệt, các nghiên cứu về di truyền và miễn dịch đã chứng minh rằng chúng có nguồn gốc từ các tế bào lympho B ở trung tâm mầm của hạch bạch huyết, vốn đã trải qua tái sắp xếp gen nhưng lại thất bại trong quá trình chết theo chương trình."
noi-u-lympho-casen2-1-4,noi,U lympho,Huyết học,"Bệnh nhân nam 24 tuổi, sinh viên, đến khám vì nổi hạch ở vùng cổ bên trái to dần trong khoảng 2 tháng nay. Ban đầu hạch nhỏ, không đau, nhưng gần đây to nhanh hơn và bắt đầu cảm thấy vướng. Khoảng 3 tuần nay, bệnh nhân có các đợt sốt cao về chiều tối (39- 40°C), vã mồ hôi trộm ban đêm ướt đẫm áo và sụt 7kg dù ăn uống bình thường. Bệnh nhân không ho, không khó thở, không đau bụng. Tiền sử bản thân và gia đình khỏe mạnh. Khám thấy hạch cổ trái thượng đòn, kích thước khoảng 4x3 cm, chắc, không đau, không di động; ngoài ra sờ thấy vài hạch nhỏ hơn ở nách hai bên. Tim phổi bình thường, bụng mềm, gan lách không sờ thấy. Cận lâm sàng: Công thức máu có Hb 110 g/L, bạch cầu 9.5 G/L, tiểu cầu 350 G/L. Tốc độ máu lắng (VS) 95 mm/giờ. X-quang ngực thẳng cho thấy hình ảnh khối trung thất rộng. Sinh thiết hạch cổ làm giải phẫu bệnh ghi nhận cấu trúc hạch bị xóa bởi các tế bào lympho nhỏ, xơ hóa và sự hiện diện của các tế bào lớn, hai nhân đối xứng giống ""mắt cú"", gọi là tế bào Reed-Sternberg. Hóa mô miễn dịch tế bào này dương tính với CD30 và CD15.","Bệnh nhân có nhiều vùng hạch ở cổ, nách và trung thất, đều ở phía trên cơ hoành, kèm triệu chứng B. Giai đoạn Ann Arbor phù hợp nhất là gì?",IA,IIA,IIIB,IIB,,d,"Tổn thương từ hai vùng hạch trở lên nhưng cùng một phía cơ hoành là giai đoạn II. Có sốt, vã mồ hôi đêm hoặc sụt cân nên thêm hậu tố B, thành giai đoạn IIB."
noi-u-lympho-casen2-2-1,noi,U lympho,Huyết học,"phân giai đoạn ban đầu và đánh giá đáp ứng trong Hodgkin lymphoma vì thể hiện cả vị trí giải phẫu và hoạt tính chuyển hóa của tổn thương. Bệnh nhân nam 68 tuổi, tiền sử tăng huyết áp, đến khám vì nổi một khối hạch ở bẹn phải to nhanh trong vòng 1 tháng. Bệnh nhân cảm thấy mệt mỏi, chán ăn, nhưng không sốt, không vã mồ hôi đêm. Khám thấy khối hạch bẹn phải kích thước 6x5 cm, chắc, hơi đau khi ấn, cố định vào tổ chức xung quanh. Ngoài ra, sờ thấy nhiều hạch nhỏ ở nách trái và cổ trái. Bụng mềm, lách to độ II. Cận lâm sàng: Hb 100 g/L, WBC 7.0 G/L, Tiểu cầu 130 G/L. LDH huyết thanh 850 U/L (tăng cao). Sinh thiết trọn hạch bẹn làm giải phẫu bệnh cho thấy cấu trúc hạch bị xóa hoàn toàn và xâm lấn bởi các tế bào lympho lớn, nhân không đều, có nhiều nguyên sinh chất, phân bào nhiều. Hóa mô miễn dịch cho thấy các tế bào này dương tính với CD20, CD19, BCL-6 và âm tính với CD3, CD5, CD10.",Chẩn đoán mô bệnh học phù hợp nhất là gì?,U lympho Hodgkin.,U lympho không Hodgkin tế bào B lớn lan tỏa (DLBCL).,Lơ-xê-mi kinh dòng lympho (CLL).,U lympho tế bào T ngoại vi.,,b,"Bệnh cảnh một người lớn tuổi có hạch to nhanh, lách to và nồng độ LDH tăng cao là rất gợi ý một u lympho không Hodgkin (NHL) độ ác tính cao. Kết quả hóa mô miễn dịch dương tính với các dấu ấn của dòng lympho B trưởng thành (CD19, CD20) và hình thái tế bào lớn đã xác định chẩn đoán DLBCL, thể NHL phổ biến nhất."
noi-u-lympho-casen2-2-2,noi,U lympho,Huyết học,"phân giai đoạn ban đầu và đánh giá đáp ứng trong Hodgkin lymphoma vì thể hiện cả vị trí giải phẫu và hoạt tính chuyển hóa của tổn thương. Bệnh nhân nam 68 tuổi, tiền sử tăng huyết áp, đến khám vì nổi một khối hạch ở bẹn phải to nhanh trong vòng 1 tháng. Bệnh nhân cảm thấy mệt mỏi, chán ăn, nhưng không sốt, không vã mồ hôi đêm. Khám thấy khối hạch bẹn phải kích thước 6x5 cm, chắc, hơi đau khi ấn, cố định vào tổ chức xung quanh. Ngoài ra, sờ thấy nhiều hạch nhỏ ở nách trái và cổ trái. Bụng mềm, lách to độ II. Cận lâm sàng: Hb 100 g/L, WBC 7.0 G/L, Tiểu cầu 130 G/L. LDH huyết thanh 850 U/L (tăng cao). Sinh thiết trọn hạch bẹn làm giải phẫu bệnh cho thấy cấu trúc hạch bị xóa hoàn toàn và xâm lấn bởi các tế bào lympho lớn, nhân không đều, có nhiều nguyên sinh chất, phân bào nhiều. Hóa mô miễn dịch cho thấy các tế bào này dương tính với CD20, CD19, BCL-6 và âm tính với CD3, CD5, CD10.",Cơ chế bệnh sinh của loại u lympho này liên quan đến sự tăng sinh không kiểm soát của dòng tế bào nào?,Tế bào diệt tự nhiên (NK cell).,Tế bào lympho T hỗ trợ (CD4+).,Tế bào lympho B trưởng thành.,Tế bào plasma.,,c,"DLBCL là một bệnh lý ác tính của các tế bào lympho B. Các dấu ấn CD19, CD20 là đặc trưng của dòng tế bào này. Sự tăng sinh không kiểm soát của chúng dẫn đến việc hình thành các khối u ở hạch và các cơ quan khác."
noi-u-lympho-casen2-2-3,noi,U lympho,Huyết học,"phân giai đoạn ban đầu và đánh giá đáp ứng trong Hodgkin lymphoma vì thể hiện cả vị trí giải phẫu và hoạt tính chuyển hóa của tổn thương. Bệnh nhân nam 68 tuổi, tiền sử tăng huyết áp, đến khám vì nổi một khối hạch ở bẹn phải to nhanh trong vòng 1 tháng. Bệnh nhân cảm thấy mệt mỏi, chán ăn, nhưng không sốt, không vã mồ hôi đêm. Khám thấy khối hạch bẹn phải kích thước 6x5 cm, chắc, hơi đau khi ấn, cố định vào tổ chức xung quanh. Ngoài ra, sờ thấy nhiều hạch nhỏ ở nách trái và cổ trái. Bụng mềm, lách to độ II. Cận lâm sàng: Hb 100 g/L, WBC 7.0 G/L, Tiểu cầu 130 G/L. LDH huyết thanh 850 U/L (tăng cao). Sinh thiết trọn hạch bẹn làm giải phẫu bệnh cho thấy cấu trúc hạch bị xóa hoàn toàn và xâm lấn bởi các tế bào lympho lớn, nhân không đều, có nhiều nguyên sinh chất, phân bào nhiều. Hóa mô miễn dịch cho thấy các tế bào này dương tính với CD20, CD19, BCL-6 và âm tính với CD3, CD5, CD10.",Nồng độ LDH tăng cao trong huyết thanh phản ánh điều gì?,Tình trạng hoại tử gan do u xâm lấn.,Tình trạng tan máu tự miễn đi kèm.,Phản ứng viêm hệ thống của cơ thể.,Gánh nặng khối u lớn và tốc độ luân chuyển tế bào cao.,,d,"LDH (Lactate dehydrogenase) là một enzyme nội bào. Trong các bệnh ung thư có tốc độ phân chia tế bào nhanh và/hoặc có hoại tử tế bào (do khối u phát triển quá nhanh so với nguồn cung cấp máu), enzyme này sẽ được giải phóng vào máu với số lượng lớn. Do đó, nồng độ LDH được dùng như một dấu ấn sinh học phản ánh gánh nặng và mức độ ác tính của khối u."
noi-u-lympho-casen2-2-4,noi,U lympho,Huyết học,"phân giai đoạn ban đầu và đánh giá đáp ứng trong Hodgkin lymphoma vì thể hiện cả vị trí giải phẫu và hoạt tính chuyển hóa của tổn thương. Bệnh nhân nam 68 tuổi, tiền sử tăng huyết áp, đến khám vì nổi một khối hạch ở bẹn phải to nhanh trong vòng 1 tháng. Bệnh nhân cảm thấy mệt mỏi, chán ăn, nhưng không sốt, không vã mồ hôi đêm. Khám thấy khối hạch bẹn phải kích thước 6x5 cm, chắc, hơi đau khi ấn, cố định vào tổ chức xung quanh. Ngoài ra, sờ thấy nhiều hạch nhỏ ở nách trái và cổ trái. Bụng mềm, lách to độ II. Cận lâm sàng: Hb 100 g/L, WBC 7.0 G/L, Tiểu cầu 130 G/L. LDH huyết thanh 850 U/L (tăng cao). Sinh thiết trọn hạch bẹn làm giải phẫu bệnh cho thấy cấu trúc hạch bị xóa hoàn toàn và xâm lấn bởi các tế bào lympho lớn, nhân không đều, có nhiều nguyên sinh chất, phân bào nhiều. Hóa mô miễn dịch cho thấy các tế bào này dương tính với CD20, CD19, BCL-6 và âm tính với CD3, CD5, CD10.",Phác đồ hóa-miễn dịch nào là điều trị tiêu chuẩn đầu tay cho bệnh nhân này?,R-CHOP.,ABVD.,Hyper-CVAD.,Imatinib.,,a,"Phác đồ R-CHOP là tiêu chuẩn vàng trong điều trị đầu tay cho DLBCL. Phác đồ này bao gồm Rituximab (một kháng thể đơn dòng nhắm vào kháng nguyên CD20 trên bề mặt tế bào lympho B) kết hợp với phác đồ hóa trị liệu đa thuốc CHOP (Cyclophosphamide, Doxorubicin, Vincristine, Prednisone). ABVD là phác đồ cho U lympho Hodgkin. A. Tuổi của bệnh nhân. B. Kích thước của hạch lớn nhất. C. Số lượng vị trí ngoài hạch bị tổn thương. D. Nồng độ LDH huyết thanh."
noi-u-lympho-casen2-3-1,noi,U lympho,Huyết học,"nồng độ LDH > giới hạn trên của bình thường, Toàn trạng (ECOG) ≥ 2, Giai đoạn Ann Arbor III/IV, và số vị trí ngoài hạch > 1. Kích thước của hạch không phải là một yếu tố trong thang điểm này. Bệnh nhân nữ 45 tuổi, đến khám vì đau bụng âm ỉ vùng quanh rốn và thỉnh thoảng đi ngoài phân đen trong 2 tháng nay. Bệnh nhân không sốt, không sụt cân. Nội soi dạ dày- tá tràng phát hiện một khối loét sùi lớn ở hang vị dạ dày, bờ nham nhở. Kết quả sinh thiết cho thấy sự xâm nhập của các tế bào lympho nhỏ, đơn dạng ở lớp niêm mạc, tạo thành các tổn thương lympho-biểu mô. Nhuộm hóa mô miễn dịch các tế bào này dương tính với CD20, CD79a, BCL-2 và âm tính với CD5, CD10, Cyclin D1. Xét nghiệm tìm vi khuẩn Helicobacter pylori (H. pylori) trong mẫu sinh thiết dương tính.",Chẩn đoán phù hợp nhất là gì?,Ung thư biểu mô tuyến dạ dày.,U mô đệm đường tiêu hóa (GIST).,U lympho MALT của dạ dày.,Bệnh Crohn thể dạ dày.,,c,"U lympho MALT (Mucosa-Associated Lymphoid Tissue) là một loại u lympho không Hodgkin tế bào B, độ ác tính thấp, thường phát sinh từ các mô lympho ở niêm mạc, và dạ dày là vị trí phổ biến nhất. Kết quả sinh thiết và hóa mô miễn dịch rất đặc trưng cho chẩn đoán này."
noi-u-lympho-casen2-3-2,noi,U lympho,Huyết học,"nồng độ LDH > giới hạn trên của bình thường, Toàn trạng (ECOG) ≥ 2, Giai đoạn Ann Arbor III/IV, và số vị trí ngoài hạch > 1. Kích thước của hạch không phải là một yếu tố trong thang điểm này. Bệnh nhân nữ 45 tuổi, đến khám vì đau bụng âm ỉ vùng quanh rốn và thỉnh thoảng đi ngoài phân đen trong 2 tháng nay. Bệnh nhân không sốt, không sụt cân. Nội soi dạ dày- tá tràng phát hiện một khối loét sùi lớn ở hang vị dạ dày, bờ nham nhở. Kết quả sinh thiết cho thấy sự xâm nhập của các tế bào lympho nhỏ, đơn dạng ở lớp niêm mạc, tạo thành các tổn thương lympho-biểu mô. Nhuộm hóa mô miễn dịch các tế bào này dương tính với CD20, CD79a, BCL-2 và âm tính với CD5, CD10, Cyclin D1. Xét nghiệm tìm vi khuẩn Helicobacter pylori (H. pylori) trong mẫu sinh thiết dương tính.",Cơ chế bệnh sinh nào giải thích mối liên quan giữa nhiễm H. pylori và sự phát triển của loại u lympho này?,H. pylori trực tiếp gây ra các đột biến gen trong tế bào lympho.,Độc tố của H. pylori có tác dụng giống yếu tố tăng trưởng đối với tế bào lympho.,"H. pylori làm suy giảm hệ miễn dịch toàn thân, cho phép các tế bào u phát triển.","Tình trạng viêm mạn tính do H. pylori gây ra kích thích và tăng sinh kéo dài các tế bào lympho B tại niêm mạc dạ dày, dẫn đến nguy cơ chuyển dạng ác tính.",,d,"Đây là một ví dụ kinh điển về mối liên quan giữa viêm mạn tính, nhiễm trùng và ung thư. Việc nhiễm H. pylori kéo dài gây ra một đáp ứng miễn dịch tại chỗ, thu hút và kích hoạt các tế bào lympho B. Trong môi trường kích thích kháng nguyên liên tục này, một số dòng tế bào lympho B có thể mắc các lỗi di truyền và phát triển thành một quần thể ác tính phụ thuộc vào sự kích thích của H. pylori."
