id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hen-phe-quan-n2-mcq-001,noi,Hen phế quản,Hô hấp,,Đặc trưng bệnh lý cơ bản nhất xuyên suốt quá trình diễn tiến của hen phế quản là gì?,Nhiễm trùng mạn tính đường thở,Viêm mạn tính đường thở,Xơ hóa tổ chức kẽ xung quanh phế quản,Phá hủy thành phế nang,,b,"Viêm mạn tính đường thở là bản chất cốt lõi của hen, dẫn đến tăng phản ứng và hẹp đường thở. Ý ""phải nhớ"": Điều trị nền tảng bắt buộc phải nhắm vào chống viêm (Corticoid) chứ không chỉ giãn phế quản. Nguồn: Bệnh học nội khoa YHN."
noi-hen-phe-quan-n2-mcq-002,noi,Hen phế quản,Hô hấp,,"Trong các yếu tố nguy cơ nội sinh dưới đây, yếu tố nào đóng vai trò quan trọng nhất trong cơ chế sinh bệnh hen phế quản?",Béo phì,Cơ địa dị ứng,Trào ngược dạ dày thực quản,Bất thường cấu trúc lồng ngực,,b,"Cơ địa dị ứng (Atopy) là yếu tố nội sinh mạnh nhất và phổ biến nhất, đặc trưng bởi sự sản xuất quá mức kháng thể IgE. Nguồn: Bệnh học nội khoa YHN."
noi-hen-phe-quan-n2-mcq-003,noi,Hen phế quản,Hô hấp,,Đặc điểm sinh lý bệnh học nào sau đây là tiêu chuẩn cốt lõi để phân biệt hen phế quản với bệnh phổi tắc nghẽn mạn tính (COPD)?,Tình trạng tắc nghẽn luồng khí có thể phục hồi hoàn toàn hoặc phần lớn,Sự xâm nhập của bạch cầu trung tính vào đường thở,Phì đại các tuyến tiết nhầy dưới niêm mạc,Sự suy giảm chức năng hô hấp tiến triển không ngừng,,a,"Tính khả nghịch của luồng khí là chìa khóa phân biệt. Hen thường hồi phục tốt sau dùng thuốc giãn phế quản, trong khi COPD thì tắc nghẽn cố định hoặc phục hồi không hoàn toàn."
noi-hen-phe-quan-n2-mcq-004,noi,Hen phế quản,Hô hấp,,"Ở lứa tuổi trẻ em, yếu tố nào sau đây là nguyên nhân phổ biến nhất kích phát đợt cấp hen phế quản?",Căng thẳng tâm lý,Nhiễm virus đường hô hấp,Hoạt động thể lực gắng sức,Khói thuốc lá thụ động,,b,"Nhiễm virus (đặc biệt là Rhinovirus, RSV) là yếu tố kích phát cơn hen hàng đầu ở trẻ em. Sinh viên hay nhầm với dị nguyên hoặc gắng sức nhưng thống kê dịch tễ cho thấy virus chiếm ưu thế."
noi-hen-phe-quan-n2-mcq-005,noi,Hen phế quản,Hô hấp,,"Tam chứng Samter (Bệnh hô hấp kịch phát do thuốc) bao gồm hen phế quản, polyp mũi và dị ứng với loại thuốc nào sau đây?",Penicillin,Paracetamol,Aspirin,Corticoid,,c,"Bẫy kinh điển: Tam chứng Samter gồm Hen, Polyp mũi và nhạy cảm với Aspirin (hoặc NSAIDs). Ý ""phải nhớ"": Chống chỉ định tuyệt đối NSAIDs ở nhóm bệnh nhân này."
noi-hen-phe-quan-n2-mcq-006,noi,Hen phế quản,Hô hấp,,Phát biểu nào sau đây KHÔNG đúng khi mô tả dịch tễ học của hen phế quản?,Là bệnh lý hô hấp mạn tính phổ biến nhất ở trẻ em,Tỷ lệ mắc bệnh ở bé trai cao hơn bé gái,"Ở tuổi trưởng thành, tỷ lệ mắc ở nữ giới cao hơn nam giới",Tỷ lệ tử vong do hen cao nhất ở nhóm trẻ dưới 5 tuổi,,d,"Tỷ lệ tử vong do hen cao nhất tập trung ở người lớn tuổi do biến chứng và bệnh đồng mắc, không phải trẻ dưới 5 tuổi. Nguồn: Bệnh học nội khoa YHN."
noi-hen-phe-quan-n2-mcq-007,noi,Hen phế quản,Hô hấp,,"Trong kiểu hình hen dị ứng, loại tế bào viêm nào đóng vai trò chủ đạo trong việc gây tổn thương biểu mô và duy trì phản ứng viêm?",Bạch cầu trung tính,Bạch cầu ái toan,Đại thực bào phế nang,Tế bào diệt tự nhiên,,b,"Bạch cầu ái toan (Eosinophil) giải phóng các protein mang độc tính cao (như MBP) làm tổn thương biểu mô niêm mạc phế quản, đóng vai trò then chốt trong hen dị ứng."
noi-hen-phe-quan-n2-mcq-008,noi,Hen phế quản,Hô hấp,,Sự co thắt cơ trơn phế quản cấp tính ngay sau khi tiếp xúc với dị nguyên chủ yếu là do hoạt chất nào được giải phóng?,Interleukin-5,Histamin,Prostaglandin,Yếu tố hoại tử u,,b,Histamin được giải phóng lập tức (pre- formed) từ các hạt của dưỡng bào (Mast cell) gây co thắt phế quản cấp tính ngay pha sớm.
noi-hen-phe-quan-n2-mcq-009,noi,Hen phế quản,Hô hấp,,"Kháng thể trung gian nào gắn trên bề mặt dưỡng bào, khi kết hợp với dị nguyên sẽ kích hoạt quá trình vỡ hạt?",Kháng thể IgA,Kháng thể IgG,Kháng thể IgE,Kháng thể IgM,,c,IgE đặc hiệu là kháng thể chìa khóa trong phản ứng dị ứng type I. Việc gắn dị nguyên vào IgE trên màng dưỡng bào làm phóng thích các hóa chất trung gian.
noi-hen-phe-quan-n2-mcq-010,noi,Hen phế quản,Hô hấp,,"Tại sao trên cơ địa dị ứng, ở lần đầu tiên tiếp xúc với dị nguyên, bệnh nhân thường KHÔNG khởi phát cơn hen cấp?",Dị nguyên bị thực bào ngay lập tức,Hệ thần kinh tự chủ chưa bị kích thích,Cơ thể cần thời gian để sản xuất và gắn IgE lên bề mặt dưỡng bào,Lượng dị nguyên lần đầu luôn không đủ ngưỡng,,c,"Phải có quá trình ""mẫn cảm"": tiếp xúc lần đầu tạo ra IgE gắn lên Mast cell. Từ lần tiếp xúc sau, dị nguyên mới kết nối chéo IgE gây vỡ hạt. Đây là cơ chế nền tảng của miễn dịch dị ứng."
noi-hen-phe-quan-n2-mcq-011,noi,Hen phế quản,Hô hấp,,"Hậu quả của quá trình ""tái cấu trúc đường thở"" trong hen phế quản mạn tính là gì?",Teo mỏng lớp cơ trơn phế quản,Phì đại cơ trơn và dày màng đáy biểu mô,Phá hủy vách phế nang gây giãn phế nang,Giảm số lượng mạch máu dưới niêm mạc,,b,"Tái cấu trúc (Remodeling) làm phì đại cơ trơn, dày màng đáy, tăng sinh mạch máu và tuyến tiết nhầy, dẫn đến tắc nghẽn luồng khí không hồi phục về sau."
noi-hen-phe-quan-n2-mcq-012,noi,Hen phế quản,Hô hấp,,Cytokine nào sau đây đóng vai trò quan trọng nhất trong việc kích thích tủy xương sản xuất và huy động bạch cầu ái toan tới đường thở?,Interleukin-2,Interleukin-4,Interleukin-5,Interleukin-10,,c,IL-5 là yếu tố sinh trưởng và hóa hướng động sống còn của Eosinophil. Các thuốc sinh học thế hệ mới (Mepolizumab) thường nhắm vào đích IL-5 để điều trị hen nặng.
noi-hen-phe-quan-n2-mcq-013,noi,Hen phế quản,Hô hấp,,Thuốc chẹn beta giao cảm không chọn lọc gây khởi phát cơn hen thông qua cơ chế nào trên thụ thể cơ trơn phế quản?,Ức chế thụ thể beta-2 gây mất tác dụng giãn cơ trơn,Kích thích thụ thể alpha-1 gây co cơ trơn,Kích thích thụ thể muscarinic gây tăng tiết nhầy,Ức chế thụ thể beta-1 gây giảm nhịp tim bù trừ,,a,"Thụ thể beta-2 trên cơ trơn phế quản giúp giãn cơ. Ức chế thụ thể này phá vỡ cân bằng, làm ưu thế hệ phó giao cảm gây co thắt phế quản đột ngột."
noi-hen-phe-quan-n2-mcq-014,noi,Hen phế quản,Hô hấp,,"Trong cơ chế sinh bệnh hen nhạy cảm Aspirin (AERD), việc ức chế enzyme Cyclooxygenase (COX) dẫn đến tích tụ chất nào gây co thắt phế quản mạnh?",Bradykinin,Leukotriene,Thromboxane A2,Serotonin,,b,"Ức chế COX làm axit arachidonic chuyển hướng hoàn toàn sang con đường Lipoxygenase (LOX), tạo ra lượng lớn Leukotriene gây viêm và co thắt phế quản dữ dội."
