id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-gian-phe-quan-n2-mcq-001,noi,Giãn phế quản,Hô hấp,,Bản chất tổn thương giải phẫu bệnh cốt lõi của giãn phế quản là gì?,Phì đại cơ trơn phế quản,Giãn khẩu kính phế quản vĩnh viễn,Co thắt đường thở có hồi phục,Viêm mạn tính và xơ hóa phế nang,,b,"Giãn phế quản được định nghĩa là sự giãn nở vĩnh viễn và bất thường của các phế quản sụn, hậu quả của sự phá hủy thành phế quản. Nguồn: Bệnh học nội khoa YHN."
noi-gian-phe-quan-n2-mcq-002,noi,Giãn phế quản,Hô hấp,,"Theo phân loại hình thái, thể giãn phế quản nào thường có biểu hiện lâm sàng nặng nề nhất?",Hình ống,Hình trụ,Hình túi,Hình tràng hạt,,c,"Giãn phế quản hình túi (hoặc nang) là hình thái nặng nhất, phế quản giãn to tạo thành các nang tận cùng, phá hủy hoàn toàn cấu trúc bình thường."
noi-gian-phe-quan-n2-mcq-003,noi,Giãn phế quản,Hô hấp,,"Ở các nước đang phát triển, nguyên nhân phổ biến nhất gây giãn phế quản là gì?",Bệnh xơ nang (Cystic Fibrosis),Nhiễm trùng hô hấp tái diễn và lao phổi,Suy giảm miễn dịch bẩm sinh,Hít phải dị vật đường thở,,b,"Tại các nước đang phát triển (như Việt Nam), di chứng của lao phổi và nhiễm khuẩn hô hấp thuở nhỏ là nguyên nhân hàng đầu. Ở phương Tây, bệnh xơ nang chiếm ưu thế."
noi-gian-phe-quan-n2-mcq-004,noi,Giãn phế quản,Hô hấp,,Bệnh lý di truyền nào là nguyên nhân bẩm sinh hàng đầu gây giãn phế quản ở người da trắng?,Hội chứng Kartagener,Bệnh xơ nang (Cystic Fibrosis),Thiếu hụt Alpha-1 Antitrypsin,Hội chứng Marfan,,b,"Bệnh xơ nang là nguyên nhân di truyền phổ biến nhất ở người da trắng, liên quan đến đột biến gen CFTR. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-gian-phe-quan-n2-mcq-005,noi,Giãn phế quản,Hô hấp,,Di chứng giãn phế quản do lao phổi cũ thường khu trú ở vị trí nào?,Thùy dưới hai bên,Phân thùy lưỡi phổi trái,Thùy trên của phổi,Thùy giữa phổi phải,,c,"Lao phổi thường gây tổn thương ở thùy trên, do đó giãn phế quản hậu lao (thường là thể khô) cũng khu trú chủ yếu ở các phân thùy đỉnh."
noi-gian-phe-quan-n2-mcq-006,noi,Giãn phế quản,Hô hấp,,Nhóm nguyên nhân nào KHÔNG thuộc cơ chế làm suy giảm chức năng thanh thải nhầy lông chuyển?,Bệnh xơ nang,Rối loạn vận động lông chuyển tiên phát,Dị vật đường thở bỏ quên,Hội chứng Young,,c,"Dị vật đường thở gây giãn phế quản qua cơ chế tắc nghẽn cơ học, không phải do bất thường bẩm sinh của hệ thống nhầy - lông chuyển."
noi-gian-phe-quan-n2-mcq-007,noi,Giãn phế quản,Hô hấp,,"Yếu tố cốt lõi nào duy trì ""vòng xoắn bệnh lý Cole"" trong sinh lý bệnh giãn phế quản?",Viêm mạn tính và nhiễm trùng dai dẳng,Co thắt phế quản và phì đại cơ trơn,Tăng áp động mạch phổi và suy tim phải,Dị ứng nguyên và tăng IgE máu,,a,"Thuyết vòng xoắn Cole giải thích sự tương tác giữa nhiễm trùng, viêm đường thở và tổn thương cấu trúc tiếp diễn không ngừng. Nguồn: Bệnh học nội khoa YHN."
noi-gian-phe-quan-n2-mcq-008,noi,Giãn phế quản,Hô hấp,,Cơ chế chính dẫn đến biến chứng ho ra máu lượng lớn ở bệnh nhân giãn phế quản là gì?,Vỡ tĩnh mạch phổi,Vỡ động mạch phế quản phì đại,Tăng áp động mạch phổi,Tổn thương mao mạch phế nang,,b,Viêm mạn tính kích thích tăng sinh và phì đại hệ động mạch phế quản. Các mạch máu này chịu áp lực hệ thống nên khi vỡ sẽ gây ho máu ồ ạt.
noi-gian-phe-quan-n2-mcq-009,noi,Giãn phế quản,Hô hấp,,"Trong hội chứng Kartagener, khuyết tật cấu trúc nào gây suy giảm khả năng làm sạch đường thở?",Bất thường kênh vận chuyển Clo,Mất cấu trúc dynein arms của lông chuyển,Thiếu hụt men elastase ở niêm mạc,Rối loạn chức năng đại thực bào phế nang,,b,"Hội chứng Kartagener (rối loạn vận động lông chuyển nguyên phát) do thiếu hụt nhánh dynein, làm lông chuyển bất động, gây ứ đọng dịch nhầy."
noi-gian-phe-quan-n2-mcq-010,noi,Giãn phế quản,Hô hấp,,Vai trò của bạch cầu đa nhân trung tính (Neutrophil) trong cơ chế phá hủy phế quản là gì?,Kích thích tăng tiết nhầy quá mức,Giải phóng men elastase phá hủy elastin và sụn,Ức chế hoạt động của kháng thể IgA,Tạo thành các u hạt bã đậu,,b,"Neutrophil tập trung tại đường thở giải phóng elastase và các protease khác, trực tiếp phá hủy cấu trúc sụn và sợi chun của thành phế quản."
