id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-xuat-huyet-tieu-hoa-mcq-001,noi,Xuất huyết tiêu hoá,Tiêu hoá,,Ranh giới giải phẫu phân chia xuất huyết tiêu hóa trên và dưới là gì?,Góc hồi manh tràng,Nếp gấp dạ dày,Góc Treitz,Cơ vòng Oddi,,c,Ý phải nhớ: Góc Treitz (góc tá - hổng tràng) là mốc giải phẫu kinh điển phân chia đường tiêu hóa trên và dưới. Xuất huyết tiêu hóa trên là chảy máu từ góc Treitz trở lên miệng. Nguồn: Bệnh học nội khoa YHN.
noi-xuat-huyet-tieu-hoa-mcq-002,noi,Xuất huyết tiêu hoá,Tiêu hoá,,Nguyên nhân phổ biến nhất gây xuất huyết tiêu hóa trên không do tăng áp lực tĩnh mạch cửa là gì?,Hội chứng Mallory-Weiss,Loét dạ dày - tá tràng,Dị dạng mạch máu,Viêm trợt dạ dày,,b,"Ý phải nhớ: Loét dạ dày - tá tràng là nguyên nhân hàng đầu, chiếm khoảng 40-50% các trường hợp xuất huyết tiêu hóa trên không do tăng áp lực tĩnh mạch cửa. Nguồn: Bệnh học nội khoa YHN."
noi-xuat-huyet-tieu-hoa-mcq-003,noi,Xuất huyết tiêu hoá,Tiêu hoá,,"Theo các thống kê y khoa, tỷ lệ tử vong chung của xuất huyết tiêu hóa trên hiện nay dao động trong khoảng bao nhiêu?",1 - 2%,5 - 10%,15 - 20%,25 - 30%,,b,"Ý phải nhớ: Dù có nhiều tiến bộ trong nội soi can thiệp và hồi sức, tỷ lệ tử vong chung vẫn ở mức 5 - 10%, chủ yếu do tuổi cao và bệnh lý nền nặng đi kèm. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-xuat-huyet-tieu-hoa-mcq-004,noi,Xuất huyết tiêu hoá,Tiêu hoá,,Vị trí giải phẫu ổ loét tá tràng nào có nguy cơ chảy máu ồ ạt cao nhất do dễ ăn mòn vào động mạch lớn?,Mặt trước hành tá tràng,Mặt sau hành tá tràng,Đoạn D2 tá tràng,Bờ cong lớn dạ dày,,b,"Ý phải nhớ: Ổ loét ở mặt sau hành tá tràng rất nguy hiểm vì dễ ăn mòn vào động mạch vị tá tràng nằm ngay phía sau, gây xuất huyết ồ ạt khó cầm. Nguồn: Bệnh học nội khoa YHN."
noi-xuat-huyet-tieu-hoa-mcq-005,noi,Xuất huyết tiêu hoá,Tiêu hoá,,Yếu tố nguy cơ nào sau đây đóng vai trò lớn nhất làm gia tăng tỷ lệ mắc xuất huyết tiêu hóa trên ở người cao tuổi?,Tăng tiêu thụ thực phẩm cay nóng,Sử dụng thường xuyên thuốc NSAID và Aspirin,Suy giảm nhu động dạ dày ruột,Giảm tiết acid sinh lý do tuổi tác,,b,Ý phải nhớ: Việc sử dụng rộng rãi thuốc chống viêm không steroid (NSAID) và Aspirin dự phòng tim mạch là nguyên nhân chính làm tăng xuất huyết do loét ở người cao tuổi. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-xuat-huyet-tieu-hoa-mcq-006,noi,Xuất huyết tiêu hoá,Tiêu hoá,,Nam giới thường có tỷ lệ loét tá tràng chảy máu cao hơn nữ giới. Nhóm tuổi nào có tỷ lệ gặp biến chứng chảy máu cao nhất?,Dưới 20 tuổi,20 - 40 tuổi,40 - 60 tuổi,Trên 60 tuổi,,d,"Ý phải nhớ: Biến chứng chảy máu do loét dạ dày - tá tràng gia tăng mạnh theo tuổi, đặc biệt cao nhất ở nhóm người trên 60 tuổi do kết hợp nhiều yếu tố nguy cơ. Nguồn: Bệnh học nội khoa YHN."
noi-xuat-huyet-tieu-hoa-mcq-007,noi,Xuất huyết tiêu hoá,Tiêu hoá,,Cơ chế chính của nhóm thuốc NSAID gây tổn thương niêm mạc dạ dày dẫn đến xuất huyết là gì?,Ức chế men Cyclooxygenase-1 làm giảm tổng hợp prostaglandin,Kích thích tế bào thành tăng tiết acid và pepsin,Phá vỡ trực tiếp lớp nhầy bằng phản ứng kiềm hóa,Ức chế chọn lọc bơm proton,,a,"Ý phải nhớ: NSAID ức chế COX-1, làm giảm tổng hợp prostaglandin - yếu tố cực kỳ quan trọng giúp bảo vệ niêm mạc dạ dày (tăng tiết nhầy, bicarbonate và tăng tưới máu). Nguồn: Bệnh học nội khoa YHN."
noi-xuat-huyet-tieu-hoa-mcq-008,noi,Xuất huyết tiêu hoá,Tiêu hoá,,"Yếu tố nào sau đây đóng vai trò chủ đạo giúp cục máu đông tại ổ loét bền vững, không bị ly giải sớm?",Môi trường pH dạ dày < 4,Môi trường pH dạ dày > 6,Nồng độ pepsinogen cao,Nồng độ gastrin máu cao,,b,"Ý phải nhớ: Cục máu đông chỉ ổn định ở pH > 6. Khi pH thấp, pepsinogen chuyển thành pepsin sẽ ly giải cục máu đông và ức chế ngưng tập tiểu cầu, dẫn đến tái xuất huyết. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-xuat-huyet-tieu-hoa-mcq-009,noi,Xuất huyết tiêu hoá,Tiêu hoá,,Vi khuẩn Helicobacter pylori gây loét hành tá tràng chủ yếu thông qua cơ chế gián tiếp nào?,Tăng tiết somatostatin,Giảm tiết acid dạ dày,"Ức chế tế bào D làm giảm somatostatin, dẫn đến tăng gastrin và acid",Phá hủy trực tiếp niêm mạc tá tràng bằng độc tố ruột,,c,"Ý phải nhớ: H. pylori ở hang vị làm phá hủy tế bào D, giảm tiết somatostatin. Do thiếu sự ức chế của somatostatin, tế bào G tăng tiết gastrin, kéo theo tăng tiết acid gây loét tá tràng. Nguồn: Bệnh học nội khoa YHN."
noi-xuat-huyet-tieu-hoa-mcq-010,noi,Xuất huyết tiêu hoá,Tiêu hoá,,Hiện tượng phân đen đặc trưng trong xuất huyết tiêu hóa trên chủ yếu do cơ chế sinh hóa nào?,Hồng cầu bị ly giải bởi vi khuẩn đại tràng tạo sulfide,Hemoglobin chuyển thành hematin dưới tác dụng của acid dịch vị,Máu hòa loãng với dịch mật tạo màu đen,Phản ứng của sắt trong máu với enzym tụy,,b,Ý phải nhớ: Phân đen như bã cà phê là do sự giáng hóa của hemoglobin thành hematin dưới tác động của acid dạ dày và vi khuẩn đường ruột trong thời gian lưu bã thức ăn. Nguồn: Bệnh học nội khoa YHN.
