id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hpq-001,noi,Hen phế quản,Hô hấp,CĐ HPQ dựa vào lưu lượng đỉnh,PEF sáng > chiều,≥ 20% sau uống thuốc giãn PQ.,>10% ko uống thuốc giãn PQ,,,c,B: > 20%
noi-hpq-002,noi,Hen phế quản,Hô hấp,Hình ảnh X-quang trong cơn hen phế quản cấp:,"Lồng ngực và cơ hoành di động mạnh, xương sườn nằm ngang, KLS giãn rộng","Lồng ngực, cơ hoành ít di động, xương sườn nằm ngang, KLS giãn rộng, phế trường rất sáng","Di động hạn chế lồng ngực, KLS giãn rộng, phổi mờ đều hai bên, tăng đậm rốn phổi","Lồng ngực và cơ hoành không di động, phế trường mờ hai bên, có thể thấy hình ảnh tràn khí màng phổi",,b,
noi-hpq-003,noi,Hen phế quản,Hô hấp,Cần CĐPB HPQ với,Viêm PQ cấp,Giãn PQ,Viêm tiểu PQ,TKMP,,b,
noi-hpq-004,noi,Hen phế quản,Hô hấp,Khí máu trong HPQ có ý nghĩa:,Mức độ suy hô hấp,Mức độ tắc nghẽn,Mức độ khó thở,Xác định nguyên nhân đợt cấp,,a,
noi-hpq-005,noi,Hen phế quản,Hô hấp,Tổn thương GPB trong hen,Viêm cấp niêm mạc PQ,Viêm mạn niêm mạc PQ.,Viêm cấp và mạn niêm mạc PQ,Ko viêm,,b,
noi-hpq-006,noi,Hen phế quản,Hô hấp,Thuốc ưu tiên để cắt cơn hen,SABA,LAMA,SAMA,LABA,,a,
noi-hpq-007,noi,Hen phế quản,Hô hấp,"Một bệnh nhân vào viện khó thở thì thở ra, thì thở ra kéo dài, KLS giãn rộng, định hướng nguyên nhân do:",Xẹp phổi,Viêm thanh quản,Hen PQ,TKMP.,,c,
noi-hpq-008,noi,Hen phế quản,Hô hấp,"Ho từng cơn khi thay đổi thời tiết hoặc gắng sức, kèm theo khò khè gặp trong bệnh lý",Hen PQ,TKMP,TDMP,Viêm phổi,,a,
noi-hpq-009,noi,Hen phế quản,Hô hấp,LS điển hình của khó thở thanh quản,"Khó thở chậm, cả 2 thì.",Khó thở nhanh cả 2 thì.,Khó thở chậm thì thở ra,Khó thở chậm thì thở vào.,,d,
noi-hpq-010,noi,Hen phế quản,Hô hấp,HPQ cần phân biệt với:,VPQ cấp.,Giãn phế quản.,Áp xe phổi,Ung thư phổi,,b,
noi-hpq-011,noi,Hen phế quản,Hô hấp,Khám phổi trong cơn hen phế quản thấy tiếng bệnh lý đặc trưng nào sau đây:,"Ran rít, ran ngáy. Hen tim là ran ẩm",Ran ẩm,Ran nổ,Tiếng thổi ống,Tiếng cọ màng phổi,a,
noi-hpq-012,noi,Hen phế quản,Hô hấp,Biểu hiện rối loạn chức năng thông khí của bệnh nhân hen phế quản là:,Rối loạn thông khí tắc nghẽn không hồi phục hoàn toàn,Rối loạn thông khí hạn chế,Rối loạn thông khí hỗn hợp,Rối loạn thông khí tắc nghẽn có hồi phục hoàn toàn,,d,
noi-hpq-013,noi,Hen phế quản,Hô hấp,"Với các kết quả chỉ số Tiffeneau sau, trường hợp nào nghi ngờ bị hen phế quản",Chỉ số Tiffeneau: 90%,Chỉ số Tiffeneau 45%,Chỉ số Tiffeneau 75%,Chỉ số Tiffeneau 80%,,b,
noi-hpq-014,noi,Hen phế quản,Hô hấp,Triệu chứng nào sau đây không phải là triệu chứng hướng nhiều tới bệnh hen phế quản,Ho tăng về đêm,Tiếng thở rít tái phát,Khó thở tái phát,Ho khạc đờm kéo dài,,d,
noi-hpq-015,noi,Hen phế quản,Hô hấp,Cơn HPQ có đặc điểm nào sau đây,Thường kéo dài vài phút,"Có thể kéo dài vài phút hay vài giờ, vài ngày","Thường kéo dài vài giờ, vài ngày",Thường thoáng qua ko kéo dài,,b,
noi-hpq-016,noi,Hen phế quản,Hô hấp,Giãn các tiểu PQ trong HPQ,Có thể hồi phục tự nhiên or ko dùng thuốc giãn PQ,Hồi phục khi dùng thuốc giãn PQ,,,,a,
noi-hpq-017,noi,Hen phế quản,Hô hấp,Chẩn đoán hen PQ:,Lưu lượng đỉnh biến đổi hơn 20% giữa 2 lần đo sáng và chiều cách nhau 12h khi dùng thuốc giãn PQ hoặc hơn 10% khi không dùng thuốc,Lưu lượng đỉnh tăng hơn 10% sau 15p dùng thuốc cường beta2,Lưu lượng đỉnh biến đổi nhỏ hơn 20% giữa 2 lần đo sáng và chiều cách nhau 12h khi dùng thuốc giãn PQ hoặc nhỏ hơn 10% khi không dùng thuốc,Lưu lượng đỉnh giảm 20% giữa sáng và chiều cách nhau 12h.,,a,
noi-hpq-018,noi,Hen phế quản,Hô hấp,"Cơn hen: bệnh nhân ý thức lơ mơ, nói từng từ, nhịp tim 140 l/p, thở 28 l/p. Chẩn đoán mực độ cơn hen: ý thức lơ mơ",Nhẹ,Trung bình,Nặng,Nguy kịch,,d,
noi-hpq-019,noi,Hen phế quản,Hô hấp,Khó thở trong hen phế quản:,"Khó thở chậm, thì thở ra, tiếng cò cử","Khó thở nhanh, thì thở vào, tiếng cò cử","Khó thở chậm, thì thở vào, tiếng cò cử","Khó thở nhanh, thì thở ra, tiếng cò cử",,a,
noi-hpq-020,noi,Hen phế quản,Hô hấp,"Đặc điểm khó thở của hen, TRỪ:",Kéo dài vài phút,Kéo dài vài phút đến vài giờ,Kéo dài vài giờ đến vài ngày,"Liên miên không dứt, dai dẳng",,d,
noi-hpq-021,noi,Hen phế quản,Hô hấp,Sau điều trị hen phế quản cứ 3 – 6 tháng thì xem lại bậc hen để quyết định nâng hay giảm bậc điều trị — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-hpq-022,noi,Hen phế quản,Hô hấp,Nếu hen phế quản kiểm soát ổn định sau 6 tháng điều trị ngừa cơn thì có thể giảm bậc — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-hpq-023,noi,Hen phế quản,Hô hấp,"Trong bệnh hen phế quản, nhiễm trùng đường hô hấp là một trong những yếu tố gây khởi phát cơn hen — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-hpq-024,noi,Hen phế quản,Hô hấp,Dùng thuốc corticoid kết hợp với thuốc giãn phế quản tác dụng kéo dài đường hít là phương pháp hiệu quả phòng ngừa cơn hen phế quản — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-hpq-025,noi,Hen phế quản,Hô hấp,Tiếp xúc với dị nguyên không gây khởi phát cơn hen — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-hpq-026,noi,Hen phế quản,Hô hấp,"Biểu hiện cơn hen PQ nguy kịch, chọn sai: TS thở nhanh, ran rít, ran ngáy — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-hpq-027,noi,Hen phế quản,Hô hấp,Cần CĐ phân biệt hen PQ với: Trào ngược — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-hpq-028,noi,Hen phế quản,Hô hấp,"Thường bị từ trẻ, có cơ địa dị ứng.: Thường có bệnh lý tim mạch (cao huyết áp, hẹp van tim...). — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-hpq-029,noi,Hen phế quản,Hô hấp,Do viêm và co thắt phế quản bởi dị nguyên.: Do suy tim trái gây ứ dịch ở phổi. — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-hpq-030,noi,Hen phế quản,Hô hấp,"Chủ yếu là rít, ngáy (Ran rít, ran ngáy).: Có thể có cả ran ẩm (do dịch trong phế nang). — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
