id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-gout-casen2-1-1,noi,Gout,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 52 tuổi, là một giám đốc kinh doanh, được đưa vào cấp cứu lúc 2 giờ sáng vì đau dữ dội ở ngón chân cái bên phải. Cơn đau khởi phát đột ngột sau một bữa tiệc thịnh soạn với nhiều hải sản và rượu bia, bệnh nhân mô tả cơn đau ""như bị tra tấn"", không thể chịu đựng được ngay cả khi một tấm chăn mỏng chạm vào. Bệnh nhân không sốt, không có chấn thương trước đó. Tiền sử tăng huyết áp 10 năm đang dùng Hydrochlorothiazide 25 mg/ngày, rối loạn lipid máu, và thừa cân với BMI 28 kg/m². Ông hút thuốc 20 bao.năm. Khám thấy bệnh nhân tỉnh, mặt nhăn nhó vì đau, mạch 95 lần/phút, huyết áp 150/90 mmHg, SpO₂ 99% khí trời, nhiệt độ 37.5°C. Khớp bàn ngón chân cái bên phải sưng to, tấy đỏ, căng bóng, sờ vào rất nóng và đau chói. Các khớp khác, bao gồm cả khớp bàn ngón chân cái bên trái, hoàn toàn không sưng đau. Xét nghiệm máu tại cấp cứu: bạch cầu 12.5 G/L (Neutrophil 80%), CRP 150 mg/L, acid uric huyết thanh 620 μmol/L, creatinin 110 μmol/L.",Chẩn đoán nào là phù hợp nhất với bệnh cảnh này?,Viêm mô tế bào.,Viêm khớp dạng thấp.,Viêm khớp nhiễm khuẩn.,Cơn gút cấp.,,d,"Bệnh cảnh khởi phát cấp tính, dữ dội ở một khớp (monoarthritis), đặc biệt là khớp bàn ngón chân cái (podagra), sau một bữa ăn thịnh soạn, ở một nam giới trung niên có nhiều yếu tố nguy cơ là hình ảnh kinh điển của một cơn gút cấp."
noi-gout-casen2-1-2,noi,Gout,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 52 tuổi, là một giám đốc kinh doanh, được đưa vào cấp cứu lúc 2 giờ sáng vì đau dữ dội ở ngón chân cái bên phải. Cơn đau khởi phát đột ngột sau một bữa tiệc thịnh soạn với nhiều hải sản và rượu bia, bệnh nhân mô tả cơn đau ""như bị tra tấn"", không thể chịu đựng được ngay cả khi một tấm chăn mỏng chạm vào. Bệnh nhân không sốt, không có chấn thương trước đó. Tiền sử tăng huyết áp 10 năm đang dùng Hydrochlorothiazide 25 mg/ngày, rối loạn lipid máu, và thừa cân với BMI 28 kg/m². Ông hút thuốc 20 bao.năm. Khám thấy bệnh nhân tỉnh, mặt nhăn nhó vì đau, mạch 95 lần/phút, huyết áp 150/90 mmHg, SpO₂ 99% khí trời, nhiệt độ 37.5°C. Khớp bàn ngón chân cái bên phải sưng to, tấy đỏ, căng bóng, sờ vào rất nóng và đau chói. Các khớp khác, bao gồm cả khớp bàn ngón chân cái bên trái, hoàn toàn không sưng đau. Xét nghiệm máu tại cấp cứu: bạch cầu 12.5 G/L (Neutrophil 80%), CRP 150 mg/L, acid uric huyết thanh 620 μmol/L, creatinin 110 μmol/L.",Cơ chế sinh lý bệnh trung tâm gây ra cơn viêm khớp cấp trong bệnh gút là gì?,Sự lắng đọng của các phức hợp miễn dịch trong màng hoạt dịch.,Sự xâm nhập trực tiếp của vi khuẩn vào khoang khớp.,Quá trình thoái hóa của sụn khớp do quá tải cơ học.,Phản ứng viêm dữ dội do các tế bào miễn dịch (chủ yếu là bạch cầu đa nhân trung tính) thực bào các vi tinh thể Monosodium Urate (MSU) trong khớp.,,d,"Khi nồng độ acid uric trong dịch khớp vượt quá ngưỡng bão hòa, các tinh thể MSU sẽ kết tủa. Các tinh thể này hoạt hóa hệ thống miễn dịch bẩm sinh, đặc biệt là inflamasome NLRP3 trong các đại thực bào, dẫn đến việc giải phóng ồ ạt Interleukin- 1β. IL-1β thu hút bạch cầu đa nhân trung tính đến khớp, chúng thực bào các tinh thể và giải phóng thêm các chất trung gian gây viêm, tạo ra một vòng xoắn viêm dữ dội."
noi-gout-casen2-1-3,noi,Gout,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 52 tuổi, là một giám đốc kinh doanh, được đưa vào cấp cứu lúc 2 giờ sáng vì đau dữ dội ở ngón chân cái bên phải. Cơn đau khởi phát đột ngột sau một bữa tiệc thịnh soạn với nhiều hải sản và rượu bia, bệnh nhân mô tả cơn đau ""như bị tra tấn"", không thể chịu đựng được ngay cả khi một tấm chăn mỏng chạm vào. Bệnh nhân không sốt, không có chấn thương trước đó. Tiền sử tăng huyết áp 10 năm đang dùng Hydrochlorothiazide 25 mg/ngày, rối loạn lipid máu, và thừa cân với BMI 28 kg/m². Ông hút thuốc 20 bao.năm. Khám thấy bệnh nhân tỉnh, mặt nhăn nhó vì đau, mạch 95 lần/phút, huyết áp 150/90 mmHg, SpO₂ 99% khí trời, nhiệt độ 37.5°C. Khớp bàn ngón chân cái bên phải sưng to, tấy đỏ, căng bóng, sờ vào rất nóng và đau chói. Các khớp khác, bao gồm cả khớp bàn ngón chân cái bên trái, hoàn toàn không sưng đau. Xét nghiệm máu tại cấp cứu: bạch cầu 12.5 G/L (Neutrophil 80%), CRP 150 mg/L, acid uric huyết thanh 620 μmol/L, creatinin 110 μmol/L.","Yếu tố nào sau đây ở bệnh nhân này vừa là yếu tố nguy cơ gây tăng acid uric máu, vừa có thể là yếu tố khởi phát cơn gút cấp?",Bữa ăn giàu purine và uống rượu.,Hút thuốc lá.,"Thừa cân, béo phì.",Việc sử dụng thuốc lợi tiểu Thiazide.,,a,"Bữa ăn giàu purine (hải sản, thịt đỏ, nội tạng) làm tăng nguồn sản xuất acid uric. Rượu, đặc biệt là bia, vừa làm tăng sản xuất (do chứa purine) vừa làm giảm thải acid uric qua thận. Sự thay đổi đột ngột nồng độ acid uric máu sau bữa ăn này là yếu tố khởi phát cơn cấp điển hình."
noi-gout-casen2-1-4,noi,Gout,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 52 tuổi, là một giám đốc kinh doanh, được đưa vào cấp cứu lúc 2 giờ sáng vì đau dữ dội ở ngón chân cái bên phải. Cơn đau khởi phát đột ngột sau một bữa tiệc thịnh soạn với nhiều hải sản và rượu bia, bệnh nhân mô tả cơn đau ""như bị tra tấn"", không thể chịu đựng được ngay cả khi một tấm chăn mỏng chạm vào. Bệnh nhân không sốt, không có chấn thương trước đó. Tiền sử tăng huyết áp 10 năm đang dùng Hydrochlorothiazide 25 mg/ngày, rối loạn lipid máu, và thừa cân với BMI 28 kg/m². Ông hút thuốc 20 bao.năm. Khám thấy bệnh nhân tỉnh, mặt nhăn nhó vì đau, mạch 95 lần/phút, huyết áp 150/90 mmHg, SpO₂ 99% khí trời, nhiệt độ 37.5°C. Khớp bàn ngón chân cái bên phải sưng to, tấy đỏ, căng bóng, sờ vào rất nóng và đau chói. Các khớp khác, bao gồm cả khớp bàn ngón chân cái bên trái, hoàn toàn không sưng đau. Xét nghiệm máu tại cấp cứu: bạch cầu 12.5 G/L (Neutrophil 80%), CRP 150 mg/L, acid uric huyết thanh 620 μmol/L, creatinin 110 μmol/L.","Thăm dò cận lâm sàng nào sau đây được coi là ""tiêu chuẩn vàng"" để chẩn đoán xác định gút?",Chụp X-quang khớp.,Siêu âm khớp.,Đo nồng độ acid uric máu.,Chọc hút dịch khớp và soi dưới kính hiển vi nền đen tìm tinh thể urat.,,d,"Mặc dù acid uric máu thường tăng, nhưng nó có thể bình thường hoặc thậm chí thấp trong cơn cấp. Tiêu chuẩn vàng để chẩn đoán xác định là tìm thấy sự hiện diện của các tinh thể urat hình kim, lưỡng chiết quang âm tính khi soi dịch khớp dưới kính hiển vi nền đen phân cực."
noi-gout-casen2-2-1,noi,Gout,Cơ xương khớp,"nhân ghép tạng rất quan trọng. Các cơn gút cấp gây đau đớn và viêm, có thể ảnh hưởng đến chất lượng sống và tuân thủ điều trị. Quan trọng hơn, tăng acid uric máu mạn tính có thể là một yếu tố nguy cơ độc lập gây tổn thương cho quả thận ghép. TÌNH HUỐNG 8: Bệnh nhân nữ 58 tuổi, đến khám vì sưng đau khớp bàn tay. Bệnh nhân đã mãn kinh 5 năm và không dùng liệu pháp hormone thay thế. Cơn đau khởi phát bán cấp ở nhiều khớp ngón xa hai bên, kèm theo sưng và đỏ nhẹ. Bệnh nhân không có yếu tố nguy cơ rõ ràng của gút, chế độ ăn uống cân bằng. Khám thấy các khớp ngón xa sưng, có các nốt cứng (nốt Heberden). Acid uric máu là 400 μmol/L. X-quang bàn tay cho thấy hẹp khe khớp và gai xương ở các khớp ngón xa, đồng thời có hình ảnh bào mòn xương ở một vài khớp.",Chẩn đoán nào là phù hợp nhất khi xem xét đến vị trí khớp bị ảnh hưởng ở một phụ nữ sau mãn kinh?,Bệnh gút.,Viêm khớp dạng thấp.,"Thoái hóa khớp bàn tay thể bào mòn, có thể kèm theo gút.",Viêm khớp vảy nến.,,c,"Viêm và sưng ở các khớp ngón xa ở phụ nữ sau mãn kinh là vị trí rất điển hình của thoái hóa khớp bàn tay. Tuy nhiên, sự xuất hiện của các hình ảnh bào mòn trên X-quang và tình trạng viêm gợi ý một thể ""viêm"" của thoái hóa khớp, và tình trạng này có thể đi kèm hoặc bị khởi phát bởi sự lắng đọng tinh thể urat."
noi-gout-casen2-2-2,noi,Gout,Cơ xương khớp,"nhân ghép tạng rất quan trọng. Các cơn gút cấp gây đau đớn và viêm, có thể ảnh hưởng đến chất lượng sống và tuân thủ điều trị. Quan trọng hơn, tăng acid uric máu mạn tính có thể là một yếu tố nguy cơ độc lập gây tổn thương cho quả thận ghép. TÌNH HUỐNG 8: Bệnh nhân nữ 58 tuổi, đến khám vì sưng đau khớp bàn tay. Bệnh nhân đã mãn kinh 5 năm và không dùng liệu pháp hormone thay thế. Cơn đau khởi phát bán cấp ở nhiều khớp ngón xa hai bên, kèm theo sưng và đỏ nhẹ. Bệnh nhân không có yếu tố nguy cơ rõ ràng của gút, chế độ ăn uống cân bằng. Khám thấy các khớp ngón xa sưng, có các nốt cứng (nốt Heberden). Acid uric máu là 400 μmol/L. X-quang bàn tay cho thấy hẹp khe khớp và gai xương ở các khớp ngón xa, đồng thời có hình ảnh bào mòn xương ở một vài khớp.",Tại sao bệnh gút ít gặp ở phụ nữ trước tuổi mãn kinh?,Hormone Estrogen có tác dụng làm tăng bài tiết acid uric qua thận.,Phụ nữ có khối lượng cơ thấp hơn.,Cấu trúc khớp của phụ nữ khác nam giới.,Phụ nữ ăn ít purine hơn nam giới.,,a,"Estrogen có tác dụng tăng thải acid uric qua nước tiểu (uricosuric effect). Sau khi mãn kinh, nồng độ estrogen giảm xuống, làm giảm khả năng bài tiết acid uric của thận. Điều này giải thích tại sao tỷ lệ mắc bệnh gút ở phụ nữ tăng lên đáng kể sau tuổi mãn kinh."
noi-gout-casen2-2-3,noi,Gout,Cơ xương khớp,"nhân ghép tạng rất quan trọng. Các cơn gút cấp gây đau đớn và viêm, có thể ảnh hưởng đến chất lượng sống và tuân thủ điều trị. Quan trọng hơn, tăng acid uric máu mạn tính có thể là một yếu tố nguy cơ độc lập gây tổn thương cho quả thận ghép. TÌNH HUỐNG 8: Bệnh nhân nữ 58 tuổi, đến khám vì sưng đau khớp bàn tay. Bệnh nhân đã mãn kinh 5 năm và không dùng liệu pháp hormone thay thế. Cơn đau khởi phát bán cấp ở nhiều khớp ngón xa hai bên, kèm theo sưng và đỏ nhẹ. Bệnh nhân không có yếu tố nguy cơ rõ ràng của gút, chế độ ăn uống cân bằng. Khám thấy các khớp ngón xa sưng, có các nốt cứng (nốt Heberden). Acid uric máu là 400 μmol/L. X-quang bàn tay cho thấy hẹp khe khớp và gai xương ở các khớp ngón xa, đồng thời có hình ảnh bào mòn xương ở một vài khớp.",Sự hiện diện của các nốt Heberden (các nốt cứng ở khớp ngón xa) là một dấu hiệu điển hình của bệnh lý nào?,Bệnh gút.,Thoái hóa khớp.,Viêm khớp dạng thấp.,Lupus ban đỏ hệ thống.,,b,"Các nốt Heberden (ở khớp ngón xa) và Bouchard (ở khớp ngón gần) là các dấu hiệu lâm sàng kinh điển của thoái hóa khớp bàn tay, được tạo thành do sự phát triển của các gai xương ở rìa khớp."
noi-gout-casen2-2-4,noi,Gout,Cơ xương khớp,"nhân ghép tạng rất quan trọng. Các cơn gút cấp gây đau đớn và viêm, có thể ảnh hưởng đến chất lượng sống và tuân thủ điều trị. Quan trọng hơn, tăng acid uric máu mạn tính có thể là một yếu tố nguy cơ độc lập gây tổn thương cho quả thận ghép. TÌNH HUỐNG 8: Bệnh nhân nữ 58 tuổi, đến khám vì sưng đau khớp bàn tay. Bệnh nhân đã mãn kinh 5 năm và không dùng liệu pháp hormone thay thế. Cơn đau khởi phát bán cấp ở nhiều khớp ngón xa hai bên, kèm theo sưng và đỏ nhẹ. Bệnh nhân không có yếu tố nguy cơ rõ ràng của gút, chế độ ăn uống cân bằng. Khám thấy các khớp ngón xa sưng, có các nốt cứng (nốt Heberden). Acid uric máu là 400 μmol/L. X-quang bàn tay cho thấy hẹp khe khớp và gai xương ở các khớp ngón xa, đồng thời có hình ảnh bào mòn xương ở một vài khớp.",Mối liên quan giữa thoái hóa khớp và bệnh gút là gì?,Chúng là hai bệnh loại trừ lẫn nhau.,Bệnh gút luôn dẫn đến thoái hóa khớp.,Thoái hóa khớp có thể là một yếu tố nguy cơ cho bệnh gút; các tổn thương sụn do thoái hóa có thể tạo điều kiện cho sự kết tủa của các tinh thể urat.,Không có mối liên quan nào.,,c,"Có một mối liên quan hai chiều. Tăng acid uric máu là một yếu tố nguy cơ của thoái hóa khớp. Ngược lại, các khớp đã bị thoái hóa, với sụn bị tổn thương và các mảnh vỡ trong dịch khớp, có thể trở thành một môi trường thuận lợi cho việc kết tủa và hình thành các tinh thể MSU, khởi phát một cơn gút."
noi-gout-casen2-3-1,noi,Gout,Cơ xương khớp,"thấp hoặc tại chỗ) có tác dụng giảm đau và kháng viêm, do đó có hiệu quả cho cả các đợt viêm của thoái hóa khớp và cơn gút cấp. Các thuốc khác chỉ có tác dụng trên một bệnh lý cụ thể. TÌNH HUỐNG 9: Bệnh nhân nam 55 tuổi, bị gút mạn tính có hạt tophi, đã thất bại với Allopurinol (dị ứng) và Febuxostat (không đạt mục tiêu acid uric dù đã dùng liều tối đa). Bệnh nhân vẫn có các cơn cấp thường xuyên và các hạt tophi ngày càng to. Chức năng thận bình thường.",Tình trạng của bệnh nhân được gọi là gì?,Gút không đáp ứng.,Gút nặng.,Gút kháng trị.,Gút giả.,,c,"Gút kháng trị được định nghĩa là tình trạng không đạt được mục tiêu acid uric máu và vẫn có các triệu chứng (cơn cấp, hạt tophi) mặc dù đã được điều trị bằng thuốc ức chế xanthine oxidase ở liều tối đa, hoặc bệnh nhân không dung nạp với các thuốc này."
noi-gout-casen2-3-2,noi,Gout,Cơ xương khớp,"thấp hoặc tại chỗ) có tác dụng giảm đau và kháng viêm, do đó có hiệu quả cho cả các đợt viêm của thoái hóa khớp và cơn gút cấp. Các thuốc khác chỉ có tác dụng trên một bệnh lý cụ thể. TÌNH HUỐNG 9: Bệnh nhân nam 55 tuổi, bị gút mạn tính có hạt tophi, đã thất bại với Allopurinol (dị ứng) và Febuxostat (không đạt mục tiêu acid uric dù đã dùng liều tối đa). Bệnh nhân vẫn có các cơn cấp thường xuyên và các hạt tophi ngày càng to. Chức năng thận bình thường.",Lựa chọn điều trị nào có thể được xem xét cho bệnh nhân này?,Phối hợp một thuốc ức chế xanthine oxidase với một thuốc tăng thải acid uric.,Phẫu thuật cắt bỏ tất cả các hạt tophi.,Thử một loại NSAID khác.,Ngừng tất cả các thuốc và chỉ thay đổi lối sống.,,a,"Khi đơn trị liệu bằng một thuốc ức chế xanthine oxidase không đủ hiệu quả, chiến lược tiếp theo là phối hợp hai loại thuốc có cơ chế tác dụng khác nhau: một thuốc giảm sản xuất (XOI) và một thuốc tăng thải (uricosuric). Liệu pháp phối hợp này có thể giúp đạt được mục tiêu ở nhiều bệnh nhân khó trị."
