id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-nhiem-trung-duong-tieu-mcq-001,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Tác nhân vi khuẩn thường gặp nhất gây nhiễm trùng đường tiểu mắc phải tại cộng đồng là gì?,Klebsiella pneumoniae,Escherichia coli,Proteus mirabilis,Pseudomonas aeruginosa,,b,Escherichia coli là nguyên nhân chiếm 75-90% các trường hợp nhiễm khuẩn tiết niệu cộng đồng chưa có biến chứng. Vi khuẩn này thuộc hệ vi khuẩn đường ruột bình thường và di trú từ vùng hậu môn. Nguồn: Bệnh học nội khoa YHN.
noi-nhiem-trung-duong-tieu-mcq-002,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Nhóm đối tượng nào sau đây luôn được phân loại là nhiễm trùng đường tiểu phức tạp?,Nữ giới trẻ tuổi có sinh hoạt tình dục,Phụ nữ mãn kinh không mắc bệnh nền,Trẻ em nữ dưới mười tuổi khỏe mạnh,Nam giới trưởng thành ở mọi lứa tuổi,,d,"Nhiễm trùng đường tiểu ở nam giới luôn được xếp vào nhóm phức tạp do niệu đạo nam dài, rất khó nhiễm khuẩn tự nhiên. Bệnh thường liên quan đến các bất thường giải phẫu hệ niệu hoặc bệnh lý tuyến tiền liệt."
noi-nhiem-trung-duong-tieu-mcq-003,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,"Theo định nghĩa, tình trạng nhiễm trùng đường tiểu tái phát ở nữ giới đòi hỏi số lần mắc bệnh tối thiểu là bao nhiêu?",Hai đợt nhiễm trùng trong vòng ba tháng,Ba đợt nhiễm trùng trong vòng sáu tháng,Hai đợt nhiễm trùng trong vòng mười hai tháng,Ba đợt nhiễm trùng trong vòng mười hai tháng,,d,Nhiễm khuẩn tiết niệu tái phát được định nghĩa lâm sàng là có ít nhất 2 đợt trong vòng 6 tháng hoặc từ 3 đợt trở lên trong vòng 12 tháng. Đây là mốc thời gian để quyết định bắt đầu liệu pháp dự phòng.
noi-nhiem-trung-duong-tieu-mcq-004,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Con đường xâm nhập phổ biến nhất của vi khuẩn gây bệnh trong các trường hợp nhiễm trùng đường tiểu là gì?,Đường máu từ ổ nhiễm khuẩn kề cận,Đường bạch huyết từ cơ quan sinh dục,Đường ngược dòng từ niêm mạc niệu đạo,Đường lây truyền qua các rò tiêu hóa,,c,"Phần lớn vi khuẩn xâm nhập vào đường tiết niệu bằng cách đi ngược dòng từ vùng quanh niệu đạo lên bàng quang, sau đó có thể tiếp tục lan lên đài bể thận."
noi-nhiem-trung-duong-tieu-mcq-005,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Tiêu chuẩn vi sinh chẩn đoán vi khuẩn niệu không triệu chứng ở nữ giới qua mẫu nước tiểu giữa dòng là gì?,Có từ 10^5 CFU/mL trở lên của cùng một chủng ở hai mẫu liên tiếp,Có từ 10^4 CFU/mL trở lên của cùng một chủng ở hai mẫu liên tiếp,Có từ 10^5 CFU/mL trở lên của hai chủng khác nhau ở một mẫu,Có từ 10^4 CFU/mL trở lên của hai chủng khác nhau ở một mẫu,,a,"Để chẩn đoán xác định, phụ nữ cần có hai mẫu nước tiểu giữa dòng liên tiếp phân lập được cùng một chủng vi khuẩn với số lượng ≥ 10^5 CFU/mL mà không có triệu chứng lâm sàng, nhằm loại trừ dương tính giả do tạp nhiễm."
noi-nhiem-trung-duong-tieu-mcq-006,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Yếu tố nguy cơ độc lập hàng đầu gây viêm bàng quang cấp ở phụ nữ trẻ tuổi khỏe mạnh là gì?,Thói quen nhịn tiểu thường xuyên kéo dài,Tần suất quan hệ tình dục trong thời gian gần,Sử dụng thuốc tránh thai đường uống hàng ngày,Chế độ ăn uống thiếu nhiều chất xơ hòa tan,,b,Hoạt động tình dục là yếu tố nguy cơ mạnh nhất do tác động cơ học đẩy vi khuẩn từ vùng quanh niệu đạo vào bên trong bàng quang. Việc sử dụng chất diệt tinh trùng càng làm tăng nguy cơ này.
noi-nhiem-trung-duong-tieu-mcq-007,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Yếu tố độc lực nào của Escherichia coli đóng vai trò then chốt giúp vi khuẩn bám dính vào biểu mô đường tiết niệu?,Độc tố nội bào lipopolysaccharide,Lớp vỏ nang polysaccharide dày đặc,Các cấu trúc lông bám fimbriae bề mặt,Enzyme beta lactamase phá hủy thuốc,,c,Cấu trúc lông bám (fimbriae) cho phép E. coli gắn chặt vào các thụ thể trên bề mặt tế bào biểu mô đường niệu. Cơ chế này giúp vi khuẩn chống lại sức rửa trôi tự nhiên của dòng nước tiểu. Nguồn: Bệnh học nội khoa YHN.
noi-nhiem-trung-duong-tieu-mcq-008,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Thành phần nào do ống thận tiết ra có khả năng gắn với vi khuẩn để ngăn chặn sự bám dính vào niêm mạc?,Men urokinase tiết từ tế bào nội mô,Lysozyme từ tế bào bạch cầu đa nhân,Protein Tamm-Horsfall ở quai Henle,Kháng thể immunoglobulin M lưu hành,,c,"Protein Tamm-Horsfall (uromodulin) do nhánh lên quai Henle tiết ra hoạt động như một thụ thể giả. Nó gắn với fimbriae của vi khuẩn, làm bất hoạt chức năng bám dính và hỗ trợ cơ thể đào thải chúng ra ngoài."
noi-nhiem-trung-duong-tieu-mcq-009,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Vi khuẩn Proteus mirabilis thúc đẩy quá trình hình thành sỏi struvite thông qua cơ chế sinh hóa nào?,Tiết men urease làm kiềm hóa nước tiểu,Kích thích tăng bài tiết canxi qua thận,Làm giảm đào thải citrate qua hệ niệu,Tạo môi trường toan hóa nước tiểu mạnh,,a,"Men urease của Proteus phân giải urê thành amoniac, làm tăng mạnh pH nước tiểu. Môi trường kiềm là điều kiện bắt buộc gây kết tủa magie amoni photphat tạo thành sỏi san hô lấp đầy bể thận."
noi-nhiem-trung-duong-tieu-mcq-010,noi,Nhiễm trùng đường tiểu,Thận tiết niệu,,Yếu tố sinh lý quan trọng nhất giúp bàng quang tự bảo vệ chống lại sự xâm nhập và nhân lên của vi khuẩn là gì?,Nước tiểu luôn duy trì ở độ pH kiềm tính,Nồng độ glucose trong nước tiểu cực kỳ thấp,Bề mặt bàng quang có lớp lót tế bào sừng hóa,Hoạt động co bóp tống xuất nước tiểu liên tục,,d,Dòng chảy liên tục và việc bài xuất hết nước tiểu là cơ chế bảo vệ cơ học quan trọng nhất giúp rửa trôi phần lớn vi khuẩn trước khi chúng kịp bám dính và nhân lên thành bệnh.
