id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tpm-001,noi,Tâm phế mạn,Hô hấp,Điện tâm đồ chẩn đoán dày thất phải của WHO:,Trục phải > 100 độ,"R/S <1 ở V4, V5",Sóng S chiếm ưu thế ở D1 hoặc block nhánh phải không hoàn toàn,P cao trên 2.5mm ở D2,,c,D: > 2mm ở D2
noi-tpm-002,noi,Tâm phế mạn,Hô hấp,TALĐMP do RL tuần hoàn phổi gặp trong?,TALĐM nguyên phát.,Xơ cứng bì,Gù vẹo cột sống,Kén khí phổi,,c,
noi-tpm-003,noi,Tâm phế mạn,Hô hấp,Ng.nhân gây tâm phế mãn gặp nhiều nhất trên LS:,COPD,Lao,Giãn PQ,Viêm phế quản mạn tính,,a,
noi-tpm-004,noi,Tâm phế mạn,Hô hấp,Tâm phế mãn thường thấy hình ảnh,Bóng tim giọt nước,Tăng đậm động mạch phế quản,Chức năng tâm thu thất T giảm,,,a,
noi-tpm-005,noi,Tâm phế mạn,Hô hấp,Chỉ định thở máy không xâm nhập cho bệnh nhân tâm phế mạn khi:,PaCO2 > 55mmHg.,PaCO2 > 35mmHg.,PaCO2 > 45mmHg.,SaO2 < 95%,,c,
noi-tpm-006,noi,Tâm phế mạn,Hô hấp,Tăng áp lực động mạch phổi khi:,ALĐMP >20mmHg lúc nằm nghỉ,ALĐMP >25mmHg lúc nằm nghỉ,ALĐMP >30mmHg lúc nằm nghỉ,ALĐMP >15mmHg lúc nằm nghỉ,,a,
noi-tpm-007,noi,Tâm phế mạn,Hô hấp,Bệnh phổi rối loạn thông khí hạn chế:,COPD,Hen,Giãn phế nang,Giãn phế quản,,c,
noi-tpm-008,noi,Tâm phế mạn,Hô hấp,Nguyên nhân gây tăng áp lực động mạch phổi?,Tắc ĐM phế quản,Co thắt mạch máu phổi,Suy giảm chức năng thất trái,Cả 3 đều đúng,,b,
noi-tpm-009,noi,Tâm phế mạn,Hô hấp,ALĐMP bình thường bao nhiêu?,<15mmHg,<20mmHg,Từ 20-30mmHg,>20mmHg,,a,
noi-tpm-010,noi,Tâm phế mạn,Hô hấp,Nguyên nhân của tâm phế mạn chủ yếu do:,"Lao xơ phổi, COPD, giãn PQ","COPD, viêm PQ mạn tính đơn thuần, lao xơ phổi","Tắc mạch phổi tiên phát, gù vẹo cột sống","Xơ cứng bì, bệnh kén phổi tiên phát, thoái hóa phổi",,a,
noi-tpm-011,noi,Tâm phế mạn,Hô hấp,Chỉ định thở oxy trong tâm phế mạn:,1-3 l/p,3-5 l/p,2-4 l/p,4-6l/p,,a,
noi-tpm-012,noi,Tâm phế mạn,Hô hấp,Các xét nghiệm chẩn đoán tâm phế mạn:,"Siêu âm tim, điện tim, Xquang","CLVT ngực, điện tim, siêu âm tim","CLVT ngực, đo chức năng hô hấp, siêu âm tim","Khí máu động mạch, siêu âm tim, điện tâm đồ",,a,
noi-tpm-013,noi,Tâm phế mạn,Hô hấp,Nguyên nhân của tâm phế mạn do rối loạn tuần hoàn phổi:,Tăng áp mạch phổi tiên phát,Gù vẹo cột sống,Xơ phổi lan tỏa,Viêm phế nang,,b,
noi-tpm-014,noi,Tâm phế mạn,Hô hấp,"Hình ảnh điện tâm đồ điển hình trong tâm phế mạn, TRỪ:",Trục phải ≥ 110°,P phế ở DII,T đảo ngược ở V1 đến V4 hoặc V3 và V4,Block nhánh phải hoàn toàn hoặc không hoàn toàn,,c,V1-V4 hoặc V2-V3
noi-tpm-015,noi,Tâm phế mạn,Hô hấp,Công thức máu của bệnh nhân tâm phế mạn như thế nào:,"Đa hồng cầu, HCT tăng",Thiếu máu hồng cầu bình sắc,Thiếu máu nhược sắc,Thiếu máu hồng cầu khổng lồ,,a,
noi-tpm-016,noi,Tâm phế mạn,Hô hấp,Chế độ ăn của bệnh nhân tâm phế mạn:,"Nhạt hoàn toàn, ăn lỏng","Giảm muối, nhiều hoa quả và chất xơ","Nhiều protein, giảm hoa quả và chất xơ",,,b,
noi-tpm-017,noi,Tâm phế mạn,Hô hấp,CLS chẩn đoán chính xác TALĐMP:,SA tim đo chênh áp qua van ba lá,Chụp XQ tim phổi thấy tăng đường kính nhánh dưới động mạch phổi P,Thông tim P đo áp lực ĐMP,Đo chức năng hô hấp,,c,
noi-tpm-018,noi,Tâm phế mạn,Hô hấp,Không phải gợi ý dày thất P trên ECG:,Trục phải α > 110°,R/S > 1 ở V6,rRs ở các chuyển đạo trước tim P,Block nhánh phải không hoàn toàn,,b,
noi-tpm-019,noi,Tâm phế mạn,Hô hấp,Không phải mục tiêu của oxy liệu pháp và hỗ trợ hô hấp trong tâm phế mạn:,"pH từ 7,36 - 7,42",SaO2 từ 90 - 92%,PaCO2 từ 40 - 45mmHg,PaO2 > 88mmHg,,d,(SaO2 90-92%)
noi-tpm-020,noi,Tâm phế mạn,Hô hấp,Điều trị tâm phế mạn ở một số thể:,Ở BN xơ phổi thường ứ trệ CO2 nhiều nên chỉ định O2 rộng rãi,Ở BN HPQ nên dùng sớm corticoid toàn thân,Ở BN gù vẹo biến dạng lồng ngực: quan trọng là tập thở và chống bội nhiễm,Ở BN tắc mạch phổi luôn cần phẫu thuật lấy cục máu đông kem thuốc chống đông,,c,D: tâm phế cấp
noi-tpm-021,noi,Tâm phế mạn,Hô hấp,Cơ chế của co thắt mạch phổi:,"Tổn thương giải phẫu 🡪 MM bị phá hủy, giảm biớt, xơ hóa 🡪 TALDMP","Thiếu oxy phế nang, thiếu oxy tổ chức và toan máu",Do u chèn ép,,,b,
noi-tpm-022,noi,Tâm phế mạn,Hô hấp,Kháng sinh chỉ được dùng để điều trị tâm phế mạn khi:,BN có sốt,Đợt bội nhiễm,Đợt cấp của tâm phế mạn,Tăng áp động mạch phổi nặng,,b,
noi-tpm-023,noi,Tâm phế mạn,Hô hấp,Thuốc không dùng trong đợt cấp tâm phế mạn:,Chẹn calci tác dụng nhanh,Giãn phế quản cường beta2,Thuốc chẹn beta,Corticoid,,c,
noi-tpm-024,noi,Tâm phế mạn,Hô hấp,Dự phòng đợt cấp tâm phế mạn:,Tiêm vaccin não mô cầu,Tiêm vaccin cúm,UCMC,Lợi tiểu quai,,b,
noi-tpm-025,noi,Tâm phế mạn,Hô hấp,Lợi tiểu dùng trong điều trị tâm phế mạn tốt nhất là:,Spironolacton,Furosemide,Hypothiazide,Idapamide,TrIamteren,b,
noi-tpm-026,noi,Tâm phế mạn,Hô hấp,Vận động liệu pháp trong điều trị tâm phế mạn quan trọng nhất là:,Tập thở,Vỗ rung lồng ngực,Đi bộ hằng ngày,Chạy bộ hằng ngày,Tập thể dục hằng ngày,a,
noi-tpm-027,noi,Tâm phế mạn,Hô hấp,"Trong điều trị tâm phế mạn, phương pháp cải thiện thông khí phế nang quan trọng nhất là:",Lợi tiểu,Digital,Liệu pháp oxy,Thuốc giãn mạch,Corticoid,c,
noi-tpm-028,noi,Tâm phế mạn,Hô hấp,"Triệu chứng TALĐMP là, trừ:",Mắt lồi,T2 đanh mạnh,Nhịp tim nhanh,Thổi tâm thu dọc bờ trái x.ức,,a,"Mắt lồi là dấu hiệu của Basedow, không phải của tăng áp lực động mạch phổi."
noi-tpm-029,noi,Tâm phế mạn,Hô hấp,NN gây tâm phế mạn,Tăng áp ĐMP,Co thắt ĐMPQ mạn,Xơ hóa ĐMPQ,,,a,
noi-tpm-030,noi,Tâm phế mạn,Hô hấp,Hậu quả tặng áp lực động mạch phế quản:,Suy tim trái,Suy tim phải,,,,b,
noi-tpm-031,noi,Tâm phế mạn,Hô hấp,"Trong tâm phế mạn, thở oxy liên tục kéo dài với thời gian tốt nhất là:",10 giờ/24 giờ,15 giờ/24 giờ,12 giờ/24 giờ,Sử dụng oxy 100%,Thở ban ngày nhiều hơn ban đêm,b,
noi-tpm-032,noi,Tâm phế mạn,Hô hấp,Bệnh phổi rối loạn thông khí tắc nghẽn: Bệnh phổi tắc nghẽn mạn tính — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tpm-033,noi,Tâm phế mạn,Hô hấp,Bệnh phổi rối loạn thông khí tắc nghẽn: Hen phế quản — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tpm-034,noi,Tâm phế mạn,Hô hấp,Bệnh phổi rối loạn thông khí tắc nghẽn: Giãn phế quản — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tpm-035,noi,Tâm phế mạn,Hô hấp,Bệnh phổi rối loạn thông khí tắc nghẽn: Lao xơ phổi — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tpm-036,noi,Tâm phế mạn,Hô hấp,Suy hô hấp mạn tính có đặc điểm nào: Khó thở khi gắng sức — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tpm-037,noi,Tâm phế mạn,Hô hấp,Suy hô hấp mạn tính có đặc điểm nào: Móng tay khum — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tpm-038,noi,Tâm phế mạn,Hô hấp,Suy hô hấp mạn tính có đặc điểm nào: Da tái xanh — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tpm-039,noi,Tâm phế mạn,Hô hấp,Suy hô hấp mạn tính có đặc điểm nào: Gan to đau — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tpm-040,noi,Tâm phế mạn,Hô hấp,Tiêu chuẩn chẩn đoán dày thất phải của bệnh nhân COPD theo WHO: Trục phải > 110⁰ — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tpm-041,noi,Tâm phế mạn,Hô hấp,Tiêu chuẩn chẩn đoán dày thất phải của bệnh nhân COPD theo WHO: T đảo ngược ở D₁-D₃ — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tpm-042,noi,Tâm phế mạn,Hô hấp,Tiêu chuẩn chẩn đoán dày thất phải của bệnh nhân COPD theo WHO: P>2.5mm ở D₂ 🡪 P > 2mm ở D2 — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tpm-043,noi,Tâm phế mạn,Hô hấp,"Tiêu chuẩn chẩn đoán dày thất phải của bệnh nhân COPD theo WHO: R/S ở V₅,V₆ >1 — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-tpm-044,noi,Tâm phế mạn,Hô hấp,RL thông khí tắc nghẽn hay gặp do ng.nhân gì nhất:: COPD — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
