id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-001,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,"Theo định nghĩa hiện tại, một bệnh nhân được chẩn đoán là xuất huyết giảm tiểu cầu miễn dịch (ITP) khi số lượng tiểu cầu máu ngoại vi dưới ngưỡng nào?",150 G/L,100 G/L,50 G/L,30 G/L,,b,"Theo đồng thuận quốc tế, ITP được định nghĩa khi tiểu cầu < 100 G/L, không còn dùng mốc 150 G/L để tránh chẩn đoán quá mức ở phụ nữ có thai hoặc giảm tiểu cầu sinh lý. (Nguồn: Bệnh học nội khoa YHN)"
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-002,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,Một bệnh nhân được chẩn đoán ITP và đã được theo dõi bệnh trong 8 tháng. Bệnh nhân này thuộc phân loại giai đoạn bệnh nào?,ITP mới mắc,ITP dai dẳng,ITP mạn tính,ITP kháng trị,,b,"ITP mới mắc (< 3 tháng), dai dẳng (3-12 tháng) và mạn tính (> 12 tháng). Phân loại này giúp định hướng chiến lược điều trị và dự đoán khả năng lui bệnh tự nhiên."
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-003,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,Đặc điểm dịch tễ học nào sau đây đúng với ITP ở người lớn?,Nam mắc nhiều hơn nữ ở mọi lứa tuổi,Nữ mắc nhiều hơn nam ở độ tuổi trẻ và trung niên,Tỷ lệ mắc bệnh ở hai giới luôn bằng nhau,Chỉ gặp ở phụ nữ trong độ tuổi sinh đẻ,,b,"Ở người trẻ (dưới 60 tuổi), ITP gặp ở nữ nhiều hơn nam (tỷ lệ 2-3/1) do liên quan đến yếu tố tự miễn. Ở người già, tỷ lệ nam nữ gần tương đương nhau."
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-004,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,"Thuật ngữ ""vô căn"" (idiopathic) trong tên gọi cũ của bệnh ITP hiện nay đã được thay thế bằng từ nào để phản ánh đúng bản chất bệnh?",Di truyền,Tiên phát,Miễn dịch,Bẩm sinh,,c,"Chữ ""I"" trong ITP nay là ""Immune"" (Miễn dịch), vì cơ chế cốt lõi đã được chứng minh là do rối loạn đáp ứng miễn dịch sinh ra tự kháng thể, không còn là ""vô căn"" (không rõ nguyên nhân) nữa."
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-005,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,Căn bệnh nào sau đây KHÔNG thuộc nhóm nguyên nhân gây ITP thứ phát?,Lupus ban đỏ hệ thống,Nhiễm virus HIV,Bệnh bạch cầu cấp,Nhiễm virus viêm gan C,,c,"Bạch cầu cấp gây giảm tiểu cầu do lấn át tủy xương (trung ương), không phải cơ chế miễn dịch thứ phát qua trung gian kháng thể. SLE, HIV, HCV là các nguyên nhân ITP thứ phát kinh điển."
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-006,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,Điểm khác biệt lớn nhất về mặt dịch tễ và khởi phát giữa ITP ở trẻ em và người lớn là gì?,"Trẻ em thường khởi phát từ từ, người lớn đột ngột",Trẻ em hay có tiền sử nhiễm trùng hô hấp trước đó,Trẻ em mắc ở nữ nhiều hơn nam,Người lớn có tỷ lệ tự khỏi cao hơn,,b,"ITP ở trẻ em thường khởi phát cấp tính sau một đợt nhiễm virus (hô hấp, tiêu hóa) và tỷ lệ tự lui bệnh rất cao (>80%). ITP người lớn thường khởi phát âm thầm và dễ thành mạn tính."
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-007,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,Bản chất của các tự kháng thể kháng tiểu cầu trong bệnh sinh của ITP chủ yếu thuộc lớp kháng thể nào?,IgA,IgD,IgE,IgG,,d,"Kháng thể kháng tiểu cầu trong ITP chủ yếu là IgG, có khả năng gắn lên bề mặt tiểu cầu và tương tác với thụ thể Fc của đại thực bào."
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-008,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,Đích gắn đặc hiệu thường gặp nhất của các tự kháng thể trên màng tiểu cầu trong bệnh ITP là phức hợp nào?,Glycoprotein Ia/IIa,Glycoprotein IIb/IIIa,Glycoprotein IV,Glycoprotein V,,b,"Tự kháng thể IgG thường nhắm vào các phức hợp Glycoprotein (GP) màng tiểu cầu, phổ biến nhất là GP IIb/IIIa và GP Ib/IX. Nắm rõ đích này giúp hiểu cơ chế bệnh sinh cơ bản."
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-009,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,Sự phá hủy tiểu cầu ở bệnh nhân ITP chủ yếu diễn ra tại cơ quan nào thuộc hệ võng nội mô?,Gan,Lách,Tủy xương,Tuyến ức,,b,"Lách là cơ quan chính bắt giữ và tiêu hủy tiểu cầu đã gắn kháng thể (thông qua đại thực bào), đồng thời cũng là nơi sản xuất ra lượng lớn tự kháng thể. Do đó cắt lách là một phương pháp điều trị."
noi-xuat-huyet-giam-tieu-cau-mien-dich-itp-mcq-010,noi,Xuất huyết giảm tiểu cầu miễn dịch (ITP),Huyết học,,"Ngoài sự phá hủy ở ngoại vi, cơ chế nào sau đây giải thích tình trạng giảm tiểu cầu trầm trọng trong ITP?",Lách to làm tăng cường bắt giữ tiểu cầu sinh lý,Kháng thể ức chế sự trưởng thành của mẫu tiểu cầu trong tủy,Rối loạn đông máu tiêu thụ tiểu cầu,Thiếu nguyên liệu tổng hợp tiểu cầu,,b,"Ngoài phá hủy tiểu cầu trưởng thành, tự kháng thể còn gắn vào các mẫu tiểu cầu (megakaryocytes) trong tủy xương, gây quá trình chết theo chương trình và giảm sản xuất tiểu cầu mới."
