id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-u-lympho-mcq-001,noi,U lympho,Huyết học,,Điểm khác biệt cốt lõi về nguồn gốc tế bào giữa u lympho Hodgkin và u lympho không Hodgkin là gì?,Hodgkin luôn bắt nguồn từ tế bào T,Hodgkin có tế bào Reed-Sternberg,Không Hodgkin chỉ bắt nguồn từ tế bào B,Không Hodgkin không liên quan đến hạch bạch huyết,,b,U lympho Hodgkin đặc trưng bởi sự hiện diện của tế bào ác tính Reed-Sternberg trên nền tế bào viêm phản ứng. Đây là mấu chốt để chẩn đoán phân biệt. Nguồn: Bệnh học nội khoa YHN.
noi-u-lympho-mcq-002,noi,U lympho,Huyết học,,"Trong các thể u lympho không Hodgkin, nhóm tế bào nào chiếm tỷ lệ mắc cao nhất?",Tế bào B,Tế bào T,Tế bào NK,Tế bào plasma,,a,"U lympho không Hodgkin tế bào B chiếm khoảng 85-90% tổng số ca mắc, phổ biến nhất là u lympho tế bào B lớn lan tỏa (DLBCL). Cần nhớ sự áp đảo của dòng B để định hướng chẩn đoán và điều trị kháng CD20."
noi-u-lympho-mcq-003,noi,U lympho,Huyết học,,Độ tuổi mắc bệnh u lympho Hodgkin mang đặc điểm dịch tễ nào đặc trưng nhất?,Chỉ gặp ở trẻ em dưới 15 tuổi,Tăng dần đều theo độ tuổi,Phân bố đỉnh đôi theo tuổi,Chỉ gặp ở người già trên 60 tuổi,,c,Bệnh có phân bố đỉnh đôi (bimodal): đỉnh thứ nhất ở thanh niên (20-30 tuổi) và đỉnh thứ hai ở người lớn tuổi (>50 tuổi). Đây là đặc điểm dịch tễ kinh điển.
noi-u-lympho-mcq-004,noi,U lympho,Huyết học,,Thể mô bệnh học nào phổ biến nhất trong u lympho Hodgkin cổ điển?,Xơ nốt,Giàu lympho,Hỗn hợp tế bào,Nghèo lympho,,a,"Thể xơ nốt (Nodular sclerosis) chiếm khoảng 70% các trường hợp u lympho Hodgkin cổ điển, thường gặp ở người trẻ tuổi và có tiên lượng tương đối tốt."
noi-u-lympho-mcq-005,noi,U lympho,Huyết học,,Yếu tố nguy cơ nhiễm trùng nào có liên quan mật thiết nhất đến u lympho Burkitt thể lưu hành?,Virus viêm gan C,Helicobacter pylori,Virus Epstein-Barr,Human Papillomavirus,,c,Virus Epstein-Barr (EBV) có mặt trong hầu hết (>95%) các ca u lympho Burkitt thể lưu hành (châu Phi). Nguồn: CURRENT Medical Diagnosis & Treatment.
noi-u-lympho-mcq-006,noi,U lympho,Huyết học,,Bệnh lý nào sau đây làm tăng nguy cơ mắc u lympho ác tính hệ thần kinh trung ương nguyên phát cao nhất?,Đái tháo đường type 2,Viêm khớp dạng thấp,Suy giảm miễn dịch do HIV,Viêm gan B mạn tính,,c,"Bệnh nhân suy giảm miễn dịch nghiêm trọng, đặc biệt là do HIV/AIDS, có nguy cơ rất cao mắc u lympho hệ thần kinh trung ương nguyên phát (thường liên quan EBV)."
noi-u-lympho-mcq-007,noi,U lympho,Huyết học,,Tế bào Reed-Sternberg trong u lympho Hodgkin cổ điển có bản chất nguồn gốc từ dòng tế bào nào?,Tế bào lympho T trưởng thành,Tế bào lympho B trung tâm mầm,Đại thực bào tổ chức,Tế bào diệt tự nhiên,,b,"Mặc dù mất đi nhiều kháng nguyên bề mặt dòng B, tế bào Reed-Sternberg thực chất có nguồn gốc từ tế bào lympho B ở vùng trung tâm mầm bị đột biến."
noi-u-lympho-mcq-008,noi,U lympho,Huyết học,,Đột biến chuyển vị nhiễm sắc thể t(14;18) là cơ chế bệnh sinh đặc trưng của loại u lympho nào?,U lympho Burkitt,U lympho tế bào vỏ,U lympho nang,U lympho tế bào T,,c,"Chuyển vị t(14;18) đưa gen BCL2 đến vùng điều hòa của chuỗi nặng globulin miễn dịch, dẫn đến biểu hiện quá mức protein BCL2 (chống apoptosis). Đây là cơ chế kinh điển của u lympho nang."
noi-u-lympho-mcq-009,noi,U lympho,Huyết học,,Bệnh sinh của u lympho Burkitt liên quan đến sự hoạt hóa quá mức của gen ung thư nào sau đây?,c-myc,bcl-2,bcl-6,cyclin D1,,a,"Đột biến chuyển vị t(8;14) làm hoạt hóa gen c-myc, thúc đẩy tế bào tăng sinh không kiểm soát, tạo ra đặc điểm phân chia cực nhanh của u lympho Burkitt."
noi-u-lympho-mcq-010,noi,U lympho,Huyết học,,Chuyển vị nhiễm sắc thể t(11;14) trong u lympho tế bào vỏ (Mantle cell lymphoma) dẫn đến hậu quả gì?,Tăng biểu hiện BCL-2,Tăng biểu hiện Cyclin D1,Giảm biểu hiện p53,Tăng biểu hiện c-MYC,,b,"Chuyển vị t(11;14) làm tăng sản xuất quá mức Cyclin D1, đẩy tế bào vượt qua chốt kiểm soát pha G1 sang S của chu kỳ tế bào."
