id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-copd-n2-mcq-001,noi,COPD,Hô hấp,,"Theo định nghĩa, đặc trưng cơ bản nhất của bệnh phổi tắc nghẽn mạn tính (COPD) là gì?",Tắc nghẽn đường thở có thể hồi phục hoàn toàn,Giới hạn luồng khí dai dẳng và tiến triển,Tăng tính phản ứng đường thở với dị nguyên,Tình trạng viêm xuất tiết mủ mạn tính,,b,"COPD đặc trưng bởi sự giới hạn luồng khí thở ra dai dẳng, thường tiến triển và liên quan đến phản ứng viêm mạn tính bất thường của đường thở. Nguồn: Bệnh học nội khoa YHN, GOLD."
noi-copd-n2-mcq-002,noi,COPD,Hô hấp,,Yếu tố nguy cơ môi trường quan trọng và phổ biến nhất gây ra COPD trên toàn cầu là gì?,Khói bụi nghề nghiệp,Ô nhiễm không khí trong nhà,Khói thuốc lá,Nhiễm trùng hô hấp tái diễn,,c,Hút thuốc lá (kể cả hút thuốc thụ động) là yếu tố nguy cơ hàng đầu và phổ biến nhất gây suy giảm chức năng phổi dẫn đến COPD. Nguồn: Bệnh học nội khoa YHN.
noi-copd-n2-mcq-003,noi,COPD,Hô hấp,,Yếu tố di truyền nào sau đây đã được chứng minh chắc chắn là nguyên nhân gây ra COPD?,Thiếu hụt men Alpha-1 antitrypsin,Đột biến gen CFTR,Đột biến gen EGFR,Thiếu hụt men Glucose-6-phosphate dehydrogenase,,a,"Thiếu Alpha-1 antitrypsin làm mất cân bằng hệ protease-antiprotease, dẫn đến phá hủy phế nang sớm, gây khí phế thũng ở người trẻ dù không hút thuốc. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-004,noi,COPD,Hô hấp,,Khẳng định nào sau đây ĐÚNG khi so sánh đợt cấp COPD với sự dao động triệu chứng hàng ngày?,Đợt cấp tự thuyên giảm sau khi nghỉ ngơi,Đợt cấp là sự thay đổi cấp tính cần phải thay đổi phác đồ điều trị thường quy,Đợt cấp chỉ xảy ra ở bệnh nhân suy hô hấp mạn,Đợt cấp bắt buộc phải có dấu hiệu nhiễm trùng,,b,"Đợt cấp được định nghĩa là tình trạng các triệu chứng hô hấp xấu đi cấp tính, vượt quá những dao động bình thường hàng ngày và đòi hỏi phải thay đổi thuốc điều trị. Nguồn: GOLD."
noi-copd-n2-mcq-005,noi,COPD,Hô hấp,,Tỷ lệ nam giới mắc COPD thường cao hơn nữ giới chủ yếu do nguyên nhân nào?,Yếu tố nội tiết tố nam,Cấu trúc đường thở nam giới nhỏ hơn,Tỷ lệ hút thuốc lá và phơi nhiễm nghề nghiệp cao hơn,Nam giới dễ bị nhiễm trùng hô hấp hơn,,c,"Sự khác biệt về dịch tễ học chủ yếu do sự chênh lệch về tỷ lệ hút thuốc và tiếp xúc yếu tố nguy cơ nghề nghiệp, hiện nay tỷ lệ ở nữ đang tăng lên. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-006,noi,COPD,Hô hấp,,Nhóm đối tượng nào sau đây có nguy cơ mắc COPD do ô nhiễm không khí trong nhà cao nhất?,Công nhân hầm mỏ,"Phụ nữ sử dụng bếp củi, than tổ ong ở nông thôn",Nhân viên văn phòng,Công nhân xây dựng,,b,"Đốt nhiên liệu sinh khối (củi, than, rơm rạ) trong môi trường thông khí kém là yếu tố nguy cơ chính gây COPD ở phụ nữ tại các nước đang phát triển. Nguồn: GOLD."
noi-copd-n2-mcq-007,noi,COPD,Hô hấp,,Vị trí giải phẫu nào là nơi khởi phát tình trạng giới hạn luồng khí sớm nhất trong COPD?,Khí quản,Phế quản gốc,Đường thở nhỏ có đường kính < 2 mm,Phế nang,,c,Viêm và hẹp các tiểu phế quản tận (đường thở nhỏ < 2mm) là tổn thương sinh lý bệnh sớm nhất và quan trọng nhất gây cản trở luồng khí. Nguồn: Bệnh học nội khoa YHN.
noi-copd-n2-mcq-008,noi,COPD,Hô hấp,,Tế bào viêm nào đóng vai trò chủ đạo trong sinh bệnh học của COPD?,Bạch cầu ái toan và tế bào mast,"Bạch cầu trung tính, đại thực bào và lympho T CD8+",Lympho T CD4+ và tế bào B,Tế bào biểu mô và tế bào nội mô,,b,"Bạch cầu trung tính, đại thực bào phế nang và tế bào T CD8+ giải phóng các enzyme phá hủy mô phổi, phân biệt với mô hình viêm do bạch cầu ái toan trong hen. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-009,noi,COPD,Hô hấp,,"Hiện tượng ""căng phồng phổi động"" (dynamic hyperinflation) trong COPD xảy ra mạnh nhất vào thời điểm nào?",Khi ngủ sâu,Khi nghỉ ngơi tĩnh tại,Khi gắng sức,Khi hít vào gắng sức,,c,"Khi gắng sức, nhịp thở tăng làm rút ngắn thời gian thở ra. Khí bị bẫy lại nhiều hơn trong phế nang gây căng phồng phổi động, làm bệnh nhân khó thở dữ dội. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-010,noi,COPD,Hô hấp,,Cơ chế chính gây tăng áp lực động mạch phổi trong giai đoạn muộn của COPD là gì?,Tăng cung lượng tim bù trừ,Hẹp van động mạch phổi thứ phát,Co mạch phổi do thiếu oxy phế nang mạn tính,Huyết khối tĩnh mạch sâu lấp mạch phổi,,c,"Thiếu oxy phế nang mạn tính gây co thắt động mạch phổi (cơ chế Euler-Liljestrand) và tái cấu trúc mạch máu, dẫn đến tăng áp phổi và tâm phế mạn. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-011,noi,COPD,Hô hấp,,Đặc điểm tổn thương mô học điển hình của khí phế thũng là gì?,Dày tầng cơ trơn phế quản,Phá hủy thành phế nang không kèm xơ hóa rõ rệt,Quá sản tuyến tiết nhầy,Phù nề lớp dưới niêm mạc,,b,"Khí phế thũng được định nghĩa về mặt giải phẫu bệnh là sự giãn rộng vĩnh viễn các khoang chứa khí dưới tiểu phế quản tận, kèm phá hủy vách mà không có xơ hóa. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-012,noi,COPD,Hô hấp,,"Trong COPD, hiện tượng ""bẫy khí"" (air trapping) dẫn đến sự thay đổi nào về thể tích phổi?",Giảm dung tích toàn phổi (TLC),Giảm thể tích cặn (RV),Tăng dung tích sống gắng sức (FVC),Tăng thể tích cặn (RV) và dung tích cặn chức năng (FRC),,d,"Đường thở nhỏ xẹp lại lúc thở ra làm khí ứ đọng, dẫn đến tăng thể tích cặn (RV) và dung tích cặn chức năng (FRC), làm lồng ngực căng phồng. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-013,noi,COPD,Hô hấp,,Biểu hiện toàn thân nào KHÔNG phải là hệ quả sinh lý bệnh trực tiếp của viêm mạn tính trong COPD?,Suy mòn cơ bắp,Đái tháo đường typ 1,Loãng xương,Bệnh tim mạch thiếu máu cục bộ,,b,"Viêm hệ thống trong COPD làm tăng nguy cơ suy kiệt, loãng xương và bệnh mạch vành (hội chứng chuyển hóa, ĐTĐ typ 2 chứ không phải typ 1). Nguồn: GOLD."
noi-copd-n2-mcq-014,noi,COPD,Hô hấp,,Viêm phế quản mạn tính theo định nghĩa lâm sàng kinh điển là tình trạng ho khạc đờm ít nhất trong bao lâu?,1 tháng mỗi năm trong 3 năm liên tiếp,3 tháng mỗi năm trong 2 năm liên tiếp,6 tháng liên tục,2 tháng mỗi năm trong 3 năm liên tiếp,,b,Định nghĩa lâm sàng kinh điển của viêm phế quản mạn là ho khạc đờm ít nhất 3 tháng trong 1 năm và trong ít nhất 2 năm liên tiếp (sau khi loại trừ các nguyên nhân khác). Nguồn: Bệnh học nội khoa YHN.
noi-copd-n2-mcq-015,noi,COPD,Hô hấp,,Triệu chứng cơ năng nào thường khiến bệnh nhân COPD phải đi khám bệnh lần đầu tiên?,Ho khan về đêm,Ho ra máu,Khó thở khi gắng sức,Đau tức ngực trái,,c,"Bệnh nhân thường bỏ qua triệu chứng ho khạc đờm mạn tính do hút thuốc, và chỉ đi khám khi thấy khó thở lúc gắng sức ảnh hưởng đến sinh hoạt. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-016,noi,COPD,Hô hấp,,Tính chất khó thở điển hình của bệnh nhân COPD là gì?,"Khó thở từng cơn, chủ yếu về đêm và sáng sớm","Khó thở liên tục, tiến triển nặng dần theo thời gian","Khó thở xuất hiện đột ngột, kèm đau ngực","Khó thở thì hít vào, kèm tiếng rít",,b,"Khó thở trong COPD có đặc điểm là dai dẳng, nặng dần theo thời gian và tăng lên khi gắng sức hoặc nhiễm trùng. Khó thở cơn về đêm gợi ý hen hoặc suy tim. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-017,noi,COPD,Hô hấp,,Lồng ngực hình thùng trong COPD là hậu quả của tình trạng nào?,Xẹp thùy phổi mạn tính,Viêm dày màng phổi,Ứ khí phế nang và căng phồng phổi mạn tính,Loãng xương gây xẹp đốt sống,,c,"Ứ khí mạn tính làm tăng thể tích phổi, đẩy xương ức ra trước và xương sườn nằm ngang, làm đường kính trước-sau gần bằng đường kính ngang (lồng ngực hình thùng). Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-018,noi,COPD,Hô hấp,,Dấu hiệu Hoover ở bệnh nhân COPD nặng được mô tả như thế nào?,Tĩnh mạch cổ nổi to khi hít vào,Bờ sườn di chuyển vào trong ở thì hít vào,Khoang liên sườn co kéo ở thì thở ra,Khí quản bị kéo lệch sang một bên,,b,"Cơ hoành bị đẩy dẹt do phổi ứ khí, khi co thắt ở thì hít vào thay vì đẩy xuống dưới lại kéo bờ sườn vào trong. Đây là dấu hiệu của mệt mỏi cơ hô hấp. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-019,noi,COPD,Hô hấp,,"Đặc điểm lâm sàng nào đặc trưng cho kiểu hình ""viêm phế quản mạn"" (Blue bloater) so với ""khí phế thũng"" (Pink puffer)?","Thể trạng gầy, suy kiệt","Tím tái sớm, phù, ho khạc đờm nhiều",Khó thở xuất hiện rất sớm,Lồng ngực hình thùng rất rõ,,b,"Bệnh nhân Blue bloater thường béo, ho khạc đờm nhiều, tím tái sớm do thiếu oxy và ứ CO2, dễ bị tâm phế mạn. Pink puffer thường gầy, khó thở nhiều, thở chúm môi. Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-020,noi,COPD,Hô hấp,,"Bệnh nhân nam 60 tuổi mô tả: ""Tôi đi bộ chậm hơn người cùng tuổi trên đường bằng vì khó thở, hoặc phải dừng lại để thở khi đi trên đường bằng theo nhịp của mình"". Theo thang điểm mMRC, bệnh nhân ở độ mấy?",mMRC 1,mMRC 2,mMRC 3,mMRC 4,,b,mMRC 2: Khó thở khiến bệnh nhân phải đi chậm hơn người cùng tuổi trên đường bằng hoặc phải dừng lại để thở khi đi theo nhịp của mình. Nguồn: GOLD.
noi-copd-n2-mcq-021,noi,COPD,Hô hấp,,"Bệnh nhân được phân loại là có ""nhiều triệu chứng"" khi có điểm số CAT (COPD Assessment Test) từ bao nhiêu trở lên?",≥ 5,≥ 10,≥ 15,≥ 20,,b,"Ngưỡng để phân loại nhóm ít triệu chứng (A) và nhiều triệu chứng (B, E) theo GOLD là mMRC ≥ 2 hoặc CAT ≥ 10. Nguồn: GOLD."
noi-copd-n2-mcq-022,noi,COPD,Hô hấp,,Dấu hiệu nào trên khám thực thể gợi ý bệnh nhân COPD đã có biến chứng tâm phế mạn?,"Dấu hiệu Harzer dương tính, gan to tĩnh mạch cổ nổi",Rì rào phế nang giảm hai đáy phổi,"Rung thanh tăng, gõ đục",Ngón tay dùi trống,,a,"Dấu hiệu Harzer (nhịp đập thất phải ở mũi ức) và tĩnh mạch cổ nổi, phù chi dưới, gan to là các dấu hiệu của suy tim phải (tâm phế mạn). Nguồn: Bệnh học nội khoa YHN."
noi-copd-n2-mcq-023,noi,COPD,Hô hấp,,"Bệnh nhân có tiền sử hút thuốc nhiều năm, ho khạc đờm mủ lượng lớn (> 100ml/ngày) thành 3 lớp, khám có ran nổ hạt to. Chẩn đoán phân biệt nào cần nghĩ tới đầu tiên?",Hen phế quản,Giãn phế quản,Lao phổi,Ung thư phổi,,b,"Ho khạc đờm mủ số lượng lớn, đặc biệt đờm chia 3 lớp và ran ẩm/nổ to hạt khu trú là triệu chứng kinh điển của giãn phế quản, cần phân biệt với COPD. Nguồn: Bệnh học nội khoa YHN."
