id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-shock-mcq-001,noi,Shock,Hồi sức cấp cứu,,Định nghĩa kinh điển và cốt lõi nhất của sốc là gì?,Tình trạng tụt huyết áp nặng kéo dài,Tình trạng mất cân bằng cung cầu oxy tại mô,Tình trạng suy đa tạng không hồi phục,Tình trạng giảm thể tích tuần hoàn tuyệt đối,,b,"Sốc bản chất là sự suy giảm tưới máu tổ chức dẫn đến thiếu oxy tế bào, không chỉ đơn thuần là tụt huyết áp. Nguồn: Bệnh học nội khoa YHN."
noi-shock-mcq-002,noi,Shock,Hồi sức cấp cứu,,"Theo tiêu chuẩn Sepsis-3, nhiễm khuẩn huyết được định nghĩa là tình trạng nào sau đây?",Nhiễm khuẩn có kèm theo tụt huyết áp,Hội chứng đáp ứng viêm hệ thống do nhiễm trùng,Rối loạn chức năng cơ quan do đáp ứng mất điều hòa của ký chủ với nhiễm trùng,Tình trạng vi khuẩn nhân lên và giải phóng độc tố trong máu,,c,"Sepsis-3 loại bỏ định nghĩa cũ dựa trên SIRS và nhấn mạnh vào yếu tố ""rối loạn chức năng cơ quan đe dọa tính mạng"". Nguồn: Guideline SSC 2021."
noi-shock-mcq-003,noi,Shock,Hồi sức cấp cứu,,Tiêu chuẩn chẩn đoán sốc nhiễm khuẩn theo Sepsis-3 bao gồm nhu cầu dùng thuốc vận mạch để duy trì huyết áp trung bình (MAP) ≥ 65 mmHg và điều kiện nào sau đây?,Tiểu niệu dưới 0.5 ml/kg/h,Chỉ số SOFA tăng ≥ 2 điểm,Lactate máu > 2 mmol/L dù đã bù đủ dịch,Rối loạn ý thức không do nguyên nhân thần kinh,,c,Tiêu chuẩn kép của sốc nhiễm khuẩn là tụt huyết áp cần vận mạch (MAP ≥ 65) và biểu hiện giảm tưới máu tế bào (Lactate > 2 mmol/L). Nguồn: Guideline SSC 2021.
noi-shock-mcq-004,noi,Shock,Hồi sức cấp cứu,,Nguyên nhân hàng đầu gây sốc tim tại khoa cấp cứu là bệnh lý nào?,Viêm cơ tim cấp,Nhồi máu cơ tim cấp,Rối loạn nhịp tim,Bệnh van tim nặng,,b,Nhồi máu cơ tim cấp (đặc biệt nhồi máu diện rộng thất trái) là nguyên nhân thường gặp nhất và chiếm tỷ lệ tử vong cao nhất trong sốc tim. Nguồn: Bệnh học nội khoa YHN.
noi-shock-mcq-005,noi,Shock,Hồi sức cấp cứu,,Nhóm sốc nào sau đây chiếm tỷ lệ cao nhất ở bệnh nhân điều trị tại khoa Hồi sức tích cực (ICU)?,Sốc tim,Sốc giảm thể tích,Sốc tắc nghẽn,Sốc phân bố,,d,Sốc phân bố (chủ yếu là sốc nhiễm khuẩn) chiếm khoảng 62-66% các trường hợp sốc tại ICU.
noi-shock-mcq-006,noi,Shock,Hồi sức cấp cứu,,Thang điểm qSOFA được sử dụng để sàng lọc nhanh nhiễm khuẩn huyết bao gồm các tiêu chí nào?,"Mạch nhanh, tụt huyết áp, sốt cao","Nhịp thở nhanh, thay đổi ý thức, huyết áp tâm thu giảm","Sốt, bạch cầu tăng, nhịp thở nhanh","Thiểu niệu, tụt huyết áp, thay đổi ý thức",,b,"qSOFA gồm 3 tiêu chí: Nhịp thở ≥ 22 l/p, thay đổi ý thức (GCS < 15), Huyết áp tâm thu ≤ 100 mmHg. Nguồn: Guideline SSC 2021."
noi-shock-mcq-007,noi,Shock,Hồi sức cấp cứu,,Đặc điểm huyết động nào sau đây là đặc trưng nhất của sốc phân bố ở giai đoạn sớm?,"Cung lượng tim giảm, sức cản mạch hệ thống tăng","Cung lượng tim tăng, sức cản mạch hệ thống giảm","Áp lực tĩnh mạch trung tâm tăng, cung lượng tim giảm","Cung lượng tim bình thường, thể tích nhát bóp giảm",,b,"Sốc phân bố đặc trưng bởi giãn mạch rộng rãi làm giảm sức cản mạch hệ thống (SVR), cơ thể bù trừ bằng cách tăng cung lượng tim (CO)."
noi-shock-mcq-008,noi,Shock,Hồi sức cấp cứu,,"Trong sốc giảm thể tích, cơ chế bù trừ sinh lý nào xuất hiện sớm nhất để duy trì tưới máu não và tim?",Tăng tiết ADH từ tuyến yên,Kích hoạt hệ thần kinh giao cảm,Hoạt hóa hệ Renin-Angiotensin-Aldosterone,Huy động dịch từ khoảng kẽ vào lòng mạch,,b,Phản xạ giao cảm xảy ra ngay lập tức (vài giây đến vài phút) gây nhịp tim nhanh và co mạch ngoại vi để duy trì huyết áp. Nguồn: Bệnh học nội khoa YHN.
noi-shock-mcq-009,noi,Shock,Hồi sức cấp cứu,,Sự gia tăng nồng độ Lactate máu trong sốc chủ yếu do cơ chế sinh lý bệnh nào?,Tăng đường phân ái khí tại gan,Suy giảm chức năng lọc của cầu thận,Chuyển hóa kỵ khí do thiếu oxy tại mô,Vi khuẩn giải phóng độc tố vào máu,,c,"Khi cung cấp oxy tổ chức giảm, tế bào chuyển sang hô hấp kỵ khí, tạo ra sản phẩm phụ là acid lactic. Đây là dấu ấn nhạy của tình trạng giảm tưới máu."
noi-shock-mcq-010,noi,Shock,Hồi sức cấp cứu,,Cơ chế chính của sốc phản vệ thuộc loại quá mẫn nào theo phân loại Gell và Coombs?,Quá mẫn type I,Quá mẫn type II,Quá mẫn type III,Quá mẫn type IV,,a,Sốc phản vệ là phản ứng quá mẫn type I qua trung gian kháng thể IgE gắn trên tế bào mast và bạch cầu ái kiềm giải phóng ồ ạt các hóa chất trung gian.
