id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hrm-001,noi,Ho ra máu,Hô hấp,Ho ra máu >200ml/24h là ho ra máu mức độ,Nặng,Rất nặng,Nhẹ,Vừa,,a,
noi-hrm-002,noi,Ho ra máu,Hô hấp,Soi PQ có ho máu nhằm MĐ:,Chảy máu PQ,Chảy máu PN,Soi đờm tim NN,Xác định vị trí chảy máu,,d,
noi-hrm-003,noi,Ho ra máu,Hô hấp,Ho máu trên 50-200ml/24h là loại:,Ho máu nặng.,Ho máu cấp cứu.,Ho máu trung bình.,Ho máu nhẹ,,c,
noi-hrm-004,noi,Ho ra máu,Hô hấp,Đuôi khái huyết là:,Ho ra máu có hình sợi như cái đuôi,Có nhiều sợi máu lẫn trong đàm,Máu ho ra có hình dạng của phế quản,Máu có số lượng giảm dần và sẫm dần,Máu ho ra có màu đỏ tươi và đỏ sẫm xen kẽ,d,
noi-hrm-005,noi,Ho ra máu,Hô hấp,"Nguyên nhân gây ho ra máu, trừ?",Lao phổi,Hạ huyết áp,Viêm phổi,Ung thư phổi,,b,
noi-hrm-006,noi,Ho ra máu,Hô hấp,"Bệnh nhân bị ho ra máu, vào viện cần làm gì, trừ?",Hồi sức BN tốt,Cần phải cầm máu và điều trị nguyên nhân,Chẩn đoán và điều trị sớm mọi BN ho máu,Điều trị ngay nguyên nhân ho ra máu,,d,
noi-hrm-007,noi,Ho ra máu,Hô hấp,Ho máu vài ml/24h là:,Mức độ ít,Mức độ vừa,Mức độ nặng,Mức độ nguy kịch,,a,
noi-hrm-008,noi,Ho ra máu,Hô hấp,Mục đích nội soi PQ trong ho máu nào sau đây không đúng:,Chẩn đoán ho máu,Chẩn đoán vị trí máu chảy,Can thiệp cầm máu,,,a,
noi-hrm-009,noi,Ho ra máu,Hô hấp,Chỉ định phẫu thuật trong ho máu trừ:,Giãn PQ khu trú,Tắc nghẽn,Suy hô hấp mạn,Ho máu tái phát,,c,
noi-hrm-010,noi,Ho ra máu,Hô hấp,Chỉ định mổ ở bệnh nhân ho máu,Ho máu tái phát nhiều đợt,"Ho máu dai dẳng, bệnh nhân suy kiệt",Ho máu trong đợt viêm phổi bội nhiễm,Ho ra máu không cầm được máu qua chụp động mạch phế quản,,d,
noi-hrm-011,noi,Ho ra máu,Hô hấp,"Điều trị ho máu, trừ:","Nghỉ ngơi, tránh vận động",Uống đá lạnh,Vận động nhanh,Dẫn lưu tư thế,,c,
noi-hrm-012,noi,Ho ra máu,Hô hấp,Ho máu điều tri ngoại khi nào:,Ho máu tái phát nặng,Ho máu có suy hô hấp,Ho máu có u phổi,Ho máu nặng có giãn phế quản lan tỏa Trong ho máu tái phát nặng có thể chụp ĐM PQ và gây tắc,,c,(gđ còn mổ được)
noi-hrm-013,noi,Ho ra máu,Hô hấp,"Nội soi phế quản trong trường hợp ho máu nhằm các mục đích sau, trừ:",Xác định vị trí tổn thương,Xác định mức độ chảy máu,Cầm máu,Xác định nguyên nhân tổn thương,,b,
noi-hrm-014,noi,Ho ra máu,Hô hấp,Chỉ định phẫu thuật ho ra máu:,Ho ra máu nặng,Ho ra máu nhiều ở 1 bên phổi khi không có điều kiện chụp mạch và gây tắc đm phê quản,Ho ra máu tắc nghẽn.,Ho máu do u,,b,
noi-hrm-015,noi,Ho ra máu,Hô hấp,"Chẩn đoán nguyên nhân ho ra máu cần làm các thăm dò sau, trừ:",Nội soi phế quản,XQ tim phổi,Chụp CLVT ngực,Nội soi dạ dày tá tràng,,d,
noi-hrm-016,noi,Ho ra máu,Hô hấp,Điều trị ho ra máu rất nặng:,Nội soi phế quản,Chụp động mạch và nút mạch,Bồi phụ thể tích tuần hoàn,Cả 3 ý trên,,d,
noi-hrm-017,noi,Ho ra máu,Hô hấp,Nguyên nhân ho ra máu do nguyên nhân ngoài phổi thường gặp nhất là:,Bệnh bạch cầu cấp,Hẹp van 2 lá,Suy tim phải,Suy chức năng gan,Sốt rét,b,
noi-hrm-018,noi,Ho ra máu,Hô hấp,Triệu chứng sớm có giá trị nhất để đánh giá mức độ ho ra máu là:,Số lượng máu mất,Số lượng hồng cầu,Thể tích hồng cầu (Hct),Mạch nhanh,Móng tay móng chân,a,
noi-hrm-019,noi,Ho ra máu,Hô hấp,Triệu chứng nào sau đây không có giá trị đánh giá mức độ ho ra máu cấp:,Huyết áp,Mạch,Nhịp thở,Tinh thần kinh,Móng tay móng chân,e,
noi-hrm-020,noi,Ho ra máu,Hô hấp,Triệu chứng quan trọng nhất giúp phân biệt ho ra máu và nôn ra máu là:,Số lượng máu mất,Số lượng hồng cầu,Màu sắc của máu,Đuôi khái huyết,Biểu hiện tim đập,c,
noi-hrm-021,noi,Ho ra máu,Hô hấp,"Khi bệnh nhân ho ra máu cấp, thái độ đầu tiên của thầy thuốc là:","Để bệnh nhân nằm yên nghỉ, khám xét nhanh để đánh giá độ trầm trọng",Hỏi bệnh sử và khám xét thật kĩ,Làm đầy đủ xét nghiệm để xác định chẩn đoán,Chuyển lên tuyến trên sớm để giải quyết,Chuyền ngay Glucose hay Manitol ưu tương để bù dịch,a,
