id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-rl-kali-k-mcq-001,noi,RL kali (K+),Hồi sức cấp cứu,,Tổng lượng kali trong cơ thể chủ yếu phân bố ở khoang nào?,Dịch nội bào,Dịch kẽ,Huyết tương,Dịch não tủy,,a,"Khoảng 98% lượng kali trong cơ thể nằm ở dịch nội bào. Đây là ion dương chính nội bào, quyết định điện thế nghỉ màng tế bào. (Nguồn: Bệnh học nội khoa YHN)"
noi-rl-kali-k-mcq-002,noi,RL kali (K+),Hồi sức cấp cứu,,Nồng độ kali máu bình thường ở người trưởng thành nằm trong khoảng nào?,2.5 - 3.5 mmol/L,3.5 - 5.0 mmol/L,4.5 - 6.0 mmol/L,135 - 145 mmol/L,,b,Nồng độ kali máu bình thường duy trì từ 3.5 đến 5.0 mmol/L. Mức > 5.0 là tăng và < 3.5 là hạ kali máu.
noi-rl-kali-k-mcq-003,noi,RL kali (K+),Hồi sức cấp cứu,,"Hạ kali máu được định nghĩa là mức độ nặng, đe dọa tính mạng khi nồng độ kali máu dưới mốc nào?",3.5 mmol/L,3.0 mmol/L,2.5 mmol/L,2.0 mmol/L,,c,"Hạ kali máu nặng thường được định nghĩa khi K+ < 2.5 mmol/L, lúc này nguy cơ rối loạn nhịp tim và yếu liệt cơ hô hấp tăng rất cao."
noi-rl-kali-k-mcq-004,noi,RL kali (K+),Hồi sức cấp cứu,,Tăng kali máu mức độ nặng thường được xác định khi nồng độ kali huyết thanh vượt quá mốc nào?,5.5 mmol/L,6.0 mmol/L,6.5 mmol/L,7.5 mmol/L,,c,K+ > 6.5 mmol/L được coi là tăng kali máu nặng và cần can thiệp cấp cứu ngay lập tức bất kể có triệu chứng điện tim hay không. (Nguồn: CURRENT Medical Diagnosis & Treatment 2026)
noi-rl-kali-k-mcq-005,noi,RL kali (K+),Hồi sức cấp cứu,,"Nguyên nhân thường gặp nhất gây tình trạng ""tăng kali máu giả tạo"" trên lâm sàng là gì?",Tán huyết khi lấy máu,Suy thận cấp,Nhiễm toan ceton,Sử dụng lợi tiểu giữ kali,,a,"Tán huyết (vỡ hồng cầu) khi garo quá chặt hoặc bơm máu mạnh giải phóng kali từ nội bào ra huyết thanh, gây tăng K+ giả tạo. Các đáp án còn lại gây tăng K+ thực sự."
noi-rl-kali-k-mcq-006,noi,RL kali (K+),Hồi sức cấp cứu,,Cơ quan nào đóng vai trò chính yếu nhất trong việc bài xuất kali ra khỏi cơ thể?,Tuyến mồ hôi,Gan,Ruột non,Thận,,d,"Thận đảm nhiệm bài tiết khoảng 90% lượng kali dư thừa hàng ngày, phần nhỏ còn lại qua phân và mồ hôi."
noi-rl-kali-k-mcq-007,noi,RL kali (K+),Hồi sức cấp cứu,,Hormon nào sau đây có tác dụng vận chuyển trực tiếp kali từ dịch ngoại bào vào trong tế bào?,Glucagon,Insulin,Cortisol,Thyroxine,,b,"Insulin kích thích bơm Na+-K+-ATPase màng tế bào, đẩy K+ từ máu vào nội bào. Đây là cơ chế dùng insulin điều trị cấp cứu tăng kali."
noi-rl-kali-k-mcq-008,noi,RL kali (K+),Hồi sức cấp cứu,,Sự thay đổi pH máu ảnh hưởng đến nồng độ kali máu theo cơ chế nào?,Nhiễm toan làm kali di chuyển vào trong tế bào,Nhiễm kiềm làm kali di chuyển từ tế bào ra máu,Nhiễm toan làm kali di chuyển từ tế bào ra máu,Thay đổi pH không ảnh hưởng đến phân bố kali,,c,"Trong nhiễm toan, H+ dư thừa đi vào tế bào để đệm, đổi chỗ cho K+ đi ra ngoại bào gây tăng kali máu. Ngược lại trong nhiễm kiềm."
noi-rl-kali-k-mcq-009,noi,RL kali (K+),Hồi sức cấp cứu,,Thuốc cường beta-2 adrenergic ảnh hưởng đến kali máu như thế nào?,Ức chế hấp thu kali ở ruột,Tăng đào thải kali qua thận,Kích thích kali đi vào tế bào,Kích thích tế bào giải phóng kali,,c,"Cường beta-2 (như salbutamol) kích hoạt bơm Na-K-ATPase, làm K+ đi vào tế bào gây hạ kali máu. Đây là thuốc dùng hạ kali máu cấp cứu."
noi-rl-kali-k-mcq-010,noi,RL kali (K+),Hồi sức cấp cứu,,Aldosteron điều hòa kali tại ống thận theo cơ chế nào?,Tăng tái hấp thu natri và tăng bài tiết kali,Tăng bài tiết natri và tăng tái hấp thu kali,Giảm tái hấp thu cả natri và kali,Tăng tái hấp thu cả natri và kali,,a,"Tại ống lượn xa và ống góp, aldosteron giữ Na+ lại (kèm nước) và thải K+ cùng H+ ra nước tiểu."
