id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-buou-co-don-thuan-n2-mcq-001,noi,Bướu cổ đơn thuần,Nội tiết,,"Theo định nghĩa kinh điển, bướu giáp đơn thuần là tình trạng tuyến giáp to nhưng:",Không kèm theo rối loạn chức năng tuyến giáp,Có kèm theo tình trạng cường giáp nhẹ,Luôn có sự hiện diện của các nhân giáp,Do quá trình viêm mạn tính gây ra,,a,"Bướu giáp đơn thuần (Simple goiter) là sự phì đại tuyến giáp mà không kèm theo suy giáp, cường giáp, viêm hay ung thư. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-002,noi,Bướu cổ đơn thuần,Nội tiết,,Một vùng được coi là có bướu giáp địa phương khi tỷ lệ bướu giáp ở trẻ em từ 6-12 tuổi vượt quá ngưỡng:,5%,10%,20%,30%,,a,"Theo WHO và giáo trình YHN, nếu tỷ lệ bướu giáp ở trẻ em độ tuổi đi học (6-12 tuổi) > 5% thì được gọi là vùng nội kết (địa phương). Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-003,noi,Bướu cổ đơn thuần,Nội tiết,,Đặc điểm dịch tễ nào sau đây là đặc trưng nhất của bướu giáp đơn thuần?,Tỷ lệ nam giới mắc bệnh cao hơn nữ giới,Thường khởi phát ở độ tuổi trung niên và người già,"Nữ giới mắc bệnh nhiều hơn nam giới, đặc biệt ở tuổi dậy thì",Bệnh chỉ xuất hiện ở những vùng thiếu hụt iod trầm trọng,,c,"Bệnh gặp ở nữ nhiều hơn nam (tỷ lệ có thể 4/1 đến 10/1), thường liên quan đến các giai đoạn thay đổi nội tiết như dậy thì, thai kỳ. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-004,noi,Bướu cổ đơn thuần,Nội tiết,,Loại bướu giáp đơn thuần nào thường gặp nhất ở giai đoạn sớm của bệnh?,Bướu giáp nhân,Bướu giáp hỗn hợp,Bướu giáp lan tỏa,Bướu giáp chìm sau xương ức,,c,"Ở giai đoạn đầu, dưới tác động của TSH, các tế bào tuyến giáp tăng sinh đồng đều tạo nên hình thái lan tỏa. Sau nhiều năm mới chuyển sang dạng nhân. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-005,noi,Bướu cổ đơn thuần,Nội tiết,,Yếu tố nào sau đây KHÔNG thuộc nhóm nguyên nhân gây bướu giáp đơn thuần?,Thiếu hụt iod trong chế độ ăn,"Sử dụng quá nhiều thực phẩm chứa thiocyanate (như sắn, bắp cải)",Rối loạn bẩm sinh trong quá trình tổng hợp hormone giáp,Tình trạng thừa hormone giáp do thuốc điều trị,,d,Thừa hormone giáp (cường giáp do thuốc) sẽ ức chế TSH và không gây bướu giáp đơn thuần; đây là tình trạng nhiễm độc giáp. Nguồn: Bệnh học nội khoa YHN.
noi-buou-co-don-thuan-n2-mcq-006,noi,Bướu cổ đơn thuần,Nội tiết,,"Trong bướu giáp đơn thuần, nồng độ TSH trong máu thường ở mức:",Rất thấp (bị ức chế),Bình thường hoặc tăng nhẹ,Tăng rất cao như trong suy giáp,Dao động mạnh theo chu kỳ ngày đêm,,b,"Để duy trì trạng thái bình giáp khi hiệu suất tổng hợp hormone giảm, TSH thường ở mức bình thường cao hoặc tăng nhẹ để kích thích tuyến giáp to ra. Nguồn: Bệnh học nội khoa YHN. II. SINH LÝ BỆNH, CƠ CHẾ BỆNH SINH"
noi-buou-co-don-thuan-n2-mcq-007,noi,Bướu cổ đơn thuần,Nội tiết,,Cơ chế bệnh sinh cốt lõi của bướu giáp đơn thuần do thiếu iod là:,"Giảm tổng hợp T3, T4 dẫn đến tăng tiết TSH theo cơ chế feedback",Sự tấn công của các tự kháng thể kháng receptor TSH,Quá trình viêm lympho bào gây phá hủy nhu mô tuyến,Tăng nhạy cảm của tế bào tuyến giáp với tác động của iod,,a,"Thiếu iod làm giảm nồng độ hormone giáp, kích thích tuyến yên tăng tiết TSH. TSH gây phì đại và tăng sinh tế bào tuyến giáp để bù đắp. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-008,noi,Bướu cổ đơn thuần,Nội tiết,,Tại sao bướu giáp lan tỏa lâu ngày thường chuyển thành bướu giáp nhân?,Do sự xuất hiện của các vi khuẩn gây áp xe khu trú,Do các vùng tế bào tuyến giáp có độ nhạy cảm khác nhau với TSH,Do nồng độ TSH giảm đột ngột sau giai đoạn tăng cao,Do sự lắng đọng canxi tại các vùng viêm nhiễm,,b,"Các clone tế bào có tính chất di truyền và độ nhạy TSH khác nhau, dẫn đến sự phát triển không đồng đều và hình thành nhân. Nguồn: CMDT 2026."
noi-buou-co-don-thuan-n2-mcq-009,noi,Bướu cổ đơn thuần,Nội tiết,,Vai trò của thực phẩm như sắn (khoai mì) trong cơ chế gây bướu giáp là do chứa chất:,Perchlorate ức chế bơm iod,Thiocyanate ức chế sự hữu cơ hóa iod,Flavonoid ức chế enzyme Deiodinase,Lithium gây cản trở giải phóng hormone,,b,"Sắn chứa glycoside cyanogenic, khi vào cơ thể chuyển thành thiocyanate, cạnh tranh và ức chế quá trình hữu cơ hóa iod trong tuyến giáp. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-010,noi,Bướu cổ đơn thuần,Nội tiết,,Sự gia tăng nồng độ Estrogen trong thời kỳ dậy thì hoặc mang thai gây to tuyến giáp thông qua cơ chế:,Kích thích trực tiếp thụ thể TSH trên màng tế bào,Tăng tổng hợp TBG làm giảm nồng độ hormone tự do tạm thời,Ức chế trực tiếp quá trình thu nhận iod tại tế bào,Gây viêm tuyến giáp không do vi khuẩn,,b,"Estrogen làm tăng nồng độ globulin gắn Thyroxine (TBG), dẫn đến giảm T4 tự do, từ đó kích thích nhẹ TSH gây to tuyến giáp. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-011,noi,Bướu cổ đơn thuần,Nội tiết,,"Hiện tượng ""thoát ức chế"" (Wolff-Chaikoff effect) liên quan đến:",Sự giảm nồng độ TSH khi uống quá nhiều iod,Tuyến giáp tự ngừng tổng hợp hormone khi nồng độ iod trong máu quá cao,Quá trình tế bào tuyến giáp tăng thu nhận iod khi cơ thể thiếu hụt,Sự chuyển đổi từ T4 sang T3 mạnh mẽ tại ngoại vi,,b,Đây là cơ chế bảo vệ tự nhiên ngăn chặn nhiễm độc giáp khi nồng độ iod tăng cao đột ngột bằng cách tạm ngừng hữu cơ hóa iod. Nguồn: CMDT 2026.
noi-buou-co-don-thuan-n2-mcq-012,noi,Bướu cổ đơn thuần,Nội tiết,,"Trong cơ chế bệnh sinh của bướu giáp nhân đơn thuần, sự xuất hiện của các nhân ""nóng"" (hot nodules) gợi ý điều gì?",Nhân giáp bị ung thư hóa,"Nhân giáp có sự hoạt động tự chủ, không phụ thuộc TSH",Nhân giáp đang trong quá trình xuất huyết,Nhân giáp có chứa nhiều tế bào viêm,,b,"Nhân nóng trên xạ hình là biểu hiện của các vùng nhu mô tăng bắt phóng xạ, thường do đột biến receptor TSH dẫn đến hoạt động tự chủ. Nguồn: CMDT 2026."
noi-buou-co-don-thuan-n2-mcq-013,noi,Bướu cổ đơn thuần,Nội tiết,,Yếu tố tăng trưởng nào sau đây phối hợp với TSH thúc đẩy sự phì đại tuyến giáp?,IGF-1 (Insulin-like Growth Factor 1),Erythropoietin,Gastrin,Angiotensin II,,a,IGF-1 đóng vai trò quan trọng trong việc tăng cường tác động của TSH lên sự tăng trưởng tế bào biểu mô tuyến giáp. Nguồn: CMDT 2026.
noi-buou-co-don-thuan-n2-mcq-014,noi,Bướu cổ đơn thuần,Nội tiết,,Bướu giáp đơn thuần KHÔNG có đặc điểm sinh lý bệnh nào sau đây?,Giảm nồng độ dự trữ iod trong tuyến,Tăng tỷ lệ T3/T4 trong các nang giáp,Tăng nồng độ các tự kháng thể kháng thụ thể TSH (TRAb),Tăng tốc độ chu chuyển iod trong tuyến,,c,"Sự xuất hiện của TRAb là đặc trưng của bệnh Graves (Basedow), không có trong bướu giáp đơn thuần. Nguồn: Bệnh học nội khoa YHN. III. TRIỆU CHỨNG LÂM SÀNG & CHẨN ĐOÁN PHÂN BIỆT"
noi-buou-co-don-thuan-n2-mcq-015,noi,Bướu cổ đơn thuần,Nội tiết,,Triệu chứng lâm sàng quan trọng nhất của bướu giáp đơn thuần là:,"Mệt mỏi, sợ lạnh, táo bón","Nhịp tim nhanh, gầy sút, lồi mắt","Tuyến giáp to, không đau, di động theo nhịp nuốt",Sốt cao kèm theo sưng nóng vùng cổ,,c,"Bệnh tiến triển âm thầm, triệu chứng cơ năng thường nghèo nàn, chủ yếu là phát hiện tuyến giáp to khi thăm khám hoặc tình cờ. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-016,noi,Bướu cổ đơn thuần,Nội tiết,,"Theo phân loại của WHO (2001), bướu giáp độ 1 được xác định khi:",Nhìn thấy bướu khi bệnh nhân ở tư thế bình thường,Sờ thấy bướu nhưng không nhìn thấy bướu ở tư thế cổ ngửa tối đa,Sờ thấy bướu và nhìn thấy bướu khi cổ ngửa tối đa,Bướu rất lớn gây biến dạng vùng cổ,,c,Độ 1: Sờ thấy và nhìn thấy khi ngửa cổ tối đa. Độ 2: Nhìn thấy ở tư thế cổ bình thường. Nguồn: Bệnh học nội khoa YHN.
noi-buou-co-don-thuan-n2-mcq-017,noi,Bướu cổ đơn thuần,Nội tiết,,"Nghiệm pháp Pemberton dương tính (đỏ mặt, tĩnh mạch cổ nổi khi giơ 2 tay lên cao) gợi ý:",Bướu giáp gây chèn ép tĩnh mạch chủ trên hoặc vào lồng ngực,Bệnh nhân bị cường giáp nặng,Có tình trạng viêm cấp tính tuyến giáp,Chèn ép dây thần kinh thanh quản quặt ngược,,a,Đây là dấu hiệu đặc trưng khi bướu lớn hoặc bướu chìm sau xương ức gây cản trở dòng máu trở về tim từ tĩnh mạch chủ trên. Nguồn: CMDT 2026.
noi-buou-co-don-thuan-n2-mcq-018,noi,Bướu cổ đơn thuần,Nội tiết,,"Khi khám một bướu giáp lan tỏa đơn thuần, cảm giác khi sờ thường là:",Rất cứng và cố định,"Mềm, mặt nhẵn, không có tiếng thổi","Chắc, bề mặt gồ ghề, có rung miu",Đau khi ấn và có hạch cổ kèm theo,,b,"Bướu đơn thuần lan tỏa có mật độ mềm, nhẵn. Nếu có tiếng thổi hoặc rung miu phải nghĩ đến bệnh Basedow. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-019,noi,Bướu cổ đơn thuần,Nội tiết,,Triệu chứng nào sau đây gợi ý bướu giáp đơn thuần đã có biến chứng chèn ép thực quản?,Khàn tiếng,Khó thở khi nằm,"Nuốt nghẹn, vướng ở cổ",Ho khan kéo dài,,c,"Thực quản nằm ngay sau tuyến giáp, bướu lớn hướng ra sau sẽ gây các triệu chứng về nuốt. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-020,noi,Bướu cổ đơn thuần,Nội tiết,,Khàn tiếng trong bệnh lý tuyến giáp thường do chèn ép vào dây thần kinh:,Thần kinh hoành,Thần kinh thanh quản quặt ngược,Thần kinh lưỡi thiệt,Thần kinh hạ thiệt,,b,"Dây thần kinh thanh quản quặt ngược nằm trong rãnh khí thực quản, rất dễ bị chèn ép bởi bướu giáp lớn hoặc xâm lấn bởi ung thư. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-021,noi,Bướu cổ đơn thuần,Nội tiết,,Đặc điểm giúp phân biệt bướu giáp đơn thuần với viêm tuyến giáp Hashimoto là:,Bướu giáp đơn thuần thường mềm hơn và kháng thể kháng tuyến giáp âm tính,Bướu giáp đơn thuần luôn đi kèm với nồng độ TSH thấp,Viêm tuyến giáp Hashimoto không bao giờ gây bướu to,Chỉ có bướu giáp đơn thuần mới có nhân,,a,"Hashimoto thường có mật độ chắc, bề mặt gồ ghề và quan trọng là kháng thể Anti-TPO hoặc Anti-Tg tăng rất cao. Nguồn: CMDT 2026."
noi-buou-co-don-thuan-n2-mcq-022,noi,Bướu cổ đơn thuần,Nội tiết,,"Một bệnh nhân nữ 20 tuổi, vùng cổ to lên, không đau, nhịp tim 75 chu kỳ/phút, không run tay. Chẩn đoán sơ bộ phù hợp nhất là:",Bệnh Basedow,Viêm tuyến giáp Quervain,Bướu giáp đơn thuần,Ung thư tuyến giáp thể tủy,,c,"Các triệu chứng lâm sàng cho thấy bệnh nhân ở trạng thái bình giáp và không có dấu hiệu viêm cấp, phù hợp với bướu đơn thuần ở tuổi trẻ. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-023,noi,Bướu cổ đơn thuần,Nội tiết,,Bướu giáp chìm (Retrosternal goiter) thường được phát hiện qua triệu chứng:,Đau ngực dữ dội,Khó thở tăng lên khi cúi đầu hoặc nằm ngửa,Tim đập nhanh liên tục,Tăng huyết áp kịch phát,,b,"Bướu chìm trong lồng ngực chèn ép khí quản tùy theo tư thế cổ, gây khó thở cơ giới. Nguồn: CMDT 2026."
noi-buou-co-don-thuan-n2-mcq-024,noi,Bướu cổ đơn thuần,Nội tiết,,"Khi nghe tại tuyến giáp trong bướu giáp đơn thuần, bác sĩ mong đợi kết quả:",Tiếng thổi tâm thu liên tục,Tiếng thổi tâm trương rõ rệt,Không nghe thấy tiếng thổi mạch,Tiếng cọ màng ngoài tim,,c,"Tiếng thổi mạch là dấu hiệu của tăng sinh mạch máu gặp trong Basedow, không có trong bướu đơn thuần. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-025,noi,Bướu cổ đơn thuần,Nội tiết,,Phân biệt bướu giáp nhân đơn thuần với ung thư tuyến giáp dựa chủ yếu vào đặc điểm lâm sàng nào sau đây (dù không tuyệt đối)?,Tốc độ lớn chậm qua nhiều năm,Kích thước bướu lớn > 5cm,Bướu di động tốt theo nhịp nuốt,Cả A và C đều đúng,,d,"Ung thư thường lớn nhanh, cứng, cố định và có thể kèm hạch. Bướu lành tính thường tiến triển rất chậm và di động tốt. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-026,noi,Bướu cổ đơn thuần,Nội tiết,,Dấu hiệu lâm sàng nào sau đây ở một bệnh nhân bướu cổ đơn thuần lâu năm cần phải cảnh giác với sự chuyển sang cường giáp (Jod- Basedow)?,Tuyến giáp nhỏ lại,Xuất hiện sụt cân và rung nhĩ dù nồng độ iod cung cấp bình thường,Bướu giáp trở nên đau khi chạm vào,Xuất hiện các triệu chứng phù niêm ở chân,,b,"Các nhân tự chủ trong bướu đa nhân lâu ngày có thể gây cường giáp, đặc biệt sau khi tiếp xúc với một lượng iod lớn. Nguồn: CMDT 2026. IV. CẬN LÂM SÀNG & TIÊU CHUẨN CHẨN ĐOÁN"
noi-buou-co-don-thuan-n2-mcq-027,noi,Bướu cổ đơn thuần,Nội tiết,,Xét nghiệm đầu tay và quan trọng nhất để đánh giá chức năng tuyến giáp ở bệnh nhân bướu cổ là:,T3 tự do (FT3),T4 tự do (FT4),TSH nhạy (sTSH),Thyroglobulin,,c,"TSH là chỉ số nhạy nhất để phản ánh tình trạng chức năng giáp. Nếu TSH bình thường, có thể khẳng định bệnh nhân đang bình giáp. Nguồn: CMDT 2026."
noi-buou-co-don-thuan-n2-mcq-028,noi,Bướu cổ đơn thuần,Nội tiết,,Kết quả xét nghiệm nào sau đây khẳng định chẩn đoán bướu giáp đơn thuần?,"TSH tăng cao, FT4 thấp","TSH thấp, FT4 tăng cao","TSH, FT4 và FT3 đều trong giới hạn bình thường","TSH bình thường, FT4 thấp",,c,"Theo định nghĩa, bướu giáp đơn thuần phải có chức năng tuyến giáp bình thường (Euthyroid). Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-029,noi,Bướu cổ đơn thuần,Nội tiết,,Vai trò chính của siêu âm tuyến giáp trong bệnh lý bướu giáp đơn thuần là:,Chẩn đoán xác định bướu giáp đơn thuần,"Xác định kích thước, cấu trúc (lan tỏa hay nhân) và phát hiện các dấu hiệu nghi ngờ ác tính",Thay thế hoàn toàn xét nghiệm chức năng tuyến giáp,Xác định nguyên nhân thiếu iod,,b,Siêu âm giúp phân loại bướu và hướng dẫn chọc hút tế bào bằng kim nhỏ (FNA) nếu phát hiện nhân có đặc điểm nghi ngờ (TIRADS cao). Nguồn: CMDT 2026.
noi-buou-co-don-thuan-n2-mcq-030,noi,Bướu cổ đơn thuần,Nội tiết,,Hình ảnh xạ hình tuyến giáp với $I^{131}$ trong bướu giáp đơn thuần thường cho thấy:,Tuyến giáp không bắt phóng xạ,"Độ tập trung iod phóng xạ bình thường hoặc tăng nhẹ, phân bố đều hoặc không đều",Tập trung iod khu trú tại một nhân duy nhất (nhân nóng),"Hình ảnh ""khuyết"" phóng xạ toàn bộ tuyến",,b,"Xạ hình giúp đánh giá hình dạng và sự phân bố chức năng, thường iod tập trung đều trong bướu lan tỏa. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-031,noi,Bướu cổ đơn thuần,Nội tiết,,Xét nghiệm iod niệu 24 giờ có giá trị nhất trong việc:,Chẩn đoán xác định bệnh cho từng cá thể,Đánh giá tình trạng cung cấp iod của một quần thể dân cư,Dự báo khả năng ung thư hóa của bướu,Theo dõi tác dụng phụ của thuốc kháng giáp,,b,Iod niệu là chỉ số quan trọng trong điều tra dịch tễ học để xác định vùng thiếu iod. Nguồn: Bệnh học nội khoa YHN.
noi-buou-co-don-thuan-n2-mcq-032,noi,Bướu cổ đơn thuần,Nội tiết,,Dấu hiệu nào trên siêu âm tuyến giáp gợi ý nhân giáp có nguy cơ ÁC TÍNH (cần làm FNA)?,"Nhân đồng hồi âm, bờ rõ, có viền giảm âm bao quanh","Nhân giảm âm, bờ không đều, có vi vôi hóa (microcalcifications)",Nhân hỗn hợp âm (dạng nang) chiếm đa số,Nhân có kích thước giảm đi sau 6 tháng theo dõi,,b,"Các đặc điểm: giảm âm, trục đứng > trục ngang, bờ không đều, vi vôi hóa là dấu hiệu nghi ngờ cao theo phân loại TIRADS. Nguồn: CMDT 2026."
noi-buou-co-don-thuan-n2-mcq-033,noi,Bướu cổ đơn thuần,Nội tiết,,Chụp X-quang vùng cổ và lồng ngực thẳng/nghiêng nhằm mục đích:,Đo kích thước nhân giáp chính xác hơn siêu âm,Phát hiện tình trạng khí quản bị đẩy lệch hoặc bị chèn ép gây hẹp khí quản,Xác định nồng độ calci trong máu,Đánh giá chức năng của dây thần kinh thanh quản,,b,"X-quang giúp đánh giá sự ảnh hưởng của bướu lên các cấu trúc lân cận, đặc biệt là khí quản. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-034,noi,Bướu cổ đơn thuần,Nội tiết,,"Khi kết quả FNA là ""Tế bào học không điển hình chưa rõ ý nghĩa"" (Bethesda III), bước xử trí tiếp theo thường là:",Phẫu thuật cắt toàn bộ tuyến giáp ngay lập tức,Theo dõi và chọc lại FNA sau 3-6 tháng hoặc làm xét nghiệm phân tử,Điều trị bằng iod phóng xạ liều cao,Coi như là lành tính và không cần theo dõi thêm,,b,"Nhóm Bethesda III có nguy cơ ác tính thấp (5-15%), ưu tiên theo dõi và làm lại xét nghiệm để khẳng định. Nguồn: CMDT 2026."
noi-buou-co-don-thuan-n2-mcq-035,noi,Bướu cổ đơn thuần,Nội tiết,,Một bệnh nhân bướu đa nhân đơn thuần có TSH < 0.1 mU/L nhưng FT4 và FT3 bình thường. Tình trạng này gọi là:,Cường giáp lâm sàng,Suy giáp dưới lâm sàng,Nhiễm độc giáp dưới lâm sàng,Bình giáp hoàn toàn,,c,"TSH bị ức chế trong khi hormone ngoại vi bình thường là định nghĩa của tình trạng dưới lâm sàng, thường gặp trong bướu đa nhân hoạt động tự chủ. Nguồn: CMDT 2026. V. ĐIỀU TRỊ & CHỐNG CHỈ ĐỊNH"
noi-buou-co-don-thuan-n2-mcq-036,noi,Bướu cổ đơn thuần,Nội tiết,,Mục tiêu chính của việc điều trị bướu giáp đơn thuần (không có triệu chứng chèn ép) bằng Levothyroxine là:,Diệt các tế bào ung thư tiềm tàng,Ức chế tiết TSH để làm giảm kích thước bướu,Cung cấp iod cho cơ thể,Tăng cường chuyển hóa cơ bản,,b,"Bằng cách cung cấp hormone ngoại vi, TSH sẽ giảm xuống, từ đó mất đi yếu tố kích thích tăng trưởng tuyến giáp. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-037,noi,Bướu cổ đơn thuần,Nội tiết,,Liều lượng Levothyroxine thường dùng trong liệu pháp ức chế TSH cho bướu giáp đơn thuần là:,Liều thay thế hoàn toàn (1.6 - 1.8 mcg/kg/ngày),Liều thấp nhất có thể để duy trì TSH ở mức thấp nhưng trong giới hạn bình thường,Liều cực cao để đưa TSH về bằng 0,Chỉ dùng vào các ngày chẵn trong tuần,,b,"Hiện nay xu hướng điều trị bảo tồn, chỉ duy trì TSH ở ngưỡng thấp của bình thường (0.4 - 1.0 mU/L) để tránh tác dụng phụ. Nguồn: CMDT 2026."
noi-buou-co-don-thuan-n2-mcq-038,noi,Bướu cổ đơn thuần,Nội tiết,,Thời gian điều trị thử bằng Levothyroxine để đánh giá hiệu quả giảm kích thước bướu thường là:,1 tuần,2-4 tuần,6-12 tháng,5-10 năm,,c,"Kích thước bướu thay đổi rất chậm, cần ít nhất 6 tháng đến 1 năm để đánh giá bướu có đáp ứng với thuốc hay không. Nguồn: Bệnh học nội khoa YHN."
noi-buou-co-don-thuan-n2-mcq-039,noi,Bướu cổ đơn thuần,Nội tiết,,Chỉ định phẫu thuật bướu giáp đơn thuần được đặt ra khi:,Bướu giáp độ 1 ở trẻ em,"Bướu gây chèn ép khí quản, thực quản hoặc bướu chìm sau xương ức",Bệnh nhân lo lắng quá mức về bệnh,Nồng độ TSH hơi tăng nhẹ,,b,Phẫu thuật là lựa chọn hàng đầu khi có biến chứng chèn ép cơ học hoặc nghi ngờ ung thư qua FNA. Nguồn: Bệnh học nội khoa YHN.
