id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-vp-001,noi,Viêm phổi cộng đồng,Hô hấp,"BN nam 30 tuổi, tiền sử khỏe mạnh, sốt rét run 39-40 độ vài ngày nay vào viện trong tình trạng: tỉnh, đau ngực trái, không sốt, đờm vàng, nhịp thở 20 lần/phút, HA 110/50mmHg, Ure=6mmol/l. Chẩn đoán được đưa ra là:",Viêm phổi thùy,Viêm phế quản phổi,,,,a,
noi-vp-002,noi,Viêm phổi cộng đồng,Hô hấp,"BN nam 30 tuổi, tiền sử khỏe mạnh, sốt rét run 39-40 độ vài ngày nay vào viện trong tình trạng: tỉnh, đau ngực trái, không sốt, đờm vàng, nhịp thở 20 lần/phút, HA 110/50mmHg, Ure=6mmol/l. Phương pháp CLS được chỉ định",XQ,CT,Sinh thiết,,,a,
noi-vp-003,noi,Viêm phổi cộng đồng,Hô hấp,"BN nam 30 tuổi, tiền sử khỏe mạnh, sốt rét run 39-40 độ vài ngày nay vào viện trong tình trạng: tỉnh, đau ngực trái, không sốt, đờm vàng, nhịp thở 20 lần/phút, HA 110/50mmHg, Ure=6mmol/l. Chấm CURB65 thì bn này được:",1 điểm,0 điểm,2 điểm,,,a,
noi-vp-004,noi,Viêm phổi cộng đồng,Hô hấp,"BN nam 30 tuổi, tiền sử khỏe mạnh, sốt rét run 39-40 độ vài ngày nay vào viện trong tình trạng: tỉnh, đau ngực trái, không sốt, đờm vàng, nhịp thở 20 lần/phút, HA 110/50mmHg, Ure=6mmol/l. Bệnh nhân này sẽ được:","Điều trị ngoại trú, cho đơn về",Nhập viện,Điều trị tại ICU,,,a,
noi-vp-005,noi,Viêm phổi cộng đồng,Hô hấp,"BN nam 30 tuổi, tiền sử khỏe mạnh, sốt rét run 39-40 độ vài ngày nay vào viện trong tình trạng: tỉnh, đau ngực trái, không sốt, đờm vàng, nhịp thở 20 lần/phút, HA 110/50mmHg, Ure=6mmol/l. Bn này sẽ dùng kháng sinh",10 ngày,5 ngày,20 ngày,30 ngày,,a,
noi-vp-006,noi,Viêm phổi cộng đồng,Hô hấp,VP vào viện đtrị khi CURB65,>2,≥2,>3,>4,,b,
noi-vp-007,noi,Viêm phổi cộng đồng,Hô hấp,VP cần được vào ICU khi CURB65,>1,>2,>3,>4,,c,
noi-vp-008,noi,Viêm phổi cộng đồng,Hô hấp,Đtrị VP do phế cầu ưu tiên#,Metronidazole,Cepha3,Amox,,,c,
noi-vp-009,noi,Viêm phổi cộng đồng,Hô hấp,CĐ VP thùy cần XN,Xquang,CT ngực,CTM,Bilan nhiễm trùng,,a,
noi-vp-010,noi,Viêm phổi cộng đồng,Hô hấp,Phương pháp nhuộm nào cho phép phát hiện trực khuẩn lao,Gram,Zielh neelsen,PAS,Giemsa,,b,
noi-vp-011,noi,Viêm phổi cộng đồng,Hô hấp,Viêm phổi mắc phải ở cộng đồng là nhiễm khuẩn phổi xảy ra ở,Trong bệnh viện,Tại các phòng khám,Trong mỗi trường sống bình thường (Ngoài cộng đồng),,,c,
noi-vp-012,noi,Viêm phổi cộng đồng,Hô hấp,Thông thường bệnh viêm phổi mắc phải ở cộng đồng không nặng ở đối tượng bệnh nhân,Người già,Trẻ em,Người suy giảm miễn dịch,Người trẻ,,d,
noi-vp-013,noi,Viêm phổi cộng đồng,Hô hấp,Triệu chứng ho khạc điển hình của viêm phổi mắc phải ở cộng đồng,Ho khan,Ho khạc nhầy,Ho khạc đờm màu gỉ sắt,Ho máu,,c,
noi-vp-014,noi,Viêm phổi cộng đồng,Hô hấp,TC thực thể khi khám phổi ở BN VP mắc phải ở cộng đồng,Hội chứng hang,Hội chứng đông đặc,Hội chứng ba giảm,Tam chứng GallIard,,b,
noi-vp-015,noi,Viêm phổi cộng đồng,Hô hấp,Tiếng bệnh lý điển hình nghe được khi khám phổi ở BN viêm phổi mắc phải ở cộng đồng,Ran ngáy.,Ran rít.,"Ran ẩm, ran nổ",Tiếng thổi hang.,,c,
