id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-cush-001,noi,HC Cushing và bệnh Cushing,Nội tiết,Hội chứng tiết ACTH ngoại sinh:,U phổi,U dạ dày,U buồng trứng,Cả 3 đáp án,,d,"(UTPTBN, UT DD, Tử cung, tuyến ức)"
noi-cush-002,noi,HC Cushing và bệnh Cushing,Nội tiết,Hội chứng tiết ACTH ngoại sinh do có triệu chứng,"Diễn biến nhanh, có u ở phổi…",Test Dexa liều cao kém đáp ứng,TC điển hình,Cả 3,,d,
noi-cush-003,noi,HC Cushing và bệnh Cushing,Nội tiết,Hội chứng Cushing do tiết ACTH ngoài tuyến yên,"Diền biến lấm sàng nhanh, rầm rộ, có triệu chứng của ung thư các cơ quan khác, test dexamethaxon liều cao kém đáp ứng","Diễn biến chậm, từ từ",,,,a,
noi-cush-004,noi,HC Cushing và bệnh Cushing,Nội tiết,Nguyên nhân hội chứng Cushing không phụ thuộc ACTH,U tuyến thượng thận,Carcinoma tuyến thượng thận,Tăng sản hột thượng thận,Cả 3 đáp án,,d,
noi-cush-005,noi,HC Cushing và bệnh Cushing,Nội tiết,Nghiệm pháp không dùng để chẩn đoán nguyên nhân Cushing: (1 rv khác có trừ),Test Dexa liều cao 2 mg,Định lượng ACTH,Test Dexa 1mg qua đêm,Chụp MRI tuyến yên,,c,(sàng lọc)
noi-cush-006,noi,HC Cushing và bệnh Cushing,Nội tiết,XN nào để chẩn đoán nguyên nhân hội chứng Cushing?,ACTH,UC liều cao dexamethasone,A và B,Uc bằng 1mg dexamethasone qua đêm,,c,
noi-cush-007,noi,HC Cushing và bệnh Cushing,Nội tiết,Bệnh cushing là do tình trạng:,Cường tiết ACTH của tuyến yên,Cường tiết TSH của tuyến yên,Cường tiết FSH và LH của tuyến yên,Cường tiết GH của tuyến yên.,,a,
noi-cush-008,noi,HC Cushing và bệnh Cushing,Nội tiết,Bệnh cushing do u tiết ACTH của tuyến yên thì trên phim chụp có thể thấy hình ảnh:,"U tuyến yên qua chụp MRI, u tuyến thượng thận trên phim chụp MRI thượng thận","U tuyến yên qua chụp MRI, tuyến thượng thận 2 bên teo trên phim chụp MRI thượng thận","U tuyến yên qua chụp MRI, tuyến thượng thận 1 bên teo và một bên phì đại trên phim chụp MRI thượng thận","U tuyến yên qua chụp MRI, tuyến thượng thận 2 bên có thể phì đại trên phim chụp MRI thượng thận",,d,
noi-cush-009,noi,HC Cushing và bệnh Cushing,Nội tiết,Nguyên nhân HC Cushing thứ phát:,Suy thùy sau tuyến yên,Dùng glucocorticoid,Tăng tiết ACTH,Cả A và B,,c,
noi-cush-010,noi,HC Cushing và bệnh Cushing,Nội tiết,Triệu chứng của hc Cushing?,"Mặt tròn đỏ, yếu cơ, rạn da, tăng huyết áp","Tăng huyết áp tưng cơn, rl nhịp",Hạ huyết áp tư thế,,,a,
noi-cush-011,noi,HC Cushing và bệnh Cushing,Nội tiết,"HC Cushing có triệu chứng, trừ:",Rậm lông,Tay chân to,Yếu cơ gốc chi,Loãng xương,,b,
noi-cush-012,noi,HC Cushing và bệnh Cushing,Nội tiết,HC cushing không có,To đầu chi,Béo trung tâm,Da mỏng,Rạn da đỏ tím,,a,
noi-cush-013,noi,HC Cushing và bệnh Cushing,Nội tiết,Triệu chứng của bệnh Cushing trừ:,Rụng lông,"Trứng cá, tăng tiết bã nhờn",Loãng xương,"Teo cơ, yếu cơ gốc chi",,a,
