id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-leucemia-kinh-man-dong-bc-hat-mcq-001,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Bệnh bạch cầu mạn dòng tủy (CML) thuộc nhóm bệnh lý nào sau đây?,Suy tủy xương mắc phải,Rối loạn sinh tủy,Tăng sinh tủy mạn ác tính,Tăng sinh bạch huyết ác tính,,c,Bệnh là một hội chứng tăng sinh tủy mạn ác tính (Myeloproliferative neoplasm) đặc trưng bởi sự tăng sinh quá mức các tế bào dòng tủy biệt hóa. Nguồn: Bệnh học nội khoa YHN.
noi-leucemia-kinh-man-dong-bc-hat-mcq-002,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Nhóm tuổi nào có tỷ lệ mắc bệnh bạch cầu mạn dòng tủy cao nhất?,Nhũ nhi và trẻ nhỏ,Trẻ vị thành niên,Người trẻ dưới 30 tuổi,Người trung niên và cao tuổi,,d,"CML chủ yếu gặp ở người lớn, tuổi khởi phát trung bình thường từ 50-60 tuổi, rất hiếm gặp ở trẻ em. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-leucemia-kinh-man-dong-bc-hat-mcq-003,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Dòng tế bào nào đóng vai trò tăng sinh chủ đạo gây ra các đặc điểm huyết học bệnh lý trong CML?,Dòng bạch cầu hạt,Dòng hồng cầu,Dòng bạch cầu đơn nhân,Dòng tế bào lympho,,a,"Đặc trưng của bệnh là sự tăng sinh ác tính, không kiểm soát của dòng bạch cầu hạt (trung tính, ưa acid, ưa bazơ). Nguồn: Bệnh học nội khoa YHN."
noi-leucemia-kinh-man-dong-bc-hat-mcq-004,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Yếu tố nguy cơ môi trường duy nhất được chứng minh rõ ràng có liên quan đến cơ chế bệnh sinh của CML là?,Bức xạ ion hóa liều cao,Nhiễm virus Epstein-Barr,Phơi nhiễm hóa chất bảo vệ thực vật,Tiền sử gia đình mắc bệnh tự miễn,,a,Tiếp xúc với bức xạ ion hóa liều cao (như nạn nhân bom nguyên tử hoặc tai nạn hạt nhân) làm tăng đáng kể nguy cơ mắc CML. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-leucemia-kinh-man-dong-bc-hat-mcq-005,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Đặc trưng cốt lõi để chẩn đoán xác định bệnh bạch cầu mạn dòng tủy là sự hiện diện của?,Nhiễm sắc thể t(15;17),Nhiễm sắc thể Philadelphia,Đột biến gen JAK2 V617F,Thể Auer trong bào tương,,b,"NST Philadelphia là dấu ấn đặc trưng có ở hơn 90-95% bệnh nhân CML, đóng vai trò bản lề trong sinh bệnh học và chẩn đoán. Nguồn: Bệnh học nội khoa YHN."
noi-leucemia-kinh-man-dong-bc-hat-mcq-006,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Phát biểu nào phản ánh đúng nhất về tiên lượng của CML trong kỷ nguyên y học hiện tại?,Tỷ lệ tử vong cao trong vòng 6 tháng đầu,Bệnh có thể tự thoái lui mà không cần dùng thuốc,Tuổi thọ tiệm cận người bình thường nếu đáp ứng thuốc đích,Bệnh tiến triển thành cấp tính ở 100% bệnh nhân sau 1 năm,,c,"Sự ra đời của thuốc ức chế Tyrosine Kinase (TKI) đã biến CML từ một bệnh nan y thành bệnh mạn tính có thể kiểm soát lâu dài, tuổi thọ gần như người bình thường. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
noi-leucemia-kinh-man-dong-bc-hat-mcq-007,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Nhiễm sắc thể Philadelphia được hình thành do sự chuyển vị tương hỗ giữa hai nhiễm sắc thể nào?,8 và 21,9 và 22,11 và 14,15 và 17,,b,"NST Philadelphia là kết quả của sự đứt gãy và trao đổi chéo t(9;22), làm di chuyển gen ABL từ NST 9 sang gen BCR trên NST 22. Nguồn: Bệnh học nội khoa YHN."
noi-leucemia-kinh-man-dong-bc-hat-mcq-008,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Sự chuyển vị t(9;22) tạo ra một gen tổ hợp (fusion gene) mới có tên là gì?,PML-RARA,MYC-IGH,BCR-ABL1,RUNX1-RUNX1T1,,c,Gen tổ hợp BCR-ABL1 là nguyên nhân trực tiếp mã hóa ra protein bệnh lý thúc đẩy quá trình tăng sinh tế bào ác tính. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-leucemia-kinh-man-dong-bc-hat-mcq-009,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Protein bệnh lý do gen đột biến trong CML tạo ra có bản chất hoạt động là enzym gì?,Threonine kinase,Tyrosine kinase,DNA polymerase,Topoisomerase,,b,"Protein BCR-ABL có hoạt tính Tyrosine kinase liên tục không cần tín hiệu kích thích, làm phosphoryl hóa các protein đích gây tăng sinh tế bào. Nguồn: Bệnh học nội khoa YHN."
noi-leucemia-kinh-man-dong-bc-hat-mcq-010,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Tác động sinh lý bệnh chính của protein đột biến lên tế bào gốc tạo máu là gì?,Giảm tăng sinh và giảm chết theo chương trình,Tăng tăng sinh và tăng chết theo chương trình,Tăng tăng sinh và giảm chết theo chương trình,Ngừng biệt hóa và tăng chết theo chương trình,,c,Hoạt tính Tyrosine kinase liên tục làm tế bào dòng tủy nhân lên không kiểm soát và mất khả năng apoptosis (chết theo chương trình). Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-leucemia-kinh-man-dong-bc-hat-mcq-011,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Đột biến t(9;22) xảy ra sớm nhất ở giai đoạn tế bào nào trong quá trình tạo máu?,Tế bào gốc tạo máu đa tiềm năng,Tiền nguyên bào tủy,Tủy bào,Tế bào lympho T,,a,"Đột biến xảy ra ở tế bào gốc vạn năng, do đó dòng vô tính bất thường có thể bao gồm cả dòng hạt, hồng cầu và mẫu tiểu cầu. Nguồn: Bệnh học nội khoa YHN."
noi-leucemia-kinh-man-dong-bc-hat-mcq-012,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Cơ chế chính gây ra triệu chứng lách to vĩ đại trong CML là?,Tăng bắt giữ và tiêu hủy hồng cầu tại lách,Sự xâm nhập và tăng sinh tế bào máu ác tính ngoài tủy,Huyết khối tắc nghẽn tĩnh mạch lách,Viêm lách đáp ứng với các tự kháng thể,,b,Lách to trong CML là do quá trình tạo máu ngoài tủy (extramedullary hematopoiesis) và sự xâm nhập của các tế bào bạch cầu tăng sinh. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-leucemia-kinh-man-dong-bc-hat-mcq-013,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Nguyên nhân cốt lõi khiến CML chuyển sang giai đoạn cấp tính (blast crisis) là gì?,Sự kiệt quệ của hệ miễn dịch cơ thể,Hậu quả của việc dùng thuốc nhắm đích kéo dài,Sự tích lũy thêm các đột biến gen và bất thường NST mới,Độc tính cộng dồn của acid uric lên tủy xương,,c,"Quá trình không ổn định bộ gen dẫn đến tích lũy các đột biến thứ phát, làm tế bào mất hoàn toàn khả năng biệt hóa, gây chuyển cấp. Nguồn: Bệnh học nội khoa YHN."
noi-leucemia-kinh-man-dong-bc-hat-mcq-014,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Sự tăng cao bất thường bạch cầu ưa bazơ và ưa acid ở bệnh nhân CML được giải thích bởi?,Phản ứng dị ứng thứ phát với tế bào vỡ,Sự sản xuất cytokine từ tế bào lympho T,Khả năng biệt hóa bình thường của quần thể tế bào ác tính,Nhiễm ký sinh trùng cơ hội do suy giảm miễn dịch,,c,"Trong CML, clone tế bào ác tính vẫn giữ được khả năng biệt hóa đến giai đoạn trưởng thành, bao gồm cả dòng eosinophil và basophil. Nguồn: Bệnh học nội khoa YHN."
noi-leucemia-kinh-man-dong-bc-hat-mcq-015,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Tình huống lâm sàng phổ biến nhất dẫn đến việc phát hiện CML hiện nay là gì?,Bệnh nhân vào cấp cứu vì chảy máu ồ ạt,"Không có triệu chứng, tình cờ phát hiện qua xét nghiệm máu định kỳ",Đột quỵ do tắc mạch não,Đau nhức gãy xương tự phát,,b,Đa số bệnh nhân ở pha mạn tính hoàn toàn không có triệu chứng lâm sàng và chỉ được phát hiện tình cờ nhờ làm công thức máu tổng quát. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-leucemia-kinh-man-dong-bc-hat-mcq-016,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Dấu hiệu thực thể kinh điển và thường gặp nhất khi thăm khám bệnh nhân CML pha mạn là?,Gan to,Hạch to toàn thân,Lách to,Rung giật nhãn cầu,,c,"Lách to là triệu chứng thực thể phổ biến nhất (khoảng 50-60% ca bệnh), đôi khi lách to vĩ đại xuống tận hố chậu. Nguồn: Bệnh học nội khoa YHN."
noi-leucemia-kinh-man-dong-bc-hat-mcq-017,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Hội chứng tăng chuyển hóa trong bệnh bạch cầu mạn dòng tủy bao gồm các triệu chứng?,"Tăng nhịp tim, lồi mắt, run tay","Mệt mỏi, sốt nhẹ, sút cân, vã mồ hôi đêm","Nhịp tim chậm, hạ thân nhiệt, táo bón","Rụng tóc nhiều, sạm da, loét niêm mạc",,b,Sự tăng sinh và phá hủy tế bào bạch cầu số lượng lớn giải phóng các cytokine gây ra hội chứng tăng chuyển hóa đặc trưng. Nguồn: Bệnh học nội khoa YHN.
noi-leucemia-kinh-man-dong-bc-hat-mcq-018,noi,Leucemia kinh (mạn) dòng BC hạt,Huyết học,,Triệu chứng nào sau đây KHÔNG thuộc hội chứng tắc mạch do số lượng bạch cầu tăng quá cao (leukostasis)?,Cương đau dương vật kéo dài,"Thay đổi thị lực, nhìn mờ",Xuất huyết nốt nhỏ ở da đối xứng hai chi dưới,"Suy hô hấp cấp, khó thở",,c,"Tắc mạch do bạch cầu cao (thường >100G/L) gây thiếu máu vi tuần hoàn ở não, phổi, dương vật, mắt. Xuất huyết nốt nhỏ thường do giảm tiểu cầu. Nguồn: CURRENT Medical Diagnosis & Treatment 2026."
