id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-cuong-giap-case-1-1,noi,Cường giáp (Basedow),Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 28 tuổi, là giáo viên, đến khám vì sụt cân và hồi hộp. Bệnh nhân khai 3 tháng nay gầy sút khoảng 6kg dù ăn uống tốt, thậm chí ăn nhiều hơn bình thường. Bệnh nhân thường xuyên có cảm giác nóng bức, ra nhiều mồ hôi, hay hồi hộp đánh trống ngực, run tay và dễ cáu gắt, lo lắng. Gần đây, bệnh nhân thấy mắt nhìn không được bình thường, cảm giác cộm và chói mắt. Tiền sử gia đình có mẹ bị bệnh tuyến giáp. Khám toàn thân ghi nhận bệnh nhân tỉnh, vẻ mặt lo lắng. Sinh hiệu: mạch 110 lần/phút, đều; huyết áp 130/70 mmHg; nhiệt độ 37.1°C; nhịp thở 18 lần/phút; SpO₂ 99% khí trời; BMI 18 kg/m². Khám thấy da nóng ẩm, run tay biên độ nhỏ, tần số nhanh. Tuyến giáp to lan tỏa độ II, mềm, di động, nghe có tiếng thổi tâm thu. Khám mắt thấy lồi mắt hai bên rõ, dấu hiệu co cơ mi trên (dấu Dalrymple) và hở mi (dấu Stellwag) dương tính. Khám tim nhịp nhanh đều, các cơ quan khác không ghi nhận bất thường, đặc biệt không có phù niêm trước xương chày. Cận lâm sàng: TSH < 0.01 μIU/mL (giảm rất thấp), FT4 45 pmol/L (tăng), T3 4.2 nmol/L (tăng). Kháng thể kháng thụ thể TSH (TRAb) dương tính mạnh.",Chẩn đoán phù hợp và đầy đủ nhất cho bệnh nhân này là gì?,Bướu giáp đơn thuần,Bệnh Basedow,Viêm tuyến giáp bán cấp de Quervain,Bướu nhân độc tuyến giáp,,b,"Bệnh cảnh một phụ nữ trẻ có hội chứng cường giáp rõ (sụt cân, tim nhanh, run tay), bướu giáp mạch và đặc biệt là các biểu hiện đặc hiệu ở mắt (lồi mắt) là rất điển hình cho bệnh Basedow. Xét nghiệm có TRAb dương tính là yếu tố khẳng định chẩn đoán."
noi-cuong-giap-case-1-2,noi,Cường giáp (Basedow),Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 28 tuổi, là giáo viên, đến khám vì sụt cân và hồi hộp. Bệnh nhân khai 3 tháng nay gầy sút khoảng 6kg dù ăn uống tốt, thậm chí ăn nhiều hơn bình thường. Bệnh nhân thường xuyên có cảm giác nóng bức, ra nhiều mồ hôi, hay hồi hộp đánh trống ngực, run tay và dễ cáu gắt, lo lắng. Gần đây, bệnh nhân thấy mắt nhìn không được bình thường, cảm giác cộm và chói mắt. Tiền sử gia đình có mẹ bị bệnh tuyến giáp. Khám toàn thân ghi nhận bệnh nhân tỉnh, vẻ mặt lo lắng. Sinh hiệu: mạch 110 lần/phút, đều; huyết áp 130/70 mmHg; nhiệt độ 37.1°C; nhịp thở 18 lần/phút; SpO₂ 99% khí trời; BMI 18 kg/m². Khám thấy da nóng ẩm, run tay biên độ nhỏ, tần số nhanh. Tuyến giáp to lan tỏa độ II, mềm, di động, nghe có tiếng thổi tâm thu. Khám mắt thấy lồi mắt hai bên rõ, dấu hiệu co cơ mi trên (dấu Dalrymple) và hở mi (dấu Stellwag) dương tính. Khám tim nhịp nhanh đều, các cơ quan khác không ghi nhận bất thường, đặc biệt không có phù niêm trước xương chày. Cận lâm sàng: TSH < 0.01 μIU/mL (giảm rất thấp), FT4 45 pmol/L (tăng), T3 4.2 nmol/L (tăng). Kháng thể kháng thụ thể TSH (TRAb) dương tính mạnh.",Cơ chế gây cường giáp và bệnh mắt trong Basedow là gì?,TRAb kích thích thụ thể TSH ở tuyến giáp và nguyên bào sợi hốc mắt.,Tuyến giáp tự tiết hormone không liên quan cơ chế miễn dịch.,Tuyến yên tăng tiết TSH một cách tự động và kéo dài.,Viêm phá hủy nang giáp làm rò rỉ hormone dự trữ.,,a,"TRAb kích thích thụ thể TSH trên tế bào nang giáp, gây tăng tổng hợp hormone; đồng thời hoạt hóa nguyên bào sợi hốc mắt, gây viêm và phù mô sau nhãn cầu. Các phương án còn lại không giải thích đồng thời cường giáp và bệnh mắt Basedow."
noi-cuong-giap-case-1-3,noi,Cường giáp (Basedow),Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 28 tuổi, là giáo viên, đến khám vì sụt cân và hồi hộp. Bệnh nhân khai 3 tháng nay gầy sút khoảng 6kg dù ăn uống tốt, thậm chí ăn nhiều hơn bình thường. Bệnh nhân thường xuyên có cảm giác nóng bức, ra nhiều mồ hôi, hay hồi hộp đánh trống ngực, run tay và dễ cáu gắt, lo lắng. Gần đây, bệnh nhân thấy mắt nhìn không được bình thường, cảm giác cộm và chói mắt. Tiền sử gia đình có mẹ bị bệnh tuyến giáp. Khám toàn thân ghi nhận bệnh nhân tỉnh, vẻ mặt lo lắng. Sinh hiệu: mạch 110 lần/phút, đều; huyết áp 130/70 mmHg; nhiệt độ 37.1°C; nhịp thở 18 lần/phút; SpO₂ 99% khí trời; BMI 18 kg/m². Khám thấy da nóng ẩm, run tay biên độ nhỏ, tần số nhanh. Tuyến giáp to lan tỏa độ II, mềm, di động, nghe có tiếng thổi tâm thu. Khám mắt thấy lồi mắt hai bên rõ, dấu hiệu co cơ mi trên (dấu Dalrymple) và hở mi (dấu Stellwag) dương tính. Khám tim nhịp nhanh đều, các cơ quan khác không ghi nhận bất thường, đặc biệt không có phù niêm trước xương chày. Cận lâm sàng: TSH < 0.01 μIU/mL (giảm rất thấp), FT4 45 pmol/L (tăng), T3 4.2 nmol/L (tăng). Kháng thể kháng thụ thể TSH (TRAb) dương tính mạnh.",Thuốc đầu tay để kiểm soát nhanh hồi hộp và run tay là gì?,Methimazole.,Propylthiouracil (PTU).,Dung dịch Lugol.,Propranolol.,,d,"Propranolol kiểm soát nhanh triệu chứng giao cảm như tim nhanh, hồi hộp và run tay trong khi chờ thuốc kháng giáp phát huy tác dụng. Thuốc không thay thế điều trị nguyên nhân cường giáp."
noi-cuong-giap-case-1-4,noi,Cường giáp (Basedow),Nội tiết,"TÌNH HUỐNG 1 Bệnh nhân nữ, 28 tuổi, là giáo viên, đến khám vì sụt cân và hồi hộp. Bệnh nhân khai 3 tháng nay gầy sút khoảng 6kg dù ăn uống tốt, thậm chí ăn nhiều hơn bình thường. Bệnh nhân thường xuyên có cảm giác nóng bức, ra nhiều mồ hôi, hay hồi hộp đánh trống ngực, run tay và dễ cáu gắt, lo lắng. Gần đây, bệnh nhân thấy mắt nhìn không được bình thường, cảm giác cộm và chói mắt. Tiền sử gia đình có mẹ bị bệnh tuyến giáp. Khám toàn thân ghi nhận bệnh nhân tỉnh, vẻ mặt lo lắng. Sinh hiệu: mạch 110 lần/phút, đều; huyết áp 130/70 mmHg; nhiệt độ 37.1°C; nhịp thở 18 lần/phút; SpO₂ 99% khí trời; BMI 18 kg/m². Khám thấy da nóng ẩm, run tay biên độ nhỏ, tần số nhanh. Tuyến giáp to lan tỏa độ II, mềm, di động, nghe có tiếng thổi tâm thu. Khám mắt thấy lồi mắt hai bên rõ, dấu hiệu co cơ mi trên (dấu Dalrymple) và hở mi (dấu Stellwag) dương tính. Khám tim nhịp nhanh đều, các cơ quan khác không ghi nhận bất thường, đặc biệt không có phù niêm trước xương chày. Cận lâm sàng: TSH < 0.01 μIU/mL (giảm rất thấp), FT4 45 pmol/L (tăng), T3 4.2 nmol/L (tăng). Kháng thể kháng thụ thể TSH (TRAb) dương tính mạnh.",Tác dụng phụ hiếm nhưng nguy hiểm nhất của Methimazole hoặc PTU là gì?,Tăng cân mức độ nhẹ.,Buồn nôn thoáng qua.,Ngứa da nhẹ.,Mất bạch cầu hạt.,,d,Mất bạch cầu hạt hiếm gặp nhưng có thể gây nhiễm trùng nặng và tử vong. Người bệnh phải ngừng thuốc và kiểm tra công thức máu ngay khi sốt hoặc đau họng.
noi-cuong-giap-case-2-1,noi,Cường giáp (Basedow),Nội tiết,"như thế nào? A. Cường giáp vĩnh viễn. B. Diễn biến theo ba pha: cường giáp - bình giáp - suy giáp, sau đó hầu hết hồi phục về bình giáp. C. Suy giáp vĩnh viễn. D. Chức năng tuyến giáp không thay đổi. 4. Do nguyên nhân của cường giáp là do rò rỉ hormone chứ không phải do tăng tổng hợp, các thuốc kháng giáp tổng hợp (nhắm vào quá trình tổng hợp) hoàn toàn không có tác dụng. Điều trị chủ yếu là kiểm soát quá trình viêm và giảm đau bằng NSAID (cho thể nhẹ) hoặc Corticoid (cho thể trung bình- nặng). 5. Viêm tuyến giáp bán cấp có diễn biến tự nhiên theo 3 hoặc 4 pha rất đặc trưng. Giai đoạn đầu là cường giáp (do rò rỉ hormone, kéo dài vài tuần). Sau khi kho dự trữ cạn kiệt, bệnh nhân chuyển sang giai đoạn bình giáp, rồi suy giáp (do tuyến giáp chưa hồi phục). Cuối cùng, sau vài tháng, đa số (>95%) các trường hợp sẽ hồi phục hoàn toàn chức năng tuyến giáp về bình thường. TÌNH HUỐNG 6 Một phụ nữ 32 tuổi đang mang thai ở tuần thứ 10, đến khám vì nôn ói nhiều và sụt cân. Bệnh nhân bị nghén nặng từ tuần thứ 6, nôn tất cả mọi thứ sau ăn, sụt 4kg. Khám: bệnh nhân mệt mỏi, có dấu hiệu mất nước nhẹ. Tim nhịp nhanh 105 lần/phút. Tuyến giáp không to. Xét nghiệm: TSH 0.05 μIU/mL (giảm), FT4 28 pmol/L (tăng nhẹ). Siêu âm bụng cho thấy hình ảnh thai trong tử cung tương đương 10 tuần, không có dấu hiệu chửa trứng. Nồng độ beta-hCG trong máu rất cao.",Nguyên nhân có khả năng nhất gây ra tình trạng cường giáp của bệnh nhân là gì?,Bệnh Basedow mới khởi phát trong thai kỳ.,Chửa trứng.,Nhiễm độc giáp thai nghén thoáng qua,U tuyến yên tiết TSH.,,c,"Cường giáp nhẹ xuất hiện trong tam cá nguyệt đầu tiên, kết hợp với nôn nghén nặng và nồng độ hCG cao là rất điển hình cho nhiễm độc giáp thai nghén thoáng qua. Siêu âm đã loại trừ chửa trứng."
noi-cuong-giap-case-2-2,noi,Cường giáp (Basedow),Nội tiết,"như thế nào? A. Cường giáp vĩnh viễn. B. Diễn biến theo ba pha: cường giáp - bình giáp - suy giáp, sau đó hầu hết hồi phục về bình giáp. C. Suy giáp vĩnh viễn. D. Chức năng tuyến giáp không thay đổi. 4. Do nguyên nhân của cường giáp là do rò rỉ hormone chứ không phải do tăng tổng hợp, các thuốc kháng giáp tổng hợp (nhắm vào quá trình tổng hợp) hoàn toàn không có tác dụng. Điều trị chủ yếu là kiểm soát quá trình viêm và giảm đau bằng NSAID (cho thể nhẹ) hoặc Corticoid (cho thể trung bình- nặng). 5. Viêm tuyến giáp bán cấp có diễn biến tự nhiên theo 3 hoặc 4 pha rất đặc trưng. Giai đoạn đầu là cường giáp (do rò rỉ hormone, kéo dài vài tuần). Sau khi kho dự trữ cạn kiệt, bệnh nhân chuyển sang giai đoạn bình giáp, rồi suy giáp (do tuyến giáp chưa hồi phục). Cuối cùng, sau vài tháng, đa số (>95%) các trường hợp sẽ hồi phục hoàn toàn chức năng tuyến giáp về bình thường. TÌNH HUỐNG 6 Một phụ nữ 32 tuổi đang mang thai ở tuần thứ 10, đến khám vì nôn ói nhiều và sụt cân. Bệnh nhân bị nghén nặng từ tuần thứ 6, nôn tất cả mọi thứ sau ăn, sụt 4kg. Khám: bệnh nhân mệt mỏi, có dấu hiệu mất nước nhẹ. Tim nhịp nhanh 105 lần/phút. Tuyến giáp không to. Xét nghiệm: TSH 0.05 μIU/mL (giảm), FT4 28 pmol/L (tăng nhẹ). Siêu âm bụng cho thấy hình ảnh thai trong tử cung tương đương 10 tuần, không có dấu hiệu chửa trứng. Nồng độ beta-hCG trong máu rất cao.",Cơ chế chính gây ra tình trạng này là gì?,Do stress của thai kỳ kích hoạt một bệnh tự miễn tiềm ẩn.,Do thai nhi sản xuất hormone giáp và đi vào tuần hoàn của mẹ.,"Do nồng độ hormone hCG rất cao, có cấu trúc tương tự TSH, đã gắn vào và kích thích thụ thể TSH của tuyến giáp.",Do cơ thể mẹ tăng nhu cầu iod trong thai kỳ.,,c,"Hormone màng đệm của người (human Chorionic Gonadotropin - hCG) và TSH có cùng một tiểu đơn vị alpha và có cấu trúc tiểu đơn vị beta tương tự nhau. Do đó, khi nồng độ hCG tăng rất cao trong giai đoạn đầu thai kỳ, nó có thể tác động ""chéo"" lên thụ thể TSH, gây ra một tình trạng cường giáp nhẹ."
noi-cuong-giap-case-2-3,noi,Cường giáp (Basedow),Nội tiết,"như thế nào? A. Cường giáp vĩnh viễn. B. Diễn biến theo ba pha: cường giáp - bình giáp - suy giáp, sau đó hầu hết hồi phục về bình giáp. C. Suy giáp vĩnh viễn. D. Chức năng tuyến giáp không thay đổi. 4. Do nguyên nhân của cường giáp là do rò rỉ hormone chứ không phải do tăng tổng hợp, các thuốc kháng giáp tổng hợp (nhắm vào quá trình tổng hợp) hoàn toàn không có tác dụng. Điều trị chủ yếu là kiểm soát quá trình viêm và giảm đau bằng NSAID (cho thể nhẹ) hoặc Corticoid (cho thể trung bình- nặng). 5. Viêm tuyến giáp bán cấp có diễn biến tự nhiên theo 3 hoặc 4 pha rất đặc trưng. Giai đoạn đầu là cường giáp (do rò rỉ hormone, kéo dài vài tuần). Sau khi kho dự trữ cạn kiệt, bệnh nhân chuyển sang giai đoạn bình giáp, rồi suy giáp (do tuyến giáp chưa hồi phục). Cuối cùng, sau vài tháng, đa số (>95%) các trường hợp sẽ hồi phục hoàn toàn chức năng tuyến giáp về bình thường. TÌNH HUỐNG 6 Một phụ nữ 32 tuổi đang mang thai ở tuần thứ 10, đến khám vì nôn ói nhiều và sụt cân. Bệnh nhân bị nghén nặng từ tuần thứ 6, nôn tất cả mọi thứ sau ăn, sụt 4kg. Khám: bệnh nhân mệt mỏi, có dấu hiệu mất nước nhẹ. Tim nhịp nhanh 105 lần/phút. Tuyến giáp không to. Xét nghiệm: TSH 0.05 μIU/mL (giảm), FT4 28 pmol/L (tăng nhẹ). Siêu âm bụng cho thấy hình ảnh thai trong tử cung tương đương 10 tuần, không có dấu hiệu chửa trứng. Nồng độ beta-hCG trong máu rất cao.",Yếu tố nào sau đây giúp phân biệt rõ nhất giữa nhiễm độc giáp thai nghén và bệnh Basedow trong thai kỳ?,Mức độ tăng FT4.,Xét nghiệm kháng thể kháng thụ thể TSH (TRAb).,Sự hiện diện của bướu giáp.,Triệu chứng nôn ói.,,b,"Bệnh Basedow là một bệnh tự miễn, do đó sẽ có sự hiện diện của kháng thể TRAb trong máu. Ngược lại, trong nhiễm độc giáp thai nghén, TRAb sẽ âm tính. Đây là xét nghiệm then chốt để phân biệt hai bệnh cảnh này, vì việc chẩn đoán chính xác sẽ thay đổi hoàn toàn hướng điều trị và theo dõi."
noi-cuong-giap-case-2-4,noi,Cường giáp (Basedow),Nội tiết,"như thế nào? A. Cường giáp vĩnh viễn. B. Diễn biến theo ba pha: cường giáp - bình giáp - suy giáp, sau đó hầu hết hồi phục về bình giáp. C. Suy giáp vĩnh viễn. D. Chức năng tuyến giáp không thay đổi. 4. Do nguyên nhân của cường giáp là do rò rỉ hormone chứ không phải do tăng tổng hợp, các thuốc kháng giáp tổng hợp (nhắm vào quá trình tổng hợp) hoàn toàn không có tác dụng. Điều trị chủ yếu là kiểm soát quá trình viêm và giảm đau bằng NSAID (cho thể nhẹ) hoặc Corticoid (cho thể trung bình- nặng). 5. Viêm tuyến giáp bán cấp có diễn biến tự nhiên theo 3 hoặc 4 pha rất đặc trưng. Giai đoạn đầu là cường giáp (do rò rỉ hormone, kéo dài vài tuần). Sau khi kho dự trữ cạn kiệt, bệnh nhân chuyển sang giai đoạn bình giáp, rồi suy giáp (do tuyến giáp chưa hồi phục). Cuối cùng, sau vài tháng, đa số (>95%) các trường hợp sẽ hồi phục hoàn toàn chức năng tuyến giáp về bình thường. TÌNH HUỐNG 6 Một phụ nữ 32 tuổi đang mang thai ở tuần thứ 10, đến khám vì nôn ói nhiều và sụt cân. Bệnh nhân bị nghén nặng từ tuần thứ 6, nôn tất cả mọi thứ sau ăn, sụt 4kg. Khám: bệnh nhân mệt mỏi, có dấu hiệu mất nước nhẹ. Tim nhịp nhanh 105 lần/phút. Tuyến giáp không to. Xét nghiệm: TSH 0.05 μIU/mL (giảm), FT4 28 pmol/L (tăng nhẹ). Siêu âm bụng cho thấy hình ảnh thai trong tử cung tương đương 10 tuần, không có dấu hiệu chửa trứng. Nồng độ beta-hCG trong máu rất cao.",Hướng xử trí phù hợp nhất cho bệnh nhân này là gì?,"Điều trị hỗ trợ (bù dịch, chống nôn) và theo dõi, vì tình trạng này thường tự giới hạn.",Chỉ định xạ hình tuyến giáp để xác định chẩn đoán.,Bắt đầu ngay thuốc kháng giáp Propylthiouracil (PTU).,Tư vấn chấm dứt thai kỳ.,,a,"Vì đây là một tình trạng cường giáp sinh lý và tạm thời, điều trị chủ yếu là hỗ trợ các triệu chứng (bù dịch, điện giải, dùng thuốc chống nôn). Thuốc kháng giáp thường không cần thiết và chỉ được xem xét trong những trường hợp rất nặng. Tình trạng này sẽ tự thoái lui khi nồng độ hCG giảm xuống."
noi-cuong-giap-case-3-1,noi,Cường giáp (Basedow),Nội tiết,"gặp ở người lớn tuổi (>60 tuổi), đặc biệt là những người có tiền sử bướu giáp đa nhân lâu năm. Bệnh phổ biến hơn ở các khu vực có tình trạng thiếu hụt iod, vì thiếu iod mạn tính là một yếu tố kích thích sự hình thành bướu và nhân giáp. TÌNH HUỐNG 10 Một bệnh nhân nam 45 tuổi đến khám vì đau đầu và nhìn mờ. Bệnh nhân cũng than phiền có các triệu chứng cường giáp như sụt cân, hồi hộp, run tay trong khoảng 1 năm nay. Khám lâm sàng phát hiện tuyến giáp to lan tỏa, có dấu hiệu mất thị trường thái dương hai bên. Xét nghiệm chức năng tuyến giáp cho kết quả rất đặc biệt: TSH 5.5 μIU/mL (bình thường hoặc tăng nhẹ), FT4 50 pmol/L (tăng cao), T3 4.5 nmol/L (tăng cao).",Nguyên nhân gây cường giáp nào là phù hợp nhất với kết quả xét nghiệm này?,U tuyến yên tiết TSH (TSH-oma),Hội chứng kháng hormone giáp,Bệnh Basedow,Lỗi xét nghiệm,,a,"Kết quả xét nghiệm TSH không bị ức chế (thậm chí tăng) mặc dù nồng độ hormone giáp ngoại biên rất cao là dấu hiệu đặc trưng của cường giáp thứ phát (nguyên nhân tại tuyến yên). Kết hợp với triệu chứng của khối u nội sọ (đau đầu, mất thị trường), chẩn đoán u tuyến yên tiết TSH là gần như chắc chắn."
noi-cuong-giap-case-3-2,noi,Cường giáp (Basedow),Nội tiết,"gặp ở người lớn tuổi (>60 tuổi), đặc biệt là những người có tiền sử bướu giáp đa nhân lâu năm. Bệnh phổ biến hơn ở các khu vực có tình trạng thiếu hụt iod, vì thiếu iod mạn tính là một yếu tố kích thích sự hình thành bướu và nhân giáp. TÌNH HUỐNG 10 Một bệnh nhân nam 45 tuổi đến khám vì đau đầu và nhìn mờ. Bệnh nhân cũng than phiền có các triệu chứng cường giáp như sụt cân, hồi hộp, run tay trong khoảng 1 năm nay. Khám lâm sàng phát hiện tuyến giáp to lan tỏa, có dấu hiệu mất thị trường thái dương hai bên. Xét nghiệm chức năng tuyến giáp cho kết quả rất đặc biệt: TSH 5.5 μIU/mL (bình thường hoặc tăng nhẹ), FT4 50 pmol/L (tăng cao), T3 4.5 nmol/L (tăng cao).",Cơ chế bệnh sinh của tình trạng này là gì?,Tuyến giáp sản xuất một chất giống TSH.,"Các thụ thể hormone giáp ở ngoại biên bị đột biến, không đáp ứng với hormone, làm tuyến yên tăng tiết TSH để bù trừ.",Tự kháng thể kích thích tuyến yên.,"Một khối u lành tính ở tuyến yên sản xuất TSH một cách tự trị, không bị ức chế bởi nồng độ hormone giáp cao trong máu.",,d,"Một khối adenoma (u lành) hình thành từ các tế bào sản xuất TSH của tuyến yên. Khối u này hoạt động một cách tự trị, tiết ra TSH liên tục mà không tuân theo cơ chế điều hòa ngược của FT4/T3. Lượng TSH tăng cao này sẽ kích thích toàn bộ tuyến giáp phì đại và sản xuất quá mức hormone."
