id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-thuyen-tac-phoi-casen2-1-1,noi,Thuyên tắc phổi,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 65 tuổi, vừa trải qua phẫu thuật thay khớp gối toàn phần cách đây 5 ngày. Bệnh nhân đột ngột ngất xỉu khi đang tập đi lại, sau đó tỉnh lại nhưng than khó thở dữ dội, vã mồ hôi lạnh. Khám toàn thân: ý thức lơ mơ, mạch 130 lần/phút, huyết áp 80/50 mmHg, nhịp thở 28 lần/phút, SpO₂ 88% khí trời, tĩnh mạch cổ nổi to. Khám phổi rì rào phế nang hai bên rõ, không có ran. Khám tim nhịp nhanh, T2 đanh ở mạn sườn trái. Siêu âm tim tại giường cho thấy thất phải giãn to đè sụp vách liên thất sang trái trong thì tâm trương.",Định hướng chẩn đoán có khả năng nhất ở bệnh nhân này là gì?,Thuyên tắc động mạch phổi nguy cơ cao,Nhồi máu cơ tim cấp thành trước,Sốc giảm thể tích do chảy máu vết mổ,Tràn dịch màng ngoài tim có chèn ép tim,,a,"Bệnh cảnh ngất, sốc, tĩnh mạch cổ nổi và giãn thất phải cấp tính trên cơ địa nguy cơ cao (sau phẫu thuật chỉnh hình) điển hình cho thuyên tắc phổi nguy cơ cao."
noi-thuyen-tac-phoi-casen2-1-2,noi,Thuyên tắc phổi,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 65 tuổi, vừa trải qua phẫu thuật thay khớp gối toàn phần cách đây 5 ngày. Bệnh nhân đột ngột ngất xỉu khi đang tập đi lại, sau đó tỉnh lại nhưng than khó thở dữ dội, vã mồ hôi lạnh. Khám toàn thân: ý thức lơ mơ, mạch 130 lần/phút, huyết áp 80/50 mmHg, nhịp thở 28 lần/phút, SpO₂ 88% khí trời, tĩnh mạch cổ nổi to. Khám phổi rì rào phế nang hai bên rõ, không có ran. Khám tim nhịp nhanh, T2 đanh ở mạn sườn trái. Siêu âm tim tại giường cho thấy thất phải giãn to đè sụp vách liên thất sang trái trong thì tâm trương.",Cơ chế sinh lý bệnh chính gây ra tình trạng tụt huyết áp ở bệnh nhân này là gì?,Rối loạn nhịp thất đe dọa tính mạng,Tăng hậu gánh thất phải làm giảm cung lượng tim,Giảm tiền gánh thất phải đột ngột,Giãn mạch máu hệ thống lan tỏa,,b,"Huyết khối lấp tắc động mạch phổi làm tăng đột ngột áp lực động mạch phổi (hậu gánh thất phải). Thất phải suy và giãn căng, đè vách liên thất sang trái làm giảm đổ đầy thất trái, gây tụt cung lượng tim và sốc."
noi-thuyen-tac-phoi-casen2-1-3,noi,Thuyên tắc phổi,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 65 tuổi, vừa trải qua phẫu thuật thay khớp gối toàn phần cách đây 5 ngày. Bệnh nhân đột ngột ngất xỉu khi đang tập đi lại, sau đó tỉnh lại nhưng than khó thở dữ dội, vã mồ hôi lạnh. Khám toàn thân: ý thức lơ mơ, mạch 130 lần/phút, huyết áp 80/50 mmHg, nhịp thở 28 lần/phút, SpO₂ 88% khí trời, tĩnh mạch cổ nổi to. Khám phổi rì rào phế nang hai bên rõ, không có ran. Khám tim nhịp nhanh, T2 đanh ở mạn sườn trái. Siêu âm tim tại giường cho thấy thất phải giãn to đè sụp vách liên thất sang trái trong thì tâm trương.",Thăm dò chẩn đoán hình ảnh nào cần được ưu tiên thực hiện để xác định bệnh nếu huyết động cho phép?,Chụp X quang ngực thẳng tư thế đứng,Chụp cộng hưởng từ lồng ngực,Chụp cắt lớp vi tính động mạch phổi,Xạ hình thông khí tưới máu phổi,,c,"Khi huyết động cho phép, CTPA là phương tiện chẩn đoán hình ảnh lựa chọn hàng đầu để xác định PE và đánh giá gánh huyết khối. Ở bệnh nhân quá không ổn định để di chuyển, siêu âm tim tại giường có thể hỗ trợ quyết định xử trí khẩn cấp."
noi-thuyen-tac-phoi-casen2-1-4,noi,Thuyên tắc phổi,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 65 tuổi, vừa trải qua phẫu thuật thay khớp gối toàn phần cách đây 5 ngày. Bệnh nhân đột ngột ngất xỉu khi đang tập đi lại, sau đó tỉnh lại nhưng than khó thở dữ dội, vã mồ hôi lạnh. Khám toàn thân: ý thức lơ mơ, mạch 130 lần/phút, huyết áp 80/50 mmHg, nhịp thở 28 lần/phút, SpO₂ 88% khí trời, tĩnh mạch cổ nổi to. Khám phổi rì rào phế nang hai bên rõ, không có ran. Khám tim nhịp nhanh, T2 đanh ở mạn sườn trái. Siêu âm tim tại giường cho thấy thất phải giãn to đè sụp vách liên thất sang trái trong thì tâm trương.","Ở thuyên tắc phổi nguy cơ cao có sốc, liệu pháp tái tưới máu toàn thân kinh điển nếu KHÔNG có chống chỉ định chảy máu là gì?",Truyền dịch khối lượng lớn đơn độc,Chỉ dùng thuốc vận mạch mà không tái tưới máu,Đặt lưới lọc tĩnh mạch chủ dưới đơn độc,Tiêu sợi huyết toàn thân bằng thuốc tiêu sợi huyết,,d,"Ở PE nguy cơ cao/có suy sụp huyết động, tái tưới máu khẩn cấp phải được cân nhắc. Tiêu sợi huyết toàn thân là lựa chọn kinh điển khi không có chống chỉ định chảy máu; tuy nhiên bệnh nhân này vừa phẫu thuật lớn 5 ngày trước nên nguy cơ xuất huyết rất cao và cần ưu tiên đánh giá các biện pháp tái tưới máu can thiệp hoặc phẫu thuật nếu khả thi."
noi-thuyen-tac-phoi-casen2-1-5,noi,Thuyên tắc phổi,Tim mạch,"TÌNH HUỐNG 1 Bệnh nhân nam 65 tuổi, vừa trải qua phẫu thuật thay khớp gối toàn phần cách đây 5 ngày. Bệnh nhân đột ngột ngất xỉu khi đang tập đi lại, sau đó tỉnh lại nhưng than khó thở dữ dội, vã mồ hôi lạnh. Khám toàn thân: ý thức lơ mơ, mạch 130 lần/phút, huyết áp 80/50 mmHg, nhịp thở 28 lần/phút, SpO₂ 88% khí trời, tĩnh mạch cổ nổi to. Khám phổi rì rào phế nang hai bên rõ, không có ran. Khám tim nhịp nhanh, T2 đanh ở mạn sườn trái. Siêu âm tim tại giường cho thấy thất phải giãn to đè sụp vách liên thất sang trái trong thì tâm trương.","Nếu bệnh nhân có chống chỉ định tuyệt đối với thuốc ưu tiên ở câu 4 do mới phẫu thuật, phương án thay thế tốt nhất là gì?",Lấy huyết khối qua đường ống thông hoặc phẫu thuật,Chọc hút dịch màng phổi giải áp khẩn cấp,Tăng liều thuốc chống đông đường uống lên gấp đôi,Truyền huyết tương tươi đông lạnh liều cao,,a,Khi tiêu sợi huyết toàn thân bị chống chỉ định hoặc nguy cơ
noi-thuyen-tac-phoi-casen2-2-1,noi,Thuyên tắc phổi,Tim mạch,"chảy máu không chấp nhận được, lấy huyết khối cơ học qua catheter hoặc phẫu thuật lấy huyết khối là các lựa chọn tái tưới máu cứu mạng, tùy nguồn lực và tình trạng bệnh nhân. Nguồn tham khảo cập nhật: 2026 AHA/ACC/ACCP/ACEP/CHEST/SCAI/SHM/SIR/SVM/SVN Guideline for Acute Pulmonary Embolism in Adults. TÌNH HUỐNG 2 Bệnh nhân nữ 45 tuổi, tiền sử hoàn toàn khỏe mạnh, sử dụng thuốc tránh thai đường uống chứa estrogen liên tục 5 năm nay. Bệnh nhân vào viện vì đau tức ngực phải kiểu màng phổi và khó thở nhẹ khởi phát cách đây 2 ngày. Khám lâm sàng: tỉnh táo, mạch 105 lần/phút, huyết áp 120/80 mmHg, nhịp thở 20 lần/phút, SpO₂ 95% khí trời. Khám cẳng chân trái thấy sưng nhẹ, ấn đau dọc theo đường đi tĩnh mạch khoeo. Chụp cắt lớp vi tính động mạch phổi có hình ảnh huyết khối ở nhánh thùy dưới phổi phải. Siêu âm tim cho thấy đường kính thất phải lớn hơn thất trái.",Việc sử dụng thuốc tránh thai gây thuyên tắc phổi thông qua cơ chế nào trong tam chứng Virchow?,Gây tổn thương trực tiếp lớp nội mạc,Tạo ra tình trạng tăng đông máu hệ thống,Gây ứ trệ tuần hoàn tĩnh mạch ngoại vi,Làm tăng độ quánh của máu do mất nước,,b,"Estrogen trong thuốc tránh thai làm tăng tổng hợp các yếu tố đông máu tại gan, dẫn đến tình trạng tăng đông sinh lý, dễ hình thành huyết khối tĩnh mạch."
noi-thuyen-tac-phoi-casen2-2-2,noi,Thuyên tắc phổi,Tim mạch,"chảy máu không chấp nhận được, lấy huyết khối cơ học qua catheter hoặc phẫu thuật lấy huyết khối là các lựa chọn tái tưới máu cứu mạng, tùy nguồn lực và tình trạng bệnh nhân. Nguồn tham khảo cập nhật: 2026 AHA/ACC/ACCP/ACEP/CHEST/SCAI/SHM/SIR/SVM/SVN Guideline for Acute Pulmonary Embolism in Adults. TÌNH HUỐNG 2 Bệnh nhân nữ 45 tuổi, tiền sử hoàn toàn khỏe mạnh, sử dụng thuốc tránh thai đường uống chứa estrogen liên tục 5 năm nay. Bệnh nhân vào viện vì đau tức ngực phải kiểu màng phổi và khó thở nhẹ khởi phát cách đây 2 ngày. Khám lâm sàng: tỉnh táo, mạch 105 lần/phút, huyết áp 120/80 mmHg, nhịp thở 20 lần/phút, SpO₂ 95% khí trời. Khám cẳng chân trái thấy sưng nhẹ, ấn đau dọc theo đường đi tĩnh mạch khoeo. Chụp cắt lớp vi tính động mạch phổi có hình ảnh huyết khối ở nhánh thùy dưới phổi phải. Siêu âm tim cho thấy đường kính thất phải lớn hơn thất trái.","Theo phân tầng hiện đại, bệnh nhân huyết động ổn định nhưng có bằng chứng giãn thất phải trên siêu âm thuộc nhóm nào phù hợp nhất?",Không thể phân tầng nguy cơ bằng bất kỳ dữ kiện nào,"Nguy cơ thấp hoàn toàn, có thể bỏ qua theo dõi","Nhóm có dấu hiệu nguy cơ do rối loạn chức năng thất phải, cần nhập viện theo dõi",Nguy cơ cao với sốc tắc nghẽn,,c,"Bệnh nhân không tụt huyết áp nên không thuộc nhóm nguy cơ cao/suy sụp huyết động. Tuy nhiên RV/LV > 1 là dấu hiệu rối loạn chức năng thất phải, đưa bệnh nhân vào nhóm có nguy cơ tăng và cần nhập viện theo dõi. Theo hệ phân loại AHA/ACC 2026, PE có rối loạn chức năng thất phải và/hoặc biomarker tăng thuộc nhóm Category C; việc chia “trung bình-thấp/trung bình-cao” theo ESC cũ còn cần thêm điểm lâm sàng và biomarker tim."
noi-thuyen-tac-phoi-casen2-2-3,noi,Thuyên tắc phổi,Tim mạch,"chảy máu không chấp nhận được, lấy huyết khối cơ học qua catheter hoặc phẫu thuật lấy huyết khối là các lựa chọn tái tưới máu cứu mạng, tùy nguồn lực và tình trạng bệnh nhân. Nguồn tham khảo cập nhật: 2026 AHA/ACC/ACCP/ACEP/CHEST/SCAI/SHM/SIR/SVM/SVN Guideline for Acute Pulmonary Embolism in Adults. TÌNH HUỐNG 2 Bệnh nhân nữ 45 tuổi, tiền sử hoàn toàn khỏe mạnh, sử dụng thuốc tránh thai đường uống chứa estrogen liên tục 5 năm nay. Bệnh nhân vào viện vì đau tức ngực phải kiểu màng phổi và khó thở nhẹ khởi phát cách đây 2 ngày. Khám lâm sàng: tỉnh táo, mạch 105 lần/phút, huyết áp 120/80 mmHg, nhịp thở 20 lần/phút, SpO₂ 95% khí trời. Khám cẳng chân trái thấy sưng nhẹ, ấn đau dọc theo đường đi tĩnh mạch khoeo. Chụp cắt lớp vi tính động mạch phổi có hình ảnh huyết khối ở nhánh thùy dưới phổi phải. Siêu âm tim cho thấy đường kính thất phải lớn hơn thất trái.",Dấu hiệu điện tâm đồ nào sau đây thường phản ánh tình trạng căng giãn thất phải cấp tính nhạy hơn dấu hiệu S1Q3T3?,Sóng Q sâu rộng ở các chuyển đạo thành bên,Đoạn ST chênh lên ở các chuyển đạo thành dưới,Block nhánh trái hoàn toàn mới xuất hiện,Sóng T âm ở các chuyển đạo trước tim V1 đến V4,,d,Sóng T đảo ngược ở các chuyển đạo trước tim phải (V1-V4) là biểu hiện phổ biến và nhạy hơn phản ánh tình trạng thiếu máu cục bộ do căng giãn thất phải cấp tính so với dấu hiệu S1Q3T3.
noi-thuyen-tac-phoi-casen2-2-4,noi,Thuyên tắc phổi,Tim mạch,"chảy máu không chấp nhận được, lấy huyết khối cơ học qua catheter hoặc phẫu thuật lấy huyết khối là các lựa chọn tái tưới máu cứu mạng, tùy nguồn lực và tình trạng bệnh nhân. Nguồn tham khảo cập nhật: 2026 AHA/ACC/ACCP/ACEP/CHEST/SCAI/SHM/SIR/SVM/SVN Guideline for Acute Pulmonary Embolism in Adults. TÌNH HUỐNG 2 Bệnh nhân nữ 45 tuổi, tiền sử hoàn toàn khỏe mạnh, sử dụng thuốc tránh thai đường uống chứa estrogen liên tục 5 năm nay. Bệnh nhân vào viện vì đau tức ngực phải kiểu màng phổi và khó thở nhẹ khởi phát cách đây 2 ngày. Khám lâm sàng: tỉnh táo, mạch 105 lần/phút, huyết áp 120/80 mmHg, nhịp thở 20 lần/phút, SpO₂ 95% khí trời. Khám cẳng chân trái thấy sưng nhẹ, ấn đau dọc theo đường đi tĩnh mạch khoeo. Chụp cắt lớp vi tính động mạch phổi có hình ảnh huyết khối ở nhánh thùy dưới phổi phải. Siêu âm tim cho thấy đường kính thất phải lớn hơn thất trái.","Nếu lựa chọn chống đông đường tiêm ban đầu cho bệnh nhân huyết động ổn định này, thuốc nào thường được ưu tiên?",Heparin trọng lượng phân tử thấp tiêm dưới da,Tiêu sợi huyết toàn thân thường quy,Warfarin đơn thuần ngay từ đầu,Aspirin kết hợp Clopidogrel,,a,"Ở bệnh nhân PE huyết động ổn định cần chống đông đường tiêm, LMWH thường được ưu tiên hơn UFH. Với người bệnh phù hợp cho thuốc uống, DOAC cũng là lựa chọn ưu tiên hơn VKA theo khuyến cáo 2026. Tiêu sợi huyết không dùng thường quy nếu chưa có suy sụp huyết động."
noi-thuyen-tac-phoi-casen2-3-1,noi,Thuyên tắc phổi,Tim mạch,"Bệnh nhân đã bị thuyên tắc phổi bắt buộc phải ngừng vĩnh viễn nhóm thuốc này để tránh tái phát. Nguồn tham khảo cập nhật: 2026 AHA/ACC/ACCP/ACEP/CHEST/SCAI/SHM/SIR/SVM/SVN Guideline for Acute Pulmonary Embolism in Adults. C. Giảm nửa liều thuốc tránh thai đang dùng D. Dùng thuốc tránh thai xen kẽ cách ngày TÌNH HUỐNG 3 Bệnh nhân nam 30 tuổi, đến phòng khám vì ho khan và đau ngực nhẹ khi hít sâu kéo dài 1 ngày. Bệnh nhân làm nhân viên văn phòng, hoàn toàn khỏe mạnh trước đó, không phẫu thuật, không nằm bất động, không ho máu. Khám: mạch 85 lần/phút, huyết áp 120/80 mmHg, nhịp thở 18 lần/phút, SpO₂ 98%. Phổi trong, không có ran. Bác sĩ đánh giá xác suất lâm sàng mắc thuyên tắc phổi theo điểm Wells là 1 điểm (nguy cơ thấp). Bác sĩ chỉ định định lượng D-dimer trong máu.",Cơ chế sinh lý bệnh tạo ra D-dimer trong huyết thanh là gì?,Sự tăng sản xuất protein pha cấp từ tế bào gan,Sự hoạt hóa hệ thống bổ thể toàn thân do viêm,Sự giáng hóa lưới fibrin liên kết chéo dưới tác động của plasmin,Sự phân hủy tế bào cơ tim giải phóng protein nội bào,,c,"D-dimer là sản phẩm thoái giáng đặc hiệu của lưới fibrin đã được liên kết chéo, phản ánh quá trình hình thành và ly giải cục máu đông đang diễn ra trong cơ thể."
