id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-loang-xuong-mcq-001,noi,Loãng xương,Cơ xương khớp,,Khái niệm loãng xương theo Tổ chức Y tế Thế giới (WHO) được đặc trưng bởi sự suy giảm của:,Thể tích và trọng lượng xương,Khối lượng và vi cấu trúc xương,Chất nền xương và khoáng chất,Canxi và phốt pho trong xương,,b,"Định nghĩa kinh điển phải nhớ: Loãng xương là bệnh lý hệ thống đặc trưng bởi sự giảm khối lượng xương và suy giảm vi cấu trúc mô xương, dẫn đến tăng tính giòn và dễ gãy. (Nguồn: Bệnh học nội khoa YHN)"
noi-loang-xuong-mcq-002,noi,Loãng xương,Cơ xương khớp,,Loãng xương nguyên phát type 1 (loãng xương sau mãn kinh) chủ yếu ảnh hưởng đến đối tượng nào?,Nam giới trên 60 tuổi,Phụ nữ mãn kinh từ 50-70 tuổi,Người có hội chứng kém hấp thu,Người già trên 75 tuổi cả 2 giới,,b,Loãng xương nguyên phát chia 2 type. Type 1 liên quan mật thiết đến suy giảm estrogen sau mãn kinh ở nữ. Type 2 (loãng xương tuổi già) xảy ra ở cả nam và nữ > 70 tuổi do giảm hấp thu canxi và lão hóa tạo cốt bào.
noi-loang-xuong-mcq-003,noi,Loãng xương,Cơ xương khớp,,Đặc điểm tổn thương mô học nổi bật nhất của loãng xương nguyên phát type 2 là gì?,Tổn thương ưu thế ở xương xốp,Mất xương xốp và xương đặc với tỷ lệ tương đương,Tăng sinh quá mức màng xương,Quá trình tạo xương vượt quá hủy xương,,b,"Loãng xương type 1 mất xương xốp (bè xương) là chủ yếu (hay gãy lún đốt sống, đầu dưới xương quay). Loãng xương type 2 mất đều cả xương xốp và xương đặc (hay gãy cổ xương đùi)."
noi-loang-xuong-mcq-004,noi,Loãng xương,Cơ xương khớp,,Khối lượng xương đỉnh ở người bình thường thường đạt được ở độ tuổi nào?,15-20 tuổi,20-30 tuổi,35-40 tuổi,40-50 tuổi,,b,"Mốc sinh lý quan trọng: Xương tích lũy khối lượng lớn nhất vào khoảng tuổi 20-30. Sau tuổi 30, quá trình mất xương sinh lý bắt đầu diễn ra."
noi-loang-xuong-mcq-005,noi,Loãng xương,Cơ xương khớp,,Yếu tố nào sau đây là nguy cơ không thể thay đổi đối với bệnh loãng xương?,Hút thuốc lá,Chỉ số khối cơ thể thấp,Chủng tộc da trắng hoặc châu Á,Thiếu hụt vitamin D,,c,"Chủng tộc da trắng và châu Á có nguy cơ loãng xương cao hơn người da đen. Đây là yếu tố cơ địa/di truyền không thể thay đổi, trong khi BMI, thuốc lá, dinh dưỡng là yếu tố có thể can thiệp."
noi-loang-xuong-mcq-006,noi,Loãng xương,Cơ xương khớp,,Nhóm thuốc nào sau đây là nguyên nhân phổ biến nhất gây loãng xương thứ phát trên lâm sàng?,Lợi tiểu Thiazide,Glucocorticoid,Chẹn beta giao cảm,Kháng sinh nhóm Quinolone,,b,"Glucocorticoid (corticoid) là thủ phạm hàng đầu gây mất xương thứ phát do tác động đa cơ chế (ức chế tạo cốt bào, giảm hấp thu Ca, tăng bài tiết Ca). Lợi tiểu Thiazide lại có tác dụng giữ canxi, đôi khi có lợi cho xương."
noi-loang-xuong-mcq-007,noi,Loãng xương,Cơ xương khớp,,Cơ chế chính gây mất xương nhanh trong loãng xương sau mãn kinh là do sự thiếu hụt hormone nào?,Progesterone,Estrogen,Calcitonin,Parathormone,,b,"Sụt giảm Estrogen làm tăng tuổi thọ và hoạt tính của hủy cốt bào, đồng thời giảm sự chết theo chương trình của chúng, dẫn đến chu chuyển xương tăng cao nghiêng về quá trình hủy xương."
noi-loang-xuong-mcq-008,noi,Loãng xương,Cơ xương khớp,,Hoạt chất Osteoprotegerin (OPG) có vai trò sinh lý gì trong chu chuyển xương?,Kích thích sự biệt hóa của tạo cốt bào,Gắn vào thụ thể RANKL để ức chế hủy cốt bào,Tăng hấp thu canxi ở ống lượn xa,Tăng tổng hợp vitamin D ở thận,,b,"Cơ chế phân tử cốt lõi: OPG là ""thụ thể mồi nhử"" do tạo cốt bào tiết ra, gắn vào RANKL ngăn không cho RANKL gắn vào RANK trên hủy cốt bào, từ đó hãm lại quá trình hủy xương."
noi-loang-xuong-mcq-009,noi,Loãng xương,Cơ xương khớp,,"Trong loãng xương tuổi già, nồng độ hormone tuyến cận giáp (PTH) thường có xu hướng thay đổi như thế nào?",Giảm mạnh,Tăng nhẹ bù trừ,Giảm nhẹ,Không thay đổi,,b,"Người già giảm hấp thu Ca ở ruột (do giảm Vit D, lão hóa niêm mạc), dẫn đến Ca máu xu hướng giảm nhẹ, kích thích tuyến cận giáp tăng tiết PTH bù trừ (cường cận giáp thứ phát nhẹ) gây rút Ca từ xương."
noi-loang-xuong-mcq-010,noi,Loãng xương,Cơ xương khớp,,Glucocorticoid gây loãng xương thông qua cơ chế tác động trực tiếp lên tế bào xương như thế nào?,Tăng sinh tiền hủy cốt bào thành hủy cốt bào,Tăng tuổi thọ của tạo cốt bào,Gây chết theo chương trình của tạo cốt bào và tế bào xương,Kích thích tổng hợp collagen type I,,c,"Bẫy cơ chế: Corticoid không chỉ kích thích hủy xương mà độc tính trực tiếp lớn nhất là ức chế chức năng và gây chết theo chương trình (apoptosis) của tạo cốt bào và tế bào xương (osteocyte), làm ngừng trệ quá trình tạo xương."
