id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-cuong-giap-basedow-n2-mcq-001,noi,Cường giáp (Basedow),Nội tiết,,Hội chứng nhiễm độc giáp được định nghĩa là tình trạng bệnh lý do nguyên nhân nào gây ra?,Tuyến giáp tăng tổng hợp và giải phóng quá mức hormone vào máu,Lượng hormone tuyến giáp trong máu tăng cao do bất kỳ nguyên nhân nào,Quá trình viêm làm phá hủy nang giáp giải phóng hormone ồ ạt,Sự tiêu thụ quá mức hormone tuyến giáp ở các mô ngoại vi,,b,"Nhiễm độc giáp (Thyrotoxicosis) là hội chứng lâm sàng do tăng hormone giáp trong máu từ bất kỳ nguồn nào. Cường giáp (Hyperthyroidism) hẹp hơn, chỉ tình trạng tuyến giáp tăng hoạt động tổng hợp hormone. Ý cần nhớ: Nhiễm độc giáp bao hàm cả cường giáp và các nguyên nhân không do cường giáp. Nguồn: Bệnh học nội khoa YHN."
noi-cuong-giap-basedow-n2-mcq-002,noi,Cường giáp (Basedow),Nội tiết,,Nguyên nhân nào sau đây chiếm tỷ lệ cao nhất gây ra hội chứng cường giáp?,Bướu giáp đa nhân độc,U tuyến độc tuyến giáp,Bệnh Basedow,Viêm tuyến giáp bán cấp,,c,"Bệnh Basedow (Graves' disease) là nguyên nhân phổ biến nhất, chiếm 60-80% các trường hợp cường giáp. Bệnh có tính chất tự miễn. Ý cần nhớ: Basedow luôn là chẩn đoán được nghĩ tới đầu tiên khi đứng trước bệnh nhân cường giáp. Nguồn: Bệnh học nội khoa YHN."
noi-cuong-giap-basedow-n2-mcq-003,noi,Cường giáp (Basedow),Nội tiết,,Đặc điểm dịch tễ học điển hình nhất của bệnh Basedow là gì?,"Nam giới, 20-40 tuổi","Nữ giới, 20-40 tuổi","Nam giới, trên 60 tuổi","Nữ giới, trên 60 tuổi",,b,"Basedow thường gặp ở nữ giới với tỷ lệ nữ/nam khoảng 5/1 đến 10/1, đỉnh cao khởi phát bệnh là độ tuổi từ 20 đến 40 tuổi. Ý cần nhớ: Đặc điểm giới tính và độ tuổi trẻ/trung niên giúp định hướng lâm sàng quan trọng. Nguồn: Bệnh học nội khoa YHN."
noi-cuong-giap-basedow-n2-mcq-004,noi,Cường giáp (Basedow),Nội tiết,,Hội chứng Jod-Basedow là tình trạng cường giáp xảy ra do yếu tố nào thúc đẩy?,Ngừng đột ngột thuốc kháng giáp tổng hợp,Bổ sung lượng lớn iod ở người có bất thường tuyến giáp từ trước,Nhiễm virus đường hô hấp trên,Phụ nữ sau sinh khoảng 3-6 tháng,,b,"Hiện tượng Jod-Basedow là cường giáp do cung cấp quá nhiều iod (ví dụ dùng thuốc cản quang, amiodarone) trên bệnh nhân đã có bướu cổ địa phương hoặc bướu đa nhân từ trước. Ý cần nhớ: Khác với hiệu ứng Wolff- Chaikoff (iod liều cao ức chế tuyến giáp), Jod- Basedow là cường giáp do thừa iod."
noi-cuong-giap-basedow-n2-mcq-005,noi,Cường giáp (Basedow),Nội tiết,,Tình trạng nào sau đây có biểu hiện nhiễm độc giáp lâm sàng nhưng KHÔNG đi kèm cường giáp?,U tuyến độc tuyến giáp,Bướu đa nhân độc tuyến giáp,Quá liều Levothyroxine điều trị,Bệnh Basedow,,c,Quá liều Levothyroxine (hormone ngoại sinh) gây nhiễm độc giáp nhưng chức năng tổng hợp của tuyến giáp thực tế đang bị ức chế (không cường giáp). Đây là bẫy kinh điển cần phân biệt. Nguồn: Bệnh học nội khoa YHN.
noi-cuong-giap-basedow-n2-mcq-006,noi,Cường giáp (Basedow),Nội tiết,,Tình trạng nhiễm độc giáp trong viêm tuyến giáp De Quervain (bán cấp) thường kéo dài trong khoảng thời gian bao lâu?,Vài ngày đến 1 tuần,2 đến 6 tuần,6 tháng đến 1 năm,Kéo dài vĩnh viễn không hồi phục,,b,"Trong viêm tuyến giáp bán cấp, giai đoạn nhiễm độc giáp do phá hủy nang giáp giải phóng hormone dự trữ thường chỉ diễn ra thoáng qua từ 2-6 tuần, sau đó chuyển sang bình giáp hoặc suy giáp tạm thời. Nguồn: Bệnh học nội khoa YHN."
noi-cuong-giap-basedow-n2-mcq-007,noi,Cường giáp (Basedow),Nội tiết,,Kháng thể nào sau đây đóng vai trò bệnh sinh cốt lõi trong bệnh Basedow?,Anti-TPO,Anti-Tg,TRAb,ANA,,c,"TRAb (TSH Receptor Antibodies) là kháng thể kích thích thụ thể TSH, hoạt động như TSH gắn vào màng tế bào nang giáp, kích thích tuyến giáp phì đại và tăng tổng hợp hormone vô tổ chức. Ý cần nhớ: TRAb là bản chất tự miễn của Basedow. Nguồn: Bệnh học nội khoa YHN."
noi-cuong-giap-basedow-n2-mcq-008,noi,Cường giáp (Basedow),Nội tiết,,Cơ chế chính gây nhịp tim nhanh và các rối loạn huyết động trong hội chứng cường giáp là gì?,Tăng hoạt động của hệ phó giao cảm,Tăng số lượng và độ nhạy cảm của các thụ thể beta- adrenergic,Suy giảm chức năng nút xoang do tự miễn,Co thắt hệ thống mạch máu ngoại vi,,b,"Hormone giáp làm tăng số lượng thụ thể beta-adrenergic trên màng tế bào cơ tim và tăng tính nhạy cảm với catecholamine, dẫn đến nhịp nhanh, tăng co bóp cơ tim. Ý cần nhớ: Giải thích vì sao thuốc chẹn beta giao cảm có hiệu quả lâm sàng rất cao. Nguồn: Bệnh học nội khoa YHN."
noi-cuong-giap-basedow-n2-mcq-009,noi,Cường giáp (Basedow),Nội tiết,,Bệnh lý lồi mắt trong Basedow là hậu quả của quá trình nào dưới đây?,Giãn hệ thống tĩnh mạch và mao mạch hốc mắt,Phì đại trực tiếp nhãn cầu do nồng độ hormone T4 cao,Kháng thể kích thích nguyên bào sợi tăng tiết Glycosaminoglycans (GAGs) sau nhãn cầu,Tăng áp lực nội sọ chèn ép đẩy nhãn cầu ra trước,,c,"TRAb gắn vào thụ thể TSH trên nguyên bào sợi hốc mắt, kích thích sản xuất GAGs (nhất là hyaluronic acid) và tăng sinh mỡ, gây giữ nước, phù nề tổ chức hậu nhãn cầu đẩy lồi mắt. Ý cần nhớ: Lồi mắt là tổn thương tự miễn đặc hiệu, không đơn thuần do nồng độ hormone cao."
noi-cuong-giap-basedow-n2-mcq-010,noi,Cường giáp (Basedow),Nội tiết,,Sự hình thành bướu cổ lan tỏa trong bệnh Basedow chủ yếu do tác động của yếu tố nào lên tế bào nang giáp?,Kích thích của nồng độ TSH máu tăng cao,Tác dụng kích thích liên tục của TRAb lên thụ thể TSH,Tăng sinh mô đệm và phản ứng viêm hạt,Thiếu hụt iod tương đối kích thích tuyến giáp phì đại,,b,"Trong Basedow, TSH nội sinh bị ức chế giảm sâu, nhưng tuyến giáp vẫn phì đại lan tỏa do kháng thể TRAb bắt chước tác dụng của TSH, kích thích liên tục thụ thể TSH làm tăng sinh tế bào nang giáp. Nguồn: Bệnh học nội khoa YHN."
