id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-ly-duong-mat-mcq-001,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 52 tuổi, nhân viên văn phòng, thể trạng béo (BMI 29 kg/m²), vào viện cấp cứu vì đau bụng dữ dội. Bệnh khởi phát đột ngột cách đây 8 giờ sau một bữa ăn tối thịnh soạn nhiều dầu mỡ, với cơn đau quặn dữ dội ở vùng hạ sườn phải, lan lên vai phải và ra sau lưng. Cơn đau liên tục, không có tư thế giảm đau, kèm theo buồn nôn và nôn ra dịch thức ăn. Bệnh nhân có sốt 38.5°C, không vàng da. Tiền sử có sỏi túi mật nhỏ được phát hiện tình cờ qua siêu âm cách đây 2 năm nhưng không điều trị gì. Khám toàn thân bệnh nhân tỉnh, vẻ mặt đau đớn, sinh hiệu: mạch 105 lần/phút, huyết áp 130/80 mmHg, nhịp thở 22 lần/phút, nhiệt độ 38.6°C, SpO₂ 98% khí trời. Bụng chướng nhẹ, ấn có phản ứng thành bụng và co cứng ở vùng hạ sườn phải, nghiệm pháp Murphy dương tính rõ. Gan không to, không có dấu hiệu suy gan mạn. Cận lâm sàng ghi nhận: Bạch cầu 15.5 G/L (neutrophil 85%); CRP 120 mg/L; Amylase máu 150 U/L; Bilirubin toàn phần 18 µmol/L; AST 45 U/L, ALT 50 U/L. Siêu âm bụng cấp cứu cho thấy túi mật căng to, kích thước 10x5 cm, thành dày 6 mm, có hình ảnh ""hai lớp"", có nhiều sỏi nhỏ bên trong và một viên sỏi kẹt ở vùng cổ túi mật, ấn đầu dò vào vị trí túi mật bệnh nhân rất đau (dấu hiệu Murphy siêu âm dương tính).

Chẩn đoán nào là phù hợp nhất với bệnh nhân này?",Viêm túi mật cấp do sỏi.,Viêm tụy cấp do sỏi.,Thủng ổ loét dạ dày.,Cơn đau quặn gan đơn thuần.,,a,"Bệnh cảnh lâm sàng (cơn đau quặn mật điển hình, sốt) và khám thực thể (dấu hiệu Murphy dương tính, co cứng HSP) cùng với các bằng chứng trên xét nghiệm (hội chứng nhiễm trùng) và siêu âm (túi mật căng, thành dày, sỏi kẹt cổ) là rất điển hình cho Viêm túi mật cấp do sỏi."
noi-benh-ly-duong-mat-mcq-002,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 52 tuổi, nhân viên văn phòng, thể trạng béo (BMI 29 kg/m²), vào viện cấp cứu vì đau bụng dữ dội. Bệnh khởi phát đột ngột cách đây 8 giờ sau một bữa ăn tối thịnh soạn nhiều dầu mỡ, với cơn đau quặn dữ dội ở vùng hạ sườn phải, lan lên vai phải và ra sau lưng. Cơn đau liên tục, không có tư thế giảm đau, kèm theo buồn nôn và nôn ra dịch thức ăn. Bệnh nhân có sốt 38.5°C, không vàng da. Tiền sử có sỏi túi mật nhỏ được phát hiện tình cờ qua siêu âm cách đây 2 năm nhưng không điều trị gì. Khám toàn thân bệnh nhân tỉnh, vẻ mặt đau đớn, sinh hiệu: mạch 105 lần/phút, huyết áp 130/80 mmHg, nhịp thở 22 lần/phút, nhiệt độ 38.6°C, SpO₂ 98% khí trời. Bụng chướng nhẹ, ấn có phản ứng thành bụng và co cứng ở vùng hạ sườn phải, nghiệm pháp Murphy dương tính rõ. Gan không to, không có dấu hiệu suy gan mạn. Cận lâm sàng ghi nhận: Bạch cầu 15.5 G/L (neutrophil 85%); CRP 120 mg/L; Amylase máu 150 U/L; Bilirubin toàn phần 18 µmol/L; AST 45 U/L, ALT 50 U/L. Siêu âm bụng cấp cứu cho thấy túi mật căng to, kích thước 10x5 cm, thành dày 6 mm, có hình ảnh ""hai lớp"", có nhiều sỏi nhỏ bên trong và một viên sỏi kẹt ở vùng cổ túi mật, ấn đầu dò vào vị trí túi mật bệnh nhân rất đau (dấu hiệu Murphy siêu âm dương tính).

Cơ chế bệnh sinh chính gây ra viêm túi mật cấp trong trường hợp này là gì?",Nhiễm trùng huyết dẫn đến hình thành áp xe trong túi mật.,"Sự tắc nghẽn của ống túi mật do sỏi, dẫn đến ứ đọng dịch mật, tăng áp lực trong túi mật và gây ra một chuỗi phản ứng viêm hóa học và bội nhiễm vi khuẩn.",Do thiếu máu cục bộ thành túi mật nguyên phát.,Do trào ngược dịch tụy vào trong lòng túi mật.,,b,"Đây là cơ chế cốt lõi. Sự tắc nghẽn ống túi mật là sự kiện khởi đầu. Dịch mật bị ứ lại làm tăng áp lực, gây tổn thương niêm mạc. Các chất như lysolecithin (do phospholipase từ niêm mạc bị tổn thương hoạt hóa) và prostaglandin được giải phóng, gây ra một phản ứng viêm hóa học. Tình trạng căng giãn và viêm làm giảm tưới máu thành túi mật, và cuối cùng là sự bội nhiễm của vi khuẩn từ đường ruột, dẫn đến viêm mủ."
noi-benh-ly-duong-mat-mcq-003,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 52 tuổi, nhân viên văn phòng, thể trạng béo (BMI 29 kg/m²), vào viện cấp cứu vì đau bụng dữ dội. Bệnh khởi phát đột ngột cách đây 8 giờ sau một bữa ăn tối thịnh soạn nhiều dầu mỡ, với cơn đau quặn dữ dội ở vùng hạ sườn phải, lan lên vai phải và ra sau lưng. Cơn đau liên tục, không có tư thế giảm đau, kèm theo buồn nôn và nôn ra dịch thức ăn. Bệnh nhân có sốt 38.5°C, không vàng da. Tiền sử có sỏi túi mật nhỏ được phát hiện tình cờ qua siêu âm cách đây 2 năm nhưng không điều trị gì. Khám toàn thân bệnh nhân tỉnh, vẻ mặt đau đớn, sinh hiệu: mạch 105 lần/phút, huyết áp 130/80 mmHg, nhịp thở 22 lần/phút, nhiệt độ 38.6°C, SpO₂ 98% khí trời. Bụng chướng nhẹ, ấn có phản ứng thành bụng và co cứng ở vùng hạ sườn phải, nghiệm pháp Murphy dương tính rõ. Gan không to, không có dấu hiệu suy gan mạn. Cận lâm sàng ghi nhận: Bạch cầu 15.5 G/L (neutrophil 85%); CRP 120 mg/L; Amylase máu 150 U/L; Bilirubin toàn phần 18 µmol/L; AST 45 U/L, ALT 50 U/L. Siêu âm bụng cấp cứu cho thấy túi mật căng to, kích thước 10x5 cm, thành dày 6 mm, có hình ảnh ""hai lớp"", có nhiều sỏi nhỏ bên trong và một viên sỏi kẹt ở vùng cổ túi mật, ấn đầu dò vào vị trí túi mật bệnh nhân rất đau (dấu hiệu Murphy siêu âm dương tính).

Theo Hướng dẫn Tokyo 2018, chẩn đoán xác định Viêm túi mật cấp cần những yếu tố nào?",Chỉ cần có hình ảnh sỏi túi mật trên siêu âm.,"Cần có ít nhất một dấu hiệu viêm tại chỗ, một dấu hiệu viêm toàn thân và một bằng chứng hình ảnh học đặc hiệu.","Chỉ cần có dấu hiệu viêm tại chỗ (Murphy, đau hạ sườn phải).","Chỉ cần có dấu hiệu viêm toàn thân (sốt, tăng CRP, tăng bạch cầu).",,b,"Hướng dẫn Tokyo 2018 yêu cầu để chẩn đoán xác định cần có 1 tiêu chuẩn trong mỗi nhóm: A (Dấu hiệu viêm tại chỗ: Murphy, đau/khối HSP); B (Dấu hiệu viêm toàn thân: sốt, tăng bạch cầu, tăng CRP); và C (Bằng chứng hình ảnh học đặc trưng cho viêm túi mật cấp). Bệnh nhân này thỏa mãn cả 3 nhóm."
noi-benh-ly-duong-mat-mcq-004,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 52 tuổi, nhân viên văn phòng, thể trạng béo (BMI 29 kg/m²), vào viện cấp cứu vì đau bụng dữ dội. Bệnh khởi phát đột ngột cách đây 8 giờ sau một bữa ăn tối thịnh soạn nhiều dầu mỡ, với cơn đau quặn dữ dội ở vùng hạ sườn phải, lan lên vai phải và ra sau lưng. Cơn đau liên tục, không có tư thế giảm đau, kèm theo buồn nôn và nôn ra dịch thức ăn. Bệnh nhân có sốt 38.5°C, không vàng da. Tiền sử có sỏi túi mật nhỏ được phát hiện tình cờ qua siêu âm cách đây 2 năm nhưng không điều trị gì. Khám toàn thân bệnh nhân tỉnh, vẻ mặt đau đớn, sinh hiệu: mạch 105 lần/phút, huyết áp 130/80 mmHg, nhịp thở 22 lần/phút, nhiệt độ 38.6°C, SpO₂ 98% khí trời. Bụng chướng nhẹ, ấn có phản ứng thành bụng và co cứng ở vùng hạ sườn phải, nghiệm pháp Murphy dương tính rõ. Gan không to, không có dấu hiệu suy gan mạn. Cận lâm sàng ghi nhận: Bạch cầu 15.5 G/L (neutrophil 85%); CRP 120 mg/L; Amylase máu 150 U/L; Bilirubin toàn phần 18 µmol/L; AST 45 U/L, ALT 50 U/L. Siêu âm bụng cấp cứu cho thấy túi mật căng to, kích thước 10x5 cm, thành dày 6 mm, có hình ảnh ""hai lớp"", có nhiều sỏi nhỏ bên trong và một viên sỏi kẹt ở vùng cổ túi mật, ấn đầu dò vào vị trí túi mật bệnh nhân rất đau (dấu hiệu Murphy siêu âm dương tính).

Biến chứng tại chỗ nguy hiểm nhất của viêm túi mật cấp nếu không được điều trị kịp thời là gì?",Viêm phúc mạc mật do hoại tử và thủng túi mật.,Viêm đường mật cấp.,Viêm tụy cấp.,Tắc ruột do sỏi mật.,,a,"Nếu tình trạng viêm và thiếu máu tiếp diễn, thành túi mật có thể bị hoại tử và thủng. Thủng túi mật sẽ làm dịch mật nhiễm khuẩn tràn vào ổ bụng, gây ra viêm phúc mạc mật, một biến chứng ngoại khoa nặng nề có thể dẫn đến sốc nhiễm khuẩn và tử vong."
noi-benh-ly-duong-mat-mcq-005,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 52 tuổi, nhân viên văn phòng, thể trạng béo (BMI 29 kg/m²), vào viện cấp cứu vì đau bụng dữ dội. Bệnh khởi phát đột ngột cách đây 8 giờ sau một bữa ăn tối thịnh soạn nhiều dầu mỡ, với cơn đau quặn dữ dội ở vùng hạ sườn phải, lan lên vai phải và ra sau lưng. Cơn đau liên tục, không có tư thế giảm đau, kèm theo buồn nôn và nôn ra dịch thức ăn. Bệnh nhân có sốt 38.5°C, không vàng da. Tiền sử có sỏi túi mật nhỏ được phát hiện tình cờ qua siêu âm cách đây 2 năm nhưng không điều trị gì. Khám toàn thân bệnh nhân tỉnh, vẻ mặt đau đớn, sinh hiệu: mạch 105 lần/phút, huyết áp 130/80 mmHg, nhịp thở 22 lần/phút, nhiệt độ 38.6°C, SpO₂ 98% khí trời. Bụng chướng nhẹ, ấn có phản ứng thành bụng và co cứng ở vùng hạ sườn phải, nghiệm pháp Murphy dương tính rõ. Gan không to, không có dấu hiệu suy gan mạn. Cận lâm sàng ghi nhận: Bạch cầu 15.5 G/L (neutrophil 85%); CRP 120 mg/L; Amylase máu 150 U/L; Bilirubin toàn phần 18 µmol/L; AST 45 U/L, ALT 50 U/L. Siêu âm bụng cấp cứu cho thấy túi mật căng to, kích thước 10x5 cm, thành dày 6 mm, có hình ảnh ""hai lớp"", có nhiều sỏi nhỏ bên trong và một viên sỏi kẹt ở vùng cổ túi mật, ấn đầu dò vào vị trí túi mật bệnh nhân rất đau (dấu hiệu Murphy siêu âm dương tính).

Hướng xử trí nào được xem là điều trị tiêu chuẩn và triệt để cho bệnh nhân này?",Dùng kháng sinh và thuốc tan sỏi mật.,"Bắt đầu kháng sinh, điều trị hỗ trợ và tiến hành phẫu thuật cắt túi mật nội soi sớm (trong vòng 72 giờ).","Chỉ cần dùng thuốc giảm đau, giảm co thắt.",Dẫn lưu túi mật qua da.,,b,"Điều trị chuẩn cho viêm túi mật cấp do sỏi là phẫu thuật cắt bỏ túi mật. Phẫu thuật nội soi sớm (trong vòng 72 giờ từ khi khởi phát triệu chứng) được ưu tiên vì giúp giải quyết triệt để nguyên nhân, rút ngắn thời gian nằm viện và giảm biến chứng so với phẫu thuật trì hoãn. Kháng sinh và điều trị hỗ trợ đóng vai trò quan trọng trong việc ổn định bệnh nhân trước và sau mổ."
noi-benh-ly-duong-mat-mcq-006,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 72 tuổi, tiền sử sỏi túi mật nhiều năm, vào viện vì sốt cao và vàng da. Khoảng 3 ngày nay, bệnh nhân đột ngột lên cơn đau quặn bụng vùng hạ sườn phải, sau đó xuất hiện sốt cao 39-40°C, rét run cầm cập nhiều cơn trong ngày. Kèm theo đó, bệnh nhân thấy vàng da, vàng mắt tăng nhanh, nước tiểu sẫm màu. Bệnh nhân không có thay đổi ý thức hay tụt huyết áp. Tiền sử không uống rượu. Khám lúc vào viện: bệnh nhân tỉnh táo, tiếp xúc tốt, da và củng mạc mắt vàng đậm. Sinh hiệu: mạch 110 lần/phút, huyết áp 120/70 mmHg, nhiệt độ 39.5°C. Bụng mềm, ấn đau tức vùng hạ sườn phải và thượng vị, gan không to, túi mật không sờ thấy. Khám các cơ quan khác chưa phát hiện bất thường. Cận lâm sàng: Bạch cầu 18.0 G/L (neutrophil 88%); CRP 280 mg/L; Bilirubin toàn phần 105 µmol/L (chủ yếu là bilirubin trực tiếp); AST 220 U/L, ALT 250 U/L; Phosphatase kiềm (ALP) 750 U/L, GGT 800 U/L. Siêu âm bụng cho thấy túi mật có vài viên sỏi, đường mật trong gan và ống mật chủ giãn to (đường kính OMC 1.2 cm), đoạn cuối ống mật chủ có sỏi cản âm kích thước 8 mm.

Tình trạng của bệnh nhân được chẩn đoán là gì?",Viêm túi mật cấp.,Viêm gan cấp do virus.,Ung thư đầu tụy.,Viêm đường mật cấp do sỏi ống mật chủ.,,d,"Bệnh cảnh lâm sàng (sốt rét run, đau bụng, vàng da) cùng với xét nghiệm (hội chứng nhiễm trùng, ứ mật) và hình ảnh học (giãn đường mật, sỏi OMC) là cực kỳ điển hình cho Viêm đường mật cấp do sỏi ống mật chủ."
noi-benh-ly-duong-mat-mcq-007,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 72 tuổi, tiền sử sỏi túi mật nhiều năm, vào viện vì sốt cao và vàng da. Khoảng 3 ngày nay, bệnh nhân đột ngột lên cơn đau quặn bụng vùng hạ sườn phải, sau đó xuất hiện sốt cao 39-40°C, rét run cầm cập nhiều cơn trong ngày. Kèm theo đó, bệnh nhân thấy vàng da, vàng mắt tăng nhanh, nước tiểu sẫm màu. Bệnh nhân không có thay đổi ý thức hay tụt huyết áp. Tiền sử không uống rượu. Khám lúc vào viện: bệnh nhân tỉnh táo, tiếp xúc tốt, da và củng mạc mắt vàng đậm. Sinh hiệu: mạch 110 lần/phút, huyết áp 120/70 mmHg, nhiệt độ 39.5°C. Bụng mềm, ấn đau tức vùng hạ sườn phải và thượng vị, gan không to, túi mật không sờ thấy. Khám các cơ quan khác chưa phát hiện bất thường. Cận lâm sàng: Bạch cầu 18.0 G/L (neutrophil 88%); CRP 280 mg/L; Bilirubin toàn phần 105 µmol/L (chủ yếu là bilirubin trực tiếp); AST 220 U/L, ALT 250 U/L; Phosphatase kiềm (ALP) 750 U/L, GGT 800 U/L. Siêu âm bụng cho thấy túi mật có vài viên sỏi, đường mật trong gan và ống mật chủ giãn to (đường kính OMC 1.2 cm), đoạn cuối ống mật chủ có sỏi cản âm kích thước 8 mm.

Tam chứng lâm sàng kinh điển mà bệnh nhân này biểu hiện được gọi là gì?",Tam chứng Charcot.,Tam chứng Beck.,Tam chứng Virchow.,Tam chứng Cushing.,,a,"Tam chứng Charcot, bao gồm sốt (thường kèm rét run), đau hạ sườn phải và vàng da, là bộ ba triệu chứng kinh điển của viêm đường mật cấp. Nó xuất hiện ở khoảng 50-70% bệnh nhân."
noi-benh-ly-duong-mat-mcq-008,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 72 tuổi, tiền sử sỏi túi mật nhiều năm, vào viện vì sốt cao và vàng da. Khoảng 3 ngày nay, bệnh nhân đột ngột lên cơn đau quặn bụng vùng hạ sườn phải, sau đó xuất hiện sốt cao 39-40°C, rét run cầm cập nhiều cơn trong ngày. Kèm theo đó, bệnh nhân thấy vàng da, vàng mắt tăng nhanh, nước tiểu sẫm màu. Bệnh nhân không có thay đổi ý thức hay tụt huyết áp. Tiền sử không uống rượu. Khám lúc vào viện: bệnh nhân tỉnh táo, tiếp xúc tốt, da và củng mạc mắt vàng đậm. Sinh hiệu: mạch 110 lần/phút, huyết áp 120/70 mmHg, nhiệt độ 39.5°C. Bụng mềm, ấn đau tức vùng hạ sườn phải và thượng vị, gan không to, túi mật không sờ thấy. Khám các cơ quan khác chưa phát hiện bất thường. Cận lâm sàng: Bạch cầu 18.0 G/L (neutrophil 88%); CRP 280 mg/L; Bilirubin toàn phần 105 µmol/L (chủ yếu là bilirubin trực tiếp); AST 220 U/L, ALT 250 U/L; Phosphatase kiềm (ALP) 750 U/L, GGT 800 U/L. Siêu âm bụng cho thấy túi mật có vài viên sỏi, đường mật trong gan và ống mật chủ giãn to (đường kính OMC 1.2 cm), đoạn cuối ống mật chủ có sỏi cản âm kích thước 8 mm.

Cơ chế chính gây ra viêm đường mật cấp là gì?",Sự kết hợp giữa tắc nghẽn đường mật và nhiễm khuẩn dịch mật.,Do trào ngược dịch vị vào đường mật.,Do virus CMV hoặc EBV gây viêm.,Phản ứng viêm tự miễn của các tế bào đường mật.,,a,"Hai yếu tố cốt lõi trong cơ chế bệnh sinh của viêm đường mật cấp là tắc nghẽn và nhiễm khuẩn. Sự tắc nghẽn (thường do sỏi) làm ứ trệ dịch mật, tăng áp lực trong đường mật. Điều này tạo môi trường thuận lợi cho vi khuẩn (thường từ tá tràng đi ngược lên) phát triển và xâm nhập vào máu qua các xoang gan, gây ra nhiễm trùng huyết và các biểu hiện toàn thân."
noi-benh-ly-duong-mat-mcq-009,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 72 tuổi, tiền sử sỏi túi mật nhiều năm, vào viện vì sốt cao và vàng da. Khoảng 3 ngày nay, bệnh nhân đột ngột lên cơn đau quặn bụng vùng hạ sườn phải, sau đó xuất hiện sốt cao 39-40°C, rét run cầm cập nhiều cơn trong ngày. Kèm theo đó, bệnh nhân thấy vàng da, vàng mắt tăng nhanh, nước tiểu sẫm màu. Bệnh nhân không có thay đổi ý thức hay tụt huyết áp. Tiền sử không uống rượu. Khám lúc vào viện: bệnh nhân tỉnh táo, tiếp xúc tốt, da và củng mạc mắt vàng đậm. Sinh hiệu: mạch 110 lần/phút, huyết áp 120/70 mmHg, nhiệt độ 39.5°C. Bụng mềm, ấn đau tức vùng hạ sườn phải và thượng vị, gan không to, túi mật không sờ thấy. Khám các cơ quan khác chưa phát hiện bất thường. Cận lâm sàng: Bạch cầu 18.0 G/L (neutrophil 88%); CRP 280 mg/L; Bilirubin toàn phần 105 µmol/L (chủ yếu là bilirubin trực tiếp); AST 220 U/L, ALT 250 U/L; Phosphatase kiềm (ALP) 750 U/L, GGT 800 U/L. Siêu âm bụng cho thấy túi mật có vài viên sỏi, đường mật trong gan và ống mật chủ giãn to (đường kính OMC 1.2 cm), đoạn cuối ống mật chủ có sỏi cản âm kích thước 8 mm.

Can thiệp nào là cấp thiết và quan trọng nhất để giải quyết triệt để tình trạng của bệnh nhân?",Dẫn lưu đường mật qua da.,Nội soi mật tụy ngược dòng (ERCP) để lấy sỏi và dẫn lưu đường mật.,Phẫu thuật cắt túi mật.,Dùng kháng sinh phổ rộng đơn thuần.,,b,"Điều trị viêm đường mật cấp bao gồm ba trụ cột: hồi sức, kháng sinh và dẫn lưu đường mật. Trong đó, dẫn lưu đường mật để giải quyết tình trạng tắc nghẽn là quan trọng nhất. ERCP với thủ thuật cắt cơ vòng và lấy sỏi là phương pháp được lựa chọn hàng đầu vì tính hiệu quả và ít xâm lấn, giúp giải quyết cả nguyên nhân và hậu quả."
noi-benh-ly-duong-mat-mcq-010,noi,Bệnh lý đường mật,Tiêu hoá,,"Bệnh nhân nữ 72 tuổi, tiền sử sỏi túi mật nhiều năm, vào viện vì sốt cao và vàng da. Khoảng 3 ngày nay, bệnh nhân đột ngột lên cơn đau quặn bụng vùng hạ sườn phải, sau đó xuất hiện sốt cao 39-40°C, rét run cầm cập nhiều cơn trong ngày. Kèm theo đó, bệnh nhân thấy vàng da, vàng mắt tăng nhanh, nước tiểu sẫm màu. Bệnh nhân không có thay đổi ý thức hay tụt huyết áp. Tiền sử không uống rượu. Khám lúc vào viện: bệnh nhân tỉnh táo, tiếp xúc tốt, da và củng mạc mắt vàng đậm. Sinh hiệu: mạch 110 lần/phút, huyết áp 120/70 mmHg, nhiệt độ 39.5°C. Bụng mềm, ấn đau tức vùng hạ sườn phải và thượng vị, gan không to, túi mật không sờ thấy. Khám các cơ quan khác chưa phát hiện bất thường. Cận lâm sàng: Bạch cầu 18.0 G/L (neutrophil 88%); CRP 280 mg/L; Bilirubin toàn phần 105 µmol/L (chủ yếu là bilirubin trực tiếp); AST 220 U/L, ALT 250 U/L; Phosphatase kiềm (ALP) 750 U/L, GGT 800 U/L. Siêu âm bụng cho thấy túi mật có vài viên sỏi, đường mật trong gan và ống mật chủ giãn to (đường kính OMC 1.2 cm), đoạn cuối ống mật chủ có sỏi cản âm kích thước 8 mm.

Nếu bệnh nhân này có thêm rối loạn ý thức và tụt huyết áp, tình trạng đó sẽ được gọi là gì?",Sốc nhiễm khuẩn.,Hội chứng gan thận.,Ngũ chứng Reynolds.,Bệnh não gan.,,c,"Ngũ chứng Reynolds bao gồm tam chứng Charcot cộng thêm hai dấu hiệu của sốc nhiễm khuẩn là thay đổi ý thức (lơ mơ, lú lẫn) và tụt huyết áp. Đây là biểu hiện của thể bệnh viêm đường mật cấp rất nặng, có tỷ lệ tử vong cao và đòi hỏi phải can thiệp dẫn lưu đường mật khẩn cấp."
