id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-an-toan-truyen-mau-mcq-001,noi,An toàn truyền máu,Huyết học,,Bản chất hóa học của các kháng nguyên nhóm máu hệ ABO chủ yếu là gì?,Protein,Carbohydrate,Lipid,Glycolipid nguyên chất,,b,Kháng nguyên ABO bản chất là các chuỗi carbohydrate (oligosaccharide) gắn trên màng hồng cầu. Nguồn: Bệnh học nội khoa YHN.
noi-an-toan-truyen-mau-mcq-002,noi,An toàn truyền máu,Huyết học,,Kháng thể tự nhiên của hệ nhóm máu ABO chủ yếu thuộc lớp globulin miễn dịch nào?,IgA,IgE,IgG,IgM,,d,"Kháng thể hệ ABO chủ yếu là IgM, có kích thước lớn, không qua được nhau thai nhưng có khả năng ngưng kết hồng cầu mạnh ở nhiệt độ phòng."
noi-an-toan-truyen-mau-mcq-003,noi,An toàn truyền máu,Huyết học,,Kháng thể của hệ nhóm máu Rh chủ yếu thuộc lớp globulin miễn dịch nào?,IgA,IgE,IgG,IgM,,c,"Kháng thể hệ Rh là kháng thể miễn dịch lớp IgG, kích thước nhỏ, có thể qua được hàng rào nhau thai gây bệnh tan máu ở trẻ sơ sinh."
noi-an-toan-truyen-mau-mcq-004,noi,An toàn truyền máu,Huyết học,,Tỷ lệ mang nhóm máu Rh(D) âm trong quần thể người Việt Nam xấp xỉ khoảng bao nhiêu?,"0,1%",5%,10%,20%,,a,"Ở Việt Nam, nhóm máu Rh(D) âm rất hiếm, chỉ chiếm khoảng dưới 0,1%, tạo ra thách thức lớn khi cần huy động máu cấp cứu."
noi-an-toan-truyen-mau-mcq-005,noi,An toàn truyền máu,Huyết học,,"Trong các chế phẩm máu cơ bản, loại nào có nguy cơ lây nhiễm vi khuẩn cao nhất?",Khối hồng cầu,Khối tiểu cầu,Huyết tương tươi đông lạnh,Tủa lạnh,,b,"Khối tiểu cầu phải bảo quản ở nhiệt độ 20-24 độ C (nhiệt độ phòng) kèm lắc liên tục, đây là điều kiện lý tưởng cho vi khuẩn sinh sôi nếu có nhiễm khuẩn từ người hiến."
noi-an-toan-truyen-mau-mcq-006,noi,An toàn truyền máu,Huyết học,,"Theo định nghĩa, truyền máu khối lượng lớn là việc truyền thay thế một thể tích tương đương thể tích máu toàn bộ của cơ thể trong khoảng thời gian bao lâu?",6 giờ,12 giờ,24 giờ,48 giờ,,c,Truyền máu khối lượng lớn (massive transfusion) được định nghĩa là truyền >= 10 đơn vị máu ở người lớn trong vòng 24 giờ. Nguồn: CURRENT Medical Diagnosis & Treatment 2026.
noi-an-toan-truyen-mau-mcq-007,noi,An toàn truyền máu,Huyết học,,Cơ chế chính gây sốc và suy thận trong phản ứng tán huyết cấp do truyền sai nhóm máu ABO là gì?,Kích hoạt đại thực bào bắt giữ hồng cầu,Hoạt hóa hoàn toàn hệ thống bổ thể,Giải phóng cytokine từ bạch cầu lympho T,Phản ứng quá mẫn typ IV,,b,"Phức hợp kháng nguyên - IgM kích hoạt dòng thác bổ thể tới tận phức hợp tấn công màng (C5b-C9), gây vỡ hồng cầu hàng loạt trong lòng mạch và giải phóng cytokine gây sốc."
noi-an-toan-truyen-mau-mcq-008,noi,An toàn truyền máu,Huyết học,,Phản ứng sốt không tán huyết sau truyền máu xảy ra chủ yếu do cơ chế nào?,Tương tác với kháng thể kháng IgA,Kích hoạt bổ thể nội mạch,Tác động của cytokine từ bạch cầu,Tương tác với protein huyết tương,,c,"Cytokine giải phóng từ bạch cầu của người hiến trong quá trình bảo quản máu, hoặc kháng thể người nhận chống lại bạch cầu người hiến là nguyên nhân chính gây sốt."
noi-an-toan-truyen-mau-mcq-009,noi,An toàn truyền máu,Huyết học,,Tổn thương phổi cấp do truyền máu (TRALI) khởi phát qua trung gian chủ yếu của loại kháng thể nào?,Kháng thể kháng hồng cầu,Kháng thể kháng bạch cầu,Kháng thể kháng tiểu cầu,Kháng thể kháng IgA,,b,TRALI thường do kháng thể kháng HLA hoặc HNA từ huyết tương người hiến (đặc biệt là phụ nữ sinh đẻ nhiều lần) phản ứng với bạch cầu người nhận tại mao mạch phổi.
noi-an-toan-truyen-mau-mcq-010,noi,An toàn truyền máu,Huyết học,,Cơ chế gây bệnh ghép chống chủ liên quan đến truyền máu (TA-GVHD) là do sự tăng sinh của loại tế bào nào?,Tế bào lympho B của người nhận,Tế bào lympho T của người nhận,Tế bào lympho T của người hiến,Đại thực bào của người hiến,,c,"Các tế bào lympho T sống sót trong túi máu truyền vào cơ thể người nhận bị suy giảm miễn dịch, sau đó nhận diện mô người nhận là vật lạ và tấn công."
noi-an-toan-truyen-mau-mcq-011,noi,An toàn truyền máu,Huyết học,,Tán huyết miễn dịch muộn thường do cơ chế miễn dịch nào?,Đáp ứng miễn dịch tiên phát tạo IgM,Đáp ứng miễn dịch thứ phát tạo IgG,Hoạt hóa bổ thể theo con đường nhánh,Quá mẫn muộn qua trung gian tế bào,,b,"Bệnh nhân đã mẫn cảm từ trước (qua truyền máu hoặc thai nghén), nồng độ kháng thể (thường là IgG hệ Kidd, Duffy) giảm thấp không phát hiện được. Khi truyền máu lại, cơ thể đáp ứng trí nhớ miễn dịch mạnh mẽ trong 3-14 ngày."
noi-an-toan-truyen-mau-mcq-012,noi,An toàn truyền máu,Huyết học,,Sốc phản vệ do truyền máu thường liên quan đến khiếm khuyết miễn dịch nào ở người nhận?,Giảm gammaglobulin máu bẩm sinh,Thiếu hụt IgA bẩm sinh,Rối loạn chức năng tế bào NK,Giảm bổ thể C3 bẩm sinh,,b,"Người thiếu hụt IgA bẩm sinh có thể tạo ra kháng thể kháng IgA. Khi nhận máu chứa lượng nhỏ IgA bình thường, họ sẽ bị phản ứng phản vệ tức thì."
noi-an-toan-truyen-mau-mcq-013,noi,An toàn truyền máu,Huyết học,,Cơ chế bệnh sinh chính của quá tải tuần hoàn do truyền máu (TACO) là gì?,Tăng tính thấm mao mạch phổi,Tăng áp lực thủy tĩnh mao mạch phổi,Tắc nghẽn vi tuần hoàn phổi,Co thắt phế quản cấp tính,,b,"TACO là phù phổi do tim (tăng thể tích tuần hoàn quá nhanh), làm tăng áp lực thủy tĩnh mao mạch phổi, khác với TRALI là phù phổi không do tim (tăng tính thấm)."
noi-an-toan-truyen-mau-mcq-014,noi,An toàn truyền máu,Huyết học,,Dấu hiệu sớm nhất nghi ngờ tán huyết cấp ở bệnh nhân đang được gây mê toàn thân là gì?,Rét run,Đau thắt lưng,Chảy máu rỉ rả không cầm tại phẫu trường,Khó thở,,c,"Bệnh nhân gây mê không thể khai đau lưng hay khó thở. Dấu hiệu chỉ điểm duy nhất thường là sốc không rõ nguyên nhân, tiểu đỏ hoặc chảy máu ồ ạt rỉ rả do đông máu rải rác trong lòng mạch (DIC)."
noi-an-toan-truyen-mau-mcq-015,noi,An toàn truyền máu,Huyết học,,Triệu chứng nào KHÔNG thuộc bệnh cảnh điển hình của phản ứng tán huyết cấp nội mạch?,Đau dọc tĩnh mạch truyền,Sưng đau hạch bạch huyết toàn thân,Nước tiểu sẫm màu,Đau dữ dội vùng thắt lưng,,b,"Tán huyết cấp gây đau lưng, tiểu hemoglobin, sốt, tụt huyết áp. Sưng hạch bạch huyết không liên quan đến phản ứng tán huyết cấp."
