id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-gpq-001,noi,Giãn phế quản,Hô hấp,"Đờm của bệnh nhân giãn phế quản, theo lý thuyết là loại đờm khi để trong dụng cụ thuỷ tinh có:",2 lớp,3 lớp,4 lớp,5 lớp,,b,
noi-gpq-002,noi,Giãn phế quản,Hô hấp,Đờm của bệnh nhân giãn phế quản theo lý thuyết là loại đờm khi để trong dụng cụ thuỷ tinh có các lớp từ trên xuống dưới:,"Bọt, nhầy bọt, nhầy mủ, mủ","Bọt - nhầy mủ, mủ",Bọt - mủ- nhầy,Bọt - nhầy bọt - nhầy mủ - mủ - máu,,b,
noi-gpq-003,noi,Giãn phế quản,Hô hấp,Các thể giãn phế quản theo lý thuyết gồm có các loại:,Giãn phế quản hình túi,Giãn phế quản hình ống,Giãn phế quản hình chùm nho,Tất cả các ý trên đều đúng,,d,
noi-gpq-004,noi,Giãn phế quản,Hô hấp,Khi bệnh nhân giãn phế quản có khạc mủ thối cần nghĩ tới:,Nhiễm nấm,Nhiễm vi khuẩn lao,Nhiễm trùng do vi khuẩn thường,Nhiễm trùng do vikhuẩn yếm khí,,d,
noi-gpq-005,noi,Giãn phế quản,Hô hấp,Các xét nghiệm chẩn đoán xác định có giãn phế quản thực sự cần phải làm là:,Cấy đờm,Chụp phổi thẳng,Chụp phổi nghiêng,"Chụp CT ngực lớp mỏng, độ phân giải cao",,d,
noi-gpq-006,noi,Giãn phế quản,Hô hấp,"Đặc điểm hình ảnh X-quang trong bệnh giãn PQ, trừ?",Các ổ sáng nhỏ hình tổ ong,Giảm thể tích phổi,Hình ảnh tăng tưới máu phổi,Hình ảnh đường ray,,c,Giảm tưới máu phổi
noi-gpq-007,noi,Giãn phế quản,Hô hấp,"Đặc điểm hình ảnh X-quang trong bệnh giãn PQ, trừ?",Tăng thể tích thùy phổi có giãn PQ,Giảm thể tích phổi,Hình ảnh đường ray,Hình ảnh viêm phổi xung quanh vùng gian PQ,,a,Giảm V phổi
noi-gpq-008,noi,Giãn phế quản,Hô hấp,"Hình ảnh Xquang của giãn phế quản, trừ:",Giảm tưới máu phổi.,Hình ảnh tổ ong,Hình ảnh phổi nhỏ lại,Giãn phế nang Giãn PN là biến chứng của GPQ nhưng không phải hình ảnh trên XQ,,d,
noi-gpq-009,noi,Giãn phế quản,Hô hấp,Giãn PQ từ thế hệ thứ bao nhiêu trở đi,Thứ 6,Thứ 7,Thứ 4,Thứ 5,,c,
noi-gpq-010,noi,Giãn phế quản,Hô hấp,Giãn PQ phải mổ khi,GPQ lan tỏa có nhiễm khuẩn tái nhiễm,GPQ khu trú có ho máu tái phát nhiều lần,GQP bẩm sinh,,,b,
