id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hc-cushing-va-benh-cushing-n2-mcq-001,noi,HC Cushing và bệnh Cushing,Nội tiết,,"Điểm khác biệt cốt lõi giữa ""Hội chứng Cushing"" và ""Bệnh Cushing"" là gì?",Mức độ tăng tiết cortisol,Vị trí tổn thương nguyên phát,Sự hiện diện của triệu chứng rạn da,Đáp ứng với điều trị nội khoa,,b,Hội chứng Cushing là tình trạng cường cortisol mạn tính do bất kỳ nguyên nhân nào. Bệnh Cushing là thuật ngữ chỉ dành riêng cho cường cortisol do u tuyến yên tiết ACTH. Nguồn: Bệnh học nội khoa YHN.
noi-hc-cushing-va-benh-cushing-n2-mcq-002,noi,HC Cushing và bệnh Cushing,Nội tiết,,Nguyên nhân phổ biến nhất gây hội chứng Cushing trên lâm sàng là gì?,U tuyến yên,U tuyến thượng thận,Sử dụng thuốc glucocorticoid,Hội chứng ACTH lạc chỗ,,c,"Hội chứng Cushing do thuốc (ngoại sinh) là nguyên nhân thường gặp nhất trên lâm sàng do lạm dụng corticoid trong điều trị các bệnh lý viêm, tự miễn. Nguồn: Bệnh học nội khoa YHN."
noi-hc-cushing-va-benh-cushing-n2-mcq-003,noi,HC Cushing và bệnh Cushing,Nội tiết,,"Trong các nguyên nhân nội sinh, nguyên nhân nào chiếm tỷ lệ cao nhất gây hội chứng Cushing?",U tuyến yên tiết ACTH,Adenoma tuyến thượng thận,Carcinoma tuyến thượng thận,Khối u tiết ACTH lạc chỗ,,a,"Trong Cushing nội sinh, bệnh Cushing (do u tuyến yên) chiếm khoảng 70% các trường hợp. Nguồn: Bệnh học nội khoa YHN."
noi-hc-cushing-va-benh-cushing-n2-mcq-004,noi,HC Cushing và bệnh Cushing,Nội tiết,,Khối u nào sau đây là nguyên nhân thường gặp nhất của hội chứng tiết ACTH lạc chỗ?,Ung thư tế bào nhỏ ở phổi,Ung thư đại trực tràng,U tế bào ưa crom,Ung thư tế bào gan nguyên phát,,a,"Ung thư phổi tế bào nhỏ chiếm tỷ lệ cao nhất trong các nguyên nhân tiết ACTH lạc chỗ, thường gây bệnh cảnh tiến triển nhanh. Nguồn: Bệnh học nội khoa YHN."
noi-hc-cushing-va-benh-cushing-n2-mcq-005,noi,HC Cushing và bệnh Cushing,Nội tiết,,Hội chứng Cushing phụ thuộc ACTH bao gồm các nguyên nhân nào?,U tuyến yên và u tuyến thượng thận,U tuyến yên và u tiết ACTH lạc chỗ,U tuyến thượng thận và tăng sản nốt đại thể,U tiết ACTH lạc chỗ và ung thư thượng thận,,b,Cushing phụ thuộc ACTH (ACTH tăng hoặc bình thường) gồm Bệnh Cushing và Hội chứng ACTH lạc chỗ. Nguồn: Bệnh học nội khoa YHN.
noi-hc-cushing-va-benh-cushing-n2-mcq-006,noi,HC Cushing và bệnh Cushing,Nội tiết,,Đối tượng nào có tỷ lệ mắc bệnh Cushing cao nhất?,Nam giới từ 50-70 tuổi,Nam giới từ 20-40 tuổi,Nữ giới từ 20-40 tuổi,Nữ giới trên 60 tuổi,,c,"Bệnh Cushing (u tuyến yên) chủ yếu gặp ở nữ giới (tỷ lệ nữ/nam khoảng 3/1 đến 5/1), độ tuổi thường từ 20-40 tuổi. Nguồn: Bệnh học nội khoa YHN."
noi-hc-cushing-va-benh-cushing-n2-mcq-007,noi,HC Cushing và bệnh Cushing,Nội tiết,,Rối loạn nhịp tiết sinh lý nào của cortisol là đặc trưng sớm nhất trong hội chứng Cushing?,Mất đỉnh tiết cortisol vào buổi sáng,Đảo ngược nhịp tiết hoàn toàn,"Mất nhịp tiết ngày đêm, nồng độ cao vào đêm khuya",Giảm tiết cortisol vào buổi trưa,,c,"Trong HC Cushing, nồng độ cortisol mất nhịp chênh lệch ngày đêm và duy trì ở mức cao, đặc biệt không giảm xuống mức thấp nhất vào lúc nửa đêm. Nguồn: Bệnh học nội khoa YHN."
noi-hc-cushing-va-benh-cushing-n2-mcq-008,noi,HC Cushing và bệnh Cushing,Nội tiết,,Cơ chế chính gây hạ kali máu trong hội chứng Cushing là gì?,Glucocorticoid ức chế trực tiếp tái hấp thu kali ở ống lượn gần,Cortisol lượng lớn gắn vào và kích hoạt thụ thể mineralocorticoid,ACTH kích thích trực tiếp bài tiết kali ở thận,Tăng tiết aldosterone thứ phát do tăng huyết áp,,b,"Cortisol với nồng độ rất cao sẽ vượt quá khả năng bất hoạt của enzyme 11-beta HSD2 ở thận, từ đó gắn vào thụ thể mineralocorticoid gây giữ natri, thải kali. Nguồn: Bệnh học nội khoa YHN."
noi-hc-cushing-va-benh-cushing-n2-mcq-009,noi,HC Cushing và bệnh Cushing,Nội tiết,,Tại sao bệnh nhân mắc hội chứng tiết ACTH lạc chỗ thường bị sạm da?,Do ung thư di căn đến da,Tiền chất POMC được cắt thành ACTH và MSH kích thích hắc tố bào,Cortisol nồng độ cao lắng đọng dưới da,Giảm thể tích tuần hoàn gây tăng sinh melanin,,b,"ACTH được tổng hợp từ tiền chất POMC. Sự phân cắt POMC tạo ra cả ACTH và MSH (Melanocyte-Stimulating Hormone), MSH kích thích tế bào hắc tố gây sạm da. Nguồn: Bệnh học nội khoa YHN."
noi-hc-cushing-va-benh-cushing-n2-mcq-010,noi,HC Cushing và bệnh Cushing,Nội tiết,,Bệnh sinh của loãng xương trong hội chứng Cushing chủ yếu do cơ chế nào?,Tăng hoạt động cốt bào và giảm hấp thu calci ở ruột,Ức chế tạo cốt bào và giảm hấp thu calci ở ruột,Tăng bài tiết vitamin D qua thận,Cường cận giáp nguyên phát đi kèm,,b,"Glucocorticoid ức chế chức năng tạo cốt bào (osteoblast), đồng thời giảm hấp thu calci ở ruột và tăng đào thải calci qua thận, dẫn đến cường cận giáp thứ phát và loãng xương. Nguồn: Guideline Endocrine Society."
