id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tkmp-001,noi,Tràn khí màng phổi,Hô hấp,Chỉ định dẫn lưu trong TKMP?,Chấn thương,TKMP tự phát,TKMP số lượng ít,Do vỡ kén khí,,a,
noi-tkmp-002,noi,Tràn khí màng phổi,Hô hấp,Đo áp lực màng phổi bằng máy Kuss trong TKMP có van thấy,Áp lực KMP lớn hơn áp lực khí quyển,Áp lực KMP bằng áp lực có van,,,,a,
noi-tkmp-003,noi,Tràn khí màng phổi,Hô hấp,"CĐ mở MP đặt dẫn lưu, trừ",TKMP nguyên phát tự phát <15% dung tích phổi bên tràn khí,TKMP do chấn thương,TKMP sau thông khí nhân tạo.,TKMP sau thủ thuật.,,a,
noi-tkmp-004,noi,Tràn khí màng phổi,Hô hấp,P âm KMP,-5 cmH2O.,-15 đến -20 cmH2O.,-10 cmH2O,,,a,
noi-tkmp-005,noi,Tràn khí màng phổi,Hô hấp,Đo bằng máy Kuss TKMP mở có,Áp suất KMP = Áp suất khí quyển.,Áp suất KMP < Áp suất khí quyển,Áp suất KMP > Áp suất khí quyển,Áp suất KMP = 0,,a,
noi-tkmp-006,noi,Tràn khí màng phổi,Hô hấp,Đo bằng máy Kuss TKMP đóng có,Áp suất KMP = Áp suất khí quyển.,Áp suất KMP < Áp suất khí quyển,Áp suất KMP > Áp suất khí quyển,Áp suất KMP = 0,,b,
noi-tkmp-007,noi,Tràn khí màng phổi,Hô hấp,Khó thở nhanh khi nhịp thở,>35ck/p.,>25ck/p.,>30 ck/p.,>20 ck/p.,,c,
noi-tkmp-008,noi,Tràn khí màng phổi,Hô hấp,Triệu chứng nào sau đây trên phim chụp Xquang là có giá trị nhất để chẩn đoán TKMP có van:,Giãn rộng khoang liên sườn.,Đè đẩy trung thất.,,,,b,
noi-tkmp-009,noi,Tràn khí màng phổi,Hô hấp,Triệu chứng cơ năng của tràn khí màng phổi bao gồm,Đau ngực dữ dội.,Khó thở tăng dần.,Ho khan.,Tất cả các triệu chứng nêu trên.,,d,
noi-tkmp-010,noi,Tràn khí màng phổi,Hô hấp,Khám lâm sàng tràn khí màng phổi thấy,Hội chứng 3 giảm.,Tam chứng GarlIard.,Hội chứng đông đặc.,Xẹp phổi.,,b,
noi-tkmp-011,noi,Tràn khí màng phổi,Hô hấp,Tràn khí màng phổi cần phân biệt với,Giãn phế nang.,Viêm phổi.,U phổi.,Tràn dịch màng phổi,,a,
noi-tkmp-012,noi,Tràn khí màng phổi,Hô hấp,Chụp X quang phổi ở Bệnh nhân tràn khí màng phổi thấy,"Khoảng tăng sáng giữa thành ngực và nhu mô phổi, giới hạn bởi đường viền màng phổi.","Đám mờ hình tam giác, đỉnh quay vào trong.",Đường cong Damoiseau.,Tăng sáng cả 2 bên phổi,,a,
noi-tkmp-013,noi,Tràn khí màng phổi,Hô hấp,Đau ngực ở bệnh nhân TKMP có đặc điểm là:,Đau rát sau xương ức,Đau như xé ngực,"Đau vùng đỉnh phổi, lan vai, cánh tay",Đau khi ho hoặc khi hít vào sâu.,,d,
noi-tkmp-014,noi,Tràn khí màng phổi,Hô hấp,TC của khó thở do TKMP là:,"Khó thở, RRPN giảm hoặc mất, rung thanh giảm, gõ vang","Khó thở, RRPN giảm hoặc mất, rung thanh tăng, gõ vang","Khó thở, RRPN giảm hoặc mất, rung thanh tăng, gõ đục","Khó thở, RRPN giảm hoặc mất, rung thanh giảm, gõ đục",,a,
noi-tkmp-015,noi,Tràn khí màng phổi,Hô hấp,"Đau ngực trong TKMP có đđ, trừ:","Đau ngực khi nghỉ ngơi, giảm đi khi gắng sức.",Đau như xé ngực,"Đau thường xảy ra đột ngột, sau gắng sức hoặc chấn thương","Đau giảm đi khi nghỉ ngơi, tăng khi gắng sức.",,a,
noi-tkmp-016,noi,Tràn khí màng phổi,Hô hấp,Chỉ đinh chọc hút khí màng phổi:,Tràn khí màng phổi tự phát nguyên phát lượng khí ít < 15% thể tích khí bên phổi,Sau thủ thuật,Chấn thương,TKMP tự phát thứ phát,,b,
noi-tkmp-017,noi,Tràn khí màng phổi,Hô hấp,"1 BN đau ngực do TKMP, khám LS có thể phát hiện:",HC pancoast-tobIas,HC đông đặc,Tam chứng gallIard,HC 3 giảm,,c,
noi-tkmp-018,noi,Tràn khí màng phổi,Hô hấp,Bình thường trong KMP có số lượng khí là:,Ko có khí,5-15 ml,50-100ml,100-200ml,,a,
noi-tkmp-019,noi,Tràn khí màng phổi,Hô hấp,"Khi 1 bệnh nhân bị đau ngực đột ngột, xảy ra sau 1 gắng sức nặng, đau như xé ngực, xét nghiệm CLS cần chỉ định là:",XQ ngực,Xét nghiệm đờm,Công thức máu,Đo chức năng thông khí phổi,,a,
noi-tkmp-020,noi,Tràn khí màng phổi,Hô hấp,"Tràn khí màng phổi cần chẩn đoán phân biệt với gì, trừ:",Kén khí lớn tại phổi,Nếp da cơ thành ngực,Bóng vú ở phụ nữ,Nhồi máu phổi,,d,
noi-tkmp-021,noi,Tràn khí màng phổi,Hô hấp,Tư thế bệnh nhân trong tràn khí màng phổi 1 bên:,Nghiêng về bên lành,Nghiêng về bên bệnh,Không nằm được,,,a,
noi-tkmp-022,noi,Tràn khí màng phổi,Hô hấp,Nguyên nhân của tràn khí màng phổi khu trú là:,Dày dính màng phổi,Dịch màng phổi quánh,Giai đoạn đầu của tràn dịch màng phổi,Dày màng phổi,,a,
noi-tkmp-023,noi,Tràn khí màng phổi,Hô hấp,"Yếu tố nguy cơ gây tràn khí màng phổi, trừ:",Chọc dịch màng bụng,Đặt catheter tĩnh mạch trung tâm đường dưới đòn,Hút máy áp lực âm,Gì mà hút dịch màng phổi hay sao ý,,a,
noi-tkmp-024,noi,Tràn khí màng phổi,Hô hấp,"Các biện pháp được dùng để phòng tránh TKMP tái phát, trừ",Mở lồng ngực,Nội soi phế quản,Nội soi màng phổi,Bột talc,,b,
noi-tkmp-025,noi,Tràn khí màng phổi,Hô hấp,Trong các bệnh sau bệnh nào không gây TKMP:,COPD,Hen PQ,Viêm PQ cấp,Kén khí,,c,(có thể gây ho máu)
noi-tkmp-026,noi,Tràn khí màng phổi,Hô hấp,"BN chấn thương do TNGT vv đau ngực nhiều, phổi phồng bên P, HC 3 giảm phổi P. Cho hình ảnh XQ ngực có TD-TK phổi P. Xử trí BN tiếp?","Dẫn lưu màng phổi, điều trị KS, hút liên tục",Mở ngực cấp cứu,"Giảm đau, KSinh",,,a,
noi-tkmp-027,noi,Tràn khí màng phổi,Hô hấp,"BN nam 23t vv đau ngực dữ dội lan sau lưng, có kèm theo khó thở? Định hướng nguyên nhân?",TKMP,NMCT,Thủng dạ dày,,,a,
noi-tkmp-028,noi,Tràn khí màng phổi,Hô hấp,"Bệnh nhân nam, 25 tuổi, vào viện vì đột ngột khó thở, đau dữ dội như dao đâm. Khám thấy lồng ngực một bên phồng. Nghĩ nguyên nhân nào nhiều nhất sau đây?",Tràn khí màng phổi,Nhồi máu cơ tim cấp,Tràn dịch màng phổi,Tràn khí trung thất,,a,
noi-tkmp-029,noi,Tràn khí màng phổi,Hô hấp,"Phân biệt tràn khí mp khu trú với bóng khí, kén khí lớn cần:",Chụp XQ,Chụp CT,Nội soi màng phổi,Nội soi phế quản,,b,(test QP: A)
noi-tkmp-030,noi,Tràn khí màng phổi,Hô hấp,Thử test betadin trước khi gây dính màng phổi:,Test lẩy da,Test nội bì,Định lượng IgE đặc hiệu,Test áp,,b,
noi-tkmp-031,noi,Tràn khí màng phổi,Hô hấp,"Các bệnh nào sau đây gây tràn khí màng phổi, trừ",Hen phế quản,COPD,Viêm phế quản,Lao,,c,
noi-tkmp-032,noi,Tràn khí màng phổi,Hô hấp,Nguyên nhân tràn khí màng phổi tự phát nguyên phát:,Áp xe phổi,Chấn thương,Bệnh phổi tắc nghẽn mạn tính,Vỡ bóng khí,,d,
noi-tkmp-033,noi,Tràn khí màng phổi,Hô hấp,Trong trường hợp tràn khí màng phổi khu trú chọc hút khí thường chọc ở vị trí: Khoang liên sườn 2 trên đường giữa đòn — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tkmp-034,noi,Tràn khí màng phổi,Hô hấp,Trong trường hợp tràn khí màng phổi khu trú chọc hút khí thường chọc ở vị trí: Khoang liên sườn 8-9 trên đường nách sau — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tkmp-035,noi,Tràn khí màng phổi,Hô hấp,Trong trường hợp tràn khí màng phổi khu trú chọc hút khí thường chọc ở vị trí: Khoang liên sườn 4-5 trên đường nách giữa — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tkmp-036,noi,Tràn khí màng phổi,Hô hấp,Trong trường hợp tràn khí màng phổi khu trú chọc hút khí thường chọc ở vị trí: Chọc theo chỉ dẫn của phim phổi thẳng và nghiệng — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tkmp-037,noi,Tràn khí màng phổi,Hô hấp,"Với bệnh nhân tràn khí màng phổi, người ta cần hỏi: Tiền sử chấn thương ngực — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-tkmp-038,noi,Tràn khí màng phổi,Hô hấp,"Với bệnh nhân tràn khí màng phổi, người ta cần hỏi: Tiền sử bị tràn khí — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-tkmp-039,noi,Tràn khí màng phổi,Hô hấp,"Với bệnh nhân tràn khí màng phổi, người ta cần hỏi: Tiền sử bị bệnh hen — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-tkmp-040,noi,Tràn khí màng phổi,Hô hấp,"Với bệnh nhân tràn khí màng phổi, người ta cần hỏi: Tiền sử nghiện rượu — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-tkmp-041,noi,Tràn khí màng phổi,Hô hấp,Tràn khí màng phổi có thể là: Tràn khí màng phổi tự phát nguyên phát — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tkmp-042,noi,Tràn khí màng phổi,Hô hấp,Tràn khí màng phổi có thể là: Tràn khí màng phổi tự phát thứ phát — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tkmp-043,noi,Tràn khí màng phổi,Hô hấp,Tràn khí màng phổi có thể là: Tràn khí màng phổi do chấn thương — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tkmp-044,noi,Tràn khí màng phổi,Hô hấp,"Trong các thể tràn khí màng phổi sau đây, loại tràn khí màng phổi nào là nguy hiểm nhất?: Tràn khí màng phổi đóng — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-tkmp-045,noi,Tràn khí màng phổi,Hô hấp,"Trong các thể tràn khí màng phổi sau đây, loại tràn khí màng phổi nào là nguy hiểm nhất?: Tràn khí màng phổi mở — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-tkmp-046,noi,Tràn khí màng phổi,Hô hấp,"Trong các thể tràn khí màng phổi sau đây, loại tràn khí màng phổi nào là nguy hiểm nhất?: Tràn khí màng phổi có van — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-tkmp-047,noi,Tràn khí màng phổi,Hô hấp,"Trong các thể tràn khí màng phổi sau đây, loại tràn khí màng phổi nào là nguy hiểm nhất?: Tràn khí - tràn dịch màng phổi phối hợp — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-tkmp-048,noi,Tràn khí màng phổi,Hô hấp,"Ở bệnh nhân có tràn khí màng phổi tái phát trên 2 lần, các xét nghiêm cần làm nhất để tìm nguyên nhân: Chụp phổi thẳng nghiệng — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-tkmp-049,noi,Tràn khí màng phổi,Hô hấp,"Ở bệnh nhân có tràn khí màng phổi tái phát trên 2 lần, các xét nghiêm cần làm nhất để tìm nguyên nhân: Soi phế quản tìm chỗ thủng — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-tkmp-050,noi,Tràn khí màng phổi,Hô hấp,"Ở bệnh nhân có tràn khí màng phổi tái phát trên 2 lần, các xét nghiêm cần làm nhất để tìm nguyên nhân: Chụp phế quản cản quang tìm chỗ thủng — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-tkmp-051,noi,Tràn khí màng phổi,Hô hấp,"Ở bệnh nhân có tràn khí màng phổi tái phát trên 2 lần, các xét nghiêm cần làm nhất để tìm nguyên nhân: Chụp cắt lớp có vi tính ngực lớp mỏng — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-tkmp-052,noi,Tràn khí màng phổi,Hô hấp,Chỉ đinh chọc hút khí màng phổi: Tràn khí màng phổi tự phát nguyên phát lượng khí ít < 15% thể tích khí bên phổi — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tkmp-053,noi,Tràn khí màng phổi,Hô hấp,Chỉ đinh chọc hút khí màng phổi: Sau thủ thật — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tkmp-054,noi,Tràn khí màng phổi,Hô hấp,Chỉ đinh chọc hút khí màng phổi: Chấn thương — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tkmp-055,noi,Tràn khí màng phổi,Hô hấp,Chỉ đinh chọc hút khí màng phổi: TKMP tự phát thứ phát — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tkmp-056,noi,Tràn khí màng phổi,Hô hấp,Chỉ định dẫn lưu trong tràn khí màng phổi: Chấn thương — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tkmp-057,noi,Tràn khí màng phổi,Hô hấp,Chỉ định dẫn lưu trong tràn khí màng phổi: TKMP tự phát thử phát — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-tkmp-058,noi,Tràn khí màng phổi,Hô hấp,Chỉ định dẫn lưu trong tràn khí màng phổi: TKMP số lượng ít — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-tkmp-059,noi,Tràn khí màng phổi,Hô hấp,Chỉ định dẫn lưu trong tràn khí màng phổi: Do vỡ kén khí — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
