id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hoi-chung-dm-chu-cap-mcq-001,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Nhóm bệnh lý nào sau đây KHÔNG thuộc hội chứng động mạch chủ cấp?,Lóc tách động mạch chủ,Máu tụ trong thành động mạch chủ,Phình động mạch chủ bụng do xơ vữa,Loét mảng xơ vữa xuyên thấu,,c,"Hội chứng động mạch chủ cấp (AAS) bao gồm 3 bệnh lý chính: lóc tách ĐMC, máu tụ trong thành và loét mảng xơ vữa xuyên thấu. Phình ĐMC mạn tính chưa vỡ không thuộc AAS. Nguồn: Bệnh học nội khoa YHN."
noi-hoi-chung-dm-chu-cap-mcq-002,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Yếu tố nguy cơ phổ biến nhất gây lóc tách động mạch chủ ở người lớn tuổi là gì?,Hội chứng Marfan,Tăng huyết áp mạn tính,Hút thuốc lá,Van động mạch chủ hai lá van,,b,"Tăng huyết áp là yếu tố nguy cơ hàng đầu (chiếm 65-75% các ca) làm tăng áp lực lên thành mạch, dẫn đến tổn thương lớp nội mạc. Nguồn: Bệnh học nội khoa YHN."
noi-hoi-chung-dm-chu-cap-mcq-003,noi,Hội chứng ĐM chủ cấp,Tim mạch,,"Theo phân loại Stanford, lóc tách động mạch chủ type A được định nghĩa như thế nào?",Tổn thương nằm hoàn toàn ở động mạch chủ xuống,Tổn thương bắt đầu từ dưới động mạch dưới đòn trái,Tổn thương có liên quan đến động mạch chủ lên,Tổn thương giới hạn ở quai động mạch chủ,,c,"Phân loại Stanford type A bao gồm mọi tổn thương có liên quan đến động mạch chủ lên, bất kể điểm khởi phát ban đầu nằm ở đâu. Điều này quyết định thái độ phẫu thuật cấp cứu."
noi-hoi-chung-dm-chu-cap-mcq-004,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Bệnh lý di truyền nào sau đây có nguy cơ cao nhất dẫn đến lóc tách động mạch chủ ở người trẻ tuổi?,Bệnh đa nang thận,Hội chứng Marfan,Hội chứng Down,Bệnh cơ tim phì đại,,b,"Hội chứng Marfan gây đột biến gen fibrillin-1, làm suy yếu cấu trúc mô liên kết ở lớp áo giữa, là nguyên nhân hàng đầu gây lóc tách ĐMC ở người trẻ."
noi-hoi-chung-dm-chu-cap-mcq-005,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Lóc tách động mạch chủ DeBakey type II tương ứng với tổn thương khu trú ở vị trí nào?,Động mạch chủ lên,Quai động mạch chủ,Động mạch chủ xuống,Động mạch chủ bụng,,a,"Theo phân loại DeBakey, type II là lóc tách chỉ giới hạn ở động mạch chủ lên, type I lan từ ĐMC lên xuống ĐMC xuống, và type III chỉ ở ĐMC xuống."
noi-hoi-chung-dm-chu-cap-mcq-006,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Vị trí giải phẫu nào thường gặp vết rách nội mạc đầu tiên nhất trong lóc tách động mạch chủ?,Quai động mạch chủ,Thành phải động mạch chủ lên,Động mạch chủ xuống ngay dưới động mạch dưới đòn,Động mạch chủ bụng dưới thận,,b,"Vết rách nội mạc tiên phát thường gặp nhất (khoảng 65%) ở thành phải (phía cong ngoài) của động mạch chủ lên, cách van ĐMC 1-3 cm do chịu áp lực dội trực tiếp lớn nhất từ thất trái."
noi-hoi-chung-dm-chu-cap-mcq-007,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Cơ chế bệnh sinh cốt lõi khởi phát lóc tách động mạch chủ kinh điển là gì?,Vỡ các mạch máu nuôi thành mạch,Rách lớp nội mạc,Viêm lớp áo ngoài,Tắc nghẽn mảng xơ vữa,,b,"Lóc tách kinh điển bắt đầu bằng một vết rách ở lớp nội mạc, cho phép dòng máu áp lực cao xé rách và chui vào lớp áo giữa, tạo ra lòng giả."
noi-hoi-chung-dm-chu-cap-mcq-008,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Máu tụ trong thành động mạch chủ (IMH) hình thành chủ yếu do cơ chế nào?,Rách lớp nội mạc mạn tính,Vỡ vasa vasorum ở lớp áo giữa,Hoại tử lớp áo trong,Viêm nhiễm vi khuẩn tại thành mạch,,b,IMH xảy ra do xuất huyết tự phát từ các vi mạch nuôi thành mạch (vasa vasorum) vào trong lớp áo giữa mà không có vết rách nội mạc rõ rệt. Nguồn: Bệnh học nội khoa YHN.
noi-hoi-chung-dm-chu-cap-mcq-009,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Hiện tượng hoại tử nang lớp áo giữa thường liên quan mật thiết nhất đến quá trình bệnh lý nào?,Lóc tách động mạch chủ do hội chứng Marfan,Loét mảng xơ vữa xuyên thấu,Phình động mạch do giang mai,Viêm động mạch Takayasu,,a,"Hoại tử nang lớp áo giữa (cystic medial necrosis) là sự thoái hóa các sợi elastin và cơ trơn, tạo các hốc chứa chất nhầy, rất đặc trưng trong hội chứng Marfan và lão hóa do tăng huyết áp."
noi-hoi-chung-dm-chu-cap-mcq-010,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Cơ chế của hội chứng thiếu máu cục bộ tạng (malperfusion) thể động trong lóc tách động mạch chủ là gì?,Lòng giả phình to chèn ép cơ học trực tiếp vào lỗ xuất phát nhánh mạch,Vạt nội mạc di động che lấp lỗ xuất phát nhánh mạch theo chu kỳ tâm thu,Huyết khối hình thành lấp hoàn toàn lòng thật,Lòng giả lan dọc theo nhánh mạch làm rách lớp nội mạc nhánh,,b,Thiếu máu tưới tạng thể động (dynamic obstruction) do vạt lóc tách lật qua lật lại che lấp lỗ mạch nhánh trong kỳ tâm thu. Thể tĩnh là do lòng giả chèn ép cơ học hoặc lóc tách lan thẳng vào nhánh.
noi-hoi-chung-dm-chu-cap-mcq-011,noi,Hội chứng ĐM chủ cấp,Tim mạch,,"Trong máu tụ trong thành động mạch chủ, diễn tiến bệnh lý nào ít xảy ra nhất?",Tự hấp thu và thoái triển hoàn toàn,Xé rách nội mạc tạo thành lóc tách thực sự,Phình và vỡ động mạch chủ,Chuyển dạng thành loét xuyên thấu,,d,"Loét mảng xơ vữa xuyên thấu (PAU) thường là bệnh lý gốc dẫn đến tụ máu trong thành hoặc lóc tách, chứ máu tụ trong thành hiếm khi sinh ngược ra PAU. IMH có thể tiến triển thành lóc tách hoặc vỡ."
noi-hoi-chung-dm-chu-cap-mcq-012,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Ép tim cấp trong lóc tách động mạch chủ đoạn gần thường xuất phát từ cơ chế nào?,Suy tim phải cấp tính,Vỡ trực tiếp lòng giả vào khoang màng ngoài tim,Viêm màng ngoài tim vô khuẩn phản ứng,Rò động - tĩnh mạch vành,,b,"Do gốc động mạch chủ nằm trong bao màng ngoài tim, khi lóc tách vỡ lớp áo ngoài ở đoạn này, máu trào thẳng vào khoang màng ngoài tim gây chèn ép tim cấp, là nguyên nhân tử vong hàng đầu."
noi-hoi-chung-dm-chu-cap-mcq-013,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Bệnh sinh của loét mảng xơ vữa xuyên thấu (PAU) đặc trưng bởi sự tổn thương vượt qua mốc ranh giới giải phẫu nào?,Lớp nội mô,Màng ngăn đàn hồi trong,Màng ngăn đàn hồi ngoài,Lớp áo ngoài,,b,"PAU xảy ra khi mảng xơ vữa loét sâu, xuyên qua màng ngăn đàn hồi trong (internal elastic lamina) vào đến lớp áo giữa, từ đó dễ gây máu tụ trong thành hoặc phình vỡ."
noi-hoi-chung-dm-chu-cap-mcq-014,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Đặc điểm cơn đau ngực kinh điển nhất gợi ý lóc tách động mạch chủ cấp là gì?,Đau âm ỉ kéo dài tăng lên khi hít sâu,"Đau như xé, đạt cường độ tối đa ngay khi khởi phát",Đau thắt nghẹt sau xương ức lan lên hàm dưới,Đau rát bỏng vùng thượng vị lan lên cổ,,b,"Đau ngực dữ dội, ""như dao đâm"" hoặc ""như xé"", đạt mức tối đa ngay khoảnh khắc bắt đầu là dấu hiệu sinh ba lâm sàng kinh điển nhất phân biệt với đau kiểu mạch vành (thường tăng dần). Nguồn: CURRENT 2026."
noi-hoi-chung-dm-chu-cap-mcq-015,noi,Hội chứng ĐM chủ cấp,Tim mạch,,Hướng lan của cơn đau trong lóc tách động mạch chủ thường phản ánh điều gì?,Mức độ hoại tử cơ tim,Vị trí và sự lan rộng của vạt lóc tách dọc theo mạch máu,Tình trạng chèn ép rễ thần kinh tủy sống,Mức độ tụt huyết áp hệ thống,,b,"Hướng đau di chuyển (từ ngực lan ra sau lưng, xuống bụng, rồi xuống chân) phản ánh trực tiếp quá trình rách nội mạc và vạt lóc tách đang lan dọc xuống động mạch chủ."
