id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-tong-hop-case-1-1,noi,Khác,Huyết học,"2. Bệnh nhân nữ 35 tuổi, được đưa vào cấp cứu vì lú lẫn, nói khó và sốt 38.5°C từ 2 ngày nay. Chồng bệnh nhân cho biết cô có than mệt mỏi và da xanh hơn trong khoảng 1 tuần. Bệnh nhân không có tiền sử bệnh lý, không dùng thuốc gì. Khám thấy bệnh nhân tỉnh, nhưng tiếp xúc chậm, thất ngôn Broca. Da niêm mạc nhợt, có nhiều chấm xuất huyết ở hai cẳng chân. Không có dấu thần kinh khu trú rõ rệt. Sinh hiệu: Mạch 110 lần/phút, HA 130/80 mmHg, Nhiệt độ 38.2°C. Cận lâm sàng: Hb 78 g/L, Tiểu cầu 12 G/L. Phết máu ngoại vi có rất nhiều mảnh vỡ hồng cầu (schistocytes), không thấy tế bào blast. Creatinin 150 μmol/L (tăng nhẹ). Bilirubin gián tiếp và LDH tăng rất cao. Nghiệm pháp Coombs trực tiếp âm tính. Nồng độ ADAMTS13 < 5%.",Chẩn đoán nào giải thích đầy đủ ngũ chứng kinh điển (dù không phải lúc nào cũng đủ) của bệnh nhân?,Xuất huyết giảm tiểu cầu miễn dịch (ITP).,Hội chứng tan máu urê huyết không điển hình (aHUS).,Ban xuất huyết giảm tiểu cầu huyết khối (TTP).,Sốc nhiễm khuẩn gây đông máu nội mạch lan tỏa.,,c,"Bệnh nhân có đủ ngũ chứng kinh điển của TTP: (1) giảm tiểu cầu, (2) thiếu máu tan máu vi mạch, (3) tổn thương thần kinh (lú lẫn, thất ngôn), (4) sốt, và (5) tổn thương thận (tăng creatinin). Nồng độ ADAMTS13 giảm nặng đã xác định chẩn đoán."
noi-tong-hop-case-1-2,noi,Khác,Huyết học,"2. Bệnh nhân nữ 35 tuổi, được đưa vào cấp cứu vì lú lẫn, nói khó và sốt 38.5°C từ 2 ngày nay. Chồng bệnh nhân cho biết cô có than mệt mỏi và da xanh hơn trong khoảng 1 tuần. Bệnh nhân không có tiền sử bệnh lý, không dùng thuốc gì. Khám thấy bệnh nhân tỉnh, nhưng tiếp xúc chậm, thất ngôn Broca. Da niêm mạc nhợt, có nhiều chấm xuất huyết ở hai cẳng chân. Không có dấu thần kinh khu trú rõ rệt. Sinh hiệu: Mạch 110 lần/phút, HA 130/80 mmHg, Nhiệt độ 38.2°C. Cận lâm sàng: Hb 78 g/L, Tiểu cầu 12 G/L. Phết máu ngoại vi có rất nhiều mảnh vỡ hồng cầu (schistocytes), không thấy tế bào blast. Creatinin 150 μmol/L (tăng nhẹ). Bilirubin gián tiếp và LDH tăng rất cao. Nghiệm pháp Coombs trực tiếp âm tính. Nồng độ ADAMTS13 < 5%.",Cơ chế bệnh sinh chính gây ra sự hình thành vi huyết khối trong bệnh này là gì?,Sự hoạt hóa quá mức của hệ thống bổ thể.,"Sự thiếu hụt hoặc bất hoạt của enzyme ADAMTS13, dẫn đến sự tồn tại của các đa phân tử yếu tố von Willebrand (vWF) siêu lớn.",Nội độc tố của vi khuẩn gây tổn thương nội mạc và hoạt hóa tiểu cầu.,Tự kháng thể trực tiếp chống lại tiểu cầu gây kết tập.,,b,"ADAMTS13 là một enzyme có vai trò như một ""cái kéo"" cắt các đa phân tử (multimer) yếu tố von Willebrand (vWF) siêu lớn thành các dạng nhỏ hơn. Trong TTP (thường là thể mắc phải do tự kháng thể), sự thiếu hụt enzyme này làm các multimer vWF siêu lớn tồn tại trong tuần hoàn, gây kết tập tiểu cầu tự phát và hình thành các vi huyết khối trong các vi mạch của các cơ quan."
noi-tong-hop-case-1-3,noi,Khác,Huyết học,"2. Bệnh nhân nữ 35 tuổi, được đưa vào cấp cứu vì lú lẫn, nói khó và sốt 38.5°C từ 2 ngày nay. Chồng bệnh nhân cho biết cô có than mệt mỏi và da xanh hơn trong khoảng 1 tuần. Bệnh nhân không có tiền sử bệnh lý, không dùng thuốc gì. Khám thấy bệnh nhân tỉnh, nhưng tiếp xúc chậm, thất ngôn Broca. Da niêm mạc nhợt, có nhiều chấm xuất huyết ở hai cẳng chân. Không có dấu thần kinh khu trú rõ rệt. Sinh hiệu: Mạch 110 lần/phút, HA 130/80 mmHg, Nhiệt độ 38.2°C. Cận lâm sàng: Hb 78 g/L, Tiểu cầu 12 G/L. Phết máu ngoại vi có rất nhiều mảnh vỡ hồng cầu (schistocytes), không thấy tế bào blast. Creatinin 150 μmol/L (tăng nhẹ). Bilirubin gián tiếp và LDH tăng rất cao. Nghiệm pháp Coombs trực tiếp âm tính. Nồng độ ADAMTS13 < 5%.",Sự hiện diện của mảnh vỡ hồng cầu (schistocyte) trên phết máu ngoại vi là dấu hiệu của tình trạng gì?,Thiếu máu tan máu vi mạch (MAHA).,Rối loạn sinh tủy.,Tan máu tự miễn.,Thiếu hụt Vitamin B12.,,a,Thiếu máu tan máu vi mạch (Microangiopathic Hemolytic Anemia - MAHA) xảy ra khi các hồng cầu bị xé rách và phá hủy một cách cơ học khi chúng cố gắng đi qua các vi mạch bị hẹp hoặc tắc nghẽn bởi các sợi fibrin và các cục huyết khối tiểu cầu. Các mảnh vỡ của hồng cầu này được gọi là schistocytes.
noi-tong-hop-case-1-4,noi,Khác,Huyết học,"2. Bệnh nhân nữ 35 tuổi, được đưa vào cấp cứu vì lú lẫn, nói khó và sốt 38.5°C từ 2 ngày nay. Chồng bệnh nhân cho biết cô có than mệt mỏi và da xanh hơn trong khoảng 1 tuần. Bệnh nhân không có tiền sử bệnh lý, không dùng thuốc gì. Khám thấy bệnh nhân tỉnh, nhưng tiếp xúc chậm, thất ngôn Broca. Da niêm mạc nhợt, có nhiều chấm xuất huyết ở hai cẳng chân. Không có dấu thần kinh khu trú rõ rệt. Sinh hiệu: Mạch 110 lần/phút, HA 130/80 mmHg, Nhiệt độ 38.2°C. Cận lâm sàng: Hb 78 g/L, Tiểu cầu 12 G/L. Phết máu ngoại vi có rất nhiều mảnh vỡ hồng cầu (schistocytes), không thấy tế bào blast. Creatinin 150 μmol/L (tăng nhẹ). Bilirubin gián tiếp và LDH tăng rất cao. Nghiệm pháp Coombs trực tiếp âm tính. Nồng độ ADAMTS13 < 5%.","Can thiệp điều trị nào là cấp cứu, có khả năng cứu sống bệnh nhân và cần được bắt đầu ngay lập tức?",Truyền khối tiểu cầu.,Trao đổi huyết tương (PEX).,Lọc máu cấp cứu.,Cắt lách.,,b,"Trao đổi huyết tương là nền tảng điều trị TTP. Thủ thuật này có hai mục đích: (1) loại bỏ các tự kháng thể kháng ADAMTS13 và các multimer vWF siêu lớn ra khỏi máu bệnh nhân, và (2) cung cấp huyết tương tươi đông lạnh mới chứa enzyme ADAMTS13 chức năng. Việc bắt đầu PEX sớm đã làm giảm tỷ lệ tử vong từ >90% xuống còn 10-20%."
noi-tong-hop-case-1-5,noi,Khác,Huyết học,"2. Bệnh nhân nữ 35 tuổi, được đưa vào cấp cứu vì lú lẫn, nói khó và sốt 38.5°C từ 2 ngày nay. Chồng bệnh nhân cho biết cô có than mệt mỏi và da xanh hơn trong khoảng 1 tuần. Bệnh nhân không có tiền sử bệnh lý, không dùng thuốc gì. Khám thấy bệnh nhân tỉnh, nhưng tiếp xúc chậm, thất ngôn Broca. Da niêm mạc nhợt, có nhiều chấm xuất huyết ở hai cẳng chân. Không có dấu thần kinh khu trú rõ rệt. Sinh hiệu: Mạch 110 lần/phút, HA 130/80 mmHg, Nhiệt độ 38.2°C. Cận lâm sàng: Hb 78 g/L, Tiểu cầu 12 G/L. Phết máu ngoại vi có rất nhiều mảnh vỡ hồng cầu (schistocytes), không thấy tế bào blast. Creatinin 150 μmol/L (tăng nhẹ). Bilirubin gián tiếp và LDH tăng rất cao. Nghiệm pháp Coombs trực tiếp âm tính. Nồng độ ADAMTS13 < 5%.",Tại sao truyền tiểu cầu là một chống chỉ định tương đối trong TTP?,Vì sẽ gây quá tải tuần hoàn.,"Vì có thể cung cấp thêm ""nhiên liệu"" cho quá trình hình thành vi huyết khối, làm nặng thêm tình trạng tắc mạch.",Vì không làm tăng được số lượng tiểu cầu.,Vì gây ra phản ứng dị ứng nặng.,,b,Việc truyền tiểu cầu ở bệnh nhân TTP có thể giống như
noi-tong-hop-case-2-1,noi,Khác,Huyết học,"dịch. Ngoài các kháng sinh, các thuốc chống động kinh D. Thuốc ức chế bơm proton. (valproic acid, carbamazepine, phenytoin), heparin, quinidine, và một số thuốc lợi tiểu là những nhóm thuốc thường được báo cáo nhất. 7. Bệnh nhân nữ 20 tuổi, sinh viên, vào viện vì da xanh, mệt mỏi và sốt nhẹ kéo dài 1 tháng. Gần đây bệnh nhân hay bị chảy máu chân răng và xuất hiện các nốt bầm tím trên da. Khám thấy bệnh nhân rất nhợt nhạt, có nhiều chấm xuất huyết ở hai chân và mảng xuất huyết ở niêm mạc miệng. Không có gan lách hạch to. Cận lâm sàng: Hb 60 g/L, MCV 98 fL, WBC 1.5 G/L (ANC 0.2 G/L), Tiểu cầu 15 G/L. Số lượng hồng cầu lưới 0.1% (sau hiệu chỉnh). Sinh thiết tủy xương cho thấy tủy nghèo tế bào, các khoang sinh máu bị thay thế phần lớn bởi mô mỡ.",Tình trạng huyết học của bệnh nhân được gọi là gì?,Giảm ba dòng tế bào máu (pancytopenia).,Thiếu máu đơn thuần.,Giảm bạch cầu hạt.,Giảm tiểu cầu.,,a,"Bệnh nhân có sự sụt giảm nghiêm trọng của cả 3 dòng tế bào máu: hồng cầu (Hb thấp), bạch cầu (WBC thấp, đặc biệt là bạch cầu hạt), và tiểu cầu. Đây là định nghĩa của pancytopenia."
noi-tong-hop-case-2-2,noi,Khác,Huyết học,"dịch. Ngoài các kháng sinh, các thuốc chống động kinh D. Thuốc ức chế bơm proton. (valproic acid, carbamazepine, phenytoin), heparin, quinidine, và một số thuốc lợi tiểu là những nhóm thuốc thường được báo cáo nhất. 7. Bệnh nhân nữ 20 tuổi, sinh viên, vào viện vì da xanh, mệt mỏi và sốt nhẹ kéo dài 1 tháng. Gần đây bệnh nhân hay bị chảy máu chân răng và xuất hiện các nốt bầm tím trên da. Khám thấy bệnh nhân rất nhợt nhạt, có nhiều chấm xuất huyết ở hai chân và mảng xuất huyết ở niêm mạc miệng. Không có gan lách hạch to. Cận lâm sàng: Hb 60 g/L, MCV 98 fL, WBC 1.5 G/L (ANC 0.2 G/L), Tiểu cầu 15 G/L. Số lượng hồng cầu lưới 0.1% (sau hiệu chỉnh). Sinh thiết tủy xương cho thấy tủy nghèo tế bào, các khoang sinh máu bị thay thế phần lớn bởi mô mỡ.",Chẩn đoán nào là phù hợp nhất với kết quả sinh thiết tủy xương?,Lơ-xê-mi cấp.,Hội chứng rối loạn sinh tủy.,Suy tủy xương (Aplastic Anemia).,U lympho xâm lấn tủy.,,c,"Bệnh cảnh giảm ba dòng tế bào máu kèm theo hồng cầu lưới rất thấp (chứng tỏ tủy không sản xuất) và hình ảnh sinh thiết tủy ""trống rỗng"" (hypocellular, mỡ hóa) là tiêu chuẩn vàng để chẩn đoán suy tủy xương."
noi-tong-hop-case-2-3,noi,Khác,Huyết học,"dịch. Ngoài các kháng sinh, các thuốc chống động kinh D. Thuốc ức chế bơm proton. (valproic acid, carbamazepine, phenytoin), heparin, quinidine, và một số thuốc lợi tiểu là những nhóm thuốc thường được báo cáo nhất. 7. Bệnh nhân nữ 20 tuổi, sinh viên, vào viện vì da xanh, mệt mỏi và sốt nhẹ kéo dài 1 tháng. Gần đây bệnh nhân hay bị chảy máu chân răng và xuất hiện các nốt bầm tím trên da. Khám thấy bệnh nhân rất nhợt nhạt, có nhiều chấm xuất huyết ở hai chân và mảng xuất huyết ở niêm mạc miệng. Không có gan lách hạch to. Cận lâm sàng: Hb 60 g/L, MCV 98 fL, WBC 1.5 G/L (ANC 0.2 G/L), Tiểu cầu 15 G/L. Số lượng hồng cầu lưới 0.1% (sau hiệu chỉnh). Sinh thiết tủy xương cho thấy tủy nghèo tế bào, các khoang sinh máu bị thay thế phần lớn bởi mô mỡ.",Cơ chế bệnh sinh của suy tủy xương vô căn được cho là gì?,Thiếu hụt các yếu tố vi lượng cần thiết cho tạo máu.,Sự xâm lấn của các tế bào ác tính vào tủy.,Các tế bào lympho T tự phản ứng tấn công và phá hủy các tế bào gốc tạo máu.,Đột biến gen di truyền gây suy giảm chức năng tủy.,,c,"Hầu hết các trường hợp suy tủy xương mắc phải được cho là có cơ chế tự miễn. Một yếu tố kích hoạt nào đó (không rõ) làm các tế bào lympho T của chính bệnh nhân nhận diện sai và tấn công, tiêu diệt các tế bào gốc tạo máu của mình, dẫn đến tủy xương không còn khả năng sản xuất tế bào máu."
noi-tong-hop-case-2-4,noi,Khác,Huyết học,"dịch. Ngoài các kháng sinh, các thuốc chống động kinh D. Thuốc ức chế bơm proton. (valproic acid, carbamazepine, phenytoin), heparin, quinidine, và một số thuốc lợi tiểu là những nhóm thuốc thường được báo cáo nhất. 7. Bệnh nhân nữ 20 tuổi, sinh viên, vào viện vì da xanh, mệt mỏi và sốt nhẹ kéo dài 1 tháng. Gần đây bệnh nhân hay bị chảy máu chân răng và xuất hiện các nốt bầm tím trên da. Khám thấy bệnh nhân rất nhợt nhạt, có nhiều chấm xuất huyết ở hai chân và mảng xuất huyết ở niêm mạc miệng. Không có gan lách hạch to. Cận lâm sàng: Hb 60 g/L, MCV 98 fL, WBC 1.5 G/L (ANC 0.2 G/L), Tiểu cầu 15 G/L. Số lượng hồng cầu lưới 0.1% (sau hiệu chỉnh). Sinh thiết tủy xương cho thấy tủy nghèo tế bào, các khoang sinh máu bị thay thế phần lớn bởi mô mỡ.","Đối với một bệnh nhân trẻ tuổi bị suy tủy xương rất nặng và có anh chị em ruột HLA phù hợp, lựa chọn điều trị nào được xem là tối ưu và có khả năng chữa khỏi bệnh?",Điều trị ức chế miễn dịch bằng ATG và Cyclosporine.,Ghép tế bào gốc tạo máu đồng loại.,Truyền máu và tiểu cầu hỗ trợ.,"Sử dụng các yếu tố kích thích tăng trưởng (G-CSF, EPO).",,b,Ghép tế bào gốc tạo máu từ người cho là anh chị em ruột có HLA phù hợp hoàn toàn là liệu pháp điều trị hàng đầu cho bệnh nhân trẻ bị suy tủy nặng/rất nặng. Liệu pháp này có khả năng thay thế toàn bộ hệ thống tạo máu bị lỗi và chữa khỏi bệnh vĩnh viễn với tỷ lệ thành công cao.
noi-tong-hop-case-2-5,noi,Khác,Huyết học,"dịch. Ngoài các kháng sinh, các thuốc chống động kinh D. Thuốc ức chế bơm proton. (valproic acid, carbamazepine, phenytoin), heparin, quinidine, và một số thuốc lợi tiểu là những nhóm thuốc thường được báo cáo nhất. 7. Bệnh nhân nữ 20 tuổi, sinh viên, vào viện vì da xanh, mệt mỏi và sốt nhẹ kéo dài 1 tháng. Gần đây bệnh nhân hay bị chảy máu chân răng và xuất hiện các nốt bầm tím trên da. Khám thấy bệnh nhân rất nhợt nhạt, có nhiều chấm xuất huyết ở hai chân và mảng xuất huyết ở niêm mạc miệng. Không có gan lách hạch to. Cận lâm sàng: Hb 60 g/L, MCV 98 fL, WBC 1.5 G/L (ANC 0.2 G/L), Tiểu cầu 15 G/L. Số lượng hồng cầu lưới 0.1% (sau hiệu chỉnh). Sinh thiết tủy xương cho thấy tủy nghèo tế bào, các khoang sinh máu bị thay thế phần lớn bởi mô mỡ.",Dấu hiệu nào giúp phân biệt suy tủy xương với lơ-xê-mi cấp trên lâm sàng?,Mức độ thiếu máu.,Sự hiện diện của xuất huyết.,Sự vắng mặt của gan lách hạch to trong suy tủy xương.,Tuổi khởi phát bệnh.,,c,Cả hai bệnh đều có thể gây giảm ba dòng tế bào. Tuy
