id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-1-1,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 25 tuổi, giáo viên, vào viện vì mệt mỏi, sưng đau nhiều khớp và sưng hai chân. Bệnh diễn tiến khoảng 2 tháng nay với các triệu chứng đau và sưng các khớp nhỏ ở bàn tay, khớp cổ tay, khớp gối hai bên, kèm theo cứng khớp buổi sáng kéo dài hơn 1 giờ. Gần đây, bệnh nhân thấy xuất hiện ban đỏ ở hai bên gò má, nặng lên khi ra nắng, tóc rụng nhiều và sưng phù ở mi mắt và hai mu chân, đi tiểu ít hơn. Tiền sử không ghi nhận bệnh lý đặc biệt. Khám lâm sàng bệnh nhân tỉnh, tiếp xúc tốt, sinh hiệu ổn: mạch 88 lần/phút, huyết áp 145/90 mmHg, nhiệt độ 37.5°C, SpO₂ 98% khí trời, BMI 22 kg/m². Khám thấy có ban cánh bướm ở mặt, sưng, nóng, đỏ, đau và hạn chế vận động các khớp cổ tay, khớp bàn ngón, khớp gối hai bên, không biến dạng khớp; phù mềm, ấn lõm ở hai chi dưới. Khám tim phổi bình thường, bụng mềm. Khám thần kinh không ghi nhận dấu hiệu yếu liệt hay rối loạn cảm giác. Xét nghiệm cận lâm sàng ghi nhận: Hemoglobin 105 g/L, bạch cầu 3.5 G/L (lymphocyte 0.8 G/L), tiểu cầu 130 G/L; Creatinin 150 μmol/L; Protein niệu 24 giờ là 2.5 g/24h; cặn lắng nước tiểu có trụ hồng cầu. Xét nghiệm miễn dịch có kháng thể kháng nhân (ANA) dương tính 1:1280, anti- dsDNA dương tính mạnh, và bổ thể C3, C4 giảm.",Chẩn đoán phù hợp nhất với bệnh nhân này là gì?,Hội chứng thận hư đơn thuần.,Lupus ban đỏ hệ thống.,Viêm cầu thận cấp sau nhiễm liên cầu.,Viêm khớp dạng thấp.,,b,"Bệnh nhân có đầy đủ các triệu chứng hệ thống (viêm khớp, ban da nhạy cảm ánh sáng, tổn thương thận, thay đổi huyết học) và các dấu ấn miễn dịch đặc hiệu (ANA, anti-dsDNA, giảm bổ thể), phù hợp với chẩn đoán Lupus ban đỏ hệ thống theo tiêu chuẩn EULAR/ACR 2019. Viêm khớp dạng thấp thường không có tổn thương thận và các tự kháng thể đặc hiệu như anti-dsDNA."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-1-2,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 25 tuổi, giáo viên, vào viện vì mệt mỏi, sưng đau nhiều khớp và sưng hai chân. Bệnh diễn tiến khoảng 2 tháng nay với các triệu chứng đau và sưng các khớp nhỏ ở bàn tay, khớp cổ tay, khớp gối hai bên, kèm theo cứng khớp buổi sáng kéo dài hơn 1 giờ. Gần đây, bệnh nhân thấy xuất hiện ban đỏ ở hai bên gò má, nặng lên khi ra nắng, tóc rụng nhiều và sưng phù ở mi mắt và hai mu chân, đi tiểu ít hơn. Tiền sử không ghi nhận bệnh lý đặc biệt. Khám lâm sàng bệnh nhân tỉnh, tiếp xúc tốt, sinh hiệu ổn: mạch 88 lần/phút, huyết áp 145/90 mmHg, nhiệt độ 37.5°C, SpO₂ 98% khí trời, BMI 22 kg/m². Khám thấy có ban cánh bướm ở mặt, sưng, nóng, đỏ, đau và hạn chế vận động các khớp cổ tay, khớp bàn ngón, khớp gối hai bên, không biến dạng khớp; phù mềm, ấn lõm ở hai chi dưới. Khám tim phổi bình thường, bụng mềm. Khám thần kinh không ghi nhận dấu hiệu yếu liệt hay rối loạn cảm giác. Xét nghiệm cận lâm sàng ghi nhận: Hemoglobin 105 g/L, bạch cầu 3.5 G/L (lymphocyte 0.8 G/L), tiểu cầu 130 G/L; Creatinin 150 μmol/L; Protein niệu 24 giờ là 2.5 g/24h; cặn lắng nước tiểu có trụ hồng cầu. Xét nghiệm miễn dịch có kháng thể kháng nhân (ANA) dương tính 1:1280, anti- dsDNA dương tính mạnh, và bổ thể C3, C4 giảm.",Cơ chế bệnh sinh chủ yếu gây tổn thương thận ở bệnh nhân này là gì?,Phản ứng viêm qua trung gian tế bào T độc (quá mẫn typ IV).,Phản ứng quá mẫn typ I qua trung gian IgE.,Lắng đọng phức hợp miễn dịch tại màng đáy cầu thận (quá mẫn typ III).,Độc tế bào phụ thuộc kháng thể (quá mẫn typ II).,,c,"Tổn thương thận trong lupus (viêm thận lupus) là một ví dụ điển hình của phản ứng quá mẫn typ III. Các phức hợp miễn dịch hình thành giữa tự kháng thể (như anti-dsDNA) và tự kháng nguyên sẽ lưu hành trong máu và lắng đọng tại các cơ quan, đặc biệt là màng đáy cầu thận, hoạt hóa bổ thể và gây ra một chuỗi phản ứng viêm, dẫn đến tổn thương cầu thận."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-1-3,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 25 tuổi, giáo viên, vào viện vì mệt mỏi, sưng đau nhiều khớp và sưng hai chân. Bệnh diễn tiến khoảng 2 tháng nay với các triệu chứng đau và sưng các khớp nhỏ ở bàn tay, khớp cổ tay, khớp gối hai bên, kèm theo cứng khớp buổi sáng kéo dài hơn 1 giờ. Gần đây, bệnh nhân thấy xuất hiện ban đỏ ở hai bên gò má, nặng lên khi ra nắng, tóc rụng nhiều và sưng phù ở mi mắt và hai mu chân, đi tiểu ít hơn. Tiền sử không ghi nhận bệnh lý đặc biệt. Khám lâm sàng bệnh nhân tỉnh, tiếp xúc tốt, sinh hiệu ổn: mạch 88 lần/phút, huyết áp 145/90 mmHg, nhiệt độ 37.5°C, SpO₂ 98% khí trời, BMI 22 kg/m². Khám thấy có ban cánh bướm ở mặt, sưng, nóng, đỏ, đau và hạn chế vận động các khớp cổ tay, khớp bàn ngón, khớp gối hai bên, không biến dạng khớp; phù mềm, ấn lõm ở hai chi dưới. Khám tim phổi bình thường, bụng mềm. Khám thần kinh không ghi nhận dấu hiệu yếu liệt hay rối loạn cảm giác. Xét nghiệm cận lâm sàng ghi nhận: Hemoglobin 105 g/L, bạch cầu 3.5 G/L (lymphocyte 0.8 G/L), tiểu cầu 130 G/L; Creatinin 150 μmol/L; Protein niệu 24 giờ là 2.5 g/24h; cặn lắng nước tiểu có trụ hồng cầu. Xét nghiệm miễn dịch có kháng thể kháng nhân (ANA) dương tính 1:1280, anti- dsDNA dương tính mạnh, và bổ thể C3, C4 giảm.","Thăm dò cận lâm sàng nào là ""tiêu chuẩn vàng"" để đánh giá mức độ và phân loại tổn thương thận ở bệnh nhân này?",Siêu âm Doppler mạch máu thận.,Sinh thiết thận.,Tổng phân tích nước tiểu.,Định lượng nồng độ anti-dsDNA.,,b,"Sinh thiết thận là tiêu chuẩn vàng để chẩn đoán xác định, phân loại mô bệnh học (theo ISN/RPS), đánh giá mức độ hoạt động và mạn tính của tổn thương, từ đó định hướng chiến lược điều trị và tiên lượng cho bệnh nhân viêm thận lupus."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-1-4,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nữ 25 tuổi, giáo viên, vào viện vì mệt mỏi, sưng đau nhiều khớp và sưng hai chân. Bệnh diễn tiến khoảng 2 tháng nay với các triệu chứng đau và sưng các khớp nhỏ ở bàn tay, khớp cổ tay, khớp gối hai bên, kèm theo cứng khớp buổi sáng kéo dài hơn 1 giờ. Gần đây, bệnh nhân thấy xuất hiện ban đỏ ở hai bên gò má, nặng lên khi ra nắng, tóc rụng nhiều và sưng phù ở mi mắt và hai mu chân, đi tiểu ít hơn. Tiền sử không ghi nhận bệnh lý đặc biệt. Khám lâm sàng bệnh nhân tỉnh, tiếp xúc tốt, sinh hiệu ổn: mạch 88 lần/phút, huyết áp 145/90 mmHg, nhiệt độ 37.5°C, SpO₂ 98% khí trời, BMI 22 kg/m². Khám thấy có ban cánh bướm ở mặt, sưng, nóng, đỏ, đau và hạn chế vận động các khớp cổ tay, khớp bàn ngón, khớp gối hai bên, không biến dạng khớp; phù mềm, ấn lõm ở hai chi dưới. Khám tim phổi bình thường, bụng mềm. Khám thần kinh không ghi nhận dấu hiệu yếu liệt hay rối loạn cảm giác. Xét nghiệm cận lâm sàng ghi nhận: Hemoglobin 105 g/L, bạch cầu 3.5 G/L (lymphocyte 0.8 G/L), tiểu cầu 130 G/L; Creatinin 150 μmol/L; Protein niệu 24 giờ là 2.5 g/24h; cặn lắng nước tiểu có trụ hồng cầu. Xét nghiệm miễn dịch có kháng thể kháng nhân (ANA) dương tính 1:1280, anti- dsDNA dương tính mạnh, và bổ thể C3, C4 giảm.",Biến chứng tim mạch nào thường gặp và là nguyên nhân gây tử vong hàng đầu ở bệnh nhân lupus ban đỏ hệ thống?,Bệnh mạch vành do xơ vữa sớm.,Viêm cơ tim cấp.,Viêm nội tâm mạc Libman-Sacks.,Tăng áp động mạch phổi.,,a,"Bệnh nhân lupus có nguy cơ mắc bệnh mạch vành do xơ vữa sớm cao hơn nhiều so với dân số chung. Tình trạng viêm hệ thống mạn tính, việc sử dụng corticoid kéo dài, và các yếu tố nguy cơ truyền thống khác góp phần thúc đẩy quá trình này, khiến nó trở thành nguyên nhân tử vong hàng đầu."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-2-1,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"thuốc chủ vận hệ muscarinic nào sau đây có thể được chỉ định để kích thích tăng tiết nước bọt và nước mắt? A. Methotrexate. B. Atropine. C. Pilocarpine. D. Prednisolone. Câu 3: Test Schirmer là một phương pháp đơn giản, khách quan để đo lường lượng nước mắt được bài tiết trong một khoảng thời gian nhất định (thường là 5 phút). Một dải giấy lọc chuyên dụng được đặt vào mi dưới của mắt. Kết quả thấp (< 5 mm/5 phút) cho thấy chức năng của tuyến lệ bị suy giảm, là một bằng chứng khách quan của tình trạng khô mắt. Câu 4: Bệnh nhân mắc hội chứng Sjögren có nguy cơ phát triển u lympho không Hodgkin cao hơn khoảng 40 lần so với người bình thường. Đây là biến chứng ác tính nghiêm trọng nhất của bệnh. Loại u lympho thường gặp nhất là u lympho MALT (mucosa-associated lymphoid tissue) phát sinh từ chính các tuyến ngoại tiết bị viêm mạn tính. Câu 5: Pilocarpine và Cevimeline là các thuốc chủ vận hệ muscarinic (cholinergic agonists). Chúng hoạt động bằng cách kích thích các thụ thể muscarinic M3 trên các tuyến ngoại tiết, làm tăng tiết nước bọt và nước mắt. Đây là liệu pháp toàn thân hiệu quả để cải thiện triệu chứng khô cho những bệnh nhân không đáp ứng đủ với các biện pháp tại chỗ. Atropine là chất đối kháng muscarinic, sẽ làm khô nặng hơn. TÌNH HUỐNG 7: Bệnh nhân nam 32 tuổi, người Thổ Nhĩ Kỳ, đến khám vì các vết loét ở miệng và bộ phận sinh dục tái phát nhiều lần trong 2 năm. Bệnh nhân khai rằng các vết loét miệng rất đau, xuất hiện ít nhất 3-4 lần mỗi năm, tự lành sau khoảng 1-2 tuần. Các vết loét ở bìu cũng có đặc điểm tương tự. Khoảng 6 tháng nay, bệnh nhân thấy xuất hiện các nốt đỏ, đau ở cẳng chân, và gần đây bị nhìn mờ, đỏ và đau một bên mắt. Bệnh nhân không có tiền sử bệnh lý đáng chú ý. Khám lâm sàng ghi nhận bệnh nhân tỉnh, sinh hiệu ổn. Trong miệng có 3 vết loét aphthous nông, đáy vàng, viền đỏ, rất đau. Vùng bìu có một vết sẹo cũ và một vết loét đang hoạt động. Da vùng cẳng chân có vài nốt hồng ban nút (erythema nodosum). Khám mắt với đèn khe cho thấy có tình trạng viêm màng bồ đào trước (tế bào và flare trong tiền phòng). Bác sĩ thực hiện nghiệm pháp pathergy bằng cách chọc một cây kim vô trùng vào da cẳng tay, sau 48 giờ tại vị trí chọc kim xuất hiện một sẩn mủ. Các xét nghiệm viêm như VS, CRP tăng nhẹ. Các xét nghiệm tự kháng thể như ANA, ANCA đều âm tính.",Chẩn đoán có khả năng nhất ở bệnh nhân này là gì?,Phản ứng thuốc.,Herpes sinh dục tái phát.,Bệnh Crohn.,Bệnh Behçet.,,d,"Bệnh nhân có các triệu chứng kinh điển của bệnh Behçet, bao gồm loét miệng tái phát (tiêu chuẩn bắt buộc), loét sinh dục, tổn thương mắt (viêm màng bồ đào), tổn thương da (hồng ban nút) và nghiệm pháp pathergy dương tính. Các đặc điểm này đáp ứng đầy đủ tiêu chuẩn chẩn đoán quốc tế cho bệnh Behçet."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-2-2,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"thuốc chủ vận hệ muscarinic nào sau đây có thể được chỉ định để kích thích tăng tiết nước bọt và nước mắt? A. Methotrexate. B. Atropine. C. Pilocarpine. D. Prednisolone. Câu 3: Test Schirmer là một phương pháp đơn giản, khách quan để đo lường lượng nước mắt được bài tiết trong một khoảng thời gian nhất định (thường là 5 phút). Một dải giấy lọc chuyên dụng được đặt vào mi dưới của mắt. Kết quả thấp (< 5 mm/5 phút) cho thấy chức năng của tuyến lệ bị suy giảm, là một bằng chứng khách quan của tình trạng khô mắt. Câu 4: Bệnh nhân mắc hội chứng Sjögren có nguy cơ phát triển u lympho không Hodgkin cao hơn khoảng 40 lần so với người bình thường. Đây là biến chứng ác tính nghiêm trọng nhất của bệnh. Loại u lympho thường gặp nhất là u lympho MALT (mucosa-associated lymphoid tissue) phát sinh từ chính các tuyến ngoại tiết bị viêm mạn tính. Câu 5: Pilocarpine và Cevimeline là các thuốc chủ vận hệ muscarinic (cholinergic agonists). Chúng hoạt động bằng cách kích thích các thụ thể muscarinic M3 trên các tuyến ngoại tiết, làm tăng tiết nước bọt và nước mắt. Đây là liệu pháp toàn thân hiệu quả để cải thiện triệu chứng khô cho những bệnh nhân không đáp ứng đủ với các biện pháp tại chỗ. Atropine là chất đối kháng muscarinic, sẽ làm khô nặng hơn. TÌNH HUỐNG 7: Bệnh nhân nam 32 tuổi, người Thổ Nhĩ Kỳ, đến khám vì các vết loét ở miệng và bộ phận sinh dục tái phát nhiều lần trong 2 năm. Bệnh nhân khai rằng các vết loét miệng rất đau, xuất hiện ít nhất 3-4 lần mỗi năm, tự lành sau khoảng 1-2 tuần. Các vết loét ở bìu cũng có đặc điểm tương tự. Khoảng 6 tháng nay, bệnh nhân thấy xuất hiện các nốt đỏ, đau ở cẳng chân, và gần đây bị nhìn mờ, đỏ và đau một bên mắt. Bệnh nhân không có tiền sử bệnh lý đáng chú ý. Khám lâm sàng ghi nhận bệnh nhân tỉnh, sinh hiệu ổn. Trong miệng có 3 vết loét aphthous nông, đáy vàng, viền đỏ, rất đau. Vùng bìu có một vết sẹo cũ và một vết loét đang hoạt động. Da vùng cẳng chân có vài nốt hồng ban nút (erythema nodosum). Khám mắt với đèn khe cho thấy có tình trạng viêm màng bồ đào trước (tế bào và flare trong tiền phòng). Bác sĩ thực hiện nghiệm pháp pathergy bằng cách chọc một cây kim vô trùng vào da cẳng tay, sau 48 giờ tại vị trí chọc kim xuất hiện một sẩn mủ. Các xét nghiệm viêm như VS, CRP tăng nhẹ. Các xét nghiệm tự kháng thể như ANA, ANCA đều âm tính.",Cơ chế bệnh sinh nền tảng của bệnh Behçet được cho là gì?,Phản ứng dị ứng qua trung gian IgE với một dị nguyên chưa xác định.,"Một tình trạng viêm mạch hệ thống, chủ yếu ảnh hưởng đến cả động mạch và tĩnh mạch ở mọi kích thước, với sự thâm nhiễm của bạch cầu trung tính.",Lắng đọng phức hợp miễn dịch tại da và niêm mạc.,Sự hình thành các u hạt hoại tử trong thành mạch máu.,,b,"Bệnh Behçet được xem là một bệnh lý viêm mạch hệ thống. Không giống như các bệnh viêm mạch khác thường ưu tiên một loại mạch máu nhất định, bệnh Behçet có thể ảnh hưởng đến cả động mạch và tĩnh mạch ở mọi kích thước. Tổn thương mô bệnh học đặc trưng là sự thâm nhiễm quanh mạch của các tế bào viêm, chủ yếu là bạch cầu trung tính và lympho bào."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-2-3,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"thuốc chủ vận hệ muscarinic nào sau đây có thể được chỉ định để kích thích tăng tiết nước bọt và nước mắt? A. Methotrexate. B. Atropine. C. Pilocarpine. D. Prednisolone. Câu 3: Test Schirmer là một phương pháp đơn giản, khách quan để đo lường lượng nước mắt được bài tiết trong một khoảng thời gian nhất định (thường là 5 phút). Một dải giấy lọc chuyên dụng được đặt vào mi dưới của mắt. Kết quả thấp (< 5 mm/5 phút) cho thấy chức năng của tuyến lệ bị suy giảm, là một bằng chứng khách quan của tình trạng khô mắt. Câu 4: Bệnh nhân mắc hội chứng Sjögren có nguy cơ phát triển u lympho không Hodgkin cao hơn khoảng 40 lần so với người bình thường. Đây là biến chứng ác tính nghiêm trọng nhất của bệnh. Loại u lympho thường gặp nhất là u lympho MALT (mucosa-associated lymphoid tissue) phát sinh từ chính các tuyến ngoại tiết bị viêm mạn tính. Câu 5: Pilocarpine và Cevimeline là các thuốc chủ vận hệ muscarinic (cholinergic agonists). Chúng hoạt động bằng cách kích thích các thụ thể muscarinic M3 trên các tuyến ngoại tiết, làm tăng tiết nước bọt và nước mắt. Đây là liệu pháp toàn thân hiệu quả để cải thiện triệu chứng khô cho những bệnh nhân không đáp ứng đủ với các biện pháp tại chỗ. Atropine là chất đối kháng muscarinic, sẽ làm khô nặng hơn. TÌNH HUỐNG 7: Bệnh nhân nam 32 tuổi, người Thổ Nhĩ Kỳ, đến khám vì các vết loét ở miệng và bộ phận sinh dục tái phát nhiều lần trong 2 năm. Bệnh nhân khai rằng các vết loét miệng rất đau, xuất hiện ít nhất 3-4 lần mỗi năm, tự lành sau khoảng 1-2 tuần. Các vết loét ở bìu cũng có đặc điểm tương tự. Khoảng 6 tháng nay, bệnh nhân thấy xuất hiện các nốt đỏ, đau ở cẳng chân, và gần đây bị nhìn mờ, đỏ và đau một bên mắt. Bệnh nhân không có tiền sử bệnh lý đáng chú ý. Khám lâm sàng ghi nhận bệnh nhân tỉnh, sinh hiệu ổn. Trong miệng có 3 vết loét aphthous nông, đáy vàng, viền đỏ, rất đau. Vùng bìu có một vết sẹo cũ và một vết loét đang hoạt động. Da vùng cẳng chân có vài nốt hồng ban nút (erythema nodosum). Khám mắt với đèn khe cho thấy có tình trạng viêm màng bồ đào trước (tế bào và flare trong tiền phòng). Bác sĩ thực hiện nghiệm pháp pathergy bằng cách chọc một cây kim vô trùng vào da cẳng tay, sau 48 giờ tại vị trí chọc kim xuất hiện một sẩn mủ. Các xét nghiệm viêm như VS, CRP tăng nhẹ. Các xét nghiệm tự kháng thể như ANA, ANCA đều âm tính.",Nghiệm pháp pathergy dương tính phản ánh tình trạng gì?,Phản ứng dị ứng muộn.,Tăng nhạy cảm da không đặc hiệu đối với các chấn thương nhỏ.,Rối loạn đông máu.,Nhiễm trùng da do vi khuẩn.,,b,"Nghiệm pháp pathergy dương tính là một phản ứng tăng nhạy cảm của da đối với chấn thương. Việc chọc kim gây ra một tổn thương nhỏ, nhưng ở bệnh nhân Behçet, nó kích hoạt một phản ứng viêm quá mức, dẫn đến sự hình thành một sẩn hoặc mụn mủ vô trùng tại vị trí chấn thương sau 24-48 giờ. Đây là một dấu hiệu đặc trưng của bệnh."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-2-4,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"thuốc chủ vận hệ muscarinic nào sau đây có thể được chỉ định để kích thích tăng tiết nước bọt và nước mắt? A. Methotrexate. B. Atropine. C. Pilocarpine. D. Prednisolone. Câu 3: Test Schirmer là một phương pháp đơn giản, khách quan để đo lường lượng nước mắt được bài tiết trong một khoảng thời gian nhất định (thường là 5 phút). Một dải giấy lọc chuyên dụng được đặt vào mi dưới của mắt. Kết quả thấp (< 5 mm/5 phút) cho thấy chức năng của tuyến lệ bị suy giảm, là một bằng chứng khách quan của tình trạng khô mắt. Câu 4: Bệnh nhân mắc hội chứng Sjögren có nguy cơ phát triển u lympho không Hodgkin cao hơn khoảng 40 lần so với người bình thường. Đây là biến chứng ác tính nghiêm trọng nhất của bệnh. Loại u lympho thường gặp nhất là u lympho MALT (mucosa-associated lymphoid tissue) phát sinh từ chính các tuyến ngoại tiết bị viêm mạn tính. Câu 5: Pilocarpine và Cevimeline là các thuốc chủ vận hệ muscarinic (cholinergic agonists). Chúng hoạt động bằng cách kích thích các thụ thể muscarinic M3 trên các tuyến ngoại tiết, làm tăng tiết nước bọt và nước mắt. Đây là liệu pháp toàn thân hiệu quả để cải thiện triệu chứng khô cho những bệnh nhân không đáp ứng đủ với các biện pháp tại chỗ. Atropine là chất đối kháng muscarinic, sẽ làm khô nặng hơn. TÌNH HUỐNG 7: Bệnh nhân nam 32 tuổi, người Thổ Nhĩ Kỳ, đến khám vì các vết loét ở miệng và bộ phận sinh dục tái phát nhiều lần trong 2 năm. Bệnh nhân khai rằng các vết loét miệng rất đau, xuất hiện ít nhất 3-4 lần mỗi năm, tự lành sau khoảng 1-2 tuần. Các vết loét ở bìu cũng có đặc điểm tương tự. Khoảng 6 tháng nay, bệnh nhân thấy xuất hiện các nốt đỏ, đau ở cẳng chân, và gần đây bị nhìn mờ, đỏ và đau một bên mắt. Bệnh nhân không có tiền sử bệnh lý đáng chú ý. Khám lâm sàng ghi nhận bệnh nhân tỉnh, sinh hiệu ổn. Trong miệng có 3 vết loét aphthous nông, đáy vàng, viền đỏ, rất đau. Vùng bìu có một vết sẹo cũ và một vết loét đang hoạt động. Da vùng cẳng chân có vài nốt hồng ban nút (erythema nodosum). Khám mắt với đèn khe cho thấy có tình trạng viêm màng bồ đào trước (tế bào và flare trong tiền phòng). Bác sĩ thực hiện nghiệm pháp pathergy bằng cách chọc một cây kim vô trùng vào da cẳng tay, sau 48 giờ tại vị trí chọc kim xuất hiện một sẩn mủ. Các xét nghiệm viêm như VS, CRP tăng nhẹ. Các xét nghiệm tự kháng thể như ANA, ANCA đều âm tính.",Biến chứng nào sau đây là nghiêm trọng và có khả năng đe dọa thị lực vĩnh viễn ở bệnh nhân Behçet?,Viêm màng bồ đào toàn bộ (panuveitis) và viêm mạch máu võng mạc.,Khô mắt.,Đục thủy tinh thể.,Viêm kết mạc.,,a,"Tổn thương mắt là một trong những biểu hiện nặng nề nhất của bệnh Behçet. Viêm màng bồ đào, đặc biệt là viêm màng bồ đào sau hoặc viêm toàn bộ, cùng với viêm mạch máu võng mạc, có thể dẫn đến các biến chứng nghiêm trọng như xuất huyết dịch kính, phù hoàng điểm, tắc mạch máu võng mạc, và cuối cùng là mù lòa không hồi phục nếu không được điều trị tích cực."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-3-1,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"truyền rất mạnh mẽ giữa kháng nguyên HLA-B51 và bệnh Behçet. Sự hiện diện của allele này làm tăng nguy cơ mắc bệnh một cách đáng kể, đặc biệt là ở các quần thể dân cư từ vùng Địa Trung Hải đến Đông Á (khu vực ""con đường tơ lụa"" cũ). Tuy nhiên, HLA-B51 không phải là một xét nghiệm chẩn đoán mà chỉ là một yếu tố nguy cơ. TÌNH HUỐNG 8: Một nam bệnh nhân 55 tuổi, làm nghề lái xe, được đưa vào cấp cứu vì đột ngột sưng, nóng, đỏ và đau dữ dội ở khớp bàn ngón chân cái bên phải. Cơn đau bắt đầu vào lúc nửa đêm, khiến bệnh nhân thức giấc, và nặng đến mức bệnh nhân không thể chịu được dù chỉ là một tấm chăn mỏng đắp lên. Bệnh nhân có tiền sử tăng huyết áp đang điều trị bằng hydrochlorothiazide và amlodipine, rối loạn lipid máu, và thỉnh thoảng uống nhiều rượu bia với bạn bè. Khám lâm sàng: bệnh nhân tỉnh, mặt nhăn nhó vì đau. Nhiệt độ 38.2°C, mạch 95 lần/phút, huyết áp 150/90 mmHg. Khám khớp bàn ngón chân cái (MTP1) phải thấy sưng to, da căng bóng, đỏ rực, sờ vào rất nóng và bệnh nhân cực kỳ đau khi chạm vào. Vận động khớp gần như không thể thực hiện được. Không thấy có dấu hiệu của chấn thương hay vết côn trùng cắn. Các khớp khác không sưng đau. Xét nghiệm máu cho thấy bạch cầu 12.5 G/L (neutrophil 80%), CRP 150 mg/L. Acid uric máu tại thời điểm nhập viện là 540 μmol/L (giá trị bình thường < 420 μmol/L).",Chẩn đoán có khả năng cao nhất là gì?,Viêm mô tế bào.,Cơn gút cấp.,Viêm khớp dạng thấp.,Viêm khớp nhiễm khuẩn.,,b,"Bệnh cảnh lâm sàng cực kỳ điển hình của một cơn gút cấp: khởi phát đột ngột, đau dữ dội, viêm tại một khớp (monoarthritis), đặc biệt là khớp bàn ngón chân cái (podagra), trên một bệnh nhân nam trung niên có các yếu tố nguy cơ (tăng acid uric máu, uống rượu, dùng thiazide)."
noi-dai-cuong-benh-to-chuc-lien-ket-casen2-3-2,noi,Đại cương bệnh tổ chức liên kết,Cơ xương khớp,"truyền rất mạnh mẽ giữa kháng nguyên HLA-B51 và bệnh Behçet. Sự hiện diện của allele này làm tăng nguy cơ mắc bệnh một cách đáng kể, đặc biệt là ở các quần thể dân cư từ vùng Địa Trung Hải đến Đông Á (khu vực ""con đường tơ lụa"" cũ). Tuy nhiên, HLA-B51 không phải là một xét nghiệm chẩn đoán mà chỉ là một yếu tố nguy cơ. TÌNH HUỐNG 8: Một nam bệnh nhân 55 tuổi, làm nghề lái xe, được đưa vào cấp cứu vì đột ngột sưng, nóng, đỏ và đau dữ dội ở khớp bàn ngón chân cái bên phải. Cơn đau bắt đầu vào lúc nửa đêm, khiến bệnh nhân thức giấc, và nặng đến mức bệnh nhân không thể chịu được dù chỉ là một tấm chăn mỏng đắp lên. Bệnh nhân có tiền sử tăng huyết áp đang điều trị bằng hydrochlorothiazide và amlodipine, rối loạn lipid máu, và thỉnh thoảng uống nhiều rượu bia với bạn bè. Khám lâm sàng: bệnh nhân tỉnh, mặt nhăn nhó vì đau. Nhiệt độ 38.2°C, mạch 95 lần/phút, huyết áp 150/90 mmHg. Khám khớp bàn ngón chân cái (MTP1) phải thấy sưng to, da căng bóng, đỏ rực, sờ vào rất nóng và bệnh nhân cực kỳ đau khi chạm vào. Vận động khớp gần như không thể thực hiện được. Không thấy có dấu hiệu của chấn thương hay vết côn trùng cắn. Các khớp khác không sưng đau. Xét nghiệm máu cho thấy bạch cầu 12.5 G/L (neutrophil 80%), CRP 150 mg/L. Acid uric máu tại thời điểm nhập viện là 540 μmol/L (giá trị bình thường < 420 μmol/L).",Cơ chế nào giải thích cho phản ứng viêm dữ dội trong khớp của bệnh nhân?,"Các tế bào thực bào (như đại thực bào, bạch cầu trung tính) nuốt các tinh thể monosodium urate, dẫn đến hoạt hóa inflammasome và giải phóng Interleukin-1β.",Vi khuẩn xâm nhập vào khớp gây phản ứng sinh mủ.,Tự kháng thể tấn công màng hoạt dịch của khớp.,Phức hợp miễn dịch lắng đọng trong dịch khớp.,,a,"Cơn gút cấp là một bệnh lý viêm do tinh thể. Khi nồng độ urat trong dịch khớp bão hòa, các tinh thể monosodium urate (MSU) sẽ kết tủa. Các tinh thể này bị các tế bào thực bào trong khớp nuốt phải. Quá trình này kích hoạt một phức hợp protein nội bào gọi là inflammasome (cụ thể là NLRP3 inflammasome), dẫn đến sản xuất và giải phóng một lượng lớn cytokine tiền viêm, đặc biệt là Interleukin-1β (IL-1β), gây ra một phản ứng viêm cấp tính, rầm rộ."
