id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-an-toan-truyen-mau-casen2-1-1,noi,An toàn truyền máu,Huyết học,"Bệnh nhân nam 68 tuổi, tiền sử ung thư đại tràng đang hóa trị, nhập viện vì thiếu máu có triệu chứng (Hb 68 g/L). Bệnh nhân có nhóm máu A, Rh+. Một đơn vị khối hồng cầu nhóm máu A, Rh+ được chỉ định truyền. Khoảng 15 phút sau khi bắt đầu truyền máu, bệnh nhân đột ngột rét run, sốt 39.5°C, đau dữ dội vùng thắt lưng và cảm thấy tức ngực. Bệnh nhân lo lắng, hốt hoảng. Khám ý thức lơ mơ, da tái, vã mồ hôi. Sinh hiệu: Mạch 125 lần/phút, Huyết áp 80/50 mmHg, Nhịp thở 28 lần/phút, SpO₂ 92% khí trời. Nước tiểu lấy được tại giường có màu đỏ sậm. Phổi và tim không có dấu hiệu bất thường trước khi truyền. Túi máu đã truyền được khoảng 50 mL.",Tình trạng của bệnh nhân rất có thể là biến chứng gì?,Phản ứng tan máu cấp.,"Phản ứng dị ứng, mề đay.",Phản ứng sốt không do tan máu.,Quá tải tuần hoàn liên quan đến truyền máu (TACO).,,a,"Bệnh cảnh khởi phát đột ngột, rầm rộ ngay sau khi bắt đầu truyền máu với các triệu chứng kinh điển: sốt cao, rét run, đau lưng, tụt huyết áp và hemoglobin niệu (nước tiểu đỏ sậm) là hình ảnh điển hình của phản ứng tan máu cấp, một cấp cứu trong truyền máu."
noi-an-toan-truyen-mau-casen2-1-2,noi,An toàn truyền máu,Huyết học,"Bệnh nhân nam 68 tuổi, tiền sử ung thư đại tràng đang hóa trị, nhập viện vì thiếu máu có triệu chứng (Hb 68 g/L). Bệnh nhân có nhóm máu A, Rh+. Một đơn vị khối hồng cầu nhóm máu A, Rh+ được chỉ định truyền. Khoảng 15 phút sau khi bắt đầu truyền máu, bệnh nhân đột ngột rét run, sốt 39.5°C, đau dữ dội vùng thắt lưng và cảm thấy tức ngực. Bệnh nhân lo lắng, hốt hoảng. Khám ý thức lơ mơ, da tái, vã mồ hôi. Sinh hiệu: Mạch 125 lần/phút, Huyết áp 80/50 mmHg, Nhịp thở 28 lần/phút, SpO₂ 92% khí trời. Nước tiểu lấy được tại giường có màu đỏ sậm. Phổi và tim không có dấu hiệu bất thường trước khi truyền. Túi máu đã truyền được khoảng 50 mL.",Cơ chế bệnh sinh chính gây ra các triệu chứng nặng của bệnh nhân là gì?,Các cytokine được giải phóng từ bạch cầu của người cho trong túi máu.,"Sự hoạt hóa hệ thống bổ thể bởi phức hợp kháng nguyên-kháng thể, dẫn đến tan máu nội mạch và sốc.","Kháng thể IgE của bệnh nhân phản ứng với protein huyết tương của người cho, gây giải phóng histamin.",Tăng thể tích tuần hoàn đột ngột vượt quá khả năng co bóp của tim.,,b,"Cơ chế của tan máu cấp (thường do bất đồng nhóm máu ABO) là các kháng thể tự nhiên (IgM) trong máu người nhận tấn công kháng nguyên tương ứng trên bề mặt hồng cầu người cho. Điều này hoạt hóa mạnh mẽ hệ thống bổ thể, gây vỡ hồng cầu hàng loạt trong lòng mạch (tan máu nội mạch), giải phóng cytokine gây sốc và các mảnh vỡ hồng cầu gây suy thận cấp."
noi-an-toan-truyen-mau-casen2-1-3,noi,An toàn truyền máu,Huyết học,"Bệnh nhân nam 68 tuổi, tiền sử ung thư đại tràng đang hóa trị, nhập viện vì thiếu máu có triệu chứng (Hb 68 g/L). Bệnh nhân có nhóm máu A, Rh+. Một đơn vị khối hồng cầu nhóm máu A, Rh+ được chỉ định truyền. Khoảng 15 phút sau khi bắt đầu truyền máu, bệnh nhân đột ngột rét run, sốt 39.5°C, đau dữ dội vùng thắt lưng và cảm thấy tức ngực. Bệnh nhân lo lắng, hốt hoảng. Khám ý thức lơ mơ, da tái, vã mồ hôi. Sinh hiệu: Mạch 125 lần/phút, Huyết áp 80/50 mmHg, Nhịp thở 28 lần/phút, SpO₂ 92% khí trời. Nước tiểu lấy được tại giường có màu đỏ sậm. Phổi và tim không có dấu hiệu bất thường trước khi truyền. Túi máu đã truyền được khoảng 50 mL.",Hành động nào sau đây là quan trọng và cần thực hiện ngay lập tức?,Giảm tốc độ truyền máu và theo dõi thêm.,Tiêm một liều thuốc hạ sốt paracetamol.,"Ngừng truyền máu ngay lập tức, giữ lại đường truyền tĩnh mạch bằng Natri Clorua 0.9%.",Tiêm một liều thuốc lợi tiểu furosemide.,,c,Nguyên tắc vàng khi nghi ngờ có phản ứng truyền máu nghiêm trọng là phải ngừng truyền ngay lập tức để ngăn chặn việc đưa thêm các yếu tố gây phản ứng vào cơ thể. Việc duy trì đường truyền tĩnh mạch bằng dung dịch muối đẳng trương là cần thiết để hồi sức chống sốc và dùng các thuốc cấp cứu khác.
noi-an-toan-truyen-mau-casen2-1-4,noi,An toàn truyền máu,Huyết học,"Bệnh nhân nam 68 tuổi, tiền sử ung thư đại tràng đang hóa trị, nhập viện vì thiếu máu có triệu chứng (Hb 68 g/L). Bệnh nhân có nhóm máu A, Rh+. Một đơn vị khối hồng cầu nhóm máu A, Rh+ được chỉ định truyền. Khoảng 15 phút sau khi bắt đầu truyền máu, bệnh nhân đột ngột rét run, sốt 39.5°C, đau dữ dội vùng thắt lưng và cảm thấy tức ngực. Bệnh nhân lo lắng, hốt hoảng. Khám ý thức lơ mơ, da tái, vã mồ hôi. Sinh hiệu: Mạch 125 lần/phút, Huyết áp 80/50 mmHg, Nhịp thở 28 lần/phút, SpO₂ 92% khí trời. Nước tiểu lấy được tại giường có màu đỏ sậm. Phổi và tim không có dấu hiệu bất thường trước khi truyền. Túi máu đã truyền được khoảng 50 mL.",Xét nghiệm nào sau đây có giá trị nhất để xác nhận chẩn đoán?,Cấy máu của bệnh nhân và túi máu.,Định lượng nồng độ IgA trong máu bệnh nhân.,Chụp X-quang ngực tại giường.,Nghiệm pháp Coombs trực tiếp và định lượng hemoglobin tự do trong huyết tương.,,d,Nghiệm pháp Coombs trực tiếp dương tính sẽ khẳng định có kháng thể gắn trên bề mặt hồng cầu của bệnh nhân. Nồng độ hemoglobin tự do trong huyết tương và nước tiểu tăng cao là bằng chứng của tan máu nội mạch. Đây là các xét nghiệm chủ chốt để xác nhận chẩn đoán.
noi-an-toan-truyen-mau-casen2-2-1,noi,An toàn truyền máu,Huyết học,"cực kỳ nghiêm trọng và gần như luôn gây tử vong. Tình trạng suy tủy nặng không hồi phục dẫn đến tử vong do nhiễm trùng hoặc chảy máu. Các phương pháp điều trị ức chế miễn dịch hiện tại hầu như không hiệu quả. Do đó, việc xác định đúng đối tượng nguy cơ và chiếu xạ máu dự phòng là tối quan trọng. Bệnh nhân nữ 42 tuổi, đã sinh 3 lần, nhập viện để phẫu thuật cắt túi mật nội soi. Bệnh nhân có nhóm máu A, Rh+, không có tiền sử bệnh huyết học. Trong quá trình phẫu thuật, bệnh nhân được truyền 1 đơn vị khối hồng cầu. Cuộc mổ diễn ra thuận lợi. Tuy nhiên, 7 ngày sau phẫu thuật, bệnh nhân đột ngột xuất hiện nhiều mảng bầm tím lớn trên da, chảy máu chân răng và chảy máu cam. Xét nghiệm công thức máu cho thấy số lượng tiểu cầu giảm rất nặng: 5 G/L. Nồng độ hemoglobin và số lượng bạch cầu bình thường. Tủy đồ cho thấy tăng sinh dòng mẫu tiểu cầu. Xét nghiệm miễn dịch phát hiện kháng thể kháng tiểu cầu đặc hiệu HPA-1a trong máu bệnh nhân.",Biến chứng muộn của truyền máu mà bệnh nhân gặp phải là gì?,Ban xuất huyết sau truyền máu (Post-transfusion purpura - PTP).,Xuất huyết giảm tiểu cầu miễn dịch (ITP) khởi phát ngẫu nhiên.,Đông máu nội mạch lan tỏa (DIC).,Suy tủy xương.,,a,"PTP là một biến chứng hiếm gặp nhưng nghiêm trọng, đặc trưng bởi sự khởi phát đột ngột của tình trạng giảm tiểu cầu rất nặng, thường xảy ra khoảng 5-10 ngày sau khi truyền các chế phẩm máu có chứa tiểu cầu hoặc mảnh vỡ tiểu cầu (như khối hồng cầu)."
noi-an-toan-truyen-mau-casen2-2-2,noi,An toàn truyền máu,Huyết học,"cực kỳ nghiêm trọng và gần như luôn gây tử vong. Tình trạng suy tủy nặng không hồi phục dẫn đến tử vong do nhiễm trùng hoặc chảy máu. Các phương pháp điều trị ức chế miễn dịch hiện tại hầu như không hiệu quả. Do đó, việc xác định đúng đối tượng nguy cơ và chiếu xạ máu dự phòng là tối quan trọng. Bệnh nhân nữ 42 tuổi, đã sinh 3 lần, nhập viện để phẫu thuật cắt túi mật nội soi. Bệnh nhân có nhóm máu A, Rh+, không có tiền sử bệnh huyết học. Trong quá trình phẫu thuật, bệnh nhân được truyền 1 đơn vị khối hồng cầu. Cuộc mổ diễn ra thuận lợi. Tuy nhiên, 7 ngày sau phẫu thuật, bệnh nhân đột ngột xuất hiện nhiều mảng bầm tím lớn trên da, chảy máu chân răng và chảy máu cam. Xét nghiệm công thức máu cho thấy số lượng tiểu cầu giảm rất nặng: 5 G/L. Nồng độ hemoglobin và số lượng bạch cầu bình thường. Tủy đồ cho thấy tăng sinh dòng mẫu tiểu cầu. Xét nghiệm miễn dịch phát hiện kháng thể kháng tiểu cầu đặc hiệu HPA-1a trong máu bệnh nhân.",Cơ chế bệnh sinh của PTP là gì?,Tiểu cầu của người cho tấn công hệ miễn dịch của người nhận.,"Bệnh nhân (thường là HPA-1a âm tính) tạo ra kháng thể chống lại kháng nguyên HPA-1a trên tiểu cầu của người cho, và kháng thể này cũng phá hủy cả tiểu cầu của chính bệnh nhân.",Vi khuẩn trong túi máu gây ức chế dòng mẫu tiểu cầu.,Các mảnh vỡ hồng cầu từ túi máu gây kết tập tiểu cầu.,,b,"PTP xảy ra ở những bệnh nhân thiếu một kháng nguyên tiểu cầu phổ biến (ví dụ, HPA-1a âm tính). Khi tiếp xúc với kháng nguyên này qua truyền máu, họ tạo ra kháng thể (anti-HPA-1a). Điều phức tạp và chưa được hiểu rõ hoàn toàn là kháng thể này không chỉ phá hủy các tiểu cầu lạ mang kháng nguyên HPA-1a mà còn bằng cách nào đó gây ra sự phá hủy cả tiểu cầu tự thân (vốn không có kháng nguyên HPA-1a)."
noi-an-toan-truyen-mau-casen2-2-3,noi,An toàn truyền máu,Huyết học,"cực kỳ nghiêm trọng và gần như luôn gây tử vong. Tình trạng suy tủy nặng không hồi phục dẫn đến tử vong do nhiễm trùng hoặc chảy máu. Các phương pháp điều trị ức chế miễn dịch hiện tại hầu như không hiệu quả. Do đó, việc xác định đúng đối tượng nguy cơ và chiếu xạ máu dự phòng là tối quan trọng. Bệnh nhân nữ 42 tuổi, đã sinh 3 lần, nhập viện để phẫu thuật cắt túi mật nội soi. Bệnh nhân có nhóm máu A, Rh+, không có tiền sử bệnh huyết học. Trong quá trình phẫu thuật, bệnh nhân được truyền 1 đơn vị khối hồng cầu. Cuộc mổ diễn ra thuận lợi. Tuy nhiên, 7 ngày sau phẫu thuật, bệnh nhân đột ngột xuất hiện nhiều mảng bầm tím lớn trên da, chảy máu chân răng và chảy máu cam. Xét nghiệm công thức máu cho thấy số lượng tiểu cầu giảm rất nặng: 5 G/L. Nồng độ hemoglobin và số lượng bạch cầu bình thường. Tủy đồ cho thấy tăng sinh dòng mẫu tiểu cầu. Xét nghiệm miễn dịch phát hiện kháng thể kháng tiểu cầu đặc hiệu HPA-1a trong máu bệnh nhân.",Tại sao tình trạng này thường xảy ra ở phụ nữ đã sinh đẻ nhiều lần?,Do thay đổi nội tiết tố sau sinh.,Do phụ nữ có số lượng tiểu cầu thấp hơn nam giới.,Do họ đã được mẫn cảm với các kháng nguyên tiểu cầu lạ từ thai nhi trong các lần mang thai trước.,Do họ thường bị thiếu sắt.,,c,"Tương tự như việc hình thành kháng thể kháng bạch cầu, trong quá trình mang thai và sinh đẻ, một lượng nhỏ tế bào máu của thai nhi (có thể mang kháng nguyên HPA-1a từ người cha) có thể đi vào tuần hoàn của người mẹ. Nếu người mẹ là HPA-1a âm tính, hệ miễn dịch của họ có thể bị mẫn cảm và tạo ra kháng thể. Lần truyền máu sau này đóng vai trò như một lần tái tiếp xúc, gây ra đáp ứng miễn dịch mạnh mẽ."
noi-an-toan-truyen-mau-casen2-2-4,noi,An toàn truyền máu,Huyết học,"cực kỳ nghiêm trọng và gần như luôn gây tử vong. Tình trạng suy tủy nặng không hồi phục dẫn đến tử vong do nhiễm trùng hoặc chảy máu. Các phương pháp điều trị ức chế miễn dịch hiện tại hầu như không hiệu quả. Do đó, việc xác định đúng đối tượng nguy cơ và chiếu xạ máu dự phòng là tối quan trọng. Bệnh nhân nữ 42 tuổi, đã sinh 3 lần, nhập viện để phẫu thuật cắt túi mật nội soi. Bệnh nhân có nhóm máu A, Rh+, không có tiền sử bệnh huyết học. Trong quá trình phẫu thuật, bệnh nhân được truyền 1 đơn vị khối hồng cầu. Cuộc mổ diễn ra thuận lợi. Tuy nhiên, 7 ngày sau phẫu thuật, bệnh nhân đột ngột xuất hiện nhiều mảng bầm tím lớn trên da, chảy máu chân răng và chảy máu cam. Xét nghiệm công thức máu cho thấy số lượng tiểu cầu giảm rất nặng: 5 G/L. Nồng độ hemoglobin và số lượng bạch cầu bình thường. Tủy đồ cho thấy tăng sinh dòng mẫu tiểu cầu. Xét nghiệm miễn dịch phát hiện kháng thể kháng tiểu cầu đặc hiệu HPA-1a trong máu bệnh nhân.",Điều trị đầu tay cho tình trạng giảm tiểu cầu nặng trong PTP là gì?,Truyền khối tiểu cầu.,Yếu tố VIIa tái tổ hợp.,Cắt lách.,Globulin miễn dịch liều cao đường tĩnh mạch (IVIg).,,d,"IVIg được coi là điều trị tiêu chuẩn cho PTP. Cơ chế của nó là điều hòa miễn dịch, có thể bao gồm việc phong tỏa các thụ thể Fc trên đại thực bào, ngăn chặn chúng phá hủy các tiểu cầu bị bao bọc bởi kháng thể, và trung hòa các tự kháng thể."
noi-an-toan-truyen-mau-casen2-3-1,noi,An toàn truyền máu,Huyết học,"người cho ngẫu nhiên thường không có hiệu quả vì 98% dân số là HPA-1a dương tính. Do đó, các tiểu cầu được truyền vào sẽ tiếp tục cung cấp kháng nguyên, thúc đẩy phản ứng miễn dịch và bị phá hủy nhanh chóng. Thậm chí, nó có thể làm các triệu chứng toàn thân nặng hơn. Chỉ nên xem xét truyền tiểu cầu tương hợp HPA âm tính nếu bệnh nhân có chảy máu đe dọa tính mạng. Bệnh nhân nam 55 tuổi, bị Thalassemia, đã truyền máu rất nhiều lần trong đời (ước tính trên 150 đơn vị khối hồng cầu). Bệnh nhân đến khám vì mệt mỏi, sạm da, đau khớp và giảm ham muốn tình dục. Khám thấy da sạm màu đồng, gan to, lách to. Xét nghiệm: Hb 80 g/L, Glucose máu lúc đói 8.5 mmol/L, AST 80 U/L, ALT 95 U/L. Ferritin huyết thanh > 5000 ng/mL (rất cao). Chụp cộng hưởng từ (MRI) tim và gan cho thấy sự lắng đọng sắt nặng.",Bệnh nhân đang bị biến chứng muộn nào của truyền máu mạn tính?,Bệnh mảnh ghép chống chủ.,Quá tải sắt do truyền máu (Transfusional iron overload).,Nhiễm virus viêm gan B mạn tính.,Phản ứng tan máu muộn.,,b,"Bệnh cảnh một bệnh nhân phụ thuộc truyền máu có biểu hiện tổn thương đa cơ quan (gan, tụy, tim, tuyến nội tiết) và nồng độ ferritin rất cao là hình ảnh điển hình của quá tải sắt. Mỗi đơn vị khối hồng cầu chứa khoảng 200- 250 mg sắt."
noi-an-toan-truyen-mau-casen2-3-2,noi,An toàn truyền máu,Huyết học,"người cho ngẫu nhiên thường không có hiệu quả vì 98% dân số là HPA-1a dương tính. Do đó, các tiểu cầu được truyền vào sẽ tiếp tục cung cấp kháng nguyên, thúc đẩy phản ứng miễn dịch và bị phá hủy nhanh chóng. Thậm chí, nó có thể làm các triệu chứng toàn thân nặng hơn. Chỉ nên xem xét truyền tiểu cầu tương hợp HPA âm tính nếu bệnh nhân có chảy máu đe dọa tính mạng. Bệnh nhân nam 55 tuổi, bị Thalassemia, đã truyền máu rất nhiều lần trong đời (ước tính trên 150 đơn vị khối hồng cầu). Bệnh nhân đến khám vì mệt mỏi, sạm da, đau khớp và giảm ham muốn tình dục. Khám thấy da sạm màu đồng, gan to, lách to. Xét nghiệm: Hb 80 g/L, Glucose máu lúc đói 8.5 mmol/L, AST 80 U/L, ALT 95 U/L. Ferritin huyết thanh > 5000 ng/mL (rất cao). Chụp cộng hưởng từ (MRI) tim và gan cho thấy sự lắng đọng sắt nặng.",Cơ chế nào dẫn đến tình trạng này?,Hệ miễn dịch của bệnh nhân bị suy yếu do truyền máu nhiều lần.,Mỗi đơn vị hồng cầu được truyền vào đều gây ra một phản ứng viêm mạn tính.,Cơ thể không có cơ chế sinh lý để chủ động thải trừ lượng sắt dư thừa được đưa vào qua truyền máu.,Sắt từ hồng cầu được truyền vào có độc tính cao hơn sắt từ thức ăn.,,c,"Cơ thể con người chỉ có thể hấp thu sắt từ ruột một cách có kiểm soát nhưng lại thiếu một con đường hiệu quả để thải sắt thừa. Lượng sắt nhỏ mất đi hàng ngày qua da, mồ hôi... không thể bù lại lượng sắt khổng lồ được đưa vào qua các đơn vị máu. Do đó, sắt sẽ tích tụ dần trong cơ thể, lắng đọng tại các cơ quan và gây tổn thương do stress oxy hóa."
