id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-hc-vanh-cap-case-1-1,noi,ACS (HC vành cấp),Tim mạch,"Bệnh nhân nam 55 tuổi, nghề nghiệp tài xế, tiền sử hút thuốc lá 20 bao.năm, đái tháo đường type 2. Bệnh nhân nhập viện cấp cứu vì đau ngực trái dữ dội, cảm giác như bóp nghẹt sau xương ức khởi phát cách đây 2 giờ, lan ra sau lưng và tay trái, kèm vã mồ hôi lạnh. Khám toàn thân: ý thức tỉnh, mạch 50 lần/phút, huyết áp 90/60 mmHg, nhịp thở 20 lần/phút, SpO₂ 96% khí trời. Khám tim phổi: lồng ngực cân đối, nhịp tim đều chậm, không có âm thổi bệnh lý, phổi không có ran. Khám tĩnh mạch cổ nổi rõ ở tư thế 45 độ. Điện tâm đồ ghi nhận ST chênh lên 3mm ở các chuyển đạo II, III, aVF và ST chênh xuống 2mm ở I, aVL. Xét nghiệm Troponin T siêu nhạy lần 1 là 150 ng/L.",Chẩn đoán lâm sàng phù hợp nhất cho bệnh nhân này là gì?,Nhồi máu cơ tim cấp có ST chênh lên thành trước,Nhồi máu cơ tim cấp có ST chênh lên thành dưới,Cơn đau thắt ngực không ổn định nguy cơ cao,Viêm màng ngoài tim cấp tính có tràn dịch,,b,"Bệnh cảnh đau ngực điển hình kèm ST chênh lên ở các chuyển đạo II, III, aVF là dấu hiệu chuẩn xác của nhồi máu cơ tim cấp thành dưới."
noi-hc-vanh-cap-case-1-2,noi,ACS (HC vành cấp),Tim mạch,"Bệnh nhân nam 55 tuổi, nghề nghiệp tài xế, tiền sử hút thuốc lá 20 bao.năm, đái tháo đường type 2. Bệnh nhân nhập viện cấp cứu vì đau ngực trái dữ dội, cảm giác như bóp nghẹt sau xương ức khởi phát cách đây 2 giờ, lan ra sau lưng và tay trái, kèm vã mồ hôi lạnh. Khám toàn thân: ý thức tỉnh, mạch 50 lần/phút, huyết áp 90/60 mmHg, nhịp thở 20 lần/phút, SpO₂ 96% khí trời. Khám tim phổi: lồng ngực cân đối, nhịp tim đều chậm, không có âm thổi bệnh lý, phổi không có ran. Khám tĩnh mạch cổ nổi rõ ở tư thế 45 độ. Điện tâm đồ ghi nhận ST chênh lên 3mm ở các chuyển đạo II, III, aVF và ST chênh xuống 2mm ở I, aVL. Xét nghiệm Troponin T siêu nhạy lần 1 là 150 ng/L.",Tổn thương giải phẫu bệnh lý nào giải thích tình trạng nhịp chậm và tĩnh mạch cổ nổi của bệnh nhân?,Tắc nghẽn hoàn toàn động mạch vành phải,Tắc nghẽn hoàn toàn nhánh liên thất trước,Hẹp nhánh động mạch mũ và nhánh tù rìa,Viêm hoại tử hệ thống dẫn truyền nhĩ thất,,a,Nhồi máu thành dưới thường do tắc động mạch vành phải (RCA). RCA cung cấp máu cho nút xoang/nút nhĩ thất (gây nhịp chậm) và thất phải (gây tĩnh mạch cổ nổi).
noi-hc-vanh-cap-case-1-3,noi,ACS (HC vành cấp),Tim mạch,"Bệnh nhân nam 55 tuổi, nghề nghiệp tài xế, tiền sử hút thuốc lá 20 bao.năm, đái tháo đường type 2. Bệnh nhân nhập viện cấp cứu vì đau ngực trái dữ dội, cảm giác như bóp nghẹt sau xương ức khởi phát cách đây 2 giờ, lan ra sau lưng và tay trái, kèm vã mồ hôi lạnh. Khám toàn thân: ý thức tỉnh, mạch 50 lần/phút, huyết áp 90/60 mmHg, nhịp thở 20 lần/phút, SpO₂ 96% khí trời. Khám tim phổi: lồng ngực cân đối, nhịp tim đều chậm, không có âm thổi bệnh lý, phổi không có ran. Khám tĩnh mạch cổ nổi rõ ở tư thế 45 độ. Điện tâm đồ ghi nhận ST chênh lên 3mm ở các chuyển đạo II, III, aVF và ST chênh xuống 2mm ở I, aVL. Xét nghiệm Troponin T siêu nhạy lần 1 là 150 ng/L.",Thăm dò cận lâm sàng nào bắt buộc phải thực hiện ngay tại giường để bổ sung chẩn đoán?,Chụp cắt lớp vi tính động mạch vành,Siêu âm Doppler mạch máu chi dưới,"Ghi điện tâm đồ các chuyển đạo V3R, V4R","Ghi điện tâm đồ các chuyển đạo V7, V8, V9",,c,"Khi có nhồi máu thành dưới, bắt buộc phải đo thêm chuyển đạo V3R, V4R để phát hiện nhồi máu thất phải đi kèm, giúp quyết định chiến lược hồi sức huyết động."
noi-hc-vanh-cap-case-1-4,noi,ACS (HC vành cấp),Tim mạch,"Bệnh nhân nam 55 tuổi, nghề nghiệp tài xế, tiền sử hút thuốc lá 20 bao.năm, đái tháo đường type 2. Bệnh nhân nhập viện cấp cứu vì đau ngực trái dữ dội, cảm giác như bóp nghẹt sau xương ức khởi phát cách đây 2 giờ, lan ra sau lưng và tay trái, kèm vã mồ hôi lạnh. Khám toàn thân: ý thức tỉnh, mạch 50 lần/phút, huyết áp 90/60 mmHg, nhịp thở 20 lần/phút, SpO₂ 96% khí trời. Khám tim phổi: lồng ngực cân đối, nhịp tim đều chậm, không có âm thổi bệnh lý, phổi không có ran. Khám tĩnh mạch cổ nổi rõ ở tư thế 45 độ. Điện tâm đồ ghi nhận ST chênh lên 3mm ở các chuyển đạo II, III, aVF và ST chênh xuống 2mm ở I, aVL. Xét nghiệm Troponin T siêu nhạy lần 1 là 150 ng/L.","Các thuốc sau đây được chỉ định ưu tiên trong xử trí cấp cứu ban đầu, TRỪ:",Thuốc kháng kết tập tiểu cầu kép,Thuốc giảm đau nhóm Opioid,Dung dịch Nitroglycerin tĩnh mạch,Dung dịch nước muối sinh lý,,c,"Nhồi máu thất phải phụ thuộc rất lớn vào tiền gánh. Nitroglycerin gây giãn tĩnh mạch, làm giảm tiền gánh đột ngột dẫn đến trụy tim mạch nặng nề, do đó bị chống chỉ định tuyệt đối."
noi-hc-vanh-cap-case-1-5,noi,ACS (HC vành cấp),Tim mạch,"Bệnh nhân nam 55 tuổi, nghề nghiệp tài xế, tiền sử hút thuốc lá 20 bao.năm, đái tháo đường type 2. Bệnh nhân nhập viện cấp cứu vì đau ngực trái dữ dội, cảm giác như bóp nghẹt sau xương ức khởi phát cách đây 2 giờ, lan ra sau lưng và tay trái, kèm vã mồ hôi lạnh. Khám toàn thân: ý thức tỉnh, mạch 50 lần/phút, huyết áp 90/60 mmHg, nhịp thở 20 lần/phút, SpO₂ 96% khí trời. Khám tim phổi: lồng ngực cân đối, nhịp tim đều chậm, không có âm thổi bệnh lý, phổi không có ran. Khám tĩnh mạch cổ nổi rõ ở tư thế 45 độ. Điện tâm đồ ghi nhận ST chênh lên 3mm ở các chuyển đạo II, III, aVF và ST chênh xuống 2mm ở I, aVL. Xét nghiệm Troponin T siêu nhạy lần 1 là 150 ng/L.",Cơ chế sinh lý bệnh chính gây hạ huyết áp ở bệnh nhân này là gì?,Chèn ép tim cấp do tràn dịch màng ngoài tim,Suy giảm co bóp thất trái gây tụt cung lượng tim,Rối loạn nhịp chậm làm giảm thể tích nhát bóp,Suy chức năng thất phải làm giảm tiền gánh thất trái,,d,Thất phải bị nhồi máu sẽ giảm khả năng bơm máu
noi-hc-vanh-cap-case-2-1,noi,ACS (HC vành cấp),Tim mạch,"qua tuần hoàn phổi về thất trái, dẫn đến thất trái thiếu máu đổ đầy (giảm tiền gánh), hậu quả là giảm cung lượng tim và tụt huyết áp. Nguồn tham khảo: ESC 2017 STEMI Guidelines. Bệnh nhân nữ 68 tuổi, đã nghỉ hưu, tiền sử tăng huyết áp 15 năm, rối loạn lipid máu. Bệnh nhân nhập viện vì đau ngực trái âm ỉ, cảm giác đè nặng khởi phát lúc đang xem tivi cách đây 1 giờ, kèm khó thở nhẹ. Khám toàn thân: ý thức tỉnh, mạch 95 lần/phút, huyết áp 160/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 95% khí trời. Khám tim phổi: nhịp tim đều, không âm thổi, phổi không ran, không phù ngoại vi. Điện tâm đồ ghi nhận ST chênh xuống đi ngang 2mm ở các chuyển đạo V4, V5, V6. Xét nghiệm Troponin T siêu nhạy lần 1 là 55 ng/L, lần 2 sau 1 giờ là 85 ng/L. Siêu âm tim chức năng tâm thu thất trái bình thường, không rối loạn vận động vùng.",Phân loại chẩn đoán chính xác nhất đối với bệnh nhân này là gì?,Nhồi máu cơ tim cấp có ST chênh lên,Cơn đau thắt ngực không ổn định,Nhồi máu cơ tim cấp không ST chênh lên,Cơn đau thắt ngực ổn định mạn tính,,c,"Bệnh nhân có đau ngực cấp, ST chênh xuống trên điện tâm đồ và Troponin T siêu nhạy tăng động học, đáp ứng đầy đủ tiêu chuẩn của nhồi máu cơ tim cấp không ST chênh lên (NSTEMI). Nếu Troponin âm tính mới chẩn đoán đau thắt ngực không ổn định."
noi-hc-vanh-cap-case-2-2,noi,ACS (HC vành cấp),Tim mạch,"qua tuần hoàn phổi về thất trái, dẫn đến thất trái thiếu máu đổ đầy (giảm tiền gánh), hậu quả là giảm cung lượng tim và tụt huyết áp. Nguồn tham khảo: ESC 2017 STEMI Guidelines. Bệnh nhân nữ 68 tuổi, đã nghỉ hưu, tiền sử tăng huyết áp 15 năm, rối loạn lipid máu. Bệnh nhân nhập viện vì đau ngực trái âm ỉ, cảm giác đè nặng khởi phát lúc đang xem tivi cách đây 1 giờ, kèm khó thở nhẹ. Khám toàn thân: ý thức tỉnh, mạch 95 lần/phút, huyết áp 160/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 95% khí trời. Khám tim phổi: nhịp tim đều, không âm thổi, phổi không ran, không phù ngoại vi. Điện tâm đồ ghi nhận ST chênh xuống đi ngang 2mm ở các chuyển đạo V4, V5, V6. Xét nghiệm Troponin T siêu nhạy lần 1 là 55 ng/L, lần 2 sau 1 giờ là 85 ng/L. Siêu âm tim chức năng tâm thu thất trái bình thường, không rối loạn vận động vùng.",Cơ chế sinh lý bệnh cốt lõi gây ra tổn thương cơ tim ở bệnh nhân này là gì?,Nứt vỡ mảng xơ vữa gây huyết khối lấp mạch hoàn toàn,Nứt vỡ mảng xơ vữa gây huyết khối lấp mạch không hoàn toàn,Co thắt cơ trơn động mạch vành lan tỏa kéo dài,Nhu cầu oxy cơ tim tăng vọt do tăng huyết áp cấp cứu,,b,"NSTEMI thường xảy ra do mảng xơ vữa nứt vỡ tạo huyết khối trắng (giàu tiểu cầu) lấp tắc lòng mạch không hoàn toàn, hoặc lấp tắc hoàn toàn nhưng có tuần hoàn bàng hệ tốt, gây thiếu máu dưới nội mạc."
noi-hc-vanh-cap-case-2-3,noi,ACS (HC vành cấp),Tim mạch,"qua tuần hoàn phổi về thất trái, dẫn đến thất trái thiếu máu đổ đầy (giảm tiền gánh), hậu quả là giảm cung lượng tim và tụt huyết áp. Nguồn tham khảo: ESC 2017 STEMI Guidelines. Bệnh nhân nữ 68 tuổi, đã nghỉ hưu, tiền sử tăng huyết áp 15 năm, rối loạn lipid máu. Bệnh nhân nhập viện vì đau ngực trái âm ỉ, cảm giác đè nặng khởi phát lúc đang xem tivi cách đây 1 giờ, kèm khó thở nhẹ. Khám toàn thân: ý thức tỉnh, mạch 95 lần/phút, huyết áp 160/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 95% khí trời. Khám tim phổi: nhịp tim đều, không âm thổi, phổi không ran, không phù ngoại vi. Điện tâm đồ ghi nhận ST chênh xuống đi ngang 2mm ở các chuyển đạo V4, V5, V6. Xét nghiệm Troponin T siêu nhạy lần 1 là 55 ng/L, lần 2 sau 1 giờ là 85 ng/L. Siêu âm tim chức năng tâm thu thất trái bình thường, không rối loạn vận động vùng.","Chọn tập hợp đúng về các thông số được sử dụng trong thang điểm GRACE để phân tầng nguy cơ: (1) Tuổi bệnh nhân, (2) Creatinin máu, (3) Chỉ số khối cơ thể, (4) Phân độ suy tim Killip.","(1), (2), (4)","(1), (3), (4)","(2), (3), (4)","(1), (2), (3)",,a,"Thang điểm GRACE giúp tiên lượng tử vong trong viện và 6 tháng, sử dụng 8 thông số: Tuổi, nhịp tim, huyết áp tâm thu, creatinin, Killip, ngưng tim lúc nhập viện, ST chênh lệch, và tăng men tim. BMI không nằm trong thang điểm này."
noi-hc-vanh-cap-case-2-4,noi,ACS (HC vành cấp),Tim mạch,"qua tuần hoàn phổi về thất trái, dẫn đến thất trái thiếu máu đổ đầy (giảm tiền gánh), hậu quả là giảm cung lượng tim và tụt huyết áp. Nguồn tham khảo: ESC 2017 STEMI Guidelines. Bệnh nhân nữ 68 tuổi, đã nghỉ hưu, tiền sử tăng huyết áp 15 năm, rối loạn lipid máu. Bệnh nhân nhập viện vì đau ngực trái âm ỉ, cảm giác đè nặng khởi phát lúc đang xem tivi cách đây 1 giờ, kèm khó thở nhẹ. Khám toàn thân: ý thức tỉnh, mạch 95 lần/phút, huyết áp 160/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 95% khí trời. Khám tim phổi: nhịp tim đều, không âm thổi, phổi không ran, không phù ngoại vi. Điện tâm đồ ghi nhận ST chênh xuống đi ngang 2mm ở các chuyển đạo V4, V5, V6. Xét nghiệm Troponin T siêu nhạy lần 1 là 55 ng/L, lần 2 sau 1 giờ là 85 ng/L. Siêu âm tim chức năng tâm thu thất trái bình thường, không rối loạn vận động vùng.",Chiến lược can thiệp động mạch vành nào là phù hợp nhất đối với bệnh nhân này?,Can thiệp xâm lấn cấp cứu trong vòng 2 giờ,Can thiệp xâm lấn sớm trong vòng 24 giờ,Can thiệp xâm lấn trì hoãn trong vòng 72 giờ,Điều trị nội khoa bảo tồn hoàn toàn,,b,"Bệnh nhân NSTEMI có chẩn đoán xác định dựa trên Troponin tăng động học được xếp vào nhóm nguy cơ cao, có chỉ định chụp và can thiệp động mạch vành xâm lấn sớm trong vòng 24 giờ."
noi-hc-vanh-cap-case-2-5,noi,ACS (HC vành cấp),Tim mạch,"qua tuần hoàn phổi về thất trái, dẫn đến thất trái thiếu máu đổ đầy (giảm tiền gánh), hậu quả là giảm cung lượng tim và tụt huyết áp. Nguồn tham khảo: ESC 2017 STEMI Guidelines. Bệnh nhân nữ 68 tuổi, đã nghỉ hưu, tiền sử tăng huyết áp 15 năm, rối loạn lipid máu. Bệnh nhân nhập viện vì đau ngực trái âm ỉ, cảm giác đè nặng khởi phát lúc đang xem tivi cách đây 1 giờ, kèm khó thở nhẹ. Khám toàn thân: ý thức tỉnh, mạch 95 lần/phút, huyết áp 160/90 mmHg, nhịp thở 22 lần/phút, SpO₂ 95% khí trời. Khám tim phổi: nhịp tim đều, không âm thổi, phổi không ran, không phù ngoại vi. Điện tâm đồ ghi nhận ST chênh xuống đi ngang 2mm ở các chuyển đạo V4, V5, V6. Xét nghiệm Troponin T siêu nhạy lần 1 là 55 ng/L, lần 2 sau 1 giờ là 85 ng/L. Siêu âm tim chức năng tâm thu thất trái bình thường, không rối loạn vận động vùng.",Lựa chọn thuốc chống đông đường tiêm nào được ưu tiên nhất cho bệnh nhân này nếu can thiệp không thực hiện ngay lập tức?,Thuốc kháng vitamin K đường tiêm,Heparin không phân đoạn liều cao,Fondaparinux tiêm dưới da,Thuốc ức chế trực tiếp Thrombin,,c,Fondaparinux 2.5mg tiêm dưới da mỗi ngày được
