id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-than-man-case-1-1,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 65 tuổi, làm nghề nông, đến khám vì mệt mỏi ngày càng tăng và phù hai chân. Bệnh nhân có tiền sử đái tháo đường type 2 được 15 năm và tăng huyết áp 10 năm, nhưng điều trị không đều đặn, thường xuyên tự ý ngưng thuốc. Khoảng 6 tháng nay, bệnh nhân cảm thấy mệt mỏi nhiều, chán ăn, da xanh xao và hay bị chuột rút về đêm. Gần đây, hai chân bệnh nhân bị phù mềm, ấn lõm, kèm theo tiểu ít hơn so à với trước và nước tiểu có nhiều bọt. Bệnh nhân không sốt, không đau ngực, không khó thở khi nằm. Khám toàn thân ghi nhận bệnh nhân tỉnh, tiếp xúc được, da niêm mạc nhợt. Sinh hiệu: mạch 88 lần/phút, huyết áp 165/95 mmHg, nhiệt độ 37.0°C, nhịp thở 18 lần/phút, SpO₂ 98% khí trời, BMI 24 kg/m². Khám thấy phù mềm hai chi dưới đến gối, tĩnh mạch cổ không nổi. Tim nhịp đều, phổi thông khí rõ, không ran. Cận lâm sàng: Creatinin huyết thanh 280 μmol/L, Urê 18.5 mmol/L, Kali 4.8 mmol/L, Hb 9.1 g/dL. Tổng phân tích nước tiểu có Protein 3+, không ghi nhận hồng cầu hay bạch cầu. Tỷ lệ Albumin/Creatinin niệu (ACR) là 250 mg/mmol. Siêu âm bụng cho thấy hai thận teo nhỏ, mất phân biệt vỏ tủy.","Theo phân loại KDIGO 2012 (dựa vào eGFR-CKD-EPI và Albumin niệu), bệnh thận mạn của bệnh nhân này được phân vào giai đoạn nào?",G3bA3.,G5A3.,G4A3.,G4A2.,,c,"Với Creatinin 280 μmol/L, tuổi 65, nam giới, eGFR (CKD-EPI) tính ra khoảng 22 mL/phút/1.73m², tương ứng với giai đoạn G4 (eGFR 15-29). Tỷ lệ ACR 250 mg/mmol (> 30 mg/mmol hay 300 mg/g) tương ứng với mức A3. Do đó, phân loại đầy đủ là G4A3."
noi-benh-than-man-case-1-2,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 65 tuổi, làm nghề nông, đến khám vì mệt mỏi ngày càng tăng và phù hai chân. Bệnh nhân có tiền sử đái tháo đường type 2 được 15 năm và tăng huyết áp 10 năm, nhưng điều trị không đều đặn, thường xuyên tự ý ngưng thuốc. Khoảng 6 tháng nay, bệnh nhân cảm thấy mệt mỏi nhiều, chán ăn, da xanh xao và hay bị chuột rút về đêm. Gần đây, hai chân bệnh nhân bị phù mềm, ấn lõm, kèm theo tiểu ít hơn so à với trước và nước tiểu có nhiều bọt. Bệnh nhân không sốt, không đau ngực, không khó thở khi nằm. Khám toàn thân ghi nhận bệnh nhân tỉnh, tiếp xúc được, da niêm mạc nhợt. Sinh hiệu: mạch 88 lần/phút, huyết áp 165/95 mmHg, nhiệt độ 37.0°C, nhịp thở 18 lần/phút, SpO₂ 98% khí trời, BMI 24 kg/m². Khám thấy phù mềm hai chi dưới đến gối, tĩnh mạch cổ không nổi. Tim nhịp đều, phổi thông khí rõ, không ran. Cận lâm sàng: Creatinin huyết thanh 280 μmol/L, Urê 18.5 mmol/L, Kali 4.8 mmol/L, Hb 9.1 g/dL. Tổng phân tích nước tiểu có Protein 3+, không ghi nhận hồng cầu hay bạch cầu. Tỷ lệ Albumin/Creatinin niệu (ACR) là 250 mg/mmol. Siêu âm bụng cho thấy hai thận teo nhỏ, mất phân biệt vỏ tủy.",Cơ chế chính gây tổn thương cầu thận trong bệnh thận do đái tháo đường là gì?,Tăng huyết áp hệ thống kéo dài gây xơ hóa mạch máu thận.,"Tăng đường huyết mạn tính dẫn đến glycosyl hóa các protein cấu trúc, tăng dòng chảy qua cầu thận và kích hoạt các con đường gây viêm, xơ hóa.",Lắng đọng các phức hợp miễn dịch lưu hành tại cầu thận.,Phản ứng tự miễn của cơ thể chống lại các kháng nguyên tại màng đáy cầu thận.,,b,"Tăng đường huyết mạn tính là yếu tố khởi đầu, gây ra một loạt thay đổi về huyết động (tăng lọc cầu thận) và chuyển hóa (tạo ra các sản phẩm glycosyl hóa bền vững - AGEs, hoạt hóa con đường polyol, protein kinase C...). Các quá trình này làm tổn thương tế bào nội mô, podocyte, và gian mạch, dẫn đến dày màng đáy, xơ hóa cầu thận và mất protein qua nước tiểu."
noi-benh-than-man-case-1-3,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 65 tuổi, làm nghề nông, đến khám vì mệt mỏi ngày càng tăng và phù hai chân. Bệnh nhân có tiền sử đái tháo đường type 2 được 15 năm và tăng huyết áp 10 năm, nhưng điều trị không đều đặn, thường xuyên tự ý ngưng thuốc. Khoảng 6 tháng nay, bệnh nhân cảm thấy mệt mỏi nhiều, chán ăn, da xanh xao và hay bị chuột rút về đêm. Gần đây, hai chân bệnh nhân bị phù mềm, ấn lõm, kèm theo tiểu ít hơn so à với trước và nước tiểu có nhiều bọt. Bệnh nhân không sốt, không đau ngực, không khó thở khi nằm. Khám toàn thân ghi nhận bệnh nhân tỉnh, tiếp xúc được, da niêm mạc nhợt. Sinh hiệu: mạch 88 lần/phút, huyết áp 165/95 mmHg, nhiệt độ 37.0°C, nhịp thở 18 lần/phút, SpO₂ 98% khí trời, BMI 24 kg/m². Khám thấy phù mềm hai chi dưới đến gối, tĩnh mạch cổ không nổi. Tim nhịp đều, phổi thông khí rõ, không ran. Cận lâm sàng: Creatinin huyết thanh 280 μmol/L, Urê 18.5 mmol/L, Kali 4.8 mmol/L, Hb 9.1 g/dL. Tổng phân tích nước tiểu có Protein 3+, không ghi nhận hồng cầu hay bạch cầu. Tỷ lệ Albumin/Creatinin niệu (ACR) là 250 mg/mmol. Siêu âm bụng cho thấy hai thận teo nhỏ, mất phân biệt vỏ tủy.",Thuốc hạ huyết áp nào sau đây được ưu tiên lựa chọn hàng đầu cho bệnh nhân này vì vừa kiểm soát huyết áp vừa có tác dụng bảo vệ thận?,Furosemide.,Amlodipine.,Metoprolol.,Losartan.,,d,"Các thuốc ức chế men chuyển (ACEI) hoặc ức chế thụ thể Angiotensin II (ARB) như Losartan là lựa chọn đầu tay cho bệnh nhân BTM có đái tháo đường và albumin niệu. Chúng không chỉ hạ áp mà còn làm giảm áp lực lọc tại cầu thận và giảm protein niệu, qua đó làm chậm tiến triển của bệnh thận."
noi-benh-than-man-case-1-4,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"TÌNH HUỐNG 1: Bệnh nhân nam, 65 tuổi, làm nghề nông, đến khám vì mệt mỏi ngày càng tăng và phù hai chân. Bệnh nhân có tiền sử đái tháo đường type 2 được 15 năm và tăng huyết áp 10 năm, nhưng điều trị không đều đặn, thường xuyên tự ý ngưng thuốc. Khoảng 6 tháng nay, bệnh nhân cảm thấy mệt mỏi nhiều, chán ăn, da xanh xao và hay bị chuột rút về đêm. Gần đây, hai chân bệnh nhân bị phù mềm, ấn lõm, kèm theo tiểu ít hơn so à với trước và nước tiểu có nhiều bọt. Bệnh nhân không sốt, không đau ngực, không khó thở khi nằm. Khám toàn thân ghi nhận bệnh nhân tỉnh, tiếp xúc được, da niêm mạc nhợt. Sinh hiệu: mạch 88 lần/phút, huyết áp 165/95 mmHg, nhiệt độ 37.0°C, nhịp thở 18 lần/phút, SpO₂ 98% khí trời, BMI 24 kg/m². Khám thấy phù mềm hai chi dưới đến gối, tĩnh mạch cổ không nổi. Tim nhịp đều, phổi thông khí rõ, không ran. Cận lâm sàng: Creatinin huyết thanh 280 μmol/L, Urê 18.5 mmol/L, Kali 4.8 mmol/L, Hb 9.1 g/dL. Tổng phân tích nước tiểu có Protein 3+, không ghi nhận hồng cầu hay bạch cầu. Tỷ lệ Albumin/Creatinin niệu (ACR) là 250 mg/mmol. Siêu âm bụng cho thấy hai thận teo nhỏ, mất phân biệt vỏ tủy.",Mục tiêu huyết áp cần đạt được ở bệnh nhân này theo khuyến cáo hiện hành là gì?,< 140/90 mmHg.,< 120/80 mmHg.,< 130/80 mmHg.,< 120/70 mmHg.,,c,"Theo KDIGO 2021, mục tiêu huyết áp tâm thu ở hầu hết bệnh nhân BTM nên là < 120 mmHg, tuy nhiên, cách tiếp cận thực tế và phổ biến hơn, đặc biệt từ các hướng dẫn khác như của Hội tim mạch, là < 130/80 mmHg, nhất là khi có albumin niệu."
noi-benh-than-man-case-2-1,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"Erythropoietin (EPO), một hormone kích thích tủy xương tạo hồng cầu. Khi chức năng thận suy giảm (đặc biệt từ giai đoạn G3b-G4 trở đi), khả năng sản xuất EPO giảm sút nghiêm trọng, dẫn đến thiếu máu đẳng sắc đẳng bào. Đây là nguyên nhân chính của thiếu máu ở bệnh nhân BTM. TÌNH HUỐNG 2: Bệnh nhân nữ, 52 tuổi, giáo viên, được chẩn đoán bệnh thận mạn giai đoạn 4 do bệnh thận IgA cách đây 2 năm. Bệnh nhân đến khám định kỳ và than phiền về tình trạng ngứa da toàn thân, mất ngủ và đau nhức xương khớp. Bệnh nhân tuân thủ chế độ ăn giảm đạm và muối nhưng thừa nhận đôi khi ăn uống không kiêng cữ các thực phẩm giàu phospho (phô mai, sữa, các loại hạt). Khám lâm sàng không có dấu hiệu đặc biệt ngoài các vết cào gãi trên da. Sinh hiệu ổn định. Cận lâm sàng: Creatinin 320 μmol/L, eGFR 18 mL/phút/1.73m², Calci toàn phần 2.05 mmol/L (giảm nhẹ), Phospho 2.1 mmol/L (tăng), PTH (parathyroid hormone) 650 pg/mL (tăng rất cao, bình thường 15-65 pg/mL), Phosphatase kiềm (ALP) 180 U/L (tăng).",Rối loạn chuyển hóa mà bệnh nhân đang gặp phải được gọi là gì?,Bệnh xương chuyển hóa cao.,Cường cận giáp nguyên phát.,Nhuyễn xương do thiếu vitamin D.,Loạn dưỡng xương do thận (một phần của CKD-MBD).,,d,"Bệnh cảnh lâm sàng (ngứa, đau xương) và xét nghiệm (tăng P, giảm Ca, tăng cao PTH, tăng ALP) là biểu hiện điển hình của Rối loạn chuyển hóa khoáng và xương trong Bệnh thận mạn (Chronic Kidney Disease-Mineral and Bone Disorder - CKD-MBD), trong đó loạn dưỡng xương do thận là tổn thương mô học tại xương."
noi-benh-than-man-case-2-2,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"Erythropoietin (EPO), một hormone kích thích tủy xương tạo hồng cầu. Khi chức năng thận suy giảm (đặc biệt từ giai đoạn G3b-G4 trở đi), khả năng sản xuất EPO giảm sút nghiêm trọng, dẫn đến thiếu máu đẳng sắc đẳng bào. Đây là nguyên nhân chính của thiếu máu ở bệnh nhân BTM. TÌNH HUỐNG 2: Bệnh nhân nữ, 52 tuổi, giáo viên, được chẩn đoán bệnh thận mạn giai đoạn 4 do bệnh thận IgA cách đây 2 năm. Bệnh nhân đến khám định kỳ và than phiền về tình trạng ngứa da toàn thân, mất ngủ và đau nhức xương khớp. Bệnh nhân tuân thủ chế độ ăn giảm đạm và muối nhưng thừa nhận đôi khi ăn uống không kiêng cữ các thực phẩm giàu phospho (phô mai, sữa, các loại hạt). Khám lâm sàng không có dấu hiệu đặc biệt ngoài các vết cào gãi trên da. Sinh hiệu ổn định. Cận lâm sàng: Creatinin 320 μmol/L, eGFR 18 mL/phút/1.73m², Calci toàn phần 2.05 mmol/L (giảm nhẹ), Phospho 2.1 mmol/L (tăng), PTH (parathyroid hormone) 650 pg/mL (tăng rất cao, bình thường 15-65 pg/mL), Phosphatase kiềm (ALP) 180 U/L (tăng).",Cơ chế bệnh sinh nào giải thích chính xác nhất tình trạng cường cận giáp thứ phát ở bệnh nhân này?,"Giảm đào thải phospho qua thận gây tăng phospho máu, phospho máu cao trực tiếp và gián tiếp (qua giảm Calci) kích thích tuyến cận giáp tăng tiết PTH.",Khối u tại tuyến cận giáp tự động tăng tiết PTH.,"Thận suy không thể sản xuất đủ calcitriol (vitamin D dạng hoạt động), dẫn đến giảm hấp thu calci ở ruột, gây hạ calci máu và kích thích tuyến cận giáp.",Tăng nồng độ calci máu mạn tính gây kích thích nghịch thường tuyến cận giáp.,,c,"Đây là một cơ chế phức tạp, nhưng khởi đầu quan trọng là khi eGFR < 60, thận giảm khả năng tạo Calcitriol (1,25- dihydroxyvitamin D). Calcitriol cần thiết cho việc hấp thu Calci ở ruột. Thiếu Calcitriol dẫn đến giảm hấp thu Calci, gây hạ Calci máu. Hạ Calci máu là yếu tố kích thích mạnh nhất làm tuyến cận giáp phì đại và tăng tiết PTH. Tăng phospho máu (do giảm thải) cũng góp phần vào quá trình này."
noi-benh-than-man-case-2-3,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"Erythropoietin (EPO), một hormone kích thích tủy xương tạo hồng cầu. Khi chức năng thận suy giảm (đặc biệt từ giai đoạn G3b-G4 trở đi), khả năng sản xuất EPO giảm sút nghiêm trọng, dẫn đến thiếu máu đẳng sắc đẳng bào. Đây là nguyên nhân chính của thiếu máu ở bệnh nhân BTM. TÌNH HUỐNG 2: Bệnh nhân nữ, 52 tuổi, giáo viên, được chẩn đoán bệnh thận mạn giai đoạn 4 do bệnh thận IgA cách đây 2 năm. Bệnh nhân đến khám định kỳ và than phiền về tình trạng ngứa da toàn thân, mất ngủ và đau nhức xương khớp. Bệnh nhân tuân thủ chế độ ăn giảm đạm và muối nhưng thừa nhận đôi khi ăn uống không kiêng cữ các thực phẩm giàu phospho (phô mai, sữa, các loại hạt). Khám lâm sàng không có dấu hiệu đặc biệt ngoài các vết cào gãi trên da. Sinh hiệu ổn định. Cận lâm sàng: Creatinin 320 μmol/L, eGFR 18 mL/phút/1.73m², Calci toàn phần 2.05 mmol/L (giảm nhẹ), Phospho 2.1 mmol/L (tăng), PTH (parathyroid hormone) 650 pg/mL (tăng rất cao, bình thường 15-65 pg/mL), Phosphatase kiềm (ALP) 180 U/L (tăng).",Can thiệp điều trị đầu tay để kiểm soát tình trạng tăng phospho máu ở bệnh nhân này là gì?,"Sử dụng thuốc gắn phospho ở ruột, uống trong bữa ăn.",Chỉ định phẫu thuật cắt tuyến cận giáp.,Tăng liều thuốc lợi tiểu để thải phospho.,Bổ sung Calci liều cao đường uống.,,a,"Bước đầu tiên và quan trọng nhất là hạn chế phospho trong chế độ ăn và sử dụng các thuốc gắn phospho (phosphate binders) như Calci carbonat, Calci acetat hoặc các loại không chứa calci như Sevelamer. Các thuốc này phải được uống ngay trong bữa ăn để gắn với phospho từ thức ăn và thải qua phân."
noi-benh-than-man-case-2-4,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"Erythropoietin (EPO), một hormone kích thích tủy xương tạo hồng cầu. Khi chức năng thận suy giảm (đặc biệt từ giai đoạn G3b-G4 trở đi), khả năng sản xuất EPO giảm sút nghiêm trọng, dẫn đến thiếu máu đẳng sắc đẳng bào. Đây là nguyên nhân chính của thiếu máu ở bệnh nhân BTM. TÌNH HUỐNG 2: Bệnh nhân nữ, 52 tuổi, giáo viên, được chẩn đoán bệnh thận mạn giai đoạn 4 do bệnh thận IgA cách đây 2 năm. Bệnh nhân đến khám định kỳ và than phiền về tình trạng ngứa da toàn thân, mất ngủ và đau nhức xương khớp. Bệnh nhân tuân thủ chế độ ăn giảm đạm và muối nhưng thừa nhận đôi khi ăn uống không kiêng cữ các thực phẩm giàu phospho (phô mai, sữa, các loại hạt). Khám lâm sàng không có dấu hiệu đặc biệt ngoài các vết cào gãi trên da. Sinh hiệu ổn định. Cận lâm sàng: Creatinin 320 μmol/L, eGFR 18 mL/phút/1.73m², Calci toàn phần 2.05 mmol/L (giảm nhẹ), Phospho 2.1 mmol/L (tăng), PTH (parathyroid hormone) 650 pg/mL (tăng rất cao, bình thường 15-65 pg/mL), Phosphatase kiềm (ALP) 180 U/L (tăng).","Tại sao bệnh nhân cần được bổ sung vitamin D dạng hoạt động (ví dụ: Calcitriol, Alfacalcidol) thay vì vitamin D thông thường (Cholecalciferol)?",Vì thận suy không còn khả năng hydroxyl hóa ở vị trí số 1 để chuyển vitamin D thành dạng hoạt động.,Vì bệnh nhân bị kháng với vitamin D thông thường.,Vì vitamin D thông thường gây độc cho thận.,Vì vitamin D dạng hoạt động có tác dụng hạ phospho máu tốt hơn.,,a,"Vitamin D tự nhiên (Cholecalciferol) cần được chuyển hóa ở A. Rung nhĩ. B. Nhồi máu cơ tim. C. Tràn dịch màng ngoài tim. D. Vôi hóa mạch máu và van tim. gan thành 25-hydroxyvitamin D, sau đó đến thận để được hydroxyl hóa ở vị trí alpha-1 thành 1,25-dihydroxyvitamin D (Calcitriol), đây mới là dạng có hoạt tính sinh học. Ở bệnh nhân suy thận nặng, men 1-alpha-hydroxylase ở thận bị thiếu hụt, do đó quá trình hoạt hóa này không xảy ra. Vì vậy, cần phải cung cấp thẳng dạng đã được hoạt hóa."
noi-benh-than-man-case-3-1,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"kéo dài là những yếu tố chính thúc đẩy quá trình vôi hóa lạc chỗ. Calci và phospho lắng đọng trong thành mạch máu, van tim, và các mô mềm, làm mạch máu trở nên cứng, mất tính đàn hồi, gây tăng huyết áp, phì đại thất trái và làm tăng đáng kể nguy cơ tử vong do biến cố tim mạch. TÌNH HUỐNG 3: Bệnh nhân nam, 70 tuổi, có tiền sử tăng huyết áp, gout mạn, bệnh thận mạn giai đoạn 3b (eGFR nền ~40 mL/phút/1.73m²). Bệnh nhân nhập viện vì sưng đau cấp khớp gối phải. Bác sĩ phòng khám tư đã cho bệnh nhân dùng một loại thuốc kháng viêm không steroid (NSAID) đường uống trong 3 ngày qua. Hôm nay, bệnh nhân thấy mệt nhiều, tiểu rất ít (chỉ khoảng 200 mL trong 24 giờ), buồn nôn. Khám lúc vào viện: bệnh nhân tỉnh, mệt. Sinh hiệu: mạch 95 lần/phút, huyết áp 150/90 mmHg, không sốt. Phổi không ran, không phù. Khám thấy khớp gối phải sưng, nóng, đỏ, đau. Cận lâm sàng: Creatinin 550 μmol/L (so với mức nền 180 μmol/L cách đây 1 tháng), Urê 25 mmol/L, Kali 6.2 mmol/L, Na⁺ 136 mmol/L. Điện tâm đồ cho thấy sóng T cao, nhọn, đối xứng ở các chuyển đạo trước tim.",Tình trạng hiện tại của bệnh nhân được chẩn đoán là gì?,Đợt cấp bệnh thận mạn.,Hội chứng thận hư.,Tổn thương thận cấp trên nền bệnh thận mạn.,Viêm thận bể thận cấp.,,c,"Bệnh nhân có bệnh thận mạn từ trước (nền), và có sự tăng vọt của Creatinin cấp tính sau khi dùng một tác nhân gây độc cho thận (NSAID), phù hợp nhất với chẩn đoán tổn thương thận cấp (AKI) trên nền bệnh thận mạn (CKD)."
noi-benh-than-man-case-3-2,noi,Bệnh thận mạn và các pp điều trị thay thế suy thận,Thận tiết niệu,"kéo dài là những yếu tố chính thúc đẩy quá trình vôi hóa lạc chỗ. Calci và phospho lắng đọng trong thành mạch máu, van tim, và các mô mềm, làm mạch máu trở nên cứng, mất tính đàn hồi, gây tăng huyết áp, phì đại thất trái và làm tăng đáng kể nguy cơ tử vong do biến cố tim mạch. TÌNH HUỐNG 3: Bệnh nhân nam, 70 tuổi, có tiền sử tăng huyết áp, gout mạn, bệnh thận mạn giai đoạn 3b (eGFR nền ~40 mL/phút/1.73m²). Bệnh nhân nhập viện vì sưng đau cấp khớp gối phải. Bác sĩ phòng khám tư đã cho bệnh nhân dùng một loại thuốc kháng viêm không steroid (NSAID) đường uống trong 3 ngày qua. Hôm nay, bệnh nhân thấy mệt nhiều, tiểu rất ít (chỉ khoảng 200 mL trong 24 giờ), buồn nôn. Khám lúc vào viện: bệnh nhân tỉnh, mệt. Sinh hiệu: mạch 95 lần/phút, huyết áp 150/90 mmHg, không sốt. Phổi không ran, không phù. Khám thấy khớp gối phải sưng, nóng, đỏ, đau. Cận lâm sàng: Creatinin 550 μmol/L (so với mức nền 180 μmol/L cách đây 1 tháng), Urê 25 mmol/L, Kali 6.2 mmol/L, Na⁺ 136 mmol/L. Điện tâm đồ cho thấy sóng T cao, nhọn, đối xứng ở các chuyển đạo trước tim.",Cơ chế chính mà NSAID gây ra tổn thương thận cấp ở bệnh nhân này là gì?,"Ức chế tổng hợp Prostaglandin, gây co tiểu động mạch đến, làm giảm dòng máu và áp lực lọc tại cầu thận.",Gây viêm thận kẽ dị ứng.,Gây hoại tử ống thận cấp do độc tính trực tiếp.,Gây kết tủa các tinh thể urat trong ống thận.,,a,"Prostaglandin (đặc biệt là PGE2 và PGI2) có vai trò quan trọng trong việc duy trì sự giãn của tiểu động mạch đến, đảm bảo đủ lượng máu tới cầu thận, đặc biệt trong các tình trạng giảm tưới máu thận (như ở người già, người có BTM). NSAID ức chế enzyme COX, làm giảm tổng hợp Prostaglandin, gây co tiểu động mạch đến, dẫn đến giảm áp lực lọc cầu thận và gây ra AKI trước thận."
