id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-mang-ngoai-tim-mcq-001,noi,Viêm màng ngoài tim,Tim mạch,,Viêm màng ngoài tim cấp được định nghĩa là hội chứng viêm diễn biến trong thời gian tối đa bao lâu?,Dưới 2 tuần,Dưới 4-6 tuần,Dưới 3 tháng,Dưới 6 tháng,,b,"Theo ESC, viêm màng ngoài tim cấp là tổn thương viêm mới mắc và diễn biến kéo dài dưới 4-6 tuần. Đây là mốc thời gian kinh điển cần nhớ để phân loại bệnh. (Nguồn: Guideline ESC / Bệnh học nội khoa YHN)."
noi-viem-mang-ngoai-tim-mcq-002,noi,Viêm màng ngoài tim,Tim mạch,,"Tại các nước phát triển, nguyên nhân phổ biến nhất gây viêm màng ngoài tim cấp là gì?",Lao,Vi khuẩn sinh mủ,Tự miễn,Vô căn hoặc virus,,d,"Ở các nước phát triển, phần lớn các ca viêm màng ngoài tim cấp (80-90%) là vô căn hoặc do virus. Nguyên nhân do lao thường gặp ở các nước đang phát triển."
noi-viem-mang-ngoai-tim-mcq-003,noi,Viêm màng ngoài tim,Tim mạch,,Đối tượng dịch tễ nào có tỷ lệ mắc viêm màng ngoài tim cấp cao nhất?,Nam giới trẻ tuổi,Nữ giới trẻ tuổi,Nam giới cao tuổi,Nữ giới cao tuổi,,a,Bệnh có thể gặp ở mọi lứa tuổi nhưng tỷ lệ mắc cao nhất ghi nhận ở nam giới trẻ tuổi (16-65 tuổi). (Nguồn: Bệnh học nội khoa YHN).
noi-viem-mang-ngoai-tim-mcq-004,noi,Viêm màng ngoài tim,Tim mạch,,Hội chứng Dressler là một dạng viêm màng ngoài tim có đặc điểm khởi phát như thế nào?,Sau nhiễm nấm toàn thân,Xuất hiện ngay ngày đầu của nhồi máu cơ tim,Xuất hiện muộn vài tuần sau nhồi máu cơ tim,Sau điều trị bằng tia xạ vùng ngực,,c,"Hội chứng Dressler là viêm màng ngoài tim xảy ra muộn (thường 1-2 tuần đến vài tháng) sau nhồi máu cơ tim cấp, cơ chế chủ yếu qua trung gian miễn dịch. Cần phân biệt với viêm màng ngoài tim sớm (trong vài ngày đầu)."
noi-viem-mang-ngoai-tim-mcq-005,noi,Viêm màng ngoài tim,Tim mạch,,"Phân loại theo thời gian, viêm màng ngoài tim dai dẳng được định nghĩa kéo dài trong khoảng thời gian nào mà không có sự thuyên giảm?",Dưới 4 tuần,Từ 4 đến 6 tuần,Từ 4-6 tuần đến 3 tháng,Trên 3 tháng,,c,Viêm màng ngoài tim dai dẳng kéo dài từ 4- 6 tuần đến dưới 3 tháng liên tục. Trên 3 tháng được gọi là mạn tính.
noi-viem-mang-ngoai-tim-mcq-006,noi,Viêm màng ngoài tim,Tim mạch,,Nguyên nhân thường gặp nhất gây viêm màng ngoài tim ở các nước đang phát triển là gì?,Thấp tim,Lao,Rối loạn chuyển hóa u-rê,Lupus ban đỏ hệ thống,,b,"Trái ngược với các nước phát triển, tại các nước đang phát triển (như Việt Nam), lao (Mycobacterium tuberculosis) là nguyên nhân hàng đầu gây viêm và tràn dịch màng ngoài tim."
noi-viem-mang-ngoai-tim-mcq-007,noi,Viêm màng ngoài tim,Tim mạch,,Lượng dịch sinh lý bình thường trong khoang màng ngoài tim của người trưởng thành là bao nhiêu?,5-10 ml,15-50 ml,50-100 ml,100-150 ml,,b,"Khoang màng ngoài tim bình thường chứa khoảng 15-50 ml dịch siêu lọc từ huyết tương, giúp hai lá tạng và thành trượt lên nhau dễ dàng."
noi-viem-mang-ngoai-tim-mcq-008,noi,Viêm màng ngoài tim,Tim mạch,,Cơ chế chính gây ra triệu chứng đau ngực trong viêm màng ngoài tim cấp là gì?,Viêm lớp màng ngoài tim tạng,Viêm lan sang lớp màng phổi thành lân cận,Viêm lớp cơ tim dưới màng ngoài tim,Co thắt động mạch vành thứ phát,,b,Lá tạng màng ngoài tim không có sợi thần kinh cảm giác đau. Đau sinh ra do quá trình viêm lan đến màng phổi thành lân cận hoặc lan đến các dây thần kinh hoành.
noi-viem-mang-ngoai-tim-mcq-009,noi,Viêm màng ngoài tim,Tim mạch,,Hậu quả huyết động cốt lõi của hội chứng ép tim cấp là gì?,Hạn chế đổ đầy tâm trương thất phải và thất trái,Giảm sức co bóp tâm thu thất trái,Tăng hậu gánh thất phải quá mức,Dãn buồng tim cấp tính do ứ trệ,,a,"Ép tim cấp làm tăng áp lực trong khoang màng ngoài tim, cân bằng áp lực các buồng tim, từ đó cản trở sự đổ đầy tâm trương toàn bộ, gây giảm cung lượng tim."
noi-viem-mang-ngoai-tim-mcq-010,noi,Viêm màng ngoài tim,Tim mạch,,Hiện tượng mạch nghịch thường trong ép tim cấp sinh ra chủ yếu do cơ chế nào?,Sự phình vách liên thất sang phải trong thì thở ra,Sự dịch chuyển vách liên thất sang trái trong thì hít vào,Sự giảm sức co bóp cơ tim do thiếu oxy,Sự tăng trương lực phó giao cảm đột ngột,,b,"Khi hít vào, máu về thất phải tăng làm thất phải giãn. Do áp lực màng ngoài tim cao bao bọc, thất phải không giãn ra ngoài được mà đẩy vách liên thất sang trái, làm giảm thể tích thất trái và giảm huyết áp tâm thu."
