id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-dau-vung-that-lung-case-1-1,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 45 tuổi, là công nhân bốc vác, vào viện vì đau dữ dội vùng thắt lưng lan xuống chân phải. Bệnh khởi phát đột ngột cách đây 2 ngày sau khi bệnh nhân cố gắng nâng một vật nặng sai tư thế. Cơn đau được mô tả như điện giật, xuất phát từ thắt lưng, lan dọc theo mặt sau đùi, xuống cẳng chân và kết thúc ở mu bàn chân và ngón cái bên phải. Đau tăng lên khi ho, hắt hơi hoặc đi đại tiện, giảm khi nằm co chân. Bệnh nhân không sốt, không sụt cân, không rối loạn tiểu tiện. Tiền sử khỏe mạnh, không hút thuốc lá. Khám toàn thân bệnh nhân tỉnh, tỏ ra rất đau đớn, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám cột sống thắt lưng có co cứng cơ cạnh sống bên phải, ấn điểm cạnh sống L4-L5 gây đau chói, chỉ số Schober 10/13 cm. Khám thần kinh có nghiệm pháp giơ thẳng chân (Lasègue) dương tính ở góc 30 độ bên phải, nghiệm pháp Lasègue chéo âm tính; sức cơ duỗi ngón cái và gập mu chân phải giảm còn 4/5; cảm giác vùng da giữa ngón 1-2 bàn chân phải giảm; phản xạ gân gót bên phải giảm so với bên trái.",Chẩn đoán sơ bộ phù hợp nhất với bệnh nhân này là gì?,Thoát vị đĩa đệm cột sống thắt lưng chèn ép rễ L5 phải.,Viêm cột sống dính khớp.,Đau thắt lưng cơ học đơn thuần.,Hẹp ống sống thắt lưng.,,a,"Bệnh cảnh lâm sàng rất điển hình cho một hội chứng chèn ép rễ thần kinh: đau kiểu rễ, khởi phát sau gắng sức, tăng khi tăng áp lực ổ bụng, và các dấu hiệu khám thần kinh khu trú (yếu cơ, rối loạn cảm giác, giảm phản xạ) tương ứng với vùng chi phối của rễ L5 bên phải."
noi-dau-vung-that-lung-case-1-2,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 45 tuổi, là công nhân bốc vác, vào viện vì đau dữ dội vùng thắt lưng lan xuống chân phải. Bệnh khởi phát đột ngột cách đây 2 ngày sau khi bệnh nhân cố gắng nâng một vật nặng sai tư thế. Cơn đau được mô tả như điện giật, xuất phát từ thắt lưng, lan dọc theo mặt sau đùi, xuống cẳng chân và kết thúc ở mu bàn chân và ngón cái bên phải. Đau tăng lên khi ho, hắt hơi hoặc đi đại tiện, giảm khi nằm co chân. Bệnh nhân không sốt, không sụt cân, không rối loạn tiểu tiện. Tiền sử khỏe mạnh, không hút thuốc lá. Khám toàn thân bệnh nhân tỉnh, tỏ ra rất đau đớn, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám cột sống thắt lưng có co cứng cơ cạnh sống bên phải, ấn điểm cạnh sống L4-L5 gây đau chói, chỉ số Schober 10/13 cm. Khám thần kinh có nghiệm pháp giơ thẳng chân (Lasègue) dương tính ở góc 30 độ bên phải, nghiệm pháp Lasègue chéo âm tính; sức cơ duỗi ngón cái và gập mu chân phải giảm còn 4/5; cảm giác vùng da giữa ngón 1-2 bàn chân phải giảm; phản xạ gân gót bên phải giảm so với bên trái.",Cơ chế nào giải thích cho cơn đau lan dọc xuống chân của bệnh nhân?,Thiếu máu cục bộ tủy sống do hẹp động mạch tủy.,Sự chèn ép cơ học và viêm hóa học của rễ thần kinh bởi nhân nhầy đĩa đệm bị thoát vị.,Phản ứng viêm tại chỗ của các khối cơ cạnh sống.,Kích thích các thụ thể đau ở màng xương thân đốt sống.,,b,"Khi đĩa đệm thoát vị, nhân nhầy lồi ra sau và sang bên, gây ra hai hiệu ứng chính lên rễ thần kinh: (1) chèn ép cơ học trực tiếp và (2) giải phóng các chất trung gian hóa học gây viêm (phospholipase A2, prostaglandin, leukotriene) từ nhân nhầy, gây ra tình trạng viêm rễ thần kinh hóa học. Cả hai cơ chế này đều gây kích thích và tổn thương rễ thần kinh, dẫn đến triệu chứng đau lan theo đường đi của dây thần kinh."
noi-dau-vung-that-lung-case-1-3,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 45 tuổi, là công nhân bốc vác, vào viện vì đau dữ dội vùng thắt lưng lan xuống chân phải. Bệnh khởi phát đột ngột cách đây 2 ngày sau khi bệnh nhân cố gắng nâng một vật nặng sai tư thế. Cơn đau được mô tả như điện giật, xuất phát từ thắt lưng, lan dọc theo mặt sau đùi, xuống cẳng chân và kết thúc ở mu bàn chân và ngón cái bên phải. Đau tăng lên khi ho, hắt hơi hoặc đi đại tiện, giảm khi nằm co chân. Bệnh nhân không sốt, không sụt cân, không rối loạn tiểu tiện. Tiền sử khỏe mạnh, không hút thuốc lá. Khám toàn thân bệnh nhân tỉnh, tỏ ra rất đau đớn, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám cột sống thắt lưng có co cứng cơ cạnh sống bên phải, ấn điểm cạnh sống L4-L5 gây đau chói, chỉ số Schober 10/13 cm. Khám thần kinh có nghiệm pháp giơ thẳng chân (Lasègue) dương tính ở góc 30 độ bên phải, nghiệm pháp Lasègue chéo âm tính; sức cơ duỗi ngón cái và gập mu chân phải giảm còn 4/5; cảm giác vùng da giữa ngón 1-2 bàn chân phải giảm; phản xạ gân gót bên phải giảm so với bên trái.","Trong thăm khám lâm sàng, nghiệm pháp Lasègue dương tính gợi ý điều gì?",Có sự căng giãn và kích thích rễ thần kinh tọa.,Có tình trạng co cứng cơ đáy chậu.,Có sự mất vững cột sống thắt lưng.,Có tình trạng viêm khớp cùng chậu.,,a,"Nghiệm pháp Lasègue làm căng dây thần kinh tọa và các rễ L5, S1. Khi có tình trạng chèn ép hoặc viêm rễ, việc kéo căng này sẽ tái tạo lại cơn đau lan dọc theo chân của bệnh nhân. Nghiệm pháp được coi là dương tính khi gây đau ở góc nâng chân dưới 60-70 độ."
noi-dau-vung-that-lung-case-1-4,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 45 tuổi, là công nhân bốc vác, vào viện vì đau dữ dội vùng thắt lưng lan xuống chân phải. Bệnh khởi phát đột ngột cách đây 2 ngày sau khi bệnh nhân cố gắng nâng một vật nặng sai tư thế. Cơn đau được mô tả như điện giật, xuất phát từ thắt lưng, lan dọc theo mặt sau đùi, xuống cẳng chân và kết thúc ở mu bàn chân và ngón cái bên phải. Đau tăng lên khi ho, hắt hơi hoặc đi đại tiện, giảm khi nằm co chân. Bệnh nhân không sốt, không sụt cân, không rối loạn tiểu tiện. Tiền sử khỏe mạnh, không hút thuốc lá. Khám toàn thân bệnh nhân tỉnh, tỏ ra rất đau đớn, sinh hiệu ổn định, SpO₂ 99% khí trời, BMI 24 kg/m². Khám cột sống thắt lưng có co cứng cơ cạnh sống bên phải, ấn điểm cạnh sống L4-L5 gây đau chói, chỉ số Schober 10/13 cm. Khám thần kinh có nghiệm pháp giơ thẳng chân (Lasègue) dương tính ở góc 30 độ bên phải, nghiệm pháp Lasègue chéo âm tính; sức cơ duỗi ngón cái và gập mu chân phải giảm còn 4/5; cảm giác vùng da giữa ngón 1-2 bàn chân phải giảm; phản xạ gân gót bên phải giảm so với bên trái.",Cận lâm sàng hình ảnh nào có giá trị nhất để xác định chẩn đoán và vị trí tổn thương ở bệnh nhân này?,Chụp cộng hưởng từ (MRI) cột sống thắt lưng.,Chụp cắt lớp vi tính (CT scan) cột sống thắt lưng.,Xạ hình xương.,X-quang cột sống thắt lưng thẳng-nghiêng.,,a,"MRI là phương tiện hình ảnh tốt nhất để đánh giá các mô mềm của cột sống. Nó cho phép xác định chính xác vị trí, mức độ thoát vị đĩa đệm, tình trạng chèn ép rễ thần kinh và tủy sống, cũng như loại trừ các nguyên nhân khác như u, viêm. X-quang chỉ đánh giá được cấu trúc xương và thường bình thường trong thoát vị đĩa đệm cấp."
noi-dau-vung-that-lung-case-2-1,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"thương di căn xương trên toàn bộ cơ thể? A. Siêu âm. B. Xạ hình xương với Technetium-99m. C. Chụp cộng hưởng từ (MRI). D. X-quang thường quy. ung thư tại xương (local osteolytic hypercalcemia), và (2) do khối u sản xuất các chất giống hormone tuyến cận giáp (PTHrP) gây tăng hủy xương toàn thân (humoral hypercalcemia of malignancy). Trong trường hợp này, cơ chế hủy xương do di căn là chủ yếu. Câu 5: Xạ hình xương là phương pháp tầm soát di căn xương toàn thân có độ nhạy cao. Nó dựa trên nguyên lý các dược chất phóng xạ (như 99mTc- MDP) sẽ tập trung nhiều ở những vùng có hoạt động chu chuyển xương mạnh, chẳng hạn như tại các vị trí di căn, gãy xương hoặc viêm. Hình ảnh ""điểm nóng"" trên xạ hình sẽ chỉ ra các vị trí nghi ngờ di căn. TÌNH HUỐNG 6: Bệnh nhân nam 35 tuổi, người nghiện chích ma túy, được đưa vào viện vì sốt cao, rét run và đau lưng dữ dội. Bệnh diễn tiến khoảng 1 tuần nay với sốt cao liên tục 39-40°C, kèm theo đau nhức vùng thắt lưng ngày càng tăng, đau đến mức không thể đi lại được. Bệnh nhân không ho, không tiểu buốt. Tiền sử có viêm gan C. Khám lúc vào viện bệnh nhân tỉnh, lừ đừ, môi khô lưỡi bẩn, thể trạng suy kiệt. Mạch 120 lần/phút, huyết áp 90/60 mmHg, nhiệt độ 39.8°C, nhịp thở 24 lần/phút. Khám cột sống thắt lưng có điểm đau chói dữ dội khi ấn và gõ nhẹ vào mỏm gai đốt sống L3, kèm co cứng khối cơ cạnh sống hai bên. Bệnh nhân từ chối mọi cử động cột sống vì đau. Khám thần kinh ban đầu chưa thấy dấu hiệu yếu liệt chi dưới, nhưng bệnh nhân có cảm giác tê bì nhẹ lan tỏa ở hai chân. Tim có tiếng thổi tâm thu mới xuất hiện ở ổ van ba lá. Xét nghiệm máu có bạch cầu 22.0 G/L (neutrophil 92%), CRP 350 mg/L, tốc độ máu lắng 120 mm/giờ. Cấy máu 2/2 mẫu dương tính với Staphylococcus aureus.",Chẩn đoán nào cần được nghĩ đến hàng đầu ở bệnh nhân này?,Viêm tụy cấp.,Viêm nội tâm mạc nhiễm khuẩn và viêm thân sống đĩa đệm.,Lao cột sống (bệnh Pott).,Thoát vị đĩa đệm cấp.,,b,"Bệnh cảnh một người nghiện chích ma túy có hội chứng nhiễm trùng huyết (sốt cao, rét run, tụt huyết áp), tiếng thổi ở tim mới xuất hiện và đau lưng khu trú dữ dội là rất điển hình cho viêm nội tâm mạc nhiễm khuẩn (thường ở van ba lá do S. aureus) gây ra các ổ di bệnh nhiễm trùng, trong đó có viêm thân sống đĩa đệm."
noi-dau-vung-that-lung-case-2-2,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"thương di căn xương trên toàn bộ cơ thể? A. Siêu âm. B. Xạ hình xương với Technetium-99m. C. Chụp cộng hưởng từ (MRI). D. X-quang thường quy. ung thư tại xương (local osteolytic hypercalcemia), và (2) do khối u sản xuất các chất giống hormone tuyến cận giáp (PTHrP) gây tăng hủy xương toàn thân (humoral hypercalcemia of malignancy). Trong trường hợp này, cơ chế hủy xương do di căn là chủ yếu. Câu 5: Xạ hình xương là phương pháp tầm soát di căn xương toàn thân có độ nhạy cao. Nó dựa trên nguyên lý các dược chất phóng xạ (như 99mTc- MDP) sẽ tập trung nhiều ở những vùng có hoạt động chu chuyển xương mạnh, chẳng hạn như tại các vị trí di căn, gãy xương hoặc viêm. Hình ảnh ""điểm nóng"" trên xạ hình sẽ chỉ ra các vị trí nghi ngờ di căn. TÌNH HUỐNG 6: Bệnh nhân nam 35 tuổi, người nghiện chích ma túy, được đưa vào viện vì sốt cao, rét run và đau lưng dữ dội. Bệnh diễn tiến khoảng 1 tuần nay với sốt cao liên tục 39-40°C, kèm theo đau nhức vùng thắt lưng ngày càng tăng, đau đến mức không thể đi lại được. Bệnh nhân không ho, không tiểu buốt. Tiền sử có viêm gan C. Khám lúc vào viện bệnh nhân tỉnh, lừ đừ, môi khô lưỡi bẩn, thể trạng suy kiệt. Mạch 120 lần/phút, huyết áp 90/60 mmHg, nhiệt độ 39.8°C, nhịp thở 24 lần/phút. Khám cột sống thắt lưng có điểm đau chói dữ dội khi ấn và gõ nhẹ vào mỏm gai đốt sống L3, kèm co cứng khối cơ cạnh sống hai bên. Bệnh nhân từ chối mọi cử động cột sống vì đau. Khám thần kinh ban đầu chưa thấy dấu hiệu yếu liệt chi dưới, nhưng bệnh nhân có cảm giác tê bì nhẹ lan tỏa ở hai chân. Tim có tiếng thổi tâm thu mới xuất hiện ở ổ van ba lá. Xét nghiệm máu có bạch cầu 22.0 G/L (neutrophil 92%), CRP 350 mg/L, tốc độ máu lắng 120 mm/giờ. Cấy máu 2/2 mẫu dương tính với Staphylococcus aureus.",Con đường lây lan vi khuẩn nào là cơ chế bệnh sinh chính gây ra tổn thương cột sống ở bệnh nhân này?,Lây lan trực tiếp từ một ổ nhiễm trùng phần mềm cạnh cột sống.,Lây lan ngược dòng theo đường bạch huyết.,Do thủ thuật chọc dò tủy sống không vô khuẩn.,Lây lan theo đường máu từ một ổ nhiễm trùng ở xa.,,d,"Ở người lớn, viêm thân sống đĩa đệm sinh mủ hầu hết là do vi khuẩn theo đường máu đến cột sống. Đĩa đệm ở người lớn không có mạch máu, do đó vi khuẩn thường đến các tấm tận cùng của thân đốt sống (vốn có nguồn cấp máu phong phú), gây viêm và sau đó lan vào đĩa đệm. Nguồn nhiễm khuẩn thường từ da (như ở người nghiện chích), đường tiết niệu, hoặc viêm nội tâm mạc."
noi-dau-vung-that-lung-case-2-3,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"thương di căn xương trên toàn bộ cơ thể? A. Siêu âm. B. Xạ hình xương với Technetium-99m. C. Chụp cộng hưởng từ (MRI). D. X-quang thường quy. ung thư tại xương (local osteolytic hypercalcemia), và (2) do khối u sản xuất các chất giống hormone tuyến cận giáp (PTHrP) gây tăng hủy xương toàn thân (humoral hypercalcemia of malignancy). Trong trường hợp này, cơ chế hủy xương do di căn là chủ yếu. Câu 5: Xạ hình xương là phương pháp tầm soát di căn xương toàn thân có độ nhạy cao. Nó dựa trên nguyên lý các dược chất phóng xạ (như 99mTc- MDP) sẽ tập trung nhiều ở những vùng có hoạt động chu chuyển xương mạnh, chẳng hạn như tại các vị trí di căn, gãy xương hoặc viêm. Hình ảnh ""điểm nóng"" trên xạ hình sẽ chỉ ra các vị trí nghi ngờ di căn. TÌNH HUỐNG 6: Bệnh nhân nam 35 tuổi, người nghiện chích ma túy, được đưa vào viện vì sốt cao, rét run và đau lưng dữ dội. Bệnh diễn tiến khoảng 1 tuần nay với sốt cao liên tục 39-40°C, kèm theo đau nhức vùng thắt lưng ngày càng tăng, đau đến mức không thể đi lại được. Bệnh nhân không ho, không tiểu buốt. Tiền sử có viêm gan C. Khám lúc vào viện bệnh nhân tỉnh, lừ đừ, môi khô lưỡi bẩn, thể trạng suy kiệt. Mạch 120 lần/phút, huyết áp 90/60 mmHg, nhiệt độ 39.8°C, nhịp thở 24 lần/phút. Khám cột sống thắt lưng có điểm đau chói dữ dội khi ấn và gõ nhẹ vào mỏm gai đốt sống L3, kèm co cứng khối cơ cạnh sống hai bên. Bệnh nhân từ chối mọi cử động cột sống vì đau. Khám thần kinh ban đầu chưa thấy dấu hiệu yếu liệt chi dưới, nhưng bệnh nhân có cảm giác tê bì nhẹ lan tỏa ở hai chân. Tim có tiếng thổi tâm thu mới xuất hiện ở ổ van ba lá. Xét nghiệm máu có bạch cầu 22.0 G/L (neutrophil 92%), CRP 350 mg/L, tốc độ máu lắng 120 mm/giờ. Cấy máu 2/2 mẫu dương tính với Staphylococcus aureus.",Biến chứng thần kinh nguy hiểm nhất có thể xảy ra nếu tình trạng này không được chẩn đoán và điều trị kịp thời là gì?,Áp xe ngoài màng cứng gây chèn ép tủy.,Hội chứng Guillain-Barré.,Viêm màng não mủ.,Đột quỵ nhồi máu não.,,a,"Tình trạng viêm và nhiễm trùng có thể lan rộng từ thân sống và đĩa đệm vào khoang ngoài màng cứng, hình thành ổ áp xe. Ổ áp xe này lớn dần sẽ chèn ép trực tiếp vào tủy sống hoặc các rễ thần kinh, gây ra các tổn thương thần kinh không hồi phục như liệt hai chi dưới, rối loạn cơ tròn, nếu không được can thiệp giải ép khẩn cấp."
noi-dau-vung-that-lung-case-2-4,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"thương di căn xương trên toàn bộ cơ thể? A. Siêu âm. B. Xạ hình xương với Technetium-99m. C. Chụp cộng hưởng từ (MRI). D. X-quang thường quy. ung thư tại xương (local osteolytic hypercalcemia), và (2) do khối u sản xuất các chất giống hormone tuyến cận giáp (PTHrP) gây tăng hủy xương toàn thân (humoral hypercalcemia of malignancy). Trong trường hợp này, cơ chế hủy xương do di căn là chủ yếu. Câu 5: Xạ hình xương là phương pháp tầm soát di căn xương toàn thân có độ nhạy cao. Nó dựa trên nguyên lý các dược chất phóng xạ (như 99mTc- MDP) sẽ tập trung nhiều ở những vùng có hoạt động chu chuyển xương mạnh, chẳng hạn như tại các vị trí di căn, gãy xương hoặc viêm. Hình ảnh ""điểm nóng"" trên xạ hình sẽ chỉ ra các vị trí nghi ngờ di căn. TÌNH HUỐNG 6: Bệnh nhân nam 35 tuổi, người nghiện chích ma túy, được đưa vào viện vì sốt cao, rét run và đau lưng dữ dội. Bệnh diễn tiến khoảng 1 tuần nay với sốt cao liên tục 39-40°C, kèm theo đau nhức vùng thắt lưng ngày càng tăng, đau đến mức không thể đi lại được. Bệnh nhân không ho, không tiểu buốt. Tiền sử có viêm gan C. Khám lúc vào viện bệnh nhân tỉnh, lừ đừ, môi khô lưỡi bẩn, thể trạng suy kiệt. Mạch 120 lần/phút, huyết áp 90/60 mmHg, nhiệt độ 39.8°C, nhịp thở 24 lần/phút. Khám cột sống thắt lưng có điểm đau chói dữ dội khi ấn và gõ nhẹ vào mỏm gai đốt sống L3, kèm co cứng khối cơ cạnh sống hai bên. Bệnh nhân từ chối mọi cử động cột sống vì đau. Khám thần kinh ban đầu chưa thấy dấu hiệu yếu liệt chi dưới, nhưng bệnh nhân có cảm giác tê bì nhẹ lan tỏa ở hai chân. Tim có tiếng thổi tâm thu mới xuất hiện ở ổ van ba lá. Xét nghiệm máu có bạch cầu 22.0 G/L (neutrophil 92%), CRP 350 mg/L, tốc độ máu lắng 120 mm/giờ. Cấy máu 2/2 mẫu dương tính với Staphylococcus aureus.",Cận lâm sàng hình ảnh nào là tốt nhất để xác định sớm sự hiện diện của viêm thân sống đĩa đệm và áp xe ngoài màng cứng?,Chụp cắt lớp vi tính (CT scan) có tiêm thuốc cản quang.,X-quang cột sống quy ước.,Chụp cộng hưởng từ (MRI) có tiêm thuốc đối quang từ.,Siêu âm cột sống.,,c,"MRI là phương tiện chẩn đoán hình ảnh nhạy và đặc hiệu nhất cho các nhiễm trùng cột sống. Trong giai đoạn sớm, khi X-quang còn bình thường, MRI đã có thể phát hiện các tín hiệu phù nề trong thân sống và đĩa đệm. Việc tiêm thuốc đối quang từ (Gadolinium) giúp xác định rõ ranh giới của các ổ áp xe trong cơ, cạnh sống và đặc biệt là áp xe ngoài màng cứng."
noi-dau-vung-that-lung-case-3-1,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"viêm ruột mạn tính (Crohn, UC) là các biểu hiện ngoài khớp đặc trưng của nhóm bệnh viêm khớp cột sống. Viêm niệu đạo thường chỉ xuất hiện trong bệnh cảnh của Viêm khớp phản ứng (Reactive Arthritis) do nhiễm trùng trước đó. TÌNH HUỐNG 12: Bệnh nhân nam 45 tuổi, công nhân bốc vác, vào viện vì đau dữ dội thắt lưng lan xuống mặt sau đùi và bắp chân trái ngay sau khi nâng vật nặng sai tư thế ngày hôm qua. Bệnh nhân đau chói khi ho hoặc hắt hơi, không tiểu rắt, không có vùng mất cảm giác yên ngựa. Khám lâm sàng: mạch 85 l/p, huyết áp 130/80 mmHg, cột sống thắt lưng lệch vẹo do đau, co cứng cơ cạnh sống trái. Khám thần kinh: nghiệm pháp Lasegue chân trái dương tính ở góc 30 độ, giảm phản xạ gân gót chân trái, giảm cảm giác mặt ngoài bàn chân trái, cơ lực hai chân 5/5. Cận lâm sàng sơ bộ: xét nghiệm tế bào máu và sinh hóa chưa ghi nhận bất thường.",Chẩn đoán vị trí tổn thương rễ thần kinh phù hợp nhất.,Chèn ép rễ thần kinh L5 bên trái.,Chèn ép rễ thần kinh L4 bên trái.,Chèn ép rễ thần kinh S1 bên trái.,Chèn ép đa rễ chùm đuôi ngựa cấp.,,c,"Đau lan xuống mặt sau đùi, bắp chân, giảm cảm giác mặt ngoài bàn chân và đặc biệt là giảm/mất phản xạ gân gót là hội chứng rễ đặc trưng của sự chèn ép rễ thần kinh S1 (thường do thoát vị đĩa đệm L5-S1)."
noi-dau-vung-that-lung-case-3-2,noi,Đau vùng thắt lưng & đau thần kinh ngồi do thoát vị,Cơ xương khớp,"viêm ruột mạn tính (Crohn, UC) là các biểu hiện ngoài khớp đặc trưng của nhóm bệnh viêm khớp cột sống. Viêm niệu đạo thường chỉ xuất hiện trong bệnh cảnh của Viêm khớp phản ứng (Reactive Arthritis) do nhiễm trùng trước đó. TÌNH HUỐNG 12: Bệnh nhân nam 45 tuổi, công nhân bốc vác, vào viện vì đau dữ dội thắt lưng lan xuống mặt sau đùi và bắp chân trái ngay sau khi nâng vật nặng sai tư thế ngày hôm qua. Bệnh nhân đau chói khi ho hoặc hắt hơi, không tiểu rắt, không có vùng mất cảm giác yên ngựa. Khám lâm sàng: mạch 85 l/p, huyết áp 130/80 mmHg, cột sống thắt lưng lệch vẹo do đau, co cứng cơ cạnh sống trái. Khám thần kinh: nghiệm pháp Lasegue chân trái dương tính ở góc 30 độ, giảm phản xạ gân gót chân trái, giảm cảm giác mặt ngoài bàn chân trái, cơ lực hai chân 5/5. Cận lâm sàng sơ bộ: xét nghiệm tế bào máu và sinh hóa chưa ghi nhận bất thường.",Cơ chế sinh lý bệnh chính gây đau lan theo đường đi thần kinh.,Chèn ép cơ học và phản ứng viêm tại rễ thần kinh.,Co thắt hệ thống cơ cạnh sống phản xạ bảo vệ.,Hẹp khe khớp và thoái hóa hệ thống sụn đĩa đệm.,Rối loạn cung cấp máu nuôi tủy sống cục bộ tạm thời.,,a,Đau thần kinh tọa do thoát vị đĩa đệm bắt nguồn từ hai cơ chế đồng thời: sự chèn ép cơ học của khối nhân nhầy lên rễ thần kinh và phản ứng viêm hóa học do các chất trung gian giải phóng từ đĩa đệm rách.
