id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-viem-cot-song-dinh-khop-casen2-1-1,noi,Viêm cột sống dính khớp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 24 tuổi, là lập trình viên, đến khám vì đau vùng thắt lưng và mông kéo dài 8 tháng. Cơn đau có đặc điểm khởi phát từ từ, âm ỉ, đau nhiều hơn về nửa sau ban đêm và sáng sớm, khiến bệnh nhân phải thức giấc. Buổi sáng, bệnh nhân có cảm giác cứng cột sống kéo dài hơn 1 giờ, khó cúi gập người. Các triệu chứng cải thiện rõ rệt sau khi bệnh nhân đi lại, vận động hoặc tắm nước nóng, nhưng đau tăng trở lại khi ngồi làm việc lâu. Bệnh nhân không có tiền sử chấn thương, không sốt hay sụt cân. Khám lâm sàng bệnh nhân tỉnh táo, thể trạng tốt, sinh hiệu ổn. Khám cột sống thấy mất đường cong sinh lý thắt lưng, co cứng cơ cạnh sống hai bên, tầm vận động cột sống thắt lưng hạn chế ở mọi tư thế, đặc biệt là cúi và nghiêng. Chỉ số Schober là 10/12 cm. Ấn vào khớp cùng chậu hai bên gây đau. Khám các khớp ngoại biên không phát hiện sưng, nóng, đỏ; không có biểu hiện viêm điểm bám gân. Các cơ quan khác chưa phát hiện bất thường. Kết quả xét nghiệm máu cho thấy Tốc độ máu lắng (VS) 50 mm/giờ, C-reactive protein (CRP) 35 mg/L, công thức máu bình thường. Kháng nguyên HLA-B27 dương tính. X-quang khung chậu thẳng cho thấy hình ảnh xơ xương và mờ khớp ở hai bên khớp cùng chậu, đặc biệt ở bờ chậu.",Đặc điểm đau lưng của bệnh nhân được phân loại là gì và gợi ý đến nhóm bệnh lý nào?,Đau lưng do nguyên nhân tâm lý.,"Đau lưng kiểu cơ học, gợi ý bệnh lý thoái hóa.","Đau lưng kiểu viêm, gợi ý nhóm bệnh lý cột sống thể huyết thanh âm tính.","Đau lưng kiểu rễ thần kinh, gợi ý thoát vị đĩa đệm.",,c,"Bệnh nhân có đầy đủ các đặc điểm của đau lưng kiểu viêm (khởi phát < 40 tuổi, từ từ, cải thiện khi vận động, đau về đêm/sáng, kèm cứng khớp buổi sáng kéo dài). Đây là dấu hiệu lâm sàng quan trọng nhất gợi ý đến nhóm bệnh lý cột sống huyết thanh âm tính (Spondyloarthritis), trong đó điển hình là Viêm cột sống dính khớp."
noi-viem-cot-song-dinh-khop-casen2-1-2,noi,Viêm cột sống dính khớp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 24 tuổi, là lập trình viên, đến khám vì đau vùng thắt lưng và mông kéo dài 8 tháng. Cơn đau có đặc điểm khởi phát từ từ, âm ỉ, đau nhiều hơn về nửa sau ban đêm và sáng sớm, khiến bệnh nhân phải thức giấc. Buổi sáng, bệnh nhân có cảm giác cứng cột sống kéo dài hơn 1 giờ, khó cúi gập người. Các triệu chứng cải thiện rõ rệt sau khi bệnh nhân đi lại, vận động hoặc tắm nước nóng, nhưng đau tăng trở lại khi ngồi làm việc lâu. Bệnh nhân không có tiền sử chấn thương, không sốt hay sụt cân. Khám lâm sàng bệnh nhân tỉnh táo, thể trạng tốt, sinh hiệu ổn. Khám cột sống thấy mất đường cong sinh lý thắt lưng, co cứng cơ cạnh sống hai bên, tầm vận động cột sống thắt lưng hạn chế ở mọi tư thế, đặc biệt là cúi và nghiêng. Chỉ số Schober là 10/12 cm. Ấn vào khớp cùng chậu hai bên gây đau. Khám các khớp ngoại biên không phát hiện sưng, nóng, đỏ; không có biểu hiện viêm điểm bám gân. Các cơ quan khác chưa phát hiện bất thường. Kết quả xét nghiệm máu cho thấy Tốc độ máu lắng (VS) 50 mm/giờ, C-reactive protein (CRP) 35 mg/L, công thức máu bình thường. Kháng nguyên HLA-B27 dương tính. X-quang khung chậu thẳng cho thấy hình ảnh xơ xương và mờ khớp ở hai bên khớp cùng chậu, đặc biệt ở bờ chậu.",Cơ chế bệnh sinh cốt lõi gây ra các triệu chứng tại cột sống ở bệnh nhân này là gì?,Sự lắng đọng các vi tinh thể trong các khớp cột sống.,Nhiễm trùng mạn tính tại các thân đốt sống do vi khuẩn lao.,"Tình trạng viêm mạn tính tại các điểm bám gân và dây chằng vào xương (viêm điểm bám gân), đặc biệt ở các khớp trục.",Sự phá hủy sụn khớp do các men tiêu hủy protein được giải phóng từ màng hoạt dịch bị viêm.,,c,"Viêm điểm bám gân (enthesitis) được coi là tổn thương bệnh học cốt lõi trong Viêm cột sống dính khớp. Quá trình viêm mạn tính tại các vị trí nơi gân, dây chằng và bao khớp bám vào xương gây ra đau, và theo thời gian dẫn đến quá trình sửa chữa bất thường, cốt hóa các dây chằng và bao khớp, gây dính khớp và hình thành cầu xương."
noi-viem-cot-song-dinh-khop-casen2-1-3,noi,Viêm cột sống dính khớp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 24 tuổi, là lập trình viên, đến khám vì đau vùng thắt lưng và mông kéo dài 8 tháng. Cơn đau có đặc điểm khởi phát từ từ, âm ỉ, đau nhiều hơn về nửa sau ban đêm và sáng sớm, khiến bệnh nhân phải thức giấc. Buổi sáng, bệnh nhân có cảm giác cứng cột sống kéo dài hơn 1 giờ, khó cúi gập người. Các triệu chứng cải thiện rõ rệt sau khi bệnh nhân đi lại, vận động hoặc tắm nước nóng, nhưng đau tăng trở lại khi ngồi làm việc lâu. Bệnh nhân không có tiền sử chấn thương, không sốt hay sụt cân. Khám lâm sàng bệnh nhân tỉnh táo, thể trạng tốt, sinh hiệu ổn. Khám cột sống thấy mất đường cong sinh lý thắt lưng, co cứng cơ cạnh sống hai bên, tầm vận động cột sống thắt lưng hạn chế ở mọi tư thế, đặc biệt là cúi và nghiêng. Chỉ số Schober là 10/12 cm. Ấn vào khớp cùng chậu hai bên gây đau. Khám các khớp ngoại biên không phát hiện sưng, nóng, đỏ; không có biểu hiện viêm điểm bám gân. Các cơ quan khác chưa phát hiện bất thường. Kết quả xét nghiệm máu cho thấy Tốc độ máu lắng (VS) 50 mm/giờ, C-reactive protein (CRP) 35 mg/L, công thức máu bình thường. Kháng nguyên HLA-B27 dương tính. X-quang khung chậu thẳng cho thấy hình ảnh xơ xương và mờ khớp ở hai bên khớp cùng chậu, đặc biệt ở bờ chậu.",Tổn thương nào trên X-quang được xem là dấu hiệu đặc trưng và là tiêu chuẩn chẩn đoán quan trọng trong bệnh lý này?,Hẹp khe đĩa đệm.,Loãng xương toàn thể.,Gai xương ở rìa thân đốt sống.,Viêm khớp cùng chậu (Sacroiliitis).,,d,Viêm khớp cùng chậu hai bên là dấu hiệu hình ảnh học nền tảng trong Viêm cột sống dính khớp. Sự hiện diện của viêm khớp cùng chậu rõ ràng trên X-quang (từ giai đoạn 2 trở lên) là một trong những tiêu chuẩn chính trong Tiêu chuẩn New York sửa đổi 1984 để chẩn đoán xác định bệnh.
noi-viem-cot-song-dinh-khop-casen2-1-4,noi,Viêm cột sống dính khớp,Cơ xương khớp,"TÌNH HUỐNG 1: Bệnh nhân nam 24 tuổi, là lập trình viên, đến khám vì đau vùng thắt lưng và mông kéo dài 8 tháng. Cơn đau có đặc điểm khởi phát từ từ, âm ỉ, đau nhiều hơn về nửa sau ban đêm và sáng sớm, khiến bệnh nhân phải thức giấc. Buổi sáng, bệnh nhân có cảm giác cứng cột sống kéo dài hơn 1 giờ, khó cúi gập người. Các triệu chứng cải thiện rõ rệt sau khi bệnh nhân đi lại, vận động hoặc tắm nước nóng, nhưng đau tăng trở lại khi ngồi làm việc lâu. Bệnh nhân không có tiền sử chấn thương, không sốt hay sụt cân. Khám lâm sàng bệnh nhân tỉnh táo, thể trạng tốt, sinh hiệu ổn. Khám cột sống thấy mất đường cong sinh lý thắt lưng, co cứng cơ cạnh sống hai bên, tầm vận động cột sống thắt lưng hạn chế ở mọi tư thế, đặc biệt là cúi và nghiêng. Chỉ số Schober là 10/12 cm. Ấn vào khớp cùng chậu hai bên gây đau. Khám các khớp ngoại biên không phát hiện sưng, nóng, đỏ; không có biểu hiện viêm điểm bám gân. Các cơ quan khác chưa phát hiện bất thường. Kết quả xét nghiệm máu cho thấy Tốc độ máu lắng (VS) 50 mm/giờ, C-reactive protein (CRP) 35 mg/L, công thức máu bình thường. Kháng nguyên HLA-B27 dương tính. X-quang khung chậu thẳng cho thấy hình ảnh xơ xương và mờ khớp ở hai bên khớp cùng chậu, đặc biệt ở bờ chậu.",Chỉ số Schober được dùng để đánh giá khách quan triệu chứng lâm sàng nào?,Mức độ viêm hệ thống.,Độ giãn của cột sống thắt lưng khi cúi.,Mức độ đau của bệnh nhân.,Sức mạnh của các cơ cạnh sống.,,b,"Chỉ số Schober là một nghiệm pháp lâm sàng đơn giản để đo lường mức độ giãn của cột sống thắt lưng khi bệnh nhân cúi tối đa. Chỉ số này giảm (< 5 cm so với ban đầu) cho thấy sự hạn chế vận động của cột sống thắt lưng, một dấu hiệu thực thể quan trọng của bệnh."
noi-viem-cot-song-dinh-khop-casen2-2-1,noi,Viêm cột sống dính khớp,Cơ xương khớp,"vô căn, các cầu xương thường mảnh, mọc thẳng đứng và đối xứng hai bên. Ngược lại, trong Viêm khớp vảy nến, các cầu xương thường to hơn, thô hơn, mọc không liên tục, không đối xứng và đôi khi có hình dạng kỳ quặc, không theo quy luật. TÌNH HUỐNG 8: Bệnh nhân nam 42 tuổi, mắc Viêm cột sống dính khớp 15 năm, đang điều trị bằng Etanercept (một thuốc ức chế TNF-α) và cho đáp ứng tốt với các triệu chứng ở cột sống. Bệnh nhân đến khám vì đi ngoài phân lỏng, có nhầy máu nhiều lần trong ngày, kèm theo đau quặn bụng và sụt 3 kg trong 1 tháng. Bệnh nhân không sốt. Khám lâm sàng bệnh nhân tỉnh, da niêm mạc nhợt nhẹ. Bụng mềm, ấn đau dọc theo khung đại tràng. Nội soi đại tràng sigma cho thấy hình ảnh niêm mạc phù nề, xung huyết, mất hình ảnh mạch máu, có nhiều vết loét nông và dễ chảy máu. Sinh thiết cho kết quả viêm loét đại tràng mạn tính, không đặc hiệu, phù hợp với bệnh viêm ruột (IBD).",Tình trạng tiêu hóa của bệnh nhân là biểu hiện của bệnh lý nào thường đi kèm với Viêm cột sống dính khớp?,Nhiễm trùng đường ruột do Clostridium difficile.,Bệnh viêm ruột mạn tính (Inflammatory Bowel Disease - IBD).,Ung thư đại trực tràng.,Hội chứng ruột kích thích.,,b,"Sự kết hợp giữa bệnh lý cột sống và các triệu chứng đường ruột mạn tính (tiêu chảy phân máu, đau bụng) cùng với hình ảnh nội soi và mô bệnh học là rất điển hình cho bệnh viêm ruột (IBD), một biểu hiện ngoài khớp đã được biết rõ của Viêm cột sống dính khớp."
noi-viem-cot-song-dinh-khop-casen2-2-2,noi,Viêm cột sống dính khớp,Cơ xương khớp,"vô căn, các cầu xương thường mảnh, mọc thẳng đứng và đối xứng hai bên. Ngược lại, trong Viêm khớp vảy nến, các cầu xương thường to hơn, thô hơn, mọc không liên tục, không đối xứng và đôi khi có hình dạng kỳ quặc, không theo quy luật. TÌNH HUỐNG 8: Bệnh nhân nam 42 tuổi, mắc Viêm cột sống dính khớp 15 năm, đang điều trị bằng Etanercept (một thuốc ức chế TNF-α) và cho đáp ứng tốt với các triệu chứng ở cột sống. Bệnh nhân đến khám vì đi ngoài phân lỏng, có nhầy máu nhiều lần trong ngày, kèm theo đau quặn bụng và sụt 3 kg trong 1 tháng. Bệnh nhân không sốt. Khám lâm sàng bệnh nhân tỉnh, da niêm mạc nhợt nhẹ. Bụng mềm, ấn đau dọc theo khung đại tràng. Nội soi đại tràng sigma cho thấy hình ảnh niêm mạc phù nề, xung huyết, mất hình ảnh mạch máu, có nhiều vết loét nông và dễ chảy máu. Sinh thiết cho kết quả viêm loét đại tràng mạn tính, không đặc hiệu, phù hợp với bệnh viêm ruột (IBD).",Mối liên quan về cơ chế bệnh sinh giữa Viêm cột sống dính khớp và IBD là gì?,Viêm ruột là tác dụng phụ của thuốc điều trị Viêm cột sống dính khớp.,Cả hai đều do cùng một loại vi khuẩn gây ra.,"Không có mối liên quan, đây là sự trùng hợp ngẫu nhiên.",Có sự tương đồng về cơ địa di truyền (ví dụ: các gen liên quan đến IL-23/IL-17) và rối loạn điều hòa miễn dịch tại hàng rào niêm mạc ruột và các điểm bám gân.,,d,"Viêm cột sống dính khớp và IBD có chung nhiều cơ chế bệnh sinh. Cả hai đều có nền tảng di truyền tương tự và đều liên quan đến một đáp ứng miễn dịch bất thường đối với hệ vi sinh vật đường ruột. Giả thuyết ""trục ruột- khớp"" (gut-joint axis) cho rằng tình trạng viêm ở ruột có thể dẫn đến sự di chuyển của các tế bào miễn dịch và các sản phẩm của vi khuẩn vào tuần hoàn, gây ra viêm tại các vị trí xa như khớp và cột sống."
noi-viem-cot-song-dinh-khop-casen2-2-3,noi,Viêm cột sống dính khớp,Cơ xương khớp,"vô căn, các cầu xương thường mảnh, mọc thẳng đứng và đối xứng hai bên. Ngược lại, trong Viêm khớp vảy nến, các cầu xương thường to hơn, thô hơn, mọc không liên tục, không đối xứng và đôi khi có hình dạng kỳ quặc, không theo quy luật. TÌNH HUỐNG 8: Bệnh nhân nam 42 tuổi, mắc Viêm cột sống dính khớp 15 năm, đang điều trị bằng Etanercept (một thuốc ức chế TNF-α) và cho đáp ứng tốt với các triệu chứng ở cột sống. Bệnh nhân đến khám vì đi ngoài phân lỏng, có nhầy máu nhiều lần trong ngày, kèm theo đau quặn bụng và sụt 3 kg trong 1 tháng. Bệnh nhân không sốt. Khám lâm sàng bệnh nhân tỉnh, da niêm mạc nhợt nhẹ. Bụng mềm, ấn đau dọc theo khung đại tràng. Nội soi đại tràng sigma cho thấy hình ảnh niêm mạc phù nề, xung huyết, mất hình ảnh mạch máu, có nhiều vết loét nông và dễ chảy máu. Sinh thiết cho kết quả viêm loét đại tràng mạn tính, không đặc hiệu, phù hợp với bệnh viêm ruột (IBD).",Khoảng bao nhiêu phần trăm bệnh nhân Viêm cột sống dính khớp có biểu hiện lâm sàng của bệnh viêm ruột (Crohn hoặc Viêm loét đại tràng)?,Trên 50%.,Dưới 1%.,Khoảng 25-30%.,Khoảng 5-10%.,,d,"Tỷ lệ bệnh nhân Viêm cột sống dính khớp có biểu hiện IBD trên lâm sàng là khoảng 5-10%. Tuy nhiên, nếu tiến hành nội soi, có thể phát hiện tình trạng viêm niêm mạc ruột dưới lâm sàng ở một tỷ lệ cao hơn nhiều."
noi-viem-cot-song-dinh-khop-casen2-2-4,noi,Viêm cột sống dính khớp,Cơ xương khớp,"vô căn, các cầu xương thường mảnh, mọc thẳng đứng và đối xứng hai bên. Ngược lại, trong Viêm khớp vảy nến, các cầu xương thường to hơn, thô hơn, mọc không liên tục, không đối xứng và đôi khi có hình dạng kỳ quặc, không theo quy luật. TÌNH HUỐNG 8: Bệnh nhân nam 42 tuổi, mắc Viêm cột sống dính khớp 15 năm, đang điều trị bằng Etanercept (một thuốc ức chế TNF-α) và cho đáp ứng tốt với các triệu chứng ở cột sống. Bệnh nhân đến khám vì đi ngoài phân lỏng, có nhầy máu nhiều lần trong ngày, kèm theo đau quặn bụng và sụt 3 kg trong 1 tháng. Bệnh nhân không sốt. Khám lâm sàng bệnh nhân tỉnh, da niêm mạc nhợt nhẹ. Bụng mềm, ấn đau dọc theo khung đại tràng. Nội soi đại tràng sigma cho thấy hình ảnh niêm mạc phù nề, xung huyết, mất hình ảnh mạch máu, có nhiều vết loét nông và dễ chảy máu. Sinh thiết cho kết quả viêm loét đại tràng mạn tính, không đặc hiệu, phù hợp với bệnh viêm ruột (IBD).","Đối với một bệnh nhân có cả Viêm cột sống dính khớp và IBD hoạt động, loại thuốc sinh học nào sau đây được ưu tiên lựa chọn vì có hiệu quả trên cả hai bệnh?",Thuốc ức chế IL-6 (ví dụ: Tocilizumab).,Thuốc ức chế tế bào B (ví dụ: Rituximab).,"Kháng thể đơn dòng ức chế TNF-α (ví dụ: Infliximab, Adalimumab).",Thuốc ức chế thụ thể TNF-α hòa tan (Etanercept).,,c,"Các kháng thể đơn dòng ức chế TNF-α như Infliximab và Adalimumab đã được phê duyệt và chứng minh hiệu quả cao trong điều trị cả Viêm cột sống dính khớp và bệnh viêm ruột (cả Crohn và Viêm loét đại tràng). Do đó, chúng là lựa chọn hàng đầu cho những bệnh nhân mắc đồng thời cả hai bệnh."
noi-viem-cot-song-dinh-khop-casen2-3-1,noi,Viêm cột sống dính khớp,Cơ xương khớp,"hợp, hoạt động như một thụ thể TNF-α hòa tan để ""bẫy"" TNF-α. Không giống như các kháng thể đơn dòng, nó không có khả năng gây ly giải các tế bào viêm biểu hiện TNF-α trên bề mặt màng tế bào. Cơ chế này được cho là quan trọng trong việc kiểm soát viêm tại niêm mạc ruột, giải thích tại sao Etanercept không hiệu quả, thậm chí có thể làm khởi phát hoặc nặng thêm IBD. TÌNH HUỐNG 9: Bệnh nhân nam 60 tuổi, được chẩn đoán Viêm cột sống dính khớp từ năm 30 tuổi, hiện có cột sống dính gần như hoàn toàn. Bệnh nhân đến khám định kỳ. Khám tim mạch nghe thấy tiếng thổi tâm trương ở khoang liên sườn 2-3 cạnh ức trái, lan dọc bờ trái xương ức. Bệnh nhân không có triệu chứng khó thở hay đau ngực rõ rệt. Điện tâm đồ (ECG) cho thấy block nhĩ thất cấp I (khoảng PR kéo dài 0.24 giây). Siêu âm tim qua thành ngực xác nhận có hở van động mạch chủ mức độ trung bình-nhiều do giãn gốc động mạch chủ và dày lá van, chức năng tâm thu thất trái bảo tồn (EF 60%).",Tình trạng tim mạch của bệnh nhân là biến chứng gì của Viêm cột sống dính khớp?,Bệnh tim thiếu máu cục bộ.,Tổn thương gốc động mạch chủ và rối loạn dẫn truyền.,Viêm cơ tim.,Bệnh van hai lá hậu thấp.,,b,"Các biến chứng tim mạch là những biểu hiện ngoài khớp quan trọng của Viêm cột sống dính khớp, đặc biệt ở bệnh nhân nam mắc bệnh lâu năm. Các biến chứng này bao gồm viêm gốc động mạch chủ (dẫn đến hở van động mạch chủ), xơ hóa hệ thống dẫn truyền (gây các mức độ block nhĩ thất khác nhau) và viêm cơ tim."
noi-viem-cot-song-dinh-khop-casen2-3-2,noi,Viêm cột sống dính khớp,Cơ xương khớp,"hợp, hoạt động như một thụ thể TNF-α hòa tan để ""bẫy"" TNF-α. Không giống như các kháng thể đơn dòng, nó không có khả năng gây ly giải các tế bào viêm biểu hiện TNF-α trên bề mặt màng tế bào. Cơ chế này được cho là quan trọng trong việc kiểm soát viêm tại niêm mạc ruột, giải thích tại sao Etanercept không hiệu quả, thậm chí có thể làm khởi phát hoặc nặng thêm IBD. TÌNH HUỐNG 9: Bệnh nhân nam 60 tuổi, được chẩn đoán Viêm cột sống dính khớp từ năm 30 tuổi, hiện có cột sống dính gần như hoàn toàn. Bệnh nhân đến khám định kỳ. Khám tim mạch nghe thấy tiếng thổi tâm trương ở khoang liên sườn 2-3 cạnh ức trái, lan dọc bờ trái xương ức. Bệnh nhân không có triệu chứng khó thở hay đau ngực rõ rệt. Điện tâm đồ (ECG) cho thấy block nhĩ thất cấp I (khoảng PR kéo dài 0.24 giây). Siêu âm tim qua thành ngực xác nhận có hở van động mạch chủ mức độ trung bình-nhiều do giãn gốc động mạch chủ và dày lá van, chức năng tâm thu thất trái bảo tồn (EF 60%).",Cơ chế bệnh sinh chính gây ra hở van động mạch chủ và block nhĩ thất ở bệnh nhân này là gì?,Tăng huyết áp lâu năm gây giãn buồng tim.,Nhiễm trùng trực tiếp tại van tim và nút nhĩ thất.,Sự lắng đọng của cholesterol vào các lá van và hệ thống dẫn truyền.,"Quá trình viêm mạn tính (aortitis) tại gốc động mạch chủ và vách liên thất, dẫn đến xơ hóa, dày lên và mất chức năng.",,d,"Quá trình viêm trong Viêm cột sống dính khớp không chỉ giới hạn ở các khớp. Nó có thể ảnh hưởng đến gốc động mạch chủ, gây viêm lớp áo giữa và áo ngoài (aortitis). Tình trạng viêm mạn tính này dẫn đến xơ hóa, làm dày thành động mạch chủ, giãn vòng van và dày các lá van, gây hở van. Khi quá trình xơ hóa này lan đến vách liên thất gần đó, nó có thể ảnh hưởng đến hệ thống dẫn truyền của tim (nút nhĩ thất, bó His), gây ra các rối loạn dẫn truyền."
