id,subject,chapter,group,case_stem,image,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation
sly-hohap-001,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Màng hô hấp có:,4 lớp,5 lớp,6 lớp,7 lớp,,,c,
sly-hohap-002,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Đường dẫn khí luôn mở vì:,Thành có vòng sụn,Thành có cơ trơn,Luôn chứa khí,Có vòng sụn và áp suất âm màng phổi,,,d,
sly-hohap-003,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,áp suất trong đường dẫn khí:,Luôn bằng áp suất khí quyển,Bằng áp suất khí quyển trước khi hít vào,Lớn hơn khi hít vào,Nhỏ hơn khi thở ra,,,b,
sly-hohap-004,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,áp suất khoang màng phổi:,Có tác dụng làm phổi luôn giãn sát lồng ngực,Thấp nhất thì hít vào thông thường,Do tính đàn hồi lồng ngực,Cao hơn khí quyển cuối thì thở ra,,,a,
sly-hohap-005,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Giá trị áp suất màng phổi qua động tác hô hấp:,cuối thở ra tối đa +7,cuối thở ra bình thường 0,cuối hít vào bình thường -7,cuối hít vào tối đa -15,,,d,
sly-hohap-006,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Tác dụng chất hoạt diện (surfactant):,Tăng sức căng,Giảm sức căng,Ổn định sức căng,Thay đổi sức căng,,,c,
sly-hohap-007,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,"áp suất âm màng phổi có ý nghĩa sau, trừ:",Lồng ngực dễ di động khi thở,Phổi co giãn theo di động lồng ngực,Máu về tim lên phổi dễ dàng,Hiệu suất trao đổi khí đạt mức tối đa,,,a,
sly-hohap-008,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Động tác thở ra tối đa:,thụ động do trung tâm hô hấp không hưng phấn,đẩy thêm khỏi phổi thể tích khí gọi là ERV,đẩy tạng ổ bụng xuống dưới,làm lồng ngực giảm thể tích do co cơ liên sườn ngoài,,,b,
sly-hohap-009,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Động tác hít vào tối đa:,hít vào cố sức sau ngừng thở,hít vào cố sức sau thở ra bình thường,hít vào cố sức sau thở ra hết sức,hít vào cố sức sau hít vào bình thường,,,d,
sly-hohap-010,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Dung tích sống:,số lít khí hít vào tối đa sau hít vào bình thường,số lít khí thở ra tối đa sau thở ra bình thường,số lít khí thở ra tối đa sau hít vào bình thường,số lít khí thở ra tối đa sau hít vào tối đa,,,d,
sly-hohap-011,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Tổng dung tích phổi (TLC) bằng:,IC + FRC,FRC + IRV,TV + IRV + ERV,IC + TV + FRC,,,a,
sly-hohap-012,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Thông số đánh giá hạn chế hô hấp:,"TLC, RV, FRC","VC, TLC","VC, FRC, MMEF","TLC, FEV1, FRC",,,b,
sly-hohap-013,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Thông số đánh giá tắc nghẽn đường dẫn khí:,"VC, TV, chỉ số Tiffeneau","FEV1, TLC, MMEF","MEF25, RV, IRV","FEV1, MMEF, chỉ số Tiffeneau",,,d,
sly-hohap-014,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,Thông khí phế nang bằng:,Thông khí phút,Lượng khí thay đổi trong 1 phút,Thông khí phút trừ thông khí khoảng chết,Khoảng 6 lít,,,c,
sly-hohap-015,sinh-ly,Cơ học hô hấp & thể tích phổi,Hô hấp,,,"Yếu tố ảnh hưởng trao đổi khí qua màng hô hấp, trừ:","Chênh lệch phân áp O2, CO2",Năng lượng cung cấp cho trao đổi khí,Diện tích màng hô hấp,Độ dày màng hô hấp,Tốc độ khuếch tán khí,,b,
sly-hohap-016,sinh-ly,Vận chuyển khí & điều hoà hô hấp,Hô hấp,,,Khả năng khuếch tán khí qua màng hô hấp phụ thuộc:,Độ dày,Chênh lệch phân áp,Diện tích,Hệ số khuếch tán,Cả 4 yếu tố trên,,e,
sly-hohap-017,sinh-ly,Vận chuyển khí & điều hoà hô hấp,Hô hấp,,,"Các dạng O2, CO2 trong máu:",hoà tan là chủ yếu,kết hợp tạo phân áp,kết hợp là dạng vận chuyển,hoà tan và kết hợp không liên quan,,,c,
sly-hohap-018,sinh-ly,Vận chuyển khí & điều hoà hô hấp,Hô hấp,,,Dạng vận chuyển chủ yếu của CO2:,hoà tan,kết hợp với Hb,kết hợp muối kiềm,kết hợp protein,,,c,
sly-hohap-019,sinh-ly,Vận chuyển khí & điều hoà hô hấp,Hô hấp,,,Trung tâm hô hấp:,Trung tâm điều chỉnh phát xung gây hít vào,Trung tâm hít vào tự phát xung gây hít vào,Trung tâm thở ra tham gia nhịp thở cơ bản,Trung tâm hoá học liên hệ trực tiếp trung tâm thở ra,,,b,
