id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-gout-mcq-001,noi,Gout,Cơ xương khớp,,Bệnh Gout là bệnh lý chuyển hóa có đặc trưng cơ bản nhất là sự lắng đọng loại tinh thể nào sau đây tại các tổ chức?,Calcium pyrophosphate dihydrate,Monosodium urate,Basic calcium phosphate,Hydroxyapatite,,b,"Gout là bệnh lý do rối loạn chuyển hóa purin dẫn đến tăng acid uric máu, gây lắng đọng tinh thể monosodium urate tại khớp và các mô. Các tinh thể khác gây ra các bệnh lý tinh thể khác (như canxi pyrophosphate gây bệnh giả gout). Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-002,noi,Gout,Cơ xương khớp,,"Trong dịch tễ học của bệnh Gout, đối tượng nào sau đây có nguy cơ mắc bệnh cao nhất?",Nam giới trẻ tuổi dưới 30,Nam giới trung niên và nữ giới sau mãn kinh,Nữ giới trong độ tuổi sinh đẻ,Trẻ em có tiền sử gia đình mắc bệnh xương khớp,,b,Gout chủ yếu gặp ở nam giới độ tuổi 40-50 và nữ giới sau mãn kinh do sự sụt giảm estrogen (estrogen có tác dụng tăng thải acid uric qua thận). Rất hiếm gặp ở trẻ em hoặc phụ nữ chưa mãn kinh trừ khi có bất thường enzym bẩm sinh. Nguồn: Bệnh học nội khoa YHN.
noi-gout-mcq-003,noi,Gout,Cơ xương khớp,,"Theo nguyên nhân gây bệnh, phân loại Gout nào sau đây chiếm tỷ lệ cao nhất trong thực hành lâm sàng?",Gout nguyên phát,Gout thứ phát do suy thận,Gout thứ phát do dùng thuốc,Gout do bất thường enzym bẩm sinh,,a,"Gout nguyên phát chiếm đại đa số (hơn 90%), đa số không rõ nguyên nhân, thường liên quan đến yếu tố cơ địa, gen, và chế độ ăn uống. Các bất thường enzym bẩm sinh (như thiếu HGPRT) rất hiếm gặp. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-004,noi,Gout,Cơ xương khớp,,Bệnh Gout có mối liên hệ dịch tễ học và bệnh sinh chặt chẽ nhất với hội chứng hoặc bệnh lý nào sau đây?,Bệnh lý tự miễn hệ thống,Hội chứng chuyển hóa,Suy giảm miễn dịch mắc phải,Hội chứng cận ung thư,,b,"Gout được xem là một biểu hiện của hội chứng chuyển hóa, thường đi kèm với béo phì, tăng huyết áp, đái tháo đường type 2 và rối loạn lipid máu. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-005,noi,Gout,Cơ xương khớp,,"Thiếu hụt hoàn toàn enzym nào sau đây gây ra hội chứng Lesch-Nyhan, một bệnh lý di truyền đặc trưng bởi Gout khởi phát sớm và rối loạn thần kinh?",Phosphoribosyl pyrophosphate synthetase,Xanthine oxidase,Hypoxanthine-guanine phosphoribosyltransferase,Uricase,,c,"Hội chứng Lesch-Nyhan do thiếu hụt hoàn toàn enzym HGPRT, làm giảm tái tạo purin và tăng giáng hóa thành acid uric, gây Gout rất sớm kèm tự cấu xé bản thân. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-006,noi,Gout,Cơ xương khớp,,Nguồn gốc sinh ra acid uric trong cơ thể chủ yếu đến từ quá trình nào?,Tổng hợp purin từ thức ăn giàu đạm thực vật,Thoái giáng purin nội sinh từ các tế bào trong cơ thể,Quá trình lên men ở vi khuẩn đường ruột,Chuyển hóa pyrimidine tại gan,,b,"Khoảng 2/3 lượng acid uric trong cơ thể có nguồn gốc nội sinh do sự thoái giáng acid nucleic của các tế bào chết, chỉ khoảng 1/3 đến từ purin ngoại sinh (thức ăn). Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-007,noi,Gout,Cơ xương khớp,,Con đường đào thải acid uric bình thường của cơ thể diễn ra chủ yếu qua cơ quan nào?,Mồ hôi và da,Gan và đường mật,Thận và đường tiết niệu,Đường tiêu hóa qua phân,,c,"Khoảng 70% lượng acid uric được đào thải qua thận, phần còn lại qua đường tiêu hóa. Do đó, suy giảm chức năng thận là nguyên nhân hàng đầu gây giảm thải trừ acid uric. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-008,noi,Gout,Cơ xương khớp,,"Ở người bình thường, ngưỡng nồng độ acid uric trong huyết tương vượt quá mức nào sau đây (ở 37°C) sẽ bắt đầu hiện tượng quá bão hòa và có nguy cơ kết tủa tinh thể?",5.0 mg/dL (297 μmol/L),6.0 mg/dL (360 μmol/L),6.8 mg/dL (404 μmol/L),8.0 mg/dL (476 μmol/L),,c,"Ngưỡng hòa tan tối đa của monosodium urate trong huyết tương ở nhiệt độ 37°C và pH sinh lý là khoảng 6.8 mg/dL (khoảng 404 μmol/L). Vượt qua mức này, dịch cơ thể sẽ ở trạng thái quá bão hòa. Nguồn: Guideline ACR."
noi-gout-mcq-009,noi,Gout,Cơ xương khớp,,"Trong cơ chế bệnh sinh của cơn Gout cấp, tinh thể urat bị thực bào sẽ hoạt hóa phức hợp protein nào bên trong đại thực bào để kích thích giải phóng IL-1β?",Toll-like receptor 4,Inflammasome NLRP3,Phức hợp tấn công màng MAC,Yếu tố hoại tử u TNF-alpha,,b,"Tinh thể urat được đại thực bào “nuốt” sẽ hoạt hóa inflammasome NLRP3, dẫn đến phân cắt pro-IL-1β thành IL-1β hoạt động, khởi phát dòng thác viêm dữ dội. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-010,noi,Gout,Cơ xương khớp,,"Nhóm thuốc lợi tiểu nào sau đây có nguy cơ cao nhất làm giảm bài tiết acid uric ở ống thận, gây khởi phát hoặc làm nặng thêm bệnh Gout?",Thuốc kháng aldosterone,Lợi tiểu thẩm thấu,Nhóm Thiazide,Lợi tiểu giữ kali,,c,"Lợi tiểu Thiazide (và lợi tiểu quai) cạnh tranh đào thải với acid uric ở ống thận hoặc gây giảm thể tích tuần hoàn làm tăng tái hấp thu acid uric, từ đó làm tăng acid uric máu. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-011,noi,Gout,Cơ xương khớp,,Tổn thương giải phẫu bệnh đặc trưng nhất của hạt tophi là gì?,Sự tăng sinh quá mức của màng hoạt dịch tạo thành hình lông nhung,Cấu trúc viêm u hạt với các đại thực bào và tế bào khổng lồ bao quanh khối tinh thể urat,Đám hoại tử bã đậu do trực khuẩn lao khu trú tại khớp,Sự cốt hóa dây chằng và bao khớp hình thành các cầu xương,,b,"Hạt tophi bản chất là phản ứng viêm mạn tính kiểu u hạt (granuloma). Cơ thể huy động các đại thực bào, tế bào khổng lồ đa nhân bao bọc lấy khối tinh thể urat không thể phân hủy. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-012,noi,Gout,Cơ xương khớp,,Cơ chế dẫn đến tổn thương khớp vĩnh viễn trong Gout mạn tính là do:,Vi khuẩn thứ phát xâm nhập qua da phá hủy sụn khớp,Sự lắng đọng liên tục của tinh thể urat và men tiêu protein từ bạch cầu phá hủy sụn và xương dưới sụn,Sự lắng đọng phức hợp miễn dịch tại màng hoạt dịch,Sự xơ hóa toàn bộ bao khớp gây dính khớp,,b,"Tinh thể urat lắng đọng liên tục kích thích viêm mạn tính, bạch cầu giải phóng các enzym tiêu đạm và các cytokine làm phá hủy sụn khớp và tạo các ổ khuyết xương dưới sụn. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-013,noi,Gout,Cơ xương khớp,,"Trong cơ chế bệnh sinh, yếu tố nào KHÔNG làm tăng nguy cơ kết tủa tinh thể urat tại mô?",Tình trạng nhiễm toan tại chỗ,Chấn thương cơ học tại khớp,"Tình trạng tăng tưới máu, nhiệt độ cao tại chỗ",Nồng độ acid uric máu tăng cao kéo dài,,c,"Nhiệt độ cao làm tăng độ hòa tan của acid uric, do đó không thúc đẩy kết tủa. Ngược lại, nhiệt độ thấp, pH acid (nhiễm toan), chấn thương đều làm tăng nguy cơ kết tủa tinh thể. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-014,noi,Gout,Cơ xương khớp,,Vị trí khớp nào sau đây bị ảnh hưởng đầu tiên và phổ biến nhất trong cơn Gout cấp (chiếm 60-70% trường hợp)?,Khớp gối,Khớp bàn ngón chân cái,Khớp cổ tay,Khớp gian ngón gần bàn tay,,b,Khớp bàn ngón chân cái là vị trí điển hình nhất của cơn Gout cấp đầu tiên (triệu chứng Podagra). Cơn viêm thường rất dữ dội. Nguồn: Bệnh học nội khoa YHN.
noi-gout-mcq-015,noi,Gout,Cơ xương khớp,,Tính chất khởi phát kinh điển của một cơn viêm khớp Gout cấp là:,"Đau âm ỉ, tăng dần qua nhiều tháng, cứng khớp buổi sáng kéo dài","Đau đột ngột, dữ dội, thường bắt đầu vào nửa đêm về sáng",Đau và sưng đau di chuyển từ khớp này sang khớp khác liên tục,"Đau khởi phát sau khi tập thể dục nhẹ nhàng, giảm khi nghỉ ngơi",,b,"Cơn Gout cấp kinh điển khởi phát rất đột ngột, thường vào ban đêm, đau dữ dội đến mức bệnh nhân không dám để vải trải giường chạm vào khớp. Nguồn: Bệnh học nội khoa YHN."
noi-gout-mcq-016,noi,Gout,Cơ xương khớp,,"Nếu không được điều trị bằng thuốc, một cơn Gout cấp điển hình thường diễn biến như thế nào?",Chuyển thành viêm khớp mạn tính không bao giờ hết đau,"Tự thuyên giảm hoàn toàn sau 1 đến 2 tuần, để lại vùng da bong vảy",Gây hoại tử khớp ngay trong đợt viêm đầu tiên,Lan nhanh ra tất cả các khớp toàn thân trong vòng 24 giờ,,b,Đặc điểm của Gout cấp là khả năng tự giới hạn. Viêm đạt đỉnh trong 12-24h và tự khỏi hoàn toàn (khớp trở lại bình thường) sau 7-14 ngày kể cả không điều trị. Da vùng khớp sau viêm thường bong vảy mỏng. Nguồn: Bệnh học nội khoa YHN.
