id,subject,chapter,group,case_stem,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-benh-ly-tuy-tang-mcq-001,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Tổn thương giải phẫu bệnh cơ bản và đặc trưng nhất của viêm tụy mạn là gì?,Phù nề nhu mô tụy cục bộ,Xơ hóa nhu mô tụy không hồi phục,Hoại tử mỡ quanh tụy,Tụ dịch quanh tụy,,b,"Viêm tụy mạn đặc trưng bởi sự xơ hóa tiến triển, phá hủy và mất vĩnh viễn chức năng ngoại tiết lẫn nội tiết. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-tuy-tang-mcq-002,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Nguyên nhân hàng đầu gây viêm tụy cấp ở Việt Nam và nhiều nước trên thế giới là gì?,Tăng triglyceride máu,Lạm dụng rượu,Sỏi mật,Sau can thiệp ERCP,,c,"Sỏi mật là nguyên nhân phổ biến nhất (chiếm 35-40%), tiếp theo là rượu. Bẫy kinh điển: Sinh viên hay nhầm rượu là nguyên nhân số 1 của cả cấp và mạn. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-tuy-tang-mcq-003,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Yếu tố nguy cơ nào sau đây là nguyên nhân thường gặp nhất gây viêm tụy mạn tính?,Hút thuốc lá,Đột biến gen,Tự miễn,Lạm dụng rượu,,d,Lạm dụng rượu kéo dài chiếm 70-80% các trường hợp viêm tụy mạn ở người trưởng thành. Nguồn: Bệnh học nội khoa YHN.
noi-benh-ly-tuy-tang-mcq-004,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Viêm tụy cấp do tăng triglyceride máu thường xảy ra khi nồng độ triglyceride trong máu vượt qua ngưỡng nào?,> 200 mg/dL,> 500 mg/dL,> 1000 mg/dL,> 2000 mg/dL,,c,"Ngưỡng > 1000 mg/dL (11,3 mmol/L) là mốc nguy cơ cao khởi phát viêm tụy cấp. Đây là bẫy mốc số liệu kinh điển cần nhớ. Nguồn: Guideline Hội Nội tiết (Endocrine Society)."
noi-benh-ly-tuy-tang-mcq-005,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Nhóm thuốc nào sau đây KHÔNG thuộc nhóm có nguy cơ cao gây viêm tụy cấp?,Azathioprine,Lợi tiểu Thiazide,Metformin,Acid valproic,,c,"Metformin không gây viêm tụy cấp. Azathioprine, Thiazide, Acid valproic là các thuốc điển hình trong danh sách tác dụng phụ hiếm gặp nhưng nguy hiểm gây viêm tụy."
noi-benh-ly-tuy-tang-mcq-006,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Khoảng bao nhiêu phần trăm bệnh nhân viêm tụy cấp sẽ diễn biến thành thể nặng (có hoại tử hoặc suy tạng)?,1-5%,15-20%,40-50%,70-80%,,b,"Đa số (80%) viêm tụy cấp là thể nhẹ tự giới hạn, khoảng 15-20% diễn biến nặng cần theo dõi sát tại hồi sức tích cực. Nguồn: Bệnh học nội khoa YHN."
noi-benh-ly-tuy-tang-mcq-007,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Sự kiện khởi phát then chốt trong cơ chế bệnh sinh của viêm tụy cấp là gì?,Vi khuẩn xâm nhập vào ống tụy,Hoạt hóa sớm trypsinogen thành trypsin trong nang tụy,Mật trào ngược vào dạ dày,Tăng áp lực tĩnh mạch cửa,,b,"Trypsinogen bị hoạt hóa sai vị trí ngay tại tế bào nang (thay vì ở tá tràng) sẽ kích hoạt chuỗi enzyme khác, tự tiêu hóa tuyến tụy. Đây là cơ chế cốt lõi phải nhớ."
noi-benh-ly-tuy-tang-mcq-008,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,"Men tụy nào sau đây đóng vai trò như ""chiếc chìa khóa"" kích hoạt hàng loạt các zymogen khác trong viêm tụy cấp?",Lipase,Amylase,Trypsin,Elastase,,c,"Trypsin là men xúc tác hoạt hóa các tiền men (zymogen) khác như elastase, phospholipase, chymotrypsin, gây bùng phát phản ứng tự tiêu."
noi-benh-ly-tuy-tang-mcq-009,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Cơ chế chính gây tổn thương cấu trúc trong viêm tụy mạn do rượu là gì?,Rượu trực tiếp làm teo tế bào đảo tụy,Rượu gây co thắt cơ vòng Oddi liên tục,Tăng tiết protein tạo nút nhầy gây tắc nghẽn ống tụy,Phản ứng quá mẫn qua trung gian kháng thể,,c,"Rượu làm dịch tụy tăng nồng độ protein nhưng giảm dịch và bicarbonate, dẫn đến kết tủa tạo nút protein, canxi hóa và tắc nghẽn vi ống tụy."
noi-benh-ly-tuy-tang-mcq-010,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,"Trong viêm tụy cấp, tổn thương phổi cấp (ARDS) chủ yếu do enzyme nào xâm nhập vào tuần hoàn phá hủy surfactant?",Phospholipase A2,Lipase,Amylase,Chymotrypsin,,a,"Phospholipase A2 phá hủy lớp phospholipid màng tế bào và surfactant ở phế nang, là cơ chế chính gây ARDS trong viêm tụy cấp nặng."
noi-benh-ly-tuy-tang-mcq-011,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Cơ chế chính gây tổn thương tụy trong tăng triglyceride máu là gì?,Triglyceride lắng đọng trực tiếp gây tắc ống tụy lớn,Enzyme tụy phân giải thành acid béo tự do gây độc tế bào nang tụy,Chylomicron kích hoạt phản ứng tự miễn,Làm tăng độ nhớt máu gây nhồi máu tụy diện rộng,,b,"Lipase tụy thủy phân triglyceride dư thừa thành các acid béo tự do độc tính cao, làm tổn thương vi mạch và tế bào nang tụy."
noi-benh-ly-tuy-tang-mcq-012,noi,Một số bệnh lý tụy tạng,Tiêu hoá,,Đột biến gen nào phổ biến nhất và được biết đến nhiều nhất trong bệnh cảnh viêm tụy di truyền?,CFTR,SPINK1,PRSS1,BRCA1,,c,"Đột biến PRSS1 (gen mã hóa cationic trypsinogen) làm trypsin mất khả năng tự bất hoạt, dẫn đến viêm tụy di truyền khởi phát sớm. Nguồn: Bệnh học nội khoa YHN."
